time,Utah,pts.away,score,pts.home,Toronto
7:11.0,,,9-9,,D. DeRozan misses 2-pt shot from 15 ft
7:10.0,Defensive rebound by S. Mack,,9-9,,
7:02.0,,,9-9,,Personal foul by L. Nogueira (drawn by S. Mack)
6:49.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood),2,11-9,,
6:28.0,,,11-11,2,D. DeRozan makes 2-pt shot from 10 ft
6:13.0,Turnover by S. Mack (bad pass),,11-11,,
5:59.0,,,11-11,,D. DeRozan misses 2-pt shot from 19 ft
5:58.0,Defensive rebound by R. Gobert,,11-11,,
5:41.0,D. Favors makes 2-pt shot from 4 ft,2,13-11,,
5:26.0,,,13-11,,D. Carroll misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by D. Favors,,13-11,,
5:11.0,S. Mack makes 2-pt shot from 12 ft (assist by R. Hood),2,15-11,,
4:55.0,Violation by R. Gobert (kicked ball),,15-11,,
4:55.0,T. Lyles enters the game for D. Favors,,15-11,,
4:55.0,D. Exum enters the game for S. Mack,,15-11,,
4:44.0,,,15-11,,J. Valanciunas misses 2-pt shot from 5 ft
4:43.0,,,15-11,,Offensive rebound by J. Valanciunas
4:43.0,,,15-13,2,J. Valanciunas makes 2-pt shot at rim
4:23.0,T. Lyles misses 3-pt shot from 26 ft,,15-13,,
4:22.0,Offensive rebound by R. Gobert,,15-13,,
4:14.0,G. Hayward makes 2-pt shot from 21 ft,2,17-13,,
3:58.0,Personal foul by G. Hayward (drawn by D. DeRozan),,17-13,,
3:58.0,,,17-13,,P. Siakam enters the game for L. Nogueira
3:58.0,,,17-13,,T. Ross enters the game for D. Carroll
3:58.0,J. Johnson enters the game for G. Hayward,,17-13,,
3:43.0,,,17-13,,K. Lowry misses 2-pt shot at rim
3:42.0,Defensive rebound by R. Gobert,,17-13,,
3:33.0,R. Hood makes 2-pt shot from 1 ft,2,19-13,,
3:07.0,,,19-13,,D. DeRozan misses 2-pt shot from 21 ft
3:07.0,Defensive rebound by R. Gobert,,19-13,,
2:52.0,R. Gobert misses 2-pt shot from 5 ft,,19-13,,
2:52.0,,,19-13,,Defensive rebound by D. DeRozan
2:46.0,,,19-13,,D. DeRozan misses 2-pt shot from 8 ft
2:45.0,,,19-13,,Offensive rebound by P. Siakam
2:43.0,,,19-13,,P. Siakam misses 2-pt shot from 1 ft
2:42.0,Defensive rebound by R. Gobert,,19-13,,
2:32.0,T. Lyles makes 3-pt shot from 25 ft (assist by J. Johnson),3,22-13,,
2:32.0,,,22-13,,Toronto full timeout
2:32.0,Utah full timeout,,22-13,,
2:32.0,,,22-13,,C. Joseph enters the game for K. Lowry
2:32.0,J. Ingles enters the game for R. Gobert,,22-13,,
2:32.0,D. Favors enters the game for R. Hood,,22-13,,
2:15.0,,,22-16,3,T. Ross makes 3-pt shot from 29 ft
1:47.0,T. Lyles misses 2-pt shot from 12 ft,,22-16,,
1:47.0,,,22-16,,Defensive rebound by P. Siakam
1:35.0,,,22-16,,P. Siakam misses 2-pt shot from 5 ft
1:35.0,Defensive rebound by J. Ingles,,22-16,,
1:15.0,D. Favors makes 2-pt shot from 1 ft (assist by D. Exum),2,24-16,,
0:57.0,,,24-18,2,J. Valanciunas makes 2-pt shot from 19 ft (assist by C. Joseph)
0:35.0,T. Lyles makes 3-pt shot from 25 ft (assist by D. Exum),3,27-18,,
0:28.0,,,27-18,,D. DeRozan misses 2-pt shot from 7 ft
0:27.0,,,27-18,,Offensive rebound by J. Valanciunas
0:26.0,,,27-18,,J. Valanciunas misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by J. Johnson,,27-18,,
0:02.0,J. Johnson misses 2-pt shot from 7 ft (block by D. DeRozan),,27-18,,
0:01.0,,,27-18,,Defensive rebound by P. Siakam
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,27-18,,C. Joseph misses 2-pt shot from 17 ft
11:49.0,Defensive rebound by D. Favors,,27-18,,
11:42.0,,,27-18,,Personal foul by C. Joseph (drawn by D. Exum)
11:27.0,D. Favors makes 2-pt shot from 5 ft,2,29-18,,
11:15.0,,,29-18,,T. Ross misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by T. Lyles,,29-18,,
11:02.0,Turnover by D. Favors (3 sec),,29-18,,
11:02.0,R. Hood enters the game for J. Johnson,,29-18,,
10:48.0,,,29-18,,C. Joseph misses 2-pt shot from 5 ft
10:47.0,Defensive rebound by D. Favors,,29-18,,
10:45.0,Turnover by D. Favors (lost ball; steal by C. Joseph),,29-18,,
10:30.0,,,29-20,2,C. Joseph makes 2-pt shot from 3 ft
10:30.0,,,29-20,,Shooting foul by R. Hood (drawn by C. Joseph)
10:30.0,,,29-21,1,C. Joseph makes free throw 1 of 1
10:16.0,J. Ingles makes 2-pt shot from 3 ft,2,31-21,,
10:06.0,,,31-21,,L. Nogueira misses 2-pt shot from 4 ft
10:05.0,Defensive rebound by J. Ingles,,31-21,,
9:54.0,D. Exum misses 3-pt shot from 24 ft,,31-21,,
9:54.0,Offensive rebound by D. Favors,,31-21,,
9:42.0,Turnover by T. Lyles (bad pass; steal by L. Nogueira),,31-21,,
9:37.0,,,31-24,3,K. Lowry makes 3-pt shot from 26 ft (assist by L. Nogueira)
9:36.0,Utah full timeout,,31-24,,
9:36.0,S. Mack enters the game for R. Hood,,31-24,,
9:36.0,A. Burks enters the game for D. Exum,,31-24,,
9:13.0,D. Favors misses 2-pt shot from 18 ft,,31-24,,
9:12.0,Offensive rebound by T. Lyles,,31-24,,
9:09.0,Turnover by T. Lyles (bad pass; steal by D. Carroll),,31-24,,
9:03.0,,,31-27,3,T. Ross makes 3-pt shot from 23 ft (assist by C. Joseph)
8:38.0,Turnover by T. Lyles (bad pass),,31-27,,
8:38.0,B. Diaw enters the game for T. Lyles,,31-27,,
8:38.0,R. Gobert enters the game for D. Favors,,31-27,,
8:20.0,,,31-29,2,K. Lowry makes 2-pt shot from 2 ft
7:58.0,A. Burks makes 2-pt shot from 21 ft,2,33-29,,
7:47.0,,,33-29,,T. Ross misses 3-pt shot from 27 ft
7:46.0,Defensive rebound by J. Ingles,,33-29,,
7:25.0,J. Ingles makes 2-pt shot from 16 ft,2,35-29,,
7:04.0,,,35-31,2,T. Ross makes 2-pt shot at rim (assist by L. Nogueira)
6:50.0,Shooting foul by D. Carroll (drawn by A. Burks),,35-31,,
6:50.0,A. Burks makes free throw 1 of 3,1,36-31,,
6:50.0,A. Burks makes free throw 2 of 3,1,37-31,,
6:50.0,A. Burks misses free throw 3 of 3,,37-31,,
6:50.0,G. Hayward enters the game for J. Ingles,,37-31,,
6:49.0,,,37-31,,Defensive rebound by K. Lowry
6:38.0,,,37-34,3,D. Carroll makes 3-pt shot from 25 ft (assist by T. Ross)
6:19.0,S. Mack makes 2-pt shot from 2 ft (assist by B. Diaw),2,39-34,,
6:04.0,,,39-34,,C. Joseph misses 2-pt shot from 7 ft
6:04.0,,,39-34,,Offensive rebound by C. Joseph
6:03.0,,,39-34,,C. Joseph misses 2-pt shot from 1 ft
6:02.0,,,39-34,,Offensive rebound by L. Nogueira
6:02.0,,,39-34,,L. Nogueira misses 2-pt shot from 2 ft
6:01.0,,,39-34,,Offensive rebound by L. Nogueira
5:57.0,,,39-34,,K. Lowry misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by A. Burks,,39-34,,
5:37.0,Offensive charge foul by G. Hayward,,39-34,,
5:37.0,Turnover by G. Hayward (offensive foul),,39-34,,
5:37.0,Official timeout,,39-34,,
5:37.0,,,39-34,,J. Valanciunas enters the game for L. Nogueira
5:37.0,,,39-34,,D. DeRozan enters the game for C. Joseph
5:37.0,R. Hood enters the game for A. Burks,,39-34,,
5:37.0,J. Johnson enters the game for B. Diaw,,39-34,,
5:22.0,,,39-34,,K. Lowry misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by R. Hood,,39-34,,
5:09.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Johnson),2,41-34,,
4:45.0,,,41-36,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
4:28.0,Turnover by G. Hayward (lost ball; steal by D. DeRozan),,41-36,,
4:24.0,Violation by R. Hood (def goaltending),,41-36,,
4:24.0,,,41-38,2,D. Carroll makes 2-pt shot from 4 ft (assist by D. DeRozan)
4:08.0,R. Hood misses 3-pt shot from 25 ft,,41-38,,
4:08.0,Offensive rebound by R. Gobert,,41-38,,
4:05.0,R. Gobert misses 2-pt shot from 1 ft,,41-38,,
4:05.0,Offensive rebound by R. Gobert,,41-38,,
4:04.0,R. Gobert misses 2-pt shot at rim,,41-38,,
4:03.0,Offensive rebound by Team,,41-38,,
3:54.0,S. Mack misses 2-pt shot from 7 ft,,41-38,,
3:53.0,Offensive rebound by R. Gobert,,41-38,,
3:49.0,G. Hayward misses 3-pt shot from 27 ft,,41-38,,
3:49.0,Offensive rebound by G. Hayward,,41-38,,
3:44.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,43-38,,
3:32.0,,,43-38,,Turnover by K. Lowry (lost ball; steal by S. Mack)
3:26.0,R. Gobert misses 2-pt shot from 3 ft,,43-38,,
3:25.0,Offensive rebound by R. Gobert,,43-38,,
3:25.0,Shooting foul by T. Ross (drawn by R. Gobert),,43-38,,
3:25.0,R. Gobert makes free throw 1 of 2,1,44-38,,
3:25.0,R. Gobert makes free throw 2 of 2,1,45-38,,
3:11.0,Personal foul by J. Johnson (drawn by D. DeRozan),,45-38,,
3:02.0,,,45-38,,Shooting foul by J. Johnson (drawn by D. DeRozan)
3:02.0,,,45-39,1,D. DeRozan makes free throw 1 of 2
3:02.0,,,45-39,,D. DeRozan misses free throw 2 of 2
3:02.0,,,45-39,,N. Powell enters the game for T. Ross
2:59.0,,,45-39,,Offensive rebound by J. Valanciunas
2:58.0,,,45-41,2,J. Valanciunas makes 2-pt shot from 2 ft
2:44.0,G. Hayward misses 2-pt shot from 20 ft,,45-41,,
2:44.0,,,45-41,,Defensive rebound by N. Powell
2:37.0,,,45-41,,N. Powell misses 2-pt shot from 3 ft
2:36.0,Defensive rebound by R. Gobert,,45-41,,
2:27.0,R. Gobert misses 2-pt shot from 4 ft,,45-41,,
2:26.0,,,45-41,,Defensive rebound by J. Valanciunas
2:18.0,Personal foul by R. Gobert (drawn by K. Lowry),,45-41,,
2:18.0,,,45-41,,Toronto full timeout
2:18.0,,,45-41,,C. Joseph enters the game for K. Lowry
2:18.0,J. Ingles enters the game for J. Johnson,,45-41,,
2:10.0,,,45-41,,Shooting foul by J. Ingles (drawn by D. DeRozan)
2:10.0,,,45-42,1,D. DeRozan makes free throw 1 of 2
2:10.0,,,45-42,,D. DeRozan misses free throw 2 of 2
2:10.0,Defensive rebound by Team,,45-42,,
2:10.0,,,45-42,,Loose ball foul by J. Valanciunas (drawn by R. Gobert)
1:50.0,J. Ingles misses 3-pt shot from 22 ft,,45-42,,
1:50.0,,,45-42,,Defensive rebound by D. DeRozan
1:38.0,,,45-44,2,D. DeRozan makes 2-pt shot from 18 ft
1:14.0,S. Mack makes 2-pt shot at rim (assist by J. Ingles),2,47-44,,
1:00.0,,,47-46,2,D. DeRozan makes 2-pt shot from 4 ft
0:47.0,G. Hayward makes 3-pt shot from 26 ft (assist by S. Mack),3,50-46,,
0:35.0,,,50-46,,Shooting foul by J. Ingles (drawn by D. DeRozan)
0:35.0,,,50-47,1,D. DeRozan makes free throw 1 of 2
0:35.0,,,50-48,1,D. DeRozan makes free throw 2 of 2
0:17.0,R. Gobert makes 2-pt shot at rim,2,52-48,,
0:00.0,,,52-48,,N. Powell misses 2-pt shot from 19 ft
0:00.0,,,52-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,52-48,,J. Valanciunas misses 2-pt shot from 14 ft (block by R. Gobert)
11:42.0,Defensive rebound by R. Gobert,,52-48,,
11:32.0,,,52-48,,Personal foul by J. Valanciunas (drawn by R. Gobert)
11:21.0,G. Hayward makes 2-pt shot from 15 ft,2,54-48,,
11:07.0,,,54-48,,D. DeRozan misses 2-pt shot from 15 ft
11:06.0,,,54-48,,Offensive rebound by J. Valanciunas
11:05.0,,,54-48,,Shooting foul by R. Gobert (drawn by J. Valanciunas)
11:05.0,,,54-49,1,J. Valanciunas makes free throw 1 of 2
11:05.0,,,54-50,1,J. Valanciunas makes free throw 2 of 2
10:51.0,S. Mack makes 2-pt shot from 19 ft,2,56-50,,
10:23.0,,,56-50,,D. DeRozan misses 2-pt shot from 6 ft
10:22.0,Defensive rebound by Team,,56-50,,
10:22.0,,,56-50,,Loose ball foul by D. DeRozan (drawn by R. Gobert)
10:01.0,D. Favors misses 2-pt shot from 6 ft,,56-50,,
10:01.0,,,56-50,,Defensive rebound by J. Valanciunas
9:49.0,,,56-50,,D. DeRozan misses 3-pt shot from 24 ft
9:49.0,,,56-50,,Offensive rebound by J. Valanciunas
9:48.0,,,56-50,,J. Valanciunas misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by D. Favors,,56-50,,
9:29.0,R. Hood misses 3-pt shot from 24 ft,,56-50,,
9:29.0,,,56-50,,Defensive rebound by K. Lowry
9:22.0,,,56-50,,Shooting foul by S. Mack (drawn by K. Lowry)
9:22.0,,,56-51,1,K. Lowry makes free throw 1 of 2
9:22.0,,,56-51,,K. Lowry misses free throw 2 of 2
9:19.0,Defensive rebound by D. Favors,,56-51,,
9:10.0,G. Hayward makes 2-pt shot at rim (assist by S. Mack),2,58-51,,
8:55.0,,,58-53,2,K. Lowry makes 2-pt shot from 4 ft
8:39.0,Shooting foul by D. Carroll (drawn by R. Gobert),,58-53,,
8:39.0,R. Gobert makes free throw 1 of 2,1,59-53,,
8:39.0,R. Gobert makes free throw 2 of 2,1,60-53,,
8:16.0,,,60-53,,D. DeRozan misses 2-pt shot from 11 ft
8:16.0,,,60-53,,Offensive rebound by L. Nogueira
8:16.0,,,60-53,,Shooting foul by D. Favors (drawn by L. Nogueira)
8:16.0,,,60-53,,L. Nogueira misses free throw 1 of 2
8:16.0,,,60-53,,Offensive rebound by Team
8:16.0,,,60-53,,L. Nogueira misses free throw 2 of 2
8:14.0,Defensive rebound by R. Gobert,,60-53,,
7:53.0,S. Mack misses 2-pt shot from 10 ft (block by L. Nogueira),,60-53,,
7:52.0,,,60-53,,Defensive rebound by J. Valanciunas
7:46.0,,,60-55,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
7:33.0,,,60-55,,Personal foul by D. Carroll (drawn by G. Hayward)
7:22.0,D. Favors misses 2-pt shot from 14 ft,,60-55,,
7:22.0,Offensive rebound by Team,,60-55,,
7:22.0,,,60-55,,Loose ball foul by L. Nogueira (drawn by R. Gobert)
7:22.0,R. Gobert misses free throw 1 of 2,,60-55,,
7:22.0,Offensive rebound by Team,,60-55,,
7:22.0,R. Gobert makes free throw 2 of 2,1,61-55,,
7:05.0,,,61-55,,D. DeRozan misses 2-pt shot from 19 ft
7:05.0,,,61-55,,Offensive rebound by L. Nogueira
7:00.0,,,61-58,3,K. Lowry makes 3-pt shot from 25 ft (assist by L. Nogueira)
6:46.0,R. Gobert misses 2-pt shot from 4 ft (block by L. Nogueira),,61-58,,
6:45.0,Offensive rebound by R. Gobert,,61-58,,
6:45.0,,,61-58,,Personal foul by J. Valanciunas (drawn by R. Gobert)
6:45.0,R. Gobert makes free throw 1 of 2,1,62-58,,
6:45.0,R. Gobert makes free throw 2 of 2,1,63-58,,
6:32.0,,,63-58,,D. DeRozan misses 2-pt shot from 15 ft (block by R. Gobert)
6:31.0,,,63-58,,Offensive rebound by D. DeRozan
6:26.0,,,63-60,2,D. DeRozan makes 2-pt shot from 6 ft
6:01.0,G. Hayward misses 2-pt shot from 12 ft,,63-60,,
6:01.0,Offensive rebound by Team,,63-60,,
6:01.0,Turnover by Team (shot clock),,63-60,,
5:40.0,,,63-60,,K. Lowry misses 3-pt shot from 26 ft
5:40.0,,,63-60,,Offensive rebound by L. Nogueira
5:38.0,,,63-62,2,L. Nogueira makes 2-pt shot from 2 ft
5:24.0,,,63-62,,Personal foul by L. Nogueira (drawn by D. Favors)
5:24.0,,,63-62,,Toronto full timeout
5:24.0,D. Favors misses free throw 1 of 2,,63-62,,
5:24.0,Offensive rebound by Team,,63-62,,
5:24.0,D. Favors makes free throw 2 of 2,1,64-62,,
5:24.0,D. Exum enters the game for S. Mack,,63-62,,
5:17.0,,,64-62,,Offensive foul by L. Nogueira
5:17.0,,,64-62,,Turnover by L. Nogueira (offensive foul)
5:17.0,T. Lyles enters the game for D. Favors,,64-62,,
5:17.0,J. Ingles enters the game for R. Hood,,64-62,,
5:17.0,,,64-62,,T. Ross enters the game for L. Nogueira
5:06.0,G. Hayward misses 2-pt shot from 17 ft (block by T. Ross),,64-62,,
5:05.0,,,64-62,,Defensive rebound by D. Carroll
4:58.0,,,64-62,,D. Carroll misses 3-pt shot from 25 ft
4:58.0,,,64-62,,Offensive rebound by J. Valanciunas
4:58.0,,,64-62,,Shooting foul by D. Exum (drawn by J. Valanciunas)
4:58.0,,,64-63,1,J. Valanciunas makes free throw 1 of 2
4:58.0,,,64-64,1,J. Valanciunas makes free throw 2 of 2
4:35.0,D. Exum misses 3-pt shot from 25 ft,,64-64,,
4:35.0,,,64-64,,Defensive rebound by J. Valanciunas
4:27.0,,,64-64,,D. DeRozan misses 2-pt shot from 5 ft
4:27.0,,,64-64,,Offensive rebound by D. Carroll
4:13.0,,,64-64,,T. Ross misses 2-pt shot from 6 ft
4:13.0,Defensive rebound by R. Gobert,,64-64,,
3:53.0,G. Hayward makes 2-pt shot from 20 ft,2,66-64,,
3:45.0,,,66-64,,Shooting foul by T. Lyles (drawn by K. Lowry)
3:45.0,,,66-65,1,K. Lowry makes free throw 1 of 2
3:45.0,,,66-66,1,K. Lowry makes free throw 2 of 2
3:28.0,T. Lyles makes 3-pt shot from 26 ft (assist by G. Hayward),3,69-66,,
3:16.0,,,69-66,,Shooting foul by D. Exum (drawn by K. Lowry)
3:16.0,,,69-67,1,K. Lowry makes free throw 1 of 2
3:16.0,,,69-68,1,K. Lowry makes free throw 2 of 2
3:16.0,,,69-67,,J. Poeltl enters the game for J. Valanciunas
3:16.0,D. Favors enters the game for R. Gobert,,69-67,,
2:55.0,D. Exum makes 2-pt shot from 1 ft (assist by J. Ingles),2,71-68,,
2:44.0,,,71-70,2,K. Lowry makes 2-pt shot from 15 ft
2:29.0,D. Favors misses 2-pt shot from 2 ft,,71-70,,
2:29.0,,,71-70,,Defensive rebound by K. Lowry
2:14.0,,,71-70,,K. Lowry misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by G. Hayward,,71-70,,
2:02.0,Utah full timeout,,71-70,,
2:02.0,,,71-70,,C. Joseph enters the game for D. Carroll
2:02.0,,,71-70,,N. Powell enters the game for K. Lowry
1:52.0,T. Lyles misses 2-pt shot from 4 ft (block by J. Poeltl),,71-70,,
1:51.0,,,71-70,,Defensive rebound by D. DeRozan
1:51.0,Personal foul by J. Ingles (drawn by D. DeRozan),,71-70,,
1:51.0,,,71-70,,D. DeRozan misses free throw 1 of 2
1:51.0,,,71-70,,Offensive rebound by Team
1:51.0,,,71-71,1,D. DeRozan makes free throw 2 of 2
1:51.0,J. Johnson enters the game for T. Lyles,,71-70,,
1:31.0,D. Favors misses 2-pt shot from 16 ft,,71-71,,
1:31.0,,,71-71,,Defensive rebound by C. Joseph
1:19.0,,,71-71,,D. DeRozan misses 2-pt shot from 16 ft
1:19.0,Defensive rebound by G. Hayward,,71-71,,
1:03.0,J. Johnson makes 2-pt shot from 18 ft,2,73-71,,
0:45.0,,,73-71,,T. Ross misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by J. Johnson,,73-71,,
0:27.0,J. Ingles misses 3-pt shot from 23 ft,,73-71,,
0:27.0,,,73-71,,Defensive rebound by J. Poeltl
0:03.0,,,73-71,,T. Ross misses 3-pt shot from 23 ft
0:02.0,,,73-71,,Offensive rebound by N. Powell
0:00.0,,,73-71,,N. Powell misses 2-pt shot from 18 ft
0:00.0,,,73-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Johnson makes 2-pt shot from 17 ft,2,75-71,,
11:18.0,,,75-73,2,T. Ross makes 2-pt shot from 7 ft (assist by C. Joseph)
11:00.0,J. Ingles makes 2-pt shot from 4 ft,2,77-73,,
10:51.0,,,77-73,,C. Joseph misses 2-pt shot from 8 ft
10:50.0,Defensive rebound by D. Favors,,77-73,,
10:25.0,J. Johnson misses 2-pt shot from 19 ft,,77-73,,
10:25.0,Offensive rebound by S. Mack,,77-73,,
10:12.0,,,77-73,,Personal take foul by K. Lowry (drawn by J. Johnson)
9:59.0,Shooting foul by C. Joseph (drawn by S. Mack),,77-73,,
9:59.0,S. Mack makes free throw 1 of 2,1,78-73,,
9:59.0,S. Mack makes free throw 2 of 2,1,79-73,,
9:40.0,,,79-73,,N. Powell misses 2-pt shot from 5 ft
9:39.0,Defensive rebound by J. Ingles,,79-73,,
9:31.0,Turnover by S. Mack (bad pass; steal by C. Joseph),,79-73,,
9:19.0,,,79-75,2,T. Ross makes 2-pt shot from 20 ft
8:58.0,Shooting foul by N. Powell (drawn by J. Johnson),,79-75,,
8:58.0,Official timeout,,79-75,,
8:58.0,J. Johnson makes free throw 1 of 2,1,80-75,,
8:58.0,J. Johnson makes free throw 2 of 2,1,81-75,,
8:58.0,,,79-75,,D. Carroll enters the game for N. Powell
8:58.0,,,79-75,,L. Nogueira enters the game for J. Poeltl
8:58.0,R. Gobert enters the game for D. Favors,,79-75,,
8:45.0,,,81-75,,T. Ross misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by J. Johnson,,81-75,,
8:36.0,Offensive foul by R. Gobert,,81-75,,
8:36.0,Turnover by R. Gobert (offensive foul),,81-75,,
8:21.0,,,81-75,,C. Joseph misses 2-pt shot from 10 ft (block by R. Gobert)
8:19.0,,,81-75,,Offensive rebound by C. Joseph
8:14.0,,,81-75,,C. Joseph misses 2-pt shot from 6 ft
8:13.0,Defensive rebound by S. Mack,,81-75,,
7:59.0,R. Hood misses 2-pt shot from 18 ft,,81-75,,
7:58.0,,,81-75,,Defensive rebound by K. Lowry
7:52.0,,,81-75,,L. Nogueira misses 2-pt shot from 2 ft
7:51.0,Defensive rebound by S. Mack,,81-75,,
7:38.0,,,81-75,,Personal foul by K. Lowry (drawn by J. Ingles)
7:26.0,J. Johnson makes 2-pt shot from 18 ft,2,83-75,,
7:11.0,,,83-77,2,K. Lowry makes 2-pt shot from 15 ft
6:56.0,D. Exum enters the game for S. Mack,,83-77,,
6:56.0,G. Hayward enters the game for J. Ingles,,83-77,,
6:56.0,Utah full timeout,,83-77,,
6:56.0,,,83-77,,D. DeRozan enters the game for C. Joseph
6:46.0,R. Hood misses 2-pt shot from 20 ft,,83-77,,
6:45.0,,,83-77,,Defensive rebound by D. Carroll
6:41.0,Shooting block foul by D. Exum (drawn by K. Lowry),,83-77,,
6:41.0,,,83-78,1,K. Lowry makes free throw 1 of 2
6:41.0,,,83-79,1,K. Lowry makes free throw 2 of 2
6:24.0,,,83-79,,Personal foul by T. Ross (drawn by G. Hayward)
6:24.0,G. Hayward makes free throw 1 of 2,1,84-79,,
6:24.0,G. Hayward makes free throw 2 of 2,1,85-79,,
6:11.0,,,85-81,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
5:49.0,R. Gobert misses 2-pt shot from 3 ft,,85-81,,
5:49.0,Offensive rebound by R. Gobert,,85-81,,
5:46.0,Turnover by R. Gobert (lost ball; steal by K. Lowry),,85-81,,
5:39.0,,,85-81,,T. Ross misses 3-pt shot from 26 ft
5:39.0,,,85-81,,Offensive rebound by K. Lowry
5:30.0,,,85-81,,D. DeRozan misses 2-pt shot from 16 ft
5:30.0,Defensive rebound by R. Gobert,,85-81,,
5:12.0,Turnover by J. Johnson (bad pass),,85-81,,
5:12.0,S. Mack enters the game for D. Exum,,85-81,,
5:12.0,J. Ingles enters the game for J. Johnson,,85-81,,
5:00.0,,,85-84,3,K. Lowry makes 3-pt shot from 26 ft
4:32.0,R. Hood makes 3-pt shot from 27 ft (assist by J. Ingles),3,88-84,,
4:24.0,,,88-84,,Toronto full timeout
4:24.0,,,88-84,,J. Valanciunas enters the game for L. Nogueira
4:21.0,,,88-86,2,K. Lowry makes 2-pt shot from 7 ft
4:21.0,,,88-86,,Shooting foul by S. Mack (drawn by K. Lowry)
4:21.0,Violation by R. Hood (lane),,88-86,,
4:21.0,,,88-87,1,K. Lowry makes free throw 1 of 1
4:04.0,G. Hayward misses 2-pt shot from 19 ft,,88-87,,
4:04.0,,,88-87,,Defensive rebound by K. Lowry
3:57.0,Violation by R. Gobert (kicked ball),,88-87,,
3:44.0,,,88-89,2,D. DeRozan makes 2-pt shot from 18 ft
3:28.0,Turnover by S. Mack (bad pass; steal by D. Carroll),,88-89,,
3:27.0,Personal foul by J. Ingles (drawn by D. Carroll),,88-89,,
3:14.0,Personal foul by S. Mack (drawn by K. Lowry),,88-89,,
3:08.0,,,88-91,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
2:55.0,Turnover by S. Mack (lost ball),,88-91,,
2:43.0,,,88-94,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
2:42.0,Utah full timeout,,88-94,,
2:42.0,J. Johnson enters the game for S. Mack,,88-94,,
2:27.0,G. Hayward makes 3-pt shot from 26 ft,3,91-94,,
