time,Golden State,pts.away,score,pts.home,Philadelphia
0:46.0,K. Thompson misses 3-pt shot from 24 ft,,59-56,,
0:45.0,Offensive rebound by S. Curry,,59-56,,
0:40.0,K. Durant misses 3-pt shot from 25 ft,,59-56,,
0:39.0,,,59-56,,Defensive rebound by Team
0:39.0,,,59-56,,Philadelphia full timeout
0:29.0,,,59-56,,G. Henderson misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by A. Iguodala,,59-56,,
0:06.0,K. Thompson misses 3-pt shot from 27 ft,,59-56,,
0:04.0,,,59-56,,Defensive rebound by S. Rodriguez
0:00.0,,,59-56,,S. Rodriguez misses 3-pt shot from 36 ft
0:00.0,,,59-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Green misses 2-pt shot at rim,,59-56,,
11:43.0,Offensive rebound by Z. Pachulia,,59-56,,
11:41.0,K. Durant makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,62-56,,
11:19.0,,,62-59,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
11:06.0,Z. Pachulia makes 2-pt shot from 2 ft,2,64-59,,
11:06.0,Shooting foul by J. Okafor (drawn by Z. Pachulia),,64-59,,
11:06.0,Z. Pachulia makes free throw 1 of 1,1,65-59,,
10:58.0,,,65-59,,R. Covington misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by K. Durant,,65-59,,
10:51.0,K. Durant misses 2-pt shot from 4 ft,,65-59,,
10:49.0,,,65-59,,Defensive rebound by G. Henderson
10:45.0,Personal foul by S. Curry (drawn by G. Henderson),,65-59,,
10:36.0,,,65-59,,D. Saric misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by K. Durant,,65-59,,
10:26.0,S. Curry makes 2-pt shot from 2 ft (assist by K. Durant),2,67-59,,
10:04.0,,,67-59,,Turnover by R. Covington (bad pass; steal by D. Green)
10:00.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,69-59,,
10:00.0,,,69-59,,Philadelphia full timeout
9:44.0,,,69-59,,Offensive charge foul by J. Okafor
9:44.0,,,69-59,,Turnover by J. Okafor (offensive foul)
9:44.0,,,69-59,,R. Holmes enters the game for J. Okafor
9:28.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green),2,71-59,,
9:13.0,,,71-59,,Shooting foul by S. Curry (drawn by G. Henderson)
9:13.0,,,71-60,1,G. Henderson makes free throw 1 of 2
9:13.0,,,71-61,1,G. Henderson makes free throw 2 of 2
9:01.0,S. Curry misses 3-pt shot from 27 ft,,71-61,,
8:59.0,,,71-61,,Defensive rebound by R. Holmes
8:53.0,,,71-61,,Turnover by T. McConnell (bad pass; steal by S. Curry)
8:44.0,Shooting foul by R. Holmes (drawn by Z. Pachulia),,71-61,,
8:44.0,Z. Pachulia makes free throw 1 of 2,1,72-61,,
8:44.0,Z. Pachulia makes free throw 2 of 2,1,73-61,,
8:32.0,,,73-61,,G. Henderson misses 2-pt shot from 14 ft
8:30.0,Defensive rebound by Z. Pachulia,,73-61,,
8:19.0,Turnover by D. Green (bad pass; steal by R. Covington),,73-61,,
8:11.0,,,73-61,,R. Holmes misses 2-pt shot from 3 ft
8:09.0,Defensive rebound by K. Durant,,73-61,,
