time,Orlando,pts.away,score,pts.home,Atlanta
0:01.0,Turnover by J. Green (bad pass; steal by P. Millsap),,72-62,,
0:01.0,,,72-62,,D. Schroder misses 3-pt shot from 25 ft
0:00.0,,,72-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,S. Ibaka misses 2-pt shot from 16 ft,,72-62,,
11:33.0,,,72-62,,Defensive rebound by P. Millsap
11:28.0,,,72-64,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
11:11.0,D. Augustin makes 3-pt shot from 23 ft (assist by E. Fournier),3,75-64,,
10:56.0,,,75-67,3,P. Millsap makes 3-pt shot from 26 ft (assist by T. Sefolosha)
10:37.0,Offensive foul by A. Gordon,,75-67,,
10:37.0,Turnover by A. Gordon (offensive foul),,75-67,,
10:26.0,,,75-69,2,T. Sefolosha makes 2-pt shot from 4 ft (assist by D. Schroder)
10:07.0,S. Ibaka misses 2-pt shot from 21 ft,,75-69,,
10:04.0,,,75-69,,Defensive rebound by D. Howard
9:53.0,,,75-69,,D. Schroder misses 2-pt shot from 4 ft
9:50.0,Defensive rebound by A. Gordon,,75-69,,
9:37.0,Turnover by B. Biyombo (bad pass),,75-69,,
9:37.0,J. Meeks enters the game for A. Gordon,,75-69,,
9:21.0,,,75-72,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by D. Schroder)
9:21.0,Orlando full timeout,,75-72,,
8:58.0,Turnover by J. Meeks (bad pass; steal by P. Millsap),,75-72,,
8:45.0,,,75-72,,D. Schroder misses 2-pt shot at rim
8:43.0,Defensive rebound by S. Ibaka,,75-72,,
8:36.0,E. Fournier makes 2-pt shot at rim,2,77-72,,
8:24.0,,,77-74,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by P. Millsap)
8:10.0,D. Augustin misses 3-pt shot from 27 ft,,77-74,,
8:09.0,,,77-74,,Defensive rebound by D. Howard
8:01.0,,,77-76,2,T. Hardaway makes 2-pt shot at rim (assist by D. Howard)
7:45.0,J. Meeks misses 2-pt shot from 2 ft (block by P. Millsap),,77-76,,
7:45.0,Offensive rebound by Team,,77-76,,
7:34.0,E. Fournier misses 3-pt shot from 25 ft (block by T. Sefolosha),,77-76,,
7:32.0,,,77-76,,Defensive rebound by P. Millsap
7:24.0,,,77-76,,Shooting foul by J. Meeks (drawn by T. Hardaway)
7:24.0,,,77-77,1,T. Hardaway makes free throw 1 of 3
7:24.0,,,77-78,1,T. Hardaway makes free throw 2 of 3
7:24.0,,,77-79,1,T. Hardaway makes free throw 3 of 3
7:24.0,E. Payton enters the game for D. Augustin,,77-78,,
7:24.0,J. Green enters the game for J. Meeks,,77-78,,
7:11.0,Jump ball: E. Payton vs. D. Schroder (T. Hardaway gains possession),,,,Jump ball: E. Payton vs. D. Schroder (T. Hardaway gains possession)
7:11.0,Turnover by E. Payton (lost ball; steal by D. Schroder),,77-79,,
7:00.0,,,77-79,,Turnover by D. Schroder (discontinued dribble)
6:50.0,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Payton),3,80-79,,
6:32.0,,,80-79,,T. Sefolosha misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by B. Biyombo,,80-79,,
6:22.0,E. Payton misses 2-pt shot from 4 ft,,80-79,,
6:20.0,,,80-79,,Defensive rebound by P. Millsap
6:13.0,,,80-79,,D. Schroder misses 3-pt shot from 29 ft
6:10.0,Defensive rebound by B. Biyombo,,80-79,,
5:55.0,J. Green misses 2-pt shot from 18 ft,,80-79,,
5:54.0,Offensive rebound by B. Biyombo,,80-79,,
5:54.0,,,80-79,,Violation by D. Howard (def goaltending)
5:54.0,B. Biyombo makes 2-pt shot from 1 ft,2,82-79,,
5:35.0,Personal foul by E. Fournier (drawn by P. Millsap),,82-79,,
5:35.0,,,82-79,,M. Muscala enters the game for D. Howard
5:30.0,,,82-81,2,D. Schroder makes 2-pt shot from 2 ft (assist by T. Sefolosha)
5:13.0,Turnover by J. Green (bad pass; steal by T. Sefolosha),,82-81,,
5:03.0,,,82-81,,T. Hardaway misses 3-pt shot from 27 ft
5:01.0,Defensive rebound by B. Biyombo,,82-81,,
4:50.0,S. Ibaka misses 2-pt shot from 6 ft,,82-81,,
4:48.0,,,82-81,,Defensive rebound by T. Sefolosha
4:25.0,,,82-81,,P. Millsap misses 3-pt shot from 26 ft
4:23.0,,,82-81,,Offensive rebound by Team
4:23.0,J. Meeks enters the game for B. Biyombo,,82-81,,
4:23.0,,,82-81,,K. Bazemore enters the game for P. Millsap
4:23.0,,,82-81,,K. Korver enters the game for T. Hardaway
4:18.0,,,82-83,2,T. Sefolosha makes 2-pt shot from 18 ft (assist by D. Schroder)
3:55.0,E. Payton makes 3-pt shot from 26 ft (assist by E. Fournier),3,85-83,,
3:49.0,,,85-83,,Atlanta full timeout
3:41.0,,,85-83,,Turnover by D. Schroder (bad pass; steal by S. Ibaka)
3:33.0,J. Green makes 2-pt shot from 2 ft (assist by E. Fournier),2,87-83,,
3:13.0,,,87-83,,K. Bazemore misses 2-pt shot from 12 ft
3:11.0,Defensive rebound by J. Meeks,,87-83,,
2:59.0,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Payton),3,90-83,,
2:44.0,,,90-86,3,K. Korver makes 3-pt shot from 26 ft (assist by M. Muscala)
2:18.0,E. Fournier makes 2-pt shot from 1 ft,2,92-86,,
1:57.0,,,92-89,3,D. Schroder makes 3-pt shot from 27 ft (assist by M. Muscala)
1:46.0,S. Ibaka makes 2-pt shot from 16 ft (assist by E. Payton),2,94-89,,
1:27.0,,,94-91,2,K. Bazemore makes 2-pt shot from 3 ft (assist by D. Schroder)
1:00.0,E. Payton misses 2-pt shot from 2 ft,,94-91,,
1:00.0,,,94-91,,Defensive rebound by K. Korver
0:57.0,,,94-91,,Shooting foul by E. Fournier (drawn by T. Sefolosha)
0:57.0,,,94-92,1,T. Sefolosha makes free throw 1 of 2
0:57.0,Violation by E. Payton (lane),,94-92,,
0:57.0,,,94-93,1,T. Sefolosha makes free throw 2 of 2
0:57.0,,,94-92,,D. Howard enters the game for D. Schroder
0:57.0,,,94-92,,M. Delaney enters the game for K. Korver
0:57.0,B. Biyombo enters the game for S. Ibaka,,94-92,,
0:46.0,,,94-93,,K. Korver enters the game for T. Sefolosha
0:36.0,J. Green makes 2-pt shot from 22 ft,2,96-93,,
0:30.0,,,96-93,,K. Bazemore misses 3-pt shot from 25 ft
0:28.0,,,96-93,,Offensive rebound by D. Howard
0:05.0,,,96-96,3,K. Korver makes 3-pt shot from 26 ft (assist by M. Delaney)
0:01.0,J. Meeks makes 3-pt shot from 25 ft (assist by E. Payton),3,99-96,,
0:00.0,,,99-96,,K. Bazemore misses 3-pt shot from 27 ft
0:00.0,,,99-96,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,99-98,2,M. Delaney makes 2-pt shot from 20 ft
11:28.0,B. Biyombo makes 2-pt shot from 12 ft (assist by E. Payton),2,101-98,,
11:10.0,,,101-98,,M. Delaney misses 2-pt shot from 20 ft
11:09.0,Defensive rebound by J. Meeks,,101-98,,
11:00.0,Shooting foul by P. Millsap (drawn by E. Payton),,101-98,,
11:00.0,E. Payton makes free throw 1 of 2,1,102-98,,
11:00.0,E. Payton makes free throw 2 of 2,1,103-98,,
11:00.0,,,102-98,,T. Hardaway enters the game for K. Bazemore
10:57.0,Personal foul by E. Payton (drawn by M. Delaney),,103-98,,
10:47.0,,,103-98,,K. Korver misses 2-pt shot from 19 ft
10:44.0,Defensive rebound by J. Green,,103-98,,
10:35.0,D. Rudez misses 3-pt shot from 25 ft,,103-98,,
10:33.0,,,103-98,,Defensive rebound by T. Hardaway
10:27.0,,,103-100,2,P. Millsap makes 2-pt shot from 2 ft (assist by T. Hardaway)
10:15.0,,,103-100,,Personal foul by M. Delaney (drawn by E. Payton)
10:08.0,J. Meeks makes 2-pt shot from 18 ft (assist by B. Biyombo),2,105-100,,
9:49.0,,,105-100,,Turnover by D. Howard (offensive goaltending)
9:32.0,,,105-100,,Def 3 sec tech foul by D. Howard
9:32.0,J. Meeks misses technical free throw,,105-100,,
9:32.0,Offensive rebound by Team,,105-100,,
9:23.0,E. Payton makes 3-pt shot from 24 ft (assist by J. Meeks),3,108-100,,
9:09.0,,,108-100,,K. Korver misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by B. Biyombo,,108-100,,
8:52.0,Turnover by J. Meeks (traveling),,108-100,,
8:52.0,Official timeout,,108-100,,
8:34.0,,,108-100,,P. Millsap misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by Team,,108-100,,
8:12.0,J. Green makes 2-pt shot from 22 ft,2,110-100,,
7:56.0,,,110-100,,T. Hardaway misses 3-pt shot from 24 ft
7:54.0,,,110-100,,Offensive rebound by D. Howard
7:54.0,,,110-100,,Shooting foul by J. Green (drawn by D. Howard)
7:54.0,,,110-100,,Technical foul by D. Howard
7:54.0,J. Green makes technical free throw,1,111-100,,
7:54.0,,,111-100,,D. Howard misses free throw 1 of 2
7:54.0,,,111-100,,Offensive rebound by Team
7:54.0,,,111-101,1,D. Howard makes free throw 2 of 2
7:54.0,,,111-100,,D. Schroder enters the game for M. Delaney
7:39.0,J. Green misses 3-pt shot from 24 ft,,111-101,,
7:38.0,,,111-101,,Defensive rebound by P. Millsap
7:30.0,,,111-103,2,P. Millsap makes 2-pt shot from 3 ft (assist by D. Schroder)
7:10.0,J. Green misses 2-pt shot from 9 ft,,111-103,,
7:07.0,,,111-103,,Defensive rebound by D. Howard
6:57.0,,,111-103,,P. Millsap misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by Team,,111-103,,
6:56.0,S. Ibaka enters the game for D. Rudez,,111-103,,
6:56.0,,,111-103,,T. Sefolosha enters the game for K. Korver
6:56.0,,,111-103,,M. Muscala enters the game for D. Howard
6:42.0,J. Meeks makes 2-pt shot from 14 ft (assist by E. Payton),2,113-103,,
6:28.0,,,113-103,,T. Sefolosha misses 2-pt shot from 17 ft
6:26.0,Defensive rebound by J. Meeks,,113-103,,
6:12.0,J. Meeks makes 3-pt shot from 25 ft (assist by E. Payton),3,116-103,,
6:11.0,,,116-103,,Atlanta full timeout
6:11.0,E. Fournier enters the game for J. Green,,116-103,,
6:02.0,,,116-105,2,D. Schroder makes 2-pt shot from 2 ft
5:32.0,E. Payton makes 2-pt shot from 19 ft (assist by S. Ibaka),2,118-105,,
5:19.0,,,118-108,3,D. Schroder makes 3-pt shot from 25 ft (assist by T. Sefolosha)
5:03.0,S. Ibaka misses 3-pt shot from 25 ft,,118-108,,
5:02.0,,,118-108,,Defensive rebound by M. Muscala
4:51.0,,,118-110,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
4:51.0,,,118-110,,Shooting foul by S. Ibaka (drawn by P. Millsap)
4:51.0,,,118-111,1,P. Millsap makes free throw 1 of 1
4:33.0,J. Meeks misses 3-pt shot from 24 ft,,118-111,,
4:31.0,,,118-111,,Defensive rebound by T. Sefolosha
4:18.0,,,118-111,,T. Hardaway misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by B. Biyombo,,118-111,,
4:04.0,J. Meeks makes 3-pt shot from 25 ft (assist by E. Payton),3,121-111,,
3:36.0,,,121-111,,Turnover by P. Millsap (bad pass; steal by J. Meeks)
3:36.0,,,121-111,,Personal foul by P. Millsap (drawn by E. Payton)
3:26.0,Turnover by E. Payton (bad pass; steal by D. Schroder),,121-111,,
3:21.0,,,121-111,,T. Hardaway misses 2-pt shot from 2 ft (block by B. Biyombo)
