time,Houston,pts.away,score,pts.home,Atlanta
10:23.0,S. Dekker makes 3-pt shot from 24 ft (assist by E. Gordon),3,33-31,,
10:11.0,Personal foul by S. Dekker (drawn by M. Muscala),,33-31,,
10:11.0,,,33-31,,K. Bazemore enters the game for T. Hardaway
10:00.0,,,33-33,2,M. Delaney makes 2-pt shot from 22 ft
9:45.0,Turnover by E. Gordon (bad pass; steal by K. Korver),,33-33,,
9:40.0,,,33-33,,M. Delaney misses 2-pt shot from 19 ft
9:36.0,,,33-33,,Offensive rebound by D. Howard
9:36.0,,,33-33,,D. Howard misses 2-pt shot at rim
9:33.0,,,33-33,,Offensive rebound by K. Korver
9:16.0,,,33-35,2,M. Delaney makes 2-pt shot from 1 ft (assist by K. Bazemore)
9:00.0,T. Ennis misses 2-pt shot from 3 ft,,33-35,,
8:59.0,,,33-35,,Defensive rebound by D. Howard
8:57.0,,,33-35,,Turnover by D. Howard (bad pass)
8:57.0,Official timeout,,33-35,,
8:57.0,,,33-35,,T. Sefolosha enters the game for M. Muscala
8:54.0,Turnover by C. Capela (bad pass),,33-35,,
8:32.0,,,33-35,,Shooting foul by E. Gordon (drawn by K. Bazemore)
8:32.0,,,33-36,1,K. Bazemore makes free throw 1 of 2
8:32.0,,,33-37,1,K. Bazemore makes free throw 2 of 2
8:20.0,S. Dekker misses 3-pt shot from 24 ft,,33-37,,
8:18.0,,,33-37,,Defensive rebound by K. Bazemore
7:58.0,,,33-39,2,M. Delaney makes 2-pt shot from 18 ft
7:39.0,S. Dekker misses 2-pt shot from 2 ft (block by D. Howard),,33-39,,
7:37.0,Offensive rebound by T. Ennis,,33-39,,
7:32.0,T. Ennis makes 2-pt shot from 2 ft,2,35-39,,
7:15.0,,,35-39,,Turnover by K. Korver (bad pass; steal by C. Brewer)
7:09.0,C. Capela makes 2-pt shot at rim (assist by C. Brewer),2,37-39,,
6:59.0,,,37-41,2,T. Sefolosha makes 2-pt shot from 7 ft (assist by D. Howard)
6:56.0,Turnover by T. Ennis (step out of bounds),,37-41,,
6:56.0,,,37-41,,P. Millsap enters the game for D. Howard
6:56.0,,,37-41,,D. Schroder enters the game for M. Delaney
6:56.0,T. Ariza enters the game for S. Dekker,,37-41,,
6:56.0,R. Anderson enters the game for T. Ennis,,37-41,,
6:56.0,Houston full timeout,,37-41,,
6:56.0,J. Harden enters the game for C. Brewer,,37-41,,
6:46.0,,,37-43,2,P. Millsap makes 2-pt shot from 3 ft (assist by D. Schroder)
6:34.0,Shooting foul by K. Bazemore (drawn by J. Harden),,37-43,,
6:34.0,J. Harden makes free throw 1 of 3,1,38-43,,
6:34.0,J. Harden makes free throw 2 of 3,1,39-43,,
6:34.0,J. Harden makes free throw 3 of 3,1,40-43,,
6:27.0,,,40-43,,Shooting foul by E. Gordon (drawn by D. Schroder)
6:27.0,,,40-44,1,D. Schroder makes free throw 1 of 2
6:27.0,,,40-45,1,D. Schroder makes free throw 2 of 2
6:27.0,K. McDaniels enters the game for E. Gordon,,40-44,,
6:27.0,N. Hilario enters the game for C. Capela,,40-44,,
6:15.0,Turnover by J. Harden (bad pass; steal by K. Bazemore),,40-45,,
6:07.0,,,40-45,,K. Korver misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by R. Anderson,,40-45,,
5:57.0,T. Ariza misses 3-pt shot from 24 ft,,40-45,,
5:55.0,,,40-45,,Defensive rebound by Team
5:47.0,,,40-47,2,D. Schroder makes 2-pt shot from 1 ft
5:23.0,N. Hilario makes 2-pt shot from 11 ft,2,42-47,,
5:17.0,,,42-49,2,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver)
5:17.0,,,42-49,,Shooting foul by J. Harden (drawn by K. Bazemore)
5:17.0,,,42-50,1,K. Bazemore makes free throw 1 of 1
5:05.0,Turnover by N. Hilario (lost ball; steal by P. Millsap),,42-50,,
4:58.0,,,42-50,,T. Sefolosha misses 2-pt shot from 1 ft (block by N. Hilario)
4:56.0,Defensive rebound by K. McDaniels,,42-50,,
4:51.0,R. Anderson misses 3-pt shot from 25 ft,,42-50,,
4:50.0,,,42-50,,Defensive rebound by P. Millsap
4:43.0,,,42-50,,D. Schroder misses 2-pt shot from 1 ft
4:41.0,,,42-50,,Offensive rebound by T. Sefolosha
4:26.0,,,42-50,,Turnover by P. Millsap (lost ball; steal by J. Harden)
4:21.0,K. McDaniels makes 2-pt shot at rim (assist by J. Harden),2,44-50,,
4:02.0,,,44-50,,Shooting foul by N. Hilario (drawn by D. Schroder)
4:02.0,,,44-50,,D. Schroder misses free throw 1 of 2
4:02.0,,,44-50,,Offensive rebound by Team
4:02.0,,,44-51,1,D. Schroder makes free throw 2 of 2
4:02.0,M. Harrell enters the game for N. Hilario,,44-50,,
4:02.0,,,44-50,,D. Howard enters the game for K. Korver
3:44.0,R. Anderson misses 3-pt shot from 25 ft,,44-51,,
3:41.0,Offensive rebound by M. Harrell,,44-51,,
3:33.0,K. McDaniels misses 3-pt shot from 24 ft,,44-51,,
3:31.0,,,44-51,,Defensive rebound by T. Sefolosha
3:26.0,,,44-51,,D. Schroder misses 2-pt shot from 22 ft
3:24.0,,,44-51,,Offensive rebound by D. Howard
3:18.0,,,44-53,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
2:55.0,Shooting foul by D. Howard (drawn by K. McDaniels),,44-53,,
2:55.0,K. McDaniels makes free throw 1 of 2,1,45-53,,
2:55.0,K. McDaniels makes free throw 2 of 2,1,46-53,,
2:55.0,,,45-53,,M. Muscala enters the game for D. Howard
2:50.0,,,46-55,2,D. Schroder makes 2-pt shot from 6 ft
2:39.0,J. Harden makes 2-pt shot from 13 ft,2,48-55,,
2:37.0,,,48-55,,Atlanta full timeout
2:22.0,,,48-55,,Turnover by K. Bazemore (bad pass; steal by J. Harden)
2:17.0,Turnover by J. Harden (bad pass; steal by K. Bazemore),,48-55,,
2:04.0,,,48-58,3,D. Schroder makes 3-pt shot from 25 ft (assist by T. Sefolosha)
1:50.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,51-58,,
1:36.0,,,51-60,2,P. Millsap makes 2-pt shot from 9 ft
1:14.0,T. Ariza misses 3-pt shot from 25 ft,,51-60,,
1:12.0,,,51-60,,Defensive rebound by K. Bazemore
0:59.0,,,51-62,2,T. Sefolosha makes 2-pt shot from 1 ft
0:50.0,J. Harden makes 3-pt shot from 25 ft,3,54-62,,
0:32.0,,,54-64,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
0:32.0,,,54-64,,Shooting foul by T. Ariza (drawn by P. Millsap)
0:32.0,,,54-65,1,P. Millsap makes free throw 1 of 1
0:32.0,,,54-64,,T. Hardaway enters the game for K. Bazemore
0:29.0,J. Harden makes 3-pt shot from 25 ft,3,57-65,,
0:08.0,,,57-65,,Turnover by D. Schroder (bad pass)
0:00.0,J. Harden makes 2-pt shot from 18 ft,2,59-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,62-65,,
11:31.0,,,62-67,2,K. Korver makes 2-pt shot from 2 ft (assist by K. Bazemore)
11:26.0,Turnover by C. Capela (bad pass; steal by K. Bazemore),,62-67,,
11:17.0,,,62-67,,Turnover by P. Millsap (bad pass; steal by C. Capela)
11:12.0,T. Ariza misses 3-pt shot from 25 ft,,62-67,,
11:09.0,Offensive rebound by C. Capela,,62-67,,
11:01.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,64-67,,
10:50.0,,,64-69,2,K. Korver makes 2-pt shot at rim (assist by D. Howard)
10:33.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,66-69,,
10:14.0,,,66-69,,P. Millsap misses 2-pt shot from 18 ft
10:12.0,Defensive rebound by C. Capela,,66-69,,
10:05.0,Turnover by J. Harden (lost ball),,66-69,,
9:54.0,,,66-72,3,D. Schroder makes 3-pt shot from 25 ft (assist by K. Bazemore)
9:37.0,R. Anderson misses 2-pt shot from 14 ft,,66-72,,
9:34.0,,,66-72,,Defensive rebound by K. Korver
9:21.0,,,66-72,,D. Schroder misses 2-pt shot from 9 ft
9:20.0,Defensive rebound by C. Capela,,66-72,,
9:05.0,C. Capela makes 2-pt shot at rim (assist by E. Gordon),2,68-72,,
8:45.0,,,68-72,,Shooting foul by R. Anderson (drawn by P. Millsap)
8:45.0,,,68-73,1,P. Millsap makes free throw 1 of 2
8:45.0,,,68-73,,P. Millsap misses free throw 2 of 2
8:44.0,Defensive rebound by C. Capela,,68-73,,
8:35.0,Turnover by R. Anderson (traveling),,68-73,,
8:24.0,,,68-75,2,K. Bazemore makes 2-pt shot from 18 ft (assist by P. Millsap)
8:07.0,Turnover by T. Ariza (lost ball; steal by P. Millsap),,68-75,,
8:00.0,,,68-77,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
7:51.0,E. Gordon makes 2-pt shot at rim,2,70-77,,
7:51.0,Shooting foul by P. Millsap (drawn by E. Gordon),,70-77,,
7:51.0,E. Gordon makes free throw 1 of 1,1,71-77,,
7:39.0,,,71-77,,D. Schroder misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by R. Anderson,,71-77,,
7:29.0,J. Harden makes 2-pt shot from 8 ft,2,73-77,,
7:16.0,,,73-79,2,D. Howard makes 2-pt shot from 8 ft (assist by P. Millsap)
7:01.0,E. Gordon misses 3-pt shot from 26 ft,,73-79,,
6:59.0,,,73-79,,Defensive rebound by D. Howard
6:48.0,,,73-81,2,K. Bazemore makes 2-pt shot from 19 ft
6:31.0,R. Anderson misses 3-pt shot from 27 ft,,73-81,,
6:30.0,,,73-81,,Defensive rebound by D. Schroder
6:21.0,Personal foul by C. Capela (drawn by D. Howard),,73-81,,
6:21.0,,,73-81,,M. Muscala enters the game for D. Howard
6:17.0,Personal foul by T. Ariza (drawn by K. Korver),,73-81,,
6:09.0,,,73-81,,Turnover by D. Schroder (bad pass)
5:57.0,Shooting foul by P. Millsap (drawn by J. Harden),,73-81,,
5:57.0,,,73-81,,Atlanta full timeout
5:57.0,J. Harden makes free throw 1 of 2,1,74-81,,
5:57.0,J. Harden makes free throw 2 of 2,1,75-81,,
5:57.0,N. Hilario enters the game for C. Capela,,73-81,,
5:46.0,,,75-83,2,D. Schroder makes 2-pt shot from 2 ft
5:29.0,N. Hilario misses 2-pt shot from 2 ft (block by M. Muscala),,75-83,,
5:26.0,,,75-83,,Defensive rebound by P. Millsap
5:13.0,,,75-83,,K. Bazemore misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by J. Harden,,75-83,,
5:04.0,J. Harden misses 2-pt shot from 6 ft,,75-83,,
5:01.0,Offensive rebound by J. Harden,,75-83,,
5:01.0,J. Harden makes 2-pt shot at rim,2,77-83,,
4:33.0,,,77-83,,P. Millsap misses 3-pt shot from 24 ft
4:31.0,,,77-83,,Offensive rebound by M. Muscala
4:27.0,,,77-86,3,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap)
4:15.0,Turnover by J. Harden (bad pass; steal by K. Korver),,77-86,,
4:08.0,,,77-89,3,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder)
4:06.0,Houston full timeout,,77-89,,
4:06.0,S. Dekker enters the game for T. Ariza,,77-89,,
4:06.0,C. Brewer enters the game for R. Anderson,,77-89,,
4:06.0,K. McDaniels enters the game for E. Gordon,,77-89,,
4:06.0,,,77-89,,T. Hardaway enters the game for P. Millsap
4:06.0,,,77-89,,T. Sefolosha enters the game for K. Korver
3:47.0,K. McDaniels makes 2-pt shot from 13 ft,2,79-89,,
3:25.0,,,79-89,,Turnover by K. Bazemore (bad pass; steal by J. Harden)
3:15.0,S. Dekker misses 3-pt shot from 23 ft,,79-89,,
3:13.0,Offensive rebound by N. Hilario,,79-89,,
3:12.0,N. Hilario misses 2-pt shot from 4 ft,,79-89,,
3:09.0,,,79-89,,Defensive rebound by T. Hardaway
2:58.0,,,79-89,,Turnover by D. Schroder (bad pass; steal by C. Brewer)
2:52.0,,,79-89,,Personal foul by T. Hardaway (drawn by J. Harden)
2:52.0,,,79-89,,P. Millsap enters the game for K. Bazemore
2:36.0,J. Harden misses 3-pt shot from 25 ft,,79-89,,
2:34.0,Offensive rebound by S. Dekker,,79-89,,
2:34.0,S. Dekker misses 2-pt shot from 1 ft,,79-89,,
2:32.0,,,79-89,,Defensive rebound by P. Millsap
2:24.0,,,79-91,2,M. Muscala makes 2-pt shot at rim (assist by D. Schroder)
2:03.0,K. McDaniels makes 3-pt shot from 25 ft (assist by S. Dekker),3,82-91,,
1:44.0,C. Capela enters the game for N. Hilario,,82-91,,
1:44.0,,,82-91,,M. Delaney enters the game for D. Schroder
1:36.0,,,82-91,,T. Sefolosha misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by C. Capela,,82-91,,
1:23.0,C. Brewer misses 3-pt shot from 24 ft,,82-91,,
1:19.0,Offensive rebound by S. Dekker,,82-91,,
1:18.0,C. Capela makes 2-pt shot from 2 ft (assist by S. Dekker),2,84-91,,
0:58.0,,,84-93,2,T. Hardaway makes 2-pt shot from 2 ft
0:42.0,C. Capela misses 2-pt shot from 2 ft,,84-93,,
0:40.0,,,84-93,,Defensive rebound by P. Millsap
0:32.0,,,84-93,,T. Hardaway misses 2-pt shot from 18 ft
0:32.0,Defensive rebound by Team,,84-93,,
0:28.0,J. Harden misses 3-pt shot from 28 ft,,84-93,,
0:26.0,,,84-93,,Defensive rebound by M. Delaney
0:02.0,,,84-93,,P. Millsap misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by J. Harden,,84-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,84-95,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
11:29.0,Turnover by C. Brewer (lost ball),,84-95,,
11:20.0,Personal foul by K. McDaniels (drawn by T. Hardaway),,84-95,,
11:13.0,,,84-95,,T. Sefolosha misses 2-pt shot from 2 ft (block by K. McDaniels)
11:12.0,,,84-95,,Offensive rebound by D. Howard
11:12.0,,,84-95,,Shooting foul by C. Capela (drawn by D. Howard)
11:12.0,,,84-95,,D. Howard misses free throw 1 of 2
11:12.0,,,84-95,,Offensive rebound by Team
11:12.0,,,84-95,,D. Howard misses free throw 2 of 2
11:11.0,Defensive rebound by C. Capela,,84-95,,
10:57.0,C. Brewer misses 3-pt shot from 24 ft,,84-95,,
10:55.0,,,84-95,,Defensive rebound by D. Howard
10:44.0,,,84-95,,D. Howard misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by C. Capela,,84-95,,
10:37.0,E. Gordon makes 2-pt shot from 2 ft,2,86-95,,
10:19.0,,,86-95,,T. Hardaway misses 3-pt shot from 25 ft
10:17.0,,,86-95,,Offensive rebound by D. Howard
10:15.0,,,86-97,2,D. Howard makes 2-pt shot at rim
10:05.0,E. Gordon misses 2-pt shot from 3 ft (block by T. Sefolosha),,86-97,,
10:05.0,,,86-97,,Defensive rebound by Team
9:46.0,,,86-99,2,D. Howard makes 2-pt shot from 7 ft
9:31.0,Turnover by K. McDaniels (bad pass; steal by T. Sefolosha),,86-99,,
9:26.0,,,86-99,,Turnover by T. Sefolosha (bad pass)
9:26.0,B. Brown enters the game for E. Gordon,,86-99,,
9:20.0,Turnover by C. Capela (discontinued dribble),,86-99,,
9:20.0,Houston full timeout,,86-99,,
9:20.0,E. Gordon enters the game for K. McDaniels,,86-99,,
9:03.0,Personal foul by C. Capela (drawn by D. Howard),,86-99,,
8:58.0,,,86-101,2,D. Howard makes 2-pt shot at rim (assist by K. Korver)
8:47.0,Shooting foul by T. Hardaway (drawn by E. Gordon),,86-101,,
8:47.0,E. Gordon misses free throw 1 of 2,,86-101,,
8:47.0,Offensive rebound by Team,,86-101,,
8:47.0,E. Gordon makes free throw 2 of 2,1,87-101,,
8:47.0,M. Harrell enters the game for C. Capela,,86-101,,
8:29.0,,,87-101,,T. Hardaway misses 2-pt shot from 12 ft (block by E. Gordon)
8:26.0,,,87-101,,Offensive rebound by T. Sefolosha
8:22.0,,,87-101,,Turnover by Team (shot clock)
7:59.0,E. Gordon misses 3-pt shot from 25 ft,,87-101,,
7:58.0,,,87-101,,Defensive rebound by D. Howard
7:50.0,,,87-101,,M. Delaney misses 2-pt shot from 18 ft
7:47.0,,,87-101,,Offensive rebound by D. Howard
7:43.0,,,87-101,,M. Delaney misses 3-pt shot from 24 ft
7:42.0,,,87-101,,Offensive rebound by T. Sefolosha
7:40.0,,,87-101,,T. Sefolosha misses 2-pt shot from 13 ft (block by E. Gordon)
7:40.0,Defensive rebound by E. Gordon,,87-101,,
7:35.0,Offensive charge foul by C. Brewer,,87-101,,
7:35.0,Turnover by C. Brewer (offensive foul),,87-101,,
7:35.0,J. Harden enters the game for E. Gordon,,87-101,,
7:35.0,T. Ariza enters the game for C. Brewer,,87-101,,
7:35.0,R. Anderson enters the game for S. Dekker,,87-101,,
7:25.0,Personal foul by B. Brown (drawn by M. Delaney),,87-101,,
7:25.0,,,87-101,,P. Millsap enters the game for T. Hardaway
7:25.0,,,87-101,,K. Bazemore enters the game for K. Korver
7:13.0,,,87-103,2,P. Millsap makes 2-pt shot from 14 ft
6:50.0,B. Brown misses 2-pt shot from 19 ft,,87-103,,
6:48.0,,,87-103,,Defensive rebound by D. Howard
6:38.0,Personal foul by M. Harrell (drawn by D. Howard),,87-103,,
6:38.0,,,87-103,,Technical foul by D. Howard
6:38.0,J. Harden misses technical free throw,,87-103,,
6:38.0,,,87-103,,Offensive rebound by Team
6:38.0,,,87-103,,D. Howard misses free throw 1 of 2
6:38.0,,,87-103,,Offensive rebound by Team
6:38.0,,,87-103,,D. Howard misses free throw 2 of 2
6:38.0,,,87-103,,K. Korver enters the game for T. Sefolosha
6:37.0,Defensive rebound by T. Ariza,,87-103,,
6:27.0,J. Harden misses 2-pt shot at rim,,87-103,,
6:27.0,,,87-103,,Defensive rebound by D. Howard
6:27.0,Personal foul by J. Harden (drawn by D. Howard),,87-103,,
6:27.0,,,87-104,1,D. Howard makes free throw 1 of 2
6:27.0,,,87-105,1,D. Howard makes free throw 2 of 2
6:27.0,,,87-104,,D. Schroder enters the game for M. Delaney
6:27.0,E. Gordon enters the game for B. Brown,,87-104,,
6:16.0,M. Harrell makes 2-pt shot from 18 ft (assist by T. Ariza),2,89-105,,
5:58.0,,,89-105,,P. Millsap misses 2-pt shot from 14 ft
5:58.0,,,89-105,,Offensive rebound by D. Howard
5:58.0,Personal foul by M. Harrell (drawn by D. Howard),,89-105,,
5:58.0,Official timeout,,89-105,,
5:58.0,,,89-106,1,D. Howard makes free throw 1 of 2
5:58.0,,,89-106,,D. Howard misses free throw 2 of 2
5:57.0,Defensive rebound by J. Harden,,89-106,,
5:44.0,J. Harden misses 3-pt shot from 25 ft,,89-106,,
5:41.0,,,89-106,,Defensive rebound by D. Schroder
