time,Utah,pts.away,score,pts.home,Chicago
3:27.0,,,18-10,,B. Portis enters the game for N. Mirotic
3:27.0,A. Burks enters the game for J. Johnson,,18-10,,
3:27.0,D. Exum enters the game for J. Ingles,,18-10,,
3:27.0,B. Diaw enters the game for G. Hill,,18-10,,
3:10.0,D. Exum misses 2-pt shot from 2 ft (block by M. Carter-Williams),,18-10,,
3:06.0,Offensive rebound by R. Gobert,,18-10,,
3:06.0,R. Gobert misses 2-pt shot from 3 ft (block by R. Lopez),,18-10,,
3:02.0,Jump ball: R. Gobert vs. R. Lopez (A. Burks gains possession),,,,Jump ball: R. Gobert vs. R. Lopez (A. Burks gains possession)
3:02.0,Offensive rebound by Team,,18-10,,
3:02.0,A. Burks makes 2-pt shot from 12 ft,2,20-10,,
2:43.0,,,20-10,,M. Carter-Williams misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by R. Gobert,,20-10,,
2:29.0,G. Hayward misses 2-pt shot from 22 ft,,20-10,,
2:27.0,,,20-10,,Defensive rebound by Team
2:08.0,,,20-10,,D. Valentine misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by G. Hayward,,20-10,,
1:52.0,Turnover by D. Exum (bad pass; steal by M. Carter-Williams),,20-10,,
1:49.0,,,20-10,,M. Carter-Williams misses 2-pt shot from 2 ft (block by B. Diaw)
1:48.0,,,20-10,,Offensive rebound by B. Portis
1:48.0,,,20-12,2,B. Portis makes 2-pt shot from 1 ft
1:44.0,Utah full timeout,,20-12,,
1:44.0,J. Ingles enters the game for G. Hayward,,20-12,,
1:44.0,J. Withey enters the game for R. Gobert,,20-12,,
1:29.0,A. Burks makes 2-pt shot from 13 ft,2,22-12,,
1:17.0,,,22-14,2,J. Butler makes 2-pt shot from 19 ft
1:00.0,Turnover by B. Diaw (bad pass),,22-14,,
0:53.0,,,22-14,,D. Valentine misses 3-pt shot from 23 ft
0:49.0,,,22-14,,Offensive rebound by R. Lopez
0:49.0,,,22-14,,R. Lopez misses 2-pt shot from 2 ft
0:49.0,Defensive rebound by B. Diaw,,22-14,,
0:41.0,,,22-14,,Personal foul by M. Carter-Williams (drawn by D. Exum)
0:41.0,,,22-14,,C. Felicio enters the game for R. Lopez
0:30.0,Turnover by A. Burks (bad pass),,22-14,,
0:16.0,,,22-16,2,B. Portis makes 2-pt shot from 12 ft (assist by M. Carter-Williams)
0:03.0,D. Exum misses 2-pt shot from 2 ft (block by M. Carter-Williams),,22-16,,
0:03.0,Offensive rebound by Team,,22-16,,
0:00.0,Shooting foul by B. Portis (drawn by J. Ingles),,22-16,,
0:00.0,J. Ingles makes free throw 1 of 2,1,23-16,,
0:00.0,J. Ingles misses free throw 2 of 2,,23-16,,
0:00.0,Offensive rebound by B. Diaw,,23-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,23-16,,D. Valentine misses 2-pt shot from 7 ft
11:48.0,Defensive rebound by G. Hill,,23-16,,
11:40.0,D. Exum makes 2-pt shot from 2 ft (assist by G. Hill),2,25-16,,
11:40.0,Shooting foul by C. Felicio (drawn by D. Exum),,25-16,,
11:40.0,D. Exum makes free throw 1 of 1,1,26-16,,
11:22.0,,,26-18,2,B. Portis makes 2-pt shot from 19 ft (assist by D. Valentine)
10:57.0,G. Hill misses 3-pt shot from 24 ft,,26-18,,
10:56.0,,,26-18,,Defensive rebound by D. Valentine
10:47.0,,,26-18,,D. Valentine misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by D. Exum,,26-18,,
10:33.0,A. Burks misses 3-pt shot from 25 ft,,26-18,,
10:32.0,,,26-18,,Defensive rebound by B. Portis
10:23.0,,,26-20,2,B. Portis makes 2-pt shot from 21 ft (assist by D. Valentine)
9:55.0,D. Exum misses 3-pt shot from 23 ft,,26-20,,
9:55.0,Offensive rebound by Team,,26-20,,
9:55.0,Turnover by Team (shot clock),,26-20,,
9:46.0,,,26-20,,M. Carter-Williams misses 2-pt shot from 6 ft
9:46.0,Defensive rebound by J. Withey,,26-20,,
9:21.0,B. Diaw misses 3-pt shot from 26 ft,,26-20,,
9:20.0,,,26-20,,Defensive rebound by Team
9:05.0,,,26-22,2,C. Felicio makes 2-pt shot from 5 ft (assist by P. Zipser)
8:45.0,A. Burks misses 2-pt shot from 7 ft (block by M. Carter-Williams),,26-22,,
8:43.0,,,26-22,,Defensive rebound by D. Valentine
8:41.0,Personal foul by G. Hill (drawn by D. Valentine),,26-22,,
8:41.0,,,26-22,,Chicago full timeout
8:36.0,,,26-22,,D. Valentine misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by J. Withey,,26-22,,
8:15.0,B. Diaw misses 2-pt shot from 12 ft,,26-22,,
8:14.0,Offensive rebound by A. Burks,,26-22,,
8:14.0,A. Burks misses 2-pt shot from 2 ft (block by P. Zipser),,26-22,,
8:13.0,Offensive rebound by A. Burks,,26-22,,
8:11.0,A. Burks makes 2-pt shot from 2 ft,2,28-22,,
8:01.0,,,28-24,2,M. Carter-Williams makes 2-pt shot from 2 ft
7:38.0,Shooting foul by D. Valentine (drawn by D. Exum),,28-24,,
7:38.0,D. Exum makes free throw 1 of 2,1,29-24,,
7:38.0,,,29-24,,Violation by C. Felicio (lane)
7:38.0,D. Exum makes free throw 2 of 2,1,30-24,,
7:38.0,R. Gobert enters the game for J. Withey,,29-24,,
7:19.0,Personal foul by R. Gobert (drawn by D. Valentine),,30-24,,
7:19.0,J. Ingles enters the game for D. Exum,,30-24,,
7:19.0,,,30-24,,J. Butler enters the game for D. Valentine
7:19.0,G. Hayward enters the game for A. Burks,,30-24,,
7:14.0,,,30-24,,M. Carter-Williams misses 2-pt shot from 2 ft (block by G. Hill)
7:11.0,,,30-24,,Offensive rebound by Team
7:04.0,,,30-26,2,J. Butler makes 2-pt shot from 14 ft
6:35.0,Shooting foul by M. Carter-Williams (drawn by G. Hill),,30-26,,
6:35.0,G. Hill makes free throw 1 of 3,1,31-26,,
6:35.0,G. Hill makes free throw 2 of 3,1,32-26,,
6:35.0,G. Hill makes free throw 3 of 3,1,33-26,,
6:35.0,J. Johnson enters the game for B. Diaw,,32-26,,
6:23.0,,,33-26,,J. Butler misses 2-pt shot from 2 ft (block by R. Gobert)
6:22.0,,,33-26,,Offensive rebound by J. Butler
6:19.0,,,33-29,3,B. Portis makes 3-pt shot from 24 ft (assist by J. Butler)
6:01.0,G. Hayward misses 2-pt shot from 2 ft (block by J. Butler),,33-29,,
5:59.0,Offensive rebound by R. Gobert,,33-29,,
5:58.0,R. Gobert misses 2-pt shot from 2 ft,,33-29,,
5:57.0,Offensive rebound by G. Hayward,,33-29,,
5:52.0,G. Hill misses 3-pt shot from 25 ft,,33-29,,
5:50.0,Offensive rebound by R. Gobert,,33-29,,
5:50.0,R. Gobert misses 2-pt shot from 2 ft,,33-29,,
5:49.0,,,33-29,,Defensive rebound by B. Portis
5:32.0,,,33-29,,M. Carter-Williams misses 2-pt shot from 9 ft
5:31.0,Defensive rebound by R. Gobert,,33-29,,
5:11.0,Offensive foul by R. Gobert,,33-29,,
5:11.0,Turnover by R. Gobert (offensive foul),,33-29,,
5:11.0,,,33-29,,Chicago full timeout
5:11.0,,,33-29,,R. Rondo enters the game for M. Carter-Williams
5:11.0,,,33-29,,R. Lopez enters the game for C. Felicio
4:57.0,,,33-31,2,J. Butler makes 2-pt shot from 22 ft (assist by R. Lopez)
4:37.0,G. Hayward makes 3-pt shot from 25 ft (assist by G. Hill),3,36-31,,
4:22.0,,,36-31,,Turnover by P. Zipser (bad pass; steal by G. Hayward)
4:16.0,J. Ingles makes 3-pt shot from 26 ft (assist by G. Hill),3,39-31,,
4:08.0,,,39-31,,Chicago full timeout
3:57.0,,,39-31,,J. Butler misses 2-pt shot from 22 ft
3:56.0,,,39-31,,Offensive rebound by J. Butler
3:46.0,,,39-33,2,B. Portis makes 2-pt shot from 9 ft (assist by R. Rondo)
3:21.0,J. Johnson misses 2-pt shot from 12 ft,,39-33,,
3:20.0,Offensive rebound by J. Johnson,,39-33,,
3:01.0,J. Johnson makes 2-pt shot from 10 ft (assist by J. Ingles),2,41-33,,
2:49.0,,,41-33,,R. Rondo misses 2-pt shot from 3 ft
2:48.0,Defensive rebound by G. Hill,,41-33,,
2:47.0,Turnover by G. Hill (bad pass; steal by J. Butler),,41-33,,
2:42.0,,,41-36,3,R. Rondo makes 3-pt shot from 24 ft (assist by J. Butler)
2:17.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,43-36,,
1:58.0,,,43-36,,Shooting foul by J. Ingles (drawn by P. Zipser)
1:58.0,Utah full timeout,,43-36,,
1:58.0,,,43-36,,P. Zipser misses free throw 1 of 2
1:58.0,,,43-36,,Offensive rebound by Team
1:58.0,,,43-37,1,P. Zipser makes free throw 2 of 2
1:58.0,,,43-36,,N. Mirotic enters the game for B. Portis
1:43.0,J. Ingles misses 3-pt shot from 25 ft,,43-37,,
1:42.0,Offensive rebound by G. Hill,,43-37,,
1:27.0,J. Johnson misses 2-pt shot from 21 ft,,43-37,,
1:26.0,,,43-37,,Defensive rebound by P. Zipser
1:13.0,,,43-40,3,P. Zipser makes 3-pt shot from 25 ft (assist by R. Lopez)
0:49.0,Turnover by R. Gobert (traveling),,43-40,,
0:33.0,,,43-40,,J. Butler misses 2-pt shot from 12 ft
0:33.0,Defensive rebound by Team,,43-40,,
0:33.0,,,43-40,,Loose ball foul by R. Lopez (drawn by R. Gobert)
0:24.0,Shooting foul by R. Rondo (drawn by G. Hayward),,43-40,,
0:24.0,G. Hayward misses free throw 1 of 2,,43-40,,
0:24.0,Offensive rebound by Team,,43-40,,
0:24.0,G. Hayward makes free throw 2 of 2,1,44-40,,
0:24.0,B. Diaw enters the game for R. Gobert,,43-40,,
0:02.0,,,44-40,,N. Mirotic misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by G. Hayward,,44-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,44-40,,J. Butler misses 2-pt shot from 21 ft
11:43.0,Defensive rebound by G. Hill,,44-40,,
11:22.0,J. Ingles misses 2-pt shot from 20 ft,,44-40,,
11:21.0,,,44-40,,Defensive rebound by R. Rondo
11:14.0,,,44-40,,N. Mirotic misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by R. Gobert,,44-40,,
10:59.0,,,44-40,,Personal foul by P. Zipser (drawn by R. Gobert)
10:52.0,G. Hayward misses 2-pt shot from 2 ft,,44-40,,
10:50.0,,,44-40,,Defensive rebound by J. Butler
10:41.0,,,44-42,2,J. Butler makes 2-pt shot from 3 ft
10:23.0,J. Ingles makes 2-pt shot from 2 ft,2,46-42,,
10:11.0,,,46-42,,R. Lopez misses 2-pt shot from 8 ft (block by J. Johnson)
10:10.0,Defensive rebound by G. Hill,,46-42,,
9:55.0,J. Johnson misses 2-pt shot from 20 ft,,46-42,,
9:54.0,,,46-42,,Defensive rebound by P. Zipser
9:48.0,,,46-45,3,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo)
9:25.0,G. Hayward makes 2-pt shot from 18 ft,2,48-45,,
9:15.0,,,48-47,2,R. Lopez makes 2-pt shot from 8 ft (assist by R. Rondo)
8:46.0,G. Hayward misses 3-pt shot from 25 ft,,48-47,,
8:46.0,,,48-47,,Defensive rebound by P. Zipser
8:40.0,,,48-49,2,R. Rondo makes 2-pt shot from 2 ft
8:12.0,Shooting foul by N. Mirotic (drawn by J. Johnson),,48-49,,
8:12.0,J. Johnson makes free throw 1 of 2,1,49-49,,
8:12.0,J. Johnson makes free throw 2 of 2,1,50-49,,
8:05.0,,,50-51,2,J. Butler makes 2-pt shot from 3 ft (assist by R. Rondo)
7:42.0,G. Hayward misses 2-pt shot from 10 ft,,50-51,,
7:42.0,,,50-51,,Defensive rebound by N. Mirotic
7:27.0,,,50-51,,Shooting foul by J. Ingles (drawn by J. Butler)
7:27.0,,,50-52,1,J. Butler makes free throw 1 of 2
7:27.0,,,50-53,1,J. Butler makes free throw 2 of 2
7:27.0,A. Burks enters the game for J. Ingles,,50-52,,
7:13.0,Turnover by G. Hayward (lost ball; steal by P. Zipser),,50-53,,
7:07.0,,,50-53,,Turnover by P. Zipser (bad pass; steal by G. Hayward)
7:02.0,Utah full timeout,,50-53,,
6:51.0,A. Burks misses 2-pt shot from 7 ft (block by P. Zipser),,50-53,,
6:49.0,,,50-53,,Defensive rebound by P. Zipser
6:47.0,,,50-53,,N. Mirotic misses 3-pt shot from 25 ft
6:46.0,,,50-53,,Offensive rebound by R. Lopez
6:46.0,,,50-55,2,R. Lopez makes 2-pt shot from 2 ft
6:27.0,J. Johnson misses 2-pt shot from 8 ft,,50-55,,
6:26.0,,,50-55,,Defensive rebound by N. Mirotic
6:21.0,,,50-55,,R. Rondo misses 2-pt shot from 2 ft
6:20.0,,,50-55,,Offensive rebound by R. Lopez
6:20.0,,,50-55,,R. Lopez misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by J. Johnson,,50-55,,
6:09.0,,,50-55,,Personal foul by R. Rondo (drawn by G. Hill)
6:09.0,D. Exum enters the game for G. Hill,,50-55,,
5:52.0,R. Gobert misses 2-pt shot from 5 ft,,50-55,,
5:51.0,Offensive rebound by G. Hayward,,50-55,,
5:51.0,G. Hayward makes 2-pt shot from 2 ft,2,52-55,,
5:38.0,,,52-55,,R. Lopez misses 2-pt shot from 20 ft
5:37.0,Defensive rebound by R. Gobert,,52-55,,
5:22.0,Turnover by G. Hayward (bad pass),,52-55,,
5:22.0,,,52-55,,D. Valentine enters the game for P. Zipser
5:22.0,,,52-55,,B. Portis enters the game for N. Mirotic
4:59.0,,,52-55,,R. Lopez misses 2-pt shot from 5 ft (block by R. Gobert)
4:57.0,Defensive rebound by D. Exum,,52-55,,
4:50.0,A. Burks misses 2-pt shot from 2 ft,,52-55,,
4:49.0,Offensive rebound by R. Gobert,,52-55,,
4:49.0,R. Gobert makes 2-pt shot at rim,2,54-55,,
4:29.0,,,54-55,,B. Portis misses 2-pt shot from 4 ft (block by R. Gobert)
4:28.0,Defensive rebound by R. Gobert,,54-55,,
4:17.0,D. Exum makes 2-pt shot from 6 ft,2,56-55,,
4:15.0,,,56-55,,Chicago full timeout
4:02.0,,,56-55,,Turnover by R. Lopez (traveling)
3:50.0,G. Hayward misses 3-pt shot from 26 ft,,56-55,,
3:49.0,,,56-55,,Defensive rebound by D. Valentine
3:45.0,Personal foul by G. Hayward (drawn by R. Lopez),,56-55,,
3:29.0,,,56-57,2,D. Valentine makes 2-pt shot from 17 ft
3:05.0,R. Gobert misses 2-pt shot from 3 ft (block by J. Butler),,56-57,,
3:05.0,Offensive rebound by R. Gobert,,56-57,,
3:05.0,Shooting foul by D. Valentine (drawn by R. Gobert),,56-57,,
3:05.0,R. Gobert makes free throw 1 of 2,1,57-57,,
3:05.0,R. Gobert misses free throw 2 of 2,,57-57,,
3:05.0,,,57-57,,Defensive rebound by B. Portis
3:05.0,B. Diaw enters the game for J. Johnson,,57-57,,
2:46.0,,,57-57,,J. Butler misses 2-pt shot from 20 ft
2:45.0,Defensive rebound by A. Burks,,57-57,,
2:33.0,Shooting foul by R. Lopez (drawn by R. Gobert),,57-57,,
2:33.0,R. Gobert misses free throw 1 of 2,,57-57,,
2:33.0,Offensive rebound by Team,,57-57,,
2:33.0,R. Gobert makes free throw 2 of 2,1,58-57,,
2:33.0,,,57-57,,M. Carter-Williams enters the game for R. Rondo
2:17.0,,,58-57,,B. Portis misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by D. Exum,,58-57,,
2:13.0,,,58-57,,Personal foul by B. Portis (drawn by R. Gobert)
2:13.0,R. Gobert makes free throw 1 of 2,1,59-57,,
2:13.0,R. Gobert misses free throw 2 of 2,,59-57,,
2:12.0,,,59-57,,Defensive rebound by R. Lopez
1:54.0,,,59-59,2,J. Butler makes 2-pt shot from 5 ft
1:38.0,Shooting foul by D. Valentine (drawn by A. Burks),,59-59,,
1:38.0,A. Burks misses free throw 1 of 2,,59-59,,
1:38.0,Offensive rebound by Team,,59-59,,
1:38.0,A. Burks makes free throw 2 of 2,1,60-59,,
1:38.0,J. Ingles enters the game for G. Hayward,,59-59,,
1:38.0,G. Hill enters the game for R. Gobert,,59-59,,
1:38.0,J. Withey enters the game for D. Exum,,59-59,,
1:21.0,,,60-59,,J. Butler misses 2-pt shot from 20 ft
1:21.0,Defensive rebound by A. Burks,,60-59,,
1:14.0,A. Burks misses 2-pt shot from 13 ft,,60-59,,
1:13.0,,,60-59,,Defensive rebound by D. Valentine
1:06.0,,,60-59,,D. Valentine misses 2-pt shot from 15 ft
1:05.0,Defensive rebound by J. Ingles,,60-59,,
0:56.0,J. Ingles misses 3-pt shot from 27 ft,,60-59,,
0:55.0,Offensive rebound by B. Diaw,,60-59,,
0:54.0,B. Diaw makes 2-pt shot from 2 ft,2,62-59,,
0:46.0,,,62-59,,Shooting foul by J. Withey (drawn by J. Butler)
0:46.0,,,62-60,1,J. Butler makes free throw 1 of 2
0:46.0,,,62-61,1,J. Butler makes free throw 2 of 2
0:46.0,,,62-60,,C. Felicio enters the game for R. Lopez
0:37.0,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hill),2,64-61,,
0:28.0,,,64-61,,Turnover by M. Carter-Williams (step out of bounds)
0:06.0,A. Burks misses 3-pt shot from 24 ft,,64-61,,
0:05.0,,,64-61,,Defensive rebound by M. Carter-Williams
0:00.0,,,64-61,,D. Valentine misses 3-pt shot from 25 ft
0:00.0,,,64-61,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,64-61,,Violation by B. Portis (kicked ball)
11:36.0,Turnover by A. Burks (back court),,64-61,,
11:31.0,,,64-61,,M. Carter-Williams misses 2-pt shot from 8 ft
11:31.0,Defensive rebound by J. Withey,,64-61,,
11:14.0,G. Hill makes 2-pt shot from 6 ft,2,66-61,,
10:56.0,,,66-63,2,B. Portis makes 2-pt shot from 10 ft
10:38.0,B. Diaw misses 2-pt shot from 3 ft,,66-63,,
10:37.0,,,66-63,,Defensive rebound by M. Carter-Williams
10:27.0,,,66-65,2,B. Portis makes 2-pt shot from 9 ft
10:02.0,B. Diaw misses 2-pt shot from 20 ft,,66-65,,
10:01.0,Offensive rebound by J. Ingles,,66-65,,
9:53.0,A. Burks makes 3-pt shot from 26 ft (assist by J. Ingles),3,69-65,,
9:37.0,,,69-67,2,B. Portis makes 2-pt shot from 20 ft (assist by D. Valentine)
9:15.0,Shooting foul by D. Valentine (drawn by J. Withey),,69-67,,
9:15.0,J. Withey makes free throw 1 of 2,1,70-67,,
9:15.0,J. Withey makes free throw 2 of 2,1,71-67,,
9:15.0,,,70-67,,J. Lauvergne enters the game for C. Felicio
9:15.0,J. Johnson enters the game for B. Diaw,,70-67,,
8:59.0,,,71-69,2,M. Carter-Williams makes 2-pt shot from 3 ft (assist by J. Lauvergne)
8:35.0,J. Ingles makes 2-pt shot from 21 ft (assist by J. Johnson),2,73-69,,
8:23.0,,,73-72,3,D. Valentine makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
8:15.0,Utah full timeout,,73-72,,
8:15.0,R. Gobert enters the game for A. Burks,,73-72,,
8:15.0,G. Hayward enters the game for J. Withey,,73-72,,
8:08.0,G. Hill misses 3-pt shot from 25 ft,,73-72,,
8:07.0,,,73-72,,Defensive rebound by D. Valentine
7:50.0,,,73-72,,D. Valentine misses 2-pt shot from 7 ft
7:49.0,Defensive rebound by J. Johnson,,73-72,,
7:27.0,Turnover by G. Hill (lost ball; steal by J. Lauvergne),,73-72,,
7:21.0,,,73-75,3,D. Valentine makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
6:58.0,J. Johnson misses 3-pt shot from 26 ft,,73-75,,
6:57.0,,,73-75,,Defensive rebound by D. Valentine
6:54.0,,,73-77,2,B. Portis makes 2-pt shot at rim (assist by D. Valentine)
6:51.0,Utah full timeout,,73-77,,
6:51.0,,,73-77,,J. Butler enters the game for P. Zipser
6:51.0,D. Exum enters the game for G. Hill,,73-77,,
6:27.0,J. Johnson makes 2-pt shot from 11 ft,2,75-77,,
6:04.0,,,75-77,,J. Butler misses 3-pt shot from 27 ft
6:03.0,Defensive rebound by D. Exum,,75-77,,
5:55.0,Shooting foul by J. Butler (drawn by D. Exum),,75-77,,
5:55.0,D. Exum misses free throw 1 of 2,,75-77,,
5:55.0,Offensive rebound by Team,,75-77,,
5:55.0,D. Exum misses free throw 2 of 2,,75-77,,
5:55.0,,,75-77,,Defensive rebound by D. Valentine
5:32.0,,,75-79,2,M. Carter-Williams makes 2-pt shot from 16 ft (assist by J. Butler)
5:17.0,G. Hayward misses 3-pt shot from 25 ft,,75-79,,
5:17.0,,,75-79,,Defensive rebound by J. Lauvergne
5:04.0,,,75-79,,J. Butler misses 2-pt shot from 16 ft
5:03.0,Defensive rebound by G. Hayward,,75-79,,
4:57.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles),2,77-79,,
4:36.0,,,77-79,,J. Lauvergne misses 2-pt shot from 2 ft (block by R. Gobert)
4:35.0,,,77-79,,Offensive rebound by D. Valentine
4:32.0,,,77-82,3,D. Valentine makes 3-pt shot from 23 ft
4:16.0,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles),2,79-82,,
3:58.0,,,79-82,,Shooting foul by R. Gobert (drawn by J. Butler)
3:58.0,,,79-84,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Lauvergne)
3:58.0,,,79-85,1,J. Butler makes free throw 1 of 1
3:58.0,G. Hill enters the game for D. Exum,,79-84,,
3:34.0,G. Hill makes 2-pt shot from 14 ft,2,81-85,,
3:08.0,,,81-85,,B. Portis misses 2-pt shot from 15 ft
3:07.0,Defensive rebound by G. Hayward,,81-85,,
2:57.0,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward),2,83-85,,
2:51.0,,,83-85,,Chicago full timeout
2:51.0,,,83-85,,R. Lopez enters the game for J. Lauvergne
2:36.0,,,83-87,2,R. Lopez makes 2-pt shot from 8 ft (assist by J. Butler)
2:20.0,G. Hill misses 2-pt shot from 13 ft,,83-87,,
2:19.0,,,83-87,,Defensive rebound by B. Portis
2:01.0,,,83-89,2,M. Carter-Williams makes 2-pt shot from 5 ft
2:01.0,,,83-89,,Shooting foul by R. Gobert (drawn by M. Carter-Williams)
2:01.0,,,83-90,1,M. Carter-Williams makes free throw 1 of 1
1:40.0,J. Johnson misses 2-pt shot from 3 ft,,83-90,,
1:39.0,Offensive rebound by J. Johnson,,83-90,,
1:34.0,J. Ingles misses 3-pt shot from 25 ft,,83-90,,
1:33.0,,,83-90,,Defensive rebound by D. Valentine
1:21.0,,,83-90,,Shooting foul by R. Gobert (drawn by J. Butler)
1:21.0,,,83-91,1,J. Butler makes free throw 1 of 2
1:21.0,,,83-92,1,J. Butler makes free throw 2 of 2
1:14.0,G. Hill makes 2-pt shot from 3 ft,2,85-92,,
1:14.0,Shooting foul by M. Carter-Williams (drawn by G. Hill),,85-92,,
1:14.0,G. Hill makes free throw 1 of 1,1,86-92,,
0:58.0,,,86-92,,Turnover by M. Carter-Williams (bad pass; steal by G. Hayward)
0:54.0,Turnover by G. Hayward (lost ball; steal by J. Butler),,86-92,,
0:44.0,Personal foul by J. Ingles (drawn by B. Portis),,86-92,,
0:44.0,,,86-93,1,B. Portis makes free throw 1 of 2
0:44.0,,,86-93,,B. Portis misses free throw 2 of 2
0:44.0,,,86-93,,Offensive rebound by Team
0:44.0,Loose ball foul by R. Gobert (drawn by R. Lopez),,86-93,,
0:44.0,,,86-94,1,R. Lopez makes free throw 1 of 2
0:44.0,,,86-95,1,R. Lopez makes free throw 2 of 2
0:44.0,Utah full timeout,,86-95,,
