time,Golden State,pts.away,score,pts.home,Minnesota
6:16.0,Turnover by S. Curry (bad pass),,13-13,,
6:10.0,Personal foul by Z. Pachulia (drawn by K. Towns),,13-13,,
6:05.0,,,13-15,2,K. Towns makes 2-pt shot from 22 ft (assist by R. Rubio)
5:52.0,D. Green misses 3-pt shot from 25 ft,,13-15,,
5:50.0,Offensive rebound by Z. Pachulia,,13-15,,
5:43.0,K. Thompson misses 2-pt shot from 20 ft,,13-15,,
5:42.0,,,13-15,,Defensive rebound by R. Rubio
5:34.0,Violation by P. McCaw (def goaltending),,13-15,,
5:34.0,,,13-17,2,G. Dieng makes 2-pt shot from 2 ft (assist by R. Rubio)
5:34.0,,,13-17,,Shooting foul by D. Green (drawn by G. Dieng)
5:34.0,,,13-18,1,G. Dieng makes free throw 1 of 1
5:34.0,A. Iguodala enters the game for P. McCaw,,13-17,,
5:34.0,J. McGee enters the game for Z. Pachulia,,13-17,,
5:25.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,15-18,,
5:11.0,,,15-20,2,R. Rubio makes 2-pt shot from 13 ft (assist by K. Towns)
5:04.0,Golden State full timeout,,15-20,,
5:04.0,,,15-20,,N. Bjelica enters the game for K. Towns
5:04.0,K. Looney enters the game for D. Green,,15-20,,
4:52.0,S. Curry misses 3-pt shot from 25 ft,,15-20,,
4:51.0,,,15-20,,Defensive rebound by A. Wiggins
4:39.0,,,15-20,,G. Dieng misses 2-pt shot from 1 ft (block by J. McGee)
4:39.0,Defensive rebound by Team,,15-20,,
4:29.0,Turnover by K. Looney (bad pass; steal by B. Rush),,15-20,,
4:22.0,,,15-20,,R. Rubio misses 2-pt shot from 21 ft
4:21.0,Defensive rebound by K. Looney,,15-20,,
4:10.0,Shooting foul by B. Rush (drawn by J. McGee),,15-20,,
4:10.0,J. McGee misses free throw 1 of 2,,15-20,,
4:10.0,Offensive rebound by Team,,15-20,,
4:10.0,J. McGee makes free throw 2 of 2,1,16-20,,
4:10.0,P. McCaw enters the game for K. Thompson,,15-20,,
4:02.0,,,16-23,3,N. Bjelica makes 3-pt shot from 25 ft (assist by R. Rubio)
3:50.0,S. Curry makes 2-pt shot from 21 ft,2,18-23,,
3:31.0,,,18-25,2,R. Rubio makes 2-pt shot from 20 ft (assist by N. Bjelica)
3:19.0,Turnover by S. Curry (lost ball; steal by A. Wiggins),,18-25,,
3:13.0,,,18-25,,R. Rubio misses 2-pt shot from 1 ft
3:12.0,,,18-25,,Offensive rebound by B. Rush
3:12.0,,,18-27,2,B. Rush makes 2-pt shot from 1 ft
2:55.0,Turnover by J. McGee (bad pass),,18-27,,
2:55.0,M. Barnes enters the game for K. Looney,,18-27,,
2:39.0,,,18-27,,A. Wiggins misses 2-pt shot from 5 ft
2:37.0,Defensive rebound by M. Barnes,,18-27,,
2:30.0,S. Curry misses 3-pt shot from 24 ft,,18-27,,
2:29.0,,,18-27,,Defensive rebound by G. Dieng
2:13.0,,,18-27,,Shooting foul by J. McGee (drawn by N. Bjelica)
2:13.0,,,18-28,1,N. Bjelica makes free throw 1 of 2
2:13.0,,,18-28,,N. Bjelica misses free throw 2 of 2
2:13.0,,,18-28,,S. Muhammad enters the game for B. Rush
2:12.0,,,18-28,,Offensive rebound by N. Bjelica
2:06.0,,,18-28,,N. Bjelica misses 2-pt shot from 4 ft
2:04.0,Defensive rebound by P. McCaw,,18-28,,
1:54.0,S. Curry misses 2-pt shot from 2 ft,,18-28,,
1:52.0,Offensive rebound by J. McGee,,18-28,,
1:52.0,J. McGee makes 2-pt shot at rim,2,20-28,,
1:38.0,Personal foul by S. Curry (drawn by R. Rubio),,20-28,,
1:38.0,,,20-29,1,R. Rubio makes free throw 1 of 2
1:38.0,,,20-30,1,R. Rubio makes free throw 2 of 2
1:22.0,J. McGee misses 2-pt shot at rim,,20-30,,
1:21.0,,,20-30,,Defensive rebound by R. Rubio
1:14.0,,,20-30,,G. Dieng misses 2-pt shot from 16 ft
1:13.0,Defensive rebound by M. Barnes,,20-30,,
1:03.0,S. Curry makes 2-pt shot at rim,2,22-30,,
0:55.0,,,22-30,,Shooting foul by M. Barnes (drawn by R. Rubio)
0:55.0,,,22-31,1,R. Rubio makes free throw 1 of 2
0:55.0,,,22-32,1,R. Rubio makes free throw 2 of 2
0:42.0,P. McCaw misses 2-pt shot from 20 ft,,22-32,,
0:41.0,,,22-32,,Defensive rebound by S. Muhammad
0:22.0,,,22-32,,G. Dieng misses 2-pt shot from 1 ft (block by J. McGee)
0:21.0,,,22-32,,Offensive rebound by Team
0:17.0,,,22-34,2,A. Wiggins makes 2-pt shot from 1 ft
0:02.0,S. Curry makes 2-pt shot from 3 ft,2,24-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-34,,Personal foul by N. Bjelica (drawn by D. Green)
11:37.0,D. Green misses 3-pt shot from 25 ft,,24-34,,
11:36.0,,,24-34,,Defensive rebound by S. Muhammad
11:20.0,,,24-34,,K. Towns misses 2-pt shot from 13 ft
11:18.0,Defensive rebound by I. Clark,,24-34,,
11:10.0,I. Clark makes 2-pt shot from 2 ft,2,26-34,,
10:49.0,,,26-34,,S. Muhammad misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by I. Clark,,26-34,,
10:40.0,D. West misses 2-pt shot from 20 ft,,26-34,,
10:38.0,Offensive rebound by Team,,26-34,,
10:31.0,I. Clark makes 3-pt shot from 23 ft (assist by D. Green),3,29-34,,
10:15.0,,,29-34,,K. Towns misses 2-pt shot from 16 ft
10:14.0,,,29-34,,Offensive rebound by N. Bjelica
10:11.0,,,29-37,3,K. Towns makes 3-pt shot from 23 ft (assist by N. Bjelica)
9:50.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,31-37,,
9:37.0,,,31-39,2,K. Towns makes 2-pt shot from 2 ft (assist by T. Jones)
9:37.0,,,31-39,,Shooting foul by K. Thompson (drawn by K. Towns)
9:37.0,,,31-40,1,K. Towns makes free throw 1 of 1
9:20.0,K. Thompson misses 2-pt shot from 7 ft (block by K. Towns),,31-40,,
9:19.0,Offensive rebound by Team,,31-40,,
9:14.0,D. West misses 3-pt shot from 25 ft,,31-40,,
9:13.0,,,31-40,,Defensive rebound by T. Jones
9:00.0,,,31-42,2,T. Jones makes 2-pt shot from 19 ft
8:52.0,Golden State full timeout,,31-42,,
8:39.0,A. Iguodala misses 2-pt shot from 20 ft,,31-42,,
8:37.0,,,31-42,,Defensive rebound by K. Dunn
8:20.0,,,31-42,,N. Bjelica misses 2-pt shot from 1 ft
8:18.0,,,31-42,,Offensive rebound by S. Muhammad
8:18.0,,,31-44,2,S. Muhammad makes 2-pt shot at rim
8:10.0,,,31-44,,Personal foul by N. Bjelica (drawn by D. Green)
8:02.0,I. Clark misses 2-pt shot from 2 ft,,31-44,,
8:01.0,,,31-44,,Defensive rebound by S. Muhammad
7:58.0,,,31-44,,Offensive charge foul by S. Muhammad
7:58.0,,,31-44,,Turnover by S. Muhammad (offensive foul)
7:44.0,Turnover by K. Thompson (bad pass; steal by K. Dunn),,31-44,,
7:41.0,,,31-44,,K. Dunn misses 2-pt shot from 1 ft
7:40.0,,,31-44,,Offensive rebound by S. Muhammad
7:40.0,,,31-44,,S. Muhammad misses 2-pt shot at rim
7:37.0,Defensive rebound by I. Clark,,31-44,,
7:30.0,I. Clark makes 2-pt shot from 21 ft (assist by D. West),2,33-44,,
7:09.0,,,33-44,,T. Jones misses 2-pt shot from 18 ft
7:08.0,Defensive rebound by K. Thompson,,33-44,,
7:02.0,K. Thompson misses 2-pt shot from 13 ft,,33-44,,
7:00.0,Offensive rebound by A. Iguodala,,33-44,,
7:00.0,A. Iguodala makes 2-pt shot at rim,2,35-44,,
6:35.0,,,35-46,2,K. Dunn makes 2-pt shot from 20 ft
6:17.0,D. Green misses 2-pt shot at rim,,35-46,,
6:16.0,Offensive rebound by D. Green,,35-46,,
6:15.0,D. Green makes 2-pt shot from 1 ft,2,37-46,,
5:55.0,,,37-48,2,S. Muhammad makes 2-pt shot from 14 ft
5:41.0,I. Clark misses 3-pt shot from 25 ft,,37-48,,
5:39.0,,,37-48,,Defensive rebound by S. Muhammad
5:34.0,,,37-50,2,S. Muhammad makes 2-pt shot from 2 ft
5:04.0,K. Thompson misses 2-pt shot from 19 ft,,37-50,,
5:03.0,,,37-50,,Defensive rebound by N. Bjelica
4:41.0,,,37-50,,K. Dunn misses 2-pt shot from 9 ft
4:40.0,Defensive rebound by D. West,,37-50,,
4:39.0,,,37-50,,Personal foul by K. Dunn (drawn by D. West)
4:39.0,Golden State full timeout,,37-50,,
4:39.0,,,37-50,,R. Rubio enters the game for K. Dunn
4:39.0,,,37-50,,A. Wiggins enters the game for T. Jones
4:39.0,P. McCaw enters the game for A. Iguodala,,37-50,,
4:39.0,M. Barnes enters the game for K. Thompson,,37-50,,
4:39.0,Z. Pachulia enters the game for D. West,,37-50,,
4:39.0,S. Curry enters the game for I. Clark,,37-50,,
4:26.0,Turnover by S. Curry (bad pass),,37-50,,
4:12.0,,,37-52,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
4:01.0,S. Curry misses 2-pt shot from 2 ft (block by K. Towns),,37-52,,
4:00.0,,,37-52,,Defensive rebound by K. Towns
4:00.0,Personal foul by Z. Pachulia (drawn by K. Towns),,37-52,,
3:46.0,,,37-54,2,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio)
3:29.0,S. Curry makes 2-pt shot from 19 ft (assist by D. Green),2,39-54,,
3:10.0,,,39-54,,N. Bjelica misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by Z. Pachulia,,39-54,,
3:02.0,M. Barnes makes 2-pt shot from 1 ft (assist by S. Curry),2,41-54,,
2:38.0,,,41-54,,A. Wiggins misses 2-pt shot from 13 ft
2:37.0,Defensive rebound by S. Curry,,41-54,,
2:31.0,P. McCaw makes 2-pt shot from 1 ft (assist by S. Curry),2,43-54,,
2:22.0,,,43-54,,Minnesota full timeout
2:09.0,,,43-54,,N. Bjelica misses 2-pt shot from 6 ft
2:08.0,,,43-54,,Offensive rebound by N. Bjelica
2:08.0,,,43-56,2,N. Bjelica makes 2-pt shot from 1 ft
1:49.0,S. Curry misses 3-pt shot from 25 ft,,43-56,,
1:48.0,,,43-56,,Defensive rebound by N. Bjelica
1:47.0,Personal foul by M. Barnes (drawn by N. Bjelica),,43-56,,
1:47.0,K. Thompson enters the game for P. McCaw,,43-56,,
1:47.0,A. Iguodala enters the game for M. Barnes,,43-56,,
1:37.0,,,43-58,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
1:24.0,,,43-58,,Shooting block foul by K. Towns (drawn by D. Green)
1:24.0,D. Green makes free throw 1 of 2,1,44-58,,
1:24.0,D. Green makes free throw 2 of 2,1,45-58,,
1:04.0,,,45-58,,Turnover by R. Rubio (bad pass; steal by K. Thompson)
1:00.0,K. Thompson makes 2-pt shot from 2 ft,2,47-58,,
0:37.0,,,47-58,,A. Wiggins misses 2-pt shot from 12 ft
0:36.0,,,47-58,,Offensive rebound by N. Bjelica
0:36.0,,,47-60,2,N. Bjelica makes 2-pt shot from 1 ft
0:31.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,49-60,,
0:15.0,,,49-60,,Turnover by A. Wiggins (lost ball; steal by S. Curry)
0:11.0,S. Curry makes 2-pt shot from 1 ft,2,51-60,,
0:09.0,Personal foul by S. Curry (drawn by R. Rubio),,51-60,,
0:09.0,,,51-61,1,R. Rubio makes free throw 1 of 2
0:09.0,,,51-62,1,R. Rubio makes free throw 2 of 2
0:01.0,,,51-62,,Violation by S. Muhammad (def goaltending)
0:01.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson),2,53-62,,
0:00.0,,,53-62,,R. Rubio misses 3-pt shot from 68 ft
0:00.0,,,53-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,K. Thompson makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,55-62,,
11:26.0,,,55-64,2,K. Towns makes 2-pt shot from 16 ft
11:05.0,P. McCaw makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,57-64,,
10:45.0,,,57-66,2,A. Wiggins makes 2-pt shot from 2 ft
10:27.0,K. Thompson makes 2-pt shot from 22 ft (assist by Z. Pachulia),2,59-66,,
10:01.0,,,59-68,2,R. Rubio makes 2-pt shot from 21 ft (assist by B. Rush)
9:42.0,,,59-68,,Personal block foul by G. Dieng (drawn by D. Green)
9:38.0,D. Green misses 2-pt shot from 12 ft,,59-68,,
9:37.0,,,59-68,,Defensive rebound by Team
9:16.0,,,59-70,2,G. Dieng makes 2-pt shot from 2 ft (assist by R. Rubio)
9:04.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green),2,61-70,,
8:48.0,,,61-70,,R. Rubio misses 2-pt shot from 2 ft
8:47.0,Defensive rebound by Z. Pachulia,,61-70,,
8:35.0,P. McCaw misses 2-pt shot from 2 ft (block by G. Dieng),,61-70,,
8:34.0,,,61-70,,Defensive rebound by K. Towns
8:24.0,Personal foul by D. Green (drawn by K. Towns),,61-70,,
8:24.0,Technical foul by D. Green (drawn by K. Towns),,61-70,,
8:24.0,,,61-71,1,R. Rubio makes technical free throw
8:14.0,,,61-71,,Turnover by K. Towns (lost ball; steal by Z. Pachulia)
8:13.0,,,61-71,,Personal foul by K. Towns (drawn by Z. Pachulia)
7:59.0,S. Curry makes 3-pt shot from 25 ft,3,64-71,,
7:49.0,,,64-71,,Minnesota full timeout
7:42.0,,,64-71,,K. Towns misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by P. McCaw,,64-71,,
7:25.0,K. Thompson makes 2-pt shot from 14 ft (assist by D. Green),2,66-71,,
7:09.0,,,66-71,,G. Dieng misses 2-pt shot from 11 ft (block by Z. Pachulia)
7:08.0,Defensive rebound by D. Green,,66-71,,
7:01.0,S. Curry misses 3-pt shot from 25 ft,,66-71,,
6:59.0,,,66-71,,Defensive rebound by K. Towns
6:40.0,,,66-71,,A. Wiggins misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by S. Curry,,66-71,,
6:32.0,Turnover by S. Curry (bad pass),,66-71,,
6:14.0,,,66-71,,A. Wiggins misses 2-pt shot from 11 ft
6:13.0,,,66-71,,Offensive rebound by A. Wiggins
6:08.0,,,66-71,,Turnover by A. Wiggins (bad pass; steal by Z. Pachulia)
6:07.0,,,66-71,,Personal block foul by R. Rubio (drawn by S. Curry)
6:01.0,,,66-71,,Violation by G. Dieng (kicked ball)
5:56.0,K. Thompson makes 2-pt shot from 6 ft,2,68-71,,
5:37.0,,,68-71,,K. Towns misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by K. Thompson,,68-71,,
5:30.0,K. Thompson misses 3-pt shot from 25 ft,,68-71,,
5:29.0,Offensive rebound by S. Curry,,68-71,,
5:29.0,S. Curry misses 2-pt shot from 1 ft,,68-71,,
5:28.0,Offensive rebound by D. Green,,68-71,,
5:27.0,D. Green misses 2-pt shot from 1 ft,,68-71,,
5:26.0,Offensive rebound by D. Green,,68-71,,
5:24.0,S. Curry misses 2-pt shot from 21 ft,,68-71,,
5:21.0,,,68-71,,Defensive rebound by K. Towns
5:09.0,,,68-74,3,A. Wiggins makes 3-pt shot from 26 ft (assist by R. Rubio)
4:58.0,Turnover by S. Curry (bad pass; steal by R. Rubio),,68-74,,
4:53.0,,,68-76,2,A. Wiggins makes 2-pt shot at rim
4:53.0,Golden State full timeout,,68-76,,
4:53.0,,,68-76,,S. Muhammad enters the game for B. Rush
4:53.0,,,68-76,,N. Bjelica enters the game for K. Towns
4:53.0,A. Iguodala enters the game for P. McCaw,,68-76,,
4:41.0,K. Thompson misses 2-pt shot from 14 ft,,68-76,,
4:39.0,Offensive rebound by S. Curry,,68-76,,
4:37.0,S. Curry misses 2-pt shot from 6 ft,,68-76,,
4:36.0,Offensive rebound by Team,,68-76,,
4:36.0,M. Barnes enters the game for D. Green,,68-76,,
4:31.0,Turnover by Z. Pachulia (lost ball; steal by G. Dieng),,68-76,,
4:20.0,,,68-76,,Turnover by A. Wiggins (step out of bounds)
4:05.0,M. Barnes makes 3-pt shot from 25 ft (assist by S. Curry),3,71-76,,
3:45.0,,,71-76,,Shooting foul by S. Curry (drawn by R. Rubio)
3:45.0,,,71-77,1,R. Rubio makes free throw 1 of 2
3:45.0,,,71-78,1,R. Rubio makes free throw 2 of 2
3:39.0,Shooting foul by A. Wiggins (drawn by K. Thompson),,71-78,,
3:39.0,K. Thompson misses free throw 1 of 2,,71-78,,
3:39.0,Offensive rebound by Team,,71-78,,
3:39.0,K. Thompson makes free throw 2 of 2,1,72-78,,
3:39.0,J. McGee enters the game for Z. Pachulia,,71-78,,
3:30.0,,,72-78,,G. Dieng misses 2-pt shot from 2 ft (block by J. McGee)
3:28.0,Defensive rebound by J. McGee,,72-78,,
3:22.0,Turnover by K. Thompson (bad pass),,72-78,,
3:22.0,P. McCaw enters the game for K. Thompson,,72-78,,
3:11.0,,,72-78,,Shooting foul by J. McGee (drawn by A. Wiggins)
3:11.0,,,72-79,1,A. Wiggins makes free throw 1 of 2
3:11.0,,,72-80,1,A. Wiggins makes free throw 2 of 2
2:56.0,A. Iguodala misses 3-pt shot from 24 ft,,72-80,,
2:55.0,,,72-80,,Defensive rebound by N. Bjelica
2:37.0,,,72-82,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
2:17.0,S. Curry misses 3-pt shot from 25 ft,,72-82,,
2:16.0,Offensive rebound by P. McCaw,,72-82,,
2:11.0,P. McCaw misses 3-pt shot from 22 ft,,72-82,,
2:10.0,,,72-82,,Defensive rebound by S. Muhammad
1:53.0,,,72-82,,A. Wiggins misses 2-pt shot from 21 ft
1:52.0,,,72-82,,Offensive rebound by N. Bjelica
1:49.0,,,72-82,,S. Muhammad misses 2-pt shot from 8 ft
1:48.0,Defensive rebound by J. McGee,,72-82,,
1:36.0,Turnover by P. McCaw (lost ball; steal by A. Wiggins),,72-82,,
1:31.0,,,72-82,,Shooting foul by M. Barnes (drawn by S. Muhammad)
1:31.0,,,72-82,,S. Muhammad misses free throw 1 of 2
1:31.0,,,72-82,,Offensive rebound by Team
1:31.0,,,72-83,1,S. Muhammad makes free throw 2 of 2
1:31.0,,,72-82,,K. Dunn enters the game for R. Rubio
1:18.0,S. Curry misses 2-pt shot from 3 ft,,72-83,,
1:17.0,,,72-83,,Defensive rebound by G. Dieng
0:56.0,,,72-83,,S. Muhammad misses 3-pt shot from 26 ft
0:54.0,Defensive rebound by S. Curry,,72-83,,
0:50.0,S. Curry makes 2-pt shot from 1 ft,2,74-83,,
0:44.0,,,74-85,2,A. Wiggins makes 2-pt shot from 1 ft
0:33.0,A. Iguodala makes 2-pt shot at rim (assist by M. Barnes),2,76-85,,
0:11.0,,,76-87,2,G. Dieng makes 2-pt shot from 8 ft
0:11.0,,,76-87,,Shooting foul by S. Curry (drawn by G. Dieng)
0:11.0,,,76-88,1,G. Dieng makes free throw 1 of 1
0:11.0,K. Thompson enters the game for J. McGee,,76-87,,
0:11.0,,,76-87,,T. Jones enters the game for N. Bjelica
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-90,2,K. Towns makes 2-pt shot from 7 ft
11:20.0,Shooting foul by N. Bjelica (drawn by K. Thompson),,76-90,,
11:20.0,K. Thompson makes free throw 1 of 2,1,77-90,,
11:20.0,K. Thompson makes free throw 2 of 2,1,78-90,,
11:00.0,,,78-90,,T. Jones misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by K. Thompson,,78-90,,
10:50.0,D. West misses 2-pt shot from 19 ft,,78-90,,
10:48.0,Offensive rebound by I. Clark,,78-90,,
10:36.0,K. Thompson makes 3-pt shot from 24 ft (assist by I. Clark),3,81-90,,
10:14.0,,,81-90,,K. Towns misses 2-pt shot from 2 ft
10:13.0,Defensive rebound by D. West,,81-90,,
9:57.0,I. Clark makes 3-pt shot from 24 ft (assist by D. Green),3,84-90,,
9:31.0,,,84-90,,K. Dunn misses 2-pt shot from 20 ft
9:30.0,Defensive rebound by Team,,84-90,,
9:09.0,K. Thompson misses 3-pt shot from 26 ft,,84-90,,
9:08.0,,,84-90,,Defensive rebound by N. Bjelica
8:53.0,,,84-90,,Turnover by K. Dunn (bad pass; steal by I. Clark)
8:48.0,A. Iguodala makes 2-pt shot at rim (assist by I. Clark),2,86-90,,
8:45.0,,,86-90,,Minnesota full timeout
8:45.0,,,86-90,,R. Rubio enters the game for K. Dunn
8:45.0,,,86-90,,A. Wiggins enters the game for T. Jones
8:25.0,,,86-90,,N. Bjelica misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by D. West,,86-90,,
8:15.0,D. Green misses 2-pt shot from 4 ft,,86-90,,
8:14.0,,,86-90,,Defensive rebound by N. Bjelica
7:55.0,,,86-90,,A. Wiggins misses 2-pt shot from 15 ft
7:54.0,Defensive rebound by D. West,,86-90,,
7:38.0,,,86-90,,Personal foul by R. Rubio (drawn by D. Green)
7:29.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,89-90,,
7:06.0,,,89-90,,Shooting foul by D. West (drawn by R. Rubio)
7:06.0,,,89-91,1,R. Rubio makes free throw 1 of 2
7:06.0,,,89-92,1,R. Rubio makes free throw 2 of 2
6:46.0,I. Clark misses 2-pt shot from 5 ft,,89-92,,
6:46.0,,,89-92,,Defensive rebound by S. Muhammad
6:41.0,,,89-94,2,S. Muhammad makes 2-pt shot from 4 ft (assist by R. Rubio)
6:39.0,Golden State full timeout,,89-94,,
6:39.0,Z. Pachulia enters the game for D. West,,89-94,,
6:39.0,S. Curry enters the game for I. Clark,,89-94,,
6:30.0,Shooting foul by A. Wiggins (drawn by Z. Pachulia),,89-94,,
6:30.0,Z. Pachulia misses free throw 1 of 2,,89-94,,
6:30.0,Offensive rebound by Team,,89-94,,
6:30.0,Z. Pachulia makes free throw 2 of 2,1,90-94,,
6:17.0,,,90-94,,K. Towns misses 2-pt shot at rim
6:16.0,Defensive rebound by Z. Pachulia,,90-94,,
6:03.0,Jump ball: Z. Pachulia vs. R. Rubio (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. R. Rubio (D. Green gains possession)
5:56.0,S. Curry misses 3-pt shot from 25 ft,,90-94,,
5:54.0,,,90-94,,Defensive rebound by A. Wiggins
5:40.0,,,90-94,,N. Bjelica misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by Team,,90-94,,
5:23.0,K. Thompson misses 3-pt shot from 25 ft,,90-94,,
5:22.0,,,90-94,,Defensive rebound by R. Rubio
5:16.0,P. McCaw enters the game for K. Thompson,,90-94,,
5:05.0,,,90-94,,Turnover by A. Wiggins (lost ball; steal by Z. Pachulia)
5:01.0,P. McCaw makes 2-pt shot from 2 ft (assist by S. Curry),2,92-94,,
4:38.0,,,92-96,2,N. Bjelica makes 2-pt shot from 3 ft (assist by K. Towns)
4:26.0,D. Green misses 3-pt shot from 25 ft,,92-96,,
4:25.0,Offensive rebound by S. Curry,,92-96,,
4:22.0,S. Curry misses 2-pt shot at rim,,92-96,,
4:21.0,,,92-96,,Defensive rebound by N. Bjelica
4:20.0,Personal foul by Z. Pachulia (drawn by N. Bjelica),,92-96,,
4:02.0,,,92-96,,K. Towns misses 2-pt shot from 8 ft
4:00.0,Defensive rebound by P. McCaw,,92-96,,
3:55.0,Shooting foul by A. Wiggins (drawn by S. Curry),,92-96,,
3:55.0,S. Curry makes free throw 1 of 2,1,93-96,,
3:55.0,S. Curry makes free throw 2 of 2,1,94-96,,
3:55.0,K. Thompson enters the game for P. McCaw,,93-96,,
3:38.0,,,94-96,,K. Towns misses 2-pt shot from 17 ft
3:37.0,,,94-96,,Offensive rebound by A. Wiggins
3:33.0,,,94-98,2,A. Wiggins makes 2-pt shot from 8 ft
3:22.0,Shooting foul by K. Towns (drawn by D. Green),,94-98,,
3:22.0,D. Green makes free throw 1 of 2,1,95-98,,
3:22.0,D. Green misses free throw 2 of 2,,95-98,,
3:22.0,,,95-98,,Defensive rebound by N. Bjelica
3:22.0,,,95-98,,B. Rush enters the game for S. Muhammad
3:07.0,Shooting block foul by Z. Pachulia (drawn by K. Towns),,95-98,,
3:07.0,,,95-98,,K. Towns misses free throw 1 of 2
3:07.0,,,95-98,,Offensive rebound by Team
3:07.0,,,95-98,,K. Towns misses free throw 2 of 2
3:06.0,,,95-98,,Offensive rebound by Team
3:03.0,,,95-98,,A. Wiggins misses 2-pt shot from 1 ft (block by D. Green)
3:01.0,,,95-98,,Offensive rebound by Team
2:49.0,,,95-98,,Turnover by K. Towns (bad pass; steal by A. Iguodala)
