time,San Antonio,pts.away,score,pts.home,New York
7:28.0,Turnover by D. Green (bad pass; steal by K. Porzingis),,9-11,,
7:20.0,,,9-13,2,C. Lee makes 2-pt shot from 15 ft
7:02.0,K. Leonard misses 3-pt shot from 24 ft,,9-13,,
7:00.0,,,9-13,,Defensive rebound by W. Hernangomez
6:48.0,,,9-13,,Turnover by K. Porzingis (lost ball; steal by K. Leonard)
6:43.0,D. Green misses 3-pt shot from 25 ft,,9-13,,
6:41.0,Offensive rebound by K. Leonard,,9-13,,
6:23.0,K. Leonard misses 2-pt shot from 2 ft,,9-13,,
6:21.0,Offensive rebound by L. Aldridge,,9-13,,
6:21.0,L. Aldridge makes 2-pt shot from 1 ft,2,11-13,,
6:21.0,,,11-13,,New York full timeout
6:09.0,,,11-13,,Turnover by D. Rose (bad pass; steal by D. Dedmon)
5:49.0,D. Green misses 3-pt shot from 23 ft,,11-13,,
5:47.0,,,11-13,,Defensive rebound by D. Rose
5:42.0,,,11-15,2,C. Anthony makes 2-pt shot at rim (assist by D. Rose)
5:15.0,Turnover by K. Leonard (lost ball),,11-15,,
5:15.0,P. Mills enters the game for K. Leonard,,11-15,,
5:15.0,M. Ginobili enters the game for D. Green,,11-15,,
5:15.0,D. Lee enters the game for D. Dedmon,,11-15,,
4:53.0,,,11-15,,K. Porzingis misses 2-pt shot from 12 ft
4:51.0,Defensive rebound by L. Aldridge,,11-15,,
4:43.0,L. Aldridge makes 2-pt shot from 22 ft (assist by P. Mills),2,13-15,,
4:26.0,,,13-15,,D. Rose misses 2-pt shot from 21 ft
4:24.0,Defensive rebound by D. Lee,,13-15,,
4:10.0,L. Aldridge misses 2-pt shot from 6 ft,,13-15,,
4:08.0,,,13-15,,Defensive rebound by W. Hernangomez
3:59.0,,,13-15,,Turnover by C. Anthony (lost ball)
3:59.0,San Antonio full timeout,,13-15,,
3:59.0,,,13-15,,B. Jennings enters the game for K. Porzingis
3:59.0,,,13-15,,K. O'Quinn enters the game for D. Rose
3:59.0,K. Anderson enters the game for T. Parker,,13-15,,
3:35.0,D. Lee makes 2-pt shot from 17 ft (assist by M. Ginobili),2,15-15,,
3:15.0,,,15-15,,C. Anthony misses 2-pt shot from 16 ft
3:13.0,Defensive rebound by K. Anderson,,15-15,,
3:01.0,P. Mills makes 3-pt shot from 23 ft (assist by L. Aldridge),3,18-15,,
2:39.0,,,18-15,,K. O'Quinn misses 2-pt shot from 21 ft
2:37.0,Defensive rebound by M. Ginobili,,18-15,,
2:27.0,K. Anderson misses 2-pt shot from 22 ft,,18-15,,
2:25.0,Offensive rebound by L. Aldridge,,18-15,,
2:22.0,M. Ginobili misses 3-pt shot from 24 ft,,18-15,,
2:20.0,Offensive rebound by D. Lee,,18-15,,
2:18.0,,,18-15,,Personal foul by W. Hernangomez (drawn by L. Aldridge)
2:18.0,D. Dedmon enters the game for L. Aldridge,,18-15,,
2:14.0,Turnover by P. Mills (bad pass; steal by W. Hernangomez),,18-15,,
2:11.0,Personal foul by M. Ginobili (drawn by B. Jennings),,18-15,,
2:02.0,,,18-15,,Offensive foul by K. O'Quinn
2:02.0,,,18-15,,Turnover by K. O'Quinn (offensive foul)
1:52.0,D. Lee misses 2-pt shot from 5 ft (block by K. O'Quinn),,18-15,,
1:50.0,Offensive rebound by D. Lee,,18-15,,
1:47.0,Turnover by D. Lee (lost ball; steal by W. Hernangomez),,18-15,,
1:37.0,,,18-15,,Turnover by C. Anthony (lost ball; steal by D. Lee)
1:28.0,P. Mills misses 2-pt shot from 18 ft,,18-15,,
1:26.0,Offensive rebound by P. Mills,,18-15,,
1:15.0,P. Mills misses 3-pt shot from 25 ft,,18-15,,
1:13.0,,,18-15,,Defensive rebound by B. Jennings
1:04.0,,,18-15,,Turnover by B. Jennings (bad pass; steal by P. Mills)
1:01.0,K. Anderson makes 2-pt shot from 6 ft (assist by M. Ginobili),2,20-15,,
1:01.0,Shooting foul by C. Lee (drawn by K. Anderson),,20-15,,
1:01.0,K. Anderson makes free throw 1 of 1,1,21-15,,
1:01.0,,,20-15,,K. Porzingis enters the game for W. Hernangomez
1:01.0,,,20-15,,J. Holiday enters the game for C. Lee
0:43.0,,,21-18,3,J. Holiday makes 3-pt shot from 22 ft (assist by B. Jennings)
0:27.0,M. Ginobili misses 3-pt shot from 25 ft,,21-18,,
0:25.0,,,21-18,,Defensive rebound by B. Jennings
0:03.0,,,21-18,,Turnover by C. Anthony (lost ball)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-20,2,B. Jennings makes 2-pt shot from 2 ft (assist by K. O'Quinn)
11:35.0,,,21-20,,Personal foul by J. Holiday (drawn by M. Ginobili)
11:29.0,Shooting foul by L. Thomas (drawn by D. Dedmon),,21-20,,
11:29.0,D. Dedmon misses free throw 1 of 2,,21-20,,
11:29.0,Offensive rebound by Team,,21-20,,
11:29.0,D. Dedmon makes free throw 2 of 2,1,22-20,,
11:13.0,,,22-20,,Turnover by J. Holiday (bad pass)
11:13.0,D. Bertans enters the game for D. Lee,,22-20,,
10:58.0,Shooting foul by K. O'Quinn (drawn by K. Anderson),,22-20,,
10:58.0,K. Anderson makes free throw 1 of 2,1,23-20,,
10:58.0,K. Anderson makes free throw 2 of 2,1,24-20,,
10:42.0,,,24-22,2,K. O'Quinn makes 2-pt shot from 16 ft (assist by J. Holiday)
10:31.0,P. Mills makes 2-pt shot from 20 ft,2,26-22,,
10:22.0,Def 3 sec tech foul by D. Dedmon,,26-22,,
10:22.0,,,26-23,1,K. Porzingis makes technical free throw
10:22.0,D. Green enters the game for M. Ginobili,,26-22,,
10:22.0,T. Parker enters the game for P. Mills,,26-22,,
10:17.0,,,26-26,3,K. Porzingis makes 3-pt shot from 24 ft (assist by B. Jennings)
10:15.0,San Antonio full timeout,,26-26,,
10:15.0,K. Leonard enters the game for K. Anderson,,26-26,,
9:55.0,T. Parker misses 3-pt shot from 24 ft,,26-26,,
9:53.0,,,26-26,,Defensive rebound by K. O'Quinn
9:36.0,,,26-26,,K. O'Quinn misses 2-pt shot from 5 ft
9:34.0,Defensive rebound by D. Dedmon,,26-26,,
9:25.0,K. Leonard makes 2-pt shot from 5 ft,2,28-26,,
9:07.0,,,28-26,,K. Porzingis misses 2-pt shot from 7 ft
9:05.0,Defensive rebound by D. Dedmon,,28-26,,
8:47.0,D. Dedmon makes 2-pt shot at rim (assist by K. Leonard),2,30-26,,
8:31.0,,,30-26,,J. Holiday misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by D. Dedmon,,30-26,,
8:16.0,K. Leonard misses 2-pt shot from 17 ft,,30-26,,
8:14.0,Offensive rebound by D. Bertans,,30-26,,
8:05.0,Turnover by K. Leonard (traveling),,30-26,,
8:05.0,,,30-26,,W. Hernangomez enters the game for K. O'Quinn
7:48.0,,,30-26,,Turnover by J. Holiday (bad pass; steal by D. Green)
7:43.0,,,30-26,,Violation by B. Jennings (kicked ball)
7:43.0,L. Aldridge enters the game for D. Dedmon,,30-26,,
7:31.0,K. Leonard makes 2-pt shot from 5 ft,2,32-26,,
7:11.0,,,32-26,,Shooting foul by D. Bertans (drawn by K. Porzingis)
7:11.0,,,32-27,1,K. Porzingis makes free throw 1 of 2
7:11.0,,,32-28,1,K. Porzingis makes free throw 2 of 2
7:11.0,,,32-27,,C. Anthony enters the game for L. Thomas
7:11.0,,,32-27,,D. Rose enters the game for B. Jennings
6:50.0,L. Aldridge misses 2-pt shot from 18 ft,,32-28,,
6:48.0,,,32-28,,Defensive rebound by K. Porzingis
6:31.0,,,32-28,,Turnover by W. Hernangomez (bad pass; steal by K. Leonard)
6:29.0,Violation by D. Green (kicked ball),,32-28,,
6:15.0,K. Leonard misses 2-pt shot from 2 ft (block by K. Porzingis),,32-28,,
6:13.0,,,32-28,,Defensive rebound by D. Rose
6:08.0,,,32-30,2,D. Rose makes 2-pt shot from 2 ft
5:57.0,D. Bertans makes 3-pt shot from 23 ft (assist by K. Leonard),3,35-30,,
5:46.0,,,35-30,,D. Rose misses 2-pt shot from 2 ft
5:45.0,Defensive rebound by Team,,35-30,,
5:45.0,Official timeout,,35-30,,
5:45.0,,,35-30,,L. Thomas enters the game for K. Porzingis
5:45.0,,,35-30,,C. Lee enters the game for J. Holiday
5:34.0,D. Green makes 3-pt shot from 23 ft (assist by K. Leonard),3,38-30,,
5:12.0,,,38-30,,Turnover by W. Hernangomez (lost ball; steal by K. Leonard)
5:11.0,,,38-30,,Personal foul by W. Hernangomez (drawn by K. Leonard)
5:00.0,K. Leonard makes 2-pt shot at rim (assist by T. Parker),2,40-30,,
4:44.0,,,40-30,,W. Hernangomez misses 2-pt shot from 3 ft
4:42.0,,,40-30,,Offensive rebound by W. Hernangomez
4:34.0,,,40-32,2,C. Lee makes 2-pt shot from 17 ft
4:19.0,Shooting foul by W. Hernangomez (drawn by K. Leonard),,40-32,,
4:19.0,K. Leonard makes free throw 1 of 2,1,41-32,,
4:19.0,K. Leonard makes free throw 2 of 2,1,42-32,,
4:19.0,,,41-32,,K. O'Quinn enters the game for W. Hernangomez
4:19.0,D. Lee enters the game for D. Bertans,,41-32,,
4:10.0,,,42-32,,C. Anthony misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by D. Green,,42-32,,
3:45.0,K. Leonard makes 2-pt shot from 8 ft,2,44-32,,
3:34.0,,,44-34,2,D. Rose makes 2-pt shot from 6 ft
3:13.0,K. Leonard makes 2-pt shot from 17 ft,2,46-34,,
3:03.0,,,46-36,2,L. Thomas makes 2-pt shot from 24 ft (assist by K. O'Quinn)
2:37.0,L. Aldridge misses 2-pt shot from 4 ft,,46-36,,
2:35.0,Offensive rebound by D. Lee,,46-36,,
2:22.0,D. Lee makes 2-pt shot from 2 ft (assist by T. Parker),2,48-36,,
2:21.0,,,48-36,,New York full timeout
2:21.0,,,48-36,,K. Porzingis enters the game for L. Thomas
2:21.0,M. Ginobili enters the game for D. Green,,48-36,,
2:21.0,P. Mills enters the game for T. Parker,,48-36,,
2:07.0,,,48-36,,C. Lee misses 3-pt shot from 23 ft
2:07.0,,,48-36,,Offensive rebound by Team
2:07.0,Personal foul by P. Mills,,48-36,,
2:00.0,Personal foul by P. Mills,,48-36,,
1:49.0,,,48-38,2,C. Lee makes 2-pt shot from 20 ft
1:36.0,L. Aldridge misses 2-pt shot from 20 ft,,48-38,,
1:33.0,Offensive rebound by D. Lee,,48-38,,
1:25.0,D. Lee misses 2-pt shot from 2 ft (block by K. O'Quinn),,48-38,,
1:23.0,,,48-38,,Defensive rebound by C. Anthony
1:16.0,,,48-40,2,D. Rose makes 2-pt shot from 18 ft
1:16.0,San Antonio full timeout,,48-40,,
0:59.0,M. Ginobili misses 2-pt shot from 10 ft,,48-40,,
0:57.0,,,48-40,,Defensive rebound by K. Porzingis
0:45.0,,,48-40,,Turnover by K. O'Quinn (lost ball)
0:24.0,K. Leonard misses 3-pt shot from 25 ft,,48-40,,
0:22.0,,,48-40,,Defensive rebound by C. Anthony
0:01.0,,,48-42,2,D. Rose makes 2-pt shot from 2 ft
0:01.0,Turnover by D. Lee (bad pass),,48-42,,
0:01.0,,,48-42,,New York full timeout
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,48-42,,C. Anthony misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by K. Leonard,,48-42,,
11:28.0,L. Aldridge misses 2-pt shot from 14 ft,,48-42,,
11:26.0,,,48-42,,Defensive rebound by C. Anthony
11:18.0,,,48-44,2,W. Hernangomez makes 2-pt shot at rim (assist by C. Anthony)
10:54.0,K. Leonard misses 2-pt shot from 3 ft (block by K. Porzingis),,48-44,,
10:53.0,Offensive rebound by D. Green,,48-44,,
10:51.0,D. Green misses 3-pt shot from 26 ft,,48-44,,
10:49.0,,,48-44,,Defensive rebound by C. Lee
10:41.0,,,48-47,3,C. Lee makes 3-pt shot from 24 ft
10:24.0,Turnover by D. Dedmon (lost ball),,48-47,,
10:08.0,,,48-47,,C. Anthony misses 2-pt shot from 11 ft
10:06.0,Defensive rebound by T. Parker,,48-47,,
10:01.0,Offensive foul by D. Dedmon,,48-47,,
10:01.0,Turnover by D. Dedmon (offensive foul),,48-47,,
9:48.0,,,48-47,,Shooting foul by K. Leonard (drawn by C. Anthony)
9:48.0,,,48-47,,C. Anthony misses free throw 1 of 2
9:48.0,,,48-47,,Offensive rebound by Team
9:48.0,,,48-48,1,C. Anthony makes free throw 2 of 2
9:35.0,Turnover by K. Leonard (bad pass; steal by W. Hernangomez),,48-48,,
9:28.0,,,48-48,,D. Rose misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by Team,,48-48,,
9:26.0,K. Anderson enters the game for K. Leonard,,48-48,,
9:02.0,K. Anderson misses 2-pt shot from 20 ft,,48-48,,
9:01.0,,,48-48,,Defensive rebound by C. Lee
8:55.0,,,48-51,3,C. Anthony makes 3-pt shot from 25 ft (assist by C. Lee)
8:30.0,Turnover by K. Anderson (lost ball),,48-51,,
8:30.0,K. Leonard enters the game for K. Anderson,,48-51,,
8:19.0,,,48-51,,C. Anthony misses 3-pt shot from 22 ft
8:17.0,Defensive rebound by L. Aldridge,,48-51,,
8:08.0,T. Parker misses 2-pt shot from 11 ft,,48-51,,
8:06.0,,,48-51,,Defensive rebound by K. Porzingis
7:58.0,,,48-51,,K. Porzingis misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by K. Leonard,,48-51,,
7:46.0,K. Leonard makes 2-pt shot from 14 ft,2,50-51,,
7:34.0,,,50-51,,D. Rose misses 2-pt shot from 1 ft (block by D. Dedmon)
7:33.0,Defensive rebound by K. Leonard,,50-51,,
7:33.0,,,50-51,,Personal foul by C. Anthony (drawn by K. Leonard)
7:33.0,D. Lee enters the game for D. Dedmon,,50-51,,
7:18.0,L. Aldridge misses 2-pt shot from 3 ft,,50-51,,
7:16.0,,,50-51,,Defensive rebound by W. Hernangomez
7:05.0,,,50-53,2,W. Hernangomez makes 2-pt shot at rim (assist by C. Lee)
7:04.0,San Antonio full timeout,,50-53,,
6:47.0,D. Lee makes 2-pt shot from 2 ft (assist by D. Green),2,52-53,,
6:33.0,,,52-53,,K. Porzingis misses 2-pt shot from 16 ft
6:31.0,,,52-53,,Offensive rebound by C. Lee
6:28.0,,,52-53,,C. Lee misses 2-pt shot from 10 ft
6:26.0,,,52-53,,Offensive rebound by W. Hernangomez
6:24.0,,,52-56,3,K. Porzingis makes 3-pt shot from 25 ft (assist by W. Hernangomez)
6:00.0,D. Lee makes 2-pt shot from 1 ft,2,54-56,,
5:47.0,,,54-56,,Shooting foul by T. Parker (drawn by D. Rose)
5:47.0,,,54-56,,D. Rose misses free throw 1 of 2
5:47.0,,,54-56,,Offensive rebound by Team
5:47.0,,,54-57,1,D. Rose makes free throw 2 of 2
5:47.0,M. Ginobili enters the game for D. Green,,54-56,,
5:47.0,P. Mills enters the game for T. Parker,,54-56,,
5:32.0,K. Leonard makes 3-pt shot from 25 ft (assist by P. Mills),3,57-57,,
5:20.0,,,57-57,,Shooting foul by D. Lee (drawn by C. Anthony)
5:20.0,,,57-58,1,C. Anthony makes free throw 1 of 2
5:20.0,,,57-59,1,C. Anthony makes free throw 2 of 2
4:59.0,K. Leonard makes 2-pt shot from 5 ft,2,59-59,,
4:49.0,,,59-59,,D. Rose misses 2-pt shot from 6 ft
4:47.0,Defensive rebound by D. Lee,,59-59,,
4:44.0,Shooting foul by K. Porzingis (drawn by L. Aldridge),,59-59,,
4:44.0,L. Aldridge makes free throw 1 of 2,1,60-59,,
4:44.0,L. Aldridge makes free throw 2 of 2,1,61-59,,
4:37.0,Personal foul by K. Leonard (drawn by C. Anthony),,61-59,,
4:25.0,,,61-62,3,C. Anthony makes 3-pt shot from 25 ft (assist by C. Lee)
4:10.0,D. Lee misses 2-pt shot from 3 ft (block by K. Porzingis),,61-62,,
4:07.0,,,61-62,,Defensive rebound by C. Lee
4:03.0,,,61-64,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Lee)
3:51.0,K. Leonard misses 3-pt shot from 25 ft,,61-64,,
3:49.0,,,61-64,,Defensive rebound by D. Rose
3:42.0,,,61-64,,C. Lee misses 2-pt shot from 17 ft
3:41.0,Defensive rebound by K. Leonard,,61-64,,
3:32.0,M. Ginobili misses 2-pt shot from 10 ft,,61-64,,
3:30.0,Offensive rebound by M. Ginobili,,61-64,,
3:28.0,D. Lee makes 2-pt shot from 1 ft (assist by M. Ginobili),2,63-64,,
3:12.0,,,63-64,,Shooting foul by L. Aldridge (drawn by D. Rose)
3:12.0,,,63-64,,D. Rose misses free throw 1 of 2
3:12.0,,,63-64,,Offensive rebound by Team
3:12.0,,,63-65,1,D. Rose makes free throw 2 of 2
3:12.0,,,63-64,,K. O'Quinn enters the game for W. Hernangomez
3:12.0,,,63-64,,L. Thomas enters the game for K. Porzingis
3:12.0,D. Bertans enters the game for D. Lee,,63-64,,
2:53.0,M. Ginobili makes 2-pt shot from 2 ft (assist by K. Leonard),2,65-65,,
2:49.0,,,65-65,,New York full timeout
2:49.0,D. Dedmon enters the game for L. Aldridge,,65-65,,
2:49.0,D. Green enters the game for K. Leonard,,65-65,,
2:49.0,,,65-65,,B. Jennings enters the game for D. Rose
2:33.0,,,65-65,,C. Anthony misses 2-pt shot from 13 ft
2:33.0,,,65-65,,Offensive rebound by Team
2:33.0,Loose ball foul by P. Mills,,65-65,,
2:33.0,,,65-66,1,K. O'Quinn makes free throw 1 of 2
2:33.0,,,65-67,1,K. O'Quinn makes free throw 2 of 2
2:07.0,M. Ginobili misses 3-pt shot from 24 ft,,65-67,,
2:05.0,,,65-67,,Defensive rebound by C. Anthony
1:58.0,,,65-67,,C. Anthony misses 2-pt shot from 14 ft
1:56.0,Defensive rebound by D. Bertans,,65-67,,
1:40.0,P. Mills misses 3-pt shot from 25 ft,,65-67,,
1:39.0,Offensive rebound by D. Bertans,,65-67,,
1:34.0,M. Ginobili misses 2-pt shot from 6 ft,,65-67,,
1:33.0,,,65-67,,Defensive rebound by K. O'Quinn
1:20.0,,,65-69,2,C. Anthony makes 2-pt shot from 13 ft
1:05.0,P. Mills misses 3-pt shot from 23 ft,,65-69,,
1:03.0,,,65-69,,Defensive rebound by K. O'Quinn
0:52.0,,,65-69,,C. Anthony misses 2-pt shot from 14 ft
0:50.0,Defensive rebound by D. Dedmon,,65-69,,
0:40.0,P. Mills misses 2-pt shot from 1 ft,,65-69,,
0:38.0,,,65-69,,Defensive rebound by C. Lee
0:33.0,,,65-69,,C. Lee misses 2-pt shot from 4 ft
0:32.0,Defensive rebound by D. Dedmon,,65-69,,
0:23.0,D. Green misses 3-pt shot from 24 ft,,65-69,,
0:21.0,Offensive rebound by D. Bertans,,65-69,,
0:11.0,D. Green misses 3-pt shot from 23 ft,,65-69,,
0:10.0,,,65-69,,Defensive rebound by L. Thomas
0:01.0,,,65-69,,C. Anthony misses 2-pt shot from 2 ft
0:00.0,,,65-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili),3,68-69,,
11:25.0,,,68-69,,Turnover by K. Porzingis (lost ball; steal by M. Ginobili)
11:18.0,M. Ginobili misses 3-pt shot from 25 ft,,68-69,,
11:16.0,,,68-69,,Defensive rebound by K. O'Quinn
10:58.0,,,68-69,,Shooting foul by D. Green (drawn by K. Porzingis)
10:58.0,,,68-70,1,K. Porzingis makes free throw 1 of 2
10:58.0,,,68-71,1,K. Porzingis makes free throw 2 of 2
10:43.0,D. Bertans misses 2-pt shot from 4 ft,,68-71,,
10:42.0,,,68-71,,Defensive rebound by K. O'Quinn
10:28.0,,,68-73,2,K. Porzingis makes 2-pt shot from 10 ft
10:27.0,San Antonio full timeout,,68-73,,
10:27.0,T. Parker enters the game for D. Dedmon,,68-73,,
10:27.0,K. Leonard enters the game for P. Mills,,68-73,,
10:27.0,L. Aldridge enters the game for M. Ginobili,,68-73,,
10:17.0,,,68-73,,Personal foul by L. Thomas (drawn by K. Leonard)
10:06.0,L. Aldridge misses 2-pt shot from 11 ft,,68-73,,
10:04.0,,,68-73,,Defensive rebound by K. Porzingis
9:47.0,,,68-73,,K. Porzingis misses 2-pt shot from 10 ft
9:45.0,Defensive rebound by L. Aldridge,,68-73,,
9:32.0,L. Aldridge misses 2-pt shot from 9 ft (block by K. O'Quinn),,68-73,,
9:31.0,,,68-73,,Defensive rebound by K. O'Quinn
9:24.0,,,68-73,,K. Porzingis misses 3-pt shot from 28 ft
9:22.0,Defensive rebound by L. Aldridge,,68-73,,
9:08.0,D. Green misses 2-pt shot from 1 ft,,68-73,,
9:06.0,,,68-73,,Defensive rebound by K. O'Quinn
8:54.0,,,68-73,,Turnover by J. Holiday (bad pass)
8:38.0,,,68-73,,Personal foul by L. Thomas (drawn by K. Leonard)
8:38.0,,,68-73,,C. Anthony enters the game for L. Thomas
8:30.0,Shooting foul by K. O'Quinn (drawn by K. Leonard),,68-73,,
8:30.0,K. Leonard makes free throw 1 of 2,1,69-73,,
8:30.0,K. Leonard misses free throw 2 of 2,,69-73,,
8:30.0,D. Lee enters the game for D. Bertans,,69-73,,
8:29.0,,,69-73,,Defensive rebound by K. Porzingis
8:05.0,,,69-73,,Turnover by Team (shot clock)
7:53.0,K. Leonard makes 2-pt shot from 9 ft,2,71-73,,
7:40.0,,,71-73,,C. Anthony misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by K. Leonard,,71-73,,
7:32.0,D. Green misses 2-pt shot from 13 ft,,71-73,,
7:30.0,,,71-73,,Defensive rebound by B. Jennings
7:20.0,,,71-76,3,J. Holiday makes 3-pt shot from 24 ft (assist by B. Jennings)
7:03.0,,,71-76,,Personal foul by K. Porzingis (drawn by L. Aldridge)
6:57.0,,,71-76,,Personal foul by K. Porzingis (drawn by L. Aldridge)
6:57.0,L. Aldridge makes free throw 1 of 2,1,72-76,,
6:57.0,L. Aldridge makes free throw 2 of 2,1,73-76,,
6:36.0,,,73-76,,C. Anthony misses 2-pt shot from 19 ft
6:34.0,Defensive rebound by K. Leonard,,73-76,,
6:29.0,K. Leonard misses 3-pt shot from 25 ft,,73-76,,
6:27.0,,,73-76,,Defensive rebound by C. Anthony
6:22.0,,,73-78,2,C. Anthony makes 2-pt shot from 1 ft
6:02.0,,,73-78,,Personal foul by K. O'Quinn (drawn by K. Leonard)
6:02.0,K. Leonard misses free throw 1 of 2,,73-78,,
6:02.0,Offensive rebound by Team,,73-78,,
6:02.0,K. Leonard makes free throw 2 of 2,1,74-78,,
6:02.0,,,73-78,,W. Hernangomez enters the game for K. O'Quinn
5:58.0,,,74-78,,New York full timeout
5:58.0,P. Mills enters the game for D. Green,,74-78,,
5:58.0,,,74-78,,L. Thomas enters the game for K. Porzingis
5:58.0,,,74-78,,D. Rose enters the game for B. Jennings
5:58.0,,,74-78,,C. Lee enters the game for J. Holiday
5:42.0,,,74-78,,Turnover by C. Lee (bad pass; steal by K. Leonard)
5:39.0,Shooting foul by L. Thomas (drawn by L. Aldridge),,74-78,,
5:39.0,L. Aldridge makes free throw 1 of 2,1,75-78,,
5:39.0,L. Aldridge misses free throw 2 of 2,,75-78,,
5:38.0,,,75-78,,Defensive rebound by L. Thomas
5:18.0,,,75-80,2,W. Hernangomez makes 2-pt shot from 6 ft
5:00.0,K. Leonard makes 2-pt shot from 18 ft (assist by D. Lee),2,77-80,,
4:38.0,,,77-80,,L. Thomas misses 2-pt shot from 22 ft
4:36.0,Defensive rebound by D. Lee,,77-80,,
4:23.0,Shooting foul by L. Thomas (drawn by K. Leonard),,77-80,,
4:23.0,K. Leonard makes free throw 1 of 2,1,78-80,,
4:23.0,K. Leonard makes free throw 2 of 2,1,79-80,,
4:23.0,,,78-80,,K. Porzingis enters the game for L. Thomas
4:04.0,,,79-80,,C. Lee misses 2-pt shot from 3 ft
4:03.0,,,79-80,,Offensive rebound by C. Anthony
4:02.0,,,79-80,,Shooting foul by K. Leonard (drawn by C. Anthony)
4:02.0,,,79-81,1,C. Anthony makes free throw 1 of 2
4:02.0,,,79-81,,C. Anthony misses free throw 2 of 2
4:02.0,D. Green enters the game for T. Parker,,79-81,,
4:01.0,,,79-81,,Offensive rebound by W. Hernangomez
4:01.0,,,79-81,,W. Hernangomez misses 2-pt shot from 1 ft
3:59.0,Defensive rebound by K. Leonard,,79-81,,
3:43.0,L. Aldridge makes 2-pt shot from 3 ft,2,81-81,,
3:23.0,,,81-83,2,D. Rose makes 2-pt shot from 2 ft
3:05.0,K. Leonard misses 2-pt shot from 14 ft,,81-83,,
3:04.0,,,81-83,,Defensive rebound by K. Porzingis
2:54.0,,,81-83,,Turnover by D. Rose (bad pass; steal by P. Mills)
2:50.0,Turnover by P. Mills (bad pass; steal by C. Lee),,81-83,,
2:46.0,,,81-86,3,C. Anthony makes 3-pt shot from 24 ft (assist by C. Lee)
2:44.0,San Antonio full timeout,,81-86,,
2:44.0,Official timeout,,81-86,,
2:44.0,T. Parker enters the game for P. Mills,,81-86,,
2:30.0,D. Green misses 3-pt shot from 23 ft,,81-86,,
2:28.0,Offensive rebound by L. Aldridge,,81-86,,
2:10.0,Shooting foul by C. Anthony (drawn by K. Leonard),,81-86,,
2:10.0,K. Leonard makes free throw 1 of 3,1,82-86,,
