time,Miami,pts.away,score,pts.home,Denver
5:14.0,Technical foul by G. Dragic,,17-17,,
5:14.0,,,17-18,1,J. Nelson makes technical free throw
5:14.0,,,17-17,,W. Chandler enters the game for J. Nurkic
5:14.0,,,17-17,,N. Jokic enters the game for K. Faried
5:14.0,,,17-17,,J. Murray enters the game for E. Mudiay
5:01.0,H. Whiteside misses 2-pt shot from 4 ft,,17-18,,
5:00.0,,,17-18,,Defensive rebound by J. Nelson
4:53.0,,,17-18,,Shooting foul by R. McGruder (drawn by N. Jokic)
4:53.0,,,17-19,1,N. Jokic makes free throw 1 of 2
4:53.0,,,17-19,,N. Jokic misses free throw 2 of 2
4:51.0,Defensive rebound by H. Whiteside,,17-19,,
4:42.0,H. Whiteside makes 2-pt shot from 5 ft (assist by G. Dragic),2,19-19,,
4:20.0,,,19-19,,W. Chandler misses 2-pt shot from 2 ft
4:20.0,Defensive rebound by H. Whiteside,,19-19,,
4:14.0,H. Whiteside misses 2-pt shot from 5 ft,,19-19,,
4:11.0,,,19-19,,Defensive rebound by W. Chandler
3:59.0,,,19-21,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari)
3:44.0,J. Johnson misses 3-pt shot from 25 ft,,19-21,,
3:43.0,,,19-21,,Defensive rebound by N. Jokic
3:37.0,,,19-21,,W. Chandler misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by H. Whiteside,,19-21,,
3:16.0,J. Johnson makes 2-pt shot from 7 ft (assist by H. Whiteside),2,21-21,,
2:55.0,,,21-21,,N. Jokic misses 2-pt shot from 1 ft (block by H. Whiteside)
2:54.0,,,21-21,,Offensive rebound by N. Jokic
2:50.0,,,21-23,2,N. Jokic makes 2-pt shot from 7 ft
2:39.0,T. Johnson makes 2-pt shot at rim,2,23-23,,
2:39.0,,,23-23,,Denver full timeout
2:39.0,W. Reed enters the game for H. Whiteside,,23-23,,
2:39.0,,,23-23,,J. Hernangomez enters the game for D. Gallinari
2:24.0,,,23-23,,W. Chandler misses 2-pt shot from 11 ft
2:23.0,Defensive rebound by W. Reed,,23-23,,
2:12.0,W. Reed misses 2-pt shot from 12 ft,,23-23,,
2:11.0,,,23-23,,Defensive rebound by W. Chandler
2:01.0,,,23-25,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Nelson)
1:51.0,Shooting foul by J. Nelson (drawn by G. Dragic),,23-25,,
1:51.0,G. Dragic makes free throw 1 of 2,1,24-25,,
1:51.0,G. Dragic makes free throw 2 of 2,1,25-25,,
1:51.0,,,24-25,,E. Mudiay enters the game for J. Nelson
1:51.0,W. Ellington enters the game for R. McGruder,,24-25,,
1:30.0,,,25-27,2,N. Jokic makes 2-pt shot from 7 ft
1:08.0,T. Johnson misses 2-pt shot from 18 ft,,25-27,,
1:08.0,,,25-27,,Defensive rebound by W. Chandler
0:58.0,,,25-27,,J. Murray misses 3-pt shot from 26 ft
0:57.0,Defensive rebound by J. Johnson,,25-27,,
0:40.0,W. Ellington misses 2-pt shot from 20 ft,,25-27,,
0:38.0,Offensive rebound by W. Reed,,25-27,,
0:34.0,Turnover by W. Ellington (step out of bounds),,25-27,,
0:34.0,L. Babbitt enters the game for G. Dragic,,25-27,,
0:23.0,,,25-29,2,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic)
0:23.0,,,25-29,,Shooting foul by T. Johnson (drawn by J. Murray)
0:23.0,,,25-30,1,J. Murray makes free throw 1 of 1
0:16.0,,,25-30,,Personal foul by J. Murray (drawn by T. Johnson)
0:16.0,T. Johnson makes free throw 1 of 2,1,26-30,,
0:16.0,T. Johnson misses free throw 2 of 2,,26-30,,
0:12.0,,,26-30,,Defensive rebound by W. Chandler
0:02.0,,,26-30,,Turnover by N. Jokic (lost ball; steal by W. Ellington)
0:00.0,T. Johnson makes 2-pt shot from 1 ft,2,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,28-30,,E. Mudiay misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by W. Reed,,28-30,,
11:27.0,J. Johnson misses 3-pt shot from 24 ft,,28-30,,
11:26.0,,,28-30,,Defensive rebound by Team
11:26.0,Loose ball foul by W. Reed,,28-30,,
11:09.0,,,28-32,2,W. Chandler makes 2-pt shot from 3 ft (assist by J. Murray)
10:52.0,Shooting foul by W. Chandler (drawn by W. Reed),,28-32,,
10:52.0,W. Reed misses free throw 1 of 2,,28-32,,
10:52.0,Offensive rebound by Team,,28-32,,
10:52.0,W. Reed misses free throw 2 of 2,,28-32,,
10:51.0,,,28-32,,Defensive rebound by N. Jokic
10:36.0,,,28-34,2,W. Chandler makes 2-pt shot from 9 ft (assist by J. Murray)
10:19.0,T. Johnson misses 2-pt shot from 2 ft (block by J. Murray),,28-34,,
10:18.0,,,28-34,,Defensive rebound by N. Jokic
10:12.0,,,28-34,,E. Mudiay misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by W. Reed,,28-34,,
10:03.0,L. Babbitt makes 3-pt shot from 23 ft (assist by T. Johnson),3,31-34,,
9:46.0,,,31-34,,Turnover by W. Chandler (lost ball; steal by T. Johnson)
9:41.0,W. Ellington makes 2-pt shot at rim (assist by J. Johnson),2,33-34,,
9:20.0,,,33-36,2,W. Chandler makes 2-pt shot from 8 ft (assist by N. Jokic)
9:03.0,W. Ellington makes 3-pt shot from 24 ft (assist by T. Johnson),3,36-36,,
9:03.0,,,36-36,,Denver full timeout
8:45.0,,,36-36,,Turnover by J. Murray (lost ball; steal by W. Ellington)
8:40.0,W. Ellington makes 2-pt shot from 1 ft,2,38-36,,
8:18.0,,,38-36,,E. Mudiay misses 2-pt shot from 13 ft
8:17.0,Defensive rebound by J. Johnson,,38-36,,
8:03.0,T. Johnson misses 2-pt shot from 21 ft,,38-36,,
8:02.0,,,38-36,,Defensive rebound by J. Murray
8:00.0,,,38-36,,J. Murray misses 2-pt shot from 2 ft
7:59.0,,,38-36,,Offensive rebound by Team
7:59.0,Official timeout,,38-36,,
7:59.0,H. Whiteside enters the game for W. Reed,,38-36,,
7:59.0,,,38-36,,J. Nelson enters the game for N. Jokic
7:59.0,,,38-36,,J. Nurkic enters the game for J. Murray
7:42.0,,,38-36,,J. Hernangomez misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by J. Johnson,,38-36,,
7:35.0,W. Ellington misses 3-pt shot from 25 ft,,38-36,,
7:32.0,,,38-36,,Defensive rebound by E. Mudiay
7:22.0,,,38-36,,J. Nelson misses 2-pt shot from 8 ft
7:21.0,Defensive rebound by H. Whiteside,,38-36,,
7:11.0,L. Babbitt makes 3-pt shot from 26 ft (assist by T. Johnson),3,41-36,,
6:54.0,Def 3 sec tech foul by J. Johnson,,41-36,,
6:54.0,,,41-36,,J. Nelson misses technical free throw
6:54.0,,,41-36,,Offensive rebound by Team
6:54.0,G. Dragic enters the game for T. Johnson,,41-36,,
6:54.0,,,41-36,,D. Gallinari enters the game for W. Chandler
6:54.0,,,41-36,,A. Gee enters the game for J. Hernangomez
6:41.0,,,41-36,,Turnover by E. Mudiay (lost ball; steal by J. Johnson)
6:35.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson),2,43-36,,
6:35.0,,,43-36,,Denver full timeout
6:17.0,Personal foul by J. Johnson (drawn by D. Gallinari),,43-36,,
6:06.0,,,43-36,,D. Gallinari misses 3-pt shot from 26 ft
6:05.0,Defensive rebound by H. Whiteside,,43-36,,
5:47.0,W. Ellington misses 2-pt shot from 6 ft,,43-36,,
5:47.0,,,43-36,,Defensive rebound by D. Gallinari
5:44.0,,,43-38,2,E. Mudiay makes 2-pt shot from 1 ft (assist by D. Gallinari)
5:44.0,,,43-38,,Shooting foul by G. Dragic (drawn by E. Mudiay)
5:44.0,,,43-38,,E. Mudiay misses free throw 1 of 1
5:44.0,,,43-38,,K. Faried enters the game for A. Gee
5:42.0,Defensive rebound by J. Johnson,,43-38,,
5:32.0,J. Johnson makes 2-pt shot from 1 ft,2,45-38,,
5:24.0,,,45-38,,J. Nelson misses 2-pt shot from 3 ft
5:23.0,Defensive rebound by H. Whiteside,,45-38,,
5:19.0,L. Babbitt misses 3-pt shot from 23 ft,,45-38,,
5:18.0,Offensive rebound by H. Whiteside,,45-38,,
5:17.0,Shooting foul by D. Gallinari (drawn by H. Whiteside),,45-38,,
5:17.0,H. Whiteside makes free throw 1 of 2,1,46-38,,
5:17.0,H. Whiteside makes free throw 2 of 2,1,47-38,,
5:03.0,,,47-38,,E. Mudiay misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by H. Whiteside,,47-38,,
4:56.0,L. Babbitt makes 2-pt shot from 11 ft (assist by G. Dragic),2,49-38,,
4:40.0,,,49-38,,Offensive foul by J. Nurkic
4:40.0,,,49-38,,Turnover by J. Nurkic (offensive foul)
4:40.0,,,49-38,,W. Chandler enters the game for E. Mudiay
4:24.0,G. Dragic misses 3-pt shot from 26 ft,,49-38,,
4:23.0,,,49-38,,Defensive rebound by D. Gallinari
4:12.0,,,49-38,,W. Chandler misses 2-pt shot from 6 ft
4:11.0,,,49-38,,Offensive rebound by W. Chandler
4:08.0,,,49-38,,W. Chandler misses 2-pt shot from 4 ft (block by H. Whiteside)
4:06.0,,,49-38,,Offensive rebound by J. Nurkic
4:03.0,,,49-38,,J. Nurkic misses 2-pt shot from 1 ft
4:02.0,Defensive rebound by H. Whiteside,,49-38,,
3:54.0,J. Johnson misses 2-pt shot from 1 ft,,49-38,,
3:53.0,,,49-38,,Defensive rebound by K. Faried
3:50.0,Personal foul by G. Dragic (drawn by J. Nelson),,49-38,,
3:50.0,R. McGruder enters the game for J. Johnson,,49-38,,
3:47.0,J. McRoberts enters the game for W. Ellington,,49-38,,
3:37.0,,,49-38,,Turnover by K. Faried (bad pass; steal by R. McGruder)
3:31.0,R. McGruder misses 3-pt shot from 24 ft,,49-38,,
3:30.0,,,49-38,,Defensive rebound by J. Nurkic
3:15.0,,,49-40,2,K. Faried makes 2-pt shot from 3 ft (assist by D. Gallinari)
3:15.0,Shooting block foul by H. Whiteside (drawn by K. Faried),,49-40,,
3:15.0,,,49-41,1,K. Faried makes free throw 1 of 1
3:15.0,,,49-40,,J. Murray enters the game for J. Nurkic
3:13.0,Miami full timeout,,49-41,,
3:06.0,,,49-41,,Personal foul by W. Chandler (drawn by H. Whiteside)
2:56.0,J. McRoberts misses 2-pt shot from 19 ft,,49-41,,
2:55.0,,,49-41,,Defensive rebound by J. Nelson
2:46.0,,,49-41,,W. Chandler misses 2-pt shot from 11 ft
2:45.0,Defensive rebound by H. Whiteside,,49-41,,
2:38.0,G. Dragic misses 2-pt shot from 20 ft,,49-41,,
2:37.0,Offensive rebound by R. McGruder,,49-41,,
2:36.0,R. McGruder misses 2-pt shot from 1 ft,,49-41,,
2:36.0,Offensive rebound by H. Whiteside,,49-41,,
2:35.0,Shooting foul by K. Faried (drawn by H. Whiteside),,49-41,,
2:35.0,H. Whiteside misses free throw 1 of 2,,49-41,,
2:35.0,Offensive rebound by Team,,49-41,,
2:35.0,H. Whiteside makes free throw 2 of 2,1,50-41,,
2:35.0,,,49-41,,E. Mudiay enters the game for W. Chandler
2:20.0,,,50-41,,D. Gallinari misses 2-pt shot from 15 ft
2:19.0,,,50-41,,Offensive rebound by Team
2:07.0,,,50-43,2,D. Gallinari makes 2-pt shot from 18 ft
1:48.0,Turnover by J. McRoberts (bad pass; steal by K. Faried),,50-43,,
1:38.0,,,50-43,,J. Nelson misses 2-pt shot from 1 ft
1:35.0,,,50-43,,Offensive rebound by J. Nelson
1:30.0,,,50-43,,J. Murray misses 3-pt shot from 25 ft
1:30.0,,,50-43,,Offensive rebound by Team
1:30.0,Loose ball foul by J. McRoberts (drawn by K. Faried),,50-43,,
1:30.0,,,50-43,,K. Faried misses free throw 1 of 2
1:30.0,,,50-43,,Offensive rebound by Team
1:30.0,,,50-43,,K. Faried misses free throw 2 of 2
1:30.0,J. Johnson enters the game for H. Whiteside,,50-43,,
1:30.0,W. Reed enters the game for J. McRoberts,,50-43,,
1:30.0,T. Johnson enters the game for G. Dragic,,50-43,,
1:30.0,W. Ellington enters the game for R. McGruder,,50-43,,
1:28.0,Defensive rebound by J. Johnson,,50-43,,
1:07.0,L. Babbitt misses 2-pt shot from 8 ft (block by E. Mudiay),,50-43,,
1:06.0,,,50-43,,Defensive rebound by K. Faried
1:02.0,,,50-46,3,J. Nelson makes 3-pt shot from 25 ft (assist by K. Faried)
0:43.0,J. Johnson misses 2-pt shot from 18 ft,,50-46,,
0:43.0,,,50-46,,Defensive rebound by J. Murray
0:36.0,,,50-46,,J. Nelson misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by W. Reed,,50-46,,
0:29.0,Miami full timeout,,50-46,,
0:29.0,,,50-46,,A. Gee enters the game for J. Nelson
0:12.0,,,50-46,,Violation by K. Faried (def goaltending)
0:12.0,T. Johnson makes 2-pt shot from 2 ft,2,52-46,,
0:04.0,,,52-46,,Shooting foul by W. Reed (drawn by E. Mudiay)
0:04.0,,,52-47,1,E. Mudiay makes free throw 1 of 2
0:04.0,,,52-47,,E. Mudiay misses free throw 2 of 2
0:02.0,Defensive rebound by W. Reed,,52-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,52-47,,K. Faried misses 2-pt shot from 3 ft
11:35.0,Defensive rebound by J. McRoberts,,52-47,,
11:22.0,L. Babbitt misses 2-pt shot from 6 ft,,52-47,,
11:21.0,,,52-47,,Defensive rebound by J. Nurkic
11:13.0,,,52-47,,D. Gallinari misses 2-pt shot from 1 ft
11:12.0,,,52-47,,Offensive rebound by J. Nurkic
11:08.0,,,52-49,2,J. Nurkic makes 2-pt shot from 1 ft
10:49.0,R. McGruder misses 2-pt shot from 1 ft (block by K. Faried),,52-49,,
10:47.0,Offensive rebound by H. Whiteside,,52-49,,
10:43.0,H. Whiteside makes 2-pt shot from 3 ft,2,54-49,,
10:39.0,,,54-49,,Turnover by J. Nurkic (bad pass)
10:19.0,L. Babbitt misses 3-pt shot from 24 ft,,54-49,,
10:18.0,Offensive rebound by R. McGruder,,54-49,,
10:11.0,H. Whiteside misses 2-pt shot from 16 ft,,54-49,,
10:10.0,,,54-49,,Defensive rebound by K. Faried
10:00.0,,,54-51,2,D. Gallinari makes 2-pt shot from 5 ft (assist by J. Nelson)
9:51.0,Shooting foul by J. Nurkic (drawn by G. Dragic),,54-51,,
9:51.0,G. Dragic makes free throw 1 of 2,1,55-51,,
9:51.0,G. Dragic makes free throw 2 of 2,1,56-51,,
9:36.0,,,56-51,,K. Faried misses 2-pt shot from 4 ft (block by J. McRoberts)
9:35.0,,,56-51,,Offensive rebound by Team
9:33.0,Personal foul by L. Babbitt (drawn by D. Gallinari),,56-51,,
9:24.0,,,56-51,,Turnover by D. Gallinari (bad pass; steal by H. Whiteside)
9:11.0,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic),3,59-51,,
9:01.0,Personal foul by L. Babbitt (drawn by D. Gallinari),,59-51,,
8:59.0,Personal foul by R. McGruder (drawn by E. Mudiay),,59-51,,
8:53.0,,,59-51,,E. Mudiay misses 2-pt shot from 12 ft
8:52.0,,,59-51,,Offensive rebound by E. Mudiay
8:49.0,,,59-51,,E. Mudiay misses 2-pt shot from 2 ft (block by H. Whiteside)
8:47.0,Defensive rebound by H. Whiteside,,59-51,,
8:41.0,G. Dragic misses 2-pt shot from 18 ft,,59-51,,
8:40.0,,,59-51,,Defensive rebound by E. Mudiay
8:35.0,,,59-53,2,J. Nurkic makes 2-pt shot at rim (assist by E. Mudiay)
8:19.0,G. Dragic makes 2-pt shot from 20 ft,2,61-53,,
8:10.0,Personal foul by L. Babbitt (drawn by D. Gallinari),,61-53,,
8:10.0,W. Ellington enters the game for L. Babbitt,,61-53,,
8:03.0,,,61-53,,J. Nelson misses 3-pt shot from 26 ft
8:01.0,,,61-53,,Offensive rebound by K. Faried
7:56.0,,,61-55,2,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay)
7:43.0,G. Dragic misses 3-pt shot from 25 ft,,61-55,,
7:42.0,Offensive rebound by J. McRoberts,,61-55,,
7:41.0,Shooting foul by D. Gallinari (drawn by J. McRoberts),,61-55,,
7:41.0,J. McRoberts misses free throw 1 of 2,,61-55,,
7:41.0,Offensive rebound by Team,,61-55,,
7:41.0,J. McRoberts makes free throw 2 of 2,1,62-55,,
7:29.0,,,62-55,,Shooting foul by G. Dragic (drawn by J. Nelson)
7:29.0,,,62-56,1,J. Nelson makes free throw 1 of 2
7:29.0,,,62-57,1,J. Nelson makes free throw 2 of 2
7:08.0,H. Whiteside makes 2-pt shot from 2 ft (assist by W. Ellington),2,64-57,,
7:03.0,,,64-59,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
6:49.0,J. McRoberts misses 2-pt shot from 20 ft,,64-59,,
6:48.0,,,64-59,,Defensive rebound by D. Gallinari
6:27.0,,,64-59,,Shooting foul by R. McGruder (drawn by D. Gallinari)
6:27.0,,,64-59,,D. Gallinari misses free throw 1 of 2
6:27.0,,,64-59,,Offensive rebound by Team
6:27.0,,,64-59,,D. Gallinari misses free throw 2 of 2
6:25.0,,,64-59,,Offensive rebound by J. Nurkic
6:23.0,,,64-59,,Turnover by J. Nurkic (lost ball; steal by R. McGruder)
6:11.0,H. Whiteside makes 2-pt shot at rim (assist by J. McRoberts),2,66-59,,
6:06.0,,,66-59,,Technical foul by J. Nurkic
6:06.0,W. Ellington makes technical free throw,1,67-59,,
6:06.0,,,67-59,,N. Jokic enters the game for J. Nurkic
5:53.0,Def 3 sec tech foul by H. Whiteside,,67-59,,
5:53.0,,,67-59,,Denver full timeout
5:53.0,,,67-60,1,D. Gallinari makes technical free throw
5:53.0,J. Johnson enters the game for R. McGruder,,67-59,,
5:53.0,,,67-59,,W. Chandler enters the game for K. Faried
5:41.0,,,67-62,2,D. Gallinari makes 2-pt shot from 22 ft (assist by N. Jokic)
5:19.0,J. Johnson misses 3-pt shot from 25 ft,,67-62,,
5:18.0,,,67-62,,Defensive rebound by J. Nelson
5:12.0,,,67-64,2,N. Jokic makes 2-pt shot from 3 ft (assist by E. Mudiay)
4:45.0,W. Ellington makes 2-pt shot from 19 ft (assist by J. McRoberts),2,69-64,,
4:32.0,,,69-66,2,J. Nelson makes 2-pt shot from 3 ft
4:26.0,Miami full timeout,,69-66,,
4:26.0,T. Johnson enters the game for J. McRoberts,,69-66,,
4:26.0,,,69-66,,J. Murray enters the game for E. Mudiay
4:17.0,G. Dragic makes 2-pt shot from 6 ft,2,71-66,,
3:56.0,,,71-66,,D. Gallinari misses 2-pt shot from 9 ft
3:55.0,Defensive rebound by H. Whiteside,,71-66,,
3:49.0,J. Johnson misses 2-pt shot from 2 ft,,71-66,,
3:47.0,,,71-66,,Defensive rebound by N. Jokic
3:41.0,,,71-69,3,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson)
3:20.0,W. Ellington misses 3-pt shot from 24 ft,,71-69,,
3:19.0,,,71-69,,Defensive rebound by N. Jokic
3:13.0,,,71-69,,W. Chandler misses 2-pt shot from 20 ft
3:11.0,Defensive rebound by J. Johnson,,71-69,,
2:59.0,,,71-69,,Personal foul by N. Jokic (drawn by H. Whiteside)
2:46.0,H. Whiteside misses 2-pt shot from 6 ft,,71-69,,
2:46.0,,,71-69,,Defensive rebound by N. Jokic
2:35.0,,,71-71,2,N. Jokic makes 2-pt shot from 12 ft (assist by J. Nelson)
2:19.0,J. Johnson misses 3-pt shot from 24 ft,,71-71,,
2:18.0,,,71-71,,Defensive rebound by Team
2:18.0,Loose ball foul by H. Whiteside (drawn by N. Jokic),,71-71,,
2:18.0,Technical foul by H. Whiteside (drawn by N. Jokic),,71-71,,
2:18.0,,,71-72,1,D. Gallinari makes technical free throw
2:18.0,,,71-73,1,N. Jokic makes free throw 1 of 2
2:18.0,,,71-74,1,N. Jokic makes free throw 2 of 2
2:18.0,W. Reed enters the game for H. Whiteside,,71-72,,
2:12.0,,,71-74,,Def 3 sec tech foul by N. Jokic
2:12.0,W. Ellington misses technical free throw,,71-74,,
2:12.0,Offensive rebound by Team,,71-74,,
2:02.0,G. Dragic misses 2-pt shot from 3 ft (block by D. Gallinari),,71-74,,
2:01.0,Offensive rebound by Team,,71-74,,
1:58.0,G. Dragic misses 2-pt shot from 1 ft,,71-74,,
1:57.0,,,71-74,,Defensive rebound by Team
1:57.0,Loose ball foul by W. Reed (drawn by D. Gallinari),,71-74,,
1:57.0,,,71-75,1,D. Gallinari makes free throw 1 of 2
1:57.0,,,71-76,1,D. Gallinari makes free throw 2 of 2
1:40.0,T. Johnson misses 2-pt shot from 4 ft (block by J. Murray),,71-76,,
1:39.0,,,71-76,,Defensive rebound by J. Murray
1:38.0,,,71-76,,Offensive charge foul by J. Murray
1:38.0,,,71-76,,Turnover by J. Murray (offensive foul)
1:23.0,G. Dragic misses 3-pt shot from 25 ft,,71-76,,
1:22.0,,,71-76,,Defensive rebound by W. Chandler
1:15.0,,,71-78,2,W. Chandler makes 2-pt shot at rim (assist by J. Nelson)
1:00.0,T. Johnson makes 2-pt shot from 8 ft (assist by G. Dragic),2,73-78,,
0:46.0,,,73-78,,J. Nelson misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by G. Dragic,,73-78,,
0:41.0,T. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic),2,75-78,,
0:28.0,,,75-78,,J. Murray misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by G. Dragic,,75-78,,
0:20.0,T. Johnson misses 2-pt shot from 17 ft,,75-78,,
0:19.0,,,75-78,,Defensive rebound by N. Jokic
0:03.0,,,75-78,,D. Gallinari misses 2-pt shot from 18 ft
0:02.0,,,75-78,,Offensive rebound by W. Chandler
0:00.0,,,75-80,2,W. Chandler makes 2-pt shot from 4 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,W. Ellington misses 3-pt shot from 25 ft,,75-80,,
11:39.0,Offensive rebound by T. Johnson,,75-80,,
11:28.0,J. Johnson makes 2-pt shot from 2 ft,2,77-80,,
11:05.0,,,77-82,2,N. Jokic makes 2-pt shot from 7 ft (assist by E. Mudiay)
10:53.0,Shooting foul by J. Murray (drawn by T. Johnson),,77-82,,
10:53.0,T. Johnson makes free throw 1 of 2,1,78-82,,
10:53.0,T. Johnson makes free throw 2 of 2,1,79-82,,
10:38.0,,,79-82,,W. Chandler misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by R. McGruder,,79-82,,
10:28.0,Turnover by J. Johnson (offensive foul),,79-82,,
10:28.0,Offensive charge foul by J. Johnson,,79-82,,
10:14.0,,,79-82,,Turnover by E. Mudiay (lost ball; steal by W. Ellington)
10:09.0,T. Johnson makes 2-pt shot from 1 ft (assist by W. Ellington),2,81-82,,
10:09.0,,,81-82,,Denver full timeout
9:47.0,,,81-82,,N. Jokic misses 2-pt shot from 7 ft
9:46.0,Defensive rebound by W. Reed,,81-82,,
9:40.0,Loose ball foul by J. Johnson (drawn by J. Murray),,81-82,,
9:40.0,Turnover by J. Johnson (offensive foul),,81-82,,
9:30.0,,,81-84,2,W. Chandler makes 2-pt shot from 13 ft (assist by K. Faried)
9:17.0,,,81-84,,Personal foul by N. Jokic (drawn by W. Reed)
9:05.0,W. Ellington makes 3-pt shot from 24 ft (assist by T. Johnson),3,84-84,,
8:44.0,,,84-84,,Turnover by W. Chandler (lost ball)
