time,Indiana,pts.away,score,pts.home,Orlando
3:50.0,Turnover by J. Teague (bad pass; steal by E. Fournier),,22-18,,
3:32.0,L. Allen enters the game for T. Young,,22-18,,
3:32.0,,,22-18,,D. Augustin enters the game for E. Payton
3:32.0,,,22-18,,B. Biyombo enters the game for S. Ibaka
3:25.0,,,22-18,,Turnover by Team (shot clock)
3:10.0,M. Turner makes 2-pt shot from 17 ft (assist by P. George),2,24-18,,
2:55.0,,,24-18,,Turnover by D. Augustin (bad pass)
2:55.0,Indiana full timeout,,24-18,,
2:55.0,,,24-18,,J. Green enters the game for A. Gordon
2:55.0,R. Stuckey enters the game for M. Turner,,24-18,,
2:55.0,A. Jefferson enters the game for J. Teague,,24-18,,
2:39.0,Turnover by P. George (lost ball; steal by B. Biyombo),,24-18,,
2:36.0,,,24-18,,Shooting foul by M. Ellis (drawn by D. Augustin)
2:36.0,,,24-19,1,D. Augustin makes free throw 1 of 2
2:36.0,,,24-19,,D. Augustin misses free throw 2 of 2
2:35.0,Defensive rebound by A. Jefferson,,24-19,,
2:16.0,A. Jefferson makes 2-pt shot from 7 ft (assist by L. Allen),2,26-19,,
1:57.0,,,26-19,,J. Green misses 3-pt shot from 26 ft
1:55.0,,,26-19,,Offensive rebound by D. Augustin
1:46.0,,,26-19,,N. Vucevic misses 2-pt shot from 19 ft
1:44.0,Defensive rebound by M. Ellis,,26-19,,
1:38.0,,,26-19,,Personal foul by E. Fournier (drawn by R. Stuckey)
1:38.0,G. Robinson enters the game for P. George,,26-19,,
1:38.0,,,26-19,,C. Watson enters the game for E. Fournier
1:25.0,R. Stuckey misses 2-pt shot from 19 ft,,26-19,,
1:23.0,Offensive rebound by G. Robinson,,26-19,,
1:12.0,L. Allen makes 2-pt shot from 6 ft (assist by M. Ellis),2,28-19,,
0:57.0,,,28-21,2,N. Vucevic makes 2-pt shot from 13 ft
0:38.0,A. Jefferson misses 2-pt shot from 15 ft,,28-21,,
0:36.0,,,28-21,,Defensive rebound by J. Green
0:24.0,,,28-21,,N. Vucevic misses 2-pt shot from 2 ft
0:24.0,,,28-21,,Offensive rebound by N. Vucevic
0:24.0,,,28-21,,N. Vucevic misses 2-pt shot from 2 ft
0:23.0,,,28-21,,Offensive rebound by N. Vucevic
0:23.0,,,28-23,2,N. Vucevic makes 2-pt shot from 2 ft
0:03.0,R. Stuckey misses 2-pt shot from 18 ft,,28-23,,
0:02.0,,,28-23,,Defensive rebound by B. Biyombo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-23,,Personal foul by B. Biyombo (drawn by G. Robinson)
11:41.0,Offensive foul by A. Jefferson,,28-23,,
11:41.0,Turnover by A. Jefferson (offensive foul),,28-23,,
11:21.0,,,28-23,,S. Ibaka misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by A. Jefferson,,28-23,,
11:10.0,G. Robinson makes 2-pt shot from 16 ft (assist by A. Jefferson),2,30-23,,
10:54.0,,,30-25,2,B. Biyombo makes 2-pt shot at rim (assist by S. Ibaka)
10:49.0,Turnover by R. Stuckey (bad pass; steal by C. Watson),,30-25,,
10:46.0,,,30-25,,C. Watson misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by R. Stuckey,,30-25,,
10:43.0,Shooting foul by B. Biyombo (drawn by R. Stuckey),,30-25,,
10:43.0,R. Stuckey misses free throw 1 of 2,,30-25,,
10:43.0,Offensive rebound by Team,,30-25,,
10:43.0,R. Stuckey makes free throw 2 of 2,1,31-25,,
10:29.0,Violation by M. Ellis (kicked ball),,31-25,,
10:23.0,,,31-25,,C. Watson misses 2-pt shot from 16 ft
10:22.0,Defensive rebound by G. Robinson,,31-25,,
10:15.0,A. Jefferson makes 2-pt shot from 3 ft (assist by R. Stuckey),2,33-25,,
10:07.0,Violation by M. Ellis (kicked ball),,33-25,,
9:56.0,,,33-25,,B. Biyombo misses 2-pt shot from 4 ft
9:54.0,Defensive rebound by A. Jefferson,,33-25,,
9:43.0,M. Ellis misses 2-pt shot from 22 ft,,33-25,,
9:41.0,Offensive rebound by A. Jefferson,,33-25,,
9:41.0,A. Jefferson makes 2-pt shot from 3 ft,2,35-25,,
9:24.0,,,35-28,3,D. Augustin makes 3-pt shot from 26 ft (assist by C. Watson)
8:58.0,Shooting foul by B. Biyombo (drawn by L. Allen),,35-28,,
8:58.0,Official timeout,,35-28,,
8:58.0,L. Allen makes free throw 1 of 2,1,36-28,,
8:58.0,L. Allen makes free throw 2 of 2,1,37-28,,
8:51.0,,,37-28,,Turnover by D. Augustin (bad pass; steal by R. Stuckey)
8:50.0,Shooting foul by C. Watson (drawn by R. Stuckey),,37-28,,
8:50.0,R. Stuckey misses free throw 1 of 2,,37-28,,
8:50.0,Offensive rebound by Team,,37-28,,
8:50.0,R. Stuckey makes free throw 2 of 2,1,38-28,,
8:27.0,,,38-30,2,D. Augustin makes 2-pt shot from 16 ft
8:05.0,G. Robinson makes 3-pt shot from 25 ft (assist by A. Jefferson),3,41-30,,
7:53.0,,,41-30,,S. Ibaka misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by G. Robinson,,41-30,,
7:35.0,R. Stuckey misses 2-pt shot from 7 ft,,41-30,,
7:33.0,,,41-30,,Defensive rebound by S. Ibaka
7:21.0,,,41-32,2,C. Watson makes 2-pt shot from 14 ft
7:08.0,A. Jefferson misses 2-pt shot from 11 ft,,41-32,,
7:06.0,,,41-32,,Defensive rebound by S. Ibaka
7:03.0,,,41-32,,Turnover by B. Biyombo (step out of bounds)
7:03.0,J. Teague enters the game for L. Allen,,41-32,,
7:03.0,T. Young enters the game for R. Stuckey,,41-32,,
6:54.0,,,41-32,,Personal foul by J. Green (drawn by G. Robinson)
6:54.0,G. Robinson makes free throw 1 of 2,1,42-32,,
6:54.0,G. Robinson makes free throw 2 of 2,1,43-32,,
6:54.0,M. Turner enters the game for A. Jefferson,,42-32,,
6:54.0,,,42-32,,E. Payton enters the game for D. Augustin
6:54.0,,,42-32,,N. Vucevic enters the game for B. Biyombo
6:41.0,,,43-32,,S. Ibaka misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by J. Teague,,43-32,,
6:32.0,,,43-32,,Personal foul by E. Payton (drawn by J. Teague)
6:32.0,J. Teague misses free throw 1 of 2,,43-32,,
6:32.0,Offensive rebound by Team,,43-32,,
6:32.0,J. Teague makes free throw 2 of 2,1,44-32,,
6:32.0,P. George enters the game for M. Ellis,,43-32,,
6:32.0,,,43-32,,E. Fournier enters the game for C. Watson
6:32.0,,,43-32,,A. Gordon enters the game for J. Green
6:18.0,,,44-32,,Turnover by N. Vucevic (bad pass; steal by M. Turner)
6:08.0,M. Turner makes 3-pt shot from 26 ft (assist by J. Teague),3,47-32,,
6:08.0,,,47-32,,Orlando full timeout
5:54.0,,,47-32,,Turnover by E. Fournier (lost ball)
5:43.0,Turnover by J. Teague (bad pass; steal by N. Vucevic),,47-32,,
5:32.0,,,47-34,2,S. Ibaka makes 2-pt shot from 2 ft (assist by A. Gordon)
5:19.0,P. George makes 2-pt shot from 3 ft,2,49-34,,
5:00.0,,,49-36,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Fournier)
4:47.0,Turnover by P. George (lost ball; steal by S. Ibaka),,49-36,,
4:42.0,,,49-36,,Turnover by A. Gordon (bad pass)
4:36.0,P. George misses 3-pt shot from 24 ft,,49-36,,
4:34.0,,,49-36,,Defensive rebound by N. Vucevic
4:26.0,,,49-39,3,S. Ibaka makes 3-pt shot from 26 ft (assist by N. Vucevic)
4:11.0,Turnover by J. Teague (bad pass; steal by S. Ibaka),,49-39,,
4:07.0,Personal foul by J. Teague (drawn by E. Fournier),,49-39,,
4:07.0,C. Miles enters the game for G. Robinson,,49-39,,
3:55.0,,,49-39,,S. Ibaka misses 3-pt shot from 25 ft
3:54.0,,,49-39,,Offensive rebound by Team
3:45.0,,,49-39,,A. Gordon misses 2-pt shot from 13 ft
3:44.0,Defensive rebound by M. Turner,,49-39,,
3:31.0,,,49-39,,Personal foul by E. Payton (drawn by J. Teague)
3:31.0,J. Teague makes free throw 1 of 2,1,50-39,,
3:31.0,J. Teague makes free throw 2 of 2,1,51-39,,
3:31.0,,,50-39,,D. Augustin enters the game for E. Payton
3:16.0,,,51-42,3,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic)
2:59.0,P. George misses 2-pt shot from 7 ft (block by S. Ibaka),,51-42,,
2:57.0,,,51-42,,Defensive rebound by E. Fournier
2:57.0,Personal foul by T. Young (drawn by E. Fournier),,51-42,,
2:57.0,Indiana full timeout,,51-42,,
2:45.0,Violation by M. Turner (kicked ball),,51-42,,
2:38.0,Shooting block foul by C. Miles (drawn by A. Gordon),,51-42,,
2:38.0,,,51-42,,A. Gordon misses free throw 1 of 2
2:38.0,,,51-42,,Offensive rebound by Team
2:38.0,,,51-43,1,A. Gordon makes free throw 2 of 2
2:38.0,G. Robinson enters the game for C. Miles,,51-42,,
2:19.0,P. George misses 2-pt shot from 16 ft (block by A. Gordon),,51-43,,
2:17.0,,,51-43,,Defensive rebound by N. Vucevic
2:01.0,,,51-45,2,S. Ibaka makes 2-pt shot from 16 ft (assist by D. Augustin)
1:53.0,Shooting foul by D. Augustin (drawn by J. Teague),,51-45,,
1:53.0,J. Teague makes free throw 1 of 3,1,52-45,,
1:53.0,J. Teague makes free throw 2 of 3,1,53-45,,
1:53.0,J. Teague makes free throw 3 of 3,1,54-45,,
1:37.0,,,54-45,,S. Ibaka misses 2-pt shot from 8 ft
1:36.0,Defensive rebound by G. Robinson,,54-45,,
1:28.0,J. Teague misses 2-pt shot from 6 ft,,54-45,,
1:28.0,Offensive rebound by Team,,54-45,,
1:14.0,Turnover by P. George (bad pass; steal by D. Augustin),,54-45,,
1:06.0,,,54-47,2,S. Ibaka makes 2-pt shot from 12 ft (assist by D. Augustin)
0:40.0,T. Young misses 3-pt shot from 23 ft,,54-47,,
0:39.0,,,54-47,,Defensive rebound by N. Vucevic
0:34.0,,,54-47,,Orlando full timeout
0:19.0,,,54-47,,S. Ibaka misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by P. George,,54-47,,
0:14.0,G. Robinson makes 2-pt shot from 8 ft (assist by T. Young),2,56-47,,
0:01.0,,,56-47,,N. Vucevic misses 3-pt shot from 25 ft
0:00.0,,,56-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,M. Turner misses 2-pt shot from 16 ft,,56-47,,
11:45.0,,,56-47,,Defensive rebound by N. Vucevic
11:34.0,,,56-49,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
11:16.0,,,56-49,,Personal foul by N. Vucevic (drawn by P. George)
11:00.0,M. Turner misses 3-pt shot from 25 ft,,56-49,,
10:59.0,,,56-49,,Defensive rebound by E. Payton
10:37.0,,,56-49,,N. Vucevic misses 2-pt shot from 19 ft
10:35.0,Defensive rebound by Team,,56-49,,
10:21.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Turner),3,59-49,,
10:12.0,,,59-49,,Turnover by E. Fournier (lost ball; steal by T. Young)
9:59.0,C. Miles misses 3-pt shot from 25 ft,,59-49,,
9:57.0,,,59-49,,Defensive rebound by E. Payton
9:46.0,,,59-49,,E. Fournier misses 3-pt shot from 24 ft
9:44.0,,,59-49,,Offensive rebound by S. Ibaka
9:36.0,,,59-49,,Turnover by N. Vucevic (lost ball; steal by T. Young)
9:30.0,T. Young misses 2-pt shot from 3 ft,,59-49,,
9:29.0,,,59-49,,Defensive rebound by N. Vucevic
9:22.0,,,59-51,2,S. Ibaka makes 2-pt shot at rim (assist by E. Payton)
9:05.0,P. George misses 3-pt shot from 26 ft,,59-51,,
9:04.0,Offensive rebound by T. Young,,59-51,,
8:48.0,Turnover by T. Young (bad pass; steal by A. Gordon),,59-51,,
8:42.0,,,59-51,,Shooting foul by T. Young (drawn by S. Ibaka)
8:42.0,,,59-52,1,S. Ibaka makes free throw 1 of 2
8:42.0,,,59-53,1,S. Ibaka makes free throw 2 of 2
8:34.0,,,59-53,,Personal foul by E. Fournier (drawn by M. Turner)
8:20.0,M. Turner makes 2-pt shot from 19 ft (assist by P. George),2,61-53,,
8:03.0,,,61-53,,E. Fournier misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by M. Turner,,61-53,,
7:59.0,,,61-53,,Personal foul by E. Fournier (drawn by J. Teague)
7:50.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Teague),3,64-53,,
7:50.0,,,64-53,,Orlando full timeout
7:50.0,,,64-53,,Technical foul by Team
7:50.0,P. George makes technical free throw,1,65-53,,
7:31.0,,,65-56,3,E. Fournier makes 3-pt shot from 25 ft
7:14.0,M. Turner misses 2-pt shot from 3 ft,,65-56,,
7:12.0,,,65-56,,Defensive rebound by S. Ibaka
6:57.0,Personal foul by P. George (drawn by S. Ibaka),,65-56,,
6:53.0,,,65-56,,S. Ibaka misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by M. Turner,,65-56,,
6:46.0,,,65-56,,Personal foul by E. Fournier (drawn by P. George)
6:29.0,J. Teague makes 2-pt shot from 8 ft,2,67-56,,
6:13.0,,,67-58,2,E. Payton makes 2-pt shot from 3 ft
5:50.0,T. Young makes 2-pt shot from 3 ft,2,69-58,,
5:31.0,,,69-58,,Shooting foul by T. Young (drawn by A. Gordon)
5:31.0,,,69-60,2,A. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic)
5:31.0,,,69-60,,A. Gordon misses free throw 1 of 1
5:29.0,Defensive rebound by T. Young,,69-60,,
5:21.0,Turnover by J. Teague (bad pass),,69-60,,
5:11.0,,,69-60,,Shooting foul by M. Turner (drawn by S. Ibaka)
5:11.0,,,69-61,1,S. Ibaka makes free throw 1 of 2
5:11.0,,,69-62,1,S. Ibaka makes free throw 2 of 2
5:11.0,L. Allen enters the game for T. Young,,69-61,,
4:57.0,L. Allen misses 2-pt shot from 8 ft,,69-62,,
4:56.0,Offensive rebound by P. George,,69-62,,
4:55.0,Turnover by P. George (lost ball),,69-62,,
4:45.0,,,69-62,,E. Fournier misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by P. George,,69-62,,
4:23.0,C. Miles makes 3-pt shot from 23 ft (assist by M. Turner),3,72-62,,
4:02.0,,,72-64,2,E. Fournier makes 2-pt shot from 10 ft (assist by E. Payton)
3:42.0,P. George misses 2-pt shot from 17 ft,,72-64,,
3:41.0,,,72-64,,Defensive rebound by N. Vucevic
3:32.0,,,72-66,2,E. Payton makes 2-pt shot from 3 ft
3:32.0,,,72-66,,Shooting foul by J. Teague (drawn by E. Payton)
3:32.0,,,72-67,1,E. Payton makes free throw 1 of 1
3:32.0,,,72-66,,B. Biyombo enters the game for S. Ibaka
3:32.0,,,72-66,,C. Watson enters the game for E. Fournier
3:32.0,M. Ellis enters the game for C. Miles,,72-66,,
3:21.0,P. George misses 3-pt shot from 25 ft,,72-67,,
3:19.0,,,72-67,,Defensive rebound by N. Vucevic
3:07.0,,,72-67,,A. Gordon misses 3-pt shot from 26 ft
3:06.0,Defensive rebound by P. George,,72-67,,
2:48.0,,,72-67,,Personal foul by B. Biyombo (drawn by L. Allen)
2:48.0,Indiana full timeout,,72-67,,
2:48.0,L. Allen makes free throw 1 of 2,1,73-67,,
2:48.0,L. Allen makes free throw 2 of 2,1,74-67,,
2:48.0,R. Stuckey enters the game for M. Turner,,72-67,,
2:48.0,A. Jefferson enters the game for J. Teague,,72-67,,
2:48.0,,,72-67,,D. Augustin enters the game for A. Gordon
2:48.0,,,72-67,,J. Green enters the game for E. Payton
2:41.0,Personal foul by L. Allen (drawn by N. Vucevic),,74-67,,
2:41.0,,,74-67,,N. Vucevic misses free throw 1 of 2
2:41.0,,,74-67,,Offensive rebound by Team
2:41.0,,,74-67,,N. Vucevic misses free throw 2 of 2
2:40.0,Defensive rebound by A. Jefferson,,74-67,,
2:20.0,A. Jefferson misses 2-pt shot from 17 ft,,74-67,,
2:18.0,,,74-67,,Defensive rebound by N. Vucevic
2:10.0,,,74-67,,N. Vucevic misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by Team,,74-67,,
2:10.0,G. Robinson enters the game for P. George,,74-67,,
1:55.0,M. Ellis misses 2-pt shot from 2 ft,,74-67,,
1:53.0,,,74-67,,Defensive rebound by N. Vucevic
1:47.0,Personal foul by R. Stuckey (drawn by D. Augustin),,74-67,,
1:47.0,,,74-68,1,D. Augustin makes free throw 1 of 2
1:47.0,,,74-69,1,D. Augustin makes free throw 2 of 2
1:29.0,,,74-69,,Personal foul by C. Watson (drawn by R. Stuckey)
1:29.0,R. Stuckey makes free throw 1 of 2,1,75-69,,
1:29.0,R. Stuckey makes free throw 2 of 2,1,76-69,,
1:14.0,,,76-69,,J. Green misses 2-pt shot from 15 ft
1:13.0,,,76-69,,Offensive rebound by Team
1:13.0,Personal foul by M. Ellis (drawn by B. Biyombo),,76-69,,
1:13.0,,,76-69,,B. Biyombo misses free throw 1 of 2
1:13.0,,,76-69,,Offensive rebound by Team
1:13.0,,,76-69,,B. Biyombo misses free throw 2 of 2
1:13.0,,,76-69,,Offensive rebound by Team
1:07.0,,,76-69,,Shooting foul by L. Allen (drawn by J. Green)
1:07.0,,,76-70,1,J. Green makes free throw 1 of 2
1:07.0,,,76-71,1,J. Green makes free throw 2 of 2
0:54.0,A. Jefferson makes 2-pt shot from 3 ft (assist by M. Ellis),2,78-71,,
0:42.0,,,78-74,3,C. Watson makes 3-pt shot from 23 ft (assist by N. Vucevic)
0:21.0,R. Stuckey makes 2-pt shot from 18 ft,2,80-74,,
0:02.0,,,80-74,,Turnover by C. Watson (lost ball)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-74,,J. Green misses 2-pt shot from 8 ft
11:45.0,Defensive rebound by A. Jefferson,,80-74,,
11:41.0,Turnover by R. Stuckey (lost ball; steal by J. Green),,80-74,,
11:34.0,Personal foul by G. Robinson (drawn by J. Green),,80-74,,
11:25.0,,,80-74,,J. Green misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by G. Robinson,,80-74,,
11:06.0,G. Robinson makes 3-pt shot from 24 ft (assist by A. Jefferson),3,83-74,,
10:47.0,,,83-74,,D. Augustin misses 2-pt shot from 15 ft
10:46.0,,,83-74,,Offensive rebound by B. Biyombo
10:46.0,,,83-74,,B. Biyombo misses 2-pt shot from 2 ft
10:44.0,,,83-74,,Offensive rebound by Team
10:33.0,,,83-76,2,J. Green makes 2-pt shot from 11 ft
10:09.0,Turnover by L. Allen (bad pass; steal by C. Watson),,83-76,,
9:58.0,,,83-76,,D. Augustin misses 2-pt shot from 3 ft
9:56.0,Defensive rebound by L. Allen,,83-76,,
9:48.0,R. Stuckey makes 2-pt shot from 9 ft,2,85-76,,
9:29.0,,,85-76,,E. Payton misses 2-pt shot from 16 ft
9:28.0,Defensive rebound by M. Ellis,,85-76,,
9:28.0,Offensive charge foul by R. Stuckey,,85-76,,
9:28.0,Turnover by R. Stuckey (offensive foul),,85-76,,
9:13.0,,,85-76,,J. Green misses 2-pt shot from 16 ft
9:12.0,Defensive rebound by G. Robinson,,85-76,,
8:57.0,R. Stuckey misses 2-pt shot from 1 ft,,85-76,,
8:57.0,,,85-76,,Defensive rebound by Team
8:57.0,Official timeout,,85-76,,
8:57.0,J. Teague enters the game for R. Stuckey,,85-76,,
8:57.0,Jump ball: B. Biyombo vs. A. Jefferson (C. Watson gains possession),,,,Jump ball: B. Biyombo vs. A. Jefferson (C. Watson gains possession)
8:33.0,Personal foul by A. Jefferson (drawn by E. Payton),,85-76,,
8:26.0,,,85-78,2,D. Augustin makes 2-pt shot from 18 ft
8:07.0,G. Robinson makes 2-pt shot from 3 ft (assist by M. Ellis),2,87-78,,
7:40.0,,,87-80,2,J. Green makes 2-pt shot from 7 ft
7:18.0,M. Ellis misses 2-pt shot from 18 ft,,87-80,,
7:16.0,,,87-80,,Defensive rebound by E. Payton
7:10.0,,,87-80,,D. Augustin misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by G. Robinson,,87-80,,
6:45.0,J. Teague misses 3-pt shot from 27 ft,,87-80,,
6:44.0,Offensive rebound by A. Jefferson,,87-80,,
6:43.0,,,87-80,,Personal foul by B. Biyombo (drawn by A. Jefferson)
6:43.0,A. Jefferson makes free throw 1 of 2,1,88-80,,
6:43.0,,,88-80,,Orlando full timeout
6:43.0,A. Jefferson makes free throw 2 of 2,1,89-80,,
6:43.0,T. Young enters the game for M. Ellis,,88-80,,
6:43.0,P. George enters the game for L. Allen,,88-80,,
6:43.0,,,88-80,,A. Gordon enters the game for D. Augustin
6:43.0,,,88-80,,S. Ibaka enters the game for B. Biyombo
6:43.0,,,88-80,,N. Vucevic enters the game for J. Green
6:43.0,,,88-80,,E. Fournier enters the game for C. Watson
6:24.0,,,89-80,,A. Gordon misses 3-pt shot from 23 ft
6:23.0,,,89-80,,Offensive rebound by Team
6:23.0,Loose ball foul by J. Teague (drawn by S. Ibaka),,89-80,,
6:23.0,M. Turner enters the game for A. Jefferson,,89-80,,
6:09.0,,,89-80,,Shooting foul by P. George (drawn by E. Fournier)
6:09.0,,,89-81,1,E. Fournier makes free throw 1 of 2
6:09.0,,,89-82,1,E. Fournier makes free throw 2 of 2
5:51.0,,,89-82,,Personal foul by A. Gordon (drawn by P. George)
5:51.0,C. Miles enters the game for G. Robinson,,89-82,,
5:37.0,P. George misses 3-pt shot from 25 ft,,89-82,,
5:36.0,,,89-82,,Defensive rebound by E. Payton
5:21.0,,,89-82,,Turnover by N. Vucevic (lost ball; steal by T. Young)
5:03.0,T. Young misses 2-pt shot from 8 ft (block by S. Ibaka),,89-82,,
5:01.0,,,89-82,,Defensive rebound by S. Ibaka
4:53.0,,,89-84,2,E. Payton makes 2-pt shot from 11 ft
4:32.0,J. Teague misses 2-pt shot from 22 ft,,89-84,,
4:32.0,,,89-84,,Defensive rebound by Team
4:21.0,,,89-84,,N. Vucevic misses 2-pt shot from 19 ft
4:19.0,Defensive rebound by P. George,,89-84,,
4:06.0,Turnover by P. George (bad pass),,89-84,,
3:57.0,,,89-84,,Offensive foul by E. Fournier
3:57.0,,,89-84,,Turnover by E. Fournier (offensive foul)
3:41.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,91-84,,
3:27.0,,,91-84,,Turnover by E. Payton (traveling)
3:27.0,,,91-84,,C. Watson enters the game for E. Fournier
3:13.0,M. Turner misses 3-pt shot from 24 ft,,91-84,,
3:12.0,,,91-84,,Defensive rebound by S. Ibaka
3:00.0,,,91-84,,S. Ibaka misses 2-pt shot from 12 ft
2:59.0,,,91-84,,Offensive rebound by N. Vucevic
2:45.0,,,91-84,,E. Payton misses 2-pt shot from 14 ft
2:44.0,Defensive rebound by C. Miles,,91-84,,
2:38.0,C. Miles makes 2-pt shot from 2 ft,2,93-84,,
2:22.0,,,93-84,,Shooting foul by M. Turner (drawn by S. Ibaka)
2:22.0,Indiana full timeout,,93-84,,
2:22.0,,,93-85,1,S. Ibaka makes free throw 1 of 2
2:22.0,,,93-86,1,S. Ibaka makes free throw 2 of 2
2:22.0,,,93-84,,E. Fournier enters the game for E. Payton
2:08.0,T. Young misses 2-pt shot from 9 ft,,93-86,,
2:06.0,,,93-86,,Defensive rebound by N. Vucevic
1:52.0,,,93-86,,Shooting foul by T. Young (drawn by N. Vucevic)
