time,Milwaukee,pts.away,score,pts.home,Oklahoma City
4:59.0,Shooting foul by S. Adams (drawn by S. Hawes),,31-47,,
4:59.0,S. Hawes misses free throw 1 of 2,,31-47,,
4:59.0,Offensive rebound by Team,,31-47,,
4:59.0,S. Hawes makes free throw 2 of 2,1,32-47,,
4:59.0,,,31-47,,D. McDermott enters the game for V. Oladipo
4:43.0,,,32-47,,R. Westbrook misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by M. Dellavedova,,32-47,,
4:34.0,K. Middleton misses 2-pt shot from 14 ft,,32-47,,
4:33.0,,,32-47,,Defensive rebound by T. Gibson
4:26.0,,,32-49,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
4:01.0,K. Middleton makes 2-pt shot from 1 ft (assist by S. Hawes),2,34-49,,
3:49.0,,,34-51,2,D. McDermott makes 2-pt shot from 1 ft (assist by A. Roberson)
3:36.0,T. Snell misses 3-pt shot from 25 ft,,34-51,,
3:34.0,,,34-51,,Defensive rebound by A. Roberson
3:27.0,,,34-53,2,D. McDermott makes 2-pt shot from 15 ft (assist by R. Westbrook)
3:27.0,Milwaukee full timeout,,34-53,,
3:27.0,G. Payton enters the game for K. Middleton,,34-53,,
3:27.0,T. Maker enters the game for M. Dellavedova,,34-53,,
3:27.0,M. Beasley enters the game for S. Hawes,,34-53,,
3:27.0,Violation by Team (jump ball),,34-53,,
3:11.0,M. Beasley makes 2-pt shot from 16 ft (assist by G. Antetokounmpo),2,36-53,,
2:54.0,,,36-53,,A. Roberson misses 2-pt shot from 3 ft
2:54.0,,,36-53,,Offensive rebound by S. Adams
2:54.0,,,36-53,,S. Adams misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by Team,,36-53,,
2:54.0,Official timeout,,36-53,,
2:43.0,M. Beasley makes 2-pt shot from 20 ft (assist by G. Antetokounmpo),2,38-53,,
2:21.0,,,38-55,2,T. Gibson makes 2-pt shot from 3 ft (assist by R. Westbrook)
1:58.0,G. Payton misses 3-pt shot from 25 ft,,38-55,,
1:58.0,Offensive rebound by G. Antetokounmpo,,38-55,,
1:56.0,Shooting foul by R. Westbrook (drawn by G. Antetokounmpo),,38-55,,
1:56.0,G. Antetokounmpo misses free throw 1 of 2,,38-55,,
1:56.0,Offensive rebound by Team,,38-55,,
1:56.0,G. Antetokounmpo makes free throw 2 of 2,1,39-55,,
1:46.0,,,39-55,,D. McDermott misses 3-pt shot from 24 ft
1:44.0,,,39-55,,Offensive rebound by R. Westbrook
1:28.0,,,39-55,,T. Gibson misses 2-pt shot from 11 ft
1:27.0,,,39-55,,Offensive rebound by S. Adams
1:27.0,,,39-55,,S. Adams misses 2-pt shot at rim (block by M. Beasley)
1:26.0,,,39-55,,Offensive rebound by S. Adams
1:26.0,,,39-55,,Shooting foul by T. Maker (drawn by S. Adams)
1:26.0,,,39-55,,S. Adams misses free throw 1 of 2
1:26.0,,,39-55,,Offensive rebound by Team
1:26.0,Violation by G. Antetokounmpo (lane),,39-55,,
1:26.0,,,39-56,1,S. Adams makes free throw 2 of 2
1:16.0,Offensive foul by G. Antetokounmpo,,39-56,,
1:16.0,Turnover by G. Antetokounmpo (offensive foul),,39-56,,
1:07.0,,,39-58,2,D. McDermott makes 2-pt shot from 6 ft (assist by R. Westbrook)
0:48.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Roberson),,39-58,,
0:36.0,,,39-60,2,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook)
0:30.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,39-60,,
0:29.0,,,39-60,,Defensive rebound by T. Gibson
0:09.0,,,39-63,3,R. Westbrook makes 3-pt shot from 24 ft
0:02.0,G. Payton misses 2-pt shot from 1 ft (block by D. McDermott),,39-63,,
0:01.0,,,39-63,,Defensive rebound by A. Roberson
0:00.0,,,39-63,,A. Roberson misses 3-pt shot from 73 ft
0:00.0,,,39-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,M. Dellavedova misses 2-pt shot from 6 ft,,39-63,,
11:38.0,,,39-63,,Defensive rebound by R. Westbrook
11:33.0,,,39-65,2,T. Gibson makes 2-pt shot at rim (assist by R. Westbrook)
11:08.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,42-65,,
10:45.0,,,42-67,2,V. Oladipo makes 2-pt shot from 10 ft
10:24.0,K. Middleton misses 3-pt shot from 23 ft (block by T. Gibson),,42-67,,
10:24.0,Offensive rebound by Team,,42-67,,
10:18.0,Turnover by Team (shot clock),,42-67,,
10:11.0,,,42-67,,V. Oladipo misses 2-pt shot at rim
10:11.0,Defensive rebound by Team,,42-67,,
10:03.0,T. Snell misses 3-pt shot from 25 ft,,42-67,,
10:03.0,,,42-67,,Defensive rebound by V. Oladipo
9:48.0,,,42-67,,V. Oladipo misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by T. Maker,,42-67,,
9:23.0,K. Middleton misses 2-pt shot from 14 ft,,42-67,,
9:23.0,,,42-67,,Defensive rebound by R. Westbrook
9:17.0,,,42-69,2,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:00.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,44-69,,
8:38.0,,,44-69,,R. Westbrook misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by G. Antetokounmpo,,44-69,,
8:29.0,Turnover by G. Antetokounmpo (bad pass; steal by R. Westbrook),,44-69,,
8:29.0,Personal foul by M. Dellavedova (drawn by R. Westbrook),,44-69,,
8:09.0,,,44-69,,Shooting foul by M. Dellavedova (drawn by V. Oladipo)
8:09.0,,,44-70,1,V. Oladipo makes free throw 1 of 2
8:09.0,,,44-70,,V. Oladipo misses free throw 2 of 2
8:09.0,G. Payton enters the game for M. Dellavedova,,44-70,,
8:08.0,Defensive rebound by G. Antetokounmpo,,44-70,,
7:53.0,T. Maker misses 2-pt shot from 17 ft,,44-70,,
7:52.0,,,44-70,,Defensive rebound by A. Roberson
7:37.0,,,44-70,,Offensive charge foul by A. Roberson
7:37.0,,,44-70,,Turnover by A. Roberson (offensive foul)
7:37.0,G. Monroe enters the game for T. Maker,,44-70,,
7:22.0,Turnover by G. Payton (bad pass; steal by T. Gibson),,44-70,,
7:15.0,,,44-70,,R. Westbrook misses 2-pt shot from 1 ft
7:14.0,,,44-70,,Offensive rebound by R. Westbrook
7:13.0,,,44-70,,R. Westbrook misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
7:11.0,Defensive rebound by G. Payton,,44-70,,
6:59.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,44-70,,
6:58.0,,,44-70,,Defensive rebound by R. Westbrook
6:48.0,,,44-70,,Shooting foul by G. Antetokounmpo (drawn by T. Gibson)
6:48.0,,,44-71,1,T. Gibson makes free throw 1 of 2
6:48.0,,,44-72,1,T. Gibson makes free throw 2 of 2
6:37.0,Turnover by G. Payton (lost ball; steal by R. Westbrook),,44-72,,
6:32.0,,,44-72,,T. Gibson misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
6:29.0,Defensive rebound by G. Antetokounmpo,,44-72,,
6:23.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,46-72,,
6:09.0,,,46-74,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
5:45.0,G. Payton misses 2-pt shot from 15 ft (block by A. Roberson),,46-74,,
5:44.0,,,46-74,,Defensive rebound by V. Oladipo
5:42.0,,,46-74,,Shooting foul by T. Snell (drawn by V. Oladipo)
5:42.0,,,46-74,,Oklahoma City full timeout
5:42.0,,,46-75,1,V. Oladipo makes free throw 1 of 2
5:42.0,,,46-76,1,V. Oladipo makes free throw 2 of 2
5:42.0,M. Teletovic enters the game for K. Middleton,,46-74,,
5:42.0,M. Beasley enters the game for G. Antetokounmpo,,46-74,,
5:42.0,J. Terry enters the game for T. Snell,,46-74,,
5:42.0,,,46-75,,D. Sabonis enters the game for T. Gibson
5:27.0,,,46-76,,Personal foul by S. Adams (drawn by G. Monroe)
5:27.0,,,46-76,,D. McDermott enters the game for V. Oladipo
5:16.0,M. Teletovic misses 2-pt shot from 12 ft,,46-76,,
5:14.0,Offensive rebound by Team,,46-76,,
5:06.0,M. Beasley makes 2-pt shot from 9 ft,2,48-76,,
4:53.0,,,48-78,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:33.0,M. Beasley misses 2-pt shot from 15 ft,,48-78,,
4:32.0,,,48-78,,Defensive rebound by R. Westbrook
4:21.0,,,48-78,,Shooting foul by M. Beasley (drawn by D. Sabonis)
4:21.0,,,48-79,1,D. Sabonis makes free throw 1 of 2
4:21.0,,,48-80,1,D. Sabonis makes free throw 2 of 2
4:02.0,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Beasley),3,51-80,,
3:48.0,,,51-80,,D. Sabonis misses 2-pt shot from 21 ft
3:48.0,Defensive rebound by M. Teletovic,,51-80,,
3:34.0,M. Beasley misses 2-pt shot from 13 ft,,51-80,,
3:33.0,Offensive rebound by G. Monroe,,51-80,,
3:33.0,G. Monroe misses 2-pt shot from 1 ft,,51-80,,
3:32.0,,,51-80,,Defensive rebound by D. Sabonis
3:18.0,,,51-82,2,D. McDermott makes 2-pt shot from 12 ft (assist by R. Westbrook)
2:53.0,M. Teletovic misses 3-pt shot from 25 ft,,51-82,,
2:52.0,Offensive rebound by G. Monroe,,51-82,,
2:48.0,G. Monroe makes 2-pt shot from 3 ft,2,53-82,,
2:35.0,,,53-82,,Shooting foul by G. Payton (drawn by D. Sabonis)
2:35.0,Milwaukee full timeout,,53-82,,
2:35.0,,,53-83,1,D. Sabonis makes free throw 1 of 2
2:35.0,,,53-83,,D. Sabonis misses free throw 2 of 2
2:35.0,,,53-82,,E. Kanter enters the game for A. Roberson
2:35.0,,,53-82,,V. Oladipo enters the game for S. Adams
2:35.0,,,53-82,,S. Christon enters the game for R. Westbrook
2:34.0,Defensive rebound by M. Beasley,,53-83,,
2:17.0,G. Monroe makes 2-pt shot from 2 ft (assist by J. Terry),2,55-83,,
1:57.0,,,55-83,,Offensive foul by E. Kanter
1:57.0,,,55-83,,Turnover by E. Kanter (offensive foul)
1:37.0,M. Beasley misses 2-pt shot from 1 ft,,55-83,,
1:36.0,,,55-83,,Defensive rebound by E. Kanter
1:25.0,,,55-83,,Turnover by E. Kanter (bad pass)
1:12.0,Turnover by G. Monroe (lost ball; steal by E. Kanter),,55-83,,
1:03.0,,,55-83,,Oklahoma City full timeout
0:58.0,,,55-85,2,S. Christon makes 2-pt shot from 14 ft (assist by V. Oladipo)
0:42.0,Shooting foul by D. Sabonis (drawn by M. Beasley),,55-85,,
0:42.0,M. Beasley makes free throw 1 of 2,1,56-85,,
0:42.0,M. Beasley makes free throw 2 of 2,1,57-85,,
0:32.0,,,57-87,2,D. Sabonis makes 2-pt shot from 1 ft
0:12.0,Shooting foul by E. Kanter (drawn by G. Monroe),,57-87,,
0:12.0,M. Beasley makes free throw 1 of 2,1,58-87,,
0:12.0,M. Beasley makes free throw 2 of 2,1,59-87,,
0:00.0,,,59-87,,Shooting foul by G. Monroe (drawn by E. Kanter)
0:00.0,,,59-88,1,E. Kanter makes free throw 1 of 2
0:00.0,,,59-89,1,E. Kanter makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,59-89,,Shooting foul by S. Hawes (drawn by E. Kanter)
11:48.0,,,59-90,1,E. Kanter makes free throw 1 of 2
11:48.0,,,59-91,1,E. Kanter makes free throw 2 of 2
11:23.0,M. Beasley makes 2-pt shot from 13 ft (assist by R. Vaughn),2,61-91,,
11:05.0,,,61-91,,D. McDermott misses 3-pt shot from 25 ft
11:03.0,,,61-91,,Offensive rebound by Team
10:56.0,,,61-94,3,D. Sabonis makes 3-pt shot from 24 ft (assist by V. Oladipo)
10:42.0,,,61-94,,Personal foul by D. Sabonis (drawn by S. Hawes)
10:33.0,R. Vaughn misses 3-pt shot from 25 ft,,61-94,,
10:32.0,,,61-94,,Defensive rebound by D. Sabonis
10:20.0,,,61-97,3,D. Sabonis makes 3-pt shot from 24 ft (assist by D. McDermott)
9:58.0,M. Beasley makes 2-pt shot from 4 ft,2,63-97,,
9:39.0,,,63-99,2,E. Kanter makes 2-pt shot from 3 ft (assist by D. McDermott)
9:39.0,Milwaukee full timeout,,63-99,,
9:39.0,,,63-99,,N. Collison enters the game for E. Kanter
9:39.0,M. Teletovic enters the game for M. Beasley,,63-99,,
9:21.0,T. Maker misses 2-pt shot from 3 ft (block by S. Christon),,63-99,,
9:20.0,,,63-99,,Defensive rebound by D. Sabonis
9:12.0,,,63-99,,Shooting foul by S. Hawes (drawn by D. McDermott)
9:12.0,,,63-100,1,D. McDermott makes free throw 1 of 2
9:12.0,,,63-100,,D. McDermott misses free throw 2 of 2
9:12.0,,,63-100,,N. Cole enters the game for V. Oladipo
9:11.0,Defensive rebound by T. Maker,,63-100,,
8:56.0,M. Teletovic misses 2-pt shot from 2 ft,,63-100,,
8:55.0,,,63-100,,Defensive rebound by N. Collison
8:44.0,,,63-100,,Turnover by D. Sabonis (bad pass; steal by R. Vaughn)
8:38.0,R. Vaughn misses 2-pt shot from 3 ft,,63-100,,
8:37.0,,,63-100,,Defensive rebound by S. Christon
8:34.0,,,63-100,,Shooting foul by S. Hawes (drawn by N. Cole)
8:34.0,,,63-101,1,N. Cole makes free throw 1 of 2
8:34.0,,,63-102,1,N. Cole makes free throw 2 of 2
8:25.0,Shooting foul by D. Sabonis (drawn by G. Payton),,63-102,,
8:25.0,G. Payton makes free throw 1 of 2,1,64-102,,
8:25.0,G. Payton makes free throw 2 of 2,1,65-102,,
8:25.0,,,64-102,,J. Grant enters the game for D. Sabonis
8:01.0,,,65-104,2,S. Christon makes 2-pt shot from 1 ft
7:41.0,R. Vaughn misses 3-pt shot from 25 ft,,65-104,,
7:40.0,Offensive rebound by T. Maker,,65-104,,
7:38.0,G. Payton misses 3-pt shot from 24 ft,,65-104,,
7:37.0,,,65-104,,Defensive rebound by S. Christon
7:26.0,,,65-104,,D. McDermott misses 2-pt shot from 2 ft (block by G. Payton)
7:26.0,Defensive rebound by Team,,65-104,,
7:18.0,,,65-104,,Personal foul by N. Cole (drawn by S. Hawes)
7:07.0,,,65-104,,Shooting block foul by N. Collison (drawn by S. Hawes)
7:07.0,S. Hawes makes free throw 1 of 2,1,66-104,,
7:07.0,S. Hawes makes free throw 2 of 2,1,67-104,,
6:55.0,,,67-104,,J. Grant misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by S. Hawes,,67-104,,
6:44.0,G. Payton misses 2-pt shot from 6 ft,,67-104,,
6:43.0,,,67-104,,Defensive rebound by S. Christon
6:31.0,,,67-104,,N. Collison misses 2-pt shot from 2 ft
6:30.0,Defensive rebound by T. Maker,,67-104,,
6:20.0,R. Vaughn makes 2-pt shot from 18 ft (assist by G. Payton),2,69-104,,
6:07.0,,,69-104,,N. Cole misses 2-pt shot from 17 ft
6:07.0,Defensive rebound by T. Maker,,69-104,,
5:54.0,T. Maker misses 2-pt shot from 2 ft,,69-104,,
5:51.0,Offensive rebound by T. Maker,,69-104,,
5:51.0,,,69-104,,Personal foul by J. Grant (drawn by T. Maker)
5:51.0,Official timeout,,69-104,,
5:51.0,T. Maker makes free throw 1 of 2,1,70-104,,
