time,Orlando,pts.away,score,pts.home,Toronto
9:10.0,,,40-40,,Loose ball foul by J. Valanciunas (drawn by B. Biyombo)
8:53.0,D. Augustin makes 2-pt shot from 19 ft,2,42-40,,
8:39.0,,,42-43,3,N. Powell makes 3-pt shot from 24 ft (assist by D. Wright)
8:07.0,Turnover by C. Watson (lost ball; steal by P. Tucker),,42-43,,
8:03.0,,,42-45,2,P. Tucker makes 2-pt shot from 2 ft
7:49.0,Offensive foul by B. Biyombo,,42-45,,
7:49.0,Turnover by B. Biyombo (offensive foul),,42-45,,
7:34.0,,,42-48,3,N. Powell makes 3-pt shot from 26 ft (assist by D. Wright)
7:31.0,Orlando full timeout,,42-48,,
7:31.0,T. Ross enters the game for J. Meeks,,42-48,,
7:31.0,,,42-48,,D. DeRozan enters the game for P. Tucker
7:31.0,,,42-48,,S. Ibaka enters the game for P. Patterson
7:31.0,,,42-48,,C. Joseph enters the game for D. Wright
7:16.0,M. Hezonja misses 2-pt shot from 19 ft,,42-48,,
7:15.0,,,42-48,,Defensive rebound by C. Joseph
6:53.0,,,42-51,3,S. Ibaka makes 3-pt shot from 27 ft (assist by D. DeRozan)
6:37.0,T. Ross makes 2-pt shot from 8 ft (assist by C. Watson),2,44-51,,
6:16.0,,,44-51,,S. Ibaka misses 2-pt shot from 4 ft
6:15.0,,,44-51,,Offensive rebound by Team
6:15.0,E. Fournier enters the game for C. Watson,,44-51,,
6:15.0,A. Gordon enters the game for B. Biyombo,,44-51,,
6:15.0,N. Vucevic enters the game for M. Hezonja,,44-51,,
6:00.0,,,44-53,2,J. Valanciunas makes 2-pt shot from 5 ft
5:46.0,A. Gordon misses 2-pt shot from 12 ft,,44-53,,
5:45.0,,,44-53,,Defensive rebound by J. Valanciunas
5:39.0,,,44-56,3,N. Powell makes 3-pt shot from 25 ft (assist by C. Joseph)
5:38.0,Orlando full timeout,,44-56,,
5:38.0,E. Payton enters the game for D. Augustin,,44-56,,
5:18.0,E. Fournier misses 3-pt shot from 24 ft,,44-56,,
5:17.0,,,44-56,,Defensive rebound by S. Ibaka
5:13.0,,,44-58,2,N. Powell makes 2-pt shot at rim
5:03.0,N. Vucevic misses 2-pt shot from 13 ft,,44-58,,
5:02.0,,,44-58,,Defensive rebound by J. Valanciunas
4:56.0,,,44-58,,Shooting foul by T. Ross (drawn by D. DeRozan)
4:56.0,,,44-59,1,D. DeRozan makes free throw 1 of 2
4:56.0,,,44-60,1,D. DeRozan makes free throw 2 of 2
4:56.0,M. Hezonja enters the game for T. Ross,,44-59,,
4:40.0,E. Fournier makes 2-pt shot from 7 ft,2,46-60,,
4:15.0,,,46-62,2,C. Joseph makes 2-pt shot from 17 ft
4:02.0,E. Payton misses 2-pt shot from 4 ft,,46-62,,
4:01.0,,,46-62,,Defensive rebound by J. Valanciunas
3:50.0,,,46-64,2,C. Joseph makes 2-pt shot from 18 ft
3:48.0,Orlando full timeout,,46-64,,
3:38.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,48-64,,
3:20.0,,,48-66,2,D. DeRozan makes 2-pt shot from 23 ft (assist by C. Joseph)
3:07.0,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Payton),2,50-66,,
2:54.0,,,50-66,,Turnover by C. Joseph (bad pass; steal by E. Fournier)
2:46.0,E. Fournier makes 3-pt shot from 25 ft (assist by M. Hezonja),3,53-66,,
2:21.0,,,53-66,,Shooting foul by N. Vucevic (drawn by J. Valanciunas)
2:21.0,,,53-67,1,J. Valanciunas makes free throw 1 of 2
2:21.0,,,53-67,,J. Valanciunas misses free throw 2 of 2
2:21.0,,,53-67,,P. Tucker enters the game for N. Powell
2:20.0,Defensive rebound by N. Vucevic,,53-67,,
2:12.0,,,53-67,,Personal foul by D. DeRozan (drawn by N. Vucevic)
2:02.0,,,53-67,,Personal block foul by J. Valanciunas (drawn by E. Fournier)
1:53.0,,,53-67,,Violation by S. Ibaka (def goaltending)
1:53.0,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic),2,55-67,,
1:39.0,,,55-67,,J. Valanciunas misses 2-pt shot from 16 ft
1:39.0,,,55-67,,Offensive rebound by S. Ibaka
1:39.0,,,55-69,2,S. Ibaka makes 2-pt shot from 2 ft
1:39.0,,,55-69,,Shooting foul by M. Hezonja (drawn by S. Ibaka)
1:39.0,,,55-70,1,S. Ibaka makes free throw 1 of 1
1:26.0,N. Vucevic misses 2-pt shot from 20 ft,,55-70,,
1:25.0,,,55-70,,Defensive rebound by P. Tucker
1:17.0,Personal foul by M. Hezonja (drawn by S. Ibaka),,55-70,,
1:17.0,,,55-71,1,S. Ibaka makes free throw 1 of 2
1:17.0,,,55-71,,S. Ibaka misses free throw 2 of 2
1:17.0,J. Meeks enters the game for M. Hezonja,,55-71,,
1:16.0,Defensive rebound by N. Vucevic,,55-71,,
1:00.0,,,55-71,,Personal foul by S. Ibaka (drawn by A. Gordon)
1:00.0,A. Gordon misses free throw 1 of 2,,55-71,,
1:00.0,Offensive rebound by Team,,55-71,,
1:00.0,A. Gordon misses free throw 2 of 2,,55-71,,
0:59.0,,,55-71,,Defensive rebound by J. Valanciunas
0:48.0,,,55-71,,Shooting foul by E. Payton (drawn by C. Joseph)
0:48.0,,,55-72,1,C. Joseph makes free throw 1 of 2
0:48.0,,,55-72,,C. Joseph misses free throw 2 of 2
0:48.0,,,55-72,,P. Patterson enters the game for J. Valanciunas
0:48.0,D. Augustin enters the game for E. Payton,,55-72,,
0:47.0,,,55-72,,Offensive rebound by C. Joseph
0:34.0,,,55-72,,Shooting foul by N. Vucevic (drawn by D. DeRozan)
0:34.0,,,55-72,,D. DeRozan misses free throw 1 of 3
0:34.0,,,55-72,,Offensive rebound by Team
0:34.0,,,55-73,1,D. DeRozan makes free throw 2 of 3
0:34.0,,,55-73,,D. DeRozan misses free throw 3 of 3
0:33.0,Defensive rebound by N. Vucevic,,55-73,,
0:14.0,,,55-73,,Personal foul by P. Tucker
0:14.0,E. Fournier makes free throw 1 of 2,1,56-73,,
0:14.0,E. Fournier makes free throw 2 of 2,1,57-73,,
0:14.0,M. Hezonja enters the game for N. Vucevic,,56-73,,
0:00.0,,,57-73,,D. DeRozan misses 2-pt shot from 14 ft
0:00.0,,,57-73,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,59-73,,
11:21.0,,,59-75,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by S. Ibaka)
11:14.0,E. Payton makes 2-pt shot from 2 ft,2,61-75,,
11:05.0,,,61-75,,Turnover by C. Joseph (bad pass; steal by T. Ross)
10:59.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton),2,63-75,,
10:43.0,,,63-77,2,J. Valanciunas makes 2-pt shot from 18 ft (assist by C. Joseph)
10:28.0,N. Vucevic misses 3-pt shot from 24 ft,,63-77,,
10:28.0,,,63-77,,Defensive rebound by P. Tucker
10:22.0,,,63-77,,Shooting foul by E. Payton (drawn by C. Joseph)
10:22.0,,,63-77,,C. Joseph misses free throw 1 of 2
10:22.0,,,63-77,,Offensive rebound by Team
10:22.0,,,63-78,1,C. Joseph makes free throw 2 of 2
10:12.0,E. Payton makes 2-pt shot from 4 ft,2,65-78,,
10:00.0,,,65-78,,Shooting foul by E. Fournier (drawn by S. Ibaka)
10:00.0,,,65-79,1,S. Ibaka makes free throw 1 of 2
10:00.0,,,65-80,1,S. Ibaka makes free throw 2 of 2
9:52.0,T. Ross makes 2-pt shot from 18 ft (assist by E. Payton),2,67-80,,
9:31.0,,,67-82,2,C. Joseph makes 2-pt shot from 15 ft
9:13.0,N. Vucevic misses 2-pt shot from 9 ft,,67-82,,
9:13.0,,,67-82,,Defensive rebound by S. Ibaka
8:53.0,,,67-84,2,J. Valanciunas makes 2-pt shot from 7 ft (assist by C. Joseph)
8:40.0,A. Gordon misses 3-pt shot from 26 ft,,67-84,,
8:40.0,,,67-84,,Defensive rebound by S. Ibaka
8:30.0,,,67-84,,D. DeRozan misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by N. Vucevic,,67-84,,
8:23.0,T. Ross misses 2-pt shot from 1 ft (block by J. Valanciunas),,67-84,,
8:22.0,,,67-84,,Defensive rebound by J. Valanciunas
8:16.0,,,67-86,2,D. DeRozan makes 2-pt shot from 2 ft (assist by P. Tucker)
8:04.0,,,67-86,,Personal foul by S. Ibaka (drawn by N. Vucevic)
7:59.0,N. Vucevic makes 2-pt shot from 15 ft,2,69-86,,
7:38.0,,,69-86,,Turnover by S. Ibaka (lost ball; steal by A. Gordon)
7:32.0,T. Ross makes 2-pt shot at rim (assist by E. Fournier),2,71-86,,
7:15.0,,,71-86,,C. Joseph misses 2-pt shot from 21 ft
7:14.0,,,71-86,,Offensive rebound by J. Valanciunas
7:13.0,,,71-88,2,J. Valanciunas makes 2-pt shot from 1 ft
6:53.0,E. Payton makes 2-pt shot from 5 ft,2,73-88,,
6:53.0,Shooting foul by C. Joseph (drawn by E. Payton),,73-88,,
6:53.0,E. Payton makes free throw 1 of 1,1,74-88,,
6:39.0,,,74-91,3,S. Ibaka makes 3-pt shot from 26 ft (assist by C. Joseph)
6:24.0,,,74-91,,Personal foul by D. DeRozan (drawn by E. Fournier)
6:24.0,E. Fournier misses free throw 1 of 2,,74-91,,
6:24.0,Offensive rebound by Team,,74-91,,
6:24.0,E. Fournier makes free throw 2 of 2,1,75-91,,
6:12.0,,,75-91,,S. Ibaka misses 2-pt shot from 15 ft
6:11.0,Defensive rebound by N. Vucevic,,75-91,,
5:59.0,Turnover by N. Vucevic (lost ball; steal by P. Tucker),,75-91,,
5:53.0,,,75-91,,Turnover by C. Joseph (bad pass; steal by E. Payton)
5:45.0,E. Fournier misses 2-pt shot from 16 ft,,75-91,,
5:45.0,,,75-91,,Defensive rebound by J. Valanciunas
5:34.0,,,75-91,,Turnover by C. Joseph (bad pass)
5:34.0,,,75-91,,Toronto full timeout
5:34.0,,,75-91,,J. Poeltl enters the game for S. Ibaka
5:34.0,,,75-91,,P. Patterson enters the game for J. Valanciunas
5:26.0,E. Fournier makes 2-pt shot from 5 ft,2,77-91,,
5:26.0,Shooting foul by P. Patterson (drawn by E. Fournier),,77-91,,
5:26.0,E. Fournier makes free throw 1 of 1,1,78-91,,
5:09.0,,,78-91,,C. Joseph misses 2-pt shot from 4 ft
5:08.0,Defensive rebound by N. Vucevic,,78-91,,
5:02.0,E. Fournier misses 3-pt shot from 27 ft,,78-91,,
5:01.0,,,78-91,,Defensive rebound by C. Joseph
4:53.0,,,78-91,,C. Joseph misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by E. Fournier,,78-91,,
4:46.0,Shooting foul by P. Patterson (drawn by E. Payton),,78-91,,
4:46.0,E. Payton makes free throw 1 of 2,1,79-91,,
4:46.0,E. Payton misses free throw 2 of 2,,79-91,,
4:46.0,,,79-91,,D. Wright enters the game for C. Joseph
4:45.0,Offensive rebound by N. Vucevic,,79-91,,
4:36.0,E. Payton makes 2-pt shot from 4 ft,2,81-91,,
4:16.0,,,81-91,,D. DeRozan misses 2-pt shot from 5 ft
4:16.0,Defensive rebound by N. Vucevic,,81-91,,
4:04.0,E. Fournier misses 3-pt shot from 25 ft,,81-91,,
4:03.0,Offensive rebound by N. Vucevic,,81-91,,
3:59.0,T. Ross misses 3-pt shot from 27 ft,,81-91,,
3:58.0,,,81-91,,Defensive rebound by P. Patterson
3:48.0,,,81-91,,P. Tucker misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by E. Payton,,81-91,,
3:35.0,N. Vucevic makes 2-pt shot at rim,2,83-91,,
3:17.0,M. Hezonja enters the game for E. Fournier,,83-91,,
3:12.0,,,83-91,,D. Wright misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by N. Vucevic,,83-91,,
2:51.0,M. Hezonja misses 3-pt shot from 26 ft,,83-91,,
2:51.0,,,83-91,,Defensive rebound by D. DeRozan
2:43.0,,,83-93,2,D. DeRozan makes 2-pt shot from 13 ft
2:32.0,Orlando full timeout,,83-93,,
2:32.0,,,83-93,,N. Powell enters the game for P. Tucker
2:32.0,B. Biyombo enters the game for N. Vucevic,,83-93,,
2:32.0,D. Augustin enters the game for E. Payton,,83-93,,
2:21.0,T. Ross misses 2-pt shot from 21 ft,,83-93,,
2:20.0,,,83-93,,Defensive rebound by P. Patterson
2:06.0,,,83-93,,Turnover by J. Poeltl (lost ball; steal by T. Ross)
2:02.0,T. Ross makes 2-pt shot at rim,2,85-93,,
1:42.0,,,85-93,,Turnover by J. Poeltl (bad pass; steal by T. Ross)
1:26.0,Turnover by B. Biyombo (traveling),,85-93,,
1:26.0,,,85-93,,L. Nogueira enters the game for J. Poeltl
1:10.0,,,85-93,,N. Powell misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by M. Hezonja,,85-93,,
0:52.0,M. Hezonja misses 2-pt shot from 6 ft,,85-93,,
0:52.0,,,85-93,,Defensive rebound by L. Nogueira
0:40.0,,,85-93,,Offensive foul by L. Nogueira
0:40.0,,,85-93,,Turnover by L. Nogueira (offensive foul)
0:32.0,,,85-93,,Violation by L. Nogueira (def goaltending)
0:32.0,D. Augustin makes 2-pt shot from 3 ft,2,87-93,,
0:28.0,,,87-93,,Shooting foul by A. Gordon (drawn by D. DeRozan)
0:28.0,,,87-93,,D. DeRozan misses free throw 1 of 2
0:28.0,,,87-93,,Offensive rebound by Team
0:28.0,,,87-94,1,D. DeRozan makes free throw 2 of 2
0:12.0,,,87-94,,Personal foul by P. Patterson (drawn by B. Biyombo)
0:12.0,B. Biyombo makes free throw 1 of 2,1,88-94,,
0:12.0,B. Biyombo makes free throw 2 of 2,1,89-94,,
0:12.0,E. Payton enters the game for D. Augustin,,88-94,,
0:03.0,,,89-96,2,D. DeRozan makes 2-pt shot from 12 ft
0:02.0,Turnover by B. Biyombo (bad pass; steal by D. Wright),,89-96,,
0:00.0,,,89-99,3,D. Wright makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,89-99,,N. Powell misses 2-pt shot from 6 ft
11:43.0,Defensive rebound by B. Biyombo,,89-99,,
11:23.0,D. Augustin misses 2-pt shot from 20 ft,,89-99,,
11:23.0,,,89-99,,Defensive rebound by N. Powell
11:23.0,Personal foul by C. Watson (drawn by N. Powell),,89-99,,
11:13.0,,,89-101,2,N. Powell makes 2-pt shot at rim (assist by P. Patterson)
10:48.0,M. Hezonja misses 2-pt shot from 21 ft,,89-101,,
10:48.0,,,89-101,,Defensive rebound by S. Ibaka
10:35.0,,,89-104,3,N. Powell makes 3-pt shot from 27 ft (assist by D. Wright)
10:08.0,M. Hezonja misses 2-pt shot from 6 ft (block by P. Patterson),,89-104,,
10:07.0,Offensive rebound by M. Hezonja,,89-104,,
10:04.0,M. Hezonja misses 3-pt shot from 26 ft,,89-104,,
10:04.0,,,89-104,,Defensive rebound by P. Tucker
9:46.0,,,89-104,,S. Ibaka misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by B. Biyombo,,89-104,,
9:32.0,,,89-104,,Personal foul by N. Powell (drawn by J. Meeks)
9:27.0,D. Augustin misses 2-pt shot from 3 ft (block by D. Wright),,89-104,,
9:27.0,Offensive rebound by D. Augustin,,89-104,,
9:27.0,Shooting foul by D. Wright (drawn by D. Augustin),,89-104,,
9:27.0,D. Augustin makes free throw 1 of 2,1,90-104,,
9:27.0,D. Augustin makes free throw 2 of 2,1,91-104,,
9:12.0,,,91-104,,S. Ibaka misses 2-pt shot from 15 ft (block by B. Biyombo)
9:10.0,Defensive rebound by B. Biyombo,,91-104,,
8:54.0,D. Augustin misses 2-pt shot from 5 ft,,91-104,,
8:54.0,Offensive rebound by B. Biyombo,,91-104,,
8:52.0,Turnover by B. Biyombo (lost ball; steal by S. Ibaka),,91-104,,
8:28.0,,,91-104,,Shooting foul by C. Watson (drawn by P. Patterson)
8:28.0,Official timeout,,91-104,,
8:28.0,,,91-105,1,P. Patterson makes free throw 1 of 2
8:28.0,,,91-106,1,P. Patterson makes free throw 2 of 2
8:28.0,E. Fournier enters the game for D. Augustin,,91-104,,
8:28.0,E. Payton enters the game for C. Watson,,91-104,,
8:05.0,M. Hezonja misses 3-pt shot from 28 ft,,91-106,,
8:05.0,,,91-106,,Defensive rebound by P. Patterson
7:50.0,,,91-106,,Offensive charge foul by N. Powell
7:50.0,,,91-106,,Turnover by N. Powell (offensive foul)
7:50.0,A. Gordon enters the game for M. Hezonja,,91-106,,
7:50.0,T. Ross enters the game for J. Meeks,,91-106,,
7:36.0,,,91-106,,Personal foul by S. Ibaka (drawn by E. Fournier)
7:21.0,A. Gordon makes 2-pt shot from 13 ft,2,93-106,,
6:58.0,,,93-108,2,P. Patterson makes 2-pt shot from 7 ft
6:47.0,Shooting foul by S. Ibaka (drawn by B. Biyombo),,93-108,,
6:47.0,B. Biyombo misses free throw 1 of 2,,93-108,,
6:47.0,Offensive rebound by Team,,93-108,,
6:47.0,B. Biyombo makes free throw 2 of 2,1,94-108,,
6:47.0,,,93-108,,D. DeRozan enters the game for P. Tucker
6:47.0,,,93-108,,C. Joseph enters the game for D. Wright
6:37.0,,,94-108,,Turnover by N. Powell (lost ball; steal by E. Fournier)
6:32.0,E. Fournier makes 2-pt shot from 4 ft,2,96-108,,
6:10.0,,,96-108,,Shooting foul by T. Ross (drawn by D. DeRozan)
6:10.0,,,96-109,1,D. DeRozan makes free throw 1 of 2
6:10.0,,,96-110,1,D. DeRozan makes free throw 2 of 2
6:10.0,N. Vucevic enters the game for B. Biyombo,,96-109,,
6:10.0,,,96-109,,J. Valanciunas enters the game for P. Patterson
5:54.0,N. Vucevic misses 2-pt shot from 14 ft,,96-110,,
5:53.0,,,96-110,,Defensive rebound by D. DeRozan
5:40.0,,,96-112,2,D. DeRozan makes 2-pt shot from 13 ft
5:24.0,E. Payton makes 2-pt shot from 2 ft,2,98-112,,
