time,Atlanta,pts.away,score,pts.home,LA Clippers
4:27.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder),3,16-15,,
4:16.0,,,16-15,,Turnover by B. Griffin (lost ball; steal by P. Millsap)
4:16.0,,,16-15,,Personal foul by B. Griffin (drawn by P. Millsap)
4:16.0,M. Dunleavy enters the game for T. Hardaway,,16-15,,
4:16.0,M. Muscala enters the game for D. Howard,,16-15,,
4:07.0,D. Schroder misses 2-pt shot from 21 ft,,16-15,,
4:06.0,Offensive rebound by D. Schroder,,16-15,,
4:03.0,D. Schroder misses 3-pt shot from 26 ft,,16-15,,
4:01.0,,,16-15,,Defensive rebound by J. Redick
3:56.0,,,16-15,,J. Crawford enters the game for L. Mbah a Moute
3:50.0,,,16-18,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
3:27.0,Turnover by M. Dunleavy (lost ball; steal by A. Rivers),,16-18,,
3:03.0,,,16-21,3,A. Rivers makes 3-pt shot from 24 ft (assist by B. Griffin)
2:44.0,M. Muscala misses 2-pt shot from 20 ft,,16-21,,
2:43.0,,,16-21,,Defensive rebound by D. Jordan
2:33.0,,,16-21,,J. Crawford misses 2-pt shot from 19 ft
2:30.0,Defensive rebound by M. Dunleavy,,16-21,,
2:27.0,Offensive charge foul by T. Waller-Prince,,16-21,,
2:27.0,Turnover by T. Waller-Prince (offensive foul),,16-21,,
2:27.0,,,16-21,,LA Clippers full timeout
2:27.0,,,16-21,,R. Felton enters the game for A. Rivers
2:27.0,M. Delaney enters the game for D. Schroder,,16-21,,
2:16.0,,,16-21,,J. Redick misses 3-pt shot from 26 ft
2:15.0,Defensive rebound by M. Dunleavy,,16-21,,
2:02.0,T. Waller-Prince misses 2-pt shot from 2 ft,,16-21,,
2:01.0,,,16-21,,Defensive rebound by D. Jordan
1:55.0,Personal foul by T. Waller-Prince (drawn by D. Jordan),,16-21,,
1:55.0,,,16-21,,W. Johnson enters the game for D. Jordan
1:48.0,,,16-21,,B. Griffin misses 2-pt shot from 6 ft
1:45.0,Defensive rebound by M. Muscala,,16-21,,
1:41.0,M. Delaney makes 2-pt shot from 19 ft,2,18-21,,
1:29.0,,,18-21,,J. Redick misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by M. Muscala,,18-21,,
1:24.0,Turnover by M. Delaney (bad pass; steal by W. Johnson),,18-21,,
1:10.0,,,18-21,,Turnover by W. Johnson (step out of bounds)
1:10.0,,,18-21,,M. Speights enters the game for B. Griffin
1:10.0,,,18-21,,A. Anderson enters the game for J. Redick
0:59.0,P. Millsap makes 2-pt shot from 7 ft,2,20-21,,
0:49.0,,,20-21,,Turnover by J. Crawford (bad pass)
0:29.0,P. Millsap misses 2-pt shot from 14 ft,,20-21,,
0:26.0,,,20-21,,Defensive rebound by A. Anderson
0:04.0,,,20-21,,J. Crawford misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by M. Delaney,,20-21,,
0:00.0,M. Delaney makes 2-pt shot from 14 ft,2,22-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,22-23,2,M. Speights makes 2-pt shot from 3 ft (assist by A. Anderson)
11:30.0,T. Waller-Prince makes 2-pt shot from 4 ft,2,24-23,,
11:30.0,,,24-23,,Shooting block foul by M. Speights (drawn by T. Waller-Prince)
11:30.0,T. Waller-Prince makes free throw 1 of 1,1,25-23,,
11:30.0,,,25-23,,Violation by M. Speights (def goaltending)
11:17.0,,,25-25,2,M. Speights makes 2-pt shot from 17 ft
11:02.0,M. Muscala makes 2-pt shot from 15 ft (assist by M. Delaney),2,27-25,,
10:40.0,,,27-28,3,A. Anderson makes 3-pt shot from 27 ft (assist by R. Felton)
10:19.0,M. Delaney misses 2-pt shot from 19 ft,,27-28,,
10:17.0,,,27-28,,Defensive rebound by R. Felton
10:02.0,,,27-30,2,M. Speights makes 2-pt shot from 10 ft
9:39.0,K. Bazemore misses 2-pt shot from 6 ft,,27-30,,
9:37.0,,,27-30,,Defensive rebound by W. Johnson
9:37.0,Personal foul by M. Delaney (drawn by J. Crawford),,27-30,,
9:37.0,D. Howard enters the game for M. Muscala,,27-30,,
9:37.0,T. Hardaway enters the game for M. Dunleavy,,27-30,,
9:26.0,,,27-30,,M. Speights misses 3-pt shot from 27 ft
9:24.0,Defensive rebound by T. Waller-Prince,,27-30,,
9:14.0,Shooting foul by R. Felton (drawn by D. Howard),,27-30,,
9:14.0,D. Howard makes free throw 1 of 2,1,28-30,,
9:14.0,D. Howard misses free throw 2 of 2,,28-30,,
9:12.0,,,28-30,,Defensive rebound by W. Johnson
8:58.0,,,28-33,3,R. Felton makes 3-pt shot from 24 ft (assist by M. Speights)
8:53.0,Turnover by K. Bazemore (bad pass; steal by R. Felton),,28-33,,
8:42.0,,,28-36,3,W. Johnson makes 3-pt shot from 27 ft (assist by J. Crawford)
8:42.0,Atlanta full timeout,,28-36,,
8:42.0,D. Schroder enters the game for T. Waller-Prince,,28-36,,
8:31.0,Turnover by K. Bazemore (bad pass; steal by R. Felton),,28-36,,
8:27.0,,,28-38,2,R. Felton makes 2-pt shot from 2 ft
8:08.0,T. Hardaway misses 3-pt shot from 23 ft,,28-38,,
8:07.0,,,28-38,,Defensive rebound by W. Johnson
7:53.0,,,28-38,,Turnover by M. Speights (bad pass; steal by K. Bazemore)
7:43.0,K. Bazemore misses 3-pt shot from 26 ft,,28-38,,
7:42.0,,,28-38,,Defensive rebound by W. Johnson
7:29.0,,,28-38,,A. Anderson misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by K. Bazemore,,28-38,,
7:23.0,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Bazemore),2,30-38,,
7:02.0,,,30-38,,M. Speights misses 3-pt shot from 27 ft
7:01.0,Defensive rebound by D. Howard,,30-38,,
6:52.0,Shooting foul by W. Johnson (drawn by D. Schroder),,30-38,,
6:52.0,D. Schroder misses free throw 1 of 2,,30-38,,
6:52.0,Offensive rebound by Team,,30-38,,
6:52.0,D. Schroder makes free throw 2 of 2,1,31-38,,
6:52.0,P. Millsap enters the game for K. Bazemore,,30-38,,
6:52.0,,,30-38,,A. Rivers enters the game for W. Johnson
6:52.0,,,30-38,,B. Griffin enters the game for M. Speights
6:52.0,,,30-38,,D. Jordan enters the game for A. Anderson
6:42.0,,,31-41,3,J. Crawford makes 3-pt shot from 26 ft (assist by B. Griffin)
6:23.0,P. Millsap makes 3-pt shot from 27 ft (assist by D. Schroder),3,34-41,,
6:06.0,,,34-41,,Turnover by R. Felton (bad pass; steal by M. Delaney)
6:05.0,,,34-41,,Personal take foul by J. Crawford (drawn by D. Schroder)
6:05.0,,,34-41,,J. Redick enters the game for R. Felton
5:48.0,,,34-41,,Personal foul by J. Redick (drawn by P. Millsap)
5:48.0,Official timeout,,34-41,,
5:48.0,P. Millsap makes free throw 1 of 2,1,35-41,,
5:48.0,P. Millsap misses free throw 2 of 2,,35-41,,
5:46.0,Offensive rebound by D. Howard,,35-41,,
5:40.0,D. Howard misses 2-pt shot at rim (block by B. Griffin),,35-41,,
5:37.0,,,35-41,,Defensive rebound by D. Jordan
5:31.0,,,35-44,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Griffin)
5:17.0,D. Schroder misses 2-pt shot from 17 ft,,35-44,,
5:16.0,,,35-44,,Defensive rebound by D. Jordan
5:09.0,Personal foul by P. Millsap (drawn by B. Griffin),,35-44,,
4:53.0,,,35-46,2,B. Griffin makes 2-pt shot from 20 ft
4:32.0,P. Millsap misses 2-pt shot from 8 ft,,35-46,,
4:30.0,Offensive rebound by D. Howard,,35-46,,
4:29.0,Turnover by D. Howard (lost ball; steal by A. Rivers),,35-46,,
4:24.0,,,35-46,,A. Rivers misses 2-pt shot from 2 ft
4:18.0,Defensive rebound by D. Howard,,35-46,,
4:09.0,D. Schroder makes 3-pt shot from 24 ft (assist by T. Hardaway),3,38-46,,
3:48.0,,,38-48,2,B. Griffin makes 2-pt shot from 2 ft (assist by D. Jordan)
3:35.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,40-48,,
3:19.0,,,40-48,,J. Crawford misses 3-pt shot from 29 ft
3:18.0,Defensive rebound by Team,,40-48,,
3:17.0,T. Waller-Prince enters the game for M. Delaney,,40-48,,
3:17.0,,,40-48,,R. Felton enters the game for J. Crawford
2:51.0,T. Waller-Prince misses 2-pt shot from 15 ft,,40-48,,
2:48.0,,,40-48,,Defensive rebound by D. Jordan
2:34.0,,,40-48,,LA Clippers full timeout
2:31.0,,,40-48,,A. Rivers misses 2-pt shot from 3 ft
2:29.0,Defensive rebound by D. Schroder,,40-48,,
2:20.0,Turnover by D. Schroder (lost ball; steal by A. Rivers),,40-48,,
2:15.0,,,40-50,2,A. Rivers makes 2-pt shot from 1 ft
1:51.0,P. Millsap misses 2-pt shot from 8 ft,,40-50,,
1:50.0,Offensive rebound by T. Waller-Prince,,40-50,,
1:46.0,T. Waller-Prince misses 3-pt shot from 28 ft,,40-50,,
1:46.0,Offensive rebound by Team,,40-50,,
1:46.0,Turnover by Team (shot clock),,40-50,,
1:29.0,,,40-50,,R. Felton misses 3-pt shot from 27 ft
1:28.0,Defensive rebound by D. Howard,,40-50,,
1:22.0,Turnover by T. Hardaway (bad pass; steal by R. Felton),,40-50,,
1:19.0,,,40-52,2,R. Felton makes 2-pt shot from 2 ft
0:51.0,P. Millsap misses 3-pt shot from 27 ft,,40-52,,
0:51.0,Offensive rebound by Team,,40-52,,
0:51.0,Turnover by Team (shot clock),,40-52,,
0:41.0,,,40-52,,Offensive foul by D. Jordan
0:41.0,,,40-52,,Turnover by D. Jordan (offensive foul)
0:41.0,M. Muscala enters the game for D. Howard,,40-52,,
0:32.0,D. Schroder misses 3-pt shot from 24 ft,,40-52,,
0:29.0,,,40-52,,Defensive rebound by A. Rivers
0:12.0,,,40-52,,B. Griffin misses 3-pt shot from 24 ft
0:11.0,,,40-52,,Offensive rebound by D. Jordan
0:01.0,,,40-52,,B. Griffin misses 2-pt shot from 17 ft
0:00.0,,,40-52,,Offensive rebound by D. Jordan
0:00.0,,,40-54,2,D. Jordan makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,40-54,,D. Jordan misses 2-pt shot from 4 ft
11:42.0,Defensive rebound by D. Howard,,40-54,,
11:31.0,D. Schroder misses 3-pt shot from 29 ft,,40-54,,
11:29.0,,,40-54,,Defensive rebound by D. Jordan
11:25.0,,,40-54,,Shooting foul by P. Millsap (drawn by B. Griffin)
11:25.0,,,40-55,1,B. Griffin makes free throw 1 of 2
11:25.0,,,40-56,1,B. Griffin makes free throw 2 of 2
11:14.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,42-56,,
11:00.0,,,42-58,2,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin)
10:47.0,Turnover by P. Millsap (bad pass; steal by D. Jordan),,42-58,,
10:46.0,,,42-58,,Offensive charge foul by B. Griffin
10:46.0,,,42-58,,Turnover by B. Griffin (bad pass)
10:35.0,T. Hardaway misses 3-pt shot from 27 ft,,42-58,,
10:34.0,,,42-58,,Defensive rebound by B. Griffin
10:09.0,,,42-58,,B. Griffin misses 3-pt shot from 28 ft
10:06.0,Defensive rebound by D. Howard,,42-58,,
10:00.0,Shooting foul by J. Redick (drawn by K. Bazemore),,42-58,,
10:00.0,K. Bazemore makes free throw 1 of 2,1,43-58,,
10:00.0,K. Bazemore makes free throw 2 of 2,1,44-58,,
9:47.0,,,44-61,3,J. Redick makes 3-pt shot from 28 ft (assist by A. Rivers)
9:31.0,T. Hardaway misses 2-pt shot from 20 ft,,44-61,,
9:30.0,Offensive rebound by Team,,44-61,,
9:23.0,K. Bazemore misses 3-pt shot from 25 ft,,44-61,,
9:22.0,Offensive rebound by T. Hardaway,,44-61,,
9:20.0,T. Hardaway makes 2-pt shot from 1 ft,2,46-61,,
9:05.0,,,46-64,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
8:50.0,D. Howard makes 2-pt shot at rim (assist by T. Hardaway),2,48-64,,
8:39.0,Personal foul by K. Bazemore (drawn by J. Redick),,48-64,,
8:37.0,,,48-64,,Offensive foul by A. Rivers
8:37.0,,,48-64,,Turnover by A. Rivers (offensive foul)
8:27.0,Turnover by K. Bazemore (lost ball; steal by J. Redick),,48-64,,
8:22.0,,,48-66,2,B. Griffin makes 2-pt shot at rim (assist by L. Mbah a Moute)
8:12.0,D. Schroder misses 2-pt shot from 3 ft,,48-66,,
8:11.0,,,48-66,,Defensive rebound by D. Jordan
8:03.0,Personal foul by P. Millsap (drawn by B. Griffin),,48-66,,
7:51.0,,,48-66,,J. Redick misses 3-pt shot from 27 ft
7:50.0,Defensive rebound by T. Hardaway,,48-66,,
7:35.0,D. Howard misses 3-pt shot from 24 ft,,48-66,,
7:34.0,,,48-66,,Defensive rebound by D. Jordan
7:18.0,,,48-66,,L. Mbah a Moute misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by P. Millsap,,48-66,,
7:10.0,T. Hardaway misses 2-pt shot from 4 ft,,48-66,,
7:09.0,Offensive rebound by D. Howard,,48-66,,
7:09.0,Shooting foul by D. Jordan (drawn by D. Howard),,48-66,,
7:09.0,D. Howard misses free throw 1 of 2,,48-66,,
7:09.0,Offensive rebound by Team,,48-66,,
7:09.0,D. Howard misses free throw 2 of 2,,48-66,,
7:07.0,,,48-66,,Defensive rebound by B. Griffin
6:49.0,,,48-68,2,D. Jordan makes 2-pt shot from 3 ft
6:34.0,D. Schroder makes 2-pt shot from 5 ft,2,50-68,,
6:08.0,,,50-68,,B. Griffin misses 2-pt shot from 14 ft
6:07.0,Defensive rebound by D. Howard,,50-68,,
5:55.0,Turnover by P. Millsap (bad pass; steal by D. Jordan),,50-68,,
5:52.0,,,50-68,,Turnover by D. Jordan (bad pass)
5:52.0,,,50-68,,LA Clippers full timeout
5:52.0,M. Delaney enters the game for K. Bazemore,,50-68,,
5:27.0,P. Millsap misses 2-pt shot from 6 ft,,50-68,,
5:26.0,Offensive rebound by D. Howard,,50-68,,
5:25.0,D. Howard makes 2-pt shot from 3 ft,2,52-68,,
5:05.0,,,52-68,,J. Redick misses 2-pt shot from 18 ft
5:02.0,Defensive rebound by T. Hardaway,,52-68,,
4:55.0,Shooting foul by J. Redick (drawn by D. Schroder),,52-68,,
4:55.0,D. Schroder makes free throw 1 of 2,1,53-68,,
4:55.0,D. Schroder makes free throw 2 of 2,1,54-68,,
4:55.0,,,53-68,,J. Crawford enters the game for L. Mbah a Moute
4:45.0,,,54-70,2,A. Rivers makes 2-pt shot from 2 ft (assist by B. Griffin)
4:36.0,D. Schroder misses 2-pt shot from 3 ft,,54-70,,
4:35.0,,,54-70,,Defensive rebound by D. Jordan
4:22.0,,,54-70,,Shooting foul by D. Howard (drawn by A. Rivers)
4:22.0,,,54-71,1,A. Rivers makes free throw 1 of 2
4:22.0,,,54-72,1,A. Rivers makes free throw 2 of 2
4:22.0,K. Humphries enters the game for D. Howard,,54-71,,
4:09.0,P. Millsap misses 2-pt shot from 13 ft,,54-72,,
4:06.0,Offensive rebound by P. Millsap,,54-72,,
4:05.0,P. Millsap makes 2-pt shot from 3 ft,2,56-72,,
3:49.0,,,56-72,,A. Rivers misses 2-pt shot from 19 ft
3:48.0,Defensive rebound by D. Schroder,,56-72,,
3:35.0,D. Schroder misses 2-pt shot from 2 ft (block by B. Griffin),,56-72,,
3:34.0,,,56-72,,Defensive rebound by D. Jordan
3:27.0,Personal foul by M. Delaney (drawn by J. Crawford),,56-72,,
3:27.0,,,56-73,1,J. Crawford makes free throw 1 of 2
3:27.0,,,56-74,1,J. Crawford makes free throw 2 of 2
3:27.0,T. Waller-Prince enters the game for D. Schroder,,56-73,,
3:27.0,,,56-73,,R. Felton enters the game for J. Redick
3:16.0,T. Hardaway makes 3-pt shot from 26 ft (assist by P. Millsap),3,59-74,,
2:59.0,,,59-74,,A. Rivers misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by T. Waller-Prince,,59-74,,
2:44.0,Turnover by T. Hardaway (bad pass; steal by J. Crawford),,59-74,,
2:41.0,,,59-76,2,A. Rivers makes 2-pt shot at rim
2:21.0,M. Delaney misses 2-pt shot from 14 ft,,59-76,,
2:18.0,,,59-76,,Defensive rebound by B. Griffin
2:10.0,,,59-76,,Shooting foul by K. Humphries (drawn by B. Griffin)
2:10.0,Atlanta full timeout,,59-76,,
2:10.0,,,59-77,1,B. Griffin makes free throw 1 of 2
2:10.0,,,59-78,1,B. Griffin makes free throw 2 of 2
1:59.0,T. Hardaway misses 2-pt shot from 18 ft,,59-78,,
1:57.0,,,59-78,,Defensive rebound by R. Felton
1:43.0,,,59-80,2,B. Griffin makes 2-pt shot from 6 ft
1:30.0,P. Millsap misses 3-pt shot from 29 ft,,59-80,,
1:29.0,,,59-80,,Defensive rebound by J. Crawford
1:13.0,,,59-80,,J. Crawford misses 3-pt shot from 25 ft
1:13.0,,,59-80,,Offensive rebound by D. Jordan
1:13.0,Personal foul by K. Humphries (drawn by D. Jordan),,59-80,,
1:13.0,,,59-80,,D. Jordan misses free throw 1 of 2
1:13.0,,,59-80,,Offensive rebound by Team
1:13.0,,,59-81,1,D. Jordan makes free throw 2 of 2
1:13.0,M. Dunleavy enters the game for T. Hardaway,,59-80,,
1:13.0,,,59-80,,A. Anderson enters the game for A. Rivers
1:13.0,M. Scott enters the game for P. Millsap,,59-80,,
0:58.0,T. Waller-Prince makes 2-pt shot from 4 ft (assist by M. Scott),2,61-81,,
0:46.0,,,61-81,,B. Griffin misses 2-pt shot from 20 ft
0:45.0,Defensive rebound by M. Dunleavy,,61-81,,
0:35.0,K. Humphries misses 3-pt shot from 28 ft,,61-81,,
0:33.0,,,61-81,,Defensive rebound by B. Griffin
0:27.0,,,61-81,,J. Crawford misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by Team,,61-81,,
0:25.0,,,61-81,,M. Speights enters the game for B. Griffin
0:25.0,,,61-81,,W. Johnson enters the game for D. Jordan
0:09.0,Shooting foul by M. Speights (drawn by M. Delaney),,61-81,,
0:09.0,M. Delaney makes free throw 1 of 3,1,62-81,,
0:09.0,M. Delaney makes free throw 2 of 3,1,63-81,,
0:09.0,M. Delaney makes free throw 3 of 3,1,64-81,,
0:02.0,,,64-83,2,R. Felton makes 2-pt shot from 3 ft
0:01.0,T. Waller-Prince misses 3-pt shot from 49 ft,,64-83,,
0:00.0,Offensive rebound by Team,,64-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,M. Scott makes 2-pt shot from 9 ft (assist by D. Schroder),2,66-83,,
11:36.0,,,66-83,,Offensive foul by M. Speights
11:36.0,,,66-83,,Turnover by M. Speights (offensive foul)
11:16.0,Turnover by T. Waller-Prince (bad pass; steal by W. Johnson),,66-83,,
11:12.0,,,66-85,2,W. Johnson makes 2-pt shot at rim
10:46.0,Turnover by T. Waller-Prince (bad pass; steal by W. Johnson),,66-85,,
10:39.0,,,66-87,2,M. Speights makes 2-pt shot from 3 ft (assist by R. Felton)
10:11.0,L. Patterson enters the game for D. Schroder,,66-87,,
10:07.0,Turnover by Team (shot clock),,66-87,,
9:43.0,,,66-87,,J. Crawford misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by M. Dunleavy,,66-87,,
9:25.0,M. Dunleavy misses 2-pt shot from 15 ft,,66-87,,
9:24.0,,,66-87,,Defensive rebound by A. Anderson
9:07.0,,,66-87,,W. Johnson misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by K. Humphries,,66-87,,
8:50.0,K. Humphries makes 2-pt shot from 19 ft (assist by L. Patterson),2,68-87,,
8:36.0,,,68-87,,M. Speights misses 3-pt shot from 26 ft
8:35.0,,,68-87,,Offensive rebound by R. Felton
8:27.0,,,68-87,,W. Johnson misses 2-pt shot from 2 ft
8:25.0,Defensive rebound by L. Patterson,,68-87,,
8:19.0,Official timeout,,68-87,,
8:12.0,Turnover by M. Scott (lost ball; steal by J. Crawford),,68-87,,
7:58.0,,,68-87,,Offensive foul by M. Speights
7:58.0,,,68-87,,Turnover by M. Speights (offensive foul)
7:58.0,D. Bembry enters the game for T. Waller-Prince,,68-87,,
7:43.0,Turnover by K. Humphries (lost ball; steal by R. Felton),,68-87,,
7:26.0,,,68-89,2,R. Felton makes 2-pt shot from 3 ft (assist by J. Crawford)
7:11.0,Turnover by L. Patterson (bad pass; steal by W. Johnson),,68-89,,
6:55.0,,,68-89,,M. Speights misses 3-pt shot from 26 ft
6:53.0,Defensive rebound by L. Patterson,,68-89,,
6:49.0,D. Bembry makes 2-pt shot at rim (assist by L. Patterson),2,70-89,,
6:29.0,,,70-89,,W. Johnson misses 3-pt shot from 27 ft
6:24.0,Defensive rebound by D. Bembry,,70-89,,
6:17.0,D. Bembry misses 2-pt shot from 10 ft,,70-89,,
6:16.0,Offensive rebound by K. Humphries,,70-89,,
6:16.0,Shooting foul by M. Speights (drawn by K. Humphries),,70-89,,
6:16.0,K. Humphries misses free throw 1 of 2,,70-89,,
6:16.0,Offensive rebound by Team,,70-89,,
6:16.0,K. Humphries makes free throw 2 of 2,1,71-89,,
6:16.0,M. Muscala enters the game for M. Scott,,70-89,,
6:16.0,,,70-89,,B. Bass enters the game for M. Speights
6:04.0,,,71-89,,A. Anderson misses 3-pt shot from 26 ft
6:03.0,Defensive rebound by D. Bembry,,71-89,,
5:56.0,M. Dunleavy makes 3-pt shot from 27 ft (assist by D. Bembry),3,74-89,,
5:39.0,,,74-92,3,W. Johnson makes 3-pt shot from 24 ft (assist by R. Felton)
5:23.0,M. Muscala makes 2-pt shot from 3 ft (assist by L. Patterson),2,76-92,,
5:23.0,,,76-92,,Shooting block foul by A. Anderson (drawn by M. Muscala)
5:23.0,,,76-92,,LA Clippers full timeout
5:23.0,M. Muscala makes free throw 1 of 1,1,77-92,,
5:23.0,M. Scott enters the game for K. Humphries,,76-92,,
5:09.0,,,77-94,2,B. Bass makes 2-pt shot from 3 ft (assist by J. Crawford)
4:47.0,L. Patterson misses 3-pt shot from 26 ft,,77-94,,
4:46.0,,,77-94,,Defensive rebound by B. Bass
4:35.0,,,77-94,,Shooting foul by L. Patterson (drawn by B. Bass)
4:35.0,,,77-95,1,B. Bass makes free throw 1 of 2
4:35.0,,,77-96,1,B. Bass makes free throw 2 of 2
4:35.0,T. Waller-Prince enters the game for M. Dunleavy,,77-95,,
4:20.0,L. Patterson misses 2-pt shot from 4 ft (block by W. Johnson),,77-96,,
4:18.0,,,77-96,,Defensive rebound by A. Anderson
4:13.0,,,77-99,3,W. Johnson makes 3-pt shot from 26 ft (assist by J. Crawford)
3:53.0,M. Muscala makes 2-pt shot from 4 ft (assist by D. Bembry),2,79-99,,
3:33.0,,,79-99,,Turnover by R. Felton (lost ball; steal by L. Patterson)
3:14.0,T. Waller-Prince misses 3-pt shot from 26 ft,,79-99,,
3:13.0,,,79-99,,Defensive rebound by J. Crawford
2:54.0,,,79-99,,Turnover by B. Bass (step out of bounds)
2:54.0,Atlanta full timeout,,79-99,,
2:54.0,K. Humphries enters the game for M. Muscala,,79-99,,
2:54.0,,,79-99,,D. Stone enters the game for J. Crawford
2:46.0,Atlanta full timeout,,79-99,,
2:38.0,Turnover by L. Patterson (bad pass; steal by B. Bass),,79-99,,
2:22.0,,,79-99,,A. Anderson misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by K. Humphries,,79-99,,
1:57.0,D. Bembry makes 2-pt shot from 14 ft,2,81-99,,
1:33.0,,,81-99,,B. Bass misses 2-pt shot from 14 ft
1:32.0,Defensive rebound by K. Humphries,,81-99,,
1:08.0,L. Patterson misses 3-pt shot from 28 ft,,81-99,,
1:07.0,,,81-99,,Defensive rebound by D. Stone
0:47.0,,,81-99,,W. Johnson misses 2-pt shot from 21 ft
0:45.0,Defensive rebound by T. Waller-Prince,,81-99,,
