time,Detroit,pts.away,score,pts.home,San Antonio
3:26.0,Turnover by B. Udrih (bad pass; steal by M. Ginobili),,15-22,,
3:19.0,,,15-22,,K. Leonard misses 2-pt shot from 2 ft
3:18.0,Defensive rebound by J. Leuer,,15-22,,
3:04.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,17-22,,
3:04.0,,,17-22,,San Antonio full timeout
2:49.0,,,17-24,2,P. Gasol makes 2-pt shot from 6 ft (assist by P. Mills)
2:29.0,J. Leuer makes 2-pt shot from 17 ft (assist by M. Morris),2,19-24,,
2:13.0,,,19-26,2,P. Mills makes 2-pt shot from 4 ft (assist by P. Gasol)
1:45.0,Turnover by Team (shot clock),,19-26,,
1:45.0,,,19-26,,J. Simmons enters the game for K. Leonard
1:28.0,,,19-26,,P. Mills misses 3-pt shot from 24 ft
1:27.0,Defensive rebound by M. Morris,,19-26,,
1:18.0,M. Morris misses 2-pt shot from 20 ft,,19-26,,
1:18.0,,,19-26,,Defensive rebound by P. Mills
1:15.0,,,19-26,,Turnover by P. Mills (bad pass)
0:58.0,,,19-26,,Def 3 sec tech foul by D. Lee
0:58.0,B. Udrih makes technical free throw,1,20-26,,
0:52.0,B. Udrih misses 2-pt shot from 17 ft,,20-26,,
0:52.0,Offensive rebound by A. Baynes,,20-26,,
0:52.0,A. Baynes makes 2-pt shot from 1 ft,2,22-26,,
0:43.0,,,22-28,2,P. Gasol makes 2-pt shot from 3 ft
0:27.0,M. Morris misses 2-pt shot from 7 ft,,22-28,,
0:24.0,Offensive rebound by M. Morris,,22-28,,
0:23.0,,,22-28,,Flagrant foul type 1 by P. Mills
0:23.0,J. Leuer makes flagrant free throw 1 of 2,1,23-28,,
0:23.0,J. Leuer makes flagrant free throw 2 of 2,1,24-28,,
0:01.0,B. Udrih makes 2-pt shot from 17 ft,2,26-28,,
0:00.0,,,26-28,,J. Simmons misses 3-pt shot from 50 ft
0:00.0,,,26-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,26-28,,J. Simmons misses 2-pt shot from 9 ft
11:39.0,Defensive rebound by A. Baynes,,26-28,,
11:30.0,B. Udrih makes 3-pt shot from 25 ft,3,29-28,,
11:14.0,,,29-30,2,M. Ginobili makes 2-pt shot from 5 ft (assist by T. Parker)
11:14.0,,,29-30,,Shooting foul by S. Johnson (drawn by M. Ginobili)
11:14.0,,,29-30,,M. Ginobili misses free throw 1 of 1
11:14.0,Defensive rebound by A. Baynes,,29-30,,
11:03.0,,,29-30,,Personal foul by J. Simmons (drawn by M. Morris)
10:49.0,J. Leuer misses 3-pt shot from 23 ft,,29-30,,
10:48.0,,,29-30,,Defensive rebound by T. Parker
10:27.0,,,29-32,2,D. Lee makes 2-pt shot from 15 ft (assist by J. Simmons)
10:10.0,M. Morris makes 2-pt shot from 10 ft,2,31-32,,
9:52.0,,,31-32,,T. Parker misses 2-pt shot from 1 ft (block by J. Leuer)
9:50.0,,,31-32,,Offensive rebound by D. Lee
9:48.0,,,31-34,2,D. Lee makes 2-pt shot from 3 ft
9:34.0,M. Morris misses 3-pt shot from 25 ft,,31-34,,
9:33.0,,,31-34,,Defensive rebound by L. Aldridge
9:23.0,,,31-36,2,M. Ginobili makes 2-pt shot from 12 ft
9:08.0,Turnover by J. Leuer (step out of bounds),,31-36,,
9:08.0,,,31-36,,K. Leonard enters the game for M. Ginobili
8:48.0,,,31-38,2,L. Aldridge makes 2-pt shot from 15 ft
8:34.0,S. Johnson misses 2-pt shot from 16 ft,,31-38,,
8:33.0,,,31-38,,Defensive rebound by L. Aldridge
8:25.0,Personal block foul by A. Baynes (drawn by L. Aldridge),,31-38,,
8:25.0,Official timeout,,31-38,,
8:25.0,T. Harris enters the game for M. Morris,,31-38,,
8:25.0,K. Caldwell-Pope enters the game for J. Leuer,,31-38,,
8:16.0,,,31-38,,L. Aldridge misses 2-pt shot from 11 ft
8:15.0,Defensive rebound by T. Harris,,31-38,,
7:56.0,B. Udrih makes 2-pt shot from 15 ft,2,33-38,,
7:42.0,,,33-38,,L. Aldridge misses 2-pt shot from 17 ft
7:41.0,Defensive rebound by S. Johnson,,33-38,,
7:34.0,B. Udrih misses 2-pt shot from 12 ft,,33-38,,
7:33.0,,,33-38,,Defensive rebound by K. Leonard
7:25.0,,,33-38,,K. Leonard misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by T. Harris,,33-38,,
7:07.0,S. Johnson makes 3-pt shot from 24 ft (assist by T. Harris),3,36-38,,
6:40.0,,,36-38,,T. Parker misses 2-pt shot from 3 ft
6:38.0,Defensive rebound by A. Baynes,,36-38,,
6:35.0,Shooting foul by L. Aldridge (drawn by T. Harris),,36-38,,
6:35.0,T. Harris makes free throw 1 of 2,1,37-38,,
6:35.0,T. Harris makes free throw 2 of 2,1,38-38,,
6:35.0,I. Smith enters the game for B. Udrih,,37-38,,
6:35.0,A. Drummond enters the game for A. Baynes,,37-38,,
6:35.0,,,37-38,,P. Mills enters the game for T. Parker
6:35.0,,,37-38,,P. Gasol enters the game for D. Lee
6:21.0,,,38-38,,P. Mills misses 3-pt shot from 23 ft
6:20.0,,,38-38,,Offensive rebound by P. Gasol
6:12.0,,,38-38,,L. Aldridge misses 2-pt shot from 15 ft
6:11.0,Defensive rebound by I. Smith,,38-38,,
6:00.0,A. Drummond makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,40-38,,
6:00.0,Shooting foul by J. Simmons (drawn by A. Drummond),,40-38,,
6:00.0,A. Drummond makes free throw 1 of 1,1,41-38,,
6:00.0,,,40-38,,K. Anderson enters the game for J. Simmons
5:37.0,,,41-38,,P. Gasol misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by S. Johnson,,41-38,,
5:25.0,,,41-38,,San Antonio full timeout
5:06.0,S. Johnson misses 2-pt shot from 21 ft,,41-38,,
5:05.0,,,41-38,,Defensive rebound by K. Anderson
4:51.0,,,41-38,,P. Gasol misses 2-pt shot from 11 ft
4:50.0,Defensive rebound by A. Drummond,,41-38,,
4:37.0,I. Smith makes 2-pt shot from 4 ft,2,43-38,,
4:20.0,,,43-40,2,K. Anderson makes 2-pt shot from 4 ft
4:06.0,T. Harris misses 2-pt shot from 5 ft,,43-40,,
4:05.0,Offensive rebound by A. Drummond,,43-40,,
4:05.0,A. Drummond makes 2-pt shot from 1 ft,2,45-40,,
3:44.0,,,45-42,2,K. Leonard makes 2-pt shot from 18 ft (assist by K. Anderson)
3:20.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by I. Smith),3,48-42,,
3:08.0,Def 3 sec tech foul by A. Drummond,,48-42,,
3:08.0,,,48-43,1,K. Leonard makes technical free throw
3:08.0,J. Leuer enters the game for T. Harris,,48-43,,
3:00.0,,,48-45,2,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Gasol)
2:41.0,Offensive foul by A. Drummond,,48-45,,
2:41.0,Turnover by A. Drummond (offensive foul),,48-45,,
2:41.0,Detroit full timeout,,48-45,,
2:26.0,,,48-45,,K. Leonard misses 2-pt shot from 17 ft
2:24.0,,,48-45,,Offensive rebound by P. Gasol
2:24.0,,,48-47,2,P. Gasol makes 2-pt shot from 1 ft
2:10.0,S. Johnson misses 3-pt shot from 24 ft,,48-47,,
2:09.0,,,48-47,,Defensive rebound by L. Aldridge
2:04.0,Personal foul by K. Caldwell-Pope (drawn by K. Leonard),,48-47,,
1:56.0,Personal foul by S. Johnson (drawn by L. Aldridge),,48-47,,
1:56.0,M. Morris enters the game for S. Johnson,,48-47,,
1:45.0,,,48-47,,K. Leonard misses 2-pt shot from 14 ft
1:44.0,Defensive rebound by K. Caldwell-Pope,,48-47,,
1:36.0,J. Leuer misses 3-pt shot from 26 ft,,48-47,,
1:35.0,,,48-47,,Defensive rebound by K. Leonard
1:26.0,,,48-47,,L. Aldridge misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by Team,,48-47,,
1:26.0,,,48-47,,M. Ginobili enters the game for K. Anderson
1:25.0,Jump ball: A. Drummond vs. P. Gasol (I. Smith gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (I. Smith gains possession)
1:05.0,M. Morris misses 3-pt shot from 24 ft,,48-47,,
1:04.0,Offensive rebound by A. Drummond,,48-47,,
1:03.0,A. Drummond misses 2-pt shot from 5 ft,,48-47,,
1:01.0,,,48-47,,Defensive rebound by P. Gasol
0:52.0,,,48-47,,K. Leonard misses 2-pt shot from 5 ft (block by M. Morris)
0:50.0,Defensive rebound by J. Leuer,,48-47,,
0:48.0,,,48-47,,Flagrant foul type 1 by P. Gasol (drawn by A. Drummond)
0:48.0,A. Drummond makes flagrant free throw 1 of 2,1,49-47,,
0:48.0,A. Drummond makes flagrant free throw 2 of 2,1,50-47,,
0:34.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,52-47,,
0:16.0,,,52-49,2,L. Aldridge makes 2-pt shot from 9 ft
0:01.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,52-49,,
0:00.0,,,52-49,,Defensive rebound by L. Aldridge
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,52-51,2,T. Parker makes 2-pt shot from 5 ft (assist by P. Gasol)
11:27.0,T. Harris misses 3-pt shot from 24 ft,,52-51,,
11:25.0,Offensive rebound by A. Drummond,,52-51,,
11:03.0,M. Morris makes 2-pt shot from 18 ft,2,54-51,,
10:46.0,,,54-53,2,P. Gasol makes 2-pt shot from 15 ft (assist by T. Parker)
10:22.0,Turnover by A. Drummond (bad pass; steal by K. Leonard),,54-53,,
10:03.0,,,54-53,,T. Parker misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by I. Smith,,54-53,,
9:52.0,T. Harris misses 3-pt shot from 24 ft,,54-53,,
9:50.0,,,54-53,,Defensive rebound by T. Parker
9:35.0,,,54-53,,K. Leonard misses 2-pt shot from 20 ft
9:34.0,,,54-53,,Offensive rebound by K. Anderson
9:34.0,,,54-53,,K. Anderson misses 2-pt shot at rim
9:32.0,,,54-53,,Offensive rebound by K. Anderson
9:16.0,,,54-53,,Shooting foul by A. Drummond (drawn by K. Anderson)
9:16.0,,,54-53,,K. Anderson misses free throw 1 of 2
9:16.0,,,54-53,,Offensive rebound by Team
9:16.0,,,54-54,1,K. Anderson makes free throw 2 of 2
8:51.0,A. Drummond makes 3-pt shot from 27 ft,3,57-54,,
8:31.0,,,57-57,3,K. Leonard makes 3-pt shot from 27 ft (assist by P. Gasol)
8:10.0,I. Smith misses 3-pt shot from 26 ft,,57-57,,
8:09.0,,,57-57,,Defensive rebound by K. Anderson
7:55.0,,,57-60,3,K. Anderson makes 3-pt shot from 23 ft (assist by K. Leonard)
7:46.0,Detroit full timeout,,57-60,,
7:33.0,A. Drummond makes 2-pt shot from 3 ft (assist by T. Harris),2,59-60,,
7:11.0,,,59-60,,K. Leonard misses 2-pt shot from 2 ft (block by M. Morris)
7:10.0,Defensive rebound by I. Smith,,59-60,,
7:02.0,M. Morris misses 2-pt shot from 19 ft,,59-60,,
7:01.0,,,59-60,,Defensive rebound by K. Anderson
6:46.0,,,59-60,,T. Parker misses 2-pt shot from 5 ft
6:45.0,Defensive rebound by A. Drummond,,59-60,,
6:28.0,T. Harris makes 2-pt shot from 9 ft (assist by K. Caldwell-Pope),2,61-60,,
6:11.0,,,61-62,2,T. Parker makes 2-pt shot at rim (assist by P. Gasol)
5:53.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,61-62,,
5:52.0,,,61-62,,Defensive rebound by L. Aldridge
5:36.0,,,61-62,,Turnover by L. Aldridge (traveling)
5:36.0,,,61-62,,M. Ginobili enters the game for K. Anderson
5:36.0,,,61-62,,P. Mills enters the game for T. Parker
5:18.0,I. Smith misses 2-pt shot from 19 ft,,61-62,,
5:17.0,,,61-62,,Defensive rebound by M. Ginobili
5:08.0,,,61-65,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Ginobili)
4:42.0,Shooting foul by P. Mills (drawn by T. Harris),,61-65,,
4:42.0,T. Harris makes free throw 1 of 2,1,62-65,,
4:42.0,T. Harris makes free throw 2 of 2,1,63-65,,
4:42.0,,,62-65,,D. Lee enters the game for P. Gasol
4:42.0,J. Leuer enters the game for M. Morris,,62-65,,
4:26.0,,,63-65,,K. Leonard misses 2-pt shot from 18 ft
4:25.0,Defensive rebound by A. Drummond,,63-65,,
4:12.0,I. Smith makes 2-pt shot from 18 ft (assist by K. Caldwell-Pope),2,65-65,,
4:11.0,,,65-65,,San Antonio full timeout
4:11.0,,,65-65,,J. Simmons enters the game for K. Leonard
3:59.0,,,65-67,2,L. Aldridge makes 2-pt shot from 21 ft (assist by P. Mills)
3:46.0,Turnover by T. Harris (lost ball; steal by P. Mills),,65-67,,
3:35.0,,,65-67,,Turnover by M. Ginobili (bad pass)
3:35.0,A. Baynes enters the game for A. Drummond,,65-67,,
3:25.0,I. Smith misses 2-pt shot from 3 ft,,65-67,,
3:25.0,Offensive rebound by Team,,65-67,,
3:25.0,B. Udrih enters the game for I. Smith,,65-67,,
3:15.0,A. Baynes misses 2-pt shot from 18 ft,,65-67,,
3:13.0,,,65-67,,Defensive rebound by J. Simmons
3:05.0,,,65-67,,P. Mills misses 2-pt shot from 21 ft
3:03.0,Defensive rebound by T. Harris,,65-67,,
2:55.0,J. Leuer misses 3-pt shot from 25 ft,,65-67,,
2:54.0,,,65-67,,Defensive rebound by P. Mills
2:41.0,,,65-67,,L. Aldridge misses 2-pt shot from 19 ft
2:40.0,Defensive rebound by T. Harris,,65-67,,
2:22.0,T. Harris misses 3-pt shot from 24 ft,,65-67,,
2:20.0,,,65-67,,Defensive rebound by D. Lee
1:59.0,,,65-70,3,M. Ginobili makes 3-pt shot from 25 ft (assist by L. Aldridge)
1:41.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,65-70,,
1:40.0,,,65-70,,Defensive rebound by L. Aldridge
1:15.0,,,65-73,3,M. Ginobili makes 3-pt shot from 24 ft
1:01.0,B. Udrih makes 2-pt shot from 18 ft,2,67-73,,
0:42.0,,,67-75,2,P. Mills makes 2-pt shot from 2 ft (assist by D. Lee)
0:26.0,T. Harris misses 2-pt shot from 19 ft,,67-75,,
0:25.0,,,67-75,,Defensive rebound by L. Aldridge
0:02.0,,,67-75,,L. Aldridge misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by B. Udrih,,67-75,,
0:00.0,,,67-75,,D. Dedmon enters the game for L. Aldridge
0:00.0,B. Udrih misses 3-pt shot from 50 ft,,67-75,,
0:00.0,Offensive rebound by Team,,67-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,67-75,,Personal foul by D. Dedmon (drawn by A. Baynes)
11:43.0,J. Leuer misses 3-pt shot from 26 ft,,67-75,,
11:41.0,,,67-75,,Defensive rebound by J. Simmons
11:20.0,,,67-75,,Turnover by D. Dedmon (traveling)
11:12.0,Turnover by S. Johnson (bad pass; steal by D. Dedmon),,67-75,,
11:07.0,,,67-75,,Turnover by M. Ginobili (bad pass)
10:49.0,S. Johnson misses 3-pt shot from 25 ft,,67-75,,
10:48.0,,,67-75,,Defensive rebound by D. Dedmon
10:40.0,,,67-75,,Shooting foul by B. Udrih
10:40.0,,,67-76,1,P. Mills makes free throw 1 of 3
10:40.0,,,67-77,1,P. Mills makes free throw 2 of 3
10:40.0,,,67-78,1,P. Mills makes free throw 3 of 3
10:40.0,,,67-77,,P. Gasol enters the game for D. Lee
10:40.0,,,67-77,,K. Leonard enters the game for M. Ginobili
10:27.0,Shooting foul by P. Gasol (drawn by B. Udrih),,67-78,,
10:27.0,B. Udrih makes free throw 1 of 2,1,68-78,,
10:27.0,B. Udrih makes free throw 2 of 2,1,69-78,,
10:07.0,,,69-81,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Dedmon)
9:46.0,M. Morris misses 2-pt shot from 16 ft,,69-81,,
9:45.0,,,69-81,,Defensive rebound by J. Simmons
9:35.0,,,69-81,,Shooting foul by J. Leuer (drawn by J. Simmons)
9:35.0,,,69-82,1,J. Simmons makes free throw 1 of 2
9:35.0,,,69-82,,J. Simmons misses free throw 2 of 2
9:35.0,A. Drummond enters the game for A. Baynes,,69-82,,
9:34.0,Defensive rebound by A. Drummond,,69-82,,
9:13.0,Shooting foul by K. Leonard (drawn by S. Johnson),,69-82,,
9:13.0,S. Johnson makes free throw 1 of 2,1,70-82,,
9:13.0,S. Johnson makes free throw 2 of 2,1,71-82,,
9:03.0,,,71-82,,K. Leonard misses 2-pt shot at rim
9:02.0,Defensive rebound by B. Udrih,,71-82,,
8:55.0,Shooting foul by D. Dedmon (drawn by S. Johnson),,71-82,,
8:55.0,S. Johnson makes free throw 1 of 2,1,72-82,,
8:55.0,S. Johnson misses free throw 2 of 2,,72-82,,
8:55.0,,,71-82,,T. Parker enters the game for P. Mills
8:54.0,,,72-82,,Defensive rebound by P. Gasol
8:34.0,,,72-82,,Turnover by K. Leonard (bad pass; steal by M. Morris)
8:18.0,S. Johnson misses 3-pt shot from 25 ft,,72-82,,
8:17.0,,,72-82,,Defensive rebound by J. Simmons
8:08.0,,,72-82,,J. Simmons misses 3-pt shot from 25 ft
8:06.0,,,72-82,,Offensive rebound by D. Dedmon
7:47.0,,,72-84,2,P. Gasol makes 2-pt shot from 19 ft (assist by J. Simmons)
7:25.0,J. Leuer misses 3-pt shot from 25 ft,,72-84,,
7:24.0,Offensive rebound by A. Drummond,,72-84,,
7:21.0,A. Drummond makes 2-pt shot from 9 ft,2,74-84,,
7:05.0,,,74-84,,P. Gasol misses 2-pt shot from 19 ft (block by A. Drummond)
7:05.0,,,74-84,,Offensive rebound by Team
7:05.0,I. Smith enters the game for B. Udrih,,74-84,,
7:05.0,K. Caldwell-Pope enters the game for S. Johnson,,74-84,,
7:01.0,,,74-84,,T. Parker misses 2-pt shot from 21 ft
6:58.0,,,74-84,,Offensive rebound by Team
6:51.0,,,74-84,,Shooting foul by I. Smith (drawn by T. Parker)
6:51.0,,,74-85,1,T. Parker makes free throw 1 of 2
6:51.0,,,74-85,,T. Parker misses free throw 2 of 2
6:51.0,,,74-85,,K. Anderson enters the game for J. Simmons
6:51.0,,,74-85,,L. Aldridge enters the game for D. Dedmon
6:50.0,Defensive rebound by A. Drummond,,74-85,,
6:38.0,Turnover by A. Drummond (bad pass; steal by K. Leonard),,74-85,,
6:22.0,,,74-85,,T. Parker misses 2-pt shot at rim
6:21.0,,,74-85,,Offensive rebound by P. Gasol
6:21.0,,,74-87,2,P. Gasol makes 2-pt shot from 1 ft
5:54.0,J. Leuer makes 2-pt shot from 9 ft (assist by I. Smith),2,76-87,,
5:54.0,,,76-87,,San Antonio full timeout
5:54.0,T. Harris enters the game for M. Morris,,76-87,,
5:40.0,,,76-87,,Turnover by P. Gasol (bad pass; steal by A. Drummond)
5:36.0,K. Caldwell-Pope misses 2-pt shot at rim,,76-87,,
5:35.0,,,76-87,,Defensive rebound by P. Gasol
5:24.0,,,76-89,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Anderson)
5:08.0,T. Harris misses 2-pt shot from 2 ft,,76-89,,
5:07.0,Offensive rebound by A. Drummond,,76-89,,
5:07.0,A. Drummond makes 2-pt shot from 1 ft,2,78-89,,
4:53.0,,,78-89,,P. Gasol misses 2-pt shot from 19 ft
4:52.0,Defensive rebound by J. Leuer,,78-89,,
4:37.0,J. Leuer makes 2-pt shot from 19 ft (assist by K. Caldwell-Pope),2,80-89,,
4:20.0,,,80-89,,T. Parker misses 2-pt shot from 20 ft
4:19.0,Defensive rebound by A. Drummond,,80-89,,
4:14.0,Shooting foul by T. Parker (drawn by I. Smith),,80-89,,
4:14.0,I. Smith misses free throw 1 of 2,,80-89,,
4:14.0,Offensive rebound by Team,,80-89,,
4:14.0,I. Smith misses free throw 2 of 2,,80-89,,
4:14.0,,,80-89,,P. Mills enters the game for T. Parker
4:13.0,,,80-89,,Defensive rebound by L. Aldridge
3:47.0,,,80-89,,P. Mills misses 3-pt shot from 27 ft
3:46.0,Defensive rebound by A. Drummond,,80-89,,
3:34.0,I. Smith makes 2-pt shot from 2 ft,2,82-89,,
3:08.0,,,82-89,,L. Aldridge misses 2-pt shot from 13 ft
3:06.0,Defensive rebound by A. Drummond,,82-89,,
2:59.0,I. Smith makes 2-pt shot from 1 ft,2,84-89,,
2:40.0,Personal foul by T. Harris (drawn by P. Gasol),,84-89,,
2:40.0,Detroit full timeout,,84-89,,
2:30.0,,,84-89,,K. Leonard misses 2-pt shot from 13 ft
2:30.0,Defensive rebound by K. Caldwell-Pope,,84-89,,
2:22.0,I. Smith misses 2-pt shot from 8 ft,,84-89,,
2:20.0,,,84-89,,Defensive rebound by P. Gasol
2:07.0,,,84-92,3,K. Leonard makes 3-pt shot from 25 ft
1:51.0,Turnover by I. Smith (lost ball),,84-92,,
1:33.0,,,84-92,,K. Leonard misses 3-pt shot from 26 ft
1:31.0,,,84-92,,Offensive rebound by P. Gasol
1:10.0,,,84-92,,K. Leonard misses 2-pt shot from 2 ft
1:09.0,Defensive rebound by A. Drummond,,84-92,,
1:00.0,T. Harris misses 2-pt shot from 2 ft (block by P. Gasol),,84-92,,
0:58.0,,,84-92,,Defensive rebound by K. Leonard
0:40.0,,,84-92,,K. Leonard misses 2-pt shot from 17 ft
0:40.0,Defensive rebound by Team,,84-92,,
0:40.0,Detroit full timeout,,84-92,,
0:40.0,Turnover by Team (5 sec inbounds),,84-92,,
0:40.0,,,84-92,,D. Murray enters the game for K. Leonard
0:40.0,,,84-92,,D. Dedmon enters the game for L. Aldridge
0:40.0,,,84-92,,B. Forbes enters the game for P. Gasol
0:40.0,,,84-92,,D. Bertans enters the game for K. Anderson
0:40.0,,,84-92,,J. Simmons enters the game for P. Mills
0:38.0,Personal take foul by T. Harris (drawn by J. Simmons),,84-92,,
0:38.0,,,84-93,1,J. Simmons makes free throw 1 of 2
0:38.0,,,84-94,1,J. Simmons makes free throw 2 of 2
0:38.0,Detroit full timeout,,84-94,,
0:38.0,B. Udrih enters the game for I. Smith,,84-94,,
0:38.0,M. Morris enters the game for J. Leuer,,84-94,,
0:35.0,Shooting foul by D. Murray (drawn by K. Caldwell-Pope),,84-94,,
0:35.0,K. Caldwell-Pope misses free throw 1 of 3,,84-94,,
0:35.0,Offensive rebound by Team,,84-94,,
0:35.0,K. Caldwell-Pope makes free throw 2 of 3,1,85-94,,
0:35.0,K. Caldwell-Pope makes free throw 3 of 3,1,86-94,,
0:30.0,Personal foul by M. Morris (drawn by J. Simmons),,86-94,,
0:30.0,,,86-95,1,J. Simmons makes free throw 1 of 2
0:30.0,,,86-96,1,J. Simmons makes free throw 2 of 2
0:23.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,86-96,,
0:22.0,,,86-96,,Defensive rebound by D. Bertans
0:00.0,End of 4th quarter,,,,End of 4th quarter
