time,LA Clippers,pts.away,score,pts.home,Detroit
1:27.0,W. Johnson enters the game for B. Griffin,,19-33,,
1:27.0,,,19-33,,D. Hilliard enters the game for K. Caldwell-Pope
1:08.0,,,19-35,2,D. Hilliard makes 2-pt shot from 17 ft
0:57.0,Turnover by M. Speights (offensive foul),,19-35,,
0:57.0,Offensive foul by M. Speights,,19-35,,
0:40.0,,,19-35,,B. Udrih misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by A. Rivers,,19-35,,
0:35.0,Shooting foul by D. Hilliard (drawn by J. Crawford),,19-35,,
0:35.0,J. Crawford makes free throw 1 of 2,1,20-35,,
0:35.0,J. Crawford makes free throw 2 of 2,1,21-35,,
0:20.0,,,21-35,,A. Baynes misses 2-pt shot from 1 ft (block by W. Johnson)
0:18.0,Defensive rebound by J. Crawford,,21-35,,
0:02.0,M. Speights makes 2-pt shot from 1 ft (assist by J. Crawford),2,23-35,,
0:01.0,,,23-35,,B. Udrih misses 3-pt shot from 61 ft
0:00.0,,,23-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,23-37,2,M. Morris makes 2-pt shot from 2 ft (assist by J. Leuer)
11:26.0,Shooting foul by M. Morris (drawn by J. Crawford),,23-37,,
11:26.0,J. Crawford makes free throw 1 of 2,1,24-37,,
11:26.0,J. Crawford makes free throw 2 of 2,1,25-37,,
11:26.0,,,24-37,,M. Gbinije enters the game for M. Morris
11:06.0,,,25-37,,B. Udrih misses 2-pt shot from 10 ft
11:05.0,Defensive rebound by J. Crawford,,25-37,,
10:59.0,Turnover by A. Rivers (lost ball; steal by D. Hilliard),,25-37,,
10:58.0,Personal foul by M. Speights (drawn by D. Hilliard),,25-37,,
10:45.0,Personal foul by R. Felton (drawn by A. Baynes),,25-37,,
10:33.0,,,25-37,,J. Leuer misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by W. Johnson,,25-37,,
10:15.0,M. Speights misses 2-pt shot from 6 ft,,25-37,,
10:14.0,,,25-37,,Defensive rebound by M. Gbinije
10:04.0,,,25-37,,D. Hilliard misses 2-pt shot from 8 ft
10:03.0,,,25-37,,Offensive rebound by D. Hilliard
10:00.0,,,25-39,2,D. Hilliard makes 2-pt shot from 1 ft
9:43.0,J. Crawford misses 3-pt shot from 26 ft,,25-39,,
9:42.0,,,25-39,,Defensive rebound by J. Leuer
9:33.0,,,25-41,2,B. Udrih makes 2-pt shot from 10 ft
9:14.0,A. Rivers makes 2-pt shot from 1 ft,2,27-41,,
9:00.0,,,27-43,2,B. Udrih makes 2-pt shot from 1 ft (assist by J. Leuer)
8:41.0,Turnover by A. Rivers (bad pass),,27-43,,
8:41.0,Official timeout,,27-43,,
8:30.0,,,27-43,,J. Leuer misses 2-pt shot from 9 ft
8:29.0,Defensive rebound by W. Johnson,,27-43,,
8:21.0,M. Speights misses 3-pt shot from 26 ft,,27-43,,
8:20.0,,,27-43,,Defensive rebound by D. Hilliard
8:11.0,,,27-43,,A. Baynes misses 2-pt shot from 6 ft
8:10.0,,,27-43,,Offensive rebound by A. Baynes
8:06.0,,,27-45,2,J. Leuer makes 2-pt shot from 10 ft
7:42.0,M. Speights misses 3-pt shot from 27 ft,,27-45,,
7:41.0,,,27-45,,Defensive rebound by A. Baynes
7:34.0,,,27-45,,A. Baynes misses 2-pt shot from 12 ft
7:33.0,,,27-45,,Offensive rebound by J. Leuer
7:29.0,,,27-45,,J. Leuer misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by W. Johnson,,27-45,,
7:17.0,W. Johnson makes 3-pt shot from 24 ft (assist by J. Crawford),3,30-45,,
7:00.0,,,30-45,,B. Udrih misses 2-pt shot from 14 ft
6:59.0,Defensive rebound by J. Crawford,,30-45,,
6:59.0,,,30-45,,Loose ball foul by A. Baynes (drawn by M. Speights)
6:59.0,C. Paul enters the game for A. Rivers,,30-45,,
6:59.0,B. Griffin enters the game for M. Speights,,30-45,,
6:59.0,D. Jordan enters the game for R. Felton,,30-45,,
6:59.0,J. Redick enters the game for W. Johnson,,30-45,,
6:59.0,,,30-45,,I. Smith enters the game for A. Baynes
6:59.0,,,30-45,,A. Drummond enters the game for B. Udrih
6:45.0,J. Crawford makes 2-pt shot from 15 ft,2,32-45,,
6:26.0,,,32-47,2,A. Drummond makes 2-pt shot from 1 ft (assist by D. Hilliard)
6:11.0,J. Crawford makes 2-pt shot from 17 ft,2,34-47,,
5:54.0,,,34-47,,Turnover by A. Drummond (palming)
5:54.0,,,34-47,,Detroit full timeout
5:54.0,,,34-47,,K. Caldwell-Pope enters the game for M. Gbinije
5:40.0,Shooting foul by A. Drummond (drawn by B. Griffin),,34-47,,
5:40.0,B. Griffin makes free throw 1 of 2,1,35-47,,
5:40.0,B. Griffin misses free throw 2 of 2,,35-47,,
5:40.0,,,35-47,,Defensive rebound by J. Leuer
5:40.0,,,35-47,,A. Baynes enters the game for A. Drummond
5:24.0,,,35-49,2,A. Baynes makes 2-pt shot from 1 ft (assist by J. Leuer)
5:11.0,J. Crawford misses 2-pt shot from 20 ft,,35-49,,
5:10.0,Offensive rebound by B. Griffin,,35-49,,
5:04.0,,,35-49,,T. Harris enters the game for J. Leuer
5:04.0,Jump ball: C. Paul vs. I. Smith (D. Jordan gains possession),,,,Jump ball: C. Paul vs. I. Smith (D. Jordan gains possession)
5:01.0,,,35-49,,Personal foul by D. Hilliard (drawn by J. Crawford)
4:49.0,Shooting foul by T. Harris (drawn by B. Griffin),,35-49,,
4:49.0,B. Griffin makes free throw 1 of 2,1,36-49,,
4:49.0,B. Griffin makes free throw 2 of 2,1,37-49,,
4:33.0,,,37-49,,T. Harris misses 2-pt shot from 13 ft
4:32.0,Defensive rebound by Team,,37-49,,
4:16.0,B. Griffin misses 2-pt shot from 19 ft,,37-49,,
4:15.0,Offensive rebound by D. Jordan,,37-49,,
4:14.0,Shooting foul by A. Baynes (drawn by D. Jordan),,37-49,,
4:14.0,D. Jordan misses free throw 1 of 2,,37-49,,
4:14.0,Offensive rebound by Team,,37-49,,
4:14.0,D. Jordan makes free throw 2 of 2,1,38-49,,
3:56.0,,,38-49,,D. Hilliard misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by C. Paul,,38-49,,
3:50.0,Shooting foul by I. Smith (drawn by C. Paul),,38-49,,
3:50.0,C. Paul makes free throw 1 of 3,1,39-49,,
3:50.0,C. Paul makes free throw 2 of 3,1,40-49,,
3:50.0,C. Paul makes free throw 3 of 3,1,41-49,,
3:34.0,,,41-51,2,T. Harris makes 2-pt shot from 16 ft (assist by I. Smith)
3:13.0,C. Paul makes 3-pt shot from 23 ft (assist by B. Griffin),3,44-51,,
3:07.0,,,44-51,,Detroit full timeout
2:55.0,,,44-53,2,T. Harris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
2:35.0,B. Griffin misses 2-pt shot at rim,,44-53,,
2:34.0,,,44-53,,Defensive rebound by D. Hilliard
2:21.0,,,44-53,,K. Caldwell-Pope misses 2-pt shot from 14 ft
2:20.0,Defensive rebound by J. Crawford,,44-53,,
2:11.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,46-53,,
1:43.0,,,46-53,,I. Smith misses 2-pt shot from 14 ft
1:42.0,Defensive rebound by J. Redick,,46-53,,
1:30.0,Turnover by C. Paul (lost ball; steal by I. Smith),,46-53,,
1:30.0,Loose ball foul by D. Jordan (drawn by I. Smith),,46-53,,
1:12.0,,,46-53,,Turnover by A. Baynes (3 sec)
1:01.0,C. Paul misses 3-pt shot from 26 ft,,46-53,,
1:01.0,,,46-53,,Defensive rebound by A. Baynes
0:53.0,,,46-55,2,I. Smith makes 2-pt shot from 17 ft
0:49.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,48-55,,
0:36.0,,,48-57,2,A. Baynes makes 2-pt shot at rim (assist by K. Caldwell-Pope)
0:28.0,C. Paul misses 2-pt shot from 10 ft,,48-57,,
0:28.0,,,48-57,,Defensive rebound by I. Smith
0:05.0,,,48-57,,I. Smith misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by D. Jordan,,48-57,,
0:01.0,J. Crawford misses 3-pt shot from 37 ft,,48-57,,
0:00.0,Offensive rebound by Team,,48-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Personal foul by L. Mbah a Moute (drawn by M. Morris),,48-57,,
11:38.0,,,48-60,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith)
11:18.0,J. Redick misses 2-pt shot from 20 ft,,48-60,,
11:18.0,,,48-60,,Defensive rebound by A. Drummond
11:07.0,,,48-63,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by T. Harris)
10:49.0,J. Redick makes 2-pt shot from 14 ft (assist by C. Paul),2,50-63,,
10:36.0,Jump ball: K. Caldwell-Pope vs. B. Griffin (D. Jordan gains possession),,,,Jump ball: K. Caldwell-Pope vs. B. Griffin (D. Jordan gains possession)
10:36.0,,,50-63,,Turnover by K. Caldwell-Pope (lost ball)
10:24.0,Turnover by C. Paul (lost ball; steal by A. Drummond),,50-63,,
10:17.0,,,50-65,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
10:02.0,,,50-65,,Violation by M. Morris (kicked ball)
9:55.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,53-65,,
9:38.0,,,53-67,2,M. Morris makes 2-pt shot from 16 ft
9:18.0,Shooting foul by T. Harris (drawn by B. Griffin),,53-67,,
9:18.0,B. Griffin makes free throw 1 of 2,1,54-67,,
9:18.0,B. Griffin misses free throw 2 of 2,,54-67,,
9:17.0,,,54-67,,Defensive rebound by A. Drummond
8:59.0,,,54-69,2,T. Harris makes 2-pt shot from 9 ft (assist by K. Caldwell-Pope)
8:39.0,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul),2,56-69,,
8:23.0,,,56-69,,M. Morris misses 2-pt shot from 16 ft
8:22.0,,,56-69,,Offensive rebound by A. Drummond
8:15.0,,,56-69,,Turnover by K. Caldwell-Pope (bad pass; steal by B. Griffin)
8:07.0,J. Redick misses 3-pt shot from 26 ft,,56-69,,
8:06.0,,,56-69,,Defensive rebound by T. Harris
7:57.0,,,56-71,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
7:38.0,Turnover by J. Redick (lost ball),,56-71,,
7:24.0,,,56-71,,T. Harris misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by D. Jordan,,56-71,,
7:13.0,C. Paul misses 2-pt shot from 15 ft,,56-71,,
7:12.0,,,56-71,,Defensive rebound by A. Drummond
7:08.0,,,56-71,,I. Smith misses 2-pt shot from 4 ft (block by D. Jordan)
7:07.0,,,56-71,,Offensive rebound by Team
7:07.0,,,56-71,,Technical foul by I. Smith
7:07.0,Technical foul by D. Jordan,,56-71,,
7:00.0,,,56-71,,T. Harris misses 2-pt shot from 7 ft
6:59.0,Defensive rebound by C. Paul,,56-71,,
6:42.0,B. Griffin misses 2-pt shot from 18 ft,,56-71,,
6:41.0,,,56-71,,Defensive rebound by M. Morris
6:25.0,,,56-73,2,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
6:25.0,LA Clippers full timeout,,56-73,,
6:14.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,58-73,,
5:59.0,Personal foul by L. Mbah a Moute (drawn by M. Morris),,58-73,,
5:49.0,,,58-73,,Turnover by M. Morris (bad pass; steal by D. Jordan)
5:39.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Redick),2,60-73,,
5:39.0,Shooting foul by M. Morris (drawn by L. Mbah a Moute),,60-73,,
5:39.0,L. Mbah a Moute makes free throw 1 of 1,1,61-73,,
5:33.0,,,61-73,,Detroit full timeout
5:33.0,,,61-73,,J. Leuer enters the game for M. Morris
5:20.0,,,61-73,,Shooting foul by D. Jordan (drawn by A. Drummond)
5:20.0,,,61-73,,A. Drummond misses free throw 1 of 2
5:20.0,,,61-73,,Offensive rebound by Team
5:20.0,,,61-73,,A. Drummond misses free throw 2 of 2
5:19.0,Defensive rebound by D. Jordan,,61-73,,
5:10.0,,,61-73,,Personal foul by J. Leuer (drawn by B. Griffin)
5:06.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,63-73,,
4:42.0,,,63-73,,T. Harris misses 3-pt shot from 26 ft
4:41.0,Defensive rebound by D. Jordan,,63-73,,
4:31.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,65-73,,
4:25.0,,,65-73,,Detroit full timeout
4:11.0,,,65-73,,J. Leuer misses 2-pt shot from 12 ft
4:11.0,,,65-73,,Offensive rebound by Team
4:06.0,,,65-73,,Turnover by J. Leuer (illegal screen)
3:44.0,B. Griffin makes 2-pt shot from 15 ft (assist by C. Paul),2,67-73,,
3:14.0,,,67-75,2,I. Smith makes 2-pt shot from 18 ft
2:54.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,69-75,,
2:30.0,,,69-77,2,J. Leuer makes 2-pt shot from 20 ft (assist by K. Caldwell-Pope)
2:10.0,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul),2,71-77,,
1:54.0,,,71-80,3,J. Leuer makes 3-pt shot from 23 ft (assist by T. Harris)
1:31.0,C. Paul misses 2-pt shot from 20 ft,,71-80,,
1:30.0,Offensive rebound by L. Mbah a Moute,,71-80,,
1:27.0,,,71-80,,Personal foul by K. Caldwell-Pope (drawn by J. Redick)
1:27.0,J. Redick makes free throw 1 of 3,1,72-80,,
1:27.0,J. Redick makes free throw 2 of 3,1,73-80,,
1:27.0,J. Redick makes free throw 3 of 3,1,74-80,,
1:27.0,J. Crawford enters the game for L. Mbah a Moute,,73-80,,
1:27.0,A. Rivers enters the game for C. Paul,,73-80,,
1:16.0,,,74-80,,I. Smith misses 2-pt shot from 1 ft (block by D. Jordan)
1:14.0,Defensive rebound by D. Jordan,,74-80,,
1:08.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin),3,77-80,,
0:49.0,,,77-82,2,J. Leuer makes 2-pt shot from 7 ft
0:41.0,J. Redick makes 3-pt shot from 25 ft (assist by J. Crawford),3,80-82,,
0:26.0,,,80-82,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by Team,,80-82,,
0:25.0,M. Speights enters the game for D. Jordan,,80-82,,
0:25.0,,,80-82,,A. Baynes enters the game for A. Drummond
0:25.0,C. Paul enters the game for B. Griffin,,80-82,,
0:02.0,C. Paul misses 3-pt shot from 26 ft,,80-82,,
0:01.0,Offensive rebound by Team,,80-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Crawford misses 2-pt shot from 14 ft,,80-82,,
11:41.0,,,80-82,,Defensive rebound by B. Udrih
11:18.0,,,80-82,,M. Morris misses 2-pt shot from 1 ft
11:18.0,,,80-82,,Offensive rebound by J. Leuer
10:55.0,,,80-82,,M. Morris misses 3-pt shot from 27 ft
10:54.0,Defensive rebound by Team,,80-82,,
10:54.0,,,80-82,,Loose ball foul by A. Baynes (drawn by M. Speights)
10:34.0,J. Crawford makes 2-pt shot at rim,2,82-82,,
10:09.0,,,82-82,,M. Morris misses 2-pt shot from 6 ft
10:08.0,Defensive rebound by M. Speights,,82-82,,
10:00.0,R. Felton makes 2-pt shot from 1 ft (assist by J. Crawford),2,84-82,,
9:39.0,,,84-84,2,D. Hilliard makes 2-pt shot from 15 ft
9:22.0,M. Speights misses 2-pt shot from 18 ft,,84-84,,
9:21.0,,,84-84,,Defensive rebound by B. Udrih
9:10.0,,,84-84,,J. Leuer misses 3-pt shot from 26 ft
9:09.0,Defensive rebound by J. Crawford,,84-84,,
9:01.0,M. Speights misses 2-pt shot from 6 ft,,84-84,,
9:00.0,,,84-84,,Defensive rebound by J. Leuer
8:50.0,,,84-86,2,D. Hilliard makes 2-pt shot from 19 ft
8:50.0,,,84-86,,Shooting foul by M. Speights (drawn by D. Hilliard)
8:50.0,Official timeout,,84-86,,
8:50.0,,,84-87,1,D. Hilliard makes free throw 1 of 1
8:37.0,Shooting foul by A. Baynes (drawn by M. Speights),,84-87,,
8:37.0,M. Speights misses free throw 1 of 2,,84-87,,
8:37.0,Offensive rebound by Team,,84-87,,
8:37.0,M. Speights makes free throw 2 of 2,1,85-87,,
8:20.0,,,85-87,,Turnover by D. Hilliard (lost ball; steal by A. Rivers)
8:13.0,A. Rivers misses 2-pt shot from 1 ft,,85-87,,
8:12.0,Offensive rebound by M. Speights,,85-87,,
8:10.0,M. Speights misses 2-pt shot at rim,,85-87,,
8:09.0,,,85-87,,Defensive rebound by M. Morris
8:06.0,,,85-87,,Turnover by D. Hilliard (bad pass)
7:45.0,A. Rivers misses 2-pt shot from 2 ft,,85-87,,
7:44.0,,,85-87,,Defensive rebound by J. Leuer
7:23.0,,,85-89,2,M. Morris makes 2-pt shot from 19 ft
7:05.0,Shooting foul by J. Leuer (drawn by J. Crawford),,85-89,,
7:05.0,J. Crawford makes free throw 1 of 2,1,86-89,,
7:05.0,J. Crawford misses free throw 2 of 2,,86-89,,
7:05.0,,,86-89,,A. Drummond enters the game for A. Baynes
7:05.0,D. Jordan enters the game for M. Speights,,86-89,,
7:05.0,B. Griffin enters the game for W. Johnson,,86-89,,
7:04.0,,,86-89,,Defensive rebound by J. Leuer
6:45.0,,,86-92,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Leuer)
6:44.0,LA Clippers full timeout,,86-92,,
6:44.0,J. Redick enters the game for A. Rivers,,86-92,,
6:44.0,C. Paul enters the game for R. Felton,,86-92,,
6:44.0,,,86-92,,I. Smith enters the game for B. Udrih
6:44.0,,,86-92,,K. Caldwell-Pope enters the game for D. Hilliard
6:30.0,J. Crawford misses 2-pt shot from 10 ft,,86-92,,
6:29.0,,,86-92,,Defensive rebound by J. Leuer
6:18.0,,,86-92,,A. Drummond misses 2-pt shot from 6 ft
6:17.0,Defensive rebound by D. Jordan,,86-92,,
6:13.0,Turnover by J. Redick (bad pass),,86-92,,
5:56.0,,,86-94,2,M. Morris makes 2-pt shot from 18 ft
5:31.0,J. Crawford misses 2-pt shot from 16 ft,,86-94,,
5:30.0,,,86-94,,Defensive rebound by M. Morris
5:14.0,,,86-97,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by I. Smith)
5:14.0,LA Clippers full timeout,,86-97,,
5:14.0,L. Mbah a Moute enters the game for C. Paul,,86-97,,
5:14.0,C. Paul enters the game for J. Crawford,,86-97,,
5:00.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,88-97,,
4:40.0,,,88-97,,M. Morris misses 2-pt shot from 14 ft
4:39.0,Defensive rebound by D. Jordan,,88-97,,
4:39.0,,,88-97,,Personal foul by A. Drummond (drawn by D. Jordan)
4:30.0,B. Griffin makes 2-pt shot at rim,2,90-97,,
4:15.0,,,90-97,,K. Caldwell-Pope misses 3-pt shot from 27 ft
4:14.0,,,90-97,,Offensive rebound by A. Drummond
4:14.0,,,90-97,,A. Drummond misses 2-pt shot from 1 ft
4:13.0,,,90-97,,Offensive rebound by Team
4:13.0,Loose ball foul by C. Paul (drawn by A. Drummond),,90-97,,
3:57.0,,,90-99,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
3:49.0,Shooting foul by J. Leuer (drawn by B. Griffin),,90-99,,
3:49.0,B. Griffin misses free throw 1 of 2,,90-99,,
3:49.0,Offensive rebound by Team,,90-99,,
3:49.0,B. Griffin makes free throw 2 of 2,1,91-99,,
3:27.0,,,91-99,,J. Leuer misses 3-pt shot from 25 ft
3:26.0,,,91-99,,Offensive rebound by A. Drummond
3:25.0,,,91-99,,A. Drummond misses 2-pt shot from 1 ft
3:24.0,Defensive rebound by C. Paul,,91-99,,
3:13.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,91-99,,
3:12.0,,,91-99,,Defensive rebound by A. Drummond
3:02.0,,,91-102,3,I. Smith makes 3-pt shot from 25 ft
3:02.0,LA Clippers full timeout,,91-102,,
2:46.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,93-102,,
2:27.0,,,93-102,,K. Caldwell-Pope misses 2-pt shot from 6 ft
2:26.0,Defensive rebound by L. Mbah a Moute,,93-102,,
2:10.0,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul),2,95-102,,
1:45.0,,,95-102,,I. Smith misses 2-pt shot from 17 ft
1:44.0,Defensive rebound by J. Redick,,95-102,,
1:41.0,Turnover by J. Redick (offensive foul),,95-102,,
1:41.0,Offensive charge foul by J. Redick,,95-102,,
1:41.0,J. Crawford enters the game for L. Mbah a Moute,,95-102,,
1:26.0,,,95-104,2,M. Morris makes 2-pt shot from 6 ft
1:08.0,B. Griffin misses 2-pt shot from 5 ft,,95-104,,
1:07.0,Offensive rebound by D. Jordan,,95-104,,
1:04.0,D. Jordan makes 2-pt shot from 1 ft,2,97-104,,
0:51.0,,,97-104,,Detroit full timeout
0:50.0,,,97-104,,Turnover by M. Morris (bad pass; steal by C. Paul)
0:45.0,Turnover by C. Paul (bad pass; steal by J. Leuer),,97-104,,
0:41.0,,,97-106,2,M. Morris makes 2-pt shot at rim (assist by I. Smith)
0:41.0,LA Clippers full timeout,,97-106,,
0:33.0,J. Redick misses 3-pt shot from 26 ft,,97-106,,
0:32.0,,,97-106,,Defensive rebound by I. Smith
0:32.0,Personal foul by C. Paul (drawn by I. Smith),,97-106,,
0:32.0,,,97-106,,A. Baynes enters the game for A. Drummond
