time,Utah,pts.away,score,pts.home,Houston
8:37.0,,,38-31,,Shooting foul by D. Exum (drawn by L. Williams)
8:37.0,,,38-31,,L. Williams misses free throw 1 of 3
8:37.0,,,38-31,,Offensive rebound by Team
8:37.0,,,38-32,1,L. Williams makes free throw 2 of 3
8:37.0,,,38-33,1,L. Williams makes free throw 3 of 3
8:30.0,D. Exum makes 2-pt shot from 1 ft,2,40-33,,
8:30.0,Shooting foul by P. Beverley (drawn by D. Exum),,40-33,,
8:30.0,D. Exum makes free throw 1 of 1,1,41-33,,
8:21.0,,,41-33,,E. Gordon misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by A. Burks,,41-33,,
8:06.0,Turnover by J. Ingles (bad pass; steal by S. Dekker),,41-33,,
8:02.0,,,41-35,2,S. Dekker makes 2-pt shot from 1 ft
7:45.0,J. Ingles makes 3-pt shot from 24 ft (assist by B. Diaw),3,44-35,,
7:36.0,,,44-35,,Shooting foul by D. Exum (drawn by L. Williams)
7:36.0,,,44-36,1,L. Williams makes free throw 1 of 2
7:36.0,,,44-37,1,L. Williams makes free throw 2 of 2
7:36.0,,,44-36,,C. Capela enters the game for M. Harrell
7:36.0,G. Hayward enters the game for D. Exum,,44-36,,
7:36.0,R. Gobert enters the game for J. Withey,,44-36,,
7:15.0,G. Hayward misses 3-pt shot from 23 ft,,44-37,,
7:14.0,Offensive rebound by B. Diaw,,44-37,,
7:13.0,B. Diaw misses 2-pt shot from 2 ft,,44-37,,
7:13.0,Offensive rebound by B. Diaw,,44-37,,
7:13.0,B. Diaw makes 2-pt shot from 2 ft,2,46-37,,
7:01.0,,,46-37,,E. Gordon misses 2-pt shot from 4 ft
6:59.0,,,46-37,,Offensive rebound by C. Capela
6:56.0,,,46-37,,S. Dekker misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by R. Gobert,,46-37,,
6:43.0,R. Gobert misses 2-pt shot from 1 ft (block by L. Williams),,46-37,,
6:42.0,Offensive rebound by J. Ingles,,46-37,,
6:32.0,A. Burks makes 3-pt shot from 25 ft,3,49-37,,
6:23.0,,,49-40,3,L. Williams makes 3-pt shot from 25 ft
6:04.0,A. Burks makes 2-pt shot from 12 ft,2,51-40,,
5:53.0,,,51-40,,P. Beverley misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by A. Burks,,51-40,,
5:45.0,Shooting foul by E. Gordon (drawn by R. Gobert),,51-40,,
5:45.0,Official timeout,,51-40,,
5:45.0,R. Gobert makes free throw 1 of 2,1,52-40,,
5:45.0,R. Gobert makes free throw 2 of 2,1,53-40,,
5:45.0,,,51-40,,T. Ariza enters the game for L. Williams
5:45.0,,,51-40,,J. Harden enters the game for S. Dekker
5:45.0,R. Hood enters the game for J. Ingles,,51-40,,
5:45.0,J. Johnson enters the game for B. Diaw,,51-40,,
5:30.0,,,53-40,,Shooting foul by R. Hood (drawn by J. Harden)
5:30.0,,,53-41,1,J. Harden makes free throw 1 of 3
5:30.0,,,53-42,1,J. Harden makes free throw 2 of 3
5:30.0,,,53-43,1,J. Harden makes free throw 3 of 3
5:11.0,Turnover by R. Gobert (3 sec),,53-43,,
4:53.0,,,53-43,,P. Beverley misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by R. Hood,,53-43,,
4:35.0,G. Hayward makes 2-pt shot at rim (assist by R. Hood),2,55-43,,
4:23.0,,,55-46,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
3:57.0,A. Burks misses 2-pt shot from 1 ft,,55-46,,
3:56.0,,,55-46,,Defensive rebound by C. Capela
3:46.0,,,55-48,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
3:31.0,A. Burks makes 3-pt shot from 25 ft,3,58-48,,
3:12.0,,,58-48,,C. Capela misses 2-pt shot from 5 ft
3:11.0,Defensive rebound by R. Hood,,58-48,,
2:54.0,R. Gobert makes 2-pt shot at rim (assist by J. Johnson),2,60-48,,
2:38.0,,,60-48,,Shooting foul by R. Hood (drawn by J. Harden)
2:38.0,,,60-48,,Houston full timeout
2:38.0,,,60-49,1,J. Harden makes free throw 1 of 3
2:38.0,,,60-50,1,J. Harden makes free throw 2 of 3
2:38.0,,,60-51,1,J. Harden makes free throw 3 of 3
2:38.0,,,60-48,,S. Dekker enters the game for P. Beverley
2:38.0,R. Neto enters the game for A. Burks,,60-48,,
2:21.0,J. Johnson misses 3-pt shot from 23 ft,,60-51,,
2:19.0,,,60-51,,Defensive rebound by C. Capela
2:05.0,,,60-51,,J. Harden misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by J. Johnson,,60-51,,
1:54.0,G. Hayward misses 3-pt shot from 25 ft,,60-51,,
1:53.0,,,60-51,,Defensive rebound by E. Gordon
1:48.0,,,60-51,,Turnover by J. Harden (bad pass)
1:48.0,J. Ingles enters the game for R. Neto,,60-51,,
1:35.0,Shooting foul by S. Dekker (drawn by R. Gobert),,60-51,,
1:35.0,R. Gobert makes free throw 1 of 2,1,61-51,,
1:35.0,R. Gobert makes free throw 2 of 2,1,62-51,,
1:19.0,,,62-51,,J. Harden misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by G. Hayward,,62-51,,
0:57.0,J. Johnson misses 2-pt shot from 20 ft,,62-51,,
0:56.0,,,62-51,,Defensive rebound by J. Harden
0:45.0,,,62-53,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
0:39.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,64-53,,
0:31.0,,,64-53,,J. Harden misses 2-pt shot from 18 ft
0:30.0,Defensive rebound by R. Hood,,64-53,,
0:07.0,G. Hayward misses 2-pt shot from 17 ft,,64-53,,
0:07.0,Offensive rebound by Team,,64-53,,
0:07.0,Turnover by Team (shot clock),,64-53,,
0:07.0,A. Burks enters the game for R. Hood,,64-53,,
0:07.0,,,64-53,,L. Williams enters the game for S. Dekker
0:00.0,,,64-53,,J. Harden misses 2-pt shot at rim (block by R. Gobert)
0:00.0,,,64-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,64-53,,Offensive foul by C. Capela
11:47.0,,,64-53,,Turnover by C. Capela (offensive foul)
11:24.0,R. Hood misses 2-pt shot from 6 ft,,64-53,,
11:23.0,,,64-53,,Defensive rebound by E. Gordon
11:17.0,,,64-53,,J. Harden misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by D. Exum,,64-53,,
11:08.0,Turnover by D. Exum (bad pass; steal by P. Beverley),,64-53,,
11:07.0,Personal foul by D. Exum (drawn by P. Beverley),,64-53,,
11:07.0,R. Neto enters the game for D. Exum,,64-53,,
10:53.0,,,64-53,,C. Capela misses 2-pt shot from 1 ft
10:53.0,,,64-53,,Offensive rebound by C. Capela
10:52.0,,,64-55,2,C. Capela makes 2-pt shot from 5 ft
10:28.0,R. Neto misses 2-pt shot from 21 ft,,64-55,,
10:25.0,Offensive rebound by R. Neto,,64-55,,
10:08.0,R. Neto misses 3-pt shot from 24 ft,,64-55,,
10:07.0,,,64-55,,Defensive rebound by J. Harden
10:00.0,,,64-57,2,J. Harden makes 2-pt shot from 1 ft
9:44.0,Turnover by R. Hood (offensive foul),,64-57,,
9:44.0,Offensive charge foul by R. Hood,,64-57,,
9:31.0,,,64-57,,E. Gordon misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by G. Hayward,,64-57,,
9:21.0,G. Hayward makes 2-pt shot from 13 ft,2,66-57,,
9:06.0,,,66-57,,T. Ariza misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by G. Hayward,,66-57,,
8:49.0,R. Hood makes 3-pt shot from 24 ft (assist by J. Johnson),3,69-57,,
8:30.0,,,69-59,2,J. Harden makes 2-pt shot from 5 ft (assist by C. Capela)
8:12.0,G. Hayward misses 3-pt shot from 25 ft,,69-59,,
8:11.0,,,69-59,,Defensive rebound by T. Ariza
8:01.0,,,69-61,2,J. Harden makes 2-pt shot from 2 ft (assist by C. Capela)
7:38.0,R. Hood misses 3-pt shot from 25 ft,,69-61,,
7:36.0,,,69-61,,Defensive rebound by P. Beverley
7:31.0,,,69-63,2,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley)
7:30.0,Utah full timeout,,69-63,,
7:30.0,J. Ingles enters the game for J. Johnson,,69-63,,
7:18.0,Turnover by R. Neto (lost ball),,69-63,,
7:08.0,,,69-63,,J. Harden misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by J. Ingles,,69-63,,
7:02.0,Turnover by J. Ingles (lost ball; steal by P. Beverley),,69-63,,
6:52.0,,,69-65,2,J. Harden makes 2-pt shot from 14 ft
6:45.0,,,69-65,,Personal foul by P. Beverley (drawn by R. Neto)
6:30.0,R. Neto misses 2-pt shot from 2 ft (block by J. Harden),,69-65,,
6:29.0,Offensive rebound by Team,,69-65,,
6:27.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,71-65,,
6:13.0,,,71-65,,P. Beverley misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by G. Hayward,,71-65,,
5:55.0,Turnover by R. Hood (bad pass),,71-65,,
5:55.0,Loose ball foul by R. Hood (drawn by T. Ariza),,71-65,,
5:55.0,J. Johnson enters the game for R. Hood,,71-65,,
5:42.0,,,71-65,,Shooting foul by R. Gobert (drawn by C. Capela)
5:42.0,,,71-65,,C. Capela misses free throw 1 of 2
5:42.0,,,71-65,,Offensive rebound by Team
5:42.0,,,71-65,,C. Capela misses free throw 2 of 2
5:42.0,Defensive rebound by R. Gobert,,71-65,,
5:42.0,,,71-65,,L. Williams enters the game for P. Beverley
5:32.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,73-65,,
5:22.0,,,73-65,,L. Williams misses 3-pt shot from 24 ft
5:21.0,,,73-65,,Offensive rebound by C. Capela
5:15.0,,,73-67,2,C. Capela makes 2-pt shot at rim (assist by L. Williams)
4:53.0,,,73-67,,Personal foul by L. Williams (drawn by R. Neto)
4:53.0,A. Burks enters the game for R. Neto,,73-67,,
4:47.0,,,73-67,,Personal foul by E. Gordon (drawn by G. Hayward)
4:41.0,J. Ingles misses 3-pt shot from 25 ft,,73-67,,
4:39.0,,,73-67,,Defensive rebound by C. Capela
4:28.0,,,73-70,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
4:05.0,A. Burks misses 3-pt shot from 25 ft,,73-70,,
4:04.0,,,73-70,,Defensive rebound by L. Williams
4:02.0,,,73-70,,Turnover by J. Harden (lost ball)
3:49.0,G. Hayward makes 2-pt shot from 18 ft,2,75-70,,
3:38.0,,,75-70,,Shooting foul by J. Ingles (drawn by J. Harden)
3:38.0,,,75-71,1,J. Harden makes free throw 1 of 3
3:38.0,,,75-71,,J. Harden misses free throw 2 of 3
