time,Phoenix,pts.away,score,pts.home,Memphis
11:28.0,Defensive rebound by A. Len,,17-24,,
11:21.0,J. Dudley misses 3-pt shot from 25 ft,,17-24,,
11:18.0,,,17-24,,Defensive rebound by J. Ennis
11:07.0,,,17-27,3,M. Conley makes 3-pt shot from 24 ft
10:51.0,B. Knight misses 2-pt shot from 2 ft (block by B. Wright),,17-27,,
10:48.0,Offensive rebound by L. Barbosa,,17-27,,
10:45.0,B. Knight makes 3-pt shot from 24 ft (assist by J. Dudley),3,20-27,,
10:24.0,,,20-29,2,T. Douglas makes 2-pt shot from 18 ft (assist by M. Conley)
10:07.0,,,20-29,,Personal foul by B. Wright (drawn by A. Len)
9:53.0,L. Barbosa misses 2-pt shot from 4 ft,,20-29,,
9:53.0,,,20-29,,Defensive rebound by Team
9:53.0,Loose ball foul by A. Len (drawn by B. Wright),,20-29,,
9:39.0,,,20-31,2,C. Parsons makes 2-pt shot from 14 ft (assist by M. Conley)
9:39.0,Flagrant foul type 1 by L. Barbosa (drawn by C. Parsons),,20-31,,
9:39.0,,,20-31,,C. Parsons misses flagrant free throw 1 of 2
9:39.0,,,20-31,,Offensive rebound by Team
9:39.0,,,20-31,,C. Parsons misses flagrant free throw 2 of 2
9:39.0,,,20-31,,Offensive rebound by Team
9:29.0,,,20-31,,C. Parsons misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by J. Dudley,,20-31,,
9:07.0,J. Dudley makes 2-pt shot from 2 ft (assist by B. Knight),2,22-31,,
8:42.0,,,22-31,,B. Wright misses 2-pt shot from 1 ft (block by A. Len)
8:39.0,Defensive rebound by L. Barbosa,,22-31,,
8:37.0,Shooting foul by C. Parsons (drawn by B. Knight),,22-31,,
8:37.0,B. Knight makes free throw 1 of 2,1,23-31,,
8:37.0,B. Knight makes free throw 2 of 2,1,24-31,,
8:37.0,,,22-31,,T. Daniels enters the game for C. Parsons
8:37.0,,,22-31,,M. Gasol enters the game for T. Douglas
8:37.0,,,22-31,,J. Green enters the game for J. Ennis
8:37.0,,,22-31,,T. Allen enters the game for B. Wright
8:20.0,Personal foul by B. Knight (drawn by M. Conley),,24-31,,
8:07.0,,,24-33,2,J. Green makes 2-pt shot from 13 ft
7:47.0,B. Knight makes 3-pt shot from 24 ft (assist by L. Barbosa),3,27-33,,
7:24.0,,,27-33,,Turnover by M. Conley (bad pass)
7:13.0,B. Knight misses 2-pt shot from 22 ft,,27-33,,
7:13.0,Offensive rebound by Team,,27-33,,
7:13.0,,,27-33,,Loose ball foul by M. Gasol (drawn by A. Len)
7:05.0,L. Barbosa misses 2-pt shot from 21 ft,,27-33,,
7:04.0,,,27-33,,Defensive rebound by J. Green
6:48.0,Personal block foul by J. Dudley (drawn by J. Green),,27-33,,
6:42.0,Personal foul by B. Knight (drawn by J. Green),,27-33,,
6:42.0,,,27-34,1,J. Green makes free throw 1 of 2
6:42.0,,,27-35,1,J. Green makes free throw 2 of 2
6:34.0,Shooting foul by J. Green (drawn by J. Dudley),,27-35,,
6:34.0,J. Dudley misses free throw 1 of 2,,27-35,,
6:34.0,Offensive rebound by Team,,27-35,,
6:34.0,J. Dudley makes free throw 2 of 2,1,28-35,,
6:23.0,,,28-35,,Turnover by J. Green (offensive foul)
6:23.0,,,28-35,,Offensive foul by J. Green
6:05.0,Turnover by L. Barbosa (lost ball),,28-35,,
5:47.0,,,28-37,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
5:30.0,J. Dudley misses 2-pt shot from 21 ft,,28-37,,
5:29.0,Offensive rebound by P. Tucker,,28-37,,
5:23.0,L. Barbosa misses 3-pt shot from 24 ft,,28-37,,
5:20.0,Offensive rebound by B. Knight,,28-37,,
5:15.0,A. Len makes 2-pt shot from 2 ft (assist by J. Dudley),2,30-37,,
5:15.0,,,30-37,,Memphis full timeout
5:15.0,,,30-37,,T. Douglas enters the game for M. Conley
4:55.0,Personal foul by A. Len (drawn by M. Gasol),,30-37,,
4:55.0,,,30-38,1,M. Gasol makes free throw 1 of 2
4:55.0,,,30-39,1,M. Gasol makes free throw 2 of 2
4:46.0,L. Barbosa misses 2-pt shot from 22 ft,,30-39,,
4:46.0,,,30-39,,Defensive rebound by T. Daniels
4:35.0,,,30-42,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Douglas)
4:25.0,B. Knight misses 3-pt shot from 24 ft,,30-42,,
4:22.0,,,30-42,,Defensive rebound by T. Allen
4:03.0,,,30-42,,T. Douglas misses 2-pt shot from 2 ft (block by L. Barbosa)
4:02.0,,,30-42,,Offensive rebound by T. Douglas
4:00.0,,,30-42,,Turnover by T. Douglas (bad pass; steal by P. Tucker)
3:42.0,Turnover by B. Knight (offensive foul),,30-42,,
3:42.0,Offensive charge foul by B. Knight,,30-42,,
3:42.0,E. Bledsoe enters the game for B. Knight,,30-42,,
3:42.0,T. Warren enters the game for J. Dudley,,30-42,,
3:42.0,D. Booker enters the game for L. Barbosa,,30-42,,
3:31.0,,,30-42,,Turnover by M. Gasol (lost ball; steal by E. Bledsoe)
3:25.0,E. Bledsoe misses 2-pt shot from 3 ft,,30-42,,
3:25.0,Offensive rebound by Team,,30-42,,
3:21.0,T. Warren misses 2-pt shot from 9 ft,,30-42,,
3:21.0,,,30-42,,Defensive rebound by Team
3:21.0,Loose ball foul by A. Len (drawn by T. Allen),,30-42,,
3:21.0,,,30-43,1,T. Allen makes free throw 1 of 2
3:21.0,,,30-43,,T. Allen misses free throw 2 of 2
3:21.0,T. Chandler enters the game for P. Tucker,,30-43,,
3:21.0,M. Chriss enters the game for A. Len,,30-43,,
3:21.0,,,30-43,,M. Conley enters the game for T. Douglas
3:19.0,Defensive rebound by T. Warren,,30-43,,
2:57.0,T. Warren makes 2-pt shot from 9 ft,2,32-43,,
2:57.0,Shooting foul by T. Daniels,,32-43,,
2:57.0,Phoenix full timeout,,32-43,,
2:57.0,T. Warren misses free throw 1 of 1,,32-43,,
2:55.0,,,32-43,,Defensive rebound by J. Green
2:37.0,,,32-45,2,M. Gasol makes 2-pt shot from 6 ft
2:19.0,M. Chriss misses 3-pt shot from 24 ft,,32-45,,
2:18.0,,,32-45,,Defensive rebound by T. Allen
2:09.0,,,32-45,,M. Gasol misses 3-pt shot from 26 ft
2:08.0,,,32-45,,Offensive rebound by T. Allen
2:05.0,,,32-45,,T. Allen misses 2-pt shot from 1 ft
2:05.0,,,32-45,,Offensive rebound by T. Allen
2:05.0,,,32-45,,Shooting foul by M. Chriss (drawn by T. Allen)
2:05.0,,,32-46,1,T. Allen makes free throw 1 of 2
2:05.0,,,32-46,,T. Allen misses free throw 2 of 2
2:04.0,Defensive rebound by T. Warren,,32-46,,
1:51.0,E. Bledsoe misses 2-pt shot from 2 ft,,32-46,,
1:51.0,,,32-46,,Defensive rebound by Team
1:37.0,,,32-46,,Turnover by M. Gasol (lost ball; steal by T. Warren)
1:31.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by M. Chriss),2,34-46,,
1:09.0,,,34-46,,T. Daniels misses 3-pt shot from 27 ft
1:08.0,,,34-46,,Offensive rebound by J. Green
1:02.0,,,34-46,,T. Daniels misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by T. Warren,,34-46,,
0:51.0,Shooting foul by T. Daniels (drawn by D. Booker),,34-46,,
0:51.0,D. Booker makes free throw 1 of 2,1,35-46,,
0:51.0,D. Booker makes free throw 2 of 2,1,36-46,,
0:51.0,,,35-46,,B. Wright enters the game for J. Green
0:51.0,,,35-46,,T. Douglas enters the game for M. Conley
0:51.0,,,35-46,,J. Ennis enters the game for T. Daniels
0:31.0,,,36-46,,Turnover by J. Ennis (bad pass; steal by T. Chandler)
0:27.0,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,38-46,,
0:01.0,,,38-46,,T. Allen misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by T. Chandler,,38-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Shooting foul by M. Conley (drawn by E. Bledsoe),,38-46,,
11:52.0,E. Bledsoe makes free throw 1 of 3,1,39-46,,
11:52.0,E. Bledsoe makes free throw 2 of 3,1,40-46,,
11:52.0,E. Bledsoe makes free throw 3 of 3,1,41-46,,
11:37.0,,,41-49,3,J. Green makes 3-pt shot from 25 ft (assist by M. Gasol)
11:09.0,E. Bledsoe misses 2-pt shot from 2 ft,,41-49,,
11:06.0,Offensive rebound by T. Chandler,,41-49,,
11:06.0,T. Chandler misses 2-pt shot from 2 ft,,41-49,,
11:03.0,Offensive rebound by T. Chandler,,41-49,,
11:03.0,T. Chandler misses 2-pt shot from 2 ft,,41-49,,
11:00.0,,,41-49,,Defensive rebound by M. Gasol
10:53.0,,,41-51,2,M. Conley makes 2-pt shot from 2 ft
10:47.0,D. Booker makes 2-pt shot from 8 ft,2,43-51,,
10:31.0,,,43-51,,Turnover by J. Green (traveling)
10:11.0,E. Bledsoe misses 3-pt shot from 25 ft,,43-51,,
10:10.0,,,43-51,,Defensive rebound by J. Green
9:54.0,,,43-51,,Turnover by M. Conley (lost ball; steal by T. Chandler)
9:46.0,M. Chriss misses 2-pt shot at rim,,43-51,,
9:42.0,Offensive rebound by T. Chandler,,43-51,,
9:42.0,Shooting foul by M. Gasol (drawn by T. Chandler),,43-51,,
9:42.0,T. Chandler misses free throw 1 of 2,,43-51,,
9:42.0,Offensive rebound by Team,,43-51,,
9:42.0,T. Chandler makes free throw 2 of 2,1,44-51,,
9:32.0,,,44-51,,Turnover by T. Allen (bad pass)
9:23.0,Shooting foul by T. Allen (drawn by E. Bledsoe),,44-51,,
9:23.0,E. Bledsoe makes free throw 1 of 2,1,45-51,,
9:23.0,E. Bledsoe makes free throw 2 of 2,1,46-51,,
9:19.0,,,46-51,,Memphis full timeout
9:07.0,,,46-51,,Shooting foul by T. Warren (drawn by M. Gasol)
9:07.0,,,46-52,1,M. Gasol makes free throw 1 of 2
9:07.0,,,46-53,1,M. Gasol makes free throw 2 of 2
8:51.0,E. Bledsoe misses 2-pt shot from 22 ft,,46-53,,
8:51.0,,,46-53,,Defensive rebound by M. Gasol
8:46.0,,,46-55,2,T. Allen makes 2-pt shot at rim (assist by C. Parsons)
8:26.0,Shooting foul by J. Green (drawn by M. Chriss),,46-55,,
8:26.0,M. Chriss makes free throw 1 of 2,1,47-55,,
8:26.0,M. Chriss misses free throw 2 of 2,,47-55,,
8:24.0,Offensive rebound by T. Chandler,,47-55,,
8:08.0,Turnover by E. Bledsoe (lost ball; steal by M. Conley),,47-55,,
7:53.0,,,47-57,2,M. Gasol makes 2-pt shot from 21 ft (assist by C. Parsons)
7:39.0,E. Bledsoe misses 3-pt shot from 25 ft,,47-57,,
7:38.0,,,47-57,,Defensive rebound by J. Green
7:31.0,,,47-57,,Shooting foul by D. Booker (drawn by M. Conley)
7:31.0,,,47-59,2,M. Conley makes 2-pt shot from 3 ft
7:31.0,,,47-60,1,M. Conley makes free throw 1 of 1
7:26.0,Phoenix full timeout,,47-60,,
7:14.0,T. Warren misses 2-pt shot from 9 ft,,47-60,,
7:13.0,Offensive rebound by M. Chriss,,47-60,,
7:06.0,T. Chandler misses 2-pt shot from 1 ft,,47-60,,
7:03.0,,,47-60,,Defensive rebound by C. Parsons
6:51.0,,,47-60,,Turnover by M. Conley (bad pass; steal by M. Chriss)
6:48.0,Shooting foul by C. Parsons (drawn by D. Booker),,47-60,,
6:48.0,D. Booker misses free throw 1 of 2,,47-60,,
6:48.0,Offensive rebound by Team,,47-60,,
6:48.0,D. Booker makes free throw 2 of 2,1,48-60,,
6:32.0,,,48-60,,Shooting foul by M. Chriss (drawn by M. Gasol)
6:32.0,,,48-61,1,M. Gasol makes free throw 1 of 2
6:32.0,,,48-62,1,M. Gasol makes free throw 2 of 2
6:32.0,,,48-61,,B. Wright enters the game for J. Green
6:17.0,D. Booker misses 3-pt shot from 24 ft,,48-62,,
6:15.0,,,48-62,,Defensive rebound by Team
6:15.0,,,48-62,,J. Ennis enters the game for T. Allen
5:59.0,,,48-62,,J. Ennis misses 3-pt shot from 23 ft
5:57.0,Defensive rebound by T. Chandler,,48-62,,
5:38.0,D. Booker makes 2-pt shot from 5 ft,2,50-62,,
5:18.0,,,50-65,3,M. Conley makes 3-pt shot from 25 ft (assist by C. Parsons)
5:12.0,,,50-65,,Personal block foul by J. Ennis (drawn by D. Booker)
5:12.0,D. Booker makes free throw 1 of 2,1,51-65,,
5:12.0,D. Booker misses free throw 2 of 2,,51-65,,
5:12.0,,,51-65,,T. Daniels enters the game for C. Parsons
5:11.0,,,51-65,,Defensive rebound by M. Gasol
4:52.0,,,51-65,,M. Gasol misses 2-pt shot from 6 ft
4:51.0,,,51-65,,Offensive rebound by M. Gasol
4:49.0,,,51-65,,Turnover by M. Gasol (lost ball; steal by T. Chandler)
4:44.0,T. Warren misses 2-pt shot from 13 ft,,51-65,,
4:44.0,Offensive rebound by Team,,51-65,,
4:44.0,,,51-65,,Loose ball foul by T. Daniels (drawn by T. Chandler)
4:44.0,T. Chandler makes free throw 1 of 2,1,52-65,,
4:44.0,T. Chandler makes free throw 2 of 2,1,53-65,,
4:44.0,,,52-65,,T. Douglas enters the game for M. Conley
4:44.0,P. Tucker enters the game for T. Warren,,52-65,,
4:26.0,,,53-65,,B. Wright misses 2-pt shot from 2 ft (block by T. Chandler)
4:24.0,Defensive rebound by P. Tucker,,53-65,,
4:18.0,D. Booker misses 2-pt shot from 2 ft,,53-65,,
4:13.0,,,53-65,,Defensive rebound by T. Daniels
4:08.0,,,53-68,3,T. Daniels makes 3-pt shot from 24 ft (assist by T. Douglas)
3:51.0,E. Bledsoe misses 3-pt shot from 25 ft,,53-68,,
3:50.0,,,53-68,,Defensive rebound by B. Wright
3:40.0,,,53-71,3,T. Daniels makes 3-pt shot from 24 ft
3:39.0,Phoenix full timeout,,53-71,,
3:39.0,B. Knight enters the game for T. Chandler,,53-71,,
3:39.0,L. Barbosa enters the game for D. Booker,,53-71,,
3:39.0,A. Len enters the game for E. Bledsoe,,53-71,,
3:28.0,,,53-71,,Personal foul by T. Douglas (drawn by B. Knight)
3:28.0,B. Knight makes free throw 1 of 2,1,54-71,,
3:28.0,B. Knight makes free throw 2 of 2,1,55-71,,
3:16.0,,,55-71,,T. Daniels misses 3-pt shot from 26 ft
3:15.0,Defensive rebound by M. Chriss,,55-71,,
3:03.0,L. Barbosa makes 2-pt shot from 10 ft,2,57-71,,
2:45.0,,,57-71,,Shooting foul by M. Chriss (drawn by B. Wright)
2:45.0,,,57-72,1,B. Wright makes free throw 1 of 2
2:45.0,,,57-72,,B. Wright misses free throw 2 of 2
2:45.0,,,57-72,,J. Green enters the game for M. Gasol
2:44.0,Defensive rebound by Team,,57-72,,
2:44.0,,,57-72,,Loose ball foul by J. Green (drawn by P. Tucker)
2:44.0,P. Tucker makes free throw 1 of 2,1,58-72,,
2:44.0,P. Tucker makes free throw 2 of 2,1,59-72,,
2:44.0,J. Dudley enters the game for M. Chriss,,58-72,,
2:39.0,,,59-72,,Turnover by T. Douglas (bad pass)
2:22.0,L. Barbosa makes 2-pt shot from 5 ft,2,61-72,,
2:04.0,,,61-72,,Turnover by T. Daniels (bad pass; steal by B. Knight)
1:59.0,B. Knight makes 2-pt shot from 2 ft,2,63-72,,
1:49.0,,,63-72,,Memphis full timeout
1:49.0,,,63-72,,C. Parsons enters the game for J. Green
1:42.0,,,63-72,,C. Parsons misses 2-pt shot from 21 ft
1:41.0,Defensive rebound by L. Barbosa,,63-72,,
1:37.0,L. Barbosa misses 2-pt shot from 2 ft (block by C. Parsons),,63-72,,
1:37.0,Offensive rebound by Team,,63-72,,
1:37.0,,,63-72,,M. Conley enters the game for T. Daniels
1:25.0,L. Barbosa misses 2-pt shot from 23 ft,,63-72,,
1:24.0,Offensive rebound by P. Tucker,,63-72,,
1:22.0,P. Tucker makes 2-pt shot from 1 ft,2,65-72,,
1:08.0,Personal foul by P. Tucker (drawn by M. Conley),,65-72,,
1:08.0,,,65-73,1,M. Conley makes free throw 1 of 2
1:08.0,,,65-74,1,M. Conley makes free throw 2 of 2
0:53.0,L. Barbosa misses 2-pt shot from 21 ft,,65-74,,
0:51.0,,,65-74,,Defensive rebound by T. Douglas
0:38.0,,,65-77,3,M. Conley makes 3-pt shot from 25 ft
0:28.0,B. Knight misses 2-pt shot from 4 ft (block by T. Douglas),,65-77,,
0:28.0,,,65-77,,Defensive rebound by Team
0:07.0,,,65-79,2,B. Wright makes 2-pt shot from 3 ft (assist by M. Conley)
0:01.0,L. Barbosa misses 3-pt shot from 24 ft,,65-79,,
0:00.0,Offensive rebound by A. Len,,65-79,,
0:00.0,A. Len misses 2-pt shot from 2 ft,,65-79,,
0:00.0,Offensive rebound by Team,,65-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,65-79,,Turnover by C. Parsons (bad pass; steal by L. Barbosa)
11:33.0,P. Tucker misses 2-pt shot from 1 ft,,65-79,,
11:30.0,Offensive rebound by P. Tucker,,65-79,,
11:30.0,P. Tucker misses 2-pt shot from 2 ft (block by T. Douglas),,65-79,,
11:28.0,Offensive rebound by P. Tucker,,65-79,,
11:28.0,P. Tucker misses 2-pt shot from 2 ft (block by C. Parsons),,65-79,,
11:25.0,Offensive rebound by J. Dudley,,65-79,,
11:25.0,J. Dudley makes 2-pt shot from 2 ft,2,67-79,,
11:12.0,,,67-79,,Turnover by M. Conley (step out of bounds)
11:06.0,Turnover by B. Knight (bad pass),,67-79,,
10:53.0,,,67-79,,M. Conley misses 2-pt shot from 23 ft
10:52.0,Defensive rebound by L. Barbosa,,67-79,,
10:47.0,B. Knight misses 2-pt shot from 2 ft,,67-79,,
10:45.0,Offensive rebound by P. Tucker,,67-79,,
10:45.0,P. Tucker makes 2-pt shot from 2 ft,2,69-79,,
10:25.0,,,69-82,3,M. Conley makes 3-pt shot from 24 ft (assist by C. Parsons)
10:07.0,A. Len misses 2-pt shot from 17 ft,,69-82,,
10:06.0,,,69-82,,Defensive rebound by J. Ennis
9:58.0,,,69-85,3,J. Ennis makes 3-pt shot from 24 ft (assist by C. Parsons)
9:50.0,Phoenix full timeout,,69-85,,
9:41.0,,,69-85,,Personal foul by J. Ennis (drawn by L. Barbosa)
9:35.0,A. Len makes 2-pt shot from 13 ft (assist by J. Dudley),2,71-85,,
9:15.0,Personal foul by L. Barbosa (drawn by M. Conley),,71-85,,
9:09.0,Personal foul by J. Dudley (drawn by J. Ennis),,71-85,,
9:09.0,,,71-85,,T. Allen enters the game for T. Douglas
8:59.0,,,71-85,,B. Wright misses 2-pt shot from 5 ft
8:56.0,Defensive rebound by J. Dudley,,71-85,,
8:45.0,A. Len makes 2-pt shot from 4 ft,2,73-85,,
8:25.0,,,73-85,,T. Allen misses 2-pt shot from 2 ft
8:23.0,Defensive rebound by J. Dudley,,73-85,,
8:17.0,,,73-85,,Personal foul by B. Wright (drawn by A. Len)
8:17.0,,,73-85,,M. Gasol enters the game for C. Parsons
8:09.0,A. Len misses 2-pt shot from 4 ft,,73-85,,
8:07.0,,,73-85,,Defensive rebound by T. Allen
7:56.0,,,73-85,,M. Gasol misses 2-pt shot from 19 ft
7:55.0,Defensive rebound by P. Tucker,,73-85,,
7:49.0,B. Knight misses 3-pt shot from 25 ft,,73-85,,
7:44.0,Offensive rebound by J. Dudley,,73-85,,
7:42.0,L. Barbosa misses 3-pt shot from 26 ft,,73-85,,
7:38.0,Offensive rebound by P. Tucker,,73-85,,
7:36.0,J. Dudley misses 3-pt shot from 25 ft,,73-85,,
7:35.0,,,73-85,,Defensive rebound by M. Gasol
7:35.0,,,73-85,,T. Daniels enters the game for J. Ennis
7:35.0,,,73-85,,J. Green enters the game for B. Wright
7:35.0,D. Booker enters the game for J. Dudley,,73-85,,
7:35.0,,,73-85,,Turnover by M. Gasol (lost ball)
