time,Minnesota,pts.away,score,pts.home,Detroit
6:13.0,Offensive rebound by G. Dieng,,10-16,,
6:09.0,G. Dieng misses 2-pt shot from 18 ft,,10-16,,
6:08.0,,,10-16,,Defensive rebound by R. Jackson
6:04.0,,,10-18,2,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson)
5:42.0,A. Wiggins misses 2-pt shot from 19 ft,,10-18,,
5:42.0,,,10-18,,Defensive rebound by A. Drummond
5:35.0,,,10-18,,M. Morris misses 2-pt shot from 18 ft
5:35.0,Defensive rebound by G. Dieng,,10-18,,
5:31.0,Turnover by R. Rubio (bad pass),,10-18,,
5:31.0,,,10-18,,Detroit full timeout
5:31.0,,,10-18,,T. Harris enters the game for M. Morris
5:06.0,,,10-18,,R. Jackson misses 3-pt shot from 26 ft
5:06.0,Defensive rebound by Z. LaVine,,10-18,,
4:49.0,G. Dieng misses 2-pt shot from 20 ft,,10-18,,
4:49.0,,,10-18,,Defensive rebound by K. Caldwell-Pope
4:35.0,,,10-18,,A. Drummond misses 2-pt shot from 7 ft
4:34.0,Defensive rebound by K. Towns,,10-18,,
4:28.0,Turnover by G. Dieng (traveling),,10-18,,
4:11.0,,,10-20,2,T. Harris makes 2-pt shot from 7 ft
3:55.0,A. Wiggins misses 2-pt shot from 6 ft,,10-20,,
3:53.0,Offensive rebound by K. Towns,,10-20,,
3:51.0,K. Towns makes 2-pt shot from 1 ft,2,12-20,,
3:33.0,,,12-20,,A. Drummond misses 2-pt shot from 6 ft
3:32.0,Defensive rebound by G. Dieng,,12-20,,
3:18.0,A. Wiggins misses 3-pt shot from 23 ft,,12-20,,
3:18.0,,,12-20,,Defensive rebound by Team
3:18.0,S. Muhammad enters the game for Z. LaVine,,12-20,,
3:02.0,,,12-20,,Offensive charge foul by A. Drummond
3:02.0,,,12-20,,Turnover by A. Drummond (offensive foul)
3:02.0,,,12-20,,A. Baynes enters the game for A. Drummond
2:50.0,K. Towns misses 3-pt shot from 27 ft,,12-20,,
2:50.0,Offensive rebound by Team,,12-20,,
2:50.0,Shooting foul by K. Caldwell-Pope (drawn by A. Wiggins),,12-20,,
2:50.0,Minnesota full timeout,,12-20,,
2:50.0,A. Wiggins makes free throw 1 of 2,1,13-20,,
2:50.0,A. Wiggins makes free throw 2 of 2,1,14-20,,
2:50.0,,,12-20,,I. Smith enters the game for K. Caldwell-Pope
2:50.0,,,12-20,,S. Johnson enters the game for R. Jackson
2:36.0,,,14-20,,J. Leuer misses 2-pt shot from 17 ft
2:36.0,Defensive rebound by G. Dieng,,14-20,,
2:13.0,Turnover by R. Rubio (bad pass; steal by T. Harris),,14-20,,
2:08.0,,,14-20,,Turnover by S. Johnson (bad pass)
2:08.0,N. Bjelica enters the game for G. Dieng,,14-20,,
1:58.0,Turnover by R. Rubio (bad pass; steal by I. Smith),,14-20,,
1:44.0,,,14-20,,Turnover by S. Johnson (traveling)
1:44.0,,,14-20,,M. Morris enters the game for J. Leuer
1:44.0,T. Jones enters the game for R. Rubio,,14-20,,
1:26.0,A. Wiggins makes 2-pt shot from 4 ft,2,16-20,,
1:08.0,,,16-20,,A. Baynes misses 2-pt shot from 7 ft
1:07.0,Defensive rebound by N. Bjelica,,16-20,,
1:00.0,S. Muhammad misses 2-pt shot from 15 ft,,16-20,,
1:00.0,,,16-20,,Defensive rebound by M. Morris
0:56.0,,,16-20,,Shooting foul by K. Towns (drawn by A. Baynes)
0:56.0,,,16-21,1,A. Baynes makes free throw 1 of 2
0:56.0,,,16-22,1,A. Baynes makes free throw 2 of 2
0:43.0,S. Muhammad misses 2-pt shot from 12 ft,,16-22,,
0:43.0,Offensive rebound by K. Towns,,16-22,,
0:43.0,,,16-22,,Personal foul by A. Baynes (drawn by K. Towns)
0:37.0,N. Bjelica misses 2-pt shot from 21 ft,,16-22,,
0:36.0,,,16-22,,Defensive rebound by S. Johnson
0:27.0,,,16-22,,S. Johnson misses 3-pt shot from 26 ft
0:27.0,,,16-22,,Offensive rebound by A. Baynes
0:05.0,,,16-24,2,I. Smith makes 2-pt shot from 18 ft
0:01.0,T. Jones makes 2-pt shot from 6 ft,2,18-24,,
0:00.0,,,18-24,,I. Smith misses 3-pt shot from 42 ft
0:00.0,,,18-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Z. LaVine makes 2-pt shot from 18 ft (assist by C. Aldrich),2,20-24,,
11:32.0,,,20-24,,M. Morris misses 2-pt shot from 18 ft
11:32.0,,,20-24,,Offensive rebound by Team
11:25.0,,,20-26,2,M. Morris makes 2-pt shot from 1 ft (assist by I. Smith)
11:25.0,,,20-26,,Shooting foul by C. Aldrich (drawn by M. Morris)
11:25.0,,,20-27,1,M. Morris makes free throw 1 of 1
11:18.0,N. Bjelica makes 2-pt shot from 5 ft (assist by T. Jones),2,22-27,,
11:01.0,,,22-29,2,I. Smith makes 2-pt shot from 16 ft
10:48.0,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones),2,24-29,,
10:30.0,,,24-31,2,A. Baynes makes 2-pt shot from 18 ft (assist by T. Harris)
10:04.0,S. Muhammad makes 2-pt shot from 6 ft (assist by Z. LaVine),2,26-31,,
9:46.0,,,26-34,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
9:28.0,Turnover by T. Jones (bad pass; steal by M. Morris),,26-34,,
9:23.0,,,26-34,,T. Harris misses 2-pt shot from 4 ft (block by C. Aldrich)
9:23.0,,,26-34,,Offensive rebound by Team
9:17.0,,,26-34,,T. Harris misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by N. Bjelica,,26-34,,
9:11.0,S. Muhammad makes 3-pt shot from 23 ft (assist by N. Bjelica),3,29-34,,
8:53.0,,,29-34,,M. Morris misses 3-pt shot from 23 ft
8:53.0,,,29-34,,Offensive rebound by Team
8:53.0,Loose ball foul by C. Aldrich (drawn by A. Baynes),,29-34,,
8:53.0,Official timeout,,29-34,,
8:42.0,,,29-34,,Shooting foul by S. Muhammad (drawn by M. Morris)
8:42.0,,,29-34,,M. Morris misses free throw 1 of 2
8:42.0,,,29-34,,Offensive rebound by Team
8:42.0,,,29-35,1,M. Morris makes free throw 2 of 2
8:29.0,Z. LaVine makes 2-pt shot at rim (assist by C. Aldrich),2,31-35,,
8:18.0,,,31-35,,Turnover by A. Baynes (traveling)
8:18.0,,,31-35,,K. Caldwell-Pope enters the game for S. Johnson
7:58.0,Z. LaVine misses 2-pt shot at rim,,31-35,,
7:57.0,,,31-35,,Defensive rebound by K. Caldwell-Pope
7:50.0,,,31-35,,Turnover by T. Harris (bad pass; steal by S. Muhammad)
7:48.0,S. Muhammad misses 2-pt shot from 2 ft,,31-35,,
7:47.0,Offensive rebound by N. Bjelica,,31-35,,
7:46.0,N. Bjelica makes 2-pt shot at rim,2,33-35,,
7:37.0,,,33-35,,Detroit full timeout
7:37.0,,,33-35,,A. Drummond enters the game for A. Baynes
7:37.0,,,33-35,,R. Jackson enters the game for I. Smith
7:28.0,,,33-35,,T. Harris misses 3-pt shot from 27 ft
7:28.0,Defensive rebound by Z. LaVine,,33-35,,
7:23.0,,,33-35,,Violation by T. Harris (kicked ball)
7:10.0,S. Muhammad makes 3-pt shot from 26 ft (assist by Z. LaVine),3,36-35,,
6:55.0,,,36-37,2,T. Harris makes 2-pt shot from 6 ft (assist by K. Caldwell-Pope)
6:38.0,Turnover by Z. LaVine (bad pass; steal by A. Drummond),,36-37,,
6:31.0,,,36-37,,K. Caldwell-Pope misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by C. Aldrich,,36-37,,
6:17.0,S. Muhammad misses 2-pt shot from 5 ft,,36-37,,
6:16.0,,,36-37,,Defensive rebound by T. Harris
6:01.0,,,36-37,,T. Harris misses 2-pt shot from 4 ft
6:01.0,,,36-37,,Offensive rebound by M. Morris
6:00.0,,,36-39,2,M. Morris makes 2-pt shot from 1 ft
5:52.0,Minnesota full timeout,,36-39,,
5:52.0,K. Towns enters the game for S. Muhammad,,36-39,,
5:52.0,G. Dieng enters the game for N. Bjelica,,36-39,,
5:52.0,A. Wiggins enters the game for C. Aldrich,,36-39,,
5:52.0,,,36-39,,J. Leuer enters the game for T. Harris
5:43.0,Z. LaVine makes 2-pt shot at rim,2,38-39,,
5:28.0,,,38-41,2,M. Morris makes 2-pt shot from 18 ft (assist by R. Jackson)
5:01.0,Z. LaVine misses 3-pt shot from 26 ft,,38-41,,
5:00.0,,,38-41,,Defensive rebound by K. Caldwell-Pope
4:57.0,,,38-41,,K. Caldwell-Pope misses 2-pt shot from 3 ft
4:56.0,,,38-41,,Offensive rebound by J. Leuer
4:55.0,,,38-41,,J. Leuer misses 2-pt shot from 5 ft (block by G. Dieng)
4:54.0,Defensive rebound by A. Wiggins,,38-41,,
4:49.0,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins),2,40-41,,
4:30.0,,,40-41,,Turnover by A. Drummond (lost ball; steal by T. Jones)
4:20.0,Turnover by T. Jones (lost ball; steal by R. Jackson),,40-41,,
4:12.0,,,40-41,,Turnover by K. Caldwell-Pope (lost ball)
4:12.0,R. Rubio enters the game for T. Jones,,40-41,,
3:52.0,Z. LaVine makes 2-pt shot from 18 ft,2,42-41,,
3:37.0,,,42-41,,R. Jackson misses 2-pt shot at rim
3:35.0,,,42-41,,Offensive rebound by A. Drummond
3:32.0,,,42-43,2,A. Drummond makes 2-pt shot from 1 ft
3:22.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,44-43,,
3:16.0,,,44-43,,Detroit full timeout
3:00.0,,,44-43,,K. Caldwell-Pope misses 2-pt shot from 5 ft
3:00.0,Defensive rebound by K. Towns,,44-43,,
2:44.0,K. Towns misses 2-pt shot from 2 ft,,44-43,,
2:44.0,,,44-43,,Defensive rebound by A. Drummond
2:33.0,,,44-43,,R. Jackson misses 2-pt shot from 19 ft
2:32.0,Defensive rebound by G. Dieng,,44-43,,
2:15.0,K. Towns makes 2-pt shot at rim,2,46-43,,
1:58.0,,,46-43,,Shooting foul by K. Towns (drawn by R. Jackson)
1:58.0,,,46-44,1,R. Jackson makes free throw 1 of 2
1:58.0,,,46-45,1,R. Jackson makes free throw 2 of 2
1:58.0,,,46-44,,A. Baynes enters the game for A. Drummond
1:54.0,Turnover by R. Rubio (bad pass),,46-45,,
1:42.0,,,46-48,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
1:19.0,K. Towns makes 2-pt shot at rim (assist by Z. LaVine),2,48-48,,
1:05.0,,,48-48,,J. Leuer misses 3-pt shot from 26 ft
1:04.0,,,48-48,,Offensive rebound by A. Baynes
1:00.0,,,48-50,2,A. Baynes makes 2-pt shot at rim
0:52.0,Shooting foul by A. Baynes (drawn by Z. LaVine),,48-50,,
0:52.0,Z. LaVine makes free throw 1 of 2,1,49-50,,
0:52.0,Z. LaVine makes free throw 2 of 2,1,50-50,,
0:40.0,,,50-50,,R. Jackson misses 2-pt shot from 19 ft
0:39.0,,,50-50,,Offensive rebound by K. Caldwell-Pope
0:39.0,,,50-50,,K. Caldwell-Pope misses 2-pt shot from 2 ft
0:37.0,,,50-50,,Offensive rebound by K. Caldwell-Pope
0:30.0,,,50-50,,Shooting foul by K. Towns (drawn by M. Morris)
0:30.0,,,50-50,,M. Morris misses free throw 1 of 2
0:30.0,,,50-50,,Offensive rebound by Team
0:30.0,,,50-51,1,M. Morris makes free throw 2 of 2
0:30.0,N. Bjelica enters the game for K. Towns,,50-50,,
0:30.0,,,50-50,,T. Harris enters the game for J. Leuer
0:26.0,,,50-51,,Personal foul by K. Caldwell-Pope (drawn by R. Rubio)
0:26.0,R. Rubio makes free throw 1 of 2,1,51-51,,
0:26.0,R. Rubio makes free throw 2 of 2,1,52-51,,
0:02.0,,,52-53,2,R. Jackson makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,G. Dieng misses 3-pt shot from 23 ft,,52-53,,
11:47.0,,,52-53,,Defensive rebound by A. Drummond
11:34.0,,,52-56,3,J. Leuer makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
11:16.0,K. Towns makes 2-pt shot from 7 ft,2,54-56,,
10:58.0,,,54-56,,K. Caldwell-Pope misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by K. Towns,,54-56,,
10:49.0,A. Wiggins misses 2-pt shot from 13 ft,,54-56,,
10:49.0,,,54-56,,Defensive rebound by M. Morris
10:49.0,Loose ball foul by G. Dieng (drawn by M. Morris),,54-56,,
10:32.0,,,54-56,,M. Morris misses 2-pt shot from 11 ft
10:31.0,,,54-56,,Offensive rebound by A. Drummond
10:30.0,,,54-56,,A. Drummond misses 2-pt shot from 1 ft
10:29.0,,,54-56,,Offensive rebound by Team
10:27.0,,,54-56,,Turnover by M. Morris (bad pass; steal by R. Rubio)
10:20.0,Z. LaVine makes 2-pt shot from 1 ft (assist by G. Dieng),2,56-56,,
10:01.0,Personal foul by Z. LaVine (drawn by K. Caldwell-Pope),,56-56,,
9:50.0,,,56-56,,A. Drummond misses 2-pt shot from 4 ft (block by G. Dieng)
9:49.0,Defensive rebound by R. Rubio,,56-56,,
9:45.0,R. Rubio misses 2-pt shot at rim,,56-56,,
9:43.0,Offensive rebound by A. Wiggins,,56-56,,
9:39.0,A. Wiggins makes 2-pt shot from 1 ft,2,58-56,,
9:23.0,,,58-56,,R. Jackson misses 2-pt shot from 12 ft
9:22.0,,,58-56,,Offensive rebound by A. Drummond
9:21.0,,,58-56,,A. Drummond misses 2-pt shot at rim
9:20.0,,,58-56,,Offensive rebound by A. Drummond
9:19.0,,,58-58,2,A. Drummond makes 2-pt shot at rim
9:19.0,,,58-58,,Violation by Team (jump ball)
8:55.0,Z. LaVine misses 2-pt shot from 10 ft,,58-58,,
8:53.0,,,58-58,,Defensive rebound by A. Drummond
8:48.0,,,58-61,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
8:29.0,A. Wiggins misses 2-pt shot from 7 ft,,58-61,,
8:29.0,,,58-61,,Defensive rebound by A. Drummond
8:21.0,,,58-61,,M. Morris misses 3-pt shot from 23 ft
8:21.0,,,58-61,,Offensive rebound by J. Leuer
8:13.0,,,58-63,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
8:13.0,Minnesota full timeout,,58-63,,
8:01.0,R. Rubio makes 2-pt shot from 17 ft,2,60-63,,
7:37.0,,,60-66,3,J. Leuer makes 3-pt shot from 26 ft (assist by M. Morris)
7:20.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,62-66,,
7:20.0,Shooting foul by A. Drummond (drawn by Z. LaVine),,62-66,,
7:20.0,Minnesota full timeout,,62-66,,
7:20.0,Z. LaVine misses free throw 1 of 1,,62-66,,
7:20.0,,,62-66,,Defensive rebound by A. Drummond
7:02.0,,,62-66,,R. Jackson misses 2-pt shot from 16 ft
7:02.0,Defensive rebound by Z. LaVine,,62-66,,
6:47.0,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio),2,64-66,,
6:27.0,,,64-66,,Shooting foul by K. Towns (drawn by J. Leuer)
6:27.0,,,64-67,1,J. Leuer makes free throw 1 of 2
6:27.0,,,64-68,1,J. Leuer makes free throw 2 of 2
6:27.0,N. Bjelica enters the game for K. Towns,,64-67,,
6:14.0,A. Wiggins makes 2-pt shot from 1 ft (assist by N. Bjelica),2,66-68,,
5:54.0,,,66-68,,R. Jackson misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by G. Dieng,,66-68,,
5:43.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,68-68,,
5:18.0,,,68-71,3,M. Morris makes 3-pt shot from 27 ft (assist by R. Jackson)
5:01.0,A. Wiggins makes 2-pt shot from 14 ft (assist by R. Rubio),2,70-71,,
4:43.0,,,70-74,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
4:21.0,Turnover by Z. LaVine (step out of bounds),,70-74,,
4:21.0,,,70-74,,T. Harris enters the game for J. Leuer
4:08.0,,,70-74,,R. Jackson misses 2-pt shot from 1 ft (block by N. Bjelica)
4:07.0,Defensive rebound by Team,,70-74,,
3:51.0,A. Wiggins misses 2-pt shot from 8 ft,,70-74,,
3:51.0,,,70-74,,Defensive rebound by A. Drummond
3:42.0,,,70-74,,I. Smith enters the game for R. Jackson
3:29.0,,,70-74,,A. Drummond misses 2-pt shot from 6 ft
3:28.0,Defensive rebound by N. Bjelica,,70-74,,
3:18.0,G. Dieng makes 2-pt shot from 5 ft (assist by R. Rubio),2,72-74,,
2:53.0,,,72-74,,M. Morris misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by R. Rubio,,72-74,,
2:42.0,A. Wiggins makes 2-pt shot from 20 ft (assist by R. Rubio),2,74-74,,
2:28.0,,,74-76,2,I. Smith makes 2-pt shot from 16 ft
2:09.0,N. Bjelica misses 2-pt shot from 6 ft,,74-76,,
2:06.0,,,74-76,,Defensive rebound by A. Drummond
2:01.0,,,74-76,,Turnover by A. Drummond (bad pass; steal by G. Dieng)
1:47.0,Turnover by R. Rubio (step out of bounds),,74-76,,
1:47.0,,,74-76,,Detroit full timeout
1:47.0,,,74-76,,A. Baynes enters the game for A. Drummond
1:47.0,S. Muhammad enters the game for Z. LaVine,,74-76,,
1:47.0,T. Jones enters the game for R. Rubio,,74-76,,
1:33.0,,,74-76,,T. Harris misses 2-pt shot from 13 ft
1:33.0,Defensive rebound by G. Dieng,,74-76,,
1:22.0,Shooting foul by M. Morris (drawn by A. Wiggins),,74-76,,
1:22.0,A. Wiggins makes free throw 1 of 2,1,75-76,,
1:22.0,A. Wiggins makes free throw 2 of 2,1,76-76,,
1:22.0,,,75-76,,S. Johnson enters the game for K. Caldwell-Pope
1:00.0,,,76-78,2,M. Morris makes 2-pt shot from 20 ft (assist by S. Johnson)
0:51.0,Turnover by S. Muhammad (step out of bounds),,76-78,,
0:35.0,,,76-80,2,M. Morris makes 2-pt shot from 11 ft
0:21.0,G. Dieng misses 2-pt shot from 8 ft,,76-80,,
0:21.0,,,76-80,,Defensive rebound by Team
0:21.0,Loose ball foul by S. Muhammad (drawn by I. Smith),,76-80,,
0:01.0,,,76-83,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,76-83,,T. Harris misses 2-pt shot from 5 ft
11:46.0,Defensive rebound by N. Bjelica,,76-83,,
11:25.0,T. Jones misses 3-pt shot from 27 ft,,76-83,,
11:25.0,,,76-83,,Defensive rebound by T. Harris
11:23.0,Personal foul by T. Jones (drawn by I. Smith),,76-83,,
11:23.0,A. Wiggins enters the game for Z. LaVine,,76-83,,
11:06.0,,,76-85,2,T. Harris makes 2-pt shot from 6 ft
10:53.0,S. Muhammad makes 3-pt shot from 27 ft (assist by T. Jones),3,79-85,,
10:34.0,,,79-85,,J. Leuer misses 2-pt shot from 15 ft
10:33.0,,,79-85,,Offensive rebound by S. Johnson
10:30.0,,,79-85,,J. Leuer misses 3-pt shot from 27 ft
10:30.0,Defensive rebound by Team,,79-85,,
10:30.0,K. Towns enters the game for C. Aldrich,,79-85,,
10:16.0,K. Towns misses 3-pt shot from 27 ft,,79-85,,
10:15.0,,,79-85,,Defensive rebound by I. Smith
10:08.0,,,79-87,2,A. Baynes makes 2-pt shot from 7 ft (assist by S. Johnson)
9:51.0,K. Towns misses 2-pt shot from 6 ft,,79-87,,
9:49.0,,,79-87,,Defensive rebound by I. Smith
9:33.0,,,79-87,,S. Johnson misses 2-pt shot from 13 ft
9:33.0,Defensive rebound by T. Jones,,79-87,,
9:21.0,A. Wiggins misses 3-pt shot from 26 ft,,79-87,,
9:20.0,,,79-87,,Defensive rebound by I. Smith
9:19.0,,,79-89,2,I. Smith makes 2-pt shot from 1 ft
9:19.0,Minnesota full timeout,,79-89,,
9:19.0,R. Rubio enters the game for A. Wiggins,,79-89,,
8:58.0,S. Muhammad misses 3-pt shot from 24 ft,,79-89,,
8:57.0,,,79-89,,Defensive rebound by A. Baynes
8:49.0,Personal foul by N. Bjelica (drawn by S. Johnson),,79-89,,
8:33.0,,,79-89,,T. Harris misses 2-pt shot from 4 ft
8:33.0,,,79-89,,Offensive rebound by A. Baynes
8:29.0,,,79-89,,A. Baynes misses 2-pt shot from 3 ft
8:29.0,,,79-89,,Offensive rebound by A. Baynes
8:29.0,,,79-89,,A. Baynes misses 2-pt shot from 3 ft
8:29.0,Defensive rebound by Team,,79-89,,
8:29.0,,,79-89,,K. Caldwell-Pope enters the game for S. Johnson
8:15.0,N. Bjelica misses 2-pt shot from 1 ft,,79-89,,
8:15.0,Offensive rebound by K. Towns,,79-89,,
8:15.0,Shooting foul by A. Baynes (drawn by K. Towns),,79-89,,
8:15.0,K. Towns misses free throw 1 of 2,,79-89,,
8:15.0,Offensive rebound by Team,,79-89,,
8:15.0,K. Towns makes free throw 2 of 2,1,80-89,,
8:15.0,A. Wiggins enters the game for T. Jones,,79-89,,
8:15.0,,,79-89,,A. Drummond enters the game for A. Baynes
7:51.0,,,80-89,,Turnover by Team (shot clock)
7:37.0,K. Towns misses 2-pt shot from 5 ft,,80-89,,
7:36.0,Offensive rebound by K. Towns,,80-89,,
7:33.0,K. Towns makes 2-pt shot from 1 ft,2,82-89,,
7:20.0,,,82-92,3,J. Leuer makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
7:01.0,R. Rubio makes 3-pt shot from 27 ft (assist by N. Bjelica),3,85-92,,
7:01.0,Shooting foul by I. Smith (drawn by R. Rubio),,85-92,,
7:01.0,R. Rubio misses free throw 1 of 1,,85-92,,
7:01.0,,,85-92,,Defensive rebound by T. Harris
7:01.0,,,85-92,,R. Jackson enters the game for I. Smith
6:41.0,,,85-92,,A. Drummond misses 2-pt shot from 7 ft
6:41.0,Defensive rebound by K. Towns,,85-92,,
6:32.0,R. Rubio makes 2-pt shot from 18 ft,2,87-92,,
6:12.0,,,87-92,,J. Leuer misses 2-pt shot from 1 ft
6:11.0,Defensive rebound by N. Bjelica,,87-92,,
6:07.0,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica),2,89-92,,
6:07.0,,,89-92,,Detroit full timeout
6:05.0,,,89-92,,M. Morris enters the game for T. Harris
5:47.0,,,89-94,2,A. Drummond makes 2-pt shot from 8 ft
5:31.0,Turnover by A. Wiggins (bad pass; steal by A. Drummond),,89-94,,
5:26.0,,,89-96,2,R. Jackson makes 2-pt shot at rim
5:18.0,Turnover by R. Rubio (lost ball; steal by K. Caldwell-Pope),,89-96,,
5:13.0,,,89-98,2,M. Morris makes 2-pt shot at rim
5:13.0,Minnesota full timeout,,89-98,,
5:13.0,,,89-98,,I. Smith enters the game for R. Jackson
4:59.0,A. Wiggins misses 2-pt shot from 13 ft (block by K. Caldwell-Pope),,89-98,,
4:58.0,,,89-98,,Defensive rebound by M. Morris
4:37.0,,,89-100,2,I. Smith makes 2-pt shot from 9 ft
4:25.0,A. Wiggins misses 2-pt shot from 1 ft (block by A. Drummond),,89-100,,
4:24.0,,,89-100,,Defensive rebound by A. Drummond
4:20.0,,,89-100,,Shooting foul by R. Rubio (drawn by M. Morris)
4:20.0,,,89-101,1,M. Morris makes free throw 1 of 2
4:20.0,,,89-102,1,M. Morris makes free throw 2 of 2
4:20.0,G. Dieng enters the game for N. Bjelica,,89-101,,
4:07.0,A. Wiggins makes 2-pt shot at rim,2,91-102,,
4:00.0,Personal take foul by G. Dieng (drawn by A. Drummond),,91-102,,
4:00.0,,,91-102,,A. Baynes enters the game for A. Drummond
3:46.0,,,91-104,2,J. Leuer makes 2-pt shot from 19 ft (assist by I. Smith)
3:32.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,93-104,,
3:08.0,,,93-104,,I. Smith misses 2-pt shot from 11 ft
