time,Boston,pts.away,score,pts.home,Toronto
9:41.0,J. Jerebko makes 2-pt shot from 15 ft (assist by K. Olynyk),2,26-29,,
9:17.0,,,26-29,,Turnover by K. Lowry (lost ball)
9:04.0,M. Smart misses 2-pt shot from 6 ft (block by L. Nogueira),,26-29,,
9:02.0,Offensive rebound by M. Smart,,26-29,,
9:01.0,M. Smart makes 2-pt shot from 1 ft,2,28-29,,
8:49.0,,,28-29,,Turnover by N. Powell (bad pass)
8:49.0,Official timeout,,28-29,,
8:49.0,,,28-29,,J. Poeltl enters the game for N. Powell
8:34.0,Turnover by G. Green (lost ball; steal by L. Nogueira),,28-29,,
8:31.0,,,28-29,,Turnover by L. Nogueira (lost ball; steal by M. Smart)
8:31.0,Shooting foul by K. Lowry (drawn by M. Smart),,28-29,,
8:31.0,M. Smart makes 2-pt shot from 2 ft,2,30-29,,
8:31.0,M. Smart makes free throw 1 of 1,1,31-29,,
8:17.0,,,31-31,2,J. Poeltl makes 2-pt shot from 2 ft (assist by C. Joseph)
7:57.0,G. Green makes 2-pt shot from 20 ft,2,33-31,,
7:39.0,,,33-33,2,T. Ross makes 2-pt shot from 19 ft (assist by L. Nogueira)
7:27.0,Turnover by K. Olynyk (bad pass; steal by T. Ross),,33-33,,
7:22.0,,,33-35,2,C. Joseph makes 2-pt shot at rim (assist by K. Lowry)
7:04.0,I. Thomas makes 2-pt shot from 3 ft,2,35-35,,
6:47.0,,,35-35,,C. Joseph misses 2-pt shot from 3 ft (block by K. Olynyk)
6:46.0,Defensive rebound by G. Green,,35-35,,
6:38.0,J. Jerebko makes 3-pt shot from 24 ft (assist by I. Thomas),3,38-35,,
6:19.0,,,38-38,3,K. Lowry makes 3-pt shot from 26 ft
6:03.0,I. Thomas makes 2-pt shot from 2 ft,2,40-38,,
6:01.0,,,40-38,,Toronto full timeout
6:01.0,,,40-38,,D. DeRozan enters the game for L. Nogueira
6:01.0,,,40-38,,P. Patterson enters the game for C. Joseph
6:01.0,,,40-38,,J. Valanciunas enters the game for J. Poeltl
6:01.0,A. Johnson enters the game for M. Smart,,40-38,,
6:01.0,A. Horford enters the game for K. Olynyk,,40-38,,
6:01.0,J. Crowder enters the game for J. Jerebko,,40-38,,
5:41.0,,,40-40,2,D. DeRozan makes 2-pt shot from 17 ft
5:18.0,G. Green makes 2-pt shot from 13 ft,2,42-40,,
5:05.0,,,42-42,2,D. DeRozan makes 2-pt shot from 15 ft
4:49.0,I. Thomas misses 2-pt shot from 10 ft,,42-42,,
4:48.0,Offensive rebound by A. Johnson,,42-42,,
4:43.0,Turnover by I. Thomas (lost ball; steal by T. Ross),,42-42,,
4:41.0,Technical foul by I. Thomas,,42-42,,
4:41.0,,,42-43,1,D. DeRozan makes technical free throw
4:41.0,M. Smart enters the game for I. Thomas,,42-43,,
4:26.0,,,42-43,,J. Valanciunas misses 2-pt shot from 4 ft (block by A. Johnson)
4:25.0,Defensive rebound by A. Horford,,42-43,,
4:14.0,A. Horford misses 2-pt shot from 20 ft,,42-43,,
4:14.0,Offensive rebound by Team,,42-43,,
4:14.0,,,42-43,,Loose ball foul by J. Valanciunas (drawn by A. Johnson)
4:05.0,G. Green misses 3-pt shot from 25 ft,,42-43,,
4:05.0,,,42-43,,Defensive rebound by J. Valanciunas
3:57.0,,,42-43,,Turnover by P. Patterson (lost ball; steal by A. Horford)
3:54.0,G. Green makes 2-pt shot from 1 ft (assist by A. Horford),2,44-43,,
3:54.0,Shooting foul by P. Patterson (drawn by G. Green),,44-43,,
3:54.0,G. Green makes free throw 1 of 1,1,45-43,,
3:54.0,,,44-43,,J. Poeltl enters the game for J. Valanciunas
3:48.0,,,45-43,,Offensive foul by J. Poeltl
3:48.0,,,45-43,,Turnover by J. Poeltl (offensive foul)
3:38.0,G. Green makes 2-pt shot from 18 ft (assist by M. Smart),2,47-43,,
3:21.0,,,47-43,,D. DeRozan misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by A. Johnson,,47-43,,
3:09.0,G. Green misses 2-pt shot from 15 ft,,47-43,,
3:09.0,,,47-43,,Defensive rebound by P. Patterson
2:51.0,,,47-43,,T. Ross misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by A. Horford,,47-43,,
2:31.0,A. Horford makes 2-pt shot from 14 ft,2,49-43,,
2:31.0,,,49-43,,Toronto full timeout
2:31.0,Boston full timeout,,49-43,,
2:31.0,,,49-43,,D. Carroll enters the game for T. Ross
2:25.0,Personal foul by M. Smart (drawn by K. Lowry),,49-43,,
2:09.0,,,49-43,,K. Lowry misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by G. Green,,49-43,,
1:45.0,A. Horford misses 2-pt shot from 14 ft,,49-43,,
1:45.0,,,49-43,,Defensive rebound by D. DeRozan
1:34.0,,,49-43,,D. Carroll misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by M. Smart,,49-43,,
1:22.0,M. Smart makes 2-pt shot from 10 ft,2,51-43,,
1:04.0,,,51-43,,Turnover by K. Lowry (lost ball; steal by M. Smart)
1:00.0,J. Crowder makes 2-pt shot at rim,2,53-43,,
0:40.0,,,53-43,,P. Patterson misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by A. Johnson,,53-43,,
0:30.0,G. Green misses 2-pt shot from 17 ft,,53-43,,
0:29.0,,,53-43,,Defensive rebound by D. Carroll
0:14.0,,,53-46,3,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry)
0:14.0,Boston full timeout,,53-46,,
0:14.0,I. Thomas enters the game for A. Johnson,,53-46,,
0:14.0,,,53-46,,C. Joseph enters the game for K. Lowry
0:14.0,,,53-46,,T. Ross enters the game for J. Poeltl
0:05.0,,,53-46,,Personal foul by C. Joseph (drawn by I. Thomas)
0:01.0,Shooting foul by P. Patterson (drawn by M. Smart),,53-46,,
0:01.0,M. Smart makes free throw 1 of 2,1,54-46,,
0:01.0,M. Smart makes free throw 2 of 2,1,55-46,,
0:01.0,A. Johnson enters the game for G. Green,,54-46,,
0:01.0,,,54-46,,J. Valanciunas enters the game for P. Patterson
0:00.0,,,55-46,,T. Ross misses 3-pt shot from 47 ft
0:00.0,,,55-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Shooting foul by K. Lowry (drawn by I. Thomas),,55-46,,
11:47.0,I. Thomas makes free throw 1 of 2,1,56-46,,
11:47.0,I. Thomas makes free throw 2 of 2,1,57-46,,
11:26.0,Personal block foul by A. Johnson (drawn by J. Valanciunas),,57-46,,
11:17.0,,,57-48,2,D. DeRozan makes 2-pt shot from 19 ft (assist by D. Carroll)
10:57.0,A. Johnson misses 2-pt shot from 4 ft,,57-48,,
10:57.0,,,57-48,,Defensive rebound by J. Valanciunas
10:44.0,,,57-48,,Turnover by D. Carroll (lost ball; steal by J. Crowder)
10:38.0,J. Crowder misses 2-pt shot from 4 ft,,57-48,,
10:38.0,,,57-48,,Defensive rebound by D. Carroll
10:37.0,Personal foul by M. Smart (drawn by D. Carroll),,57-48,,
10:28.0,,,57-48,,D. DeRozan misses 2-pt shot from 4 ft (block by M. Smart)
10:27.0,,,57-48,,Offensive rebound by D. DeRozan
10:16.0,,,57-48,,J. Valanciunas misses 2-pt shot from 5 ft
10:16.0,Defensive rebound by J. Crowder,,57-48,,
9:59.0,,,57-48,,Shooting block foul by P. Patterson (drawn by A. Horford)
9:59.0,A. Horford makes free throw 1 of 2,1,58-48,,
9:59.0,A. Horford makes free throw 2 of 2,1,59-48,,
9:38.0,,,59-50,2,D. DeRozan makes 2-pt shot from 10 ft
9:20.0,,,59-50,,Violation by D. DeRozan (kicked ball)
9:09.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,62-50,,
8:47.0,,,62-50,,Shooting foul by A. Johnson (drawn by J. Valanciunas)
8:47.0,,,62-51,1,J. Valanciunas makes free throw 1 of 2
8:47.0,,,62-52,1,J. Valanciunas makes free throw 2 of 2
8:47.0,K. Olynyk enters the game for A. Johnson,,62-51,,
8:47.0,,,62-51,,L. Nogueira enters the game for P. Patterson
8:32.0,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart),3,65-52,,
8:05.0,,,65-54,2,J. Valanciunas makes 2-pt shot from 3 ft
7:52.0,Turnover by M. Smart (palming),,65-54,,
7:47.0,,,65-56,2,D. Carroll makes 2-pt shot from 4 ft (assist by K. Lowry)
7:23.0,I. Thomas misses 3-pt shot from 27 ft,,65-56,,
7:23.0,,,65-56,,Defensive rebound by J. Valanciunas
7:03.0,,,65-56,,Turnover by L. Nogueira (bad pass)
6:47.0,K. Olynyk makes 2-pt shot at rim (assist by A. Horford),2,67-56,,
6:36.0,,,67-59,3,D. DeRozan makes 3-pt shot from 23 ft (assist by K. Lowry)
6:20.0,A. Horford makes 3-pt shot from 26 ft (assist by I. Thomas),3,70-59,,
6:12.0,,,70-59,,Toronto full timeout
6:01.0,,,70-59,,D. DeRozan misses 2-pt shot from 19 ft
6:01.0,Defensive rebound by Team,,70-59,,
5:44.0,K. Olynyk misses 2-pt shot from 18 ft,,70-59,,
5:43.0,,,70-59,,Defensive rebound by D. DeRozan
5:35.0,,,70-59,,D. DeRozan misses 2-pt shot from 10 ft
5:34.0,,,70-59,,Offensive rebound by D. DeRozan
5:29.0,,,70-59,,Turnover by D. Carroll (lost ball; steal by M. Smart)
5:25.0,I. Thomas makes 3-pt shot from 26 ft,3,73-59,,
5:25.0,Shooting foul by K. Lowry (drawn by I. Thomas),,73-59,,
5:25.0,I. Thomas misses free throw 1 of 1,,73-59,,
5:22.0,,,73-59,,Defensive rebound by J. Valanciunas
5:10.0,,,73-59,,Turnover by J. Valanciunas (bad pass; steal by M. Smart)
5:05.0,M. Smart makes 2-pt shot at rim,2,75-59,,
5:01.0,,,75-59,,Toronto full timeout
4:51.0,,,75-62,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. Carroll)
4:36.0,Turnover by J. Crowder (lost ball; steal by D. Carroll),,75-62,,
4:22.0,,,75-64,2,D. DeRozan makes 2-pt shot from 4 ft
4:21.0,Boston full timeout,,75-64,,
4:21.0,,,75-64,,T. Ross enters the game for J. Valanciunas
4:01.0,J. Crowder misses 3-pt shot from 26 ft,,75-64,,
4:01.0,,,75-64,,Defensive rebound by D. DeRozan
3:50.0,,,75-66,2,D. DeRozan makes 2-pt shot from 2 ft
3:29.0,,,75-66,,Personal foul by L. Nogueira (drawn by I. Thomas)
3:29.0,J. Brown enters the game for J. Crowder,,75-66,,
3:29.0,G. Green enters the game for I. Thomas,,75-66,,
3:22.0,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart),2,77-66,,
3:06.0,,,77-66,,D. DeRozan misses 2-pt shot from 5 ft
3:05.0,Defensive rebound by A. Horford,,77-66,,
2:56.0,Turnover by A. Horford (bad pass),,77-66,,
2:45.0,,,77-68,2,K. Lowry makes 2-pt shot from 5 ft
2:32.0,Offensive foul by G. Green,,77-68,,
2:32.0,Turnover by G. Green (offensive foul),,77-68,,
2:32.0,J. Jerebko enters the game for A. Horford,,77-68,,
2:32.0,,,77-68,,C. Joseph enters the game for K. Lowry
2:17.0,,,77-68,,D. DeRozan misses 2-pt shot from 4 ft
2:17.0,Defensive rebound by J. Jerebko,,77-68,,
2:17.0,,,77-68,,Personal foul by D. DeRozan (drawn by J. Jerebko)
2:17.0,,,77-68,,Technical foul by D. DeRozan (drawn by J. Jerebko)
2:17.0,G. Green makes technical free throw,1,78-68,,
2:17.0,J. Jerebko makes free throw 1 of 2,1,79-68,,
2:17.0,J. Jerebko makes free throw 2 of 2,1,80-68,,
2:06.0,,,80-68,,Shooting foul by K. Olynyk (drawn by D. DeRozan)
2:06.0,,,80-69,1,D. DeRozan makes free throw 1 of 2
2:06.0,,,80-70,1,D. DeRozan makes free throw 2 of 2
1:55.0,J. Brown misses 2-pt shot from 2 ft,,80-70,,
1:55.0,,,80-70,,Defensive rebound by D. DeRozan
1:47.0,,,80-72,2,D. DeRozan makes 2-pt shot from 4 ft
1:43.0,Turnover by M. Smart (bad pass; steal by T. Ross),,80-72,,
1:36.0,,,80-75,3,D. Carroll makes 3-pt shot from 27 ft (assist by T. Ross)
1:16.0,M. Smart misses 2-pt shot from 4 ft,,80-75,,
1:16.0,,,80-75,,Defensive rebound by D. DeRozan
1:06.0,,,80-75,,D. DeRozan misses 2-pt shot from 5 ft
1:06.0,,,80-75,,Offensive rebound by L. Nogueira
1:06.0,,,80-75,,Shooting foul by K. Olynyk (drawn by L. Nogueira)
1:06.0,,,80-76,1,L. Nogueira makes free throw 1 of 2
1:06.0,,,80-76,,L. Nogueira misses free throw 2 of 2
1:06.0,I. Thomas enters the game for M. Smart,,80-76,,
1:06.0,J. Crowder enters the game for J. Brown,,80-76,,
1:04.0,Defensive rebound by K. Olynyk,,80-76,,
0:54.0,,,80-76,,Personal foul by C. Joseph (drawn by I. Thomas)
0:54.0,I. Thomas makes free throw 1 of 2,1,81-76,,
0:54.0,I. Thomas makes free throw 2 of 2,1,82-76,,
0:46.0,,,82-78,2,D. DeRozan makes 2-pt shot from 4 ft
0:33.0,K. Olynyk misses 2-pt shot from 2 ft,,82-78,,
0:32.0,,,82-78,,Defensive rebound by D. DeRozan
0:29.0,,,82-78,,Shooting foul by J. Crowder (drawn by D. DeRozan)
0:29.0,,,82-79,1,D. DeRozan makes free throw 1 of 2
0:29.0,,,82-80,1,D. DeRozan makes free throw 2 of 2
0:07.0,I. Thomas makes 2-pt shot from 1 ft,2,84-80,,
0:02.0,,,84-80,,D. DeRozan misses 3-pt shot from 28 ft
0:01.0,Defensive rebound by G. Green,,84-80,,
0:00.0,G. Green misses 3-pt shot from 75 ft,,84-80,,
0:00.0,Offensive rebound by Team,,84-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,84-80,,P. Patterson misses 2-pt shot from 5 ft
11:48.0,Defensive rebound by G. Green,,84-80,,
11:31.0,K. Olynyk misses 2-pt shot from 16 ft,,84-80,,
11:31.0,,,84-80,,Defensive rebound by P. Patterson
11:21.0,,,84-80,,Turnover by T. Ross (bad pass; steal by J. Jerebko)
11:16.0,J. Crowder makes 2-pt shot at rim,2,86-80,,
10:59.0,,,86-80,,T. Ross misses 3-pt shot from 27 ft
10:59.0,Defensive rebound by J. Jerebko,,86-80,,
10:46.0,I. Thomas makes 3-pt shot from 25 ft,3,89-80,,
10:27.0,,,89-83,3,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson)
10:11.0,Shooting foul by L. Nogueira (drawn by I. Thomas),,89-83,,
10:11.0,I. Thomas makes free throw 1 of 2,1,90-83,,
10:11.0,I. Thomas makes free throw 2 of 2,1,91-83,,
9:58.0,Shooting block foul by K. Olynyk (drawn by K. Lowry),,91-83,,
9:58.0,,,91-84,1,K. Lowry makes free throw 1 of 2
9:58.0,,,91-84,,K. Lowry misses free throw 2 of 2
9:57.0,Defensive rebound by K. Olynyk,,91-84,,
9:36.0,I. Thomas misses 3-pt shot from 29 ft,,91-84,,
9:35.0,,,91-84,,Defensive rebound by L. Nogueira
9:20.0,,,91-87,3,C. Joseph makes 3-pt shot from 24 ft (assist by K. Lowry)
9:03.0,K. Olynyk misses 3-pt shot from 27 ft,,91-87,,
9:02.0,Offensive rebound by Team,,91-87,,
9:02.0,,,91-87,,Loose ball foul by P. Patterson (drawn by J. Crowder)
8:58.0,Official timeout,,91-87,,
8:58.0,,,91-87,,D. Carroll enters the game for P. Patterson
8:58.0,,,91-87,,J. Valanciunas enters the game for L. Nogueira
8:58.0,A. Horford enters the game for K. Olynyk,,91-87,,
8:48.0,J. Crowder makes 2-pt shot from 2 ft (assist by J. Jerebko),2,93-87,,
8:21.0,,,93-87,,J. Valanciunas misses 2-pt shot from 1 ft
8:21.0,,,93-87,,Offensive rebound by J. Valanciunas
8:21.0,,,93-87,,K. Lowry misses 2-pt shot from 4 ft
8:20.0,,,93-87,,Offensive rebound by J. Valanciunas
8:20.0,,,93-87,,J. Valanciunas misses 2-pt shot from 1 ft
8:19.0,,,93-87,,Offensive rebound by J. Valanciunas
8:19.0,,,93-87,,J. Valanciunas misses 2-pt shot from 1 ft
8:19.0,,,93-87,,Offensive rebound by J. Valanciunas
8:19.0,,,93-87,,J. Valanciunas misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by A. Horford,,93-87,,
8:06.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,95-87,,
7:53.0,Personal foul by J. Jerebko (drawn by D. Carroll),,95-87,,
7:53.0,,,95-87,,D. DeRozan enters the game for T. Ross
7:47.0,,,95-89,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
7:25.0,G. Green makes 2-pt shot from 13 ft,2,97-89,,
7:09.0,,,97-89,,Shooting foul by J. Jerebko (drawn by K. Lowry)
7:09.0,,,97-90,1,K. Lowry makes free throw 1 of 2
7:09.0,,,97-91,1,K. Lowry makes free throw 2 of 2
7:09.0,M. Smart enters the game for I. Thomas,,97-90,,
6:55.0,A. Horford misses 3-pt shot from 26 ft,,97-91,,
6:55.0,,,97-91,,Defensive rebound by Team
6:36.0,,,97-91,,K. Lowry misses 2-pt shot from 3 ft
6:36.0,,,97-91,,Offensive rebound by Team
6:33.0,,,97-91,,D. Carroll misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by Team,,97-91,,
6:19.0,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart),3,100-91,,
6:00.0,,,100-93,2,D. DeRozan makes 2-pt shot from 19 ft
6:00.0,,,100-93,,Shooting foul by A. Horford (drawn by D. DeRozan)
6:00.0,,,100-93,,D. DeRozan misses free throw 1 of 1
5:59.0,,,100-93,,Offensive rebound by J. Valanciunas
5:59.0,,,100-93,,J. Valanciunas misses 2-pt shot from 1 ft
5:56.0,,,100-93,,Offensive rebound by D. Carroll
5:55.0,,,100-93,,D. Carroll misses 2-pt shot from 1 ft
5:54.0,Defensive rebound by G. Green,,100-93,,
5:31.0,,,100-93,,Toronto full timeout
5:31.0,I. Thomas enters the game for J. Jerebko,,100-93,,
5:30.0,M. Smart misses 2-pt shot from 18 ft,,100-93,,
5:30.0,Offensive rebound by Team,,100-93,,
5:30.0,Turnover by Team (shot clock),,100-93,,
5:18.0,Violation by G. Green (def goaltending),,100-93,,
5:18.0,,,100-95,2,J. Valanciunas makes 2-pt shot from 5 ft
5:05.0,A. Horford makes 2-pt shot from 2 ft (assist by I. Thomas),2,102-95,,
4:49.0,,,102-95,,Shooting foul by G. Green (drawn by D. DeRozan)
4:49.0,,,102-96,1,D. DeRozan makes free throw 1 of 2
4:49.0,,,102-97,1,D. DeRozan makes free throw 2 of 2
4:37.0,J. Crowder misses 3-pt shot from 25 ft,,102-97,,
4:36.0,,,102-97,,Defensive rebound by J. Valanciunas
4:22.0,,,102-99,2,D. DeRozan makes 2-pt shot from 16 ft
4:22.0,Boston full timeout,,102-99,,
