time,Brooklyn,pts.away,score,pts.home,San Antonio
8:20.0,,,36-52,3,J. Simmons makes 3-pt shot from 24 ft (assist by D. Dedmon)
8:07.0,C. LeVert makes 2-pt shot from 2 ft (assist by B. Lopez),2,38-52,,
7:55.0,,,38-54,2,T. Parker makes 2-pt shot from 17 ft
7:45.0,B. Bogdanovic misses 2-pt shot from 15 ft,,38-54,,
7:43.0,,,38-54,,Defensive rebound by D. Lee
7:30.0,,,38-54,,J. Simmons misses 2-pt shot from 17 ft
7:30.0,,,38-54,,Offensive rebound by D. Lee
7:26.0,,,38-54,,D. Green misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by R. Hollis-Jefferson,,38-54,,
7:18.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,38-54,,
7:17.0,,,38-54,,Defensive rebound by D. Dedmon
6:59.0,,,38-56,2,D. Lee makes 2-pt shot from 1 ft (assist by T. Parker)
6:58.0,Brooklyn full timeout,,38-56,,
6:58.0,,,38-56,,P. Gasol enters the game for D. Dedmon
6:58.0,,,38-56,,K. Leonard enters the game for J. Simmons
6:58.0,L. Scola enters the game for B. Bogdanovic,,38-56,,
6:58.0,J. Harris enters the game for R. Hollis-Jefferson,,38-56,,
6:43.0,I. Whitehead misses 3-pt shot from 25 ft,,38-56,,
6:43.0,Offensive rebound by B. Lopez,,38-56,,
6:34.0,C. LeVert misses 3-pt shot from 25 ft,,38-56,,
6:34.0,,,38-56,,Defensive rebound by D. Green
6:30.0,,,38-58,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
6:11.0,I. Whitehead misses 2-pt shot from 1 ft,,38-58,,
6:10.0,Offensive rebound by B. Lopez,,38-58,,
6:04.0,J. Harris makes 2-pt shot from 1 ft (assist by C. LeVert),2,40-58,,
5:50.0,,,40-58,,P. Gasol misses 2-pt shot from 15 ft
5:49.0,Defensive rebound by L. Scola,,40-58,,
5:39.0,J. Harris misses 2-pt shot from 20 ft,,40-58,,
5:39.0,,,40-58,,Defensive rebound by D. Lee
5:14.0,,,40-58,,D. Green misses 2-pt shot from 15 ft
5:11.0,Defensive rebound by L. Scola,,40-58,,
5:07.0,L. Scola makes 2-pt shot from 1 ft (assist by I. Whitehead),2,42-58,,
4:46.0,,,42-58,,K. Leonard misses 2-pt shot from 14 ft
4:44.0,Defensive rebound by J. Harris,,42-58,,
4:39.0,C. LeVert misses 2-pt shot from 8 ft,,42-58,,
4:36.0,Offensive rebound by L. Scola,,42-58,,
4:35.0,L. Scola misses 2-pt shot from 3 ft,,42-58,,
4:35.0,Offensive rebound by Team,,42-58,,
4:35.0,,,42-58,,L. Aldridge enters the game for D. Lee
4:35.0,S. Kilpatrick enters the game for B. Lopez,,42-58,,
4:35.0,T. Booker enters the game for C. LeVert,,42-58,,
4:31.0,Shooting foul by D. Green (drawn by J. Harris),,42-58,,
4:31.0,J. Harris makes free throw 1 of 2,1,43-58,,
4:31.0,J. Harris misses free throw 2 of 2,,43-58,,
4:29.0,,,43-58,,Defensive rebound by P. Gasol
4:19.0,Personal foul by L. Scola (drawn by P. Gasol),,43-58,,
4:12.0,,,43-58,,T. Parker misses 2-pt shot from 14 ft
4:09.0,Defensive rebound by T. Booker,,43-58,,
4:06.0,J. Harris makes 2-pt shot from 1 ft (assist by T. Booker),2,45-58,,
3:50.0,,,45-58,,T. Parker misses 2-pt shot from 7 ft
3:49.0,Defensive rebound by L. Scola,,45-58,,
3:40.0,I. Whitehead misses 2-pt shot from 1 ft,,45-58,,
3:39.0,,,45-58,,Defensive rebound by P. Gasol
3:20.0,,,45-60,2,K. Leonard makes 2-pt shot from 1 ft
3:02.0,T. Booker makes 2-pt shot from 9 ft,2,47-60,,
2:44.0,,,47-60,,Shooting foul by L. Scola (drawn by K. Leonard)
2:44.0,Official timeout,,47-60,,
2:44.0,,,47-61,1,K. Leonard makes free throw 1 of 2
2:44.0,,,47-62,1,K. Leonard makes free throw 2 of 2
2:44.0,,,47-60,,P. Mills enters the game for T. Parker
2:44.0,,,47-60,,M. Ginobili enters the game for D. Green
2:44.0,R. Hollis-Jefferson enters the game for I. Whitehead,,47-60,,
2:30.0,Turnover by L. Scola (bad pass; steal by K. Leonard),,47-62,,
2:14.0,,,47-62,,P. Mills misses 3-pt shot from 25 ft
2:14.0,,,47-62,,Offensive rebound by Team
2:14.0,Loose ball foul by J. Harris (drawn by P. Gasol),,47-62,,
2:14.0,,,47-63,1,P. Gasol makes free throw 1 of 2
2:14.0,,,47-63,,P. Gasol misses free throw 2 of 2
2:13.0,Defensive rebound by T. Booker,,47-63,,
2:02.0,Brooklyn full timeout,,47-63,,
1:46.0,R. Hollis-Jefferson misses 2-pt shot from 16 ft,,47-63,,
1:46.0,,,47-63,,Defensive rebound by P. Gasol
1:34.0,Personal foul by J. Harris (drawn by K. Leonard),,47-63,,
1:34.0,,,47-64,1,K. Leonard makes free throw 1 of 2
1:34.0,,,47-65,1,K. Leonard makes free throw 2 of 2
1:15.0,S. Kilpatrick misses 3-pt shot from 22 ft,,47-65,,
1:15.0,Offensive rebound by L. Scola,,47-65,,
1:15.0,L. Scola makes 2-pt shot at rim,2,49-65,,
1:15.0,Shooting foul by L. Aldridge (drawn by L. Scola),,49-65,,
1:15.0,L. Scola makes free throw 1 of 1,1,50-65,,
0:56.0,,,50-65,,K. Leonard misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by R. Hollis-Jefferson,,50-65,,
0:49.0,Shooting foul by P. Mills (drawn by S. Kilpatrick),,50-65,,
0:49.0,S. Kilpatrick makes free throw 1 of 2,1,51-65,,
0:49.0,S. Kilpatrick makes free throw 2 of 2,1,52-65,,
0:34.0,,,52-65,,P. Gasol misses 2-pt shot from 18 ft
0:33.0,Defensive rebound by R. Hollis-Jefferson,,52-65,,
0:24.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by L. Aldridge),,52-65,,
0:24.0,,,52-65,,Defensive rebound by Team
0:05.0,,,52-65,,K. Leonard misses 2-pt shot from 11 ft
0:05.0,,,52-65,,Offensive rebound by L. Aldridge
0:05.0,,,52-67,2,L. Aldridge makes 2-pt shot at rim
0:01.0,Turnover by R. Hollis-Jefferson (bad pass; steal by P. Mills),,52-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,52-69,2,L. Aldridge makes 2-pt shot from 21 ft (assist by T. Parker)
11:14.0,T. Booker misses 3-pt shot from 22 ft,,52-69,,
11:13.0,,,52-69,,Defensive rebound by T. Parker
11:02.0,,,52-71,2,T. Parker makes 2-pt shot from 1 ft (assist by P. Gasol)
11:02.0,,,52-71,,Shooting foul by I. Whitehead (drawn by T. Parker)
11:02.0,,,52-72,1,T. Parker makes free throw 1 of 1
10:50.0,S. Kilpatrick misses 2-pt shot from 16 ft,,52-72,,
10:49.0,,,52-72,,Defensive rebound by L. Aldridge
10:34.0,,,52-72,,P. Gasol misses 2-pt shot from 7 ft
10:32.0,Defensive rebound by B. Bogdanovic,,52-72,,
10:28.0,T. Booker makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,54-72,,
10:11.0,,,54-72,,P. Gasol misses 2-pt shot from 19 ft
10:11.0,Defensive rebound by B. Bogdanovic,,54-72,,
10:07.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by P. Gasol),,54-72,,
10:06.0,,,54-72,,Defensive rebound by P. Gasol
9:59.0,,,54-72,,Shooting foul by S. Kilpatrick (drawn by K. Leonard)
9:59.0,,,54-73,1,K. Leonard makes free throw 1 of 2
9:59.0,,,54-74,1,K. Leonard makes free throw 2 of 2
9:45.0,Shooting foul by P. Gasol (drawn by B. Lopez),,54-74,,
9:45.0,B. Lopez makes free throw 1 of 2,1,55-74,,
9:45.0,B. Lopez makes free throw 2 of 2,1,56-74,,
9:31.0,,,56-74,,Turnover by P. Gasol (bad pass; steal by I. Whitehead)
9:26.0,S. Kilpatrick misses 2-pt shot from 1 ft (block by D. Green),,56-74,,
9:24.0,Offensive rebound by S. Kilpatrick,,56-74,,
9:16.0,I. Whitehead misses 3-pt shot from 25 ft,,56-74,,
9:13.0,,,56-74,,Defensive rebound by K. Leonard
9:02.0,,,56-76,2,L. Aldridge makes 2-pt shot from 13 ft
8:52.0,I. Whitehead makes 2-pt shot from 1 ft,2,58-76,,
8:37.0,,,58-76,,K. Leonard misses 2-pt shot from 10 ft
8:36.0,Defensive rebound by B. Lopez,,58-76,,
8:30.0,B. Bogdanovic misses 2-pt shot from 10 ft,,58-76,,
8:28.0,,,58-76,,Defensive rebound by D. Green
8:11.0,,,58-76,,Turnover by P. Gasol (traveling)
7:59.0,Shooting foul by P. Gasol (drawn by B. Lopez),,58-76,,
7:59.0,B. Lopez makes free throw 1 of 2,1,59-76,,
7:59.0,B. Lopez makes free throw 2 of 2,1,60-76,,
7:43.0,,,60-76,,Turnover by P. Gasol (bad pass)
7:38.0,Shooting foul by K. Leonard (drawn by B. Bogdanovic),,60-76,,
7:38.0,B. Bogdanovic makes free throw 1 of 2,1,61-76,,
7:38.0,,,61-76,,San Antonio full timeout
7:38.0,B. Bogdanovic misses free throw 2 of 2,,61-76,,
7:36.0,,,61-76,,Defensive rebound by L. Aldridge
7:23.0,,,61-78,2,D. Green makes 2-pt shot from 19 ft (assist by L. Aldridge)
7:16.0,Turnover by S. Kilpatrick (lost ball; steal by D. Green),,61-78,,
6:56.0,,,61-80,2,P. Gasol makes 2-pt shot from 20 ft (assist by L. Aldridge)
6:37.0,B. Lopez makes 2-pt shot from 9 ft,2,63-80,,
6:16.0,,,63-83,3,K. Leonard makes 3-pt shot from 26 ft (assist by T. Parker)
5:59.0,I. Whitehead misses 3-pt shot from 24 ft,,63-83,,
5:59.0,,,63-83,,Defensive rebound by L. Aldridge
5:52.0,R. Foye enters the game for I. Whitehead,,63-83,,
5:45.0,,,63-83,,P. Gasol misses 2-pt shot from 18 ft
5:44.0,,,63-83,,Offensive rebound by K. Leonard
5:39.0,,,63-85,2,K. Leonard makes 2-pt shot from 15 ft
5:27.0,Shooting foul by P. Gasol (drawn by B. Lopez),,63-85,,
5:27.0,B. Lopez makes free throw 1 of 2,1,64-85,,
5:27.0,B. Lopez makes free throw 2 of 2,1,65-85,,
5:27.0,,,64-85,,P. Mills enters the game for T. Parker
5:27.0,,,64-85,,M. Ginobili enters the game for D. Green
5:27.0,,,64-85,,D. Lee enters the game for P. Gasol
5:27.0,A. Bennett enters the game for T. Booker,,64-85,,
5:11.0,,,65-88,3,K. Leonard makes 3-pt shot from 26 ft (assist by M. Ginobili)
4:56.0,,,65-88,,Personal foul by M. Ginobili (drawn by B. Lopez)
4:56.0,B. Lopez makes free throw 1 of 2,1,66-88,,
4:56.0,B. Lopez makes free throw 2 of 2,1,67-88,,
4:56.0,J. Harris enters the game for S. Kilpatrick,,66-88,,
4:48.0,,,67-88,,Offensive foul by L. Aldridge
4:48.0,,,67-88,,Turnover by L. Aldridge (offensive foul)
4:32.0,B. Lopez misses 2-pt shot from 7 ft,,67-88,,
4:31.0,Offensive rebound by A. Bennett,,67-88,,
4:31.0,A. Bennett misses 2-pt shot from 2 ft,,67-88,,
4:28.0,,,67-88,,Defensive rebound by D. Lee
4:21.0,,,67-88,,L. Aldridge misses 2-pt shot from 18 ft
4:21.0,Defensive rebound by B. Bogdanovic,,67-88,,
4:08.0,B. Bogdanovic misses 2-pt shot from 1 ft,,67-88,,
4:07.0,,,67-88,,Defensive rebound by M. Ginobili
4:02.0,,,67-91,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
3:50.0,Turnover by A. Bennett (traveling),,67-91,,
3:50.0,T. Booker enters the game for B. Lopez,,67-91,,
3:50.0,,,67-91,,J. Simmons enters the game for K. Leonard
3:36.0,,,67-91,,L. Aldridge misses 2-pt shot from 17 ft
3:36.0,,,67-91,,Offensive rebound by D. Lee
3:22.0,,,67-91,,M. Ginobili misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by A. Bennett,,67-91,,
3:07.0,Turnover by T. Booker (bad pass),,67-91,,
3:07.0,C. LeVert enters the game for B. Bogdanovic,,67-91,,
3:07.0,,,67-91,,D. Bertans enters the game for L. Aldridge
3:07.0,Brooklyn full timeout,,67-91,,
2:53.0,,,67-91,,Turnover by M. Ginobili (bad pass; steal by R. Foye)
2:40.0,J. Harris makes 3-pt shot from 24 ft (assist by T. Booker),3,70-91,,
2:17.0,,,70-94,3,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons)
1:56.0,A. Bennett misses 3-pt shot from 23 ft,,70-94,,
1:55.0,,,70-94,,Defensive rebound by D. Lee
1:38.0,,,70-94,,D. Bertans misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by R. Foye,,70-94,,
1:32.0,Turnover by R. Foye (bad pass; steal by P. Mills),,70-94,,
1:27.0,,,70-96,2,P. Mills makes 2-pt shot from 1 ft
1:10.0,Turnover by J. Harris (lost ball; steal by M. Ginobili),,70-96,,
1:04.0,,,70-99,3,P. Mills makes 3-pt shot from 25 ft
1:04.0,Brooklyn full timeout,,70-99,,
0:45.0,J. Harris misses 2-pt shot from 5 ft,,70-99,,
0:45.0,,,70-99,,Defensive rebound by D. Bertans
0:38.0,,,70-99,,Shooting foul by R. Foye (drawn by D. Lee)
0:38.0,,,70-100,1,D. Lee makes free throw 1 of 2
0:38.0,,,70-101,1,D. Lee makes free throw 2 of 2
0:30.0,R. Foye misses 3-pt shot from 25 ft,,70-101,,
0:29.0,,,70-101,,Defensive rebound by D. Bertans
0:11.0,,,70-101,,P. Mills misses 2-pt shot from 20 ft
0:11.0,Defensive rebound by C. LeVert,,70-101,,
0:10.0,Turnover by C. LeVert (lost ball),,70-101,,
0:07.0,,,70-103,2,J. Simmons makes 2-pt shot from 1 ft (assist by D. Lee)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:59.0,Turnover by I. Whitehead (lost ball),,70-103,,
11:45.0,,,70-103,,P. Gasol misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by A. Bennett,,70-103,,
11:37.0,S. Kilpatrick misses 2-pt shot from 14 ft,,70-103,,
11:34.0,Offensive rebound by B. Lopez,,70-103,,
11:30.0,Turnover by A. Bennett (lost ball; steal by D. Bertans),,70-103,,
11:17.0,,,70-105,2,J. Simmons makes 2-pt shot at rim (assist by M. Ginobili)
10:56.0,B. Bogdanovic misses 3-pt shot from 23 ft,,70-105,,
10:55.0,Offensive rebound by A. Bennett,,70-105,,
10:53.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by A. Bennett),2,72-105,,
10:30.0,,,72-107,2,P. Gasol makes 2-pt shot from 18 ft (assist by N. Laprovittola)
10:15.0,Turnover by I. Whitehead (lost ball; steal by M. Ginobili),,72-107,,
10:12.0,Personal take foul by B. Bogdanovic (drawn by J. Simmons),,72-107,,
10:12.0,,,72-107,,K. Anderson enters the game for M. Ginobili
10:03.0,,,72-110,3,N. Laprovittola makes 3-pt shot from 25 ft (assist by P. Gasol)
9:54.0,,,72-110,,Personal foul by K. Anderson (drawn by B. Bogdanovic)
9:54.0,S. Dinwiddie enters the game for I. Whitehead,,72-110,,
9:47.0,S. Dinwiddie makes 2-pt shot from 1 ft (assist by B. Lopez),2,74-110,,
9:32.0,,,74-110,,N. Laprovittola misses 2-pt shot at rim
9:29.0,Defensive rebound by A. Bennett,,74-110,,
9:17.0,A. Bennett misses 2-pt shot from 1 ft,,74-110,,
9:16.0,,,74-110,,Defensive rebound by K. Anderson
9:09.0,,,74-112,2,P. Gasol makes 2-pt shot at rim (assist by N. Laprovittola)
8:53.0,B. Bogdanovic makes 2-pt shot from 5 ft (assist by B. Lopez),2,76-112,,
8:53.0,Shooting foul by K. Anderson (drawn by B. Bogdanovic),,76-112,,
8:53.0,Official timeout,,76-112,,
8:53.0,B. Bogdanovic makes free throw 1 of 1,1,77-112,,
8:53.0,,,76-112,,D. Lee enters the game for D. Bertans
8:53.0,L. Scola enters the game for B. Lopez,,76-112,,
8:53.0,R. Hollis-Jefferson enters the game for A. Bennett,,76-112,,
8:41.0,,,77-114,2,P. Gasol makes 2-pt shot from 6 ft (assist by N. Laprovittola)
8:41.0,,,77-114,,Shooting foul by L. Scola (drawn by P. Gasol)
8:41.0,,,77-115,1,P. Gasol makes free throw 1 of 1
8:41.0,R. Foye enters the game for B. Bogdanovic,,77-114,,
8:41.0,J. Harris enters the game for S. Kilpatrick,,77-114,,
8:23.0,S. Dinwiddie makes 2-pt shot from 19 ft,2,79-115,,
8:10.0,,,79-115,,Turnover by K. Anderson (bad pass; steal by S. Dinwiddie)
8:04.0,L. Scola makes 2-pt shot from 1 ft (assist by R. Foye),2,81-115,,
7:59.0,,,81-115,,San Antonio full timeout
7:56.0,,,81-115,,Turnover by N. Laprovittola (lost ball)
7:45.0,Turnover by S. Dinwiddie (bad pass),,81-115,,
7:34.0,,,81-115,,N. Laprovittola misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by L. Scola,,81-115,,
7:24.0,Shooting foul by P. Gasol (drawn by L. Scola),,81-115,,
7:24.0,L. Scola makes free throw 1 of 2,1,82-115,,
7:24.0,L. Scola makes free throw 2 of 2,1,83-115,,
7:24.0,,,82-115,,D. Bertans enters the game for P. Gasol
7:03.0,,,83-115,,K. Anderson misses 2-pt shot from 18 ft
7:03.0,Defensive rebound by J. Harris,,83-115,,
6:47.0,L. Scola misses 2-pt shot from 5 ft (block by N. Laprovittola),,83-115,,
6:46.0,,,83-115,,Defensive rebound by D. Bertans
6:43.0,,,83-117,2,D. Lee makes 2-pt shot at rim (assist by J. Simmons)
6:26.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft,2,85-117,,
6:10.0,,,85-117,,D. Bertans misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by L. Scola,,85-117,,
6:01.0,S. Dinwiddie makes 2-pt shot from 10 ft,2,87-117,,
5:40.0,,,87-117,,San Antonio full timeout
5:40.0,,,87-117,,D. Green enters the game for J. Simmons
5:36.0,,,87-117,,D. Bertans misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by S. Dinwiddie,,87-117,,
5:28.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by D. Bertans),,87-117,,
5:28.0,Offensive rebound by L. Scola,,87-117,,
5:28.0,Shooting foul by D. Lee (drawn by L. Scola),,87-117,,
