time,San Antonio,pts.away,score,pts.home,Minnesota
10:59.0,,,27-23,,Offensive rebound by Team
10:59.0,,,27-24,1,K. Towns makes free throw 2 of 2
10:59.0,T. Parker enters the game for P. Mills,,27-23,,
10:38.0,M. Ginobili misses 2-pt shot from 19 ft,,27-24,,
10:37.0,,,27-24,,Defensive rebound by T. Jones
10:20.0,,,27-24,,T. Jones misses 2-pt shot from 17 ft
10:18.0,,,27-24,,Offensive rebound by Team
10:18.0,D. Green enters the game for M. Ginobili,,27-24,,
10:14.0,,,27-24,,K. Towns misses 2-pt shot at rim
10:13.0,,,27-24,,Offensive rebound by S. Muhammad
10:11.0,,,27-26,2,S. Muhammad makes 2-pt shot at rim
9:58.0,P. Gasol makes 3-pt shot from 25 ft (assist by T. Parker),3,30-26,,
9:37.0,,,30-28,2,K. Towns makes 2-pt shot from 1 ft
9:22.0,Turnover by T. Parker (bad pass; steal by T. Jones),,30-28,,
9:10.0,,,30-28,,Offensive charge foul by O. Casspi
9:10.0,,,30-28,,Turnover by O. Casspi (offensive foul)
9:10.0,D. Dedmon enters the game for P. Gasol,,30-28,,
8:49.0,J. Simmons misses 2-pt shot from 7 ft (block by K. Towns),,30-28,,
8:48.0,Offensive rebound by D. Bertans,,30-28,,
8:47.0,D. Bertans misses 2-pt shot from 23 ft,,30-28,,
8:46.0,Offensive rebound by Team,,30-28,,
8:46.0,Turnover by Team (shot clock),,30-28,,
8:46.0,,,30-28,,Minnesota full timeout
8:46.0,K. Leonard enters the game for J. Simmons,,30-28,,
8:32.0,,,30-31,3,S. Muhammad makes 3-pt shot from 26 ft (assist by T. Jones)
8:18.0,Turnover by D. Bertans (bad pass),,30-31,,
8:07.0,,,30-31,,K. Dunn misses 3-pt shot from 24 ft
8:06.0,,,30-31,,Offensive rebound by K. Towns
7:57.0,,,30-31,,K. Towns misses 2-pt shot from 15 ft
7:55.0,,,30-31,,Offensive rebound by S. Muhammad
7:54.0,,,30-33,2,S. Muhammad makes 2-pt shot from 1 ft
7:43.0,,,30-33,,Personal foul by K. Dunn (drawn by T. Parker)
7:32.0,Turnover by K. Leonard (bad pass; steal by T. Jones),,30-33,,
7:20.0,,,30-33,,S. Muhammad misses 2-pt shot from 11 ft
7:19.0,,,30-33,,Offensive rebound by Team
7:19.0,Loose ball foul by T. Parker (drawn by S. Muhammad),,30-33,,
7:19.0,L. Aldridge enters the game for D. Bertans,,30-33,,
7:07.0,,,30-33,,S. Muhammad misses 2-pt shot from 2 ft
7:06.0,,,30-33,,Offensive rebound by K. Towns
7:06.0,,,30-35,2,K. Towns makes 2-pt shot from 2 ft
6:46.0,Turnover by K. Leonard (dbl dribble),,30-35,,
6:28.0,,,30-38,3,S. Muhammad makes 3-pt shot from 24 ft (assist by T. Jones)
6:11.0,T. Parker misses 3-pt shot from 24 ft,,30-38,,
6:09.0,,,30-38,,Defensive rebound by T. Jones
6:00.0,,,30-40,2,O. Casspi makes 2-pt shot at rim (assist by K. Towns)
5:59.0,San Antonio full timeout,,30-40,,
5:59.0,K. Anderson enters the game for K. Leonard,,30-40,,
5:59.0,P. Mills enters the game for D. Green,,30-40,,
5:59.0,M. Ginobili enters the game for T. Parker,,30-40,,
5:59.0,J. Simmons enters the game for D. Dedmon,,30-40,,
5:34.0,L. Aldridge misses 2-pt shot from 20 ft,,30-40,,
5:33.0,,,30-40,,Defensive rebound by K. Dunn
5:23.0,,,30-40,,Offensive foul by T. Jones
5:23.0,,,30-40,,Turnover by T. Jones (offensive foul)
5:10.0,M. Ginobili makes 2-pt shot from 1 ft,2,32-40,,
4:50.0,,,32-40,,Turnover by T. Jones (bad pass)
4:32.0,P. Mills misses 3-pt shot from 25 ft,,32-40,,
4:31.0,,,32-40,,Defensive rebound by K. Towns
4:17.0,Personal foul by M. Ginobili (drawn by K. Towns),,32-40,,
4:17.0,,,32-40,,R. Rubio enters the game for K. Dunn
4:17.0,,,32-40,,A. Wiggins enters the game for T. Jones
4:08.0,,,32-40,,Turnover by S. Muhammad (lost ball; steal by M. Ginobili)
4:02.0,M. Ginobili makes 2-pt shot from 12 ft,2,34-40,,
4:00.0,,,34-40,,Minnesota full timeout
3:49.0,,,34-40,,Shooting foul by K. Anderson (drawn by A. Wiggins)
3:49.0,,,34-41,1,A. Wiggins makes free throw 1 of 2
3:49.0,,,34-42,1,A. Wiggins makes free throw 2 of 2
3:26.0,P. Mills misses 3-pt shot from 22 ft,,34-42,,
3:25.0,,,34-42,,Defensive rebound by K. Towns
3:19.0,,,34-44,2,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins)
3:15.0,San Antonio full timeout,,34-44,,
2:56.0,L. Aldridge makes 2-pt shot from 6 ft,2,36-44,,
2:43.0,,,36-44,,Turnover by O. Casspi (lost ball)
2:43.0,D. Green enters the game for M. Ginobili,,36-44,,
2:25.0,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge),3,39-44,,
2:03.0,,,39-44,,A. Wiggins misses 2-pt shot from 15 ft
2:01.0,,,39-44,,Offensive rebound by S. Muhammad
1:58.0,,,39-44,,R. Rubio misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by K. Anderson,,39-44,,
1:40.0,D. Green misses 3-pt shot from 25 ft,,39-44,,
1:38.0,Offensive rebound by P. Mills,,39-44,,
1:37.0,Turnover by P. Mills (back court),,39-44,,
1:37.0,K. Leonard enters the game for K. Anderson,,39-44,,
1:22.0,,,39-46,2,S. Muhammad makes 2-pt shot from 13 ft (assist by R. Rubio)
1:03.0,J. Simmons misses 2-pt shot from 12 ft,,39-46,,
1:02.0,,,39-46,,Defensive rebound by K. Towns
0:56.0,,,39-48,2,S. Muhammad makes 2-pt shot from 2 ft (assist by R. Rubio)
0:40.0,L. Aldridge misses 2-pt shot from 13 ft,,39-48,,
0:39.0,,,39-48,,Defensive rebound by R. Rubio
0:27.0,,,39-48,,S. Muhammad misses 2-pt shot from 16 ft
0:25.0,,,39-48,,Offensive rebound by R. Rubio
0:21.0,,,39-51,3,O. Casspi makes 3-pt shot from 26 ft (assist by A. Wiggins)
0:09.0,,,39-51,,Personal foul by A. Wiggins (drawn by K. Leonard)
0:06.0,,,39-51,,Violation by K. Towns (kicked ball)
0:00.0,J. Simmons makes 3-pt shot from 23 ft (assist by P. Mills),3,42-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,P. Gasol misses 2-pt shot from 4 ft,,42-51,,
11:41.0,,,42-51,,Defensive rebound by R. Rubio
11:27.0,,,42-51,,K. Towns misses 2-pt shot from 6 ft
11:25.0,Defensive rebound by L. Aldridge,,42-51,,
11:08.0,L. Aldridge misses 2-pt shot from 18 ft,,42-51,,
11:07.0,,,42-51,,Defensive rebound by K. Towns
10:57.0,,,42-51,,Turnover by A. Wiggins (lost ball)
10:42.0,,,42-51,,Personal foul by R. Rubio (drawn by T. Parker)
10:31.0,Turnover by P. Gasol (bad pass; steal by R. Rubio),,42-51,,
10:27.0,,,42-53,2,R. Rubio makes 2-pt shot from 1 ft
10:09.0,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker),2,44-53,,
9:54.0,,,44-53,,Turnover by B. Rush (bad pass; steal by K. Leonard)
9:51.0,K. Leonard makes 2-pt shot at rim,2,46-53,,
9:29.0,,,46-53,,R. Rubio misses 2-pt shot from 5 ft
9:28.0,Defensive rebound by P. Gasol,,46-53,,
9:20.0,D. Green makes 2-pt shot from 14 ft (assist by T. Parker),2,48-53,,
9:02.0,,,48-53,,Shooting foul by K. Leonard (drawn by A. Wiggins)
9:02.0,,,48-53,,A. Wiggins misses free throw 1 of 2
9:02.0,,,48-53,,Offensive rebound by Team
9:02.0,,,48-53,,A. Wiggins misses free throw 2 of 2
9:02.0,,,48-53,,Offensive rebound by G. Dieng
8:45.0,,,48-56,3,R. Rubio makes 3-pt shot from 25 ft (assist by B. Rush)
8:23.0,Shooting foul by B. Rush (drawn by T. Parker),,48-56,,
8:23.0,T. Parker makes free throw 1 of 2,1,49-56,,
8:23.0,T. Parker makes free throw 2 of 2,1,50-56,,
8:18.0,,,50-56,,R. Rubio misses 2-pt shot from 1 ft (block by L. Aldridge)
8:16.0,Defensive rebound by P. Gasol,,50-56,,
7:59.0,L. Aldridge misses 2-pt shot at rim,,50-56,,
7:58.0,,,50-56,,Defensive rebound by K. Towns
7:44.0,,,50-58,2,A. Wiggins makes 2-pt shot from 15 ft (assist by R. Rubio)
7:28.0,P. Gasol misses 3-pt shot from 25 ft,,50-58,,
7:27.0,,,50-58,,Defensive rebound by A. Wiggins
7:16.0,,,50-58,,K. Towns misses 2-pt shot from 17 ft
7:14.0,,,50-58,,Offensive rebound by K. Towns
7:12.0,,,50-58,,K. Towns misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by P. Gasol,,50-58,,
7:04.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Green),2,52-58,,
6:47.0,,,52-58,,Turnover by R. Rubio (bad pass; steal by L. Aldridge)
6:42.0,K. Leonard makes 2-pt shot at rim (assist by T. Parker),2,54-58,,
6:40.0,,,54-58,,Minnesota full timeout
6:40.0,D. Dedmon enters the game for P. Gasol,,54-58,,
6:28.0,Personal foul by K. Leonard (drawn by A. Wiggins),,54-58,,
6:14.0,,,54-58,,Turnover by G. Dieng (lost ball; steal by K. Leonard)
5:55.0,Shooting foul by G. Dieng (drawn by L. Aldridge),,54-58,,
5:55.0,L. Aldridge makes free throw 1 of 2,1,55-58,,
5:55.0,L. Aldridge makes free throw 2 of 2,1,56-58,,
5:51.0,,,56-58,,Turnover by A. Wiggins (traveling)
5:36.0,L. Aldridge makes 2-pt shot from 10 ft,2,58-58,,
5:21.0,,,58-58,,Turnover by K. Towns (lost ball; steal by D. Green)
5:18.0,Shooting foul by A. Wiggins (drawn by K. Leonard),,58-58,,
5:18.0,K. Leonard makes free throw 1 of 2,1,59-58,,
5:18.0,K. Leonard makes free throw 2 of 2,1,60-58,,
5:09.0,,,60-58,,Shooting foul by D. Green (drawn by A. Wiggins)
5:09.0,,,60-59,1,A. Wiggins makes free throw 1 of 2
5:09.0,,,60-60,1,A. Wiggins makes free throw 2 of 2
4:56.0,K. Leonard misses 3-pt shot from 25 ft,,60-60,,
4:55.0,,,60-60,,Defensive rebound by B. Rush
4:41.0,,,60-60,,R. Rubio misses 2-pt shot from 19 ft
4:41.0,Defensive rebound by Team,,60-60,,
4:41.0,,,60-60,,Loose ball foul by K. Towns (drawn by D. Dedmon)
4:41.0,D. Dedmon misses free throw 1 of 2,,60-60,,
4:41.0,Offensive rebound by Team,,60-60,,
4:41.0,D. Dedmon makes free throw 2 of 2,1,61-60,,
4:27.0,,,61-62,2,G. Dieng makes 2-pt shot from 17 ft (assist by A. Wiggins)
4:05.0,L. Aldridge misses 2-pt shot from 12 ft,,61-62,,
4:05.0,Offensive rebound by Team,,61-62,,
4:05.0,,,61-62,,Loose ball foul by K. Towns (drawn by D. Dedmon)
4:05.0,D. Dedmon misses free throw 1 of 2,,61-62,,
4:05.0,Offensive rebound by Team,,61-62,,
4:05.0,D. Dedmon makes free throw 2 of 2,1,62-62,,
4:05.0,,,61-62,,O. Casspi enters the game for K. Towns
3:52.0,,,62-62,,Turnover by G. Dieng (lost ball)
3:29.0,Shooting foul by A. Wiggins (drawn by K. Leonard),,62-62,,
3:29.0,K. Leonard misses free throw 1 of 3,,62-62,,
3:29.0,Offensive rebound by Team,,62-62,,
3:29.0,K. Leonard makes free throw 2 of 3,1,63-62,,
3:29.0,K. Leonard makes free throw 3 of 3,1,64-62,,
3:29.0,P. Mills enters the game for T. Parker,,63-62,,
3:29.0,M. Ginobili enters the game for D. Green,,63-62,,
3:29.0,P. Gasol enters the game for L. Aldridge,,63-62,,
3:29.0,,,63-62,,S. Muhammad enters the game for B. Rush
3:14.0,,,64-62,,A. Wiggins misses 2-pt shot from 15 ft
3:12.0,Defensive rebound by K. Leonard,,64-62,,
3:06.0,P. Mills makes 2-pt shot from 1 ft (assist by K. Leonard),2,66-62,,
2:41.0,,,66-62,,A. Wiggins misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by M. Ginobili,,66-62,,
2:31.0,Shooting foul by G. Dieng (drawn by K. Leonard),,66-62,,
2:31.0,San Antonio full timeout,,66-62,,
2:31.0,K. Leonard makes free throw 1 of 2,1,67-62,,
2:31.0,K. Leonard makes free throw 2 of 2,1,68-62,,
2:31.0,,,66-62,,K. Dunn enters the game for R. Rubio
2:18.0,,,68-62,,Turnover by O. Casspi (lost ball; steal by D. Dedmon)
2:10.0,Turnover by D. Dedmon (bad pass; steal by S. Muhammad),,68-62,,
2:06.0,,,68-62,,S. Muhammad misses 2-pt shot from 14 ft
2:05.0,Defensive rebound by P. Gasol,,68-62,,
1:56.0,K. Leonard misses 3-pt shot from 25 ft,,68-62,,
1:54.0,,,68-62,,Defensive rebound by S. Muhammad
1:48.0,,,68-62,,Turnover by O. Casspi (lost ball; steal by M. Ginobili)
1:32.0,K. Leonard makes 2-pt shot from 16 ft (assist by P. Mills),2,70-62,,
1:32.0,Shooting foul by K. Dunn (drawn by K. Leonard),,70-62,,
1:32.0,K. Leonard misses free throw 1 of 1,,70-62,,
1:31.0,,,70-62,,Defensive rebound by Team
1:17.0,,,70-62,,S. Muhammad misses 2-pt shot from 12 ft
1:16.0,Defensive rebound by K. Leonard,,70-62,,
1:10.0,Turnover by M. Ginobili (bad pass; steal by K. Dunn),,70-62,,
1:04.0,,,70-64,2,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng)
0:46.0,K. Leonard misses 3-pt shot from 25 ft,,70-64,,
0:43.0,,,70-64,,Defensive rebound by G. Dieng
0:37.0,,,70-64,,Offensive charge foul by K. Dunn
0:37.0,,,70-64,,Turnover by K. Dunn (offensive foul)
0:31.0,M. Ginobili makes 3-pt shot from 25 ft,3,73-64,,
0:11.0,,,73-64,,Shooting foul by P. Gasol (drawn by A. Wiggins)
0:11.0,,,73-65,1,A. Wiggins makes free throw 1 of 3
0:11.0,,,73-66,1,A. Wiggins makes free throw 2 of 3
0:11.0,,,73-67,1,A. Wiggins makes free throw 3 of 3
0:11.0,D. Bertans enters the game for D. Dedmon,,73-66,,
0:02.0,Turnover by K. Leonard (bad pass),,73-67,,
0:00.0,,,73-67,,S. Muhammad misses 3-pt shot from 40 ft
0:00.0,,,73-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,73-67,,Shooting foul by L. Aldridge (drawn by K. Towns)
11:39.0,,,73-68,1,K. Towns makes free throw 1 of 2
11:39.0,,,73-69,1,K. Towns makes free throw 2 of 2
11:20.0,M. Ginobili makes 2-pt shot from 18 ft,2,75-69,,
10:57.0,,,75-69,,Turnover by O. Casspi (lost ball; steal by M. Ginobili)
10:42.0,L. Aldridge makes 2-pt shot from 15 ft,2,77-69,,
10:21.0,,,77-69,,Shooting foul by D. Green (drawn by K. Towns)
10:21.0,,,77-70,1,K. Towns makes free throw 1 of 2
10:21.0,,,77-71,1,K. Towns makes free throw 2 of 2
10:05.0,L. Aldridge misses 2-pt shot from 2 ft (block by K. Towns),,77-71,,
10:03.0,Offensive rebound by M. Ginobili,,77-71,,
10:01.0,D. Green makes 2-pt shot from 1 ft (assist by M. Ginobili),2,79-71,,
9:45.0,,,79-74,3,K. Dunn makes 3-pt shot from 24 ft (assist by T. Jones)
9:33.0,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge),3,82-74,,
9:17.0,,,82-76,2,K. Towns makes 2-pt shot from 8 ft (assist by T. Jones)
9:11.0,San Antonio full timeout,,82-76,,
9:11.0,,,82-76,,G. Dieng enters the game for O. Casspi
9:03.0,L. Aldridge misses 2-pt shot from 19 ft,,82-76,,
9:01.0,,,82-76,,Defensive rebound by G. Dieng
8:43.0,Personal foul by P. Mills,,82-76,,
8:43.0,K. Leonard enters the game for M. Ginobili,,82-76,,
8:33.0,,,82-78,2,K. Towns makes 2-pt shot from 10 ft (assist by T. Jones)
8:13.0,K. Leonard makes 2-pt shot from 1 ft,2,84-78,,
7:49.0,Personal foul by L. Aldridge (drawn by K. Towns),,84-78,,
7:49.0,,,84-78,,A. Wiggins enters the game for T. Jones
7:49.0,P. Gasol enters the game for D. Dedmon,,84-78,,
7:49.0,T. Parker enters the game for P. Mills,,84-78,,
7:39.0,,,84-80,2,K. Dunn makes 2-pt shot from 18 ft
7:20.0,K. Leonard makes 2-pt shot from 8 ft,2,86-80,,
7:00.0,,,86-80,,A. Wiggins misses 2-pt shot from 21 ft
6:58.0,Defensive rebound by K. Leonard,,86-80,,
6:51.0,,,86-80,,Personal foul by G. Dieng (drawn by K. Leonard)
6:51.0,,,86-80,,R. Rubio enters the game for K. Dunn
6:51.0,J. Simmons enters the game for K. Leonard,,86-80,,
6:43.0,P. Gasol makes 2-pt shot from 6 ft,2,88-80,,
6:29.0,,,88-80,,Shooting foul by L. Aldridge (drawn by K. Towns)
6:29.0,,,88-81,1,K. Towns makes free throw 1 of 2
6:29.0,,,88-82,1,K. Towns makes free throw 2 of 2
6:29.0,,,88-81,,K. Dunn enters the game for S. Muhammad
6:04.0,P. Gasol misses 3-pt shot from 25 ft,,88-82,,
6:03.0,,,88-82,,Defensive rebound by K. Dunn
5:58.0,,,88-84,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
5:43.0,T. Parker misses 2-pt shot from 13 ft,,88-84,,
5:42.0,,,88-84,,Defensive rebound by A. Wiggins
5:24.0,,,88-84,,G. Dieng misses 3-pt shot from 23 ft
5:23.0,Defensive rebound by J. Simmons,,88-84,,
5:05.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Green),2,90-84,,
4:39.0,,,90-84,,A. Wiggins misses 2-pt shot from 1 ft
4:38.0,,,90-84,,Offensive rebound by K. Towns
4:38.0,,,90-86,2,K. Towns makes 2-pt shot at rim
4:23.0,L. Aldridge misses 2-pt shot from 21 ft,,90-86,,
4:22.0,Offensive rebound by J. Simmons,,90-86,,
4:22.0,J. Simmons makes 2-pt shot at rim,2,92-86,,
3:58.0,,,92-86,,G. Dieng misses 2-pt shot from 2 ft (block by P. Gasol)
3:55.0,Defensive rebound by L. Aldridge,,92-86,,
3:40.0,L. Aldridge misses 2-pt shot from 1 ft,,92-86,,
3:39.0,,,92-86,,Defensive rebound by R. Rubio
3:23.0,,,92-88,2,R. Rubio makes 2-pt shot from 17 ft
3:02.0,T. Parker misses 2-pt shot from 22 ft,,92-88,,
3:02.0,Offensive rebound by Team,,92-88,,
3:02.0,,,92-88,,Loose ball foul by G. Dieng (drawn by L. Aldridge)
3:02.0,San Antonio full timeout,,92-88,,
3:02.0,,,92-88,,Minnesota full timeout
3:02.0,K. Leonard enters the game for J. Simmons,,92-88,,
3:02.0,M. Ginobili enters the game for D. Green,,92-88,,
2:47.0,Turnover by L. Aldridge (lost ball; steal by K. Dunn),,92-88,,
2:31.0,,,92-88,,R. Rubio misses 2-pt shot from 22 ft
2:29.0,,,92-88,,Offensive rebound by Team
2:29.0,Loose ball foul by P. Gasol (drawn by A. Wiggins),,92-88,,
2:29.0,,,92-89,1,A. Wiggins makes free throw 1 of 2
2:29.0,,,92-90,1,A. Wiggins makes free throw 2 of 2
2:29.0,D. Green enters the game for M. Ginobili,,92-89,,
2:18.0,D. Green misses 3-pt shot from 24 ft,,92-90,,
2:17.0,,,92-90,,Defensive rebound by A. Wiggins
2:04.0,,,92-92,2,K. Towns makes 2-pt shot from 3 ft (assist by R. Rubio)
2:04.0,Shooting block foul by D. Green (drawn by K. Towns),,92-92,,
2:04.0,,,92-93,1,K. Towns makes free throw 1 of 1
2:04.0,M. Ginobili enters the game for D. Green,,92-92,,
1:45.0,Turnover by P. Gasol (bad pass; steal by K. Towns),,92-93,,
1:28.0,,,92-93,,K. Towns misses 3-pt shot from 24 ft
1:27.0,,,92-93,,Offensive rebound by G. Dieng
1:08.0,,,92-93,,Turnover by R. Rubio (bad pass; steal by T. Parker)
1:07.0,,,92-93,,Personal take foul by G. Dieng (drawn by T. Parker)
0:54.0,K. Leonard makes 2-pt shot from 19 ft,2,94-93,,
