time,Miami,pts.away,score,pts.home,Boston
5:55.0,,,43-32,,Shooting foul by W. Ellington (drawn by I. Thomas)
5:55.0,,,43-33,1,I. Thomas makes free throw 1 of 2
5:55.0,,,43-34,1,I. Thomas makes free throw 2 of 2
5:43.0,G. Dragic misses 3-pt shot from 26 ft,,43-34,,
5:41.0,Offensive rebound by W. Ellington,,43-34,,
5:32.0,,,43-34,,Personal foul by A. Bradley (drawn by J. Richardson)
5:20.0,H. Whiteside makes 2-pt shot from 12 ft,2,45-34,,
5:03.0,,,45-36,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Bradley)
4:46.0,Turnover by J. Richardson (bad pass; steal by J. Brown),,45-36,,
4:40.0,,,45-36,,Shooting foul by H. Whiteside (drawn by I. Thomas)
4:40.0,,,45-37,1,I. Thomas makes free throw 1 of 2
4:40.0,,,45-38,1,I. Thomas makes free throw 2 of 2
4:31.0,Turnover by G. Dragic (lost ball; steal by J. Crowder),,45-38,,
4:26.0,,,45-38,,M. Smart enters the game for J. Brown
4:26.0,J. Johnson enters the game for L. Babbitt,,45-38,,
4:26.0,T. Johnson enters the game for W. Ellington,,45-38,,
4:26.0,Jump ball: G. Dragic vs. I. Thomas (J. Richardson gains possession),,,,Jump ball: G. Dragic vs. I. Thomas (J. Richardson gains possession)
4:26.0,,,45-38,,Turnover by I. Thomas (lost ball; steal by G. Dragic)
4:01.0,Turnover by J. Johnson (bad pass),,45-38,,
3:56.0,,,45-38,,Shooting foul by J. Richardson (drawn by I. Thomas)
3:56.0,,,45-39,1,I. Thomas makes free throw 1 of 3
3:56.0,,,45-40,1,I. Thomas makes free throw 2 of 3
3:56.0,,,45-40,,I. Thomas misses free throw 3 of 3
3:56.0,Defensive rebound by H. Whiteside,,45-40,,
3:37.0,J. Johnson misses 2-pt shot from 7 ft,,45-40,,
3:35.0,,,45-40,,Defensive rebound by Team
3:23.0,,,45-40,,Turnover by I. Thomas (lost ball; steal by T. Johnson)
3:19.0,G. Dragic makes 2-pt shot at rim (assist by J. Richardson),2,47-40,,
3:08.0,,,47-40,,Turnover by A. Johnson (bad pass; steal by J. Johnson)
3:02.0,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson),3,50-40,,
2:49.0,,,50-42,2,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas)
2:49.0,,,50-42,,Shooting foul by T. Johnson (drawn by A. Johnson)
2:49.0,Official timeout,,50-42,,
2:49.0,,,50-43,1,A. Johnson makes free throw 1 of 1
2:26.0,G. Dragic misses 2-pt shot from 8 ft,,50-43,,
2:25.0,,,50-43,,Defensive rebound by A. Johnson
2:17.0,,,50-43,,A. Bradley misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by H. Whiteside,,50-43,,
2:09.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson),2,52-43,,
1:48.0,,,52-46,3,A. Johnson makes 3-pt shot from 25 ft (assist by M. Smart)
1:29.0,J. Richardson misses 2-pt shot from 8 ft,,52-46,,
1:28.0,Offensive rebound by T. Johnson,,52-46,,
1:28.0,T. Johnson makes 2-pt shot at rim,2,54-46,,
1:09.0,,,54-49,3,J. Crowder makes 3-pt shot from 26 ft (assist by M. Smart)
0:48.0,J. Johnson makes 2-pt shot from 19 ft,2,56-49,,
0:42.0,,,56-51,2,I. Thomas makes 2-pt shot from 1 ft
0:33.0,Miami full timeout,,56-51,,
0:33.0,,,56-51,,A. Horford enters the game for A. Johnson
0:33.0,R. McGruder enters the game for H. Whiteside,,56-51,,
0:33.0,W. Reed enters the game for G. Dragic,,56-51,,
0:21.0,T. Johnson makes 2-pt shot from 21 ft,2,58-51,,
0:06.0,,,58-53,2,J. Crowder makes 2-pt shot at rim (assist by A. Horford)
0:00.0,J. Johnson misses 3-pt shot from 26 ft,,58-53,,
0:00.0,Offensive rebound by Team,,58-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,,,58-53,,I. Thomas misses 2-pt shot from 2 ft
11:53.0,,,58-53,,Offensive rebound by A. Johnson
11:53.0,,,58-55,2,A. Johnson makes 2-pt shot from 2 ft
11:25.0,Turnover by J. Richardson (bad pass),,58-55,,
11:17.0,,,58-58,3,J. Crowder makes 3-pt shot from 26 ft (assist by A. Johnson)
10:51.0,J. Richardson misses 3-pt shot from 28 ft,,58-58,,
10:50.0,,,58-58,,Defensive rebound by A. Horford
10:37.0,,,58-58,,A. Horford misses 2-pt shot from 7 ft
10:36.0,Defensive rebound by R. McGruder,,58-58,,
10:17.0,L. Babbitt misses 2-pt shot from 11 ft,,58-58,,
10:16.0,,,58-58,,Defensive rebound by A. Horford
10:10.0,,,58-58,,A. Bradley misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by J. Richardson,,58-58,,
9:58.0,J. Richardson misses 2-pt shot from 3 ft,,58-58,,
9:58.0,Offensive rebound by Team,,58-58,,
9:58.0,,,58-58,,Loose ball foul by J. Crowder (drawn by H. Whiteside)
9:51.0,G. Dragic makes 2-pt shot from 11 ft (assist by J. Richardson),2,60-58,,
9:28.0,,,60-58,,I. Thomas misses 3-pt shot from 26 ft
9:26.0,,,60-58,,Offensive rebound by Team
9:26.0,,,60-58,,Turnover by J. Crowder (bad pass)
9:13.0,G. Dragic misses 2-pt shot from 12 ft,,60-58,,
9:12.0,,,60-58,,Defensive rebound by A. Horford
9:06.0,,,60-61,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Horford)
8:49.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,62-61,,
8:34.0,,,62-63,2,I. Thomas makes 2-pt shot at rim (assist by A. Johnson)
8:19.0,R. McGruder misses 3-pt shot from 23 ft,,62-63,,
8:18.0,Offensive rebound by H. Whiteside,,62-63,,
8:10.0,R. McGruder misses 3-pt shot from 23 ft,,62-63,,
8:09.0,Offensive rebound by Team,,62-63,,
8:04.0,H. Whiteside misses 2-pt shot from 8 ft,,62-63,,
8:03.0,Offensive rebound by R. McGruder,,62-63,,
8:02.0,R. McGruder misses 2-pt shot from 2 ft,,62-63,,
8:01.0,Offensive rebound by H. Whiteside,,62-63,,
8:00.0,H. Whiteside misses 2-pt shot at rim,,62-63,,
7:59.0,Offensive rebound by H. Whiteside,,62-63,,
7:58.0,H. Whiteside misses 2-pt shot at rim (block by J. Crowder),,62-63,,
7:57.0,Offensive rebound by Team,,62-63,,
7:53.0,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Richardson),3,65-63,,
7:32.0,,,65-65,2,A. Horford makes 2-pt shot from 1 ft
7:13.0,L. Babbitt misses 3-pt shot from 26 ft,,65-65,,
7:12.0,,,65-65,,Defensive rebound by A. Horford
7:07.0,,,65-67,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Horford)
7:04.0,Miami full timeout,,65-67,,
6:50.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,67-67,,
6:31.0,,,67-67,,A. Bradley misses 2-pt shot from 2 ft (block by H. Whiteside)
6:30.0,Defensive rebound by H. Whiteside,,67-67,,
6:22.0,G. Dragic makes 2-pt shot from 3 ft,2,69-67,,
6:06.0,,,69-69,2,J. Crowder makes 2-pt shot from 18 ft
6:06.0,,,69-69,,Shooting foul by G. Dragic (drawn by J. Crowder)
6:06.0,,,69-70,1,J. Crowder makes free throw 1 of 1
5:56.0,J. Richardson misses 3-pt shot from 26 ft,,69-70,,
5:55.0,,,69-70,,Defensive rebound by J. Crowder
5:47.0,,,69-70,,Turnover by I. Thomas (lost ball; steal by H. Whiteside)
5:28.0,H. Whiteside makes 2-pt shot from 9 ft,2,71-70,,
5:09.0,,,71-72,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
4:50.0,G. Dragic misses 3-pt shot from 26 ft,,71-72,,
4:49.0,,,71-72,,Defensive rebound by Team
4:49.0,,,71-72,,J. Jerebko enters the game for A. Horford
4:49.0,,,71-72,,M. Smart enters the game for A. Bradley
4:40.0,,,71-74,2,I. Thomas makes 2-pt shot from 2 ft
4:21.0,J. Richardson misses 2-pt shot from 3 ft,,71-74,,
4:20.0,Offensive rebound by H. Whiteside,,71-74,,
4:20.0,H. Whiteside makes 2-pt shot at rim,2,73-74,,
4:03.0,,,73-77,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
