time,Miami,pts.away,score,pts.home,Utah
10:27.0,,,29-30,,T. Lyles misses 2-pt shot from 8 ft
10:26.0,Defensive rebound by T. Johnson,,29-30,,
10:17.0,T. Johnson misses 3-pt shot from 24 ft,,29-30,,
10:17.0,,,29-30,,Defensive rebound by J. Ingles
10:06.0,,,29-30,,S. Mack misses 2-pt shot from 9 ft
10:06.0,,,29-30,,Offensive rebound by Team
9:59.0,,,29-30,,Turnover by S. Mack (bad pass)
9:45.0,R. McGruder misses 2-pt shot from 4 ft,,29-30,,
9:44.0,Offensive rebound by W. Reed,,29-30,,
9:44.0,W. Reed misses 2-pt shot from 2 ft,,29-30,,
9:43.0,Offensive rebound by W. Reed,,29-30,,
9:42.0,W. Reed misses 2-pt shot from 3 ft (block by J. Withey),,29-30,,
9:40.0,,,29-30,,Defensive rebound by J. Withey
9:27.0,,,29-32,2,J. Withey makes 2-pt shot from 3 ft (assist by J. Ingles)
9:10.0,W. Ellington makes 2-pt shot from 23 ft (assist by T. Johnson),2,31-32,,
8:54.0,,,31-34,2,J. Ingles makes 2-pt shot from 3 ft
8:32.0,J. Johnson makes 2-pt shot from 15 ft,2,33-34,,
8:07.0,,,33-34,,Turnover by S. Mack (lost ball; steal by J. Johnson)
8:06.0,,,33-34,,Clear path foul by J. Ingles
8:06.0,Miami full timeout,,33-34,,
8:06.0,W. Ellington makes clear path free throw 1 of 2,1,34-34,,
8:06.0,W. Ellington makes clear path free throw 2 of 2,1,35-34,,
8:06.0,,,33-34,,R. Gobert enters the game for J. Withey
8:06.0,,,33-34,,G. Hayward enters the game for J. Johnson
7:52.0,W. Ellington makes 2-pt shot from 20 ft,2,37-34,,
7:33.0,,,37-34,,D. Exum enters the game for J. Ingles
7:28.0,,,37-34,,Turnover by D. Exum (lost ball)
7:09.0,R. McGruder makes 2-pt shot from 8 ft,2,39-34,,
6:51.0,,,39-34,,Shooting foul by R. McGruder (drawn by G. Hayward)
6:51.0,,,39-35,1,G. Hayward makes free throw 1 of 2
6:51.0,,,39-36,1,G. Hayward makes free throw 2 of 2
6:51.0,H. Whiteside enters the game for W. Reed,,39-35,,
6:51.0,G. Dragic enters the game for T. Johnson,,39-35,,
6:51.0,,,39-35,,B. Diaw enters the game for T. Lyles
6:51.0,,,39-35,,J. Johnson enters the game for S. Mack
6:33.0,W. Ellington makes 3-pt shot from 24 ft,3,42-36,,
6:13.0,,,42-36,,D. Exum misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by R. McGruder,,42-36,,
6:06.0,G. Dragic misses 2-pt shot from 2 ft (block by D. Exum),,42-36,,
6:04.0,Offensive rebound by J. Johnson,,42-36,,
5:57.0,J. Johnson makes 2-pt shot from 2 ft,2,44-36,,
5:50.0,,,44-36,,Utah full timeout
5:43.0,,,44-36,,D. Exum misses 3-pt shot from 23 ft
5:42.0,Defensive rebound by H. Whiteside,,44-36,,
5:27.0,J. Johnson misses 2-pt shot from 2 ft,,44-36,,
5:27.0,,,44-36,,Defensive rebound by R. Gobert
5:06.0,,,44-36,,B. Diaw misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by R. McGruder,,44-36,,
4:54.0,J. Johnson makes 2-pt shot from 2 ft,2,46-36,,
4:36.0,,,46-36,,G. Hayward misses 2-pt shot from 3 ft (block by J. Johnson)
4:36.0,Defensive rebound by R. McGruder,,46-36,,
4:30.0,G. Dragic makes 2-pt shot from 7 ft (assist by R. McGruder),2,48-36,,
4:28.0,,,48-36,,Utah full timeout
4:28.0,,,48-36,,S. Mack enters the game for D. Exum
4:10.0,,,48-36,,G. Hayward misses 2-pt shot from 20 ft
4:10.0,Defensive rebound by H. Whiteside,,48-36,,
4:00.0,,,48-36,,Personal foul by B. Diaw (drawn by H. Whiteside)
4:00.0,,,48-36,,T. Lyles enters the game for B. Diaw
3:55.0,J. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic),2,50-36,,
3:31.0,,,50-38,2,J. Johnson makes 2-pt shot from 15 ft
3:10.0,H. Whiteside misses 2-pt shot from 3 ft,,50-38,,
3:09.0,,,50-38,,Defensive rebound by S. Mack
3:05.0,J. McRoberts enters the game for J. Johnson,,50-38,,
3:05.0,T. Johnson enters the game for R. McGruder,,50-38,,
2:56.0,,,50-41,3,T. Lyles makes 3-pt shot from 24 ft (assist by G. Hayward)
2:46.0,Miami full timeout,,50-41,,
2:35.0,H. Whiteside misses 2-pt shot from 19 ft,,50-41,,
2:34.0,,,50-41,,Defensive rebound by S. Mack
2:25.0,,,50-43,2,S. Mack makes 2-pt shot from 7 ft
2:07.0,G. Dragic misses 3-pt shot from 24 ft,,50-43,,
2:06.0,,,50-43,,Defensive rebound by G. Hayward
1:56.0,Personal foul by T. Johnson (drawn by R. Gobert),,50-43,,
1:46.0,,,50-43,,S. Mack misses 2-pt shot from 8 ft
1:45.0,Defensive rebound by Team,,50-43,,
1:28.0,G. Dragic misses 2-pt shot from 5 ft,,50-43,,
1:27.0,Offensive rebound by G. Dragic,,50-43,,
1:19.0,J. McRoberts misses 2-pt shot from 5 ft (block by T. Lyles),,50-43,,
1:18.0,Offensive rebound by J. McRoberts,,50-43,,
1:17.0,J. McRoberts makes 2-pt shot from 1 ft,2,52-43,,
1:04.0,,,52-43,,J. Johnson misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by H. Whiteside,,52-43,,
0:43.0,H. Whiteside misses 2-pt shot from 5 ft,,52-43,,
0:43.0,,,52-43,,Defensive rebound by S. Mack
0:37.0,,,52-46,3,T. Lyles makes 3-pt shot from 24 ft (assist by S. Mack)
0:21.0,W. Ellington misses 3-pt shot from 24 ft,,52-46,,
0:20.0,,,52-46,,Defensive rebound by R. Gobert
0:02.0,,,52-46,,S. Mack misses 2-pt shot from 3 ft
0:02.0,,,52-46,,Offensive rebound by R. Gobert
0:02.0,,,52-48,2,R. Gobert makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,52-48,,Personal foul by D. Exum (drawn by G. Dragic)
11:37.0,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic),3,55-48,,
11:24.0,,,55-51,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Exum)
10:58.0,Shooting foul by J. Johnson (drawn by H. Whiteside),,55-51,,
10:58.0,H. Whiteside misses free throw 1 of 2,,55-51,,
10:58.0,Offensive rebound by Team,,55-51,,
10:58.0,H. Whiteside makes free throw 2 of 2,1,56-51,,
10:37.0,,,56-51,,B. Diaw misses 2-pt shot from 1 ft
10:37.0,Defensive rebound by H. Whiteside,,56-51,,
10:29.0,Turnover by J. McRoberts (bad pass),,56-51,,
10:05.0,,,56-54,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Exum)
9:44.0,Shooting foul by J. Johnson (drawn by R. McGruder),,56-54,,
9:44.0,R. McGruder makes free throw 1 of 2,1,57-54,,
9:44.0,R. McGruder makes free throw 2 of 2,1,58-54,,
9:44.0,,,57-54,,S. Mack enters the game for J. Johnson
9:22.0,,,58-54,,G. Hayward misses 2-pt shot from 4 ft (block by R. McGruder)
9:22.0,Defensive rebound by J. McRoberts,,58-54,,
9:20.0,,,58-54,,Personal foul by D. Exum (drawn by J. McRoberts)
9:08.0,G. Dragic misses 2-pt shot from 14 ft,,58-54,,
9:07.0,,,58-54,,Defensive rebound by R. Gobert
8:54.0,,,58-57,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
8:38.0,J. McRoberts misses 2-pt shot from 5 ft,,58-57,,
8:37.0,,,58-57,,Defensive rebound by R. Gobert
8:28.0,,,58-57,,Offensive foul by B. Diaw
8:28.0,,,58-57,,Turnover by B. Diaw (offensive foul)
8:18.0,G. Dragic misses 2-pt shot from 2 ft,,58-57,,
8:17.0,Offensive rebound by H. Whiteside,,58-57,,
8:16.0,H. Whiteside makes 2-pt shot at rim,2,60-57,,
8:01.0,,,60-59,2,G. Hayward makes 2-pt shot from 6 ft
7:31.0,Turnover by J. McRoberts (bad pass; steal by G. Hayward),,60-59,,
7:28.0,Shooting block foul by G. Dragic (drawn by G. Hayward),,60-59,,
7:28.0,,,60-60,1,G. Hayward makes free throw 1 of 2
7:28.0,,,60-61,1,G. Hayward makes free throw 2 of 2
7:28.0,,,60-60,,T. Lyles enters the game for B. Diaw
7:28.0,,,60-60,,R. Neto enters the game for D. Exum
7:28.0,T. Johnson enters the game for W. Ellington,,60-60,,
7:12.0,J. McRoberts makes 2-pt shot from 2 ft,2,62-61,,
6:53.0,,,62-61,,T. Lyles misses 2-pt shot from 3 ft
6:52.0,Defensive rebound by R. McGruder,,62-61,,
6:42.0,T. Johnson misses 2-pt shot from 10 ft,,62-61,,
6:42.0,Offensive rebound by T. Johnson,,62-61,,
6:40.0,H. Whiteside makes 2-pt shot from 10 ft (assist by T. Johnson),2,64-61,,
6:23.0,,,64-61,,G. Hayward misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by H. Whiteside,,64-61,,
6:08.0,G. Dragic makes 2-pt shot from 8 ft,2,66-61,,
5:53.0,,,66-61,,Turnover by R. Neto (lost ball; steal by T. Johnson)
5:48.0,T. Johnson makes 2-pt shot from 2 ft,2,68-61,,
5:48.0,,,68-61,,Utah full timeout
5:32.0,,,68-63,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
5:08.0,,,68-63,,Personal foul by R. Neto (drawn by G. Dragic)
5:08.0,G. Dragic makes free throw 1 of 2,1,69-63,,
5:08.0,G. Dragic makes free throw 2 of 2,1,70-63,,
4:46.0,,,70-65,2,S. Mack makes 2-pt shot from 19 ft
4:22.0,J. McRoberts misses 3-pt shot from 24 ft,,70-65,,
4:21.0,,,70-65,,Defensive rebound by Team
4:06.0,,,70-65,,G. Hayward misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by H. Whiteside,,70-65,,
3:47.0,Shooting foul by R. Gobert (drawn by G. Dragic),,70-65,,
3:47.0,,,70-65,,Technical foul by R. Gobert (drawn by G. Dragic)
3:47.0,G. Dragic misses technical free throw,,70-65,,
3:47.0,Offensive rebound by Team,,70-65,,
3:47.0,G. Dragic makes free throw 1 of 2,1,71-65,,
3:47.0,G. Dragic misses free throw 2 of 2,,71-65,,
3:47.0,W. Ellington enters the game for R. McGruder,,70-65,,
3:47.0,J. Johnson enters the game for J. McRoberts,,70-65,,
3:47.0,,,71-65,,J. Ingles enters the game for G. Hayward
3:47.0,,,71-65,,D. Exum enters the game for R. Neto
3:46.0,,,71-65,,Defensive rebound by T. Lyles
3:37.0,,,71-68,3,S. Mack makes 3-pt shot from 24 ft
3:36.0,Miami full timeout,,71-68,,
3:11.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic),3,74-68,,
2:49.0,,,74-68,,Shooting foul by G. Dragic (drawn by S. Mack)
2:49.0,,,74-68,,S. Mack misses free throw 1 of 2
2:49.0,,,74-68,,Offensive rebound by Team
2:49.0,,,74-69,1,S. Mack makes free throw 2 of 2
2:25.0,H. Whiteside misses 2-pt shot from 3 ft (block by R. Gobert),,74-69,,
2:23.0,,,74-69,,Defensive rebound by R. Gobert
2:16.0,,,74-71,2,S. Mack makes 2-pt shot from 15 ft
1:59.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,76-71,,
1:39.0,,,76-71,,Turnover by D. Exum (bad pass; steal by H. Whiteside)
1:33.0,G. Dragic misses 2-pt shot from 1 ft,,76-71,,
1:31.0,Offensive rebound by J. Johnson,,76-71,,
1:31.0,J. Johnson makes 2-pt shot from 1 ft,2,78-71,,
1:17.0,,,78-71,,Shooting foul by T. Johnson (drawn by S. Mack)
1:17.0,,,78-71,,S. Mack misses free throw 1 of 2
1:17.0,,,78-71,,Offensive rebound by Team
1:17.0,,,78-72,1,S. Mack makes free throw 2 of 2
1:17.0,,,78-71,,J. Johnson enters the game for T. Lyles
1:17.0,R. McGruder enters the game for G. Dragic,,78-71,,
1:06.0,T. Johnson misses 3-pt shot from 25 ft,,78-72,,
1:06.0,,,78-72,,Defensive rebound by D. Exum
0:56.0,,,78-72,,Turnover by D. Exum (bad pass; steal by T. Johnson)
0:51.0,T. Johnson makes 2-pt shot from 1 ft,2,80-72,,
0:34.0,,,80-75,3,J. Ingles makes 3-pt shot from 23 ft (assist by J. Johnson)
0:19.0,J. Johnson makes 3-pt shot from 24 ft (assist by T. Johnson),3,83-75,,
0:02.0,,,83-75,,Shooting foul by J. Johnson (drawn by J. Johnson)
0:02.0,,,83-76,1,J. Johnson makes free throw 1 of 2
0:02.0,,,83-77,1,J. Johnson makes free throw 2 of 2
0:00.0,J. Johnson misses 3-pt shot from 61 ft,,83-77,,
0:00.0,Offensive rebound by Team,,83-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,83-77,,J. Ingles misses 3-pt shot from 25 ft
11:51.0,Defensive rebound by J. Johnson,,83-77,,
11:40.0,J. Johnson makes 2-pt shot from 9 ft,2,85-77,,
11:16.0,,,85-77,,S. Mack misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by T. Johnson,,85-77,,
11:07.0,T. Johnson makes 2-pt shot from 2 ft,2,87-77,,
10:52.0,,,87-77,,Turnover by J. Johnson (lost ball; steal by W. Ellington)
10:46.0,W. Reed makes 2-pt shot from 1 ft (assist by R. McGruder),2,89-77,,
10:20.0,,,89-80,3,J. Ingles makes 3-pt shot from 23 ft
9:56.0,W. Ellington misses 2-pt shot from 20 ft,,89-80,,
9:55.0,,,89-80,,Defensive rebound by J. Withey
9:36.0,,,89-83,3,J. Ingles makes 3-pt shot from 24 ft (assist by J. Johnson)
9:14.0,T. Johnson misses 2-pt shot from 14 ft,,89-83,,
9:13.0,,,89-83,,Defensive rebound by J. Johnson
9:00.0,,,89-85,2,G. Hayward makes 2-pt shot from 10 ft
9:00.0,Miami full timeout,,89-85,,
9:00.0,G. Dragic enters the game for T. Johnson,,89-85,,
9:00.0,,,89-85,,R. Neto enters the game for S. Mack
9:00.0,,,89-85,,T. Lyles enters the game for J. Johnson
8:44.0,W. Reed makes 2-pt shot from 2 ft,2,91-85,,
8:27.0,Violation by J. Johnson (kicked ball),,91-85,,
8:19.0,Personal foul by J. Johnson (drawn by T. Lyles),,91-85,,
8:12.0,,,91-88,3,R. Neto makes 3-pt shot from 25 ft (assist by G. Hayward)
7:56.0,J. Johnson misses 2-pt shot from 3 ft (block by J. Withey),,91-88,,
7:55.0,Offensive rebound by J. Johnson,,91-88,,
7:52.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson),3,94-88,,
7:37.0,,,94-90,2,J. Withey makes 2-pt shot from 2 ft (assist by G. Hayward)
7:37.0,,,94-90,,Shooting foul by W. Reed (drawn by J. Withey)
7:37.0,,,94-90,,J. Withey misses free throw 1 of 1
7:37.0,Defensive rebound by J. Johnson,,94-90,,
7:37.0,H. Whiteside enters the game for W. Reed,,94-90,,
7:29.0,J. Johnson makes 2-pt shot from 1 ft,2,96-90,,
7:13.0,,,96-92,2,G. Hayward makes 2-pt shot from 15 ft (assist by J. Ingles)
6:58.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson),3,99-92,,
6:43.0,,,99-92,,Shooting foul by R. McGruder (drawn by J. Withey)
6:43.0,,,99-93,1,J. Withey makes free throw 1 of 2
6:43.0,,,99-94,1,J. Withey makes free throw 2 of 2
6:43.0,J. McRoberts enters the game for J. Johnson,,99-93,,
6:43.0,T. Johnson enters the game for W. Ellington,,99-93,,
6:31.0,G. Dragic misses 2-pt shot from 13 ft,,99-94,,
6:28.0,Offensive rebound by J. McRoberts,,99-94,,
6:28.0,J. McRoberts makes 2-pt shot at rim,2,101-94,,
6:15.0,,,101-96,2,G. Hayward makes 2-pt shot from 19 ft
5:59.0,G. Dragic makes 2-pt shot from 19 ft,2,103-96,,
5:37.0,,,103-96,,T. Lyles misses 2-pt shot from 2 ft
5:36.0,Defensive rebound by J. McRoberts,,103-96,,
5:29.0,G. Dragic makes 2-pt shot from 2 ft,2,105-96,,
5:29.0,,,105-96,,Utah full timeout
5:29.0,,,105-96,,R. Gobert enters the game for J. Withey
5:29.0,,,105-96,,J. Johnson enters the game for T. Lyles
5:29.0,,,105-96,,S. Mack enters the game for R. Neto
5:16.0,,,105-99,3,J. Johnson makes 3-pt shot from 25 ft (assist by J. Ingles)
4:55.0,T. Johnson misses 3-pt shot from 25 ft,,105-99,,
4:54.0,Offensive rebound by R. McGruder,,105-99,,
4:48.0,T. Johnson misses 3-pt shot from 25 ft,,105-99,,
4:48.0,,,105-99,,Defensive rebound by S. Mack
4:38.0,,,105-101,2,J. Ingles makes 2-pt shot from 2 ft (assist by S. Mack)
4:21.0,J. McRoberts misses 2-pt shot from 4 ft (block by R. Gobert),,105-101,,
4:20.0,,,105-101,,Defensive rebound by G. Hayward
4:17.0,Personal foul by G. Dragic (drawn by G. Hayward),,105-101,,
4:17.0,J. Johnson enters the game for J. McRoberts,,105-101,,
4:01.0,,,105-101,,G. Hayward misses 2-pt shot from 17 ft
4:01.0,Defensive rebound by T. Johnson,,105-101,,
3:52.0,Shooting foul by S. Mack (drawn by G. Dragic),,105-101,,
3:52.0,G. Dragic makes free throw 1 of 2,1,106-101,,
3:52.0,G. Dragic makes free throw 2 of 2,1,107-101,,
3:52.0,W. Ellington enters the game for R. McGruder,,106-101,,
3:35.0,,,107-101,,G. Hayward misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by T. Johnson,,107-101,,
3:22.0,G. Dragic misses 2-pt shot from 3 ft,,107-101,,
3:21.0,,,107-101,,Defensive rebound by J. Ingles
3:15.0,,,107-103,2,G. Hayward makes 2-pt shot from 18 ft (assist by S. Mack)
2:54.0,Turnover by J. Johnson (lost ball; steal by J. Johnson),,107-103,,
2:49.0,,,107-105,2,J. Ingles makes 2-pt shot from 2 ft (assist by G. Hayward)
2:48.0,Miami full timeout,,107-105,,
2:48.0,Miami full timeout,,107-105,,
2:36.0,,,107-105,,Personal foul by J. Ingles (drawn by G. Dragic)
2:25.0,G. Dragic makes 2-pt shot from 13 ft,2,109-105,,
2:09.0,,,109-108,3,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hayward)
1:44.0,J. Johnson makes 2-pt shot at rim,2,111-108,,
1:20.0,,,111-108,,Turnover by J. Johnson (bad pass; steal by T. Johnson)
1:16.0,Turnover by T. Johnson (bad pass; steal by S. Mack),,111-108,,
1:00.0,,,111-110,2,G. Hayward makes 2-pt shot from 18 ft
0:41.0,G. Dragic misses 2-pt shot from 5 ft,,111-110,,
0:41.0,,,111-110,,Defensive rebound by R. Gobert
0:30.0,,,111-110,,G. Hayward misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by T. Johnson,,111-110,,
0:13.0,Miami full timeout,,111-110,,
0:05.0,Turnover by G. Dragic (bad pass; steal by G. Hayward),,111-110,,
0:04.0,,,111-110,,Utah full timeout
0:04.0,R. McGruder enters the game for W. Ellington,,111-110,,
0:04.0,,,111-110,,Utah full timeout
0:01.0,,,111-110,,G. Hayward misses 2-pt shot from 12 ft
0:00.0,,,111-110,,Offensive rebound by R. Gobert
0:00.0,End of 4th quarter,,,,End of 4th quarter
