time,Charlotte,pts.away,score,pts.home,Dallas
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum),2,50-50,,
11:25.0,,,50-52,2,H. Barnes makes 2-pt shot from 13 ft (assist by D. Williams)
11:03.0,N. Batum misses 2-pt shot from 17 ft,,50-52,,
11:02.0,,,50-52,,Defensive rebound by D. Powell
10:41.0,,,50-55,3,D. Williams makes 3-pt shot from 25 ft (assist by W. Matthews)
10:16.0,K. Walker misses 2-pt shot from 1 ft,,50-55,,
10:15.0,,,50-55,,Defensive rebound by W. Matthews
10:07.0,,,50-58,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
10:05.0,Charlotte full timeout,,50-58,,
9:50.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,50-58,,
9:49.0,,,50-58,,Defensive rebound by D. Finney-Smith
9:33.0,,,50-60,2,H. Barnes makes 2-pt shot from 1 ft
9:13.0,N. Batum misses 3-pt shot from 24 ft,,50-60,,
9:11.0,Offensive rebound by M. Kidd-Gilchrist,,50-60,,
9:06.0,K. Walker makes 2-pt shot from 1 ft,2,52-60,,
8:53.0,,,52-60,,D. Williams misses 2-pt shot from 6 ft
8:52.0,Defensive rebound by M. Kidd-Gilchrist,,52-60,,
8:43.0,F. Kaminsky misses 3-pt shot from 25 ft,,52-60,,
8:42.0,Offensive rebound by C. Zeller,,52-60,,
8:42.0,C. Zeller makes 2-pt shot at rim,2,54-60,,
8:20.0,,,54-63,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Williams)
7:59.0,N. Batum misses 3-pt shot from 25 ft,,54-63,,
7:58.0,,,54-63,,Defensive rebound by D. Powell
7:51.0,,,54-63,,W. Matthews misses 2-pt shot from 7 ft
7:50.0,,,54-63,,Offensive rebound by D. Powell
7:40.0,,,54-65,2,D. Powell makes 2-pt shot from 3 ft (assist by H. Barnes)
7:40.0,Charlotte full timeout,,54-65,,
7:28.0,N. Batum makes 2-pt shot from 14 ft (assist by K. Walker),2,56-65,,
7:13.0,,,56-65,,H. Barnes misses 2-pt shot from 8 ft
7:12.0,Defensive rebound by F. Kaminsky,,56-65,,
7:03.0,K. Walker misses 2-pt shot from 17 ft,,56-65,,
7:02.0,,,56-65,,Defensive rebound by H. Barnes
6:51.0,,,56-65,,W. Matthews misses 3-pt shot from 24 ft
6:50.0,,,56-65,,Offensive rebound by D. Powell
6:37.0,,,56-65,,Turnover by D. Williams (bad pass; steal by K. Walker)
6:33.0,K. Walker makes 2-pt shot from 1 ft,2,58-65,,
6:22.0,Shooting block foul by K. Walker (drawn by D. Powell),,58-65,,
6:22.0,,,58-66,1,D. Powell makes free throw 1 of 2
6:22.0,,,58-66,,D. Powell misses free throw 2 of 2
6:22.0,,,58-66,,D. Harris enters the game for H. Barnes
6:21.0,Defensive rebound by M. Kidd-Gilchrist,,58-66,,
5:58.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,60-66,,
5:36.0,,,60-66,,D. Harris misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by N. Batum,,60-66,,
5:28.0,Shooting foul by D. Powell (drawn by C. Zeller),,60-66,,
5:28.0,C. Zeller makes free throw 1 of 2,1,61-66,,
5:28.0,C. Zeller makes free throw 2 of 2,1,62-66,,
5:28.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,61-66,,
5:28.0,,,61-66,,S. Mejri enters the game for D. Powell
5:14.0,,,62-66,,Turnover by S. Mejri (bad pass)
5:05.0,K. Walker makes 2-pt shot from 17 ft,2,64-66,,
5:05.0,,,64-66,,Dallas full timeout
5:05.0,,,64-66,,H. Barnes enters the game for D. Finney-Smith
5:05.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,64-66,,
4:49.0,,,64-68,2,H. Barnes makes 2-pt shot from 6 ft
4:26.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,64-68,,
4:25.0,,,64-68,,Defensive rebound by W. Matthews
4:13.0,Personal foul by M. Kidd-Gilchrist (drawn by H. Barnes),,64-68,,
4:07.0,,,64-68,,Shooting foul by N. Batum (drawn by H. Barnes)
4:07.0,,,64-69,1,H. Barnes makes free throw 1 of 2
4:07.0,,,64-70,1,H. Barnes makes free throw 2 of 2
4:00.0,,,64-70,,Shooting block foul by S. Mejri (drawn by K. Walker)
4:00.0,K. Walker makes free throw 1 of 2,1,65-70,,
4:00.0,K. Walker makes free throw 2 of 2,1,66-70,,
4:00.0,R. Hibbert enters the game for C. Zeller,,65-70,,
3:40.0,,,66-73,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Mejri)
3:31.0,,,66-73,,Personal foul by H. Barnes (drawn by R. Hibbert)
3:31.0,R. Sessions enters the game for K. Walker,,66-73,,
3:31.0,,,66-73,,J. Gibson enters the game for D. Williams
3:25.0,N. Batum misses 3-pt shot from 25 ft,,66-73,,
3:24.0,,,66-73,,Defensive rebound by D. Harris
3:10.0,,,66-73,,Shooting foul by R. Sessions (drawn by J. Gibson)
3:10.0,,,66-76,3,J. Gibson makes 3-pt shot from 26 ft (assist by W. Matthews)
3:10.0,,,66-76,,J. Gibson misses free throw 1 of 1
3:09.0,Defensive rebound by N. Batum,,66-76,,
2:57.0,N. Batum makes 2-pt shot from 6 ft,2,68-76,,
2:40.0,,,68-76,,W. Matthews misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by M. Kidd-Gilchrist,,68-76,,
2:25.0,M. Belinelli misses 2-pt shot from 3 ft,,68-76,,
2:24.0,,,68-76,,Defensive rebound by D. Harris
2:18.0,,,68-76,,D. Harris misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by R. Sessions,,68-76,,
2:10.0,N. Batum misses 3-pt shot from 25 ft,,68-76,,
2:09.0,Offensive rebound by R. Hibbert,,68-76,,
2:09.0,,,68-76,,Loose ball foul by S. Mejri (drawn by R. Hibbert)
2:02.0,Turnover by M. Belinelli (lost ball; steal by D. Harris),,68-76,,
2:00.0,,,68-76,,Turnover by D. Harris (bad pass)
1:51.0,Offensive foul by N. Batum,,68-76,,
1:51.0,Turnover by N. Batum (offensive foul),,68-76,,
1:34.0,,,68-76,,Turnover by S. Mejri (traveling)
1:17.0,,,68-76,,Personal foul by H. Barnes (drawn by R. Hibbert)
1:17.0,R. Hibbert makes free throw 1 of 2,1,69-76,,
1:17.0,R. Hibbert makes free throw 2 of 2,1,70-76,,
1:17.0,,,69-76,,D. Powell enters the game for S. Mejri
1:01.0,,,70-76,,Shooting foul by R. Hibbert (drawn by W. Matthews)
1:01.0,,,70-77,1,W. Matthews makes free throw 1 of 2
1:01.0,,,70-78,1,W. Matthews makes free throw 2 of 2
0:50.0,M. Belinelli makes 3-pt shot from 24 ft (assist by N. Batum),3,73-78,,
0:33.0,,,73-78,,J. Gibson misses 2-pt shot from 1 ft
0:31.0,Defensive rebound by M. Kidd-Gilchrist,,73-78,,
0:19.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by R. Sessions),2,75-78,,
0:01.0,,,75-78,,D. Powell misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by N. Batum,,75-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-78,,J. Gibson misses 2-pt shot from 17 ft
11:45.0,Defensive rebound by R. Hibbert,,75-78,,
11:34.0,M. Belinelli makes 3-pt shot from 25 ft (assist by J. Lamb),3,78-78,,
11:19.0,,,78-80,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams)
11:03.0,M. Belinelli misses 2-pt shot from 19 ft,,78-80,,
11:02.0,,,78-80,,Defensive rebound by J. Anderson
10:54.0,,,78-80,,D. Powell misses 2-pt shot from 1 ft
10:52.0,Defensive rebound by M. Belinelli,,78-80,,
10:45.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by D. Powell),,78-80,,
10:44.0,Offensive rebound by M. Kidd-Gilchrist,,78-80,,
10:44.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,80-80,,
10:44.0,Shooting foul by D. Powell (drawn by M. Kidd-Gilchrist),,80-80,,
10:44.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,81-80,,
10:23.0,,,81-80,,Turnover by J. Anderson (lost ball)
10:09.0,J. Lamb misses 2-pt shot from 21 ft,,81-80,,
10:09.0,,,81-80,,Defensive rebound by Team
10:09.0,Loose ball foul by R. Hibbert (drawn by D. Williams),,81-80,,
9:51.0,,,81-83,3,J. Gibson makes 3-pt shot from 26 ft (assist by D. Williams)
9:25.0,R. Hibbert makes 2-pt shot from 18 ft (assist by J. Lamb),2,83-83,,
9:06.0,,,83-83,,D. Williams misses 3-pt shot from 24 ft
9:06.0,,,83-83,,Offensive rebound by H. Barnes
8:57.0,,,83-86,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Williams)
8:39.0,J. Lamb makes 2-pt shot from 11 ft,2,85-86,,
8:24.0,Personal foul by R. Sessions (drawn by J. Gibson),,85-86,,
8:24.0,Official timeout,,85-86,,
8:24.0,,,85-86,,D. Finney-Smith enters the game for H. Barnes
8:24.0,K. Walker enters the game for M. Kidd-Gilchrist,,85-86,,
8:24.0,N. Batum enters the game for R. Sessions,,85-86,,
8:10.0,,,85-86,,D. Powell misses 2-pt shot from 1 ft (block by R. Hibbert)
8:08.0,Defensive rebound by N. Batum,,85-86,,
8:05.0,,,85-86,,Personal block foul by J. Gibson (drawn by K. Walker)
7:56.0,K. Walker makes 2-pt shot from 1 ft,2,87-86,,
7:39.0,,,87-86,,J. Gibson misses 2-pt shot from 20 ft
7:39.0,Defensive rebound by N. Batum,,87-86,,
7:27.0,M. Belinelli makes 2-pt shot from 5 ft (assist by J. Lamb),2,89-86,,
7:07.0,,,89-86,,J. Anderson misses 2-pt shot from 7 ft
7:06.0,,,89-86,,Offensive rebound by D. Powell
6:55.0,,,89-88,2,D. Williams makes 2-pt shot from 14 ft
6:34.0,N. Batum makes 2-pt shot from 13 ft (assist by M. Belinelli),2,91-88,,
6:12.0,,,91-88,,D. Finney-Smith misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by M. Belinelli,,91-88,,
6:05.0,Shooting foul by D. Williams (drawn by M. Belinelli),,91-88,,
6:05.0,,,91-88,,Dallas full timeout
6:05.0,M. Belinelli misses free throw 1 of 3,,91-88,,
6:05.0,Offensive rebound by Team,,91-88,,
6:05.0,M. Belinelli makes free throw 2 of 3,1,92-88,,
6:05.0,M. Belinelli makes free throw 3 of 3,1,93-88,,
6:05.0,,,91-88,,D. Harris enters the game for D. Finney-Smith
6:05.0,,,91-88,,W. Matthews enters the game for J. Anderson
6:05.0,,,91-88,,H. Barnes enters the game for J. Gibson
6:05.0,C. Zeller enters the game for R. Hibbert,,91-88,,
5:54.0,,,93-91,3,D. Williams makes 3-pt shot from 23 ft (assist by H. Barnes)
5:36.0,C. Zeller makes 2-pt shot from 7 ft (assist by M. Belinelli),2,95-91,,
5:16.0,,,95-91,,H. Barnes misses 2-pt shot from 4 ft
5:14.0,,,95-91,,Offensive rebound by H. Barnes
5:11.0,,,95-91,,D. Williams misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by N. Batum,,95-91,,
5:06.0,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum),2,97-91,,
5:05.0,,,97-91,,Dallas full timeout
4:56.0,,,97-91,,H. Barnes misses 2-pt shot from 15 ft
4:55.0,Defensive rebound by J. Lamb,,97-91,,
4:45.0,Turnover by K. Walker (lost ball),,97-91,,
4:34.0,,,97-91,,H. Barnes misses 2-pt shot from 1 ft (block by J. Lamb)
4:31.0,Defensive rebound by N. Batum,,97-91,,
4:26.0,,,97-91,,Personal block foul by H. Barnes (drawn by M. Belinelli)
4:26.0,,,97-91,,Technical foul by Team
4:26.0,N. Batum makes technical free throw,1,98-91,,
4:26.0,Offensive foul by C. Zeller,,98-91,,
4:26.0,Turnover by C. Zeller (offensive foul),,98-91,,
4:09.0,,,98-93,2,D. Powell makes 2-pt shot from 1 ft
3:51.0,N. Batum misses 2-pt shot from 19 ft,,98-93,,
3:51.0,Offensive rebound by Team,,98-93,,
3:51.0,,,98-93,,Loose ball foul by D. Harris (drawn by J. Lamb)
3:51.0,J. Lamb makes free throw 1 of 2,1,99-93,,
3:51.0,J. Lamb makes free throw 2 of 2,1,100-93,,
3:51.0,,,99-93,,D. Finney-Smith enters the game for D. Harris
3:40.0,,,100-93,,D. Williams misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by M. Belinelli,,100-93,,
3:28.0,Turnover by K. Walker (bad pass),,100-93,,
3:21.0,,,100-95,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams)
3:01.0,J. Lamb makes 2-pt shot from 6 ft,2,102-95,,
3:01.0,Shooting foul by D. Finney-Smith (drawn by J. Lamb),,102-95,,
3:01.0,J. Lamb makes free throw 1 of 1,1,103-95,,
2:53.0,,,103-95,,W. Matthews misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by J. Lamb,,103-95,,
2:36.0,J. Lamb misses 2-pt shot from 13 ft,,103-95,,
2:35.0,,,103-95,,Defensive rebound by W. Matthews
