time,Boston,pts.away,score,pts.home,Toronto
3:44.0,,,43-33,,Offensive rebound by J. Valanciunas
3:39.0,,,43-35,2,J. Valanciunas makes 2-pt shot from 3 ft
3:22.0,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas),3,46-35,,
3:03.0,,,46-37,2,D. DeRozan makes 2-pt shot from 16 ft
2:36.0,A. Horford makes 2-pt shot from 17 ft (assist by J. Brown),2,48-37,,
2:26.0,,,48-37,,Turnover by D. DeRozan (lost ball; steal by J. Brown)
2:23.0,,,48-37,,Flagrant foul type 1 by D. Carroll (drawn by I. Thomas)
2:23.0,Technical foul by I. Thomas,,48-37,,
2:23.0,,,48-37,,Technical foul by D. Carroll (drawn by I. Thomas)
2:23.0,Technical foul by J. Crowder,,48-37,,
2:23.0,,,48-38,1,D. DeRozan makes technical free throw
2:23.0,I. Thomas makes flagrant free throw 1 of 2,1,49-38,,
2:23.0,I. Thomas makes flagrant free throw 2 of 2,1,50-38,,
2:23.0,,,48-37,,S. Ibaka enters the game for J. Valanciunas
2:13.0,J. Brown makes 2-pt shot from 11 ft,2,52-38,,
1:50.0,,,52-38,,N. Powell misses 2-pt shot at rim
1:47.0,Defensive rebound by A. Horford,,52-38,,
1:29.0,J. Brown makes 3-pt shot from 24 ft (assist by J. Crowder),3,55-38,,
1:19.0,Flagrant foul type 1 by I. Thomas (drawn by D. DeRozan),,55-38,,
1:19.0,,,55-39,1,D. DeRozan makes flagrant free throw 1 of 2
1:19.0,,,55-40,1,D. DeRozan makes flagrant free throw 2 of 2
1:19.0,,,55-38,,P. Tucker enters the game for D. Carroll
1:11.0,,,55-43,3,P. Tucker makes 3-pt shot from 23 ft (assist by D. DeRozan)
0:57.0,I. Thomas misses 3-pt shot from 25 ft,,55-43,,
0:56.0,,,55-43,,Defensive rebound by N. Powell
0:45.0,,,55-43,,Offensive charge foul by N. Powell
0:45.0,,,55-43,,Turnover by N. Powell (offensive foul)
0:35.0,I. Thomas misses 2-pt shot from 21 ft,,55-43,,
0:34.0,,,55-43,,Defensive rebound by N. Powell
0:19.0,,,55-45,2,D. DeRozan makes 2-pt shot from 3 ft
0:00.0,J. Brown misses 2-pt shot from 11 ft,,55-45,,
0:00.0,Offensive rebound by Team,,55-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Crowder misses 3-pt shot from 25 ft,,55-45,,
11:46.0,,,55-45,,Defensive rebound by D. Carroll
11:24.0,,,55-47,2,D. DeRozan makes 2-pt shot from 20 ft (assist by C. Joseph)
11:24.0,Loose ball foul by A. Horford (drawn by J. Valanciunas),,55-47,,
11:24.0,,,55-47,,J. Valanciunas misses free throw 1 of 1
11:23.0,Defensive rebound by A. Johnson,,55-47,,
11:03.0,Shooting foul by D. Carroll (drawn by J. Crowder),,55-47,,
11:03.0,J. Crowder misses free throw 1 of 2,,55-47,,
11:03.0,Offensive rebound by Team,,55-47,,
11:03.0,J. Crowder makes free throw 2 of 2,1,56-47,,
10:41.0,,,56-49,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. Carroll)
10:29.0,Turnover by A. Johnson (traveling),,56-49,,
10:14.0,,,56-51,2,S. Ibaka makes 2-pt shot from 4 ft (assist by D. DeRozan)
10:01.0,I. Thomas misses 2-pt shot from 4 ft,,56-51,,
10:01.0,,,56-51,,Defensive rebound by Team
9:45.0,,,56-51,,C. Joseph misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by Team,,56-51,,
9:44.0,M. Smart enters the game for A. Johnson,,56-51,,
9:44.0,K. Olynyk enters the game for J. Brown,,56-51,,
9:34.0,I. Thomas makes 2-pt shot from 3 ft,2,58-51,,
9:34.0,Shooting foul by J. Valanciunas (drawn by I. Thomas),,58-51,,
9:34.0,I. Thomas makes free throw 1 of 1,1,59-51,,
9:15.0,,,59-51,,S. Ibaka misses 3-pt shot from 26 ft
9:15.0,,,59-51,,Offensive rebound by Team
9:15.0,Loose ball foul by M. Smart (drawn by J. Valanciunas),,59-51,,
9:02.0,,,59-54,3,D. DeRozan makes 3-pt shot from 23 ft (assist by C. Joseph)
8:47.0,Turnover by A. Horford (lost ball; steal by C. Joseph),,59-54,,
8:42.0,,,59-56,2,C. Joseph makes 2-pt shot from 4 ft
8:31.0,J. Crowder misses 2-pt shot from 18 ft,,59-56,,
8:31.0,,,59-56,,Defensive rebound by S. Ibaka
8:16.0,,,59-58,2,S. Ibaka makes 2-pt shot from 12 ft (assist by C. Joseph)
8:16.0,Boston full timeout,,59-58,,
8:05.0,,,59-58,,Shooting block foul by D. Carroll (drawn by J. Crowder)
8:05.0,J. Crowder makes free throw 1 of 2,1,60-58,,
8:05.0,J. Crowder makes free throw 2 of 2,1,61-58,,
7:51.0,,,61-58,,C. Joseph misses 2-pt shot from 17 ft
7:50.0,,,61-58,,Offensive rebound by C. Joseph
7:47.0,,,61-60,2,C. Joseph makes 2-pt shot at rim
7:21.0,I. Thomas misses 3-pt shot from 25 ft,,61-60,,
7:21.0,Offensive rebound by K. Olynyk,,61-60,,
7:12.0,I. Thomas makes 2-pt shot from 8 ft,2,63-60,,
6:57.0,,,63-60,,Shooting foul by K. Olynyk (drawn by D. DeRozan)
6:57.0,,,63-61,1,D. DeRozan makes free throw 1 of 2
6:57.0,,,63-62,1,D. DeRozan makes free throw 2 of 2
6:57.0,,,63-61,,P. Tucker enters the game for D. Carroll
6:57.0,,,63-61,,P. Patterson enters the game for J. Valanciunas
6:43.0,K. Olynyk misses 2-pt shot from 13 ft,,63-62,,
6:43.0,,,63-62,,Defensive rebound by Team
6:43.0,Loose ball foul by K. Olynyk (drawn by S. Ibaka),,63-62,,
6:22.0,,,63-62,,C. Joseph misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by K. Olynyk,,63-62,,
6:12.0,M. Smart misses 2-pt shot from 3 ft,,63-62,,
6:12.0,,,63-62,,Defensive rebound by D. DeRozan
5:58.0,,,63-65,3,S. Ibaka makes 3-pt shot from 26 ft (assist by P. Patterson)
5:43.0,Turnover by I. Thomas (lost ball; steal by C. Joseph),,63-65,,
5:30.0,,,63-65,,P. Patterson misses 3-pt shot from 24 ft
5:30.0,,,63-65,,Offensive rebound by P. Tucker
5:17.0,,,63-67,2,D. DeRozan makes 2-pt shot from 11 ft
5:17.0,,,63-67,,Shooting foul by J. Crowder (drawn by D. DeRozan)
5:17.0,,,63-68,1,D. DeRozan makes free throw 1 of 1
5:17.0,J. Jerebko enters the game for A. Horford,,63-67,,
5:17.0,T. Rozier enters the game for I. Thomas,,63-67,,
5:01.0,Shooting foul by S. Ibaka (drawn by M. Smart),,63-68,,
5:01.0,M. Smart makes free throw 1 of 2,1,64-68,,
5:01.0,M. Smart makes free throw 2 of 2,1,65-68,,
4:51.0,,,65-68,,D. DeRozan misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by K. Olynyk,,65-68,,
4:41.0,J. Jerebko misses 2-pt shot from 3 ft,,65-68,,
4:40.0,Offensive rebound by J. Jerebko,,65-68,,
4:38.0,J. Jerebko misses 2-pt shot from 6 ft,,65-68,,
4:37.0,,,65-68,,Defensive rebound by P. Tucker
4:28.0,,,65-68,,S. Ibaka misses 2-pt shot from 6 ft
4:28.0,Defensive rebound by T. Rozier,,65-68,,
4:15.0,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart),3,68-68,,
4:10.0,,,68-68,,Toronto full timeout
3:58.0,,,68-68,,D. DeRozan misses 2-pt shot from 21 ft
3:58.0,Defensive rebound by K. Olynyk,,68-68,,
3:38.0,T. Rozier misses 3-pt shot from 25 ft,,68-68,,
3:38.0,,,68-68,,Defensive rebound by S. Ibaka
3:25.0,,,68-71,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:06.0,T. Rozier makes 2-pt shot from 2 ft (assist by J. Jerebko),2,70-71,,
3:00.0,Personal foul by T. Rozier (drawn by C. Joseph),,70-71,,
3:00.0,,,70-71,,C. Joseph misses free throw 1 of 2
3:00.0,,,70-71,,Offensive rebound by Team
3:00.0,,,70-72,1,C. Joseph makes free throw 2 of 2
2:37.0,J. Crowder misses 3-pt shot from 25 ft,,70-72,,
2:36.0,,,70-72,,Defensive rebound by P. Tucker
2:24.0,,,70-74,2,D. DeRozan makes 2-pt shot from 8 ft
2:09.0,,,70-74,,Personal foul by D. DeRozan (drawn by K. Olynyk)
2:09.0,K. Olynyk makes free throw 1 of 2,1,71-74,,
2:09.0,K. Olynyk makes free throw 2 of 2,1,72-74,,
2:09.0,J. Brown enters the game for J. Crowder,,71-74,,
2:09.0,,,71-74,,L. Nogueira enters the game for S. Ibaka
2:09.0,,,71-74,,D. Wright enters the game for C. Joseph
1:56.0,,,72-74,,D. DeRozan misses 2-pt shot from 18 ft
1:56.0,Defensive rebound by M. Smart,,72-74,,
1:50.0,Offensive foul by K. Olynyk,,72-74,,
1:50.0,Turnover by K. Olynyk (offensive foul),,72-74,,
1:50.0,A. Johnson enters the game for K. Olynyk,,72-74,,
1:35.0,,,72-74,,P. Tucker misses 2-pt shot from 6 ft
1:34.0,Defensive rebound by M. Smart,,72-74,,
1:24.0,Boston full timeout,,72-74,,
1:13.0,M. Smart makes 2-pt shot from 15 ft,2,74-74,,
0:49.0,,,74-74,,D. Wright misses 2-pt shot from 5 ft
0:49.0,Defensive rebound by Team,,74-74,,
0:34.0,J. Brown misses 3-pt shot from 26 ft,,74-74,,
0:34.0,,,74-74,,Defensive rebound by Team
0:26.0,,,74-74,,D. DeRozan misses 2-pt shot from 10 ft
0:26.0,Defensive rebound by A. Johnson,,74-74,,
0:04.0,M. Smart makes 3-pt shot from 25 ft (assist by J. Brown),3,77-74,,
0:00.0,,,77-74,,D. DeRozan misses 3-pt shot from 25 ft
0:00.0,,,77-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,77-74,,Offensive foul by L. Nogueira
11:46.0,,,77-74,,Turnover by L. Nogueira (offensive foul)
11:34.0,A. Johnson misses 2-pt shot from 6 ft,,77-74,,
11:32.0,,,77-74,,Defensive rebound by N. Powell
11:23.0,,,77-74,,N. Powell misses 2-pt shot from 11 ft
11:22.0,Defensive rebound by M. Smart,,77-74,,
11:16.0,I. Thomas misses 3-pt shot from 25 ft,,77-74,,
11:16.0,Offensive rebound by I. Thomas,,77-74,,
11:08.0,J. Brown makes 3-pt shot from 24 ft (assist by M. Smart),3,80-74,,
10:52.0,,,80-76,2,D. Wright makes 2-pt shot from 4 ft
10:37.0,M. Smart makes 2-pt shot from 3 ft (assist by A. Johnson),2,82-76,,
10:30.0,,,82-76,,Shooting foul by J. Jerebko (drawn by N. Powell)
10:30.0,,,82-77,1,N. Powell makes free throw 1 of 2
10:30.0,,,82-77,,N. Powell misses free throw 2 of 2
10:30.0,T. Rozier enters the game for M. Smart,,82-77,,
10:29.0,Defensive rebound by J. Jerebko,,82-77,,
10:12.0,I. Thomas makes 3-pt shot from 26 ft (assist by J. Jerebko),3,85-77,,
9:48.0,,,85-77,,P. Tucker misses 2-pt shot from 12 ft
9:47.0,,,85-77,,Offensive rebound by P. Patterson
9:44.0,,,85-79,2,P. Patterson makes 2-pt shot from 7 ft
9:20.0,I. Thomas misses 3-pt shot from 30 ft,,85-79,,
9:19.0,,,85-79,,Defensive rebound by P. Tucker
9:09.0,,,85-79,,N. Powell misses 2-pt shot from 3 ft
9:08.0,Defensive rebound by A. Johnson,,85-79,,
9:03.0,,,85-79,,S. Ibaka enters the game for L. Nogueira
9:03.0,,,85-79,,C. Joseph enters the game for D. Wright
8:54.0,J. Jerebko misses 3-pt shot from 27 ft,,85-79,,
8:54.0,,,85-79,,Defensive rebound by P. Tucker
8:54.0,,,85-79,,Personal foul by S. Ibaka (drawn by A. Johnson)
8:54.0,Personal foul by A. Johnson,,85-79,,
8:54.0,Official timeout,,85-79,,
8:54.0,,,85-79,,D. Carroll enters the game for P. Patterson
8:37.0,,,85-79,,Shooting foul by J. Brown (drawn by D. Carroll)
8:37.0,,,85-80,1,D. Carroll makes free throw 1 of 2
8:37.0,,,85-80,,D. Carroll misses free throw 2 of 2
8:36.0,Defensive rebound by J. Jerebko,,85-80,,
8:12.0,Turnover by Team (shot clock),,85-80,,
8:12.0,A. Horford enters the game for A. Johnson,,85-80,,
8:00.0,,,85-82,2,C. Joseph makes 2-pt shot from 8 ft
7:37.0,Turnover by T. Rozier (bad pass; steal by P. Tucker),,85-82,,
7:30.0,,,85-82,,Toronto full timeout
7:30.0,J. Crowder enters the game for J. Brown,,85-82,,
7:30.0,M. Smart enters the game for T. Rozier,,85-82,,
7:30.0,,,85-82,,D. DeRozan enters the game for N. Powell
7:22.0,,,85-84,2,C. Joseph makes 2-pt shot at rim
7:03.0,A. Horford makes 2-pt shot from 2 ft (assist by I. Thomas),2,87-84,,
6:50.0,Personal foul by J. Jerebko (drawn by C. Joseph),,87-84,,
6:50.0,J. Young enters the game for J. Jerebko,,87-84,,
6:35.0,,,87-84,,D. DeRozan misses 2-pt shot from 16 ft
6:35.0,,,87-84,,Offensive rebound by D. Carroll
6:18.0,,,87-84,,C. Joseph misses 2-pt shot from 8 ft
6:17.0,Defensive rebound by J. Crowder,,87-84,,
6:08.0,,,87-84,,Personal foul by D. DeRozan (drawn by A. Horford)
5:59.0,J. Crowder misses 3-pt shot from 22 ft,,87-84,,
5:59.0,,,87-84,,Defensive rebound by D. Carroll
5:45.0,,,87-84,,D. DeRozan misses 2-pt shot from 17 ft
5:45.0,Defensive rebound by J. Young,,87-84,,
5:28.0,Shooting foul by P. Tucker (drawn by I. Thomas),,87-84,,
5:28.0,I. Thomas misses free throw 1 of 2,,87-84,,
5:28.0,Offensive rebound by Team,,87-84,,
5:28.0,I. Thomas makes free throw 2 of 2,1,88-84,,
5:09.0,,,88-86,2,D. DeRozan makes 2-pt shot from 3 ft
4:45.0,I. Thomas misses 3-pt shot from 24 ft,,88-86,,
4:45.0,,,88-86,,Defensive rebound by S. Ibaka
4:36.0,,,88-88,2,D. DeRozan makes 2-pt shot from 2 ft
4:16.0,Boston full timeout,,88-88,,
4:11.0,J. Crowder makes 3-pt shot from 25 ft,3,91-88,,
3:51.0,,,91-90,2,S. Ibaka makes 2-pt shot from 21 ft (assist by D. DeRozan)
3:37.0,Turnover by I. Thomas (lost ball; steal by P. Tucker),,91-90,,
3:27.0,,,91-93,3,D. Carroll makes 3-pt shot from 24 ft (assist by C. Joseph)
3:02.0,M. Smart misses 3-pt shot from 24 ft,,91-93,,
3:02.0,,,91-93,,Defensive rebound by S. Ibaka
2:45.0,,,91-95,2,D. DeRozan makes 2-pt shot from 20 ft
2:25.0,Shooting foul by S. Ibaka (drawn by M. Smart),,91-95,,
2:25.0,M. Smart makes free throw 1 of 2,1,92-95,,
2:25.0,M. Smart misses free throw 2 of 2,,92-95,,
2:25.0,J. Brown enters the game for J. Young,,92-95,,
2:23.0,,,92-95,,Defensive rebound by S. Ibaka
2:01.0,,,92-97,2,C. Joseph makes 2-pt shot from 18 ft
1:46.0,J. Crowder makes 2-pt shot from 21 ft (assist by M. Smart),2,94-97,,
1:34.0,Personal foul by J. Crowder (drawn by D. DeRozan),,94-97,,
1:20.0,,,94-97,,D. Carroll misses 3-pt shot from 27 ft
1:19.0,,,94-97,,Offensive rebound by P. Tucker
1:00.0,,,94-99,2,D. DeRozan makes 2-pt shot from 22 ft
0:50.0,M. Smart misses 3-pt shot from 25 ft,,94-99,,
0:49.0,,,94-99,,Defensive rebound by P. Tucker
0:48.0,Personal take foul by A. Horford (drawn by P. Tucker),,94-99,,
0:48.0,,,94-99,,P. Tucker misses free throw 1 of 2
0:48.0,,,94-99,,Offensive rebound by Team
0:48.0,,,94-99,,P. Tucker misses free throw 2 of 2
0:47.0,Defensive rebound by M. Smart,,94-99,,
0:47.0,Boston full timeout,,94-99,,
0:36.0,I. Thomas misses 2-pt shot from 6 ft,,94-99,,
