time,LA Lakers,pts.away,score,pts.home,Minnesota
5:18.0,,,16-24,2,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio)
5:04.0,D. Russell misses 2-pt shot from 18 ft,,16-24,,
5:03.0,Offensive rebound by J. Randle,,16-24,,
5:02.0,J. Randle makes 2-pt shot from 1 ft,2,18-24,,
4:40.0,,,18-24,,A. Wiggins misses 2-pt shot from 6 ft
4:39.0,Defensive rebound by D. Russell,,18-24,,
4:31.0,C. Brewer makes 2-pt shot from 2 ft,2,20-24,,
4:19.0,,,20-24,,Minnesota full timeout
4:19.0,,,20-24,,O. Casspi enters the game for K. Towns
4:19.0,,,20-24,,K. Dunn enters the game for B. Rush
4:05.0,,,20-27,3,R. Rubio makes 3-pt shot from 25 ft (assist by K. Dunn)
3:49.0,T. Black makes 2-pt shot from 2 ft (assist by D. Russell),2,22-27,,
3:28.0,,,22-27,,A. Wiggins misses 2-pt shot from 20 ft
3:26.0,,,22-27,,Offensive rebound by G. Dieng
3:21.0,,,22-30,3,R. Rubio makes 3-pt shot from 25 ft (assist by G. Dieng)
3:13.0,J. Clarkson makes 3-pt shot from 24 ft (assist by C. Brewer),3,25-30,,
2:56.0,,,25-30,,O. Casspi misses 2-pt shot from 11 ft
2:55.0,Defensive rebound by J. Randle,,25-30,,
2:45.0,J. Randle makes 2-pt shot from 5 ft,2,27-30,,
2:45.0,,,27-30,,Shooting block foul by G. Dieng (drawn by J. Randle)
2:45.0,J. Randle makes free throw 1 of 1,1,28-30,,
2:45.0,D. Nwaba enters the game for C. Brewer,,27-30,,
2:45.0,T. Ennis enters the game for J. Clarkson,,27-30,,
2:41.0,,,28-30,,Turnover by K. Dunn (bad pass; steal by T. Ennis)
2:20.0,T. Ennis makes 2-pt shot from 2 ft,2,30-30,,
2:17.0,,,30-30,,A. Wiggins misses 2-pt shot from 5 ft
2:16.0,Defensive rebound by J. Randle,,30-30,,
2:10.0,Offensive foul by J. Randle,,30-30,,
2:10.0,Turnover by J. Randle (offensive foul),,30-30,,
2:10.0,L. Nance enters the game for J. Randle,,30-30,,
1:50.0,,,30-33,3,R. Rubio makes 3-pt shot from 26 ft (assist by O. Casspi)
1:41.0,L. Nance misses 2-pt shot from 2 ft (block by G. Dieng),,30-33,,
1:40.0,,,30-33,,Defensive rebound by K. Dunn
1:29.0,,,30-33,,Turnover by R. Rubio (bad pass; steal by D. Russell)
1:26.0,Shooting foul by K. Dunn (drawn by D. Russell),,30-33,,
1:26.0,D. Russell makes free throw 1 of 2,1,31-33,,
1:26.0,D. Russell makes free throw 2 of 2,1,32-33,,
1:26.0,,,31-33,,S. Muhammad enters the game for R. Rubio
1:19.0,,,32-35,2,O. Casspi makes 2-pt shot from 7 ft (assist by K. Dunn)
0:54.0,T. Ennis makes 3-pt shot from 25 ft (assist by D. Nwaba),3,35-35,,
0:30.0,,,35-37,2,A. Wiggins makes 2-pt shot from 22 ft
0:14.0,T. Ennis misses 2-pt shot from 2 ft (block by G. Dieng),,35-37,,
0:14.0,Offensive rebound by T. Black,,35-37,,
0:14.0,T. Black makes 2-pt shot at rim,2,37-37,,
0:01.0,,,37-37,,K. Dunn misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by T. Black,,37-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,37-37,,K. Towns misses 2-pt shot from 13 ft
11:42.0,Defensive rebound by J. Clarkson,,37-37,,
11:29.0,L. Nance makes 2-pt shot from 20 ft (assist by J. Clarkson),2,39-37,,
11:00.0,,,39-39,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
11:00.0,,,39-39,,Shooting foul by T. Ennis (drawn by K. Towns)
11:00.0,,,39-39,,K. Towns misses free throw 1 of 1
10:59.0,Defensive rebound by D. Nwaba,,39-39,,
10:46.0,J. Clarkson makes 3-pt shot from 26 ft (assist by T. Ennis),3,42-39,,
10:32.0,Def 3 sec tech foul by T. Black,,42-39,,
10:32.0,,,42-39,,T. Jones misses technical free throw
10:32.0,,,42-39,,Offensive rebound by Team
10:25.0,,,42-41,2,K. Towns makes 2-pt shot from 5 ft
10:12.0,T. Black makes 2-pt shot from 6 ft (assist by T. Ennis),2,44-41,,
10:00.0,,,44-43,2,S. Muhammad makes 2-pt shot from 8 ft (assist by T. Jones)
9:47.0,Turnover by J. Clarkson (bad pass; steal by O. Casspi),,44-43,,
9:42.0,Violation by J. Clarkson (def goaltending),,44-43,,
9:42.0,,,44-45,2,T. Jones makes 2-pt shot from 1 ft
9:23.0,T. Ennis makes 2-pt shot from 2 ft,2,46-45,,
9:08.0,,,46-47,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
8:51.0,J. Clarkson misses 3-pt shot from 27 ft,,46-47,,
8:50.0,Offensive rebound by T. Black,,46-47,,
8:41.0,Turnover by J. Clarkson (bad pass),,46-47,,
8:41.0,,,46-47,,Minnesota full timeout
8:41.0,J. Randle enters the game for T. Black,,46-47,,
8:26.0,,,46-47,,T. Jones misses 3-pt shot from 26 ft
8:25.0,Defensive rebound by D. Nwaba,,46-47,,
8:08.0,D. Nwaba misses 2-pt shot from 1 ft,,46-47,,
8:07.0,Offensive rebound by L. Nance,,46-47,,
8:01.0,J. Randle misses 2-pt shot from 3 ft,,46-47,,
8:00.0,,,46-47,,Defensive rebound by S. Muhammad
7:54.0,,,46-47,,Turnover by S. Muhammad (lost ball)
7:41.0,J. Clarkson makes 2-pt shot from 2 ft,2,48-47,,
7:22.0,,,48-47,,K. Dunn misses 3-pt shot from 27 ft
7:21.0,Defensive rebound by D. Nwaba,,48-47,,
7:11.0,Shooting foul by O. Casspi (drawn by T. Ennis),,48-47,,
7:11.0,T. Ennis makes free throw 1 of 2,1,49-47,,
7:11.0,T. Ennis makes free throw 2 of 2,1,50-47,,
7:11.0,,,49-47,,G. Dieng enters the game for O. Casspi
7:11.0,,,49-47,,A. Wiggins enters the game for S. Muhammad
6:58.0,,,50-49,2,K. Towns makes 2-pt shot from 1 ft
6:58.0,,,50-49,,Personal foul by T. Jones (drawn by J. Clarkson)
6:58.0,,,50-49,,R. Rubio enters the game for T. Jones
6:52.0,Turnover by J. Randle (lost ball; steal by K. Dunn),,50-49,,
6:30.0,,,50-49,,R. Rubio misses 2-pt shot from 20 ft
6:30.0,,,50-49,,Offensive rebound by K. Dunn
6:23.0,,,50-49,,R. Rubio misses 2-pt shot from 9 ft
6:23.0,Defensive rebound by D. Nwaba,,50-49,,
6:14.0,D. Nwaba misses 2-pt shot from 1 ft (block by G. Dieng),,50-49,,
6:13.0,,,50-49,,Defensive rebound by G. Dieng
5:54.0,,,50-49,,K. Towns misses 2-pt shot from 7 ft
5:54.0,,,50-49,,Offensive rebound by K. Towns
5:51.0,,,50-49,,G. Dieng misses 2-pt shot from 10 ft
5:50.0,Defensive rebound by J. Clarkson,,50-49,,
5:44.0,T. Ennis makes 3-pt shot from 25 ft (assist by J. Clarkson),3,53-49,,
5:24.0,,,53-52,3,K. Towns makes 3-pt shot from 23 ft (assist by K. Dunn)
5:19.0,LA Lakers full timeout,,53-52,,
5:19.0,D. Russell enters the game for T. Ennis,,53-52,,
5:01.0,D. Russell misses 3-pt shot from 24 ft,,53-52,,
5:00.0,,,53-52,,Defensive rebound by K. Dunn
4:46.0,,,53-52,,Turnover by K. Towns (lost ball)
4:33.0,Turnover by L. Nance (lost ball; steal by K. Towns),,53-52,,
4:27.0,,,53-54,2,K. Dunn makes 2-pt shot from 21 ft (assist by R. Rubio)
4:01.0,J. Randle makes 3-pt shot from 26 ft (assist by J. Clarkson),3,56-54,,
3:37.0,,,56-56,2,A. Wiggins makes 2-pt shot from 20 ft
3:29.0,Turnover by J. Clarkson (lost ball),,56-56,,
3:29.0,C. Brewer enters the game for D. Nwaba,,56-56,,
3:24.0,Personal foul by D. Russell (drawn by K. Dunn),,56-56,,
3:16.0,,,56-59,3,R. Rubio makes 3-pt shot from 25 ft (assist by G. Dieng)
3:00.0,Turnover by J. Clarkson (lost ball; steal by K. Dunn),,56-59,,
2:51.0,,,56-59,,K. Dunn misses 2-pt shot from 6 ft
2:49.0,Defensive rebound by J. Randle,,56-59,,
2:45.0,Turnover by J. Randle (bad pass; steal by R. Rubio),,56-59,,
2:30.0,,,56-59,,A. Wiggins misses 2-pt shot from 6 ft (block by L. Nance)
2:28.0,,,56-59,,Offensive rebound by A. Wiggins
2:23.0,,,56-61,2,R. Rubio makes 2-pt shot from 21 ft
2:07.0,D. Russell misses 3-pt shot from 25 ft,,56-61,,
2:05.0,Offensive rebound by J. Randle,,56-61,,
2:01.0,,,56-61,,Minnesota full timeout
2:01.0,T. Ennis enters the game for J. Clarkson,,56-61,,
1:47.0,T. Ennis misses 2-pt shot from 7 ft,,56-61,,
1:46.0,,,56-61,,Defensive rebound by R. Rubio
1:32.0,,,56-61,,K. Towns misses 2-pt shot from 22 ft
1:31.0,Defensive rebound by J. Randle,,56-61,,
1:23.0,C. Brewer makes 2-pt shot from 3 ft,2,58-61,,
1:07.0,,,58-61,,Shooting foul by L. Nance (drawn by A. Wiggins)
1:07.0,,,58-62,1,A. Wiggins makes free throw 1 of 2
1:07.0,,,58-63,1,A. Wiggins makes free throw 2 of 2
0:54.0,Turnover by D. Russell (lost ball; steal by K. Dunn),,58-63,,
0:51.0,,,58-65,2,K. Towns makes 2-pt shot at rim (assist by K. Dunn)
0:33.0,C. Brewer makes 2-pt shot from 1 ft,2,60-65,,
0:14.0,,,60-65,,R. Rubio misses 2-pt shot from 2 ft (block by L. Nance)
0:14.0,,,60-65,,Offensive rebound by Team
0:10.0,,,60-67,2,R. Rubio makes 2-pt shot from 19 ft (assist by G. Dieng)
0:06.0,,,60-67,,Personal foul by K. Dunn (drawn by D. Russell)
0:01.0,J. Randle misses 3-pt shot from 24 ft,,60-67,,
0:01.0,,,60-67,,Defensive rebound by R. Rubio
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,60-67,,R. Rubio misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by C. Brewer,,60-67,,
11:18.0,D. Russell misses 3-pt shot from 24 ft,,60-67,,
11:17.0,,,60-67,,Defensive rebound by G. Dieng
10:59.0,,,60-69,2,A. Wiggins makes 2-pt shot from 20 ft (assist by K. Towns)
10:59.0,,,60-69,,Shooting foul by T. Black (drawn by A. Wiggins)
10:59.0,,,60-70,1,A. Wiggins makes free throw 1 of 1
10:50.0,,,60-70,,Def 3 sec tech foul by G. Dieng
10:50.0,J. Clarkson makes technical free throw,1,61-70,,
10:43.0,D. Russell misses 2-pt shot from 11 ft,,61-70,,
10:42.0,,,61-70,,Defensive rebound by K. Towns
10:33.0,,,61-70,,R. Rubio misses 2-pt shot from 20 ft
10:32.0,Defensive rebound by Team,,61-70,,
10:25.0,C. Brewer misses 2-pt shot from 4 ft,,61-70,,
10:24.0,,,61-70,,Defensive rebound by G. Dieng
10:18.0,,,61-70,,B. Rush misses 2-pt shot from 3 ft (block by J. Randle)
10:17.0,,,61-70,,Offensive rebound by Team
10:14.0,,,61-70,,Shooting foul by J. Randle (drawn by K. Towns)
10:14.0,,,61-71,1,K. Towns makes free throw 1 of 2
10:14.0,,,61-72,1,K. Towns makes free throw 2 of 2
9:58.0,D. Russell makes 2-pt shot from 1 ft (assist by C. Brewer),2,63-72,,
9:47.0,Personal foul by D. Russell (drawn by R. Rubio),,63-72,,
9:41.0,,,63-72,,K. Towns misses 2-pt shot from 19 ft
9:40.0,Defensive rebound by T. Black,,63-72,,
9:36.0,Shooting foul by A. Wiggins (drawn by C. Brewer),,63-72,,
9:36.0,C. Brewer misses free throw 1 of 2,,63-72,,
9:36.0,Offensive rebound by Team,,63-72,,
9:36.0,C. Brewer makes free throw 2 of 2,1,64-72,,
9:27.0,,,64-72,,A. Wiggins misses 2-pt shot from 19 ft
9:26.0,Defensive rebound by D. Russell,,64-72,,
9:17.0,J. Randle misses 2-pt shot from 3 ft,,64-72,,
9:17.0,Offensive rebound by T. Black,,64-72,,
9:16.0,T. Black misses 2-pt shot from 1 ft,,64-72,,
9:16.0,,,64-72,,Defensive rebound by Team
9:03.0,,,64-72,,K. Towns misses 2-pt shot from 5 ft
9:02.0,,,64-72,,Offensive rebound by K. Towns
9:01.0,,,64-72,,K. Towns misses 2-pt shot from 2 ft (block by T. Black)
8:59.0,,,64-72,,Offensive rebound by R. Rubio
8:55.0,,,64-74,2,G. Dieng makes 2-pt shot from 20 ft (assist by A. Wiggins)
8:44.0,Shooting foul by A. Wiggins (drawn by C. Brewer),,64-74,,
8:44.0,C. Brewer makes free throw 1 of 2,1,65-74,,
8:44.0,C. Brewer makes free throw 2 of 2,1,66-74,,
8:32.0,,,66-74,,G. Dieng misses 2-pt shot from 18 ft
8:31.0,Defensive rebound by J. Randle,,66-74,,
8:24.0,C. Brewer misses 3-pt shot from 24 ft,,66-74,,
8:23.0,Offensive rebound by T. Black,,66-74,,
8:20.0,D. Russell misses 3-pt shot from 25 ft,,66-74,,
8:19.0,,,66-74,,Defensive rebound by R. Rubio
8:16.0,,,66-74,,Turnover by R. Rubio (bad pass; steal by D. Russell)
8:02.0,T. Black makes 2-pt shot at rim (assist by D. Russell),2,68-74,,
7:43.0,,,68-74,,A. Wiggins misses 2-pt shot from 20 ft
7:41.0,,,68-74,,Offensive rebound by G. Dieng
7:41.0,,,68-76,2,G. Dieng makes 2-pt shot from 7 ft
7:41.0,,,68-76,,Shooting foul by J. Randle (drawn by G. Dieng)
7:41.0,Technical foul by J. Randle (drawn by G. Dieng),,68-76,,
7:41.0,,,68-77,1,R. Rubio makes technical free throw
7:41.0,,,68-77,,G. Dieng misses free throw 1 of 1
7:41.0,Defensive rebound by T. Black,,68-77,,
7:41.0,L. Nance enters the game for J. Randle,,68-76,,
7:18.0,D. Russell misses 2-pt shot from 22 ft,,68-77,,
7:17.0,,,68-77,,Defensive rebound by Team
7:05.0,,,68-77,,B. Rush misses 3-pt shot from 24 ft
7:03.0,,,68-77,,Offensive rebound by K. Towns
6:58.0,,,68-80,3,A. Wiggins makes 3-pt shot from 22 ft (assist by G. Dieng)
6:44.0,,,68-80,,Personal foul by A. Wiggins (drawn by D. Russell)
6:44.0,D. Nwaba enters the game for C. Brewer,,68-80,,
6:30.0,L. Nance misses 3-pt shot from 25 ft,,68-80,,
6:29.0,,,68-80,,Defensive rebound by G. Dieng
6:10.0,,,68-80,,A. Wiggins misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by Team,,68-80,,
6:08.0,,,68-80,,Loose ball foul by G. Dieng (drawn by L. Nance)
5:55.0,Turnover by D. Russell (bad pass; steal by A. Wiggins),,68-80,,
5:38.0,Personal foul by D. Nwaba (drawn by G. Dieng),,68-80,,
5:38.0,,,68-80,,Minnesota full timeout
5:38.0,,,68-81,1,G. Dieng makes free throw 1 of 2
5:38.0,,,68-82,1,G. Dieng makes free throw 2 of 2
5:24.0,Shooting foul by A. Wiggins (drawn by D. Nwaba),,68-82,,
5:24.0,D. Nwaba makes free throw 1 of 2,1,69-82,,
5:24.0,D. Nwaba makes free throw 2 of 2,1,70-82,,
5:09.0,Jump ball: R. Rubio vs. D. Russell,,,,Jump ball: R. Rubio vs. D. Russell
5:04.0,,,70-82,,Turnover by R. Rubio (bad pass)
4:45.0,,,70-82,,Personal foul by G. Dieng (drawn by D. Russell)
4:45.0,D. Russell makes free throw 1 of 2,1,71-82,,
4:45.0,D. Russell makes free throw 2 of 2,1,72-82,,
4:32.0,,,72-82,,Offensive foul by K. Towns
4:32.0,,,72-82,,Turnover by K. Towns (offensive foul)
4:21.0,D. Russell makes 3-pt shot from 24 ft,3,75-82,,
4:05.0,Personal foul by D. Russell (drawn by A. Wiggins),,75-82,,
4:05.0,,,75-82,,A. Wiggins misses free throw 1 of 2
4:05.0,,,75-82,,Offensive rebound by Team
4:05.0,Technical foul by D. Russell (drawn by A. Wiggins),,75-82,,
4:05.0,,,75-83,1,R. Rubio makes technical free throw
4:05.0,,,75-83,,A. Wiggins misses free throw 2 of 2
4:05.0,Defensive rebound by T. Black,,75-83,,
3:57.0,D. Russell misses 3-pt shot from 25 ft,,75-83,,
3:56.0,,,75-83,,Defensive rebound by G. Dieng
3:50.0,,,75-85,2,K. Towns makes 2-pt shot at rim (assist by G. Dieng)
3:38.0,J. Clarkson misses 2-pt shot from 5 ft (block by B. Rush),,75-85,,
3:36.0,,,75-85,,Defensive rebound by G. Dieng
3:33.0,,,75-85,,Minnesota full timeout
3:17.0,,,75-87,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
3:02.0,Turnover by D. Russell (lost ball; steal by K. Towns),,75-87,,
2:53.0,,,75-87,,B. Rush misses 3-pt shot from 22 ft
2:52.0,Defensive rebound by J. Clarkson,,75-87,,
2:46.0,L. Nance makes 2-pt shot at rim (assist by J. Clarkson),2,77-87,,
2:25.0,,,77-87,,Shooting foul by D. Russell (drawn by R. Rubio)
2:25.0,LA Lakers full timeout,,77-87,,
2:25.0,,,77-88,1,R. Rubio makes free throw 1 of 2
2:25.0,,,77-89,1,R. Rubio makes free throw 2 of 2
2:25.0,,,77-87,,O. Casspi enters the game for K. Towns
2:25.0,T. Robinson enters the game for T. Black,,77-87,,
2:09.0,T. Robinson makes 2-pt shot from 1 ft,2,79-89,,
1:52.0,,,79-91,2,A. Wiggins makes 2-pt shot from 10 ft (assist by R. Rubio)
1:52.0,,,79-91,,Shooting foul by D. Nwaba (drawn by A. Wiggins)
1:52.0,,,79-92,1,A. Wiggins makes free throw 1 of 1
1:52.0,T. Ennis enters the game for D. Russell,,79-91,,
1:52.0,,,79-91,,K. Dunn enters the game for R. Rubio
1:31.0,J. Clarkson misses 3-pt shot from 25 ft,,79-92,,
1:29.0,,,79-92,,Defensive rebound by A. Wiggins
1:09.0,,,79-94,2,A. Wiggins makes 2-pt shot from 17 ft
0:56.0,J. Clarkson makes 2-pt shot from 2 ft,2,81-94,,
0:56.0,Shooting foul by O. Casspi (drawn by J. Clarkson),,81-94,,
0:56.0,J. Clarkson makes free throw 1 of 1,1,82-94,,
0:46.0,Personal foul by D. Nwaba (drawn by A. Wiggins),,82-94,,
0:46.0,,,82-95,1,A. Wiggins makes free throw 1 of 2
0:46.0,,,82-96,1,A. Wiggins makes free throw 2 of 2
0:35.0,T. Ennis misses 2-pt shot from 3 ft,,82-96,,
0:35.0,,,82-96,,Defensive rebound by G. Dieng
0:15.0,,,82-96,,O. Casspi misses 3-pt shot from 24 ft
0:13.0,,,82-96,,Offensive rebound by A. Wiggins
0:02.0,,,82-96,,A. Wiggins misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by L. Nance,,82-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,82-96,,Personal foul by O. Casspi (drawn by L. Nance)
11:39.0,T. Robinson makes 2-pt shot from 2 ft (assist by T. Ennis),2,84-96,,
11:27.0,Personal foul by T. Robinson (drawn by K. Towns),,84-96,,
11:18.0,,,84-98,2,O. Casspi makes 2-pt shot at rim (assist by T. Jones)
11:04.0,T. Robinson makes 2-pt shot from 1 ft,2,86-98,,
10:43.0,,,86-98,,Turnover by T. Jones (bad pass; steal by D. Russell)
10:40.0,L. Nance misses 2-pt shot at rim,,86-98,,
10:39.0,Offensive rebound by D. Nwaba,,86-98,,
10:38.0,D. Nwaba makes 2-pt shot at rim,2,88-98,,
10:38.0,,,88-98,,Minnesota full timeout
10:38.0,,,88-98,,G. Dieng enters the game for O. Casspi
10:38.0,,,88-98,,R. Rubio enters the game for T. Jones
10:33.0,,,88-98,,Turnover by G. Dieng (traveling)
10:20.0,Turnover by T. Robinson (offensive goaltending),,88-98,,
10:03.0,,,88-100,2,R. Rubio makes 2-pt shot from 15 ft
9:48.0,T. Ennis misses 3-pt shot from 24 ft,,88-100,,
9:47.0,,,88-100,,Defensive rebound by K. Towns
9:25.0,,,88-100,,R. Rubio misses 2-pt shot from 16 ft
9:24.0,Defensive rebound by Team,,88-100,,
9:24.0,,,88-100,,Loose ball foul by K. Towns (drawn by T. Robinson)
9:04.0,T. Robinson misses 2-pt shot from 16 ft,,88-100,,
9:03.0,,,88-100,,Defensive rebound by K. Dunn
8:50.0,,,88-100,,K. Towns misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by D. Nwaba,,88-100,,
8:41.0,T. Robinson makes 2-pt shot at rim (assist by D. Russell),2,90-100,,
8:25.0,Personal foul by D. Russell (drawn by K. Dunn),,90-100,,
8:25.0,,,90-100,,A. Wiggins enters the game for S. Muhammad
8:18.0,,,90-100,,G. Dieng misses 2-pt shot from 3 ft
8:18.0,,,90-100,,Offensive rebound by K. Towns
8:18.0,,,90-100,,Shooting foul by T. Robinson (drawn by K. Towns)
8:18.0,,,90-101,1,K. Towns makes free throw 1 of 2
8:18.0,,,90-101,,K. Towns misses free throw 2 of 2
8:18.0,J. Clarkson enters the game for D. Russell,,90-101,,
8:13.0,Jump ball: K. Dunn vs. T. Robinson (K. Towns gains possession),,,,Jump ball: K. Dunn vs. T. Robinson (K. Towns gains possession)
8:13.0,,,90-101,,Offensive rebound by Team
7:57.0,Personal foul by T. Robinson (drawn by G. Dieng),,90-101,,
7:49.0,,,90-101,,A. Wiggins misses 2-pt shot from 16 ft
7:48.0,Defensive rebound by T. Ennis,,90-101,,
7:39.0,D. Nwaba misses 3-pt shot from 23 ft,,90-101,,
7:38.0,,,90-101,,Defensive rebound by K. Dunn
7:20.0,,,90-104,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
6:56.0,L. Nance misses 3-pt shot from 25 ft,,90-104,,
6:55.0,,,90-104,,Defensive rebound by K. Dunn
6:33.0,,,90-104,,A. Wiggins misses 2-pt shot from 6 ft
6:32.0,,,90-104,,Offensive rebound by Team
6:32.0,,,90-104,,Turnover by Team (shot clock)
6:21.0,LA Lakers full timeout,,90-104,,
6:21.0,D. Russell enters the game for T. Ennis,,90-104,,
6:21.0,Turnover by Team (5 sec inbounds),,90-104,,
6:05.0,,,90-104,,A. Wiggins misses 2-pt shot from 13 ft
6:04.0,Defensive rebound by D. Russell,,90-104,,
6:00.0,J. Randle enters the game for L. Nance,,90-104,,
5:51.0,J. Clarkson makes 3-pt shot from 26 ft (assist by D. Russell),3,93-104,,
5:33.0,,,93-104,,Offensive foul by K. Towns
5:33.0,,,93-104,,Turnover by K. Towns (offensive foul)
5:25.0,J. Clarkson misses 3-pt shot from 26 ft,,93-104,,
5:24.0,,,93-104,,Defensive rebound by A. Wiggins
5:07.0,,,93-104,,R. Rubio misses 3-pt shot from 24 ft
5:06.0,,,93-104,,Offensive rebound by K. Towns
4:48.0,,,93-104,,K. Towns misses 2-pt shot from 6 ft
4:47.0,Defensive rebound by J. Randle,,93-104,,
4:47.0,,,93-104,,Personal foul by K. Towns (drawn by J. Randle)
4:38.0,T. Robinson makes 2-pt shot from 17 ft,2,95-104,,
4:15.0,,,95-104,,Shooting foul by J. Randle (drawn by K. Towns)
4:15.0,,,95-106,2,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio)
4:15.0,,,95-107,1,K. Towns makes free throw 1 of 1
4:08.0,Turnover by T. Robinson (bad pass),,95-107,,
3:49.0,,,95-107,,K. Towns misses 2-pt shot from 3 ft
