time,LA Clippers,pts.away,score,pts.home,Chicago
3:47.0,B. Griffin makes 2-pt shot from 6 ft,2,19-19,,
3:47.0,,,19-19,,Chicago full timeout
3:47.0,A. Rivers enters the game for L. Mbah a Moute,,19-19,,
3:47.0,M. Speights enters the game for D. Jordan,,19-19,,
3:47.0,J. Crawford enters the game for J. Redick,,19-19,,
3:47.0,,,19-19,,D. Valentine enters the game for B. Portis
3:47.0,,,19-19,,N. Mirotic enters the game for D. Wade
3:32.0,,,19-21,2,J. Butler makes 2-pt shot from 1 ft (assist by R. Lopez)
3:13.0,M. Speights misses 3-pt shot from 23 ft,,19-21,,
3:12.0,,,19-21,,Defensive rebound by R. Rondo
2:53.0,,,19-23,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Butler)
2:41.0,M. Speights misses 3-pt shot from 26 ft,,19-23,,
2:40.0,,,19-23,,Defensive rebound by N. Mirotic
2:33.0,,,19-23,,D. Valentine misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by A. Rivers,,19-23,,
2:07.0,M. Speights misses 2-pt shot from 1 ft,,19-23,,
2:06.0,Offensive rebound by M. Speights,,19-23,,
2:06.0,M. Speights makes 2-pt shot from 2 ft,2,21-23,,
1:58.0,,,21-23,,R. Rondo misses 2-pt shot from 3 ft
1:57.0,Defensive rebound by M. Speights,,21-23,,
1:36.0,Turnover by J. Crawford (lost ball; steal by J. Butler),,21-23,,
1:30.0,,,21-23,,Turnover by D. Valentine (bad pass)
1:30.0,LA Clippers full timeout,,21-23,,
1:30.0,R. Felton enters the game for C. Paul,,21-23,,
1:16.0,A. Rivers misses 2-pt shot from 5 ft,,21-23,,
1:14.0,Offensive rebound by B. Griffin,,21-23,,
1:14.0,B. Griffin makes 2-pt shot from 2 ft,2,23-23,,
0:56.0,,,23-23,,D. Valentine misses 3-pt shot from 24 ft
0:56.0,,,23-23,,Offensive rebound by R. Lopez
0:56.0,Personal foul by M. Speights (drawn by R. Lopez),,23-23,,
0:49.0,,,23-25,2,R. Lopez makes 2-pt shot from 19 ft (assist by N. Mirotic)
0:35.0,J. Crawford misses 2-pt shot from 22 ft,,23-25,,
0:34.0,,,23-25,,Defensive rebound by N. Mirotic
0:31.0,Personal foul by A. Rivers (drawn by J. Butler),,23-25,,
0:31.0,,,23-26,1,J. Butler makes free throw 1 of 2
0:31.0,,,23-27,1,J. Butler makes free throw 2 of 2
0:31.0,,,23-26,,C. Felicio enters the game for R. Lopez
0:08.0,B. Griffin misses 2-pt shot from 2 ft,,23-27,,
0:07.0,Offensive rebound by M. Speights,,23-27,,
0:07.0,M. Speights misses 2-pt shot from 1 ft,,23-27,,
0:05.0,,,23-27,,Defensive rebound by N. Mirotic
0:01.0,,,23-29,2,C. Felicio makes 2-pt shot at rim (assist by R. Rondo)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-31,2,R. Rondo makes 2-pt shot from 5 ft
11:29.0,Turnover by A. Rivers (lost ball; steal by R. Rondo),,23-31,,
11:27.0,,,23-31,,Shooting foul by R. Felton (drawn by C. Felicio)
11:27.0,,,23-31,,C. Felicio misses free throw 1 of 2
11:27.0,,,23-31,,Offensive rebound by Team
11:27.0,,,23-32,1,C. Felicio makes free throw 2 of 2
11:13.0,J. Crawford makes 2-pt shot from 4 ft,2,25-32,,
10:58.0,,,25-32,,Turnover by R. Rondo (lost ball)
10:44.0,Turnover by R. Felton (bad pass; steal by C. Felicio),,25-32,,
10:38.0,,,25-35,3,P. Zipser makes 3-pt shot from 23 ft (assist by R. Rondo)
10:23.0,A. Rivers misses 3-pt shot from 24 ft,,25-35,,
10:22.0,,,25-35,,Defensive rebound by D. Valentine
10:13.0,,,25-35,,R. Rondo misses 2-pt shot from 20 ft
10:12.0,Defensive rebound by J. Crawford,,25-35,,
10:08.0,Shooting foul by P. Zipser (drawn by J. Crawford),,25-35,,
10:08.0,J. Crawford makes free throw 1 of 2,1,26-35,,
10:08.0,J. Crawford makes free throw 2 of 2,1,27-35,,
10:08.0,D. Jordan enters the game for M. Speights,,26-35,,
9:48.0,,,27-37,2,N. Mirotic makes 2-pt shot from 14 ft (assist by R. Rondo)
9:38.0,R. Felton makes 2-pt shot from 2 ft,2,29-37,,
9:23.0,,,29-37,,N. Mirotic misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by W. Johnson,,29-37,,
9:12.0,J. Crawford misses 2-pt shot from 20 ft,,29-37,,
9:10.0,Offensive rebound by A. Rivers,,29-37,,
9:05.0,J. Crawford makes 2-pt shot from 2 ft (assist by A. Rivers),2,31-37,,
8:54.0,,,31-37,,N. Mirotic misses 3-pt shot from 25 ft
8:53.0,,,31-37,,Offensive rebound by C. Felicio
8:49.0,,,31-40,3,D. Valentine makes 3-pt shot from 24 ft (assist by C. Felicio)
8:26.0,A. Rivers makes 3-pt shot from 24 ft (assist by D. Jordan),3,34-40,,
8:14.0,,,34-40,,R. Rondo misses 2-pt shot from 9 ft
8:13.0,,,34-40,,Offensive rebound by R. Rondo
8:01.0,,,34-42,2,P. Zipser makes 2-pt shot from 6 ft (assist by R. Rondo)
7:51.0,J. Crawford misses 3-pt shot from 27 ft,,34-42,,
7:50.0,Offensive rebound by J. Crawford,,34-42,,
7:47.0,J. Crawford makes 2-pt shot from 18 ft,2,36-42,,
7:47.0,,,36-42,,Chicago full timeout
7:47.0,,,36-42,,C. Payne enters the game for R. Rondo
7:47.0,C. Paul enters the game for R. Felton,,36-42,,
7:47.0,,,36-42,,D. Wade enters the game for D. Valentine
7:23.0,,,36-44,2,P. Zipser makes 2-pt shot from 21 ft (assist by C. Felicio)
7:05.0,J. Crawford misses 2-pt shot from 17 ft,,36-44,,
7:04.0,Offensive rebound by D. Jordan,,36-44,,
7:04.0,D. Jordan misses 2-pt shot from 1 ft,,36-44,,
7:03.0,,,36-44,,Defensive rebound by N. Mirotic
6:59.0,,,36-46,2,C. Felicio makes 2-pt shot from 2 ft (assist by D. Wade)
6:59.0,,,36-46,,Shooting foul by C. Paul (drawn by C. Felicio)
6:59.0,J. Redick enters the game for A. Rivers,,36-46,,
6:59.0,,,36-46,,Turnover by P. Zipser (lane violation.)
6:44.0,J. Redick misses 3-pt shot from 25 ft,,36-46,,
6:44.0,,,36-46,,Defensive rebound by C. Payne
6:33.0,,,36-46,,Turnover by C. Felicio (lost ball; steal by C. Paul)
6:29.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,38-46,,
6:11.0,Personal foul by W. Johnson (drawn by P. Zipser),,38-46,,
6:11.0,,,38-46,,J. Butler enters the game for P. Zipser
6:11.0,B. Griffin enters the game for J. Crawford,,38-46,,
6:11.0,L. Mbah a Moute enters the game for W. Johnson,,38-46,,
6:06.0,,,38-48,2,D. Wade makes 2-pt shot from 17 ft (assist by C. Payne)
5:57.0,,,38-48,,Violation by C. Felicio (def goaltending)
5:57.0,C. Paul makes 2-pt shot from 2 ft,2,40-48,,
5:43.0,,,40-48,,N. Mirotic misses 3-pt shot from 25 ft
5:41.0,,,40-48,,Offensive rebound by C. Felicio
5:41.0,,,40-50,2,C. Felicio makes 2-pt shot from 2 ft
5:36.0,Turnover by C. Paul (bad pass; steal by J. Butler),,40-50,,
5:27.0,,,40-50,,C. Payne misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by C. Paul,,40-50,,
5:22.0,,,40-50,,Personal foul by D. Wade (drawn by B. Griffin)
5:22.0,LA Clippers full timeout,,40-50,,
5:22.0,,,40-50,,R. Lopez enters the game for N. Mirotic
5:22.0,,,40-50,,B. Portis enters the game for C. Felicio
5:09.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin),3,43-50,,
4:48.0,,,43-52,2,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler)
4:31.0,C. Paul misses 2-pt shot from 12 ft,,43-52,,
4:29.0,,,43-52,,Defensive rebound by B. Portis
4:15.0,,,43-52,,R. Lopez misses 2-pt shot from 6 ft
4:14.0,Defensive rebound by D. Jordan,,43-52,,
4:05.0,Shooting foul by B. Portis (drawn by B. Griffin),,43-52,,
4:05.0,B. Griffin makes free throw 1 of 2,1,44-52,,
4:05.0,B. Griffin makes free throw 2 of 2,1,45-52,,
3:49.0,,,45-52,,C. Payne misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by L. Mbah a Moute,,45-52,,
3:39.0,J. Redick makes 2-pt shot from 23 ft (assist by D. Jordan),2,47-52,,
3:26.0,,,47-52,,J. Butler misses 2-pt shot from 9 ft
3:25.0,Defensive rebound by J. Redick,,47-52,,
3:16.0,J. Redick misses 2-pt shot from 17 ft,,47-52,,
3:15.0,,,47-52,,Defensive rebound by J. Butler
3:05.0,,,47-54,2,C. Payne makes 2-pt shot from 7 ft
2:46.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,49-54,,
2:21.0,,,49-54,,Turnover by J. Butler (lost ball; steal by L. Mbah a Moute)
2:13.0,J. Redick misses 3-pt shot from 25 ft,,49-54,,
2:13.0,,,49-54,,Defensive rebound by B. Portis
2:03.0,LA Clippers full timeout,,49-54,,
2:03.0,,,49-54,,R. Rondo enters the game for C. Payne
2:00.0,,,49-54,,R. Lopez misses 2-pt shot from 11 ft
1:59.0,Defensive rebound by L. Mbah a Moute,,49-54,,
1:48.0,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by C. Paul),2,51-54,,
1:48.0,Shooting foul by R. Rondo (drawn by L. Mbah a Moute),,51-54,,
1:48.0,L. Mbah a Moute makes free throw 1 of 1,1,52-54,,
1:35.0,,,52-54,,D. Wade misses 2-pt shot from 18 ft
1:34.0,Defensive rebound by C. Paul,,52-54,,
1:25.0,C. Paul misses 2-pt shot from 19 ft,,52-54,,
1:24.0,,,52-54,,Defensive rebound by R. Rondo
1:20.0,,,52-54,,Shooting foul by L. Mbah a Moute (drawn by B. Portis)
1:20.0,,,52-54,,B. Portis misses free throw 1 of 2
1:20.0,,,52-54,,Offensive rebound by Team
1:20.0,,,52-55,1,B. Portis makes free throw 2 of 2
1:05.0,Turnover by B. Griffin (lost ball; steal by D. Wade),,52-55,,
1:01.0,,,52-57,2,B. Portis makes 2-pt shot from 1 ft (assist by R. Rondo)
0:37.0,Turnover by B. Griffin (lost ball; steal by J. Butler),,52-57,,
0:36.0,,,52-59,2,B. Portis makes 2-pt shot at rim (assist by D. Wade)
0:36.0,LA Clippers full timeout,,52-59,,
0:36.0,M. Speights enters the game for D. Jordan,,52-59,,
0:36.0,J. Crawford enters the game for L. Mbah a Moute,,52-59,,
0:30.0,B. Griffin misses 2-pt shot from 2 ft,,52-59,,
0:29.0,,,52-59,,Defensive rebound by R. Lopez
0:25.0,,,52-61,2,B. Portis makes 2-pt shot from 1 ft (assist by J. Butler)
0:04.0,C. Paul makes 3-pt shot from 25 ft,3,55-61,,
0:00.0,,,55-61,,R. Rondo misses 2-pt shot from 12 ft
0:00.0,,,55-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,55-61,,Shooting foul by J. Redick (drawn by D. Wade)
11:43.0,,,55-62,1,D. Wade makes free throw 1 of 2
11:43.0,,,55-63,1,D. Wade makes free throw 2 of 2
11:26.0,B. Griffin misses 2-pt shot from 15 ft,,55-63,,
11:25.0,,,55-63,,Defensive rebound by D. Wade
11:15.0,,,55-63,,D. Wade misses 2-pt shot from 16 ft
11:12.0,,,55-63,,Offensive rebound by R. Lopez
11:12.0,,,55-63,,R. Lopez misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by D. Jordan,,55-63,,
11:08.0,,,55-63,,Personal foul by D. Wade (drawn by C. Paul)
10:53.0,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin),3,58-63,,
10:30.0,,,58-63,,Offensive foul by R. Lopez
10:30.0,,,58-63,,Turnover by R. Lopez (offensive foul)
10:06.0,C. Paul misses 3-pt shot from 25 ft,,58-63,,
10:04.0,Offensive rebound by D. Jordan,,58-63,,
10:04.0,D. Jordan makes 2-pt shot at rim,2,60-63,,
9:42.0,,,60-63,,Offensive foul by R. Lopez
9:42.0,,,60-63,,Turnover by R. Lopez (offensive foul)
9:20.0,B. Griffin misses 3-pt shot from 24 ft,,60-63,,
9:20.0,Offensive rebound by Team,,60-63,,
9:10.0,J. Redick misses 3-pt shot from 24 ft,,60-63,,
9:09.0,,,60-63,,Defensive rebound by B. Portis
8:48.0,,,60-65,2,B. Portis makes 2-pt shot from 10 ft (assist by D. Wade)
8:29.0,D. Jordan misses 2-pt shot from 2 ft,,60-65,,
8:28.0,Offensive rebound by D. Jordan,,60-65,,
8:28.0,D. Jordan makes 2-pt shot at rim,2,62-65,,
8:11.0,,,62-65,,Turnover by J. Grant (lost ball; steal by C. Paul)
8:11.0,,,62-65,,Personal foul by J. Grant (drawn by C. Paul)
7:55.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by B. Griffin),2,64-65,,
7:55.0,,,64-65,,Chicago full timeout
7:55.0,,,64-65,,R. Rondo enters the game for J. Grant
7:44.0,,,64-68,3,J. Butler makes 3-pt shot from 24 ft (assist by R. Rondo)
7:22.0,J. Redick misses 3-pt shot from 25 ft,,64-68,,
7:21.0,,,64-68,,Defensive rebound by B. Portis
7:10.0,,,64-68,,R. Lopez misses 2-pt shot from 7 ft
7:08.0,Defensive rebound by D. Jordan,,64-68,,
7:05.0,,,64-68,,Personal foul by D. Wade (drawn by B. Griffin)
6:56.0,Offensive foul by D. Jordan,,64-68,,
6:56.0,Turnover by D. Jordan (offensive foul),,64-68,,
6:35.0,,,64-68,,D. Wade misses 2-pt shot from 17 ft
6:34.0,,,64-68,,Offensive rebound by J. Butler
6:31.0,,,64-68,,B. Portis misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by Team,,64-68,,
6:15.0,C. Paul makes 2-pt shot from 20 ft,2,66-68,,
5:55.0,,,66-68,,B. Portis misses 2-pt shot from 2 ft (block by D. Jordan)
5:54.0,,,66-68,,Offensive rebound by B. Portis
5:50.0,,,66-68,,B. Portis misses 2-pt shot from 16 ft
5:48.0,Defensive rebound by B. Griffin,,66-68,,
5:38.0,Shooting foul by B. Portis (drawn by B. Griffin),,66-68,,
5:38.0,B. Griffin makes free throw 1 of 2,1,67-68,,
5:38.0,B. Griffin makes free throw 2 of 2,1,68-68,,
5:38.0,,,67-68,,P. Zipser enters the game for D. Wade
5:24.0,,,68-68,,J. Butler misses 2-pt shot from 15 ft
5:23.0,Defensive rebound by D. Jordan,,68-68,,
5:18.0,L. Mbah a Moute makes 2-pt shot from 3 ft,2,70-68,,
4:59.0,,,70-68,,J. Butler misses 2-pt shot from 15 ft
4:58.0,,,70-68,,Offensive rebound by Team
4:52.0,,,70-71,3,R. Rondo makes 3-pt shot from 23 ft (assist by R. Lopez)
4:49.0,LA Clippers full timeout,,70-71,,
4:49.0,,,70-71,,N. Mirotic enters the game for B. Portis
4:49.0,,,70-71,,C. Payne enters the game for R. Rondo
4:29.0,Turnover by D. Jordan (lost ball; steal by N. Mirotic),,70-71,,
4:21.0,Personal foul by C. Paul (drawn by J. Butler),,70-71,,
4:14.0,,,70-71,,R. Lopez misses 2-pt shot from 19 ft
4:13.0,Defensive rebound by B. Griffin,,70-71,,
3:58.0,B. Griffin makes 2-pt shot at rim,2,72-71,,
3:40.0,,,72-71,,Shooting foul by D. Jordan (drawn by J. Butler)
3:40.0,,,72-72,1,J. Butler makes free throw 1 of 2
3:40.0,,,72-73,1,J. Butler makes free throw 2 of 2
3:40.0,J. Crawford enters the game for J. Redick,,72-72,,
3:24.0,B. Griffin misses 2-pt shot from 18 ft,,72-73,,
3:23.0,,,72-73,,Defensive rebound by P. Zipser
3:16.0,,,72-73,,Turnover by C. Payne (bad pass; steal by J. Crawford)
3:11.0,,,72-73,,Personal foul by C. Payne (drawn by B. Griffin)
3:11.0,B. Griffin makes free throw 1 of 2,1,73-73,,
3:11.0,B. Griffin makes free throw 2 of 2,1,74-73,,
3:11.0,M. Speights enters the game for D. Jordan,,73-73,,
2:57.0,,,74-73,,P. Zipser misses 3-pt shot from 25 ft
2:56.0,,,74-73,,Offensive rebound by R. Lopez
2:55.0,,,74-73,,R. Lopez misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by M. Speights,,74-73,,
2:40.0,C. Paul misses 2-pt shot from 14 ft,,74-73,,
2:38.0,Offensive rebound by M. Speights,,74-73,,
2:38.0,M. Speights misses 2-pt shot from 2 ft,,74-73,,
2:38.0,Offensive rebound by Team,,74-73,,
2:22.0,B. Griffin misses 2-pt shot from 20 ft,,74-73,,
2:22.0,,,74-73,,Defensive rebound by Team
2:04.0,,,74-73,,Offensive foul by N. Mirotic
2:04.0,,,74-73,,Turnover by N. Mirotic (offensive foul)
2:04.0,A. Rivers enters the game for C. Paul,,74-73,,
2:04.0,,,74-73,,C. Felicio enters the game for R. Lopez
1:48.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Crawford),2,76-73,,
1:32.0,,,76-73,,C. Payne misses 2-pt shot from 14 ft
1:32.0,Defensive rebound by Team,,76-73,,
1:32.0,,,76-73,,Loose ball foul by C. Felicio (drawn by L. Mbah a Moute)
1:32.0,L. Mbah a Moute makes free throw 1 of 2,1,77-73,,
1:32.0,L. Mbah a Moute misses free throw 2 of 2,,77-73,,
1:32.0,,,77-73,,R. Rondo enters the game for C. Payne
1:31.0,,,77-73,,Defensive rebound by C. Felicio
1:18.0,,,77-73,,Turnover by R. Rondo (bad pass; steal by A. Rivers)
1:10.0,J. Crawford makes 2-pt shot from 21 ft (assist by L. Mbah a Moute),2,79-73,,
0:49.0,,,79-73,,Turnover by C. Felicio (lost ball; steal by J. Crawford)
0:44.0,A. Rivers misses 3-pt shot from 24 ft,,79-73,,
0:43.0,Offensive rebound by L. Mbah a Moute,,79-73,,
0:33.0,Turnover by J. Crawford (bad pass; steal by R. Rondo),,79-73,,
0:22.0,Personal foul by J. Crawford (drawn by N. Mirotic),,79-73,,
0:10.0,,,79-73,,C. Felicio misses 2-pt shot from 2 ft
0:07.0,Defensive rebound by B. Griffin,,79-73,,
0:01.0,J. Crawford makes 3-pt shot from 24 ft (assist by B. Griffin),3,82-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,W. Johnson misses 3-pt shot from 26 ft,,82-73,,
11:43.0,,,82-73,,Defensive rebound by D. Wade
11:28.0,,,82-73,,D. Wade misses 2-pt shot from 2 ft
11:26.0,,,82-73,,Offensive rebound by C. Felicio
11:25.0,,,82-73,,C. Felicio misses 2-pt shot from 2 ft (block by M. Speights)
11:25.0,,,82-73,,Offensive rebound by D. Wade
11:25.0,Personal foul by A. Rivers (drawn by D. Wade),,82-73,,
11:25.0,,,82-73,,D. Wade misses free throw 1 of 2
11:25.0,,,82-73,,Offensive rebound by Team
11:25.0,,,82-74,1,D. Wade makes free throw 2 of 2
11:14.0,M. Speights misses 3-pt shot from 24 ft,,82-74,,
11:13.0,,,82-74,,Defensive rebound by D. Wade
11:04.0,,,82-74,,Turnover by R. Rondo (bad pass; steal by M. Speights)
10:57.0,J. Crawford makes 2-pt shot from 2 ft,2,84-74,,
10:39.0,,,84-76,2,N. Mirotic makes 2-pt shot from 13 ft
10:20.0,J. Crawford makes 2-pt shot from 22 ft (assist by A. Rivers),2,86-76,,
9:59.0,,,86-76,,D. Wade misses 2-pt shot from 11 ft
9:57.0,Defensive rebound by M. Speights,,86-76,,
9:44.0,J. Crawford misses 3-pt shot from 26 ft,,86-76,,
9:43.0,,,86-76,,Defensive rebound by N. Mirotic
9:35.0,,,86-76,,Offensive charge foul by P. Zipser
9:35.0,,,86-76,,Turnover by P. Zipser (offensive foul)
9:35.0,,,86-76,,Technical foul by Team
9:35.0,J. Crawford makes technical free throw,1,87-76,,
9:19.0,M. Speights makes 2-pt shot at rim (assist by A. Rivers),2,89-76,,
9:19.0,,,89-76,,Chicago full timeout
9:01.0,,,89-76,,N. Mirotic misses 2-pt shot from 8 ft
9:01.0,Defensive rebound by Team,,89-76,,
8:38.0,A. Rivers misses 3-pt shot from 25 ft,,89-76,,
8:37.0,,,89-76,,Defensive rebound by N. Mirotic
8:31.0,,,89-76,,D. Wade misses 2-pt shot from 2 ft (block by W. Johnson)
8:31.0,,,89-76,,Offensive rebound by Team
8:23.0,Personal foul by J. Crawford (drawn by P. Zipser),,89-76,,
8:10.0,,,89-76,,D. Wade misses 2-pt shot from 20 ft
8:10.0,Defensive rebound by Team,,89-76,,
8:10.0,,,89-76,,Loose ball foul by C. Felicio (drawn by W. Johnson)
7:54.0,J. Crawford makes 2-pt shot from 22 ft,2,91-76,,
7:37.0,,,91-76,,P. Zipser misses 2-pt shot from 21 ft
7:36.0,,,91-76,,Offensive rebound by N. Mirotic
7:36.0,,,91-78,2,N. Mirotic makes 2-pt shot from 2 ft
7:14.0,W. Johnson makes 2-pt shot from 21 ft,2,93-78,,
7:04.0,,,93-78,,R. Rondo misses 2-pt shot from 7 ft (block by M. Speights)
7:01.0,,,93-78,,Offensive rebound by C. Felicio
7:01.0,,,93-78,,Offensive foul by C. Felicio
7:01.0,,,93-78,,Turnover by C. Felicio (offensive foul)
7:01.0,,,93-78,,J. Butler enters the game for C. Felicio
6:49.0,Turnover by R. Felton (lost ball; steal by R. Rondo),,93-78,,
6:44.0,,,93-80,2,P. Zipser makes 2-pt shot from 2 ft (assist by R. Rondo)
6:29.0,J. Crawford makes 3-pt shot from 26 ft,3,96-80,,
6:07.0,,,96-80,,Shooting foul by R. Felton (drawn by P. Zipser)
6:07.0,,,96-80,,P. Zipser misses free throw 1 of 2
6:07.0,,,96-80,,Offensive rebound by Team
6:07.0,,,96-81,1,P. Zipser makes free throw 2 of 2
5:49.0,J. Crawford misses 3-pt shot from 25 ft,,96-81,,
5:48.0,,,96-81,,Defensive rebound by P. Zipser
5:44.0,,,96-81,,Offensive foul by J. Butler
5:44.0,,,96-81,,Turnover by J. Butler (offensive foul)
5:44.0,LA Clippers full timeout,,96-81,,
5:44.0,,,96-81,,D. Valentine enters the game for P. Zipser
5:31.0,Shooting foul by R. Rondo (drawn by A. Rivers),,96-81,,
5:31.0,A. Rivers misses free throw 1 of 2,,96-81,,
5:31.0,Offensive rebound by Team,,96-81,,
5:31.0,A. Rivers makes free throw 2 of 2,1,97-81,,
5:17.0,,,97-83,2,J. Butler makes 2-pt shot from 9 ft
5:02.0,Turnover by A. Rivers (lost ball; steal by N. Mirotic),,97-83,,
4:58.0,,,97-85,2,D. Valentine makes 2-pt shot from 3 ft (assist by N. Mirotic)
4:43.0,,,97-85,,Personal foul by N. Mirotic (drawn by J. Crawford)
4:30.0,J. Crawford misses 2-pt shot from 2 ft,,97-85,,
4:29.0,,,97-85,,Defensive rebound by D. Wade
4:18.0,,,97-87,2,N. Mirotic makes 2-pt shot from 7 ft (assist by R. Rondo)
4:18.0,LA Clippers full timeout,,97-87,,
4:18.0,B. Griffin enters the game for A. Rivers,,97-87,,
4:18.0,D. Jordan enters the game for M. Speights,,97-87,,
4:18.0,L. Mbah a Moute enters the game for R. Felton,,97-87,,
4:18.0,C. Paul enters the game for W. Johnson,,97-87,,
3:56.0,B. Griffin makes 2-pt shot from 13 ft,2,99-87,,
3:49.0,,,99-87,,Turnover by D. Wade (bad pass)
3:26.0,J. Crawford makes 2-pt shot from 21 ft,2,101-87,,
3:12.0,,,101-87,,N. Mirotic misses 3-pt shot from 27 ft
