time,Milwaukee,pts.away,score,pts.home,San Antonio
8:09.0,Defensive rebound by J. Henson,,7-9,,
7:58.0,J. Parker misses 2-pt shot from 2 ft,,7-9,,
7:52.0,Offensive rebound by J. Henson,,7-9,,
7:52.0,J. Henson misses 2-pt shot from 1 ft,,7-9,,
7:49.0,,,7-9,,Defensive rebound by T. Parker
7:46.0,,,7-9,,Shooting foul by J. Parker (drawn by K. Leonard)
7:46.0,,,7-10,1,K. Leonard makes free throw 1 of 2
7:46.0,,,7-11,1,K. Leonard makes free throw 2 of 2
7:46.0,M. Beasley enters the game for G. Antetokounmpo,,7-10,,
7:39.0,M. Brogdon misses 2-pt shot from 7 ft,,7-11,,
7:37.0,,,7-11,,Defensive rebound by D. Lee
7:26.0,,,7-13,2,P. Gasol makes 2-pt shot from 4 ft (assist by T. Parker)
7:14.0,Turnover by J. Henson (traveling),,7-13,,
6:58.0,,,7-13,,Turnover by Team (3 sec)
6:58.0,G. Monroe enters the game for J. Henson,,7-13,,
6:51.0,Turnover by M. Brogdon (lost ball; steal by K. Leonard),,7-13,,
6:51.0,Personal foul by M. Brogdon (drawn by K. Leonard),,7-13,,
6:33.0,Milwaukee full timeout,,7-13,,
6:33.0,,,7-15,2,T. Parker makes 2-pt shot from 2 ft (assist by P. Gasol)
6:33.0,M. Dellavedova enters the game for M. Brogdon,,7-15,,
6:33.0,J. Parker makes 2-pt shot from 15 ft (assist by M. Dellavedova),2,9-15,,
6:11.0,Personal foul by G. Monroe (drawn by P. Gasol),,9-15,,
6:05.0,,,9-15,,T. Parker misses 2-pt shot from 4 ft (block by M. Beasley)
6:05.0,,,9-15,,Offensive rebound by Team
6:00.0,,,9-15,,Turnover by D. Lee (bad pass; steal by T. Snell)
5:52.0,M. Beasley makes 3-pt shot from 25 ft (assist by T. Snell),3,12-15,,
5:38.0,,,12-15,,Turnover by T. Parker (bad pass; steal by M. Beasley)
5:34.0,Turnover by M. Beasley (bad pass),,12-15,,
5:34.0,,,12-15,,M. Ginobili enters the game for D. Green
5:21.0,,,12-15,,P. Mills enters the game for T. Parker
5:21.0,,,12-15,,D. Bertans enters the game for D. Lee
5:16.0,,,12-15,,Turnover by M. Ginobili (bad pass; steal by M. Beasley)
5:16.0,M. Beasley misses 2-pt shot from 2 ft,,12-15,,
5:06.0,,,12-15,,Defensive rebound by P. Mills
4:51.0,,,12-15,,M. Ginobili misses 3-pt shot from 26 ft
4:48.0,Defensive rebound by J. Parker,,12-15,,
4:39.0,G. Monroe makes 2-pt shot from 7 ft (assist by M. Beasley),2,14-15,,
4:21.0,,,14-15,,M. Ginobili misses 3-pt shot from 24 ft
4:19.0,,,14-15,,Offensive rebound by P. Gasol
4:11.0,Personal foul by G. Monroe (drawn by P. Gasol),,14-15,,
4:11.0,,,14-15,,J. Simmons enters the game for K. Leonard
4:11.0,J. Terry enters the game for T. Snell,,14-15,,
3:55.0,,,14-15,,Turnover by P. Mills (step out of bounds)
3:55.0,M. Beasley misses 2-pt shot from 4 ft,,14-15,,
3:52.0,Offensive rebound by G. Monroe,,14-15,,
3:52.0,Turnover by M. Beasley (offensive goaltending),,14-15,,
3:52.0,,,14-15,,San Antonio full timeout
3:52.0,,,14-15,,D. Dedmon enters the game for P. Gasol
3:36.0,,,14-15,,P. Mills misses 2-pt shot from 7 ft
3:35.0,Defensive rebound by J. Parker,,14-15,,
3:24.0,Shooting foul by J. Simmons (drawn by J. Parker),,14-15,,
3:24.0,J. Parker makes free throw 1 of 2,1,15-15,,
3:24.0,J. Parker makes free throw 2 of 2,1,16-15,,
3:09.0,,,16-18,3,J. Simmons makes 3-pt shot from 24 ft (assist by D. Bertans)
2:57.0,Turnover by M. Dellavedova (bad pass),,16-18,,
2:43.0,,,16-21,3,D. Bertans makes 3-pt shot from 25 ft (assist by P. Mills)
2:23.0,M. Dellavedova misses 3-pt shot from 25 ft,,16-21,,
2:21.0,,,16-21,,Defensive rebound by P. Mills
2:13.0,,,16-21,,P. Mills misses 2-pt shot from 3 ft
2:07.0,,,16-21,,Offensive rebound by D. Dedmon
2:07.0,,,16-21,,D. Dedmon misses 2-pt shot at rim
2:05.0,Defensive rebound by G. Monroe,,16-21,,
2:01.0,M. Beasley misses 2-pt shot from 9 ft,,16-21,,
1:57.0,Offensive rebound by M. Beasley,,16-21,,
1:55.0,G. Monroe misses 2-pt shot from 4 ft (block by D. Bertans),,16-21,,
1:51.0,Offensive rebound by G. Monroe,,16-21,,
1:47.0,G. Monroe makes 2-pt shot from 1 ft,2,18-21,,
1:46.0,,,18-21,,Turnover by P. Mills (traveling)
1:46.0,M. Teletovic enters the game for J. Parker,,18-21,,
1:27.0,G. Monroe misses 2-pt shot from 7 ft,,18-21,,
1:25.0,Offensive rebound by M. Dellavedova,,18-21,,
1:18.0,Shooting foul by D. Bertans (drawn by M. Beasley),,18-21,,
1:18.0,M. Beasley misses free throw 1 of 2,,18-21,,
1:18.0,Offensive rebound by Team,,18-21,,
1:18.0,M. Beasley makes free throw 2 of 2,1,19-21,,
1:04.0,,,19-23,2,J. Simmons makes 2-pt shot from 1 ft
0:54.0,M. Dellavedova makes 2-pt shot from 2 ft (assist by G. Monroe),2,21-23,,
0:30.0,,,21-23,,D. Dedmon misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by G. Monroe,,21-23,,
0:10.0,M. Beasley makes 2-pt shot at rim (assist by G. Monroe),2,23-23,,
0:01.0,,,23-23,,M. Ginobili misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by G. Monroe,,23-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-26,3,K. Leonard makes 3-pt shot from 25 ft (assist by P. Mills)
11:21.0,G. Monroe makes 2-pt shot from 17 ft (assist by J. Terry),2,25-26,,
11:11.0,,,25-26,,J. Simmons misses 2-pt shot from 2 ft (block by J. Terry)
11:11.0,,,25-26,,Offensive rebound by Team
11:04.0,,,25-29,3,K. Leonard makes 3-pt shot from 24 ft
11:04.0,,,25-29,,Shooting foul by M. Teletovic (drawn by K. Leonard)
11:04.0,,,25-30,1,K. Leonard makes free throw 1 of 1
10:56.0,Turnover by M. Dellavedova (bad pass; steal by D. Dedmon),,25-30,,
10:51.0,,,25-32,2,D. Bertans makes 2-pt shot at rim
10:31.0,M. Teletovic misses 2-pt shot from 15 ft,,25-32,,
10:29.0,Offensive rebound by G. Monroe,,25-32,,
10:26.0,Turnover by G. Monroe (lost ball; steal by K. Leonard),,25-32,,
10:17.0,,,25-32,,P. Mills misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by G. Monroe,,25-32,,
10:01.0,G. Monroe misses 2-pt shot from 12 ft,,25-32,,
10:00.0,,,25-32,,Defensive rebound by K. Leonard
9:52.0,,,25-34,2,K. Leonard makes 2-pt shot from 20 ft
9:34.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,25-34,,
9:33.0,,,25-34,,Defensive rebound by D. Dedmon
9:23.0,,,25-34,,D. Bertans misses 3-pt shot from 24 ft
9:22.0,,,25-34,,Offensive rebound by D. Dedmon
9:15.0,,,25-34,,K. Leonard misses 2-pt shot from 17 ft
9:14.0,Defensive rebound by G. Monroe,,25-34,,
9:01.0,M. Dellavedova misses 2-pt shot from 2 ft,,25-34,,
8:59.0,,,25-34,,Defensive rebound by K. Leonard
8:54.0,,,25-36,2,K. Leonard makes 2-pt shot from 16 ft
8:54.0,Milwaukee full timeout,,25-36,,
8:54.0,,,25-36,,T. Parker enters the game for P. Mills
8:54.0,,,25-36,,P. Gasol enters the game for D. Dedmon
8:54.0,T. Maker enters the game for G. Monroe,,25-36,,
8:54.0,M. Brogdon enters the game for M. Dellavedova,,25-36,,
8:54.0,J. Henson enters the game for M. Teletovic,,25-36,,
8:34.0,J. Henson makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,27-36,,
8:15.0,,,27-39,3,J. Simmons makes 3-pt shot from 24 ft (assist by P. Gasol)
7:51.0,M. Brogdon makes 3-pt shot from 25 ft,3,30-39,,
7:38.0,,,30-41,2,P. Gasol makes 2-pt shot from 5 ft
7:18.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,30-41,,
7:17.0,,,30-41,,Defensive rebound by K. Leonard
7:12.0,Personal foul by T. Maker (drawn by T. Parker),,30-41,,
7:12.0,,,30-41,,D. Lee enters the game for D. Bertans
7:04.0,,,30-41,,Turnover by P. Gasol (bad pass)
7:04.0,J. Parker enters the game for G. Antetokounmpo,,30-41,,
6:54.0,J. Parker misses 2-pt shot from 8 ft,,30-41,,
6:53.0,,,30-41,,Defensive rebound by T. Parker
6:44.0,,,30-41,,P. Gasol misses 3-pt shot from 24 ft
6:42.0,,,30-41,,Offensive rebound by D. Lee
6:25.0,,,30-41,,P. Gasol misses 2-pt shot from 3 ft
6:24.0,Defensive rebound by M. Brogdon,,30-41,,
6:17.0,J. Parker makes 3-pt shot from 24 ft (assist by M. Brogdon),3,33-41,,
6:15.0,,,33-41,,San Antonio full timeout
6:15.0,T. Snell enters the game for J. Terry,,33-41,,
6:15.0,,,33-41,,D. Green enters the game for J. Simmons
6:14.0,,,33-41,,Violation by Team (delay of game)
5:51.0,,,33-43,2,D. Green makes 2-pt shot from 3 ft (assist by T. Parker)
5:30.0,T. Maker makes 3-pt shot from 23 ft (assist by T. Snell),3,36-43,,
5:16.0,Personal foul by M. Brogdon (drawn by K. Leonard),,36-43,,
5:06.0,,,36-46,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
4:45.0,T. Snell makes 2-pt shot at rim (assist by J. Henson),2,38-46,,
4:30.0,,,38-48,2,D. Lee makes 2-pt shot from 7 ft (assist by T. Parker)
4:18.0,M. Brogdon misses 2-pt shot from 3 ft,,38-48,,
4:16.0,Offensive rebound by J. Henson,,38-48,,
4:16.0,J. Henson makes 2-pt shot from 2 ft,2,40-48,,
3:59.0,Def 3 sec tech foul by J. Henson,,40-48,,
3:59.0,,,40-49,1,K. Leonard makes technical free throw
3:51.0,,,40-49,,Turnover by T. Parker (bad pass; steal by J. Parker)
3:45.0,T. Maker makes 2-pt shot at rim (assist by J. Parker),2,42-49,,
3:30.0,,,42-49,,T. Parker misses 2-pt shot from 5 ft
3:28.0,,,42-49,,Offensive rebound by D. Lee
3:28.0,,,42-51,2,D. Lee makes 2-pt shot from 1 ft
3:15.0,J. Henson misses 2-pt shot from 6 ft,,42-51,,
3:13.0,,,42-51,,Defensive rebound by D. Lee
3:04.0,,,42-53,2,T. Parker makes 2-pt shot from 1 ft
2:52.0,J. Henson misses 2-pt shot from 2 ft,,42-53,,
2:51.0,,,42-53,,Defensive rebound by P. Gasol
2:43.0,,,42-55,2,T. Parker makes 2-pt shot from 16 ft
2:43.0,Milwaukee full timeout,,42-55,,
2:43.0,Official timeout,,42-55,,
2:43.0,M. Plumlee enters the game for J. Henson,,42-55,,
2:43.0,M. Beasley enters the game for T. Maker,,42-55,,
2:43.0,,,42-55,,M. Ginobili enters the game for K. Leonard
2:43.0,,,42-55,,D. Dedmon enters the game for P. Gasol
2:27.0,M. Brogdon makes 2-pt shot from 5 ft (assist by T. Snell),2,44-55,,
2:15.0,,,44-57,2,T. Parker makes 2-pt shot from 5 ft
2:00.0,M. Brogdon makes 2-pt shot from 18 ft,2,46-57,,
1:46.0,,,46-59,2,T. Parker makes 2-pt shot from 3 ft
1:33.0,M. Plumlee makes 2-pt shot at rim (assist by M. Brogdon),2,48-59,,
1:13.0,,,48-59,,D. Lee misses 2-pt shot from 2 ft (block by M. Brogdon)
1:13.0,,,48-59,,Offensive rebound by Team
1:13.0,,,48-59,,K. Leonard enters the game for D. Green
1:08.0,,,48-59,,M. Ginobili misses 2-pt shot from 10 ft
1:06.0,Defensive rebound by M. Brogdon,,48-59,,
1:01.0,M. Brogdon misses 2-pt shot from 1 ft,,48-59,,
1:00.0,,,48-59,,Defensive rebound by D. Dedmon
0:52.0,,,48-59,,T. Parker misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by T. Snell,,48-59,,
0:45.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Brogdon),2,50-59,,
0:26.0,,,50-59,,D. Dedmon misses 2-pt shot from 10 ft
0:25.0,,,50-59,,Offensive rebound by D. Dedmon
0:04.0,,,50-59,,T. Parker misses 2-pt shot from 6 ft
0:03.0,Defensive rebound by M. Brogdon,,50-59,,
0:01.0,Shooting foul by K. Leonard (drawn by M. Brogdon),,50-59,,
0:01.0,M. Brogdon makes free throw 1 of 3,1,51-59,,
0:01.0,M. Brogdon makes free throw 2 of 3,1,52-59,,
0:01.0,M. Brogdon makes free throw 3 of 3,1,53-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Violation by Team (delay of game),,53-59,,
11:46.0,,,53-59,,Shooting foul by M. Beasley (drawn by K. Leonard)
11:46.0,,,53-59,,K. Leonard misses free throw 1 of 2
11:46.0,,,53-59,,Offensive rebound by Team
11:46.0,,,53-59,,K. Leonard misses free throw 2 of 2
11:45.0,Defensive rebound by M. Beasley,,53-59,,
11:30.0,M. Beasley misses 2-pt shot from 7 ft (block by K. Leonard),,53-59,,
11:26.0,,,53-59,,Defensive rebound by K. Leonard
11:24.0,,,53-59,,Turnover by D. Green (step out of bounds)
11:10.0,J. Parker misses 2-pt shot from 20 ft,,53-59,,
11:08.0,,,53-59,,Defensive rebound by D. Green
10:57.0,,,53-59,,K. Leonard misses 2-pt shot from 6 ft
10:55.0,Defensive rebound by J. Henson,,53-59,,
10:42.0,Turnover by M. Beasley (bad pass; steal by K. Leonard),,53-59,,
10:30.0,,,53-62,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
10:14.0,J. Parker misses 2-pt shot from 17 ft,,53-62,,
10:12.0,,,53-62,,Defensive rebound by P. Gasol
10:06.0,Personal foul by M. Brogdon (drawn by T. Parker),,53-62,,
9:50.0,,,53-62,,D. Green misses 3-pt shot from 22 ft
9:49.0,Defensive rebound by J. Henson,,53-62,,
9:42.0,M. Beasley makes 2-pt shot from 1 ft (assist by M. Brogdon),2,55-62,,
9:26.0,,,55-62,,T. Parker misses 2-pt shot from 5 ft
9:25.0,Defensive rebound by M. Brogdon,,55-62,,
9:19.0,T. Snell makes 3-pt shot from 24 ft (assist by J. Parker),3,58-62,,
8:58.0,,,58-64,2,K. Leonard makes 2-pt shot at rim (assist by P. Gasol)
8:41.0,J. Parker misses 2-pt shot from 3 ft (block by D. Green),,58-64,,
8:41.0,Offensive rebound by Team,,58-64,,
8:37.0,T. Snell misses 3-pt shot from 24 ft,,58-64,,
8:36.0,Offensive rebound by M. Brogdon,,58-64,,
8:23.0,J. Henson makes 2-pt shot at rim (assist by M. Beasley),2,60-64,,
7:59.0,,,60-64,,D. Green misses 3-pt shot from 24 ft
7:57.0,,,60-64,,Offensive rebound by P. Gasol
7:47.0,,,60-66,2,P. Gasol makes 2-pt shot from 2 ft
7:34.0,M. Brogdon misses 2-pt shot from 4 ft,,60-66,,
7:33.0,Offensive rebound by M. Brogdon,,60-66,,
7:25.0,M. Beasley makes 2-pt shot from 22 ft (assist by J. Henson),2,62-66,,
7:18.0,,,62-68,2,K. Leonard makes 2-pt shot from 11 ft
7:18.0,,,62-68,,Shooting foul by J. Parker (drawn by K. Leonard)
7:18.0,,,62-69,1,K. Leonard makes free throw 1 of 1
7:03.0,M. Brogdon misses 3-pt shot from 24 ft,,62-69,,
7:02.0,,,62-69,,Defensive rebound by P. Gasol
6:47.0,,,62-71,2,D. Lee makes 2-pt shot from 4 ft
6:33.0,J. Parker makes 2-pt shot at rim (assist by M. Brogdon),2,64-71,,
6:11.0,,,64-71,,T. Parker misses 3-pt shot from 27 ft
6:10.0,,,64-71,,Offensive rebound by P. Gasol
6:07.0,,,64-71,,P. Gasol misses 2-pt shot from 1 ft (block by M. Beasley)
6:05.0,Defensive rebound by J. Henson,,64-71,,
6:01.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Brogdon),2,66-71,,
6:01.0,,,66-71,,San Antonio full timeout
6:01.0,M. Dellavedova enters the game for M. Brogdon,,66-71,,
6:01.0,G. Monroe enters the game for J. Henson,,66-71,,
5:45.0,,,66-71,,D. Green misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by M. Dellavedova,,66-71,,
5:34.0,M. Beasley makes 2-pt shot from 16 ft (assist by G. Monroe),2,68-71,,
5:14.0,,,68-71,,D. Green misses 2-pt shot from 19 ft
5:12.0,Defensive rebound by J. Parker,,68-71,,
5:00.0,M. Beasley misses 2-pt shot from 8 ft,,68-71,,
4:59.0,,,68-71,,Defensive rebound by P. Gasol
4:55.0,Violation by M. Dellavedova (kicked ball),,68-71,,
4:55.0,,,68-71,,P. Mills enters the game for T. Parker
4:55.0,,,68-71,,D. Dedmon enters the game for P. Gasol
4:55.0,,,68-71,,J. Simmons enters the game for D. Green
4:41.0,,,68-73,2,K. Leonard makes 2-pt shot from 19 ft
4:28.0,M. Dellavedova makes 2-pt shot from 1 ft,2,70-73,,
4:15.0,Shooting block foul by J. Parker (drawn by J. Simmons),,70-73,,
4:15.0,,,70-74,1,J. Simmons makes free throw 1 of 2
4:15.0,,,70-75,1,J. Simmons makes free throw 2 of 2
4:04.0,M. Beasley makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,72-75,,
3:46.0,,,72-77,2,J. Simmons makes 2-pt shot from 1 ft (assist by P. Mills)
3:25.0,T. Snell makes 3-pt shot from 25 ft (assist by J. Parker),3,75-77,,
3:19.0,,,75-77,,Shooting foul by J. Parker (drawn by K. Leonard)
3:19.0,,,75-78,1,K. Leonard makes free throw 1 of 2
3:19.0,,,75-79,1,K. Leonard makes free throw 2 of 2
3:19.0,J. Terry enters the game for J. Parker,,75-78,,
3:09.0,G. Monroe misses 2-pt shot from 4 ft (block by D. Lee),,75-79,,
3:06.0,Offensive rebound by G. Monroe,,75-79,,
3:05.0,Turnover by G. Monroe (lost ball),,75-79,,
3:05.0,,,75-79,,M. Ginobili enters the game for K. Leonard
3:05.0,,,75-79,,D. Bertans enters the game for D. Lee
2:47.0,,,75-79,,D. Bertans misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by Team,,75-79,,
2:46.0,,,75-79,,Loose ball foul by M. Ginobili (drawn by T. Snell)
2:46.0,Milwaukee full timeout,,75-79,,
2:46.0,T. Maker enters the game for T. Snell,,75-79,,
2:31.0,M. Beasley makes 2-pt shot from 5 ft (assist by M. Dellavedova),2,77-79,,
2:09.0,,,77-82,3,D. Bertans makes 3-pt shot from 24 ft (assist by P. Mills)
1:53.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,79-82,,
1:37.0,,,79-84,2,D. Dedmon makes 2-pt shot from 15 ft (assist by M. Ginobili)
1:20.0,M. Dellavedova misses 2-pt shot from 7 ft (block by D. Dedmon),,79-84,,
1:18.0,,,79-84,,Defensive rebound by M. Ginobili
0:59.0,,,79-84,,J. Simmons misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by M. Beasley,,79-84,,
0:46.0,G. Monroe makes 2-pt shot from 2 ft,2,81-84,,
0:29.0,,,81-86,2,D. Dedmon makes 2-pt shot at rim (assist by D. Bertans)
0:08.0,Shooting foul by D. Bertans (drawn by M. Beasley),,81-86,,
0:08.0,M. Beasley makes free throw 1 of 2,1,82-86,,
0:08.0,M. Beasley makes free throw 2 of 2,1,83-86,,
0:08.0,,,82-86,,K. Leonard enters the game for J. Simmons
0:03.0,,,83-89,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Beasley makes 2-pt shot from 19 ft,2,85-89,,
11:12.0,,,85-89,,Turnover by D. Bertans (bad pass; steal by M. Dellavedova)
11:02.0,Turnover by M. Beasley (lost ball; steal by T. Parker),,85-89,,
10:55.0,,,85-91,2,T. Parker makes 2-pt shot from 1 ft
10:35.0,J. Terry makes 3-pt shot from 25 ft (assist by T. Maker),3,88-91,,
10:16.0,,,88-93,2,T. Parker makes 2-pt shot from 12 ft
9:52.0,M. Beasley makes 2-pt shot from 6 ft,2,90-93,,
9:36.0,,,90-93,,Turnover by D. Bertans (bad pass; steal by J. Terry)
9:34.0,,,90-93,,Personal foul by J. Simmons (drawn by J. Terry)
9:24.0,G. Monroe makes 2-pt shot from 4 ft (assist by M. Dellavedova),2,92-93,,
9:04.0,,,92-95,2,J. Simmons makes 2-pt shot from 17 ft (assist by T. Parker)
8:42.0,J. Terry misses 3-pt shot from 28 ft,,92-95,,
8:40.0,,,92-95,,Defensive rebound by Team
8:40.0,Official timeout,,92-95,,
8:40.0,,,92-95,,K. Leonard enters the game for M. Ginobili
8:40.0,,,92-95,,D. Lee enters the game for D. Bertans
8:40.0,,,92-95,,P. Gasol enters the game for D. Dedmon
8:28.0,,,92-95,,Turnover by P. Gasol (bad pass; steal by J. Terry)
8:16.0,M. Beasley misses 2-pt shot from 16 ft,,92-95,,
8:15.0,,,92-95,,Defensive rebound by T. Parker
8:04.0,,,92-95,,T. Parker misses 2-pt shot from 16 ft
8:03.0,,,92-95,,Offensive rebound by Team
8:03.0,Loose ball foul by T. Maker (drawn by D. Lee),,92-95,,
8:03.0,J. Parker enters the game for T. Maker,,92-95,,
8:03.0,T. Snell enters the game for J. Terry,,92-95,,
7:55.0,,,92-95,,J. Simmons misses 3-pt shot from 23 ft
7:53.0,,,92-95,,Offensive rebound by K. Leonard
7:47.0,,,92-95,,Turnover by K. Leonard (traveling)
7:36.0,Turnover by G. Monroe (traveling),,92-95,,
7:29.0,Personal block foul by J. Parker (drawn by K. Leonard),,92-95,,
7:29.0,,,92-95,,D. Green enters the game for J. Simmons
7:29.0,,,92-95,,San Antonio full timeout
7:14.0,,,92-97,2,K. Leonard makes 2-pt shot from 20 ft
6:52.0,M. Beasley makes 2-pt shot from 2 ft,2,94-97,,
6:35.0,,,94-97,,T. Parker misses 2-pt shot from 2 ft (block by M. Beasley)
6:33.0,Defensive rebound by J. Parker,,94-97,,
6:13.0,G. Monroe misses 2-pt shot from 6 ft,,94-97,,
6:12.0,,,94-97,,Defensive rebound by D. Green
6:06.0,,,94-97,,Turnover by D. Lee (lost ball; steal by M. Dellavedova)
6:01.0,G. Monroe misses 2-pt shot from 1 ft (block by K. Leonard),,94-97,,
5:57.0,Offensive rebound by J. Parker,,94-97,,
5:57.0,J. Parker misses 2-pt shot from 2 ft (block by K. Leonard),,94-97,,
5:57.0,,,94-97,,Defensive rebound by K. Leonard
5:57.0,Personal foul by G. Monroe (drawn by K. Leonard),,94-97,,
5:57.0,,,94-97,,J. Simmons enters the game for D. Lee
5:33.0,,,94-97,,D. Green misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by M. Beasley,,94-97,,
5:11.0,J. Parker misses 3-pt shot from 24 ft,,94-97,,
5:09.0,,,94-97,,Defensive rebound by P. Gasol
5:02.0,,,94-99,2,K. Leonard makes 2-pt shot from 16 ft
5:02.0,,,94-99,,Shooting foul by M. Beasley (drawn by K. Leonard)
5:02.0,Milwaukee full timeout,,94-99,,
5:02.0,,,94-100,1,K. Leonard makes free throw 1 of 1
5:02.0,M. Brogdon enters the game for M. Dellavedova,,94-99,,
5:02.0,,,94-99,,P. Mills enters the game for T. Parker
4:43.0,G. Monroe makes 2-pt shot from 4 ft (assist by M. Beasley),2,96-100,,
4:25.0,,,96-100,,Turnover by P. Mills (traveling)
4:25.0,,,96-100,,D. Dedmon enters the game for P. Gasol
4:05.0,M. Brogdon makes 3-pt shot from 26 ft (assist by G. Monroe),3,99-100,,
3:38.0,,,99-100,,Shooting foul by G. Monroe (drawn by D. Dedmon)
3:38.0,,,99-100,,D. Dedmon misses free throw 1 of 2
3:38.0,,,99-100,,Offensive rebound by Team
3:38.0,,,99-101,1,D. Dedmon makes free throw 2 of 2
3:23.0,M. Beasley makes 2-pt shot from 2 ft,2,101-101,,
3:02.0,,,101-101,,K. Leonard misses 2-pt shot from 17 ft
3:00.0,Defensive rebound by J. Parker,,101-101,,
2:56.0,J. Parker makes 2-pt shot at rim,2,103-101,,
2:56.0,,,103-101,,San Antonio full timeout
2:56.0,,,103-101,,T. Parker enters the game for P. Mills
2:42.0,,,103-101,,D. Green misses 3-pt shot from 25 ft
2:41.0,,,103-101,,Offensive rebound by D. Dedmon
2:37.0,,,103-101,,D. Dedmon misses 2-pt shot from 3 ft
2:35.0,,,103-101,,Offensive rebound by K. Leonard
2:30.0,,,103-101,,K. Leonard misses 3-pt shot from 24 ft
2:30.0,Defensive rebound by Team,,103-101,,
2:30.0,,,103-101,,Loose ball foul by D. Green (drawn by M. Beasley)
2:30.0,,,103-101,,P. Gasol enters the game for D. Dedmon
2:28.0,,,103-101,,D. Bertans enters the game for J. Simmons
2:14.0,Shooting foul by D. Green (drawn by M. Beasley),,103-101,,
2:14.0,M. Beasley makes free throw 1 of 2,1,104-101,,
2:14.0,M. Beasley makes free throw 2 of 2,1,105-101,,
1:56.0,,,105-104,3,D. Bertans makes 3-pt shot from 25 ft (assist by T. Parker)
1:28.0,T. Snell misses 3-pt shot from 25 ft,,105-104,,
1:26.0,,,105-104,,Defensive rebound by D. Green
1:20.0,,,105-107,3,D. Green makes 3-pt shot from 26 ft (assist by K. Leonard)
1:20.0,Milwaukee full timeout,,105-107,,
1:08.0,M. Brogdon makes 3-pt shot from 23 ft (assist by M. Beasley),3,108-107,,
0:52.0,,,108-107,,P. Gasol misses 2-pt shot from 16 ft
0:51.0,Defensive rebound by M. Beasley,,108-107,,
0:29.0,M. Beasley misses 2-pt shot from 19 ft,,108-107,,
0:27.0,,,108-107,,Defensive rebound by P. Gasol
