time,Philadelphia,pts.away,score,pts.home,Miami
1:14.0,Personal foul by T. Luwawu-Cabarrot (drawn by W. Ellington),,15-30,,
1:14.0,N. Noel enters the game for R. Holmes,,15-30,,
1:05.0,,,15-32,2,T. Johnson makes 2-pt shot from 17 ft (assist by G. Dragic)
0:57.0,S. Rodriguez makes 2-pt shot from 15 ft,2,17-32,,
0:48.0,,,17-32,,Offensive foul by J. Johnson
0:48.0,,,17-32,,Turnover by J. Johnson (offensive foul)
0:31.0,D. Saric misses 2-pt shot from 18 ft,,17-32,,
0:30.0,,,17-32,,Defensive rebound by J. Johnson
0:12.0,,,17-32,,W. Reed misses 2-pt shot from 4 ft
0:11.0,,,17-32,,Offensive rebound by W. Reed
0:10.0,,,17-32,,Turnover by W. Reed (traveling)
0:02.0,D. Saric misses 3-pt shot from 25 ft,,17-32,,
0:01.0,,,17-32,,Defensive rebound by J. Johnson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,N. Noel makes 2-pt shot at rim (assist by S. Rodriguez),2,19-32,,
11:30.0,,,19-34,2,W. Ellington makes 2-pt shot from 17 ft (assist by J. Johnson)
11:18.0,S. Rodriguez misses 2-pt shot from 14 ft,,19-34,,
11:17.0,,,19-34,,Defensive rebound by T. Johnson
11:10.0,,,19-36,2,T. Johnson makes 2-pt shot from 9 ft
11:10.0,,,19-36,,Shooting foul by S. Rodriguez (drawn by T. Johnson)
11:10.0,,,19-37,1,T. Johnson makes free throw 1 of 1
11:10.0,T. McConnell enters the game for S. Rodriguez,,19-36,,
11:10.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,19-36,,
11:10.0,E. Ilyasova enters the game for C. Randle,,19-36,,
11:00.0,N. Noel makes 2-pt shot at rim (assist by E. Ilyasova),2,21-37,,
10:43.0,,,21-39,2,J. Johnson makes 2-pt shot from 15 ft
10:31.0,E. Ilyasova misses 3-pt shot from 24 ft,,21-39,,
10:30.0,,,21-39,,Defensive rebound by T. Johnson
10:20.0,,,21-39,,J. Johnson misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by E. Ilyasova,,21-39,,
10:04.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by N. Noel),2,23-39,,
10:04.0,Shooting foul by W. Ellington (drawn by E. Ilyasova),,23-39,,
10:04.0,E. Ilyasova makes free throw 1 of 1,1,24-39,,
10:04.0,N. Stauskas enters the game for D. Saric,,23-39,,
9:47.0,,,24-42,3,W. Ellington makes 3-pt shot from 24 ft (assist by T. Johnson)
9:42.0,Philadelphia full timeout,,24-42,,
9:28.0,Shooting foul by W. Ellington (drawn by N. Stauskas),,24-42,,
9:28.0,N. Stauskas makes free throw 1 of 2,1,25-42,,
9:28.0,N. Stauskas makes free throw 2 of 2,1,26-42,,
9:15.0,,,26-42,,W. Ellington misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by N. Stauskas,,26-42,,
9:06.0,,,26-42,,Personal foul by T. Johnson (drawn by N. Stauskas)
8:52.0,G. Henderson makes 2-pt shot from 17 ft,2,28-42,,
8:34.0,,,28-42,,W. Reed misses 2-pt shot from 2 ft
8:33.0,Defensive rebound by N. Noel,,28-42,,
8:24.0,G. Henderson misses 2-pt shot from 20 ft,,28-42,,
8:23.0,,,28-42,,Defensive rebound by G. Dragic
8:14.0,,,28-42,,W. Reed misses 2-pt shot from 7 ft
8:13.0,Defensive rebound by T. McConnell,,28-42,,
8:09.0,,,28-42,,Violation by T. Johnson (def goaltending)
8:09.0,T. McConnell makes 2-pt shot from 2 ft,2,30-42,,
7:56.0,,,30-44,2,J. Johnson makes 2-pt shot at rim (assist by G. Dragic)
7:40.0,Shooting foul by J. Johnson (drawn by N. Noel),,30-44,,
7:40.0,N. Noel makes free throw 1 of 2,1,31-44,,
7:40.0,N. Noel makes free throw 2 of 2,1,32-44,,
7:40.0,,,31-44,,H. Whiteside enters the game for T. Johnson
7:40.0,,,31-44,,O. White enters the game for J. Johnson
7:40.0,,,31-44,,R. McGruder enters the game for W. Reed
7:21.0,,,32-46,2,H. Whiteside makes 2-pt shot from 7 ft (assist by G. Dragic)
7:06.0,T. McConnell makes 2-pt shot from 16 ft (assist by N. Noel),2,34-46,,
6:56.0,,,34-49,3,G. Dragic makes 3-pt shot from 25 ft (assist by R. McGruder)
6:48.0,,,34-49,,Personal foul by O. White (drawn by E. Ilyasova)
6:48.0,E. Ilyasova makes free throw 1 of 2,1,35-49,,
6:48.0,E. Ilyasova makes free throw 2 of 2,1,36-49,,
6:48.0,R. Holmes enters the game for N. Noel,,35-49,,
6:32.0,,,36-49,,W. Ellington misses 2-pt shot from 18 ft
6:31.0,Defensive rebound by N. Stauskas,,36-49,,
6:25.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by N. Stauskas),3,39-49,,
6:25.0,,,39-49,,Miami full timeout
6:25.0,,,39-49,,T. Johnson enters the game for G. Dragic
6:25.0,,,39-49,,D. Waiters enters the game for W. Ellington
6:07.0,,,39-49,,Turnover by R. McGruder (lost ball; steal by N. Stauskas)
5:57.0,G. Henderson makes 2-pt shot from 14 ft,2,41-49,,
5:38.0,,,41-49,,D. Waiters misses 2-pt shot from 9 ft
5:37.0,Defensive rebound by R. Holmes,,41-49,,
5:19.0,G. Henderson misses 2-pt shot from 12 ft,,41-49,,
5:18.0,Offensive rebound by E. Ilyasova,,41-49,,
5:16.0,E. Ilyasova makes 3-pt shot from 25 ft,3,44-49,,
5:01.0,,,44-51,2,D. Waiters makes 2-pt shot from 2 ft
4:54.0,G. Henderson misses 2-pt shot from 2 ft,,44-51,,
4:53.0,,,44-51,,Defensive rebound by T. Johnson
4:43.0,,,44-53,2,T. Johnson makes 2-pt shot from 19 ft
4:18.0,E. Ilyasova misses 3-pt shot from 24 ft,,44-53,,
4:17.0,Offensive rebound by R. Holmes,,44-53,,
4:15.0,N. Stauskas makes 2-pt shot at rim (assist by R. Holmes),2,46-53,,
3:56.0,Personal foul by T. McConnell,,46-53,,
3:56.0,,,46-53,,J. Johnson enters the game for O. White
3:56.0,T. Luwawu-Cabarrot enters the game for E. Ilyasova,,46-53,,
3:56.0,D. Saric enters the game for G. Henderson,,46-53,,
3:46.0,,,46-55,2,J. Johnson makes 2-pt shot from 2 ft (assist by D. Waiters)
3:30.0,Offensive foul by R. Holmes,,46-55,,
3:30.0,Turnover by R. Holmes (offensive foul),,46-55,,
3:30.0,N. Noel enters the game for R. Holmes,,46-55,,
3:30.0,S. Rodriguez enters the game for T. McConnell,,46-55,,
3:20.0,,,46-55,,Shooting foul by N. Stauskas (drawn by R. McGruder)
3:20.0,,,46-55,,R. McGruder misses free throw 1 of 2
3:20.0,,,46-55,,Offensive rebound by Team
3:20.0,,,46-55,,R. McGruder misses free throw 2 of 2
3:19.0,Defensive rebound by N. Noel,,46-55,,
3:07.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,46-55,,
3:06.0,,,46-55,,Defensive rebound by J. Johnson
3:00.0,,,46-58,3,D. Waiters makes 3-pt shot from 25 ft (assist by J. Johnson)
2:47.0,S. Rodriguez misses 2-pt shot from 18 ft,,46-58,,
2:46.0,,,46-58,,Defensive rebound by H. Whiteside
2:37.0,,,46-58,,Turnover by D. Waiters (lost ball; steal by N. Stauskas)
2:31.0,D. Saric makes 2-pt shot from 12 ft (assist by N. Stauskas),2,48-58,,
2:08.0,,,48-60,2,H. Whiteside makes 2-pt shot from 10 ft (assist by T. Johnson)
1:57.0,N. Noel misses 2-pt shot from 8 ft,,48-60,,
1:56.0,,,48-60,,Defensive rebound by J. Johnson
1:54.0,,,48-60,,Shooting foul by N. Noel (drawn by J. Johnson)
1:54.0,Official timeout,,48-60,,
1:54.0,,,48-61,1,J. Johnson makes free throw 1 of 2
1:54.0,,,48-62,1,J. Johnson makes free throw 2 of 2
1:54.0,,,48-60,,G. Dragic enters the game for D. Waiters
1:36.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by N. Stauskas),3,51-62,,
1:10.0,,,51-62,,T. Johnson misses 2-pt shot from 17 ft
1:09.0,Defensive rebound by D. Saric,,51-62,,
0:58.0,N. Noel misses 2-pt shot from 2 ft,,51-62,,
0:57.0,,,51-62,,Defensive rebound by J. Johnson
0:41.0,,,51-64,2,H. Whiteside makes 2-pt shot from 7 ft (assist by G. Dragic)
0:37.0,Philadelphia full timeout,,51-64,,
0:37.0,,,51-64,,O. White enters the game for J. Johnson
0:35.0,,,51-64,,Personal foul by H. Whiteside (drawn by N. Noel)
0:35.0,N. Noel misses free throw 1 of 2,,51-64,,
0:35.0,Offensive rebound by Team,,51-64,,
0:35.0,N. Noel makes free throw 2 of 2,1,52-64,,
0:35.0,,,51-64,,D. Waiters enters the game for R. McGruder
0:14.0,,,52-64,,G. Dragic misses 2-pt shot from 20 ft
0:13.0,Defensive rebound by N. Noel,,52-64,,
0:04.0,N. Noel misses 2-pt shot at rim,,52-64,,
0:02.0,,,52-64,,Defensive rebound by H. Whiteside
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,52-64,,Personal foul by L. Babbitt (drawn by E. Ilyasova)
11:40.0,Turnover by E. Ilyasova (bad pass),,52-64,,
11:24.0,,,52-64,,G. Dragic misses 2-pt shot from 11 ft
11:19.0,,,52-64,,Offensive rebound by H. Whiteside
11:18.0,,,52-64,,H. Whiteside misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by N. Noel,,52-64,,
11:10.0,G. Henderson makes 2-pt shot from 2 ft (assist by N. Stauskas),2,54-64,,
11:05.0,,,54-64,,Turnover by G. Dragic (lost ball; steal by N. Noel)
10:54.0,N. Stauskas misses 3-pt shot from 25 ft,,54-64,,
10:53.0,,,54-64,,Defensive rebound by H. Whiteside
10:37.0,,,54-67,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters)
10:16.0,E. Ilyasova makes 2-pt shot from 2 ft,2,56-67,,
10:01.0,,,56-69,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
9:36.0,T. McConnell makes 2-pt shot from 1 ft,2,58-69,,
9:22.0,,,58-71,2,G. Dragic makes 2-pt shot from 13 ft
9:08.0,N. Stauskas misses 3-pt shot from 25 ft,,58-71,,
9:07.0,,,58-71,,Defensive rebound by H. Whiteside
8:56.0,,,58-71,,Turnover by O. White (lost ball)
8:44.0,E. Ilyasova misses 3-pt shot from 25 ft,,58-71,,
8:43.0,Offensive rebound by N. Noel,,58-71,,
8:31.0,E. Ilyasova misses 2-pt shot from 1 ft,,58-71,,
8:30.0,,,58-71,,Defensive rebound by H. Whiteside
8:19.0,,,58-74,3,O. White makes 3-pt shot from 24 ft (assist by D. Waiters)
8:08.0,T. McConnell misses 2-pt shot from 7 ft,,58-74,,
8:07.0,,,58-74,,Defensive rebound by G. Dragic
8:02.0,,,58-74,,Miami full timeout
8:02.0,T. Luwawu-Cabarrot enters the game for G. Henderson,,58-74,,
7:56.0,,,58-76,2,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Waiters)
7:40.0,,,58-76,,Violation by H. Whiteside (def goaltending)
7:40.0,T. McConnell makes 2-pt shot from 2 ft,2,60-76,,
7:40.0,Shooting foul by G. Dragic,,60-76,,
7:40.0,T. McConnell makes free throw 1 of 1,1,61-76,,
7:29.0,,,61-79,3,D. Waiters makes 3-pt shot from 25 ft (assist by O. White)
7:09.0,N. Noel misses 2-pt shot from 2 ft (block by H. Whiteside),,61-79,,
7:08.0,,,61-79,,Defensive rebound by H. Whiteside
7:00.0,,,61-82,3,L. Babbitt makes 3-pt shot from 24 ft (assist by G. Dragic)
7:00.0,Philadelphia full timeout,,61-82,,
7:00.0,R. Holmes enters the game for N. Noel,,61-82,,
6:49.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft,,61-82,,
6:48.0,,,61-82,,Defensive rebound by O. White
6:28.0,,,61-82,,Turnover by H. Whiteside (3 sec)
6:19.0,N. Stauskas misses 2-pt shot from 1 ft (block by H. Whiteside),,61-82,,
6:18.0,Offensive rebound by T. Luwawu-Cabarrot,,61-82,,
6:17.0,E. Ilyasova misses 3-pt shot from 25 ft,,61-82,,
6:16.0,Offensive rebound by R. Holmes,,61-82,,
6:15.0,R. Holmes makes 2-pt shot at rim,2,63-82,,
6:03.0,Personal foul by E. Ilyasova (drawn by O. White),,63-82,,
5:49.0,,,63-82,,Turnover by D. Waiters (lost ball)
5:36.0,Turnover by T. McConnell (bad pass),,63-82,,
5:31.0,,,63-82,,Offensive foul by L. Babbitt
5:31.0,,,63-82,,Turnover by L. Babbitt (offensive foul)
5:30.0,,,63-82,,T. Johnson enters the game for G. Dragic
5:12.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,63-82,,
5:11.0,,,63-82,,Defensive rebound by H. Whiteside
4:58.0,,,63-82,,T. Johnson misses 2-pt shot from 18 ft
4:57.0,Defensive rebound by E. Ilyasova,,63-82,,
4:50.0,E. Ilyasova misses 2-pt shot from 19 ft,,63-82,,
4:49.0,,,63-82,,Defensive rebound by D. Waiters
4:41.0,,,63-82,,Shooting foul by N. Stauskas (drawn by H. Whiteside)
4:41.0,,,63-84,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Waiters)
4:41.0,,,63-85,1,H. Whiteside makes free throw 1 of 1
4:41.0,D. Saric enters the game for E. Ilyasova,,63-84,,
4:41.0,G. Henderson enters the game for N. Stauskas,,63-84,,
4:30.0,G. Henderson makes 2-pt shot from 18 ft (assist by T. McConnell),2,65-85,,
4:19.0,,,65-88,3,D. Waiters makes 3-pt shot from 25 ft
3:57.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,65-88,,
3:56.0,,,65-88,,Defensive rebound by H. Whiteside
3:42.0,,,65-88,,L. Babbitt misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by T. McConnell,,65-88,,
3:32.0,R. Holmes makes 2-pt shot from 1 ft (assist by G. Henderson),2,67-88,,
3:22.0,Personal foul by G. Henderson (drawn by D. Waiters),,67-88,,
3:22.0,,,67-88,,W. Ellington enters the game for L. Babbitt
3:22.0,,,67-88,,W. Reed enters the game for H. Whiteside
3:22.0,,,67-88,,J. Johnson enters the game for O. White
3:22.0,S. Rodriguez enters the game for T. McConnell,,67-88,,
3:13.0,,,67-88,,Shooting foul by D. Saric (drawn by T. Johnson)
3:13.0,,,67-89,1,T. Johnson makes free throw 1 of 2
3:13.0,,,67-90,1,T. Johnson makes free throw 2 of 2
3:01.0,S. Rodriguez misses 2-pt shot from 14 ft,,67-90,,
3:00.0,,,67-90,,Defensive rebound by W. Ellington
2:52.0,,,67-90,,Turnover by W. Ellington (bad pass; steal by D. Saric)
2:47.0,S. Rodriguez makes 2-pt shot from 1 ft (assist by G. Henderson),2,69-90,,
2:32.0,,,69-92,2,T. Johnson makes 2-pt shot from 11 ft
2:32.0,Philadelphia full timeout,,69-92,,
2:32.0,C. Randle enters the game for T. Luwawu-Cabarrot,,69-92,,
2:19.0,C. Randle misses 3-pt shot from 25 ft,,69-92,,
2:18.0,,,69-92,,Defensive rebound by T. Johnson
2:00.0,,,69-92,,D. Waiters misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by S. Rodriguez,,69-92,,
1:45.0,Turnover by S. Rodriguez (lost ball; steal by D. Waiters),,69-92,,
1:40.0,,,69-92,,D. Waiters misses 2-pt shot from 3 ft
1:39.0,,,69-92,,Offensive rebound by W. Ellington
1:33.0,Personal foul by C. Randle (drawn by D. Waiters),,69-92,,
1:33.0,,,69-93,1,D. Waiters makes free throw 1 of 2
1:33.0,,,69-94,1,D. Waiters makes free throw 2 of 2
1:20.0,Shooting foul by W. Ellington (drawn by C. Randle),,69-94,,
1:20.0,C. Randle makes free throw 1 of 2,1,70-94,,
1:20.0,C. Randle makes free throw 2 of 2,1,71-94,,
1:20.0,,,70-94,,G. Dragic enters the game for D. Waiters
1:07.0,,,71-94,,Turnover by T. Johnson (bad pass; steal by G. Henderson)
1:04.0,G. Henderson misses 2-pt shot from 3 ft (block by T. Johnson),,71-94,,
1:03.0,Offensive rebound by Team,,71-94,,
1:03.0,Technical foul by G. Henderson,,71-94,,
1:03.0,,,71-95,1,W. Ellington makes technical free throw
1:00.0,G. Henderson misses 2-pt shot from 20 ft,,71-95,,
0:59.0,,,71-95,,Defensive rebound by J. Johnson
0:52.0,,,71-95,,G. Dragic misses 2-pt shot from 14 ft
0:51.0,Defensive rebound by Team,,71-95,,
0:51.0,,,71-95,,Personal foul by G. Dragic (drawn by R. Holmes)
0:51.0,R. Holmes makes free throw 1 of 2,1,72-95,,
0:51.0,R. Holmes makes free throw 2 of 2,1,73-95,,
0:30.0,,,73-98,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson)
0:26.0,Turnover by S. Rodriguez (bad pass; steal by J. Johnson),,73-98,,
0:23.0,,,73-100,2,J. Johnson makes 2-pt shot at rim
0:04.0,R. Holmes makes 2-pt shot from 1 ft,2,75-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,75-102,2,W. Ellington makes 2-pt shot from 18 ft
11:25.0,D. Saric misses 2-pt shot from 1 ft,,75-102,,
11:24.0,Offensive rebound by D. Saric,,75-102,,
11:23.0,Shooting foul by W. Ellington (drawn by D. Saric),,75-102,,
11:23.0,D. Saric misses free throw 1 of 2,,75-102,,
11:23.0,Offensive rebound by Team,,75-102,,
11:23.0,D. Saric makes free throw 2 of 2,1,76-102,,
11:14.0,Personal foul by G. Henderson (drawn by W. Ellington),,76-102,,
11:12.0,,,76-102,,Turnover by O. White (lost ball; steal by D. Saric)
11:08.0,Offensive foul by T. McConnell,,76-102,,
11:08.0,Turnover by T. McConnell (offensive foul),,76-102,,
10:50.0,,,76-104,2,T. Johnson makes 2-pt shot from 4 ft
10:50.0,,,76-104,,Shooting foul by D. Saric (drawn by T. Johnson)
10:50.0,,,76-105,1,T. Johnson makes free throw 1 of 1
10:50.0,T. Luwawu-Cabarrot enters the game for G. Henderson,,76-104,,
10:40.0,N. Stauskas misses 2-pt shot from 2 ft,,76-105,,
10:39.0,,,76-105,,Defensive rebound by O. White
10:22.0,,,76-107,2,W. Reed makes 2-pt shot at rim (assist by G. Dragic)
10:04.0,D. Saric misses 3-pt shot from 24 ft,,76-107,,
10:03.0,,,76-107,,Defensive rebound by T. Johnson
9:51.0,,,76-107,,O. White misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by E. Ilyasova,,76-107,,
9:40.0,,,76-107,,Personal foul by T. Johnson (drawn by T. Luwawu-Cabarrot)
9:33.0,Shooting foul by T. Johnson (drawn by N. Stauskas),,76-107,,
9:33.0,N. Stauskas makes free throw 1 of 2,1,77-107,,
9:33.0,N. Stauskas makes free throw 2 of 2,1,78-107,,
9:12.0,,,78-109,2,G. Dragic makes 2-pt shot from 2 ft
8:59.0,,,78-109,,Personal foul by G. Dragic (drawn by E. Ilyasova)
8:59.0,Official timeout,,78-109,,
8:54.0,E. Ilyasova makes 2-pt shot at rim (assist by T. McConnell),2,80-109,,
8:39.0,,,80-109,,Offensive foul by W. Ellington
8:39.0,,,80-109,,Turnover by W. Ellington (offensive foul)
8:39.0,,,80-109,,L. Babbitt enters the game for W. Ellington
8:25.0,T. McConnell makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,82-109,,
8:09.0,,,82-111,2,G. Dragic makes 2-pt shot from 17 ft
7:55.0,Shooting foul by W. Reed (drawn by D. Saric),,82-111,,
7:55.0,D. Saric misses free throw 1 of 2,,82-111,,
7:55.0,Offensive rebound by Team,,82-111,,
7:55.0,D. Saric makes free throw 2 of 2,1,83-111,,
7:47.0,,,83-111,,Shooting foul by D. Saric (drawn by G. Dragic)
7:47.0,,,83-112,1,G. Dragic makes free throw 1 of 2
7:47.0,,,83-112,,G. Dragic misses free throw 2 of 2
7:47.0,R. Holmes enters the game for D. Saric,,83-112,,
7:47.0,,,83-112,,D. Williams enters the game for O. White
7:46.0,Defensive rebound by E. Ilyasova,,83-112,,
7:34.0,R. Holmes misses 2-pt shot from 3 ft,,83-112,,
7:33.0,,,83-112,,Defensive rebound by G. Dragic
7:30.0,,,83-114,2,G. Dragic makes 2-pt shot from 1 ft
7:30.0,,,83-114,,Shooting foul by N. Stauskas (drawn by G. Dragic)
7:30.0,,,83-115,1,G. Dragic makes free throw 1 of 1
7:30.0,C. Randle enters the game for T. McConnell,,83-114,,
7:23.0,E. Ilyasova misses 2-pt shot from 16 ft,,83-115,,
7:22.0,Offensive rebound by Team,,83-115,,
7:21.0,,,83-115,,Loose ball foul by D. Williams (drawn by R. Holmes)
7:21.0,R. Holmes makes free throw 1 of 2,1,84-115,,
7:21.0,R. Holmes makes free throw 2 of 2,1,85-115,,
7:21.0,,,84-115,,O. White enters the game for G. Dragic
7:21.0,,,84-115,,U. Haslem enters the game for W. Reed
7:07.0,,,85-115,,Turnover by T. Johnson (bad pass)
6:57.0,Turnover by N. Stauskas (bad pass),,85-115,,
6:33.0,,,85-115,,U. Haslem misses 2-pt shot from 1 ft
6:32.0,,,85-115,,Offensive rebound by U. Haslem
6:31.0,,,85-117,2,U. Haslem makes 2-pt shot from 1 ft
