time,LA Clippers,pts.away,score,pts.home,Boston
5:18.0,B. Griffin misses 2-pt shot from 2 ft,,8-20,,
5:17.0,,,8-20,,Defensive rebound by A. Horford
5:12.0,,,8-20,,I. Thomas misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by A. Rivers,,8-20,,
5:00.0,Turnover by A. Rivers (lost ball; steal by A. Horford),,8-20,,
4:56.0,R. Felton enters the game for A. Rivers,,8-20,,
4:47.0,,,8-20,,J. Brown misses 3-pt shot from 23 ft
4:46.0,Defensive rebound by B. Griffin,,8-20,,
4:36.0,B. Griffin makes 2-pt shot from 4 ft,2,10-20,,
4:21.0,,,10-20,,A. Horford misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by J. Redick,,10-20,,
4:13.0,R. Felton makes 3-pt shot from 23 ft (assist by B. Griffin),3,13-20,,
3:58.0,,,13-20,,M. Smart enters the game for J. Brown
3:58.0,J. Crawford enters the game for J. Redick,,13-20,,
3:51.0,,,13-20,,Turnover by A. Horford (lost ball; steal by J. Crawford)
3:45.0,B. Griffin misses 2-pt shot at rim,,13-20,,
3:44.0,,,13-20,,Defensive rebound by A. Horford
3:37.0,,,13-22,2,A. Johnson makes 2-pt shot from 8 ft (assist by A. Horford)
3:21.0,Shooting foul by A. Johnson (drawn by D. Jordan),,13-22,,
3:21.0,D. Jordan misses free throw 1 of 2,,13-22,,
3:21.0,Offensive rebound by Team,,13-22,,
3:21.0,D. Jordan makes free throw 2 of 2,1,14-22,,
3:21.0,,,13-22,,K. Olynyk enters the game for A. Horford
3:05.0,,,14-25,3,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas)
2:51.0,J. Crawford misses 3-pt shot from 29 ft,,14-25,,
2:50.0,Offensive rebound by Team,,14-25,,
2:50.0,,,14-25,,Loose ball foul by K. Olynyk (drawn by D. Jordan)
2:50.0,,,14-25,,Boston full timeout
2:50.0,,,14-25,,G. Green enters the game for J. Crowder
2:50.0,M. Speights enters the game for D. Jordan,,14-25,,
2:42.0,R. Felton misses 2-pt shot from 23 ft,,14-25,,
2:41.0,,,14-25,,Defensive rebound by A. Johnson
2:27.0,,,14-25,,Shooting foul by R. Felton (drawn by I. Thomas)
2:27.0,,,14-26,1,I. Thomas makes free throw 1 of 2
2:27.0,,,14-27,1,I. Thomas makes free throw 2 of 2
2:15.0,M. Speights misses 2-pt shot from 14 ft,,14-27,,
2:14.0,,,14-27,,Defensive rebound by Team
1:57.0,,,14-29,2,K. Olynyk makes 2-pt shot from 8 ft
1:41.0,,,14-29,,T. Rozier enters the game for I. Thomas
1:41.0,W. Johnson enters the game for B. Griffin,,14-29,,
1:41.0,,,14-29,,J. Jerebko enters the game for A. Johnson
1:35.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Crawford),3,17-29,,
1:11.0,,,17-29,,J. Jerebko misses 2-pt shot from 6 ft
1:10.0,Defensive rebound by M. Speights,,17-29,,
1:00.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Crawford),2,19-29,,
0:50.0,,,19-29,,M. Smart misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by W. Johnson,,19-29,,
0:42.0,J. Crawford misses 3-pt shot from 25 ft,,19-29,,
0:40.0,,,19-29,,Defensive rebound by G. Green
0:28.0,,,19-29,,K. Olynyk misses 2-pt shot from 21 ft
0:28.0,Defensive rebound by M. Speights,,19-29,,
0:05.0,J. Crawford misses 3-pt shot from 26 ft,,19-29,,
0:04.0,,,19-29,,Defensive rebound by J. Jerebko
0:00.0,,,19-29,,J. Jerebko misses 3-pt shot from 48 ft
0:00.0,,,19-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,19-31,2,G. Green makes 2-pt shot from 13 ft (assist by K. Olynyk)
11:22.0,W. Johnson makes 2-pt shot from 9 ft (assist by A. Rivers),2,21-31,,
11:08.0,,,21-31,,K. Olynyk misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by J. Crawford,,21-31,,
10:57.0,J. Crawford misses 2-pt shot from 18 ft,,21-31,,
10:56.0,,,21-31,,Defensive rebound by T. Rozier
10:51.0,,,21-31,,Turnover by T. Rozier (lost ball)
10:33.0,Turnover by R. Felton (lost ball; steal by K. Olynyk),,21-31,,
10:28.0,Personal foul by A. Rivers (drawn by M. Smart),,21-31,,
10:20.0,,,21-31,,M. Smart misses 2-pt shot from 12 ft
10:19.0,,,21-31,,Offensive rebound by K. Olynyk
10:19.0,,,21-33,2,K. Olynyk makes 2-pt shot from 3 ft
10:02.0,J. Crawford misses 2-pt shot from 1 ft,,21-33,,
10:01.0,,,21-33,,Defensive rebound by J. Jerebko
9:52.0,,,21-33,,T. Rozier misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by J. Crawford,,21-33,,
9:45.0,R. Felton makes 2-pt shot from 1 ft (assist by J. Crawford),2,23-33,,
9:25.0,,,23-33,,G. Green misses 3-pt shot from 23 ft
9:24.0,,,23-33,,Offensive rebound by T. Rozier
9:18.0,,,23-33,,G. Green misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by R. Felton,,23-33,,
9:11.0,Turnover by A. Rivers (step out of bounds),,23-33,,
8:54.0,,,23-35,2,M. Smart makes 2-pt shot from 12 ft
8:48.0,LA Clippers full timeout,,23-35,,
8:48.0,J. Redick enters the game for R. Felton,,23-35,,
8:37.0,Turnover by W. Johnson (lost ball; steal by J. Jerebko),,23-35,,
8:28.0,,,23-35,,Turnover by K. Olynyk (bad pass; steal by J. Crawford)
8:27.0,,,23-35,,Personal foul by K. Olynyk (drawn by J. Crawford)
8:05.0,W. Johnson makes 2-pt shot from 18 ft (assist by A. Rivers),2,25-35,,
7:46.0,,,25-35,,K. Olynyk misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by W. Johnson,,25-35,,
7:38.0,W. Johnson makes 3-pt shot from 24 ft (assist by J. Crawford),3,28-35,,
7:21.0,,,28-35,,J. Jerebko misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by M. Speights,,28-35,,
7:12.0,Shooting foul by J. Jerebko (drawn by A. Rivers),,28-35,,
7:12.0,A. Rivers misses free throw 1 of 2,,28-35,,
7:12.0,Offensive rebound by Team,,28-35,,
7:12.0,A. Rivers makes free throw 2 of 2,1,29-35,,
7:12.0,,,28-35,,A. Horford enters the game for K. Olynyk
7:12.0,,,28-35,,J. Brown enters the game for M. Smart
7:12.0,,,28-35,,J. Crowder enters the game for G. Green
6:48.0,,,29-37,2,A. Horford makes 2-pt shot from 8 ft
6:22.0,J. Crawford makes 2-pt shot from 19 ft,2,31-37,,
6:10.0,,,31-40,3,T. Rozier makes 3-pt shot from 25 ft (assist by A. Horford)
5:59.0,,,31-40,,Personal block foul by T. Rozier (drawn by A. Rivers)
5:59.0,Official timeout,,31-40,,
5:59.0,,,31-40,,I. Thomas enters the game for T. Rozier
5:59.0,D. Jordan enters the game for M. Speights,,31-40,,
5:59.0,B. Griffin enters the game for W. Johnson,,31-40,,
5:50.0,J. Redick misses 2-pt shot from 4 ft,,31-40,,
5:49.0,Offensive rebound by Team,,31-40,,
5:44.0,J. Redick misses 3-pt shot from 25 ft,,31-40,,
5:43.0,,,31-40,,Defensive rebound by A. Horford
5:28.0,,,31-42,2,J. Brown makes 2-pt shot from 1 ft
5:28.0,,,31-42,,Shooting foul by J. Redick (drawn by J. Brown)
5:28.0,,,31-43,1,J. Brown makes free throw 1 of 1
5:28.0,R. Felton enters the game for A. Rivers,,31-42,,
5:12.0,R. Felton makes 3-pt shot from 23 ft (assist by B. Griffin),3,34-43,,
4:57.0,,,34-43,,A. Horford misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by D. Jordan,,34-43,,
4:47.0,B. Griffin misses 2-pt shot from 1 ft,,34-43,,
4:46.0,Offensive rebound by R. Felton,,34-43,,
4:43.0,R. Felton makes 2-pt shot from 7 ft,2,36-43,,
4:30.0,,,36-43,,Turnover by J. Crowder (bad pass; steal by J. Crawford)
4:23.0,J. Crawford makes 3-pt shot from 24 ft (assist by R. Felton),3,39-43,,
4:22.0,,,39-43,,Boston full timeout
4:22.0,,,39-43,,M. Smart enters the game for J. Brown
4:22.0,,,39-43,,A. Johnson enters the game for J. Jerebko
4:04.0,,,39-43,,A. Johnson misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by D. Jordan,,39-43,,
3:39.0,B. Griffin misses 2-pt shot from 20 ft,,39-43,,
3:37.0,Offensive rebound by D. Jordan,,39-43,,
3:31.0,J. Crawford makes 2-pt shot from 19 ft (assist by D. Jordan),2,41-43,,
3:21.0,Personal foul by R. Felton (drawn by I. Thomas),,41-43,,
3:14.0,,,41-43,,Shooting foul by J. Redick (drawn by I. Thomas)
3:14.0,,,41-44,1,I. Thomas makes free throw 1 of 2
3:14.0,,,41-45,1,I. Thomas makes free throw 2 of 2
3:14.0,A. Rivers enters the game for J. Redick,,41-44,,
3:05.0,B. Griffin misses 2-pt shot from 4 ft,,41-45,,
3:04.0,,,41-45,,Defensive rebound by A. Horford
2:53.0,,,41-45,,I. Thomas misses 2-pt shot from 20 ft
2:52.0,Defensive rebound by R. Felton,,41-45,,
2:46.0,B. Griffin makes 2-pt shot from 6 ft (assist by R. Felton),2,43-45,,
2:32.0,,,43-48,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
2:13.0,J. Crawford makes 2-pt shot from 18 ft,2,45-48,,
2:03.0,L. Mbah a Moute enters the game for A. Rivers,,45-48,,
1:50.0,,,45-48,,I. Thomas misses 3-pt shot from 26 ft
1:48.0,,,45-48,,Offensive rebound by M. Smart
1:45.0,,,45-48,,J. Crowder misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by D. Jordan,,45-48,,
1:43.0,Turnover by D. Jordan (bad pass; steal by J. Crowder),,45-48,,
1:38.0,,,45-51,3,J. Crowder makes 3-pt shot from 26 ft
1:22.0,Turnover by B. Griffin (bad pass; steal by J. Crowder),,45-51,,
1:17.0,,,45-54,3,I. Thomas makes 3-pt shot from 26 ft (assist by J. Crowder)
0:59.0,B. Griffin misses 2-pt shot from 19 ft,,45-54,,
0:58.0,,,45-54,,Defensive rebound by I. Thomas
0:49.0,,,45-54,,A. Johnson misses 3-pt shot from 25 ft
0:49.0,,,45-54,,Offensive rebound by A. Horford
0:37.0,,,45-54,,I. Thomas misses 3-pt shot from 25 ft
0:36.0,,,45-54,,Offensive rebound by M. Smart
0:35.0,,,45-56,2,M. Smart makes 2-pt shot from 6 ft
0:29.0,,,45-56,,Personal foul by M. Smart (drawn by J. Crawford)
0:16.0,J. Crawford misses 3-pt shot from 29 ft,,45-56,,
0:14.0,Offensive rebound by Team,,45-56,,
0:14.0,LA Clippers full timeout,,45-56,,
0:12.0,D. Jordan misses 2-pt shot from 3 ft (block by J. Crowder),,45-56,,
0:11.0,Offensive rebound by Team,,45-56,,
0:10.0,B. Griffin makes 2-pt shot from 4 ft (assist by R. Felton),2,47-56,,
0:01.0,,,47-56,,Turnover by I. Thomas (lost ball)
0:00.0,R. Felton misses 3-pt shot from 50 ft,,47-56,,
0:00.0,Offensive rebound by Team,,47-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,47-56,,J. Brown misses 3-pt shot from 23 ft
11:40.0,Defensive rebound by Team,,47-56,,
11:40.0,,,47-56,,Loose ball foul by A. Horford (drawn by B. Griffin)
11:21.0,Turnover by J. Redick (bad pass),,47-56,,
11:11.0,,,47-56,,A. Horford misses 3-pt shot from 25 ft
11:08.0,,,47-56,,Offensive rebound by A. Johnson
11:05.0,,,47-56,,Turnover by J. Brown (traveling)
10:55.0,Turnover by B. Griffin (bad pass; steal by J. Crowder),,47-56,,
10:50.0,,,47-58,2,J. Crowder makes 2-pt shot from 1 ft
10:38.0,A. Rivers makes 2-pt shot from 4 ft,2,49-58,,
10:19.0,,,49-58,,A. Johnson misses 2-pt shot from 8 ft
10:18.0,Defensive rebound by Team,,49-58,,
10:05.0,J. Redick makes 2-pt shot from 14 ft (assist by A. Rivers),2,51-58,,
9:44.0,,,51-60,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
9:27.0,J. Redick misses 2-pt shot from 21 ft,,51-60,,
9:26.0,,,51-60,,Defensive rebound by A. Horford
9:10.0,,,51-63,3,J. Brown makes 3-pt shot from 23 ft (assist by I. Thomas)
8:58.0,L. Mbah a Moute misses 2-pt shot at rim (block by A. Horford),,51-63,,
8:57.0,,,51-63,,Defensive rebound by J. Crowder
8:41.0,,,51-63,,A. Horford misses 2-pt shot from 16 ft
8:40.0,Defensive rebound by D. Jordan,,51-63,,
8:28.0,L. Mbah a Moute misses 2-pt shot from 21 ft,,51-63,,
8:28.0,,,51-63,,Defensive rebound by A. Horford
8:18.0,,,51-63,,I. Thomas misses 2-pt shot from 7 ft
8:17.0,Defensive rebound by B. Griffin,,51-63,,
7:59.0,B. Griffin makes 2-pt shot from 18 ft,2,53-63,,
7:35.0,,,53-63,,I. Thomas misses 3-pt shot from 30 ft
7:34.0,Defensive rebound by D. Jordan,,53-63,,
7:22.0,Turnover by B. Griffin (bad pass; steal by I. Thomas),,53-63,,
7:17.0,,,53-63,,J. Brown misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by L. Mbah a Moute,,53-63,,
7:06.0,J. Redick misses 3-pt shot from 25 ft,,53-63,,
7:05.0,,,53-63,,Defensive rebound by J. Brown
6:51.0,,,53-63,,I. Thomas misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by B. Griffin,,53-63,,
6:45.0,LA Clippers full timeout,,53-63,,
6:45.0,,,53-63,,K. Olynyk enters the game for A. Johnson
6:45.0,,,53-63,,M. Smart enters the game for J. Brown
6:45.0,R. Felton enters the game for L. Mbah a Moute,,53-63,,
6:33.0,,,53-63,,Violation by A. Horford (kicked ball)
6:24.0,A. Rivers misses 2-pt shot from 12 ft,,53-63,,
6:23.0,,,53-63,,Defensive rebound by M. Smart
6:05.0,,,53-66,3,J. Crowder makes 3-pt shot from 23 ft (assist by A. Horford)
5:49.0,R. Felton makes 2-pt shot from 19 ft,2,55-66,,
5:26.0,,,55-66,,Turnover by A. Horford (traveling)
5:13.0,Shooting foul by I. Thomas (drawn by R. Felton),,55-66,,
5:13.0,R. Felton makes free throw 1 of 2,1,56-66,,
5:13.0,R. Felton misses free throw 2 of 2,,56-66,,
5:13.0,J. Crawford enters the game for A. Rivers,,56-66,,
5:12.0,,,56-66,,Defensive rebound by J. Crowder
4:50.0,,,56-66,,M. Smart misses 2-pt shot from 3 ft
4:49.0,Defensive rebound by B. Griffin,,56-66,,
4:43.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,58-66,,
4:27.0,,,58-66,,Shooting foul by D. Jordan (drawn by K. Olynyk)
4:27.0,,,58-67,1,K. Olynyk makes free throw 1 of 2
4:27.0,,,58-68,1,K. Olynyk makes free throw 2 of 2
4:06.0,B. Griffin misses 2-pt shot from 2 ft (block by A. Horford),,58-68,,
4:05.0,,,58-68,,Defensive rebound by A. Horford
3:59.0,,,58-71,3,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas)
3:37.0,J. Crawford makes 3-pt shot from 24 ft,3,61-71,,
3:23.0,,,61-71,,K. Olynyk misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by D. Jordan,,61-71,,
3:10.0,J. Crawford misses 3-pt shot from 28 ft,,61-71,,
3:09.0,,,61-71,,Defensive rebound by Team
3:09.0,,,61-71,,Boston full timeout
3:09.0,W. Johnson enters the game for B. Griffin,,61-71,,
3:09.0,,,61-71,,T. Rozier enters the game for I. Thomas
2:55.0,,,61-74,3,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart)
2:28.0,J. Redick makes 2-pt shot from 19 ft (assist by D. Jordan),2,63-74,,
2:12.0,,,63-74,,A. Horford misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by R. Felton,,63-74,,
2:02.0,J. Crawford misses 2-pt shot from 19 ft,,63-74,,
2:01.0,,,63-74,,Defensive rebound by A. Horford
1:48.0,,,63-76,2,K. Olynyk makes 2-pt shot from 6 ft (assist by A. Horford)
1:25.0,R. Felton misses 2-pt shot from 7 ft,,63-76,,
1:24.0,,,63-76,,Defensive rebound by K. Olynyk
1:11.0,,,63-79,3,M. Smart makes 3-pt shot from 23 ft (assist by T. Rozier)
0:49.0,W. Johnson misses 3-pt shot from 27 ft,,63-79,,
0:47.0,,,63-79,,Defensive rebound by A. Horford
0:39.0,,,63-81,2,K. Olynyk makes 2-pt shot from 8 ft (assist by A. Horford)
0:33.0,J. Crawford makes 2-pt shot from 17 ft,2,65-81,,
0:09.0,,,65-81,,Offensive foul by M. Smart
0:09.0,,,65-81,,Turnover by M. Smart (offensive foul)
0:09.0,,,65-81,,J. Brown enters the game for J. Crowder
0:09.0,,,65-81,,J. Jerebko enters the game for A. Horford
0:09.0,M. Speights enters the game for D. Jordan,,65-81,,
0:09.0,A. Rivers enters the game for J. Redick,,65-81,,
0:09.0,B. Griffin enters the game for W. Johnson,,65-81,,
0:02.0,B. Griffin makes 2-pt shot from 19 ft (assist by R. Felton),2,67-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,Shooting foul by J. Jerebko (drawn by A. Rivers),,67-81,,
11:53.0,A. Rivers makes free throw 1 of 2,1,68-81,,
11:53.0,A. Rivers makes free throw 2 of 2,1,69-81,,
11:39.0,,,69-83,2,J. Brown makes 2-pt shot from 2 ft (assist by M. Smart)
11:13.0,A. Rivers misses 3-pt shot from 24 ft,,69-83,,
11:09.0,Offensive rebound by A. Rivers,,69-83,,
11:05.0,M. Speights misses 3-pt shot from 26 ft,,69-83,,
11:04.0,,,69-83,,Defensive rebound by T. Rozier
11:00.0,,,69-83,,Boston full timeout
11:00.0,,,69-83,,A. Johnson enters the game for J. Jerebko
10:52.0,,,69-83,,M. Smart misses 3-pt shot from 26 ft
10:51.0,,,69-83,,Offensive rebound by K. Olynyk
10:43.0,,,69-83,,K. Olynyk misses 2-pt shot from 11 ft
10:41.0,Defensive rebound by R. Felton,,69-83,,
10:31.0,Shooting foul by A. Johnson (drawn by B. Griffin),,69-83,,
10:31.0,B. Griffin makes free throw 1 of 2,1,70-83,,
10:31.0,B. Griffin makes free throw 2 of 2,1,71-83,,
10:31.0,,,70-83,,I. Thomas enters the game for T. Rozier
10:17.0,,,71-83,,Turnover by I. Thomas (bad pass; steal by B. Griffin)
10:13.0,Turnover by J. Crawford (bad pass),,71-83,,
10:05.0,Personal foul by R. Felton (drawn by I. Thomas),,71-83,,
9:56.0,,,71-85,2,I. Thomas makes 2-pt shot from 2 ft
9:40.0,R. Felton makes 3-pt shot from 23 ft (assist by B. Griffin),3,74-85,,
9:25.0,,,74-85,,I. Thomas misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by Team,,74-85,,
9:24.0,,,74-85,,Loose ball foul by A. Johnson (drawn by M. Speights)
9:12.0,M. Speights misses 3-pt shot from 25 ft,,74-85,,
9:11.0,,,74-85,,Defensive rebound by I. Thomas
9:01.0,,,74-85,,Offensive charge foul by K. Olynyk
9:01.0,,,74-85,,Turnover by K. Olynyk (offensive foul)
8:47.0,Shooting foul by J. Brown (drawn by M. Speights),,74-85,,
8:47.0,M. Speights misses free throw 1 of 2,,74-85,,
8:47.0,Offensive rebound by Team,,74-85,,
8:47.0,M. Speights makes free throw 2 of 2,1,75-85,,
8:31.0,,,75-87,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Brown)
8:08.0,R. Felton misses 3-pt shot from 28 ft,,75-87,,
8:07.0,,,75-87,,Defensive rebound by K. Olynyk
7:59.0,,,75-87,,I. Thomas misses 2-pt shot from 5 ft
7:57.0,Defensive rebound by A. Rivers,,75-87,,
7:48.0,A. Rivers misses 3-pt shot from 26 ft,,75-87,,
7:47.0,,,75-87,,Defensive rebound by J. Brown
7:30.0,,,75-89,2,A. Johnson makes 2-pt shot from 3 ft (assist by K. Olynyk)
7:30.0,LA Clippers full timeout,,75-89,,
7:30.0,J. Redick enters the game for R. Felton,,75-89,,
7:19.0,J. Crawford makes 3-pt shot from 25 ft (assist by A. Rivers),3,78-89,,
6:59.0,,,78-89,,J. Brown misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by B. Griffin,,78-89,,
6:55.0,,,78-89,,Personal foul by K. Olynyk (drawn by M. Speights)
6:55.0,,,78-89,,Technical foul by K. Olynyk (drawn by M. Speights)
6:55.0,J. Crawford makes technical free throw,1,79-89,,
6:55.0,M. Speights makes free throw 1 of 2,1,80-89,,
6:55.0,M. Speights makes free throw 2 of 2,1,81-89,,
6:55.0,,,80-89,,A. Horford enters the game for K. Olynyk
6:42.0,,,81-91,2,J. Brown makes 2-pt shot from 5 ft (assist by I. Thomas)
6:42.0,,,81-91,,Shooting foul by B. Griffin (drawn by J. Brown)
6:42.0,,,81-91,,J. Brown misses free throw 1 of 1
6:42.0,Defensive rebound by D. Jordan,,81-91,,
6:42.0,D. Jordan enters the game for M. Speights,,81-91,,
6:34.0,,,81-91,,Personal foul by J. Brown (drawn by J. Redick)
6:34.0,J. Redick makes free throw 1 of 2,1,82-91,,
6:34.0,J. Redick makes free throw 2 of 2,1,83-91,,
6:15.0,,,83-94,3,M. Smart makes 3-pt shot from 25 ft (assist by A. Horford)
5:58.0,J. Redick misses 2-pt shot from 19 ft,,83-94,,
5:57.0,,,83-94,,Defensive rebound by A. Johnson
5:43.0,,,83-94,,Turnover by I. Thomas (back court)
5:43.0,,,83-94,,J. Crowder enters the game for M. Smart
5:22.0,J. Crawford misses 2-pt shot from 5 ft,,83-94,,
5:21.0,,,83-94,,Defensive rebound by A. Horford
5:13.0,,,83-97,3,A. Horford makes 3-pt shot from 25 ft (assist by J. Crowder)
5:12.0,LA Clippers full timeout,,83-97,,
5:02.0,B. Griffin misses 2-pt shot from 3 ft,,83-97,,
5:01.0,Offensive rebound by D. Jordan,,83-97,,
5:01.0,D. Jordan misses 2-pt shot from 1 ft,,83-97,,
5:00.0,,,83-97,,Defensive rebound by A. Johnson
4:41.0,,,83-97,,J. Brown misses 2-pt shot from 16 ft
4:41.0,Defensive rebound by D. Jordan,,83-97,,
4:34.0,A. Rivers misses 3-pt shot from 25 ft,,83-97,,
4:33.0,Offensive rebound by J. Redick,,83-97,,
4:25.0,Turnover by J. Redick (back court),,83-97,,
4:02.0,,,83-97,,J. Crowder misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by J. Redick,,83-97,,
3:56.0,,,83-97,,Personal foul by J. Crowder (drawn by J. Crawford)
3:56.0,,,83-97,,Technical foul by J. Crowder (drawn by J. Crawford)
3:56.0,J. Crawford makes technical free throw,1,84-97,,
3:56.0,J. Crawford makes free throw 1 of 2,1,85-97,,
3:56.0,J. Crawford makes free throw 2 of 2,1,86-97,,
3:56.0,,,85-97,,M. Smart enters the game for J. Brown
3:36.0,,,86-97,,A. Horford misses 2-pt shot from 9 ft
3:35.0,Defensive rebound by D. Jordan,,86-97,,
3:29.0,B. Griffin makes 2-pt shot at rim (assist by J. Crawford),2,88-97,,
3:13.0,,,88-97,,A. Horford misses 3-pt shot from 25 ft
3:12.0,,,88-97,,Offensive rebound by Team
3:07.0,,,88-99,2,A. Johnson makes 2-pt shot from 9 ft (assist by M. Smart)
3:01.0,,,88-99,,Personal take foul by A. Horford (drawn by D. Jordan)
3:01.0,D. Jordan makes free throw 1 of 2,1,89-99,,
3:01.0,D. Jordan misses free throw 2 of 2,,89-99,,
3:01.0,,,89-99,,Defensive rebound by J. Crowder
2:48.0,,,89-99,,Shooting foul by A. Rivers (drawn by I. Thomas)
2:48.0,,,89-99,,I. Thomas misses free throw 1 of 3
2:48.0,,,89-99,,Offensive rebound by Team
2:48.0,,,89-100,1,I. Thomas makes free throw 2 of 3
