time,Detroit,pts.away,score,pts.home,Toronto
8:56.0,Offensive rebound by A. Drummond,,36-32,,
8:53.0,A. Drummond misses 2-pt shot from 3 ft,,36-32,,
8:52.0,Offensive rebound by A. Drummond,,36-32,,
8:52.0,Shooting foul by J. Valanciunas (drawn by A. Drummond),,36-32,,
8:52.0,A. Drummond makes free throw 1 of 2,1,37-32,,
8:52.0,A. Drummond misses free throw 2 of 2,,37-32,,
8:51.0,,,37-32,,Defensive rebound by J. Valanciunas
8:33.0,,,37-32,,Turnover by J. Valanciunas (bad pass; steal by A. Drummond)
8:22.0,A. Drummond misses 2-pt shot from 2 ft,,37-32,,
8:22.0,,,37-32,,Defensive rebound by J. Valanciunas
8:10.0,,,37-34,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by N. Powell)
7:56.0,T. Harris misses 3-pt shot from 24 ft,,37-34,,
7:55.0,,,37-34,,Defensive rebound by J. Valanciunas
7:46.0,,,37-34,,J. Valanciunas misses 2-pt shot from 19 ft
7:45.0,Defensive rebound by I. Smith,,37-34,,
7:36.0,T. Harris misses 2-pt shot from 5 ft (block by L. Nogueira),,37-34,,
7:35.0,,,37-34,,Defensive rebound by T. Ross
7:25.0,,,37-36,2,T. Ross makes 2-pt shot from 12 ft
6:56.0,S. Johnson misses 2-pt shot from 23 ft,,37-36,,
6:56.0,,,37-36,,Defensive rebound by N. Powell
6:47.0,,,37-38,2,N. Powell makes 2-pt shot from 1 ft
6:39.0,Detroit full timeout,,37-38,,
6:39.0,J. Leuer enters the game for T. Harris,,37-38,,
6:39.0,R. Jackson enters the game for I. Smith,,37-38,,
6:33.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,37-38,,
6:32.0,,,37-38,,Defensive rebound by T. Ross
6:20.0,,,37-40,2,J. Valanciunas makes 2-pt shot at rim (assist by L. Nogueira)
6:07.0,,,37-40,,Personal foul by K. Lowry (drawn by K. Caldwell-Pope)
5:59.0,J. Leuer misses 3-pt shot from 24 ft (block by L. Nogueira),,37-40,,
5:59.0,Offensive rebound by Team,,37-40,,
5:59.0,Official timeout,,37-40,,
5:59.0,,,37-40,,D. DeRozan enters the game for T. Ross
5:52.0,R. Jackson misses 2-pt shot from 9 ft,,37-40,,
5:52.0,,,37-40,,Defensive rebound by Team
5:42.0,,,37-40,,N. Powell misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by A. Drummond,,37-40,,
5:33.0,R. Jackson misses 3-pt shot from 24 ft,,37-40,,
5:32.0,,,37-40,,Defensive rebound by N. Powell
5:22.0,M. Morris enters the game for S. Johnson,,37-40,,
5:16.0,,,37-40,,N. Powell misses 2-pt shot from 8 ft
5:15.0,Defensive rebound by A. Drummond,,37-40,,
5:01.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,37-40,,
5:00.0,,,37-40,,Defensive rebound by N. Powell
4:43.0,,,37-42,2,J. Valanciunas makes 2-pt shot from 14 ft (assist by N. Powell)
4:26.0,M. Morris makes 2-pt shot from 16 ft,2,39-42,,
4:10.0,Personal foul by M. Morris (drawn by J. Valanciunas),,39-42,,
4:10.0,,,39-42,,D. Carroll enters the game for N. Powell
4:00.0,,,39-42,,D. DeRozan misses 2-pt shot from 17 ft
3:59.0,,,39-42,,Offensive rebound by J. Valanciunas
3:56.0,,,39-44,2,J. Valanciunas makes 2-pt shot from 3 ft
3:43.0,Turnover by R. Jackson (bad pass),,39-44,,
3:27.0,,,39-46,2,D. DeRozan makes 2-pt shot from 18 ft
3:26.0,Violation by A. Drummond (def goaltending),,39-46,,
3:13.0,R. Jackson misses 2-pt shot from 10 ft,,39-46,,
3:13.0,,,39-46,,Defensive rebound by D. DeRozan
3:04.0,,,39-48,2,D. Carroll makes 2-pt shot from 7 ft (assist by D. DeRozan)
2:47.0,A. Drummond misses 2-pt shot from 9 ft,,39-48,,
2:46.0,,,39-48,,Defensive rebound by K. Lowry
2:39.0,,,39-51,3,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry)
2:32.0,Detroit full timeout,,39-51,,
2:32.0,,,39-51,,C. Joseph enters the game for K. Lowry
2:32.0,,,39-51,,J. Poeltl enters the game for L. Nogueira
2:32.0,I. Smith enters the game for J. Leuer,,39-51,,
2:32.0,A. Baynes enters the game for A. Drummond,,39-51,,
2:32.0,T. Harris enters the game for R. Jackson,,39-51,,
2:15.0,T. Harris makes 2-pt shot from 17 ft,2,41-51,,
1:51.0,,,41-51,,D. DeRozan misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by A. Baynes,,41-51,,
1:43.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,41-51,,
1:42.0,,,41-51,,Defensive rebound by D. DeRozan
1:30.0,,,41-51,,J. Valanciunas misses 2-pt shot from 18 ft
1:29.0,Defensive rebound by T. Harris,,41-51,,
1:15.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,41-51,,
1:15.0,,,41-51,,Defensive rebound by J. Poeltl
1:00.0,,,41-51,,J. Valanciunas misses 2-pt shot from 4 ft (block by M. Morris)
1:00.0,Defensive rebound by Team,,41-51,,
0:47.0,Shooting foul by J. Poeltl (drawn by T. Harris),,41-51,,
0:47.0,T. Harris makes free throw 1 of 2,1,42-51,,
0:47.0,T. Harris makes free throw 2 of 2,1,43-51,,
0:47.0,,,42-51,,T. Ross enters the game for J. Poeltl
0:34.0,,,43-51,,D. DeRozan misses 2-pt shot from 16 ft (block by I. Smith)
0:33.0,Defensive rebound by T. Harris,,43-51,,
0:26.0,M. Morris misses 3-pt shot from 23 ft,,43-51,,
0:25.0,Offensive rebound by A. Baynes,,43-51,,
0:21.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,43-51,,
0:21.0,Offensive rebound by Team,,43-51,,
0:21.0,,,43-51,,Loose ball foul by D. DeRozan (drawn by M. Morris)
0:21.0,M. Morris makes free throw 1 of 2,1,44-51,,
0:21.0,M. Morris makes free throw 2 of 2,1,45-51,,
0:00.0,,,45-51,,D. DeRozan misses 2-pt shot from 21 ft
0:00.0,,,45-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,45-51,,Technical foul by D. DeRozan
12:00.0,K. Caldwell-Pope makes technical free throw,1,46-51,,
11:49.0,Shooting foul by J. Valanciunas (drawn by A. Drummond),,46-51,,
11:49.0,A. Drummond makes free throw 1 of 2,1,47-51,,
11:49.0,A. Drummond misses free throw 2 of 2,,47-51,,
11:48.0,,,47-51,,Defensive rebound by D. Carroll
11:36.0,Personal foul by M. Morris (drawn by J. Valanciunas),,47-51,,
11:21.0,,,47-54,3,K. Lowry makes 3-pt shot from 25 ft
11:11.0,Turnover by K. Caldwell-Pope (bad pass),,47-54,,
10:51.0,,,47-56,2,J. Valanciunas makes 2-pt shot from 18 ft (assist by D. Carroll)
10:41.0,R. Jackson misses 3-pt shot from 24 ft,,47-56,,
10:40.0,,,47-56,,Defensive rebound by J. Valanciunas
10:30.0,,,47-58,2,D. Carroll makes 2-pt shot from 12 ft (assist by K. Lowry)
10:30.0,Detroit full timeout,,47-58,,
10:18.0,M. Morris misses 2-pt shot from 17 ft,,47-58,,
10:18.0,,,47-58,,Defensive rebound by J. Valanciunas
10:05.0,,,47-60,2,J. Poeltl makes 2-pt shot from 5 ft (assist by K. Lowry)
9:50.0,K. Caldwell-Pope makes 2-pt shot from 11 ft,2,49-60,,
9:31.0,,,49-60,,J. Valanciunas misses 2-pt shot from 6 ft
9:31.0,,,49-60,,Offensive rebound by J. Poeltl
9:06.0,,,49-62,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
8:37.0,A. Drummond misses 2-pt shot from 10 ft,,49-62,,
8:36.0,,,49-62,,Defensive rebound by J. Valanciunas
8:24.0,,,49-62,,D. Carroll misses 2-pt shot from 3 ft (block by A. Drummond)
8:24.0,,,49-62,,Offensive rebound by Team
8:12.0,,,49-64,2,D. Carroll makes 2-pt shot from 19 ft
7:42.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,49-64,,
7:41.0,,,49-64,,Defensive rebound by J. Poeltl
7:32.0,Personal foul by M. Morris (drawn by J. Valanciunas),,49-64,,
7:19.0,,,49-64,,Shooting foul by M. Morris (drawn by J. Poeltl)
7:19.0,,,49-65,1,J. Poeltl makes free throw 1 of 2
7:19.0,,,49-65,,J. Poeltl misses free throw 2 of 2
7:19.0,Defensive rebound by S. Johnson,,49-65,,
7:19.0,A. Baynes enters the game for M. Morris,,49-65,,
7:19.0,I. Smith enters the game for J. Leuer,,49-65,,
7:19.0,T. Harris enters the game for A. Drummond,,49-65,,
7:19.0,S. Johnson enters the game for R. Jackson,,49-65,,
7:02.0,S. Johnson makes 2-pt shot from 14 ft,2,51-65,,
6:46.0,,,51-67,2,D. DeRozan makes 2-pt shot from 10 ft
6:33.0,K. Caldwell-Pope makes 3-pt shot from 24 ft,3,54-67,,
6:18.0,,,54-67,,D. DeRozan misses 2-pt shot from 21 ft
6:17.0,,,54-67,,Offensive rebound by J. Poeltl
6:09.0,,,54-67,,Shooting foul by S. Johnson (drawn by D. DeRozan)
6:09.0,,,54-68,1,D. DeRozan makes free throw 1 of 2
6:09.0,,,54-69,1,D. DeRozan makes free throw 2 of 2
5:55.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,54-69,,
5:54.0,,,54-69,,Defensive rebound by K. Lowry
5:44.0,,,54-69,,Shooting foul by K. Caldwell-Pope (drawn by K. Lowry)
5:44.0,,,54-70,1,K. Lowry makes free throw 1 of 2
5:44.0,,,54-70,,K. Lowry misses free throw 2 of 2
5:43.0,Defensive rebound by A. Baynes,,54-70,,
5:24.0,I. Smith makes 3-pt shot from 23 ft (assist by T. Harris),3,57-70,,
4:59.0,,,57-70,,J. Valanciunas misses 2-pt shot from 7 ft
4:58.0,,,57-70,,Offensive rebound by D. DeRozan
4:58.0,,,57-70,,Turnover by Team (shot clock)
4:58.0,,,57-70,,L. Nogueira enters the game for J. Poeltl
4:45.0,T. Harris makes 2-pt shot from 6 ft,2,59-70,,
4:28.0,,,59-70,,Shooting foul by A. Baynes (drawn by J. Valanciunas)
4:28.0,,,59-71,1,J. Valanciunas makes free throw 1 of 2
4:28.0,,,59-72,1,J. Valanciunas makes free throw 2 of 2
4:18.0,I. Smith misses 2-pt shot from 14 ft,,59-72,,
4:17.0,,,59-72,,Defensive rebound by K. Lowry
4:04.0,,,59-72,,D. Carroll misses 3-pt shot from 23 ft
4:03.0,,,59-72,,Offensive rebound by Team
4:03.0,,,59-72,,Toronto full timeout
4:03.0,,,59-72,,T. Ross enters the game for D. Carroll
4:03.0,,,59-72,,C. Joseph enters the game for K. Lowry
4:03.0,,,59-72,,J. Poeltl enters the game for J. Valanciunas
4:03.0,,,59-72,,Violation by Team (jump ball)
3:42.0,,,59-72,,Shooting foul by A. Baynes (drawn by D. DeRozan)
3:42.0,,,59-73,1,D. DeRozan makes free throw 1 of 2
3:42.0,,,59-74,1,D. DeRozan makes free throw 2 of 2
3:24.0,Shooting foul by T. Ross (drawn by K. Caldwell-Pope),,59-74,,
3:24.0,K. Caldwell-Pope makes free throw 1 of 2,1,60-74,,
3:24.0,K. Caldwell-Pope makes free throw 2 of 2,1,61-74,,
3:12.0,,,61-74,,T. Ross misses 2-pt shot from 22 ft
3:11.0,Defensive rebound by S. Johnson,,61-74,,
3:03.0,,,61-74,,Personal foul by T. Ross (drawn by K. Caldwell-Pope)
2:50.0,T. Harris makes 2-pt shot from 2 ft,2,63-74,,
2:25.0,,,63-74,,C. Joseph misses 2-pt shot from 12 ft
2:24.0,Defensive rebound by A. Baynes,,63-74,,
2:16.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,63-74,,
2:16.0,Offensive rebound by A. Baynes,,63-74,,
2:10.0,T. Harris makes 3-pt shot from 24 ft (assist by I. Smith),3,66-74,,
1:47.0,,,66-77,3,C. Joseph makes 3-pt shot from 24 ft (assist by L. Nogueira)
1:19.0,T. Harris misses 3-pt shot from 25 ft,,66-77,,
1:18.0,,,66-77,,Defensive rebound by C. Joseph
1:03.0,Personal foul by I. Smith (drawn by C. Joseph),,66-77,,
1:03.0,,,66-77,,C. Joseph misses free throw 1 of 2
1:03.0,,,66-77,,Offensive rebound by Team
1:03.0,,,66-78,1,C. Joseph makes free throw 2 of 2
0:48.0,S. Johnson misses 3-pt shot from 24 ft (block by L. Nogueira),,66-78,,
0:47.0,,,66-78,,Defensive rebound by D. DeRozan
0:38.0,,,66-80,2,C. Joseph makes 2-pt shot from 7 ft
0:26.0,I. Smith misses 2-pt shot from 17 ft,,66-80,,
0:26.0,,,66-80,,Defensive rebound by D. DeRozan
0:02.0,,,66-82,2,D. DeRozan makes 2-pt shot from 16 ft
0:00.0,S. Johnson misses 3-pt shot from 57 ft,,66-82,,
0:00.0,Offensive rebound by Team,,66-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,66-82,,Turnover by C. Joseph (bad pass; steal by T. Harris)
11:24.0,S. Johnson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,69-82,,
11:06.0,,,69-82,,C. Joseph misses 2-pt shot from 19 ft
11:06.0,Defensive rebound by T. Harris,,69-82,,
10:58.0,K. Caldwell-Pope makes 2-pt shot from 18 ft,2,71-82,,
10:29.0,,,71-84,2,C. Joseph makes 2-pt shot from 10 ft
10:07.0,T. Harris misses 2-pt shot from 8 ft,,71-84,,
10:05.0,,,71-84,,Defensive rebound by D. Carroll
9:55.0,,,71-84,,Shooting foul by T. Harris (drawn by L. Nogueira)
9:55.0,,,71-85,1,L. Nogueira makes free throw 1 of 2
9:55.0,,,71-86,1,L. Nogueira makes free throw 2 of 2
9:40.0,T. Harris makes 2-pt shot from 16 ft,2,73-86,,
9:29.0,Personal foul by A. Drummond (drawn by C. Joseph),,73-86,,
9:29.0,M. Morris enters the game for K. Caldwell-Pope,,73-86,,
9:23.0,,,73-88,2,T. Ross makes 2-pt shot from 12 ft (assist by C. Joseph)
9:08.0,Shooting foul by T. Ross (drawn by M. Morris),,73-88,,
9:08.0,M. Morris makes free throw 1 of 2,1,74-88,,
9:08.0,M. Morris makes free throw 2 of 2,1,75-88,,
8:46.0,,,75-88,,K. Lowry misses 2-pt shot from 11 ft
8:45.0,Defensive rebound by M. Morris,,75-88,,
8:34.0,S. Johnson makes 3-pt shot from 22 ft (assist by I. Smith),3,78-88,,
8:31.0,,,78-88,,Toronto full timeout
8:31.0,,,78-88,,J. Valanciunas enters the game for T. Ross
8:07.0,,,78-88,,C. Joseph misses 2-pt shot from 19 ft
8:06.0,Defensive rebound by A. Drummond,,78-88,,
7:59.0,M. Morris makes 2-pt shot from 16 ft,2,80-88,,
7:41.0,,,80-88,,Turnover by K. Lowry (bad pass; steal by S. Johnson)
7:40.0,,,80-88,,Personal foul by K. Lowry (drawn by I. Smith)
7:40.0,,,80-88,,D. DeRozan enters the game for C. Joseph
7:26.0,S. Johnson misses 2-pt shot from 10 ft,,80-88,,
7:25.0,Offensive rebound by A. Drummond,,80-88,,
7:23.0,A. Drummond misses 2-pt shot from 5 ft,,80-88,,
7:22.0,Offensive rebound by A. Drummond,,80-88,,
7:19.0,A. Drummond makes 2-pt shot from 1 ft,2,82-88,,
7:13.0,,,82-88,,D. Carroll misses 3-pt shot from 26 ft
7:12.0,Defensive rebound by I. Smith,,82-88,,
7:10.0,Turnover by I. Smith (lost ball; steal by L. Nogueira),,82-88,,
7:00.0,,,82-91,3,K. Lowry makes 3-pt shot from 26 ft
6:47.0,Shooting foul by K. Lowry (drawn by I. Smith),,82-91,,
6:47.0,I. Smith makes free throw 1 of 2,1,83-91,,
6:47.0,I. Smith makes free throw 2 of 2,1,84-91,,
6:30.0,,,84-93,2,J. Valanciunas makes 2-pt shot at rim (assist by L. Nogueira)
6:10.0,S. Johnson misses 2-pt shot from 4 ft (block by K. Lowry),,84-93,,
6:10.0,Offensive rebound by Team,,84-93,,
6:10.0,K. Caldwell-Pope enters the game for S. Johnson,,84-93,,
6:05.0,K. Caldwell-Pope makes 2-pt shot from 9 ft (assist by M. Morris),2,86-93,,
5:43.0,,,86-93,,Shooting foul by T. Harris (drawn by D. DeRozan)
5:43.0,Official timeout,,86-93,,
5:43.0,,,86-93,,D. DeRozan misses free throw 1 of 3
5:43.0,,,86-93,,Offensive rebound by Team
5:43.0,,,86-94,1,D. DeRozan makes free throw 2 of 3
5:43.0,,,86-95,1,D. DeRozan makes free throw 3 of 3
5:30.0,Shooting foul by L. Nogueira (drawn by T. Harris),,86-95,,
5:30.0,T. Harris makes free throw 1 of 2,1,87-95,,
5:30.0,T. Harris makes free throw 2 of 2,1,88-95,,
5:09.0,,,88-95,,D. DeRozan misses 2-pt shot from 21 ft
5:08.0,Defensive rebound by A. Drummond,,88-95,,
4:56.0,I. Smith makes 2-pt shot from 7 ft,2,90-95,,
4:40.0,,,90-95,,D. DeRozan misses 2-pt shot from 2 ft (block by T. Harris)
4:38.0,Defensive rebound by A. Drummond,,90-95,,
4:35.0,Turnover by A. Drummond (lost ball),,90-95,,
4:14.0,,,90-97,2,D. DeRozan makes 2-pt shot from 9 ft
3:54.0,T. Harris makes 2-pt shot from 15 ft,2,92-97,,
3:28.0,,,92-97,,D. DeRozan misses 2-pt shot from 19 ft
3:27.0,Defensive rebound by T. Harris,,92-97,,
3:20.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,92-97,,
3:19.0,Offensive rebound by A. Drummond,,92-97,,
3:17.0,A. Drummond makes 2-pt shot from 3 ft,2,94-97,,
3:09.0,,,94-97,,Toronto full timeout
2:53.0,,,94-97,,K. Lowry misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by T. Harris,,94-97,,
2:39.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,94-97,,
2:38.0,,,94-97,,Defensive rebound by J. Valanciunas
2:25.0,,,94-97,,K. Lowry misses 2-pt shot from 3 ft
2:25.0,,,94-97,,Offensive rebound by J. Valanciunas
2:23.0,,,94-99,2,J. Valanciunas makes 2-pt shot from 2 ft
2:04.0,T. Harris makes 2-pt shot from 19 ft,2,96-99,,
1:40.0,,,96-99,,Turnover by D. Carroll (bad pass; steal by T. Harris)
1:34.0,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by D. DeRozan),,96-99,,
1:33.0,,,96-99,,Defensive rebound by K. Lowry
1:23.0,,,96-101,2,K. Lowry makes 2-pt shot from 1 ft
1:23.0,Detroit full timeout,,96-101,,
1:20.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,96-101,,
1:19.0,Offensive rebound by Team,,96-101,,
1:19.0,,,96-101,,Loose ball foul by J. Valanciunas (drawn by A. Drummond)
