time,Dallas,pts.away,score,pts.home,Memphis
5:27.0,,,23-39,,Shooting foul by N. Brussino (drawn by Z. Randolph)
5:27.0,,,23-39,,Memphis full timeout
5:27.0,,,23-40,1,Z. Randolph makes free throw 1 of 2
5:27.0,,,23-41,1,Z. Randolph makes free throw 2 of 2
5:07.0,H. Barnes makes 2-pt shot at rim,2,25-41,,
4:48.0,,,25-41,,Turnover by V. Carter (bad pass; steal by Y. Ferrell)
4:40.0,N. Brussino misses 3-pt shot from 23 ft,,25-41,,
4:37.0,Offensive rebound by S. Mejri,,25-41,,
4:19.0,N. Brussino misses 2-pt shot from 20 ft,,25-41,,
4:19.0,,,25-41,,Defensive rebound by Z. Randolph
4:10.0,,,25-41,,Z. Randolph misses 2-pt shot from 1 ft
4:08.0,,,25-41,,Offensive rebound by Z. Randolph
4:06.0,,,25-41,,Z. Randolph misses 2-pt shot from 1 ft
4:04.0,,,25-41,,Offensive rebound by T. Allen
4:00.0,,,25-43,2,Z. Randolph makes 2-pt shot from 4 ft (assist by T. Allen)
4:00.0,Dallas full timeout,,25-43,,
4:00.0,J. Barea enters the game for Y. Ferrell,,25-43,,
4:00.0,D. Harris enters the game for S. Mejri,,25-43,,
4:00.0,D. Nowitzki enters the game for N. Brussino,,25-43,,
3:42.0,D. Harris misses 3-pt shot from 24 ft,,25-43,,
3:41.0,,,25-43,,Defensive rebound by Z. Randolph
3:20.0,,,25-43,,J. Ennis misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by H. Barnes,,25-43,,
3:09.0,D. Nowitzki misses 3-pt shot from 25 ft,,25-43,,
3:08.0,,,25-43,,Defensive rebound by V. Carter
3:00.0,,,25-46,3,T. Daniels makes 3-pt shot from 25 ft (assist by V. Carter)
2:37.0,Shooting foul by J. Ennis (drawn by D. Harris),,25-46,,
2:37.0,D. Harris makes free throw 1 of 2,1,26-46,,
2:37.0,D. Harris makes free throw 2 of 2,1,27-46,,
2:37.0,,,26-46,,B. Wright enters the game for Z. Randolph
2:37.0,,,26-46,,M. Conley enters the game for T. Daniels
2:37.0,S. Curry enters the game for J. Barea,,26-46,,
2:21.0,,,27-46,,B. Wright misses 2-pt shot from 6 ft
2:19.0,Defensive rebound by D. Nowitzki,,27-46,,
2:14.0,Shooting foul by V. Carter (drawn by S. Curry),,27-46,,
2:14.0,S. Curry makes free throw 1 of 3,1,28-46,,
2:14.0,S. Curry makes free throw 2 of 3,1,29-46,,
2:14.0,S. Curry makes free throw 3 of 3,1,30-46,,
2:14.0,,,29-46,,T. Daniels enters the game for V. Carter
1:58.0,,,30-48,2,J. Ennis makes 2-pt shot from 1 ft
1:46.0,,,30-48,,Personal foul by T. Allen (drawn by D. Nowitzki)
1:46.0,D. Nowitzki makes free throw 1 of 2,1,31-48,,
1:46.0,D. Nowitzki makes free throw 2 of 2,1,32-48,,
1:33.0,,,32-50,2,J. Ennis makes 2-pt shot from 1 ft (assist by M. Conley)
1:18.0,,,32-50,,Personal foul by B. Wright (drawn by D. Nowitzki)
1:18.0,D. Nowitzki makes free throw 1 of 2,1,33-50,,
1:18.0,D. Nowitzki makes free throw 2 of 2,1,34-50,,
1:01.0,,,34-50,,T. Allen misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by W. Matthews,,34-50,,
0:52.0,W. Matthews misses 2-pt shot from 6 ft,,34-50,,
0:50.0,,,34-50,,Defensive rebound by M. Conley
0:50.0,,,34-50,,Shooting foul by D. Nowitzki (drawn by J. Ennis)
0:50.0,,,34-52,2,J. Ennis makes 2-pt shot from 2 ft (assist by M. Conley)
0:50.0,,,34-52,,J. Ennis misses free throw 1 of 1
0:50.0,Defensive rebound by D. Nowitzki,,34-52,,
0:50.0,D. Finney-Smith enters the game for W. Matthews,,34-52,,
0:32.0,S. Curry misses 2-pt shot from 21 ft,,34-52,,
0:30.0,,,34-52,,Defensive rebound by T. Allen
0:10.0,,,34-54,2,M. Conley makes 2-pt shot from 6 ft
0:10.0,,,34-54,,Shooting foul by S. Curry (drawn by M. Conley)
0:10.0,,,34-55,1,M. Conley makes free throw 1 of 1
0:03.0,D. Finney-Smith misses 3-pt shot from 23 ft,,34-55,,
0:01.0,,,34-55,,Defensive rebound by J. Ennis
0:00.0,,,34-55,,J. Ennis misses 3-pt shot from 66 ft
0:00.0,,,34-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,S. Curry makes 3-pt shot from 26 ft (assist by W. Matthews),3,37-55,,
11:18.0,,,37-55,,Turnover by M. Conley (bad pass; steal by H. Barnes)
11:15.0,,,37-55,,Personal take foul by J. Ennis (drawn by H. Barnes)
10:58.0,S. Curry misses 2-pt shot from 2 ft,,37-55,,
10:57.0,,,37-55,,Defensive rebound by T. Allen
10:40.0,,,37-55,,T. Allen misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by S. Curry,,37-55,,
10:28.0,H. Barnes makes 2-pt shot from 2 ft,2,39-55,,
10:28.0,,,39-55,,Memphis full timeout
10:09.0,,,39-57,2,B. Wright makes 2-pt shot from 2 ft (assist by V. Carter)
10:01.0,,,39-57,,Personal foul by J. Ennis (drawn by W. Matthews)
9:46.0,H. Barnes misses 2-pt shot from 2 ft,,39-57,,
9:44.0,Offensive rebound by N. Noel,,39-57,,
9:44.0,N. Noel makes 2-pt shot from 1 ft,2,41-57,,
9:22.0,,,41-57,,M. Conley misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by D. Nowitzki,,41-57,,
9:21.0,,,41-57,,Loose ball foul by T. Allen (drawn by D. Nowitzki)
9:07.0,H. Barnes misses 2-pt shot from 1 ft,,41-57,,
9:06.0,,,41-57,,Defensive rebound by V. Carter
8:57.0,,,41-59,2,T. Allen makes 2-pt shot from 3 ft
8:41.0,D. Nowitzki misses 2-pt shot from 2 ft,,41-59,,
8:38.0,,,41-59,,Defensive rebound by B. Wright
8:32.0,,,41-59,,T. Allen misses 2-pt shot from 2 ft (block by N. Noel)
8:29.0,Defensive rebound by W. Matthews,,41-59,,
8:23.0,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews),3,44-59,,
8:06.0,,,44-59,,J. Ennis misses 2-pt shot from 2 ft (block by N. Noel)
8:05.0,Defensive rebound by D. Nowitzki,,44-59,,
7:55.0,Turnover by N. Noel (traveling),,44-59,,
7:38.0,,,44-59,,Turnover by M. Conley (bad pass; steal by S. Curry)
7:37.0,,,44-59,,Personal take foul by M. Conley (drawn by S. Curry)
7:16.0,W. Matthews makes 2-pt shot from 2 ft,2,46-59,,
7:16.0,,,46-59,,Memphis full timeout
7:16.0,,,46-59,,T. Daniels enters the game for J. Ennis
7:01.0,,,46-59,,T. Allen misses 2-pt shot at rim
7:00.0,Defensive rebound by N. Noel,,46-59,,
6:41.0,W. Matthews makes 2-pt shot from 13 ft,2,48-59,,
6:23.0,,,48-59,,V. Carter misses 2-pt shot from 21 ft
6:22.0,Defensive rebound by N. Noel,,48-59,,
6:01.0,D. Nowitzki misses 2-pt shot from 22 ft,,48-59,,
6:01.0,,,48-59,,Defensive rebound by B. Wright
5:53.0,,,48-59,,T. Daniels misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by D. Nowitzki,,48-59,,
5:53.0,,,48-59,,Personal foul by T. Allen (drawn by D. Nowitzki)
5:53.0,D. Nowitzki makes free throw 1 of 2,1,49-59,,
5:53.0,D. Nowitzki makes free throw 2 of 2,1,50-59,,
5:53.0,,,49-59,,Z. Randolph enters the game for T. Allen
5:38.0,,,50-59,,Turnover by V. Carter (lost ball; steal by N. Noel)
5:25.0,N. Noel misses 2-pt shot from 18 ft,,50-59,,
5:25.0,,,50-59,,Defensive rebound by M. Conley
5:23.0,Personal foul by W. Matthews (drawn by M. Conley),,50-59,,
5:23.0,J. Barea enters the game for S. Curry,,50-59,,
5:23.0,D. Harris enters the game for D. Nowitzki,,50-59,,
5:09.0,,,50-61,2,B. Wright makes 2-pt shot at rim (assist by M. Conley)
4:49.0,J. Barea misses 3-pt shot from 26 ft,,50-61,,
4:48.0,,,50-61,,Defensive rebound by Z. Randolph
4:24.0,,,50-64,3,T. Daniels makes 3-pt shot from 24 ft (assist by M. Conley)
4:20.0,Dallas full timeout,,50-64,,
4:09.0,Offensive foul by N. Noel,,50-64,,
4:09.0,Turnover by N. Noel (offensive foul),,50-64,,
3:53.0,,,50-66,2,M. Conley makes 2-pt shot from 23 ft (assist by V. Carter)
3:44.0,,,50-66,,Personal foul by Z. Randolph (drawn by N. Noel)
3:44.0,N. Noel misses free throw 1 of 2,,50-66,,
3:44.0,Offensive rebound by Team,,50-66,,
3:44.0,N. Noel misses free throw 2 of 2,,50-66,,
3:44.0,,,50-66,,J. Ennis enters the game for V. Carter
3:43.0,,,50-66,,Defensive rebound by Z. Randolph
3:19.0,,,50-66,,Turnover by B. Wright (lost ball; steal by D. Harris)
3:13.0,N. Noel makes 2-pt shot at rim (assist by J. Barea),2,52-66,,
2:53.0,,,52-66,,Turnover by J. Ennis (lost ball; steal by H. Barnes)
2:31.0,W. Matthews misses 3-pt shot from 30 ft,,52-66,,
2:31.0,Offensive rebound by J. Barea,,52-66,,
2:26.0,J. Barea misses 2-pt shot from 3 ft,,52-66,,
2:24.0,,,52-66,,Defensive rebound by Z. Randolph
2:19.0,,,52-66,,Shooting foul by J. Barea (drawn by M. Conley)
2:19.0,,,52-67,1,M. Conley makes free throw 1 of 2
2:19.0,,,52-68,1,M. Conley makes free throw 2 of 2
2:19.0,S. Mejri enters the game for N. Noel,,52-67,,
2:19.0,,,52-67,,D. Davis enters the game for B. Wright
2:06.0,H. Barnes makes 2-pt shot from 2 ft,2,54-68,,
1:49.0,,,54-68,,Shooting foul by S. Mejri (drawn by Z. Randolph)
1:49.0,,,54-69,1,Z. Randolph makes free throw 1 of 2
1:49.0,,,54-70,1,Z. Randolph makes free throw 2 of 2
1:49.0,,,54-69,,W. Baldwin enters the game for M. Conley
1:37.0,,,54-70,,Personal foul by D. Davis (drawn by S. Mejri)
1:37.0,S. Mejri misses free throw 1 of 2,,54-70,,
1:37.0,Offensive rebound by Team,,54-70,,
1:37.0,S. Mejri misses free throw 2 of 2,,54-70,,
1:37.0,,,54-70,,Defensive rebound by J. Ennis
1:37.0,D. Finney-Smith enters the game for W. Matthews,,54-70,,
1:37.0,D. Nowitzki enters the game for H. Barnes,,54-70,,
1:35.0,Jump ball: J. Ennis vs. D. Harris (D. Davis gains possession),,,,Jump ball: J. Ennis vs. D. Harris (D. Davis gains possession)
1:11.0,,,54-70,,Turnover by Team (shot clock)
1:00.0,D. Harris makes 2-pt shot from 1 ft,2,56-70,,
0:48.0,,,56-70,,T. Daniels misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by D. Finney-Smith,,56-70,,
0:35.0,J. Barea makes 3-pt shot from 28 ft,3,59-70,,
0:13.0,,,59-73,3,T. Daniels makes 3-pt shot from 24 ft (assist by W. Baldwin)
0:00.0,J. Barea makes 3-pt shot from 29 ft,3,62-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,62-73,,Z. Randolph misses 2-pt shot from 20 ft
11:41.0,Defensive rebound by D. Finney-Smith,,62-73,,
11:29.0,J. Barea misses 2-pt shot from 2 ft,,62-73,,
11:28.0,Offensive rebound by S. Mejri,,62-73,,
11:28.0,S. Mejri makes 2-pt shot from 1 ft,2,64-73,,
11:10.0,,,64-75,2,Z. Randolph makes 2-pt shot from 14 ft (assist by T. Daniels)
10:55.0,Shooting foul by W. Baldwin (drawn by D. Harris),,64-75,,
10:55.0,D. Harris makes free throw 1 of 2,1,65-75,,
10:55.0,D. Harris makes free throw 2 of 2,1,66-75,,
10:44.0,Personal foul by D. Harris (drawn by T. Daniels),,66-75,,
10:39.0,,,66-75,,V. Carter misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by D. Finney-Smith,,66-75,,
10:26.0,J. Barea misses 3-pt shot from 25 ft,,66-75,,
10:25.0,,,66-75,,Defensive rebound by T. Daniels
10:08.0,,,66-77,2,Z. Randolph makes 2-pt shot from 14 ft
9:52.0,D. Nowitzki misses 2-pt shot from 12 ft (block by V. Carter),,66-77,,
9:50.0,,,66-77,,Defensive rebound by V. Carter
9:46.0,,,66-80,3,T. Daniels makes 3-pt shot from 25 ft (assist by W. Baldwin)
9:46.0,Dallas full timeout,,66-80,,
9:26.0,D. Nowitzki misses 2-pt shot from 21 ft,,66-80,,
9:25.0,,,66-80,,Defensive rebound by Z. Randolph
9:14.0,,,66-80,,Offensive foul by V. Carter
9:14.0,,,66-80,,Turnover by V. Carter (offensive foul)
9:04.0,S. Mejri makes 2-pt shot at rim (assist by J. Barea),2,68-80,,
8:35.0,,,68-80,,Z. Randolph misses 2-pt shot from 1 ft
8:32.0,Defensive rebound by D. Nowitzki,,68-80,,
8:23.0,D. Nowitzki misses 2-pt shot from 12 ft,,68-80,,
8:21.0,,,68-80,,Defensive rebound by J. Ennis
8:10.0,,,68-83,3,V. Carter makes 3-pt shot from 25 ft (assist by W. Baldwin)
8:07.0,Dallas full timeout,,68-83,,
8:07.0,Y. Ferrell enters the game for S. Mejri,,68-83,,
8:07.0,W. Matthews enters the game for D. Harris,,68-83,,
8:07.0,N. Noel enters the game for D. Finney-Smith,,68-83,,
8:07.0,H. Barnes enters the game for D. Nowitzki,,68-83,,
7:42.0,J. Barea makes 3-pt shot from 25 ft,3,71-83,,
7:27.0,,,71-83,,T. Daniels misses 2-pt shot from 18 ft
7:27.0,Defensive rebound by N. Noel,,71-83,,
7:14.0,,,71-83,,M. Conley enters the game for J. Ennis
7:05.0,W. Matthews makes 3-pt shot from 23 ft (assist by J. Barea),3,74-83,,
7:05.0,,,74-83,,Memphis full timeout
7:05.0,,,74-83,,T. Allen enters the game for W. Baldwin
6:43.0,,,74-85,2,Z. Randolph makes 2-pt shot from 18 ft
6:26.0,N. Noel makes 2-pt shot at rim (assist by J. Barea),2,76-85,,
6:09.0,Personal foul by H. Barnes (drawn by V. Carter),,76-85,,
5:56.0,,,76-87,2,T. Allen makes 2-pt shot from 1 ft (assist by Z. Randolph)
5:28.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by W. Matthews),3,79-87,,
5:05.0,,,79-89,2,Z. Randolph makes 2-pt shot from 5 ft
4:46.0,J. Barea misses 3-pt shot from 26 ft,,79-89,,
4:46.0,,,79-89,,Defensive rebound by T. Daniels
4:23.0,Personal foul by J. Barea,,79-89,,
4:23.0,D. Harris enters the game for J. Barea,,79-89,,
4:14.0,,,79-92,3,M. Conley makes 3-pt shot from 25 ft
3:59.0,Turnover by Y. Ferrell (bad pass; steal by Z. Randolph),,79-92,,
3:37.0,,,79-92,,T. Daniels misses 3-pt shot from 28 ft
3:37.0,Defensive rebound by N. Noel,,79-92,,
3:20.0,N. Noel makes 2-pt shot from 2 ft (assist by W. Matthews),2,81-92,,
2:59.0,,,81-92,,M. Conley misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by Y. Ferrell,,81-92,,
2:52.0,,,81-92,,Personal foul by M. Conley (drawn by Y. Ferrell)
2:52.0,Dallas full timeout,,81-92,,
2:52.0,J. Barea enters the game for N. Noel,,81-92,,
2:52.0,D. Nowitzki enters the game for Y. Ferrell,,81-92,,
2:52.0,,,81-92,,J. Ennis enters the game for T. Daniels
2:46.0,D. Nowitzki misses 3-pt shot from 25 ft,,81-92,,
2:45.0,,,81-92,,Defensive rebound by V. Carter
2:25.0,,,81-92,,Offensive foul by Z. Randolph
2:25.0,,,81-92,,Turnover by Z. Randolph (offensive foul)
2:25.0,Offensive foul by D. Nowitzki,,81-92,,
2:25.0,Turnover by D. Nowitzki (offensive foul),,81-92,,
2:14.0,,,81-92,,T. Allen misses 2-pt shot from 3 ft (block by W. Matthews)
2:13.0,,,81-92,,Offensive rebound by Team
2:10.0,,,81-92,,M. Conley misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by H. Barnes,,81-92,,
2:02.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by H. Barnes),3,84-92,,
1:45.0,,,84-92,,M. Conley misses 2-pt shot from 2 ft
1:44.0,Defensive rebound by D. Nowitzki,,84-92,,
1:39.0,J. Barea makes 3-pt shot from 26 ft (assist by W. Matthews),3,87-92,,
1:39.0,,,87-92,,Memphis full timeout
1:39.0,,,87-92,,T. Daniels enters the game for T. Allen
1:19.0,,,87-94,2,M. Conley makes 2-pt shot from 19 ft
1:08.0,W. Matthews makes 3-pt shot from 25 ft,3,90-94,,
1:02.0,,,90-94,,Memphis full timeout
0:47.0,,,90-94,,V. Carter misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by D. Harris,,90-94,,
