time,Indiana,pts.away,score,pts.home,Toronto
5:20.0,,,17-11,,D. Carroll misses 3-pt shot from 23 ft
5:20.0,,,17-11,,Offensive rebound by S. Ibaka
5:15.0,,,17-14,3,D. Carroll makes 3-pt shot from 23 ft (assist by D. DeRozan)
4:59.0,P. George misses 2-pt shot from 16 ft,,17-14,,
4:59.0,,,17-14,,Defensive rebound by D. DeRozan
4:44.0,,,17-14,,Offensive charge foul by C. Joseph
4:44.0,,,17-14,,Turnover by C. Joseph (offensive foul)
4:44.0,R. Christmas enters the game for M. Turner,,17-14,,
4:44.0,C. Miles enters the game for M. Ellis,,17-14,,
4:44.0,,,17-14,,D. Wright enters the game for C. Joseph
4:27.0,,,17-14,,P. Tucker enters the game for D. Carroll
4:19.0,C. Miles misses 2-pt shot from 18 ft,,17-14,,
4:19.0,Offensive rebound by Team,,17-14,,
4:19.0,Turnover by Team (shot clock),,17-14,,
4:07.0,,,17-16,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
3:45.0,T. Young makes 2-pt shot from 3 ft (assist by R. Christmas),2,19-16,,
3:45.0,Shooting foul by J. Valanciunas (drawn by T. Young),,19-16,,
3:45.0,T. Young misses free throw 1 of 1,,19-16,,
3:45.0,,,19-16,,Defensive rebound by S. Ibaka
3:45.0,,,19-16,,P. Patterson enters the game for J. Valanciunas
3:33.0,,,19-16,,P. Patterson misses 3-pt shot from 24 ft
3:33.0,,,19-16,,Offensive rebound by D. Wright
3:32.0,,,19-16,,Shooting foul by J. Teague (drawn by D. Wright)
3:32.0,,,19-16,,D. Wright misses free throw 1 of 2
3:32.0,,,19-16,,Offensive rebound by Team
3:32.0,,,19-17,1,D. Wright makes free throw 2 of 2
3:28.0,Indiana full timeout,,19-17,,
3:28.0,A. Brooks enters the game for T. Young,,19-17,,
3:28.0,L. Allen enters the game for J. Teague,,19-17,,
3:09.0,A. Brooks makes 2-pt shot from 2 ft,2,21-17,,
2:50.0,,,21-17,,Turnover by D. DeRozan (bad pass; steal by P. George)
2:45.0,P. George misses 3-pt shot from 29 ft,,21-17,,
2:45.0,,,21-17,,Defensive rebound by S. Ibaka
2:37.0,,,21-17,,Shooting foul by R. Christmas (drawn by D. DeRozan)
2:37.0,,,21-18,1,D. DeRozan makes free throw 1 of 2
2:37.0,,,21-19,1,D. DeRozan makes free throw 2 of 2
2:37.0,,,21-18,,J. Poeltl enters the game for S. Ibaka
2:13.0,P. George misses 3-pt shot from 27 ft,,21-19,,
2:13.0,,,21-19,,Defensive rebound by D. DeRozan
2:02.0,,,21-21,2,D. DeRozan makes 2-pt shot from 12 ft
1:50.0,,,21-21,,Personal foul by D. DeRozan (drawn by P. George)
1:36.0,C. Miles misses 2-pt shot from 18 ft,,21-21,,
1:36.0,,,21-21,,Defensive rebound by P. Tucker
1:30.0,Personal foul by A. Brooks (drawn by D. DeRozan),,21-21,,
1:30.0,,,21-22,1,D. DeRozan makes free throw 1 of 2
1:30.0,,,21-23,1,D. DeRozan makes free throw 2 of 2
1:16.0,A. Brooks makes 3-pt shot from 25 ft,3,24-23,,
1:05.0,,,24-25,2,D. DeRozan makes 2-pt shot from 6 ft
0:47.0,C. Miles misses 2-pt shot from 4 ft,,24-25,,
0:47.0,Offensive rebound by L. Allen,,24-25,,
0:42.0,,,24-25,,Personal foul by P. Tucker
0:42.0,P. George misses free throw 1 of 2,,24-25,,
0:42.0,Offensive rebound by Team,,24-25,,
0:42.0,P. George makes free throw 2 of 2,1,25-25,,
0:37.0,,,25-25,,D. DeRozan misses 2-pt shot from 1 ft
0:37.0,Defensive rebound by Team,,25-25,,
0:25.0,P. George misses 2-pt shot from 10 ft,,25-25,,
0:24.0,,,25-25,,Defensive rebound by D. DeRozan
0:01.0,,,25-28,3,P. Tucker makes 3-pt shot from 25 ft (assist by D. Wright)
0:00.0,A. Brooks misses 3-pt shot from 85 ft,,25-28,,
0:00.0,Offensive rebound by Team,,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,C. Miles misses 2-pt shot from 15 ft,,25-28,,
11:48.0,,,25-28,,Defensive rebound by P. Tucker
11:25.0,,,25-28,,N. Powell misses 2-pt shot from 19 ft
11:24.0,,,25-28,,Offensive rebound by P. Tucker
11:12.0,,,25-30,2,D. Wright makes 2-pt shot from 3 ft
10:52.0,Turnover by A. Brooks (bad pass),,25-30,,
10:35.0,,,25-30,,P. Patterson misses 3-pt shot from 26 ft
10:34.0,,,25-30,,Offensive rebound by P. Tucker
10:30.0,,,25-32,2,P. Tucker makes 2-pt shot from 7 ft
10:13.0,Turnover by M. Ellis (lost ball),,25-32,,
9:54.0,,,25-32,,P. Tucker misses 2-pt shot from 7 ft
9:53.0,Defensive rebound by M. Turner,,25-32,,
9:35.0,C. Miles makes 3-pt shot from 29 ft (assist by M. Turner),3,28-32,,
9:22.0,,,28-34,2,D. Wright makes 2-pt shot from 2 ft
9:05.0,M. Ellis misses 2-pt shot from 1 ft,,28-34,,
9:04.0,Offensive rebound by L. Allen,,28-34,,
9:03.0,L. Allen makes 2-pt shot from 1 ft,2,30-34,,
8:50.0,,,30-34,,N. Powell misses 3-pt shot from 23 ft
8:50.0,Defensive rebound by A. Brooks,,30-34,,
8:39.0,A. Brooks makes 2-pt shot from 6 ft,2,32-34,,
8:20.0,,,32-34,,P. Patterson misses 2-pt shot from 13 ft
8:19.0,Defensive rebound by M. Turner,,32-34,,
8:14.0,Indiana full timeout,,32-34,,
8:14.0,,,32-34,,D. Carroll enters the game for P. Tucker
8:14.0,J. Teague enters the game for A. Brooks,,32-34,,
7:59.0,Shooting foul by J. Poeltl,,32-34,,
7:59.0,C. Miles makes free throw 1 of 2,1,33-34,,
7:59.0,C. Miles makes free throw 2 of 2,1,34-34,,
7:46.0,,,34-34,,N. Powell misses 2-pt shot from 4 ft
7:45.0,Defensive rebound by M. Turner,,34-34,,
7:35.0,Shooting foul by N. Powell (drawn by J. Teague),,34-34,,
7:35.0,J. Teague makes free throw 1 of 2,1,35-34,,
7:35.0,J. Teague makes free throw 2 of 2,1,36-34,,
7:24.0,,,36-34,,J. Poeltl misses 2-pt shot from 4 ft
7:24.0,,,36-34,,Offensive rebound by Team
7:11.0,,,36-34,,N. Powell misses 2-pt shot from 3 ft (block by M. Turner)
7:11.0,,,36-34,,Offensive rebound by Team
7:02.0,,,36-34,,D. Wright misses 2-pt shot from 15 ft
7:01.0,Defensive rebound by L. Allen,,36-34,,
6:57.0,Turnover by J. Teague (lost ball; steal by N. Powell),,36-34,,
6:40.0,,,36-37,3,D. Wright makes 3-pt shot from 26 ft (assist by D. Carroll)
6:22.0,L. Allen misses 2-pt shot from 19 ft,,36-37,,
6:21.0,Offensive rebound by Team,,36-37,,
6:21.0,,,36-37,,Loose ball foul by D. Carroll
6:21.0,P. George enters the game for C. Miles,,36-37,,
6:21.0,,,36-37,,D. DeRozan enters the game for D. Wright
6:21.0,,,36-37,,C. Joseph enters the game for N. Powell
6:13.0,Turnover by L. Allen (3 sec),,36-37,,
5:58.0,,,36-37,,D. DeRozan misses 2-pt shot from 18 ft
5:57.0,Defensive rebound by M. Turner,,36-37,,
5:32.0,J. Teague misses 2-pt shot from 8 ft,,36-37,,
5:31.0,,,36-37,,Defensive rebound by J. Poeltl
5:25.0,,,36-37,,Turnover by D. Carroll (lost ball; steal by M. Ellis)
5:11.0,J. Teague misses 3-pt shot from 26 ft,,36-37,,
5:10.0,Offensive rebound by L. Allen,,36-37,,
4:51.0,P. George makes 3-pt shot from 24 ft,3,39-37,,
4:47.0,,,39-37,,Toronto full timeout
4:47.0,,,39-37,,S. Ibaka enters the game for D. Carroll
4:47.0,,,39-37,,J. Valanciunas enters the game for P. Patterson
4:47.0,,,39-37,,P. Tucker enters the game for J. Poeltl
4:47.0,T. Young enters the game for L. Allen,,39-37,,
4:33.0,,,39-37,,C. Joseph misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by P. George,,39-37,,
4:20.0,M. Ellis misses 2-pt shot from 20 ft,,39-37,,
4:19.0,,,39-37,,Defensive rebound by P. Tucker
4:12.0,,,39-37,,S. Ibaka misses 2-pt shot from 6 ft
4:12.0,,,39-37,,Offensive rebound by Team
4:07.0,,,39-37,,S. Ibaka misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by J. Teague,,39-37,,
4:01.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,41-37,,
3:43.0,,,41-37,,J. Valanciunas misses 2-pt shot from 16 ft
3:42.0,Defensive rebound by M. Ellis,,41-37,,
3:24.0,T. Young misses 2-pt shot from 5 ft (block by J. Valanciunas),,41-37,,
3:22.0,Offensive rebound by T. Young,,41-37,,
3:18.0,J. Teague misses 2-pt shot from 8 ft,,41-37,,
3:17.0,,,41-37,,Defensive rebound by J. Valanciunas
3:08.0,,,41-37,,D. DeRozan misses 2-pt shot from 4 ft
3:07.0,Defensive rebound by P. George,,41-37,,
3:01.0,Turnover by P. George (bad pass; steal by C. Joseph),,41-37,,
2:57.0,,,41-39,2,C. Joseph makes 2-pt shot from 1 ft
2:38.0,P. George makes 3-pt shot from 27 ft (assist by M. Ellis),3,44-39,,
2:25.0,,,44-39,,S. Ibaka misses 2-pt shot from 19 ft
2:25.0,,,44-39,,Offensive rebound by S. Ibaka
2:23.0,,,44-41,2,S. Ibaka makes 2-pt shot at rim
2:13.0,Indiana full timeout,,44-41,,
2:13.0,Official timeout,,44-41,,
2:13.0,C. Miles enters the game for M. Ellis,,44-41,,
2:05.0,,,44-41,,Personal foul by P. Tucker
1:55.0,T. Young misses 2-pt shot from 1 ft,,44-41,,
1:54.0,,,44-41,,Defensive rebound by S. Ibaka
1:40.0,,,44-41,,J. Valanciunas misses 2-pt shot from 11 ft
1:40.0,Defensive rebound by M. Turner,,44-41,,
1:39.0,,,44-41,,D. Carroll enters the game for P. Tucker
1:38.0,Jump ball: S. Ibaka vs. M. Turner (T. Young gains possession),,,,Jump ball: S. Ibaka vs. M. Turner (T. Young gains possession)
1:28.0,P. George misses 2-pt shot from 13 ft,,44-41,,
1:27.0,,,44-41,,Defensive rebound by S. Ibaka
1:16.0,,,44-44,3,D. Carroll makes 3-pt shot from 25 ft (assist by C. Joseph)
0:53.0,C. Miles misses 2-pt shot from 1 ft,,44-44,,
0:52.0,Offensive rebound by C. Miles,,44-44,,
0:50.0,C. Miles makes 2-pt shot from 2 ft,2,46-44,,
0:31.0,,,46-46,2,D. DeRozan makes 2-pt shot from 2 ft
0:09.0,P. George makes 2-pt shot from 10 ft,2,48-46,,
0:03.0,,,48-46,,D. Carroll misses 3-pt shot from 26 ft
0:03.0,,,48-46,,Offensive rebound by S. Ibaka
0:00.0,,,48-46,,D. Carroll misses 2-pt shot from 10 ft
0:00.0,,,48-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,P. George misses 3-pt shot from 26 ft,,48-46,,
11:40.0,,,48-46,,Defensive rebound by D. DeRozan
11:33.0,,,48-46,,Shooting foul by J. Teague (drawn by D. DeRozan)
11:33.0,,,48-46,,D. DeRozan misses free throw 1 of 2
11:33.0,,,48-46,,Offensive rebound by Team
11:33.0,,,48-47,1,D. DeRozan makes free throw 2 of 2
11:22.0,M. Ellis misses 2-pt shot from 9 ft,,48-47,,
11:21.0,,,48-47,,Defensive rebound by S. Ibaka
11:06.0,,,48-47,,Shooting foul by M. Ellis (drawn by D. DeRozan)
11:06.0,,,48-48,1,D. DeRozan makes free throw 1 of 2
11:06.0,,,48-49,1,D. DeRozan makes free throw 2 of 2
10:55.0,T. Young misses 2-pt shot from 6 ft (block by S. Ibaka),,48-49,,
10:54.0,Offensive rebound by T. Young,,48-49,,
10:54.0,T. Young misses 2-pt shot from 1 ft,,48-49,,
10:54.0,,,48-49,,Defensive rebound by S. Ibaka
10:43.0,,,48-51,2,J. Valanciunas makes 2-pt shot from 18 ft (assist by C. Joseph)
10:32.0,,,48-51,,Personal foul by D. Carroll (drawn by M. Turner)
10:27.0,Turnover by T. Young (bad pass; steal by J. Valanciunas),,48-51,,
10:24.0,Personal foul by M. Ellis (drawn by D. DeRozan),,48-51,,
10:18.0,,,48-54,3,D. DeRozan makes 3-pt shot from 23 ft (assist by C. Joseph)
9:57.0,M. Turner makes 2-pt shot from 3 ft (assist by P. George),2,50-54,,
9:57.0,Shooting foul by J. Valanciunas (drawn by M. Turner),,50-54,,
9:57.0,M. Turner misses free throw 1 of 1,,50-54,,
9:57.0,,,50-54,,Defensive rebound by J. Valanciunas
9:41.0,,,50-54,,D. DeRozan misses 2-pt shot from 9 ft
9:41.0,Defensive rebound by P. George,,50-54,,
9:33.0,P. George misses 2-pt shot from 6 ft (block by J. Valanciunas),,50-54,,
9:33.0,,,50-54,,Defensive rebound by J. Valanciunas
9:12.0,,,50-57,3,D. DeRozan makes 3-pt shot from 26 ft (assist by C. Joseph)
9:05.0,Indiana full timeout,,50-57,,
8:52.0,M. Turner makes 3-pt shot from 26 ft (assist by M. Ellis),3,53-57,,
8:39.0,,,53-57,,Shooting foul by P. George (drawn by D. DeRozan)
8:39.0,,,53-58,1,D. DeRozan makes free throw 1 of 2
8:39.0,,,53-59,1,D. DeRozan makes free throw 2 of 2
8:30.0,,,53-59,,Personal foul by D. Carroll (drawn by M. Turner)
8:22.0,Shooting foul by C. Joseph (drawn by J. Teague),,53-59,,
8:22.0,J. Teague makes free throw 1 of 2,1,54-59,,
8:22.0,J. Teague makes free throw 2 of 2,1,55-59,,
8:05.0,,,55-59,,D. DeRozan misses 2-pt shot from 21 ft
8:05.0,Defensive rebound by M. Turner,,55-59,,
7:53.0,J. Teague misses 2-pt shot from 6 ft,,55-59,,
7:52.0,,,55-59,,Defensive rebound by J. Valanciunas
7:41.0,,,55-59,,D. DeRozan misses 2-pt shot from 5 ft (block by M. Turner)
7:39.0,,,55-59,,Offensive rebound by J. Valanciunas
7:38.0,,,55-59,,J. Valanciunas misses 2-pt shot at rim
7:37.0,,,55-59,,Offensive rebound by J. Valanciunas
7:37.0,,,55-59,,J. Valanciunas misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by P. George,,55-59,,
7:31.0,M. Ellis misses 3-pt shot from 23 ft,,55-59,,
7:30.0,Offensive rebound by T. Young,,55-59,,
7:27.0,P. George makes 3-pt shot from 26 ft (assist by T. Young),3,58-59,,
7:10.0,,,58-59,,D. DeRozan misses 2-pt shot from 3 ft (block by M. Turner)
7:09.0,Defensive rebound by J. Teague,,58-59,,
7:06.0,P. George makes 2-pt shot at rim (assist by J. Teague),2,60-59,,
7:06.0,,,60-59,,Toronto full timeout
6:58.0,,,60-59,,Turnover by C. Joseph (bad pass; steal by M. Turner)
6:52.0,M. Ellis misses 2-pt shot from 2 ft,,60-59,,
6:51.0,,,60-59,,Defensive rebound by J. Valanciunas
6:29.0,,,60-62,3,D. Carroll makes 3-pt shot from 26 ft (assist by S. Ibaka)
6:11.0,J. Teague misses 2-pt shot from 7 ft,,60-62,,
6:11.0,,,60-62,,Defensive rebound by J. Valanciunas
6:03.0,,,60-62,,Turnover by J. Valanciunas (traveling)
5:50.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,62-62,,
5:38.0,,,62-65,3,D. Carroll makes 3-pt shot from 23 ft (assist by C. Joseph)
5:23.0,P. George makes 2-pt shot from 5 ft,2,64-65,,
5:05.0,,,64-65,,S. Ibaka misses 2-pt shot from 8 ft
5:04.0,,,64-65,,Offensive rebound by J. Valanciunas
5:03.0,,,64-65,,Shooting foul by M. Turner (drawn by J. Valanciunas)
5:03.0,,,64-66,1,J. Valanciunas makes free throw 1 of 2
5:03.0,,,64-67,1,J. Valanciunas makes free throw 2 of 2
4:48.0,M. Turner misses 2-pt shot from 16 ft,,64-67,,
4:48.0,,,64-67,,Defensive rebound by C. Joseph
4:37.0,,,64-67,,D. DeRozan misses 2-pt shot from 8 ft
4:35.0,,,64-67,,Offensive rebound by D. DeRozan
4:34.0,,,64-69,2,D. DeRozan makes 2-pt shot from 2 ft
4:33.0,,,64-69,,Violation by Team (delay of game)
4:18.0,P. George misses 3-pt shot from 25 ft (block by D. Carroll),,64-69,,
4:17.0,,,64-69,,Defensive rebound by J. Valanciunas
4:10.0,,,64-69,,Shooting foul by P. George (drawn by J. Valanciunas)
4:10.0,,,64-70,1,J. Valanciunas makes free throw 1 of 2
4:10.0,,,64-70,,J. Valanciunas misses free throw 2 of 2
4:10.0,R. Christmas enters the game for M. Turner,,64-70,,
4:10.0,C. Miles enters the game for M. Ellis,,64-70,,
4:10.0,,,64-70,,P. Patterson enters the game for S. Ibaka
4:08.0,Defensive rebound by T. Young,,64-70,,
3:56.0,P. George misses 3-pt shot from 26 ft,,64-70,,
3:55.0,Offensive rebound by Team,,64-70,,
3:36.0,C. Miles misses 3-pt shot from 26 ft,,64-70,,
3:36.0,,,64-70,,Defensive rebound by J. Valanciunas
3:28.0,,,64-70,,Turnover by J. Valanciunas (traveling)
3:28.0,,,64-70,,P. Tucker enters the game for D. Carroll
3:10.0,J. Teague makes 2-pt shot from 5 ft,2,66-70,,
3:01.0,,,66-72,2,J. Valanciunas makes 2-pt shot from 19 ft (assist by D. DeRozan)
2:52.0,P. George misses 2-pt shot from 17 ft,,66-72,,
2:51.0,,,66-72,,Defensive rebound by D. DeRozan
2:42.0,,,66-72,,Shooting foul by C. Miles (drawn by D. DeRozan)
2:42.0,,,66-73,1,D. DeRozan makes free throw 1 of 2
2:42.0,,,66-73,,D. DeRozan misses free throw 2 of 2
2:42.0,A. Brooks enters the game for J. Teague,,66-73,,
2:42.0,L. Allen enters the game for T. Young,,66-73,,
2:42.0,,,66-73,,D. Wright enters the game for C. Joseph
2:41.0,Defensive rebound by P. George,,66-73,,
2:30.0,A. Brooks misses 2-pt shot from 5 ft,,66-73,,
2:29.0,,,66-73,,Defensive rebound by D. DeRozan
2:12.0,,,66-75,2,J. Valanciunas makes 2-pt shot at rim (assist by D. Wright)
2:12.0,,,66-75,,Shooting foul by R. Christmas (drawn by J. Valanciunas)
2:12.0,,,66-76,1,J. Valanciunas makes free throw 1 of 1
1:59.0,C. Miles misses 3-pt shot from 25 ft,,66-76,,
1:58.0,,,66-76,,Defensive rebound by J. Valanciunas
1:46.0,,,66-78,2,D. DeRozan makes 2-pt shot from 15 ft
1:21.0,Turnover by L. Allen (lost ball; steal by P. Patterson),,66-78,,
1:18.0,,,66-78,,Turnover by D. Wright (bad pass)
1:00.0,A. Brooks misses 2-pt shot from 4 ft,,66-78,,
1:00.0,,,66-78,,Defensive rebound by J. Valanciunas
0:49.0,Shooting block foul by P. George (drawn by J. Valanciunas),,66-78,,
0:49.0,,,66-79,1,J. Valanciunas makes free throw 1 of 2
0:49.0,,,66-80,1,J. Valanciunas makes free throw 2 of 2
0:43.0,Turnover by L. Allen (lost ball; steal by P. Patterson),,66-80,,
0:34.0,,,66-80,,P. Patterson misses 3-pt shot from 29 ft
0:33.0,,,66-80,,Offensive rebound by J. Valanciunas
0:28.0,,,66-80,,Shooting foul by R. Christmas (drawn by D. DeRozan)
0:28.0,,,66-80,,D. DeRozan misses free throw 1 of 2
0:28.0,,,66-80,,Offensive rebound by Team
0:28.0,,,66-80,,D. DeRozan misses free throw 2 of 2
0:28.0,J. Teague enters the game for R. Christmas,,66-80,,
0:27.0,Defensive rebound by P. George,,66-80,,
0:03.0,C. Miles makes 2-pt shot from 23 ft (assist by A. Brooks),2,68-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,68-80,,Shooting foul by C. Miles (drawn by J. Poeltl)
11:43.0,,,68-80,,J. Poeltl misses free throw 1 of 2
11:43.0,,,68-80,,Offensive rebound by Team
11:43.0,,,68-80,,J. Poeltl misses free throw 2 of 2
11:42.0,Defensive rebound by C. Miles,,68-80,,
11:23.0,C. Miles makes 3-pt shot from 26 ft (assist by M. Turner),3,71-80,,
11:05.0,,,71-82,2,D. Wright makes 2-pt shot from 6 ft
10:52.0,A. Brooks makes 2-pt shot from 2 ft,2,73-82,,
10:27.0,,,73-82,,P. Tucker misses 2-pt shot from 4 ft
10:27.0,,,73-82,,Offensive rebound by D. Wright
10:22.0,,,73-85,3,P. Patterson makes 3-pt shot from 26 ft (assist by D. Wright)
9:55.0,M. Ellis misses 3-pt shot from 23 ft,,73-85,,
9:55.0,,,73-85,,Defensive rebound by N. Powell
9:51.0,,,73-85,,Offensive charge foul by N. Powell
9:51.0,,,73-85,,Turnover by N. Powell (offensive foul)
9:45.0,Turnover by M. Ellis (back court),,73-85,,
9:32.0,,,73-85,,Turnover by P. Patterson (bad pass; steal by C. Miles)
9:27.0,M. Ellis makes 2-pt shot at rim (assist by A. Brooks),2,75-85,,
9:09.0,,,75-88,3,P. Tucker makes 3-pt shot from 24 ft (assist by D. Wright)
8:58.0,,,75-88,,Personal foul by N. Powell (drawn by M. Ellis)
8:58.0,Official timeout,,75-88,,
8:58.0,P. George enters the game for L. Allen,,75-88,,
8:54.0,,,75-88,,Personal foul by N. Powell (drawn by M. Ellis)
8:50.0,,,75-88,,Personal foul by P. Tucker
8:42.0,,,75-88,,Shooting block foul by J. Poeltl (drawn by A. Brooks)
8:42.0,A. Brooks makes free throw 1 of 2,1,76-88,,
8:42.0,A. Brooks makes free throw 2 of 2,1,77-88,,
8:28.0,,,77-88,,P. Tucker misses 3-pt shot from 22 ft
8:27.0,Defensive rebound by M. Ellis,,77-88,,
8:01.0,A. Brooks misses 2-pt shot from 19 ft,,77-88,,
8:01.0,,,77-88,,Defensive rebound by N. Powell
7:48.0,,,77-88,,P. Tucker misses 2-pt shot from 6 ft
7:48.0,Defensive rebound by A. Brooks,,77-88,,
7:35.0,Offensive charge foul by M. Turner,,77-88,,
7:35.0,Turnover by M. Turner (offensive foul),,77-88,,
7:35.0,,,77-88,,S. Ibaka enters the game for J. Poeltl
7:35.0,,,77-88,,D. DeRozan enters the game for N. Powell
7:35.0,J. Teague enters the game for A. Brooks,,77-88,,
7:28.0,,,77-90,2,S. Ibaka makes 2-pt shot from 9 ft (assist by D. Wright)
7:15.0,C. Miles misses 2-pt shot from 21 ft,,77-90,,
7:15.0,,,77-90,,Defensive rebound by P. Tucker
7:08.0,,,77-90,,Shooting foul by J. Teague (drawn by D. Wright)
7:08.0,,,77-91,1,D. Wright makes free throw 1 of 2
7:08.0,,,77-91,,D. Wright misses free throw 2 of 2
7:07.0,Defensive rebound by C. Miles,,77-91,,
6:55.0,M. Ellis misses 2-pt shot from 2 ft,,77-91,,
6:54.0,,,77-91,,Defensive rebound by S. Ibaka
6:31.0,,,77-91,,P. Tucker misses 2-pt shot from 12 ft
6:31.0,,,77-91,,Offensive rebound by S. Ibaka
6:28.0,,,77-91,,Turnover by S. Ibaka (lost ball; steal by M. Ellis)
6:21.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis),3,80-91,,
6:10.0,,,80-94,3,S. Ibaka makes 3-pt shot from 26 ft (assist by D. Wright)
6:08.0,Indiana full timeout,,80-94,,
6:08.0,T. Young enters the game for C. Miles,,80-94,,
6:08.0,,,80-94,,C. Joseph enters the game for P. Patterson
5:48.0,P. George misses 2-pt shot from 20 ft,,80-94,,
5:48.0,Offensive rebound by M. Turner,,80-94,,
5:45.0,M. Ellis misses 3-pt shot from 24 ft,,80-94,,
5:45.0,,,80-94,,Defensive rebound by P. Tucker
5:30.0,,,80-94,,D. DeRozan misses 2-pt shot from 19 ft
5:30.0,Defensive rebound by J. Teague,,80-94,,
5:16.0,Shooting foul by P. Tucker (drawn by P. George),,80-94,,
5:16.0,P. George makes free throw 1 of 2,1,81-94,,
