time,Indiana,pts.away,score,pts.home,LA Lakers
4:45.0,,,15-16,2,J. Randle makes 2-pt shot from 3 ft (assist by T. Black)
4:40.0,,,15-16,,Personal foul by B. Ingram (drawn by M. Turner)
4:40.0,K. Seraphin enters the game for T. Young,,15-16,,
4:40.0,,,15-16,,J. Clarkson enters the game for N. Young
4:40.0,,,15-16,,L. Williams enters the game for J. Calderon
4:30.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,17-16,,
4:11.0,,,17-19,3,B. Ingram makes 3-pt shot from 25 ft (assist by J. Randle)
3:59.0,K. Seraphin makes 2-pt shot from 9 ft (assist by M. Turner),2,19-19,,
3:41.0,,,19-19,,J. Randle misses 2-pt shot from 6 ft
3:35.0,,,19-19,,Offensive rebound by T. Black
3:34.0,,,19-19,,B. Ingram misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by K. Seraphin,,19-19,,
3:23.0,P. George misses 2-pt shot from 13 ft,,19-19,,
3:22.0,,,19-19,,Defensive rebound by J. Randle
3:17.0,,,19-19,,Turnover by B. Ingram (step out of bounds)
3:17.0,M. Ellis enters the game for G. Robinson,,19-19,,
3:03.0,K. Seraphin misses 2-pt shot from 10 ft,,19-19,,
3:02.0,,,19-19,,Defensive rebound by J. Randle
2:53.0,,,19-19,,Turnover by T. Black (lost ball; steal by M. Turner)
2:41.0,P. George misses 2-pt shot at rim,,19-19,,
2:38.0,,,19-19,,Defensive rebound by T. Black
2:29.0,,,19-19,,Turnover by J. Clarkson (bad pass; steal by J. Teague)
2:23.0,J. Teague misses 2-pt shot from 3 ft,,19-19,,
2:17.0,,,19-19,,Defensive rebound by T. Black
2:07.0,,,19-21,2,B. Ingram makes 2-pt shot at rim
2:05.0,Indiana full timeout,,19-21,,
2:05.0,,,19-21,,I. Zubac enters the game for B. Ingram
2:05.0,,,19-21,,N. Young enters the game for J. Randle
2:05.0,A. Jefferson enters the game for M. Turner,,19-21,,
2:05.0,A. Brooks enters the game for J. Teague,,19-21,,
1:42.0,A. Jefferson makes 2-pt shot from 11 ft (assist by A. Brooks),2,21-21,,
1:30.0,,,21-24,3,L. Williams makes 3-pt shot from 26 ft
1:11.0,A. Jefferson makes 2-pt shot from 2 ft,2,23-24,,
1:11.0,Shooting foul by I. Zubac (drawn by A. Jefferson),,23-24,,
1:11.0,A. Jefferson makes free throw 1 of 1,1,24-24,,
1:11.0,C. Miles enters the game for P. George,,23-24,,
1:04.0,,,24-24,,Shooting foul by K. Seraphin
1:04.0,,,24-25,1,L. Williams makes free throw 1 of 3
1:04.0,,,24-26,1,L. Williams makes free throw 2 of 3
1:04.0,,,24-27,1,L. Williams makes free throw 3 of 3
0:49.0,Turnover by K. Seraphin (lost ball; steal by J. Clarkson),,24-27,,
0:37.0,,,24-27,,J. Clarkson misses 2-pt shot from 3 ft
0:35.0,Defensive rebound by C. Miles,,24-27,,
0:26.0,K. Seraphin misses 2-pt shot from 4 ft,,24-27,,
0:20.0,Offensive rebound by A. Jefferson,,24-27,,
0:20.0,A. Jefferson misses 2-pt shot from 2 ft,,24-27,,
0:19.0,,,24-27,,Defensive rebound by I. Zubac
0:02.0,,,24-27,,L. Williams misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by Team,,24-27,,
0:00.0,A. Brooks misses 3-pt shot from 54 ft,,24-27,,
0:00.0,Offensive rebound by Team,,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-29,2,I. Zubac makes 2-pt shot from 7 ft (assist by L. Williams)
11:28.0,C. Miles misses 2-pt shot from 17 ft,,24-29,,
11:26.0,,,24-29,,Defensive rebound by J. Clarkson
11:17.0,,,24-29,,J. Clarkson misses 2-pt shot from 9 ft
11:15.0,,,24-29,,Offensive rebound by T. Black
11:15.0,,,24-29,,T. Black misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by A. Jefferson,,24-29,,
11:08.0,,,24-29,,Personal foul by N. Young (drawn by C. Miles)
11:08.0,,,24-29,,J. Calderon enters the game for N. Young
10:58.0,A. Jefferson makes 2-pt shot from 8 ft,2,26-29,,
10:48.0,,,26-31,2,L. Williams makes 2-pt shot from 8 ft
10:35.0,Shooting foul by T. Black (drawn by A. Jefferson),,26-31,,
10:35.0,A. Jefferson makes free throw 1 of 2,1,27-31,,
10:35.0,A. Jefferson makes free throw 2 of 2,1,28-31,,
10:35.0,T. Young enters the game for K. Seraphin,,27-31,,
10:18.0,,,28-33,2,I. Zubac makes 2-pt shot at rim (assist by T. Black)
10:01.0,A. Jefferson makes 2-pt shot from 12 ft,2,30-33,,
9:50.0,,,30-35,2,L. Williams makes 2-pt shot from 2 ft
9:33.0,A. Jefferson misses 2-pt shot from 15 ft,,30-35,,
9:32.0,,,30-35,,Defensive rebound by T. Black
9:24.0,,,30-35,,L. Williams misses 2-pt shot from 8 ft (block by M. Ellis)
9:22.0,Defensive rebound by T. Young,,30-35,,
9:22.0,,,30-35,,Personal foul by J. Calderon (drawn by A. Brooks)
9:22.0,,,30-35,,J. Randle enters the game for T. Black
9:05.0,Shooting foul by J. Calderon (drawn by A. Brooks),,30-35,,
9:05.0,A. Brooks misses free throw 1 of 3,,30-35,,
9:05.0,Offensive rebound by Team,,30-35,,
9:05.0,A. Brooks misses free throw 2 of 3,,30-35,,
9:05.0,Offensive rebound by Team,,30-35,,
9:05.0,A. Brooks misses free throw 3 of 3,,30-35,,
9:02.0,,,30-35,,Defensive rebound by J. Randle
8:51.0,,,30-35,,Turnover by J. Clarkson (traveling)
8:51.0,Official timeout,,30-35,,
8:40.0,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Ellis),2,32-35,,
8:40.0,Shooting foul by I. Zubac (drawn by A. Jefferson),,32-35,,
8:40.0,A. Jefferson makes free throw 1 of 1,1,33-35,,
8:26.0,,,33-35,,J. Clarkson misses 2-pt shot from 6 ft (block by C. Miles)
8:25.0,Defensive rebound by A. Jefferson,,33-35,,
8:19.0,A. Brooks makes 3-pt shot from 25 ft (assist by T. Young),3,36-35,,
8:18.0,,,36-35,,LA Lakers full timeout
8:18.0,,,36-35,,T. Mozgov enters the game for J. Calderon
8:18.0,,,36-35,,N. Young enters the game for I. Zubac
7:57.0,,,36-35,,J. Clarkson misses 2-pt shot from 16 ft
7:56.0,Defensive rebound by A. Jefferson,,36-35,,
7:39.0,A. Jefferson makes 2-pt shot from 3 ft (assist by M. Ellis),2,38-35,,
7:29.0,,,38-35,,L. Williams misses 2-pt shot from 7 ft
7:25.0,,,38-35,,Offensive rebound by T. Mozgov
7:18.0,,,38-35,,N. Young misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by A. Jefferson,,38-35,,
7:14.0,Turnover by A. Brooks (bad pass; steal by J. Clarkson),,38-35,,
7:04.0,,,38-35,,Turnover by T. Mozgov (lost ball; steal by A. Jefferson)
6:59.0,C. Miles misses 2-pt shot from 3 ft,,38-35,,
6:59.0,,,38-35,,Defensive rebound by T. Mozgov
6:59.0,Personal foul by C. Miles (drawn by T. Mozgov),,38-35,,
6:57.0,M. Turner enters the game for A. Brooks,,38-35,,
6:57.0,P. George enters the game for A. Jefferson,,38-35,,
6:57.0,J. Teague enters the game for C. Miles,,38-35,,
6:57.0,,,38-35,,B. Ingram enters the game for J. Clarkson
6:34.0,,,38-35,,Turnover by N. Young (traveling)
6:34.0,,,38-35,,J. Clarkson enters the game for N. Young
6:20.0,J. Teague misses 3-pt shot from 27 ft,,38-35,,
6:19.0,,,38-35,,Defensive rebound by L. Williams
6:10.0,,,38-37,2,J. Clarkson makes 2-pt shot from 2 ft
6:10.0,,,38-37,,Shooting foul by J. Teague (drawn by J. Clarkson)
6:10.0,,,38-38,1,J. Clarkson makes free throw 1 of 1
5:54.0,Turnover by Team (back court),,38-38,,
5:49.0,,,38-38,,Turnover by L. Williams (bad pass)
5:33.0,M. Turner misses 2-pt shot from 20 ft,,38-38,,
5:31.0,,,38-38,,Defensive rebound by T. Mozgov
5:26.0,,,38-38,,Shooting foul by M. Turner (drawn by J. Randle)
5:26.0,,,38-39,1,J. Randle makes free throw 1 of 2
5:26.0,,,38-40,1,J. Randle makes free throw 2 of 2
5:17.0,P. George misses 3-pt shot from 25 ft,,38-40,,
5:16.0,,,38-40,,Defensive rebound by J. Clarkson
5:09.0,,,38-40,,Turnover by T. Mozgov (lost ball; steal by T. Young)
5:00.0,M. Turner makes 2-pt shot from 1 ft (assist by P. George),2,40-40,,
4:45.0,,,40-40,,J. Randle misses 2-pt shot from 3 ft
4:43.0,Defensive rebound by M. Turner,,40-40,,
4:37.0,G. Robinson enters the game for M. Ellis,,40-40,,
4:30.0,T. Young misses 2-pt shot at rim,,40-40,,
4:28.0,,,40-40,,Defensive rebound by B. Ingram
4:07.0,,,40-40,,J. Clarkson misses 3-pt shot from 25 ft (block by P. George)
4:04.0,Defensive rebound by T. Young,,40-40,,
4:01.0,Shooting foul by T. Mozgov (drawn by M. Turner),,40-40,,
4:01.0,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague),2,42-40,,
4:01.0,M. Turner makes free throw 1 of 1,1,43-40,,
4:01.0,,,42-40,,J. Calderon enters the game for L. Williams
3:42.0,,,43-40,,B. Ingram misses 2-pt shot from 2 ft (block by M. Turner)
3:41.0,Defensive rebound by P. George,,43-40,,
3:37.0,Turnover by M. Turner (lost ball; steal by J. Randle),,43-40,,
3:37.0,,,43-42,2,J. Randle makes 2-pt shot from 1 ft
3:37.0,,,43-42,,Shooting foul by M. Turner (drawn by J. Randle)
3:37.0,,,43-42,,J. Randle misses free throw 1 of 1
3:37.0,A. Jefferson enters the game for M. Turner,,43-42,,
3:35.0,Defensive rebound by T. Young,,43-42,,
3:25.0,P. George makes 2-pt shot from 21 ft (assist by J. Teague),2,45-42,,
3:10.0,,,45-42,,Turnover by J. Randle (bad pass)
3:03.0,,,45-42,,Violation by T. Mozgov (def goaltending)
3:03.0,A. Jefferson makes 2-pt shot from 4 ft,2,47-42,,
2:44.0,,,47-42,,J. Calderon misses 2-pt shot from 19 ft
2:43.0,,,47-42,,Offensive rebound by B. Ingram
2:33.0,,,47-44,2,J. Clarkson makes 2-pt shot from 4 ft
2:32.0,,,47-44,,Shooting block foul by J. Randle (drawn by J. Teague)
2:32.0,Indiana full timeout,,47-44,,
2:32.0,J. Teague makes free throw 1 of 2,1,48-44,,
2:32.0,J. Teague makes free throw 2 of 2,1,49-44,,
2:16.0,,,49-46,2,J. Randle makes 2-pt shot from 3 ft (assist by T. Mozgov)
2:05.0,Turnover by G. Robinson (lost ball),,49-46,,
2:05.0,,,49-46,,L. Williams enters the game for J. Calderon
1:44.0,,,49-49,3,J. Clarkson makes 3-pt shot from 26 ft (assist by B. Ingram)
1:29.0,A. Jefferson misses 2-pt shot from 3 ft (block by L. Williams),,49-49,,
1:29.0,Offensive rebound by Team,,49-49,,
1:23.0,A. Jefferson misses 2-pt shot from 17 ft,,49-49,,
1:22.0,,,49-49,,Defensive rebound by J. Clarkson
1:10.0,,,49-49,,Turnover by T. Mozgov (bad pass; steal by T. Young)
1:10.0,,,49-49,,Personal foul by J. Randle (drawn by A. Jefferson)
1:10.0,A. Jefferson makes free throw 1 of 2,1,50-49,,
1:10.0,A. Jefferson makes free throw 2 of 2,1,51-49,,
0:50.0,,,51-49,,J. Clarkson misses 3-pt shot from 27 ft
0:48.0,,,51-49,,Offensive rebound by B. Ingram
0:42.0,,,51-49,,Turnover by B. Ingram (lost ball; steal by A. Jefferson)
0:37.0,J. Teague makes 2-pt shot from 2 ft (assist by T. Young),2,53-49,,
0:21.0,,,53-49,,Shooting foul by A. Jefferson
0:21.0,,,53-50,1,L. Williams makes free throw 1 of 2
0:21.0,Indiana full timeout,,53-50,,
0:21.0,,,53-50,,Violation by Team (jump ball)
0:21.0,,,53-51,1,L. Williams makes free throw 2 of 2
0:21.0,C. Miles enters the game for T. Young,,53-50,,
0:21.0,,,53-50,,M. World Peace enters the game for T. Mozgov
0:02.0,P. George misses 3-pt shot from 25 ft,,53-51,,
0:00.0,Offensive rebound by Team,,53-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,53-51,,Turnover by J. Randle (bad pass; steal by M. Turner)
11:34.0,M. Turner makes 2-pt shot from 22 ft (assist by J. Teague),2,55-51,,
11:13.0,,,55-51,,J. Calderon misses 3-pt shot from 27 ft
11:12.0,Defensive rebound by J. Teague,,55-51,,
10:55.0,T. Young misses 2-pt shot from 5 ft (block by T. Mozgov),,55-51,,
10:52.0,,,55-51,,Defensive rebound by N. Young
10:41.0,,,55-51,,N. Young misses 3-pt shot from 28 ft
10:39.0,Defensive rebound by G. Robinson,,55-51,,
10:29.0,M. Turner misses 3-pt shot from 26 ft,,55-51,,
10:28.0,Offensive rebound by G. Robinson,,55-51,,
10:25.0,G. Robinson misses 2-pt shot at rim,,55-51,,
10:23.0,,,55-51,,Defensive rebound by B. Ingram
10:05.0,,,55-54,3,B. Ingram makes 3-pt shot from 25 ft (assist by J. Randle)
9:44.0,Shooting foul by J. Randle (drawn by P. George),,55-54,,
9:44.0,P. George makes free throw 1 of 2,1,56-54,,
9:44.0,P. George makes free throw 2 of 2,1,57-54,,
9:21.0,,,57-57,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
9:15.0,,,57-57,,Personal foul by J. Calderon (drawn by J. Teague)
9:08.0,P. George misses 2-pt shot at rim (block by T. Mozgov),,57-57,,
9:03.0,Offensive rebound by P. George,,57-57,,
9:03.0,P. George makes 2-pt shot from 3 ft,2,59-57,,
8:58.0,,,59-59,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Calderon)
8:50.0,Turnover by J. Teague (lost ball; steal by B. Ingram),,59-59,,
8:45.0,,,59-59,,B. Ingram misses 2-pt shot from 2 ft (block by M. Turner)
8:44.0,,,59-59,,Offensive rebound by J. Calderon
8:44.0,,,59-61,2,J. Calderon makes 2-pt shot from 1 ft
8:25.0,Turnover by J. Teague (bad pass; steal by T. Mozgov),,59-61,,
8:22.0,,,59-61,,N. Young misses 3-pt shot from 26 ft
8:18.0,,,59-61,,Offensive rebound by T. Mozgov
8:18.0,,,59-64,3,B. Ingram makes 3-pt shot from 25 ft (assist by T. Mozgov)
8:18.0,Indiana full timeout,,59-64,,
8:18.0,,,59-64,,T. Black enters the game for T. Mozgov
8:05.0,Turnover by P. George (bad pass; steal by B. Ingram),,59-64,,
8:00.0,,,59-66,2,J. Calderon makes 2-pt shot from 1 ft (assist by B. Ingram)
7:40.0,G. Robinson misses 3-pt shot from 24 ft,,59-66,,
7:38.0,,,59-66,,Defensive rebound by B. Ingram
7:24.0,,,59-66,,J. Randle misses 2-pt shot from 11 ft
7:21.0,Defensive rebound by J. Teague,,59-66,,
7:07.0,Turnover by P. George (bad pass; steal by B. Ingram),,59-66,,
6:53.0,,,59-69,3,J. Calderon makes 3-pt shot from 28 ft (assist by N. Young)
6:36.0,J. Teague makes 2-pt shot from 2 ft,2,61-69,,
6:10.0,,,61-69,,B. Ingram misses 3-pt shot from 27 ft
6:09.0,,,61-69,,Offensive rebound by T. Black
5:53.0,,,61-69,,N. Young misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by M. Turner,,61-69,,
5:37.0,M. Turner makes 2-pt shot from 13 ft,2,63-69,,
5:37.0,,,63-69,,LA Lakers full timeout
5:37.0,,,63-69,,J. Clarkson enters the game for N. Young
5:37.0,C. Miles enters the game for G. Robinson,,63-69,,
5:13.0,,,63-69,,J. Clarkson misses 3-pt shot from 26 ft
5:13.0,,,63-69,,Offensive rebound by Team
5:13.0,,,63-69,,Turnover by Team (shot clock)
4:59.0,T. Young makes 3-pt shot from 24 ft (assist by M. Turner),3,66-69,,
4:46.0,,,66-71,2,T. Black makes 2-pt shot from 8 ft (assist by J. Calderon)
4:30.0,Turnover by J. Teague (traveling),,66-71,,
4:18.0,,,66-73,2,B. Ingram makes 2-pt shot from 15 ft
4:04.0,Turnover by J. Teague (bad pass; steal by J. Calderon),,66-73,,
3:45.0,,,66-75,2,J. Randle makes 2-pt shot from 5 ft (assist by J. Calderon)
3:26.0,Shooting foul by J. Randle (drawn by T. Young),,66-75,,
3:26.0,T. Young makes free throw 1 of 2,1,67-75,,
3:26.0,T. Young makes free throw 2 of 2,1,68-75,,
3:26.0,M. Ellis enters the game for J. Teague,,67-75,,
3:26.0,,,67-75,,L. Williams enters the game for J. Calderon
3:26.0,,,67-75,,T. Robinson enters the game for J. Randle
3:03.0,,,68-77,2,J. Clarkson makes 2-pt shot from 1 ft (assist by T. Black)
2:45.0,Turnover by P. George (bad pass; steal by J. Clarkson),,68-77,,
2:31.0,,,68-80,3,L. Williams makes 3-pt shot from 24 ft (assist by T. Robinson)
2:20.0,Indiana full timeout,,68-80,,
2:20.0,,,68-80,,N. Young enters the game for B. Ingram
2:20.0,,,68-80,,T. Mozgov enters the game for T. Black
2:20.0,A. Jefferson enters the game for M. Turner,,68-80,,
2:12.0,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis),3,71-80,,
2:12.0,Shooting foul by T. Robinson (drawn by C. Miles),,71-80,,
2:12.0,C. Miles misses free throw 1 of 1,,71-80,,
2:12.0,K. Seraphin enters the game for T. Young,,71-80,,
2:12.0,,,71-80,,T. Black enters the game for T. Robinson
2:11.0,,,71-80,,Defensive rebound by T. Mozgov
1:53.0,,,71-82,2,T. Black makes 2-pt shot from 2 ft (assist by T. Mozgov)
1:53.0,,,71-82,,Shooting foul by K. Seraphin (drawn by T. Black)
1:53.0,,,71-82,,T. Black misses free throw 1 of 1
1:51.0,,,71-82,,Offensive rebound by N. Young
1:47.0,,,71-82,,N. Young misses 3-pt shot from 28 ft
1:45.0,Defensive rebound by P. George,,71-82,,
1:30.0,A. Jefferson misses 2-pt shot from 5 ft,,71-82,,
1:27.0,,,71-82,,Defensive rebound by N. Young
1:19.0,Personal foul by M. Ellis,,71-82,,
1:19.0,,,71-82,,L. Williams misses free throw 1 of 2
1:19.0,,,71-82,,Offensive rebound by Team
1:19.0,,,71-83,1,L. Williams makes free throw 2 of 2
1:19.0,A. Brooks enters the game for P. George,,71-82,,
1:02.0,C. Miles makes 3-pt shot from 24 ft (assist by K. Seraphin),3,74-83,,
0:53.0,,,74-83,,T. Mozgov misses 2-pt shot at rim
0:49.0,,,74-83,,Offensive rebound by T. Mozgov
0:48.0,,,74-83,,N. Young misses 2-pt shot from 15 ft
0:46.0,Defensive rebound by M. Ellis,,74-83,,
0:41.0,C. Miles misses 3-pt shot from 25 ft,,74-83,,
0:36.0,,,74-83,,Defensive rebound by J. Clarkson
0:33.0,,,74-83,,Turnover by J. Clarkson (lost ball; steal by A. Brooks)
0:32.0,,,74-83,,Personal take foul by L. Williams
0:32.0,M. Ellis misses free throw 1 of 2,,74-83,,
0:32.0,Offensive rebound by Team,,74-83,,
0:32.0,M. Ellis makes free throw 2 of 2,1,75-83,,
0:14.0,,,75-83,,L. Williams misses 2-pt shot from 19 ft
0:11.0,,,75-83,,Offensive rebound by J. Clarkson
0:11.0,,,75-86,3,N. Young makes 3-pt shot from 25 ft (assist by J. Clarkson)
0:03.0,K. Seraphin misses 2-pt shot from 18 ft,,75-86,,
0:02.0,Offensive rebound by A. Brooks,,75-86,,
0:01.0,A. Brooks misses 2-pt shot from 14 ft,,75-86,,
0:00.0,Offensive rebound by Team,,75-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Turner makes 2-pt shot from 15 ft (assist by A. Jefferson),2,77-86,,
11:25.0,Personal block foul by M. Ellis (drawn by T. Mozgov),,77-86,,
11:19.0,,,77-86,,T. Mozgov misses 2-pt shot at rim
11:14.0,Defensive rebound by A. Jefferson,,77-86,,
11:09.0,Turnover by M. Turner (bad pass; steal by T. Mozgov),,77-86,,
11:05.0,,,77-86,,Shooting foul by C. Miles
11:05.0,,,77-87,1,L. Williams makes free throw 1 of 3
11:05.0,,,77-88,1,L. Williams makes free throw 2 of 3
11:05.0,,,77-89,1,L. Williams makes free throw 3 of 3
10:47.0,Turnover by A. Brooks (bad pass; steal by J. Clarkson),,77-89,,
10:42.0,,,77-91,2,J. Clarkson makes 2-pt shot at rim
10:30.0,A. Jefferson misses 2-pt shot from 15 ft,,77-91,,
10:27.0,,,77-91,,Defensive rebound by T. Black
10:20.0,,,77-91,,L. Williams misses 3-pt shot from 28 ft
10:17.0,,,77-91,,Offensive rebound by T. Black
10:17.0,,,77-91,,T. Black misses 2-pt shot at rim
10:13.0,,,77-91,,Offensive rebound by T. Black
10:10.0,,,77-94,3,N. Young makes 3-pt shot from 25 ft (assist by J. Clarkson)
10:10.0,Indiana full timeout,,77-94,,
10:10.0,J. Teague enters the game for A. Brooks,,77-94,,
10:10.0,P. George enters the game for C. Miles,,77-94,,
9:59.0,Turnover by M. Turner (bad pass; steal by T. Black),,77-94,,
9:44.0,,,77-94,,T. Mozgov misses 2-pt shot from 21 ft
9:43.0,Defensive rebound by P. George,,77-94,,
9:33.0,A. Jefferson misses 2-pt shot from 6 ft,,77-94,,
9:33.0,Offensive rebound by Team,,77-94,,
9:25.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,80-94,,
9:13.0,,,80-94,,Turnover by L. Williams (lost ball; steal by M. Ellis)
9:07.0,,,80-94,,Personal foul by N. Young (drawn by P. George)
8:49.0,M. Turner misses 3-pt shot from 28 ft,,80-94,,
8:48.0,Offensive rebound by M. Ellis,,80-94,,
8:41.0,A. Jefferson misses 2-pt shot from 3 ft,,80-94,,
8:38.0,,,80-94,,Defensive rebound by T. Black
8:31.0,,,80-97,3,L. Williams makes 3-pt shot from 25 ft
8:05.0,J. Teague misses 2-pt shot from 6 ft,,80-97,,
8:03.0,,,80-97,,Defensive rebound by T. Mozgov
7:56.0,,,80-99,2,L. Williams makes 2-pt shot from 2 ft
7:41.0,Shooting foul by N. Young (drawn by J. Teague),,80-99,,
7:41.0,J. Teague makes free throw 1 of 2,1,81-99,,
7:41.0,J. Teague makes free throw 2 of 2,1,82-99,,
7:41.0,T. Young enters the game for A. Jefferson,,81-99,,
7:41.0,,,81-99,,J. Randle enters the game for T. Mozgov
7:26.0,,,82-101,2,T. Black makes 2-pt shot from 1 ft (assist by L. Williams)
7:16.0,T. Young misses 3-pt shot from 24 ft,,82-101,,
7:15.0,,,82-101,,Defensive rebound by L. Williams
7:13.0,,,82-101,,Turnover by L. Williams (bad pass; steal by T. Young)
6:58.0,M. Ellis misses 2-pt shot from 19 ft,,82-101,,
6:54.0,Offensive rebound by T. Young,,82-101,,
6:49.0,Shooting foul by J. Randle (drawn by M. Turner),,82-101,,
6:49.0,M. Turner makes free throw 1 of 2,1,83-101,,
6:49.0,M. Turner makes free throw 2 of 2,1,84-101,,
6:49.0,,,83-101,,B. Ingram enters the game for N. Young
6:34.0,,,84-101,,Turnover by J. Clarkson (bad pass; steal by P. George)
6:21.0,P. George makes 2-pt shot from 17 ft (assist by J. Teague),2,86-101,,
5:59.0,,,86-103,2,T. Black makes 2-pt shot from 3 ft (assist by L. Williams)
5:46.0,M. Turner misses 2-pt shot from 2 ft,,86-103,,
5:44.0,Offensive rebound by T. Young,,86-103,,
5:40.0,T. Young makes 2-pt shot from 4 ft,2,88-103,,
5:13.0,,,88-106,3,L. Williams makes 3-pt shot from 27 ft
4:55.0,J. Teague misses 2-pt shot from 4 ft,,88-106,,
4:55.0,,,88-106,,Defensive rebound by T. Black
4:55.0,,,88-106,,LA Lakers full timeout
4:40.0,,,88-106,,L. Williams misses 3-pt shot from 28 ft
