time,Minnesota,pts.away,score,pts.home,Miami
6:51.0,,,7-14,,Defensive rebound by H. Whiteside
6:41.0,,,7-14,,Turnover by D. Waiters (lost ball; steal by B. Rush)
6:34.0,R. Rubio misses 2-pt shot from 8 ft,,7-14,,
6:33.0,,,7-14,,Defensive rebound by D. Waiters
6:29.0,,,7-14,,G. Dragic misses 2-pt shot from 2 ft (block by G. Dieng)
6:28.0,Defensive rebound by B. Rush,,7-14,,
6:21.0,A. Wiggins makes 3-pt shot from 23 ft (assist by B. Rush),3,10-14,,
6:08.0,,,10-16,2,D. Waiters makes 2-pt shot from 2 ft
5:41.0,A. Wiggins makes 2-pt shot from 16 ft,2,12-16,,
5:32.0,,,12-16,,Miami full timeout
5:24.0,,,12-16,,G. Dragic misses 2-pt shot from 5 ft
5:22.0,Defensive rebound by K. Towns,,12-16,,
5:14.0,Shooting foul by R. McGruder (drawn by B. Rush),,12-16,,
5:14.0,B. Rush makes free throw 1 of 2,1,13-16,,
5:14.0,B. Rush makes free throw 2 of 2,1,14-16,,
5:05.0,,,14-19,3,R. McGruder makes 3-pt shot from 23 ft (assist by D. Waiters)
4:42.0,K. Towns misses 2-pt shot from 7 ft,,14-19,,
4:41.0,,,14-19,,Defensive rebound by H. Whiteside
4:31.0,,,14-22,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
4:12.0,Turnover by A. Wiggins (lost ball; steal by R. McGruder),,14-22,,
4:08.0,,,14-22,,Turnover by D. Waiters (lost ball)
4:08.0,C. Aldrich enters the game for K. Towns,,14-22,,
4:08.0,,,14-22,,T. Johnson enters the game for G. Dragic
3:44.0,A. Wiggins misses 2-pt shot from 17 ft,,14-22,,
3:44.0,,,14-22,,Defensive rebound by L. Babbitt
3:34.0,,,14-22,,Offensive foul by L. Babbitt
3:34.0,,,14-22,,Turnover by L. Babbitt (offensive foul)
3:16.0,G. Dieng misses 2-pt shot from 16 ft,,14-22,,
3:15.0,,,14-22,,Defensive rebound by T. Johnson
3:08.0,,,14-22,,T. Johnson misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by B. Rush,,14-22,,
2:48.0,C. Aldrich makes 2-pt shot from 1 ft (assist by R. Rubio),2,16-22,,
2:48.0,Shooting foul by H. Whiteside (drawn by C. Aldrich),,16-22,,
2:48.0,Minnesota full timeout,,16-22,,
2:48.0,C. Aldrich makes free throw 1 of 1,1,17-22,,
2:48.0,S. Muhammad enters the game for G. Dieng,,16-22,,
2:48.0,,,16-22,,J. Johnson enters the game for R. McGruder
2:48.0,,,16-22,,J. Richardson enters the game for L. Babbitt
2:37.0,,,17-24,2,D. Waiters makes 2-pt shot at rim (assist by J. Johnson)
2:19.0,A. Wiggins makes 2-pt shot from 20 ft,2,19-24,,
1:59.0,,,19-26,2,J. Johnson makes 2-pt shot from 22 ft
1:48.0,R. Rubio misses 2-pt shot from 17 ft,,19-26,,
1:47.0,,,19-26,,Defensive rebound by H. Whiteside
1:37.0,,,19-26,,H. Whiteside misses 2-pt shot from 19 ft
1:36.0,Defensive rebound by S. Muhammad,,19-26,,
1:24.0,A. Wiggins makes 2-pt shot from 1 ft,2,21-26,,
1:08.0,,,21-26,,Turnover by J. Johnson (lost ball; steal by A. Wiggins)
1:05.0,Turnover by S. Muhammad (bad pass),,21-26,,
1:05.0,,,21-26,,W. Reed enters the game for H. Whiteside
1:05.0,T. Jones enters the game for B. Rush,,21-26,,
1:05.0,K. Dunn enters the game for R. Rubio,,21-26,,
1:05.0,,,21-26,,W. Ellington enters the game for D. Waiters
0:53.0,,,21-26,,Shooting foul by S. Muhammad (drawn by J. Richardson)
0:53.0,,,21-27,1,J. Richardson makes free throw 1 of 2
0:53.0,,,21-27,,J. Richardson misses free throw 2 of 2
0:53.0,Defensive rebound by C. Aldrich,,21-27,,
0:41.0,S. Muhammad misses 3-pt shot from 27 ft,,21-27,,
0:40.0,,,21-27,,Defensive rebound by W. Reed
0:23.0,,,21-27,,W. Ellington misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by A. Wiggins,,21-27,,
0:03.0,A. Wiggins makes 2-pt shot from 10 ft,2,23-27,,
0:01.0,,,23-27,,J. Johnson misses 3-pt shot from 43 ft
0:00.0,,,23-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Jones makes 2-pt shot from 10 ft,2,25-27,,
11:28.0,,,25-29,2,T. Johnson makes 2-pt shot at rim (assist by J. Richardson)
11:06.0,S. Muhammad makes 2-pt shot from 5 ft,2,27-29,,
10:49.0,,,27-31,2,J. Johnson makes 2-pt shot from 16 ft
10:32.0,T. Jones makes 2-pt shot from 7 ft,2,29-31,,
10:19.0,,,29-31,,W. Ellington misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by K. Towns,,29-31,,
10:06.0,K. Dunn misses 2-pt shot from 17 ft,,29-31,,
10:05.0,,,29-31,,Defensive rebound by J. Johnson
9:58.0,Personal foul by K. Towns (drawn by T. Johnson),,29-31,,
9:50.0,,,29-33,2,W. Ellington makes 2-pt shot from 19 ft
9:23.0,B. Rush misses 3-pt shot from 25 ft,,29-33,,
9:22.0,,,29-33,,Defensive rebound by W. Ellington
9:12.0,,,29-33,,T. Johnson misses 2-pt shot from 2 ft
9:11.0,,,29-33,,Offensive rebound by W. Reed
9:10.0,,,29-35,2,W. Reed makes 2-pt shot at rim
8:51.0,S. Muhammad misses 3-pt shot from 25 ft,,29-35,,
8:50.0,,,29-35,,Defensive rebound by W. Ellington
8:38.0,,,29-37,2,J. Johnson makes 2-pt shot from 8 ft
8:31.0,Minnesota full timeout,,29-37,,
8:20.0,Shooting foul by W. Reed (drawn by K. Towns),,29-37,,
8:20.0,K. Towns makes free throw 1 of 2,1,30-37,,
8:20.0,K. Towns makes free throw 2 of 2,1,31-37,,
8:10.0,Violation by K. Dunn (kicked ball),,31-37,,
8:00.0,,,31-40,3,W. Ellington makes 3-pt shot from 24 ft (assist by T. Johnson)
7:49.0,T. Jones misses 2-pt shot from 9 ft (block by T. Johnson),,31-40,,
7:48.0,,,31-40,,Defensive rebound by J. Richardson
7:40.0,,,31-42,2,J. Johnson makes 2-pt shot from 2 ft (assist by W. Ellington)
7:32.0,Minnesota full timeout,,31-42,,
7:32.0,G. Dieng enters the game for B. Rush,,31-42,,
7:32.0,R. Rubio enters the game for K. Dunn,,31-42,,
7:32.0,A. Wiggins enters the game for T. Jones,,31-42,,
7:23.0,A. Wiggins misses 2-pt shot from 6 ft (block by J. Johnson),,31-42,,
7:22.0,,,31-42,,Defensive rebound by J. Richardson
7:16.0,,,31-44,2,W. Reed makes 2-pt shot at rim (assist by J. Johnson)
6:49.0,A. Wiggins misses 2-pt shot from 19 ft,,31-44,,
6:48.0,Offensive rebound by K. Towns,,31-44,,
6:43.0,K. Towns makes 2-pt shot at rim,2,33-44,,
6:28.0,,,33-46,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson)
6:11.0,K. Towns makes 3-pt shot from 25 ft (assist by S. Muhammad),3,36-46,,
5:55.0,,,36-46,,J. Richardson misses 2-pt shot from 22 ft
5:54.0,Defensive rebound by K. Towns,,36-46,,
5:34.0,G. Dieng misses 2-pt shot from 15 ft,,36-46,,
5:33.0,,,36-46,,Defensive rebound by J. Johnson
5:30.0,Personal foul by R. Rubio (drawn by J. Richardson),,36-46,,
5:30.0,Official timeout,,36-46,,
5:30.0,,,36-46,,L. Babbitt enters the game for T. Johnson
5:30.0,,,36-46,,G. Dragic enters the game for J. Johnson
5:30.0,,,36-46,,H. Whiteside enters the game for W. Reed
5:21.0,,,36-46,,W. Ellington misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by K. Towns,,36-46,,
5:07.0,R. Rubio makes 2-pt shot from 19 ft,2,38-46,,
4:48.0,,,38-46,,W. Ellington misses 3-pt shot from 25 ft
4:47.0,,,38-46,,Offensive rebound by G. Dragic
4:29.0,,,38-48,2,G. Dragic makes 2-pt shot from 4 ft
4:10.0,R. Rubio makes 2-pt shot from 2 ft,2,40-48,,
3:57.0,Personal foul by S. Muhammad (drawn by J. Richardson),,40-48,,
3:57.0,,,40-48,,D. Waiters enters the game for W. Ellington
3:44.0,,,40-51,3,L. Babbitt makes 3-pt shot from 23 ft (assist by G. Dragic)
3:24.0,K. Towns makes 2-pt shot at rim (assist by G. Dieng),2,42-51,,
3:07.0,,,42-51,,Shooting foul by A. Wiggins (drawn by D. Waiters)
3:07.0,,,42-51,,Miami full timeout
3:07.0,,,42-51,,W. Reed misses free throw 1 of 2
3:07.0,,,42-51,,Offensive rebound by Team
3:07.0,,,42-52,1,W. Reed makes free throw 2 of 2
3:07.0,,,42-51,,W. Reed enters the game for D. Waiters
3:06.0,,,42-52,,Personal foul by J. Richardson (drawn by R. Rubio)
3:06.0,,,42-52,,T. Johnson enters the game for W. Reed
2:53.0,R. Rubio makes 2-pt shot from 13 ft (assist by S. Muhammad),2,44-52,,
2:53.0,Shooting foul by G. Dragic (drawn by R. Rubio),,44-52,,
2:53.0,R. Rubio makes free throw 1 of 1,1,45-52,,
2:30.0,,,45-54,2,T. Johnson makes 2-pt shot from 1 ft
2:11.0,A. Wiggins misses 2-pt shot from 6 ft (block by J. Richardson),,45-54,,
2:10.0,,,45-54,,Defensive rebound by H. Whiteside
2:00.0,,,45-54,,J. Johnson enters the game for L. Babbitt
1:48.0,,,45-54,,Turnover by T. Johnson (lost ball; steal by R. Rubio)
1:42.0,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio),2,47-54,,
1:31.0,,,47-54,,Shooting foul by R. Rubio (drawn by G. Dragic)
1:31.0,,,47-55,1,G. Dragic makes free throw 1 of 3
1:31.0,,,47-56,1,G. Dragic makes free throw 2 of 3
1:31.0,,,47-57,1,G. Dragic makes free throw 3 of 3
1:31.0,T. Jones enters the game for R. Rubio,,47-56,,
1:20.0,S. Muhammad makes 2-pt shot at rim,2,49-57,,
1:10.0,,,49-59,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
0:52.0,K. Towns misses 3-pt shot from 24 ft,,49-59,,
0:51.0,,,49-59,,Defensive rebound by H. Whiteside
0:36.0,,,49-61,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
0:19.0,A. Wiggins misses 2-pt shot from 17 ft,,49-61,,
0:18.0,,,49-61,,Defensive rebound by G. Dragic
0:01.0,,,49-64,3,J. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic)
0:00.0,T. Jones misses 3-pt shot from 45 ft,,49-64,,
0:00.0,Offensive rebound by Team,,49-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Towns misses 2-pt shot from 5 ft,,49-64,,
11:45.0,Offensive rebound by K. Towns,,49-64,,
11:42.0,K. Towns makes 2-pt shot from 6 ft,2,51-64,,
11:31.0,,,51-64,,Turnover by G. Dragic (offensive foul)
11:31.0,,,51-64,,Offensive foul by G. Dragic
11:17.0,A. Wiggins makes 2-pt shot from 2 ft,2,53-64,,
10:55.0,,,53-66,2,H. Whiteside makes 2-pt shot from 17 ft
10:39.0,K. Towns misses 2-pt shot from 10 ft,,53-66,,
10:38.0,,,53-66,,Defensive rebound by R. McGruder
10:31.0,,,53-66,,L. Babbitt misses 2-pt shot from 2 ft (block by G. Dieng)
10:30.0,Defensive rebound by B. Rush,,53-66,,
10:22.0,R. Rubio misses 2-pt shot from 1 ft,,53-66,,
10:21.0,Offensive rebound by K. Towns,,53-66,,
10:19.0,K. Towns makes 2-pt shot at rim,2,55-66,,
9:55.0,,,55-66,,R. McGruder misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by G. Dieng,,55-66,,
9:35.0,R. Rubio makes 2-pt shot from 1 ft,2,57-66,,
9:10.0,,,57-66,,Turnover by H. Whiteside (3 sec)
8:49.0,R. Rubio makes 2-pt shot from 22 ft (assist by G. Dieng),2,59-66,,
8:36.0,,,59-66,,G. Dragic misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by G. Dieng,,59-66,,
8:28.0,Offensive foul by K. Towns,,59-66,,
8:28.0,Turnover by K. Towns (offensive foul),,59-66,,
8:13.0,,,59-68,2,H. Whiteside makes 2-pt shot from 5 ft (assist by G. Dragic)
8:01.0,Offensive foul by K. Towns,,59-68,,
8:01.0,Turnover by K. Towns (offensive foul),,59-68,,
7:47.0,,,59-68,,W. Ellington misses 3-pt shot from 25 ft
7:46.0,,,59-68,,Offensive rebound by R. McGruder
7:41.0,,,59-70,2,W. Ellington makes 2-pt shot from 2 ft (assist by G. Dragic)
7:26.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,61-70,,
6:58.0,,,61-70,,R. McGruder misses 2-pt shot from 7 ft
6:57.0,Defensive rebound by A. Wiggins,,61-70,,
6:51.0,A. Wiggins makes 2-pt shot from 2 ft,2,63-70,,
6:39.0,,,63-70,,Turnover by L. Babbitt (lost ball)
6:25.0,K. Towns makes 2-pt shot from 8 ft (assist by R. Rubio),2,65-70,,
6:25.0,,,65-70,,Miami full timeout
6:25.0,,,65-70,,J. Richardson enters the game for L. Babbitt
6:25.0,,,65-70,,T. Johnson enters the game for G. Dragic
6:25.0,,,65-70,,J. Johnson enters the game for W. Ellington
6:11.0,,,65-70,,Turnover by T. Johnson (traveling)
5:59.0,R. Rubio makes 2-pt shot from 20 ft,2,67-70,,
5:46.0,,,67-70,,J. Johnson misses 2-pt shot from 18 ft
5:45.0,,,67-70,,Offensive rebound by Team
5:45.0,Loose ball foul by G. Dieng (drawn by H. Whiteside),,67-70,,
5:32.0,,,67-70,,R. McGruder misses 3-pt shot from 24 ft
5:31.0,,,67-70,,Offensive rebound by H. Whiteside
5:29.0,,,67-72,2,H. Whiteside makes 2-pt shot at rim
5:11.0,Shooting foul by H. Whiteside (drawn by A. Wiggins),,67-72,,
5:11.0,A. Wiggins makes free throw 1 of 2,1,68-72,,
5:11.0,A. Wiggins makes free throw 2 of 2,1,69-72,,
4:57.0,,,69-72,,J. Richardson misses 2-pt shot from 19 ft (block by B. Rush)
4:55.0,,,69-72,,Offensive rebound by Team
4:49.0,,,69-74,2,T. Johnson makes 2-pt shot from 21 ft (assist by J. Richardson)
4:28.0,K. Towns makes 2-pt shot from 15 ft,2,71-74,,
4:11.0,,,71-74,,Shooting foul by G. Dieng (drawn by T. Johnson)
4:11.0,,,71-76,2,T. Johnson makes 2-pt shot at rim (assist by J. Richardson)
4:11.0,,,71-77,1,T. Johnson makes free throw 1 of 1
4:11.0,C. Aldrich enters the game for K. Towns,,71-74,,
4:07.0,A. Wiggins misses 2-pt shot from 9 ft (block by J. Richardson),,71-77,,
4:06.0,,,71-77,,Defensive rebound by J. Richardson
4:00.0,,,71-77,,J. Richardson misses 2-pt shot from 10 ft
3:59.0,Defensive rebound by G. Dieng,,71-77,,
3:48.0,,,71-77,,Personal foul by H. Whiteside (drawn by G. Dieng)
3:48.0,S. Muhammad enters the game for G. Dieng,,71-77,,
3:42.0,Offensive foul by R. Rubio,,71-77,,
3:42.0,Turnover by R. Rubio (offensive foul),,71-77,,
3:42.0,K. Dunn enters the game for R. Rubio,,71-77,,
3:25.0,,,71-77,,R. McGruder misses 3-pt shot from 23 ft
3:23.0,,,71-77,,Offensive rebound by T. Johnson
3:22.0,,,71-79,2,T. Johnson makes 2-pt shot from 1 ft
3:08.0,A. Wiggins misses 3-pt shot from 25 ft,,71-79,,
3:07.0,,,71-79,,Defensive rebound by H. Whiteside
2:52.0,,,71-79,,Turnover by T. Johnson (lost ball)
2:52.0,Minnesota full timeout,,71-79,,
2:52.0,T. Jones enters the game for B. Rush,,71-79,,
2:52.0,,,71-79,,G. Dragic enters the game for R. McGruder
2:52.0,,,71-79,,W. Reed enters the game for H. Whiteside
2:43.0,Offensive foul by C. Aldrich,,71-79,,
2:43.0,Turnover by C. Aldrich (offensive foul),,71-79,,
2:24.0,,,71-79,,Shooting foul by A. Wiggins (drawn by W. Reed)
2:24.0,,,71-80,1,W. Reed makes free throw 1 of 2
2:24.0,,,71-80,,W. Reed misses free throw 2 of 2
2:23.0,Defensive rebound by C. Aldrich,,71-80,,
2:16.0,A. Wiggins makes 2-pt shot from 2 ft,2,73-80,,
2:02.0,,,73-83,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson)
1:48.0,A. Wiggins misses 2-pt shot from 5 ft,,73-83,,
1:47.0,Offensive rebound by A. Wiggins,,73-83,,
1:46.0,A. Wiggins makes 2-pt shot from 1 ft,2,75-83,,
1:30.0,,,75-86,3,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic)
1:17.0,Shooting foul by W. Reed (drawn by A. Wiggins),,75-86,,
1:17.0,A. Wiggins makes free throw 1 of 2,1,76-86,,
1:17.0,A. Wiggins makes free throw 2 of 2,1,77-86,,
1:13.0,,,77-86,,Turnover by G. Dragic (lost ball; steal by K. Dunn)
1:10.0,K. Dunn makes 2-pt shot at rim,2,79-86,,
0:50.0,Personal foul by T. Jones (drawn by J. Richardson),,79-86,,
0:45.0,,,79-88,2,T. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic)
0:32.0,A. Wiggins misses 2-pt shot from 13 ft (block by J. Richardson),,79-88,,
0:31.0,,,79-88,,Defensive rebound by W. Reed
0:23.0,,,79-88,,G. Dragic misses 2-pt shot from 13 ft
0:21.0,,,79-88,,Offensive rebound by W. Reed
0:17.0,,,79-90,2,J. Richardson makes 2-pt shot from 5 ft (assist by T. Johnson)
0:03.0,T. Jones makes 2-pt shot from 11 ft,2,81-90,,
0:00.0,,,81-90,,G. Dragic misses 3-pt shot from 30 ft
0:00.0,,,81-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,81-90,,Turnover by G. Dragic (lost ball; steal by K. Dunn)
11:40.0,Turnover by K. Dunn (lost ball; steal by J. Johnson),,81-90,,
11:35.0,,,81-90,,J. Richardson misses 2-pt shot from 2 ft
11:34.0,,,81-90,,Offensive rebound by J. Richardson
11:29.0,,,81-90,,J. Johnson misses 2-pt shot from 1 ft (block by B. Rush)
11:28.0,,,81-90,,Offensive rebound by Team
11:25.0,,,81-90,,Shooting foul by K. Dunn (drawn by J. Richardson)
11:25.0,,,81-91,1,J. Richardson makes free throw 1 of 2
11:25.0,,,81-92,1,J. Richardson makes free throw 2 of 2
11:05.0,Shooting foul by T. Johnson (drawn by K. Towns),,81-92,,
11:05.0,K. Towns makes free throw 1 of 2,1,82-92,,
11:05.0,K. Towns makes free throw 2 of 2,1,83-92,,
10:54.0,,,83-94,2,J. Johnson makes 2-pt shot at rim
10:40.0,S. Muhammad makes 2-pt shot from 2 ft,2,85-94,,
10:40.0,Shooting foul by J. Richardson (drawn by S. Muhammad),,85-94,,
10:40.0,S. Muhammad makes free throw 1 of 1,1,86-94,,
10:40.0,,,85-94,,W. Ellington enters the game for J. Richardson
10:25.0,,,86-96,2,J. Johnson makes 2-pt shot from 8 ft
10:05.0,K. Towns makes 2-pt shot from 8 ft,2,88-96,,
9:46.0,,,88-96,,J. Johnson misses 2-pt shot from 12 ft
9:45.0,Defensive rebound by K. Dunn,,88-96,,
9:39.0,S. Muhammad makes 2-pt shot at rim (assist by B. Rush),2,90-96,,
9:13.0,,,90-98,2,G. Dragic makes 2-pt shot from 10 ft
8:57.0,Shooting foul by W. Reed (drawn by K. Towns),,90-98,,
8:57.0,Official timeout,,90-98,,
8:57.0,K. Towns makes free throw 1 of 2,1,91-98,,
8:57.0,K. Towns makes free throw 2 of 2,1,92-98,,
8:57.0,R. Rubio enters the game for T. Jones,,90-98,,
8:57.0,,,90-98,,J. Richardson enters the game for J. Johnson
8:41.0,,,92-98,,T. Johnson misses 3-pt shot from 25 ft
8:40.0,,,92-98,,Offensive rebound by Team
8:40.0,,,92-98,,H. Whiteside enters the game for W. Reed
8:30.0,,,92-100,2,G. Dragic makes 2-pt shot from 11 ft
8:14.0,R. Rubio makes 2-pt shot from 16 ft,2,94-100,,
7:55.0,,,94-100,,Shooting foul by K. Dunn (drawn by G. Dragic)
7:55.0,,,94-100,,G. Dragic misses free throw 1 of 2
7:55.0,,,94-100,,Offensive rebound by Team
7:55.0,,,94-101,1,G. Dragic makes free throw 2 of 2
7:55.0,A. Wiggins enters the game for K. Dunn,,94-100,,
7:51.0,Shooting foul by J. Richardson (drawn by R. Rubio),,94-101,,
7:51.0,R. Rubio makes free throw 1 of 2,1,95-101,,
7:51.0,R. Rubio makes free throw 2 of 2,1,96-101,,
7:51.0,,,95-101,,J. Johnson enters the game for W. Ellington
7:39.0,,,96-103,2,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson)
7:20.0,R. Rubio makes 2-pt shot from 1 ft,2,98-103,,
7:06.0,Personal foul by S. Muhammad (drawn by H. Whiteside),,98-103,,
6:54.0,,,98-106,3,G. Dragic makes 3-pt shot from 25 ft
6:38.0,Shooting foul by J. Johnson (drawn by K. Towns),,98-106,,
6:38.0,K. Towns makes free throw 1 of 2,1,99-106,,
6:38.0,K. Towns makes free throw 2 of 2,1,100-106,,
6:38.0,G. Dieng enters the game for S. Muhammad,,99-106,,
6:27.0,,,100-106,,Shooting foul by G. Dieng (drawn by H. Whiteside)
6:27.0,,,100-107,1,H. Whiteside makes free throw 1 of 2
6:27.0,,,100-108,1,H. Whiteside makes free throw 2 of 2
6:16.0,R. Rubio misses 2-pt shot from 17 ft,,100-108,,
6:15.0,Offensive rebound by K. Towns,,100-108,,
6:11.0,Turnover by K. Towns (bad pass; steal by G. Dragic),,100-108,,
6:01.0,,,100-110,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
6:00.0,Minnesota full timeout,,100-110,,
5:49.0,G. Dieng misses 2-pt shot from 1 ft (block by T. Johnson),,100-110,,
5:48.0,,,100-110,,Defensive rebound by Team
5:34.0,,,100-110,,Turnover by J. Johnson (traveling)
5:19.0,A. Wiggins misses 2-pt shot from 3 ft (block by H. Whiteside),,100-110,,
5:18.0,,,100-110,,Defensive rebound by H. Whiteside
5:01.0,,,100-112,2,H. Whiteside makes 2-pt shot at rim
5:01.0,,,100-112,,Shooting foul by G. Dieng (drawn by H. Whiteside)
5:01.0,,,100-113,1,H. Whiteside makes free throw 1 of 1
4:46.0,Turnover by A. Wiggins (bad pass; steal by G. Dragic),,100-113,,
4:43.0,,,100-113,,Shooting foul by R. Rubio (drawn by T. Johnson)
4:43.0,,,100-114,1,T. Johnson makes free throw 1 of 2
4:43.0,,,100-115,1,T. Johnson makes free throw 2 of 2
4:34.0,Turnover by R. Rubio (bad pass; steal by J. Johnson),,100-115,,
4:28.0,,,100-115,,Turnover by T. Johnson (bad pass; steal by R. Rubio)
4:24.0,G. Dieng misses 2-pt shot at rim (block by H. Whiteside),,100-115,,
4:22.0,Offensive rebound by K. Towns,,100-115,,
4:20.0,K. Towns misses 2-pt shot from 1 ft,,100-115,,
4:18.0,,,100-115,,Defensive rebound by G. Dragic
4:01.0,,,100-115,,T. Johnson misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by Team,,100-115,,
4:01.0,S. Muhammad enters the game for G. Dieng,,100-115,,
3:45.0,K. Towns misses 3-pt shot from 24 ft,,100-115,,
3:44.0,,,100-115,,Defensive rebound by H. Whiteside
3:27.0,,,100-117,2,G. Dragic makes 2-pt shot from 12 ft
3:01.0,A. Wiggins misses 2-pt shot from 18 ft,,100-117,,
3:00.0,Offensive rebound by K. Towns,,100-117,,
2:56.0,S. Muhammad makes 2-pt shot from 9 ft (assist by K. Towns),2,102-117,,
2:34.0,,,102-117,,G. Dragic misses 2-pt shot from 14 ft
2:33.0,Defensive rebound by B. Rush,,102-117,,
2:25.0,S. Muhammad misses 3-pt shot from 26 ft,,102-117,,
2:24.0,,,102-117,,Defensive rebound by G. Dragic
2:21.0,,,102-117,,Miami full timeout
2:06.0,,,102-117,,G. Dragic misses 2-pt shot from 6 ft (block by A. Wiggins)
2:05.0,,,102-117,,Offensive rebound by H. Whiteside
2:04.0,,,102-117,,Turnover by H. Whiteside (lost ball)
1:54.0,R. Rubio misses 2-pt shot from 5 ft (block by H. Whiteside),,102-117,,
1:53.0,,,102-117,,Defensive rebound by G. Dragic
1:44.0,,,102-119,2,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson)
1:36.0,Turnover by R. Rubio (bad pass; steal by G. Dragic),,102-119,,
1:19.0,,,102-121,2,J. Johnson makes 2-pt shot from 1 ft
1:19.0,Minnesota full timeout,,102-121,,
1:19.0,,,102-121,,R. McGruder enters the game for H. Whiteside
1:19.0,,,102-121,,W. Reed enters the game for G. Dragic
1:12.0,Shooting foul by W. Reed (drawn by A. Wiggins),,102-121,,
1:12.0,A. Wiggins misses free throw 1 of 2,,102-121,,
1:12.0,Offensive rebound by Team,,102-121,,
1:12.0,A. Wiggins makes free throw 2 of 2,1,103-121,,
1:12.0,,,102-121,,O. White enters the game for J. Johnson
1:12.0,C. Aldrich enters the game for K. Towns,,102-121,,
