time,Toronto,pts.away,score,pts.home,Sacramento
5:48.0,,,18-15,2,R. Gay makes 2-pt shot at rim
5:33.0,P. Siakam makes 2-pt shot from 10 ft,2,20-15,,
5:16.0,,,20-17,2,D. Cousins makes 2-pt shot from 21 ft (assist by D. Collison)
5:02.0,J. Valanciunas misses 2-pt shot from 17 ft,,20-17,,
5:01.0,,,20-17,,Defensive rebound by D. Cousins
4:53.0,,,20-19,2,K. Koufos makes 2-pt shot from 1 ft (assist by D. Collison)
4:48.0,Toronto full timeout,,20-19,,
4:48.0,,,20-19,,A. Afflalo enters the game for M. Barnes
4:42.0,K. Lowry misses 2-pt shot from 8 ft (block by K. Koufos),,20-19,,
4:41.0,,,20-19,,Defensive rebound by D. Cousins
4:33.0,,,20-22,3,A. Afflalo makes 3-pt shot from 24 ft (assist by R. Gay)
4:07.0,Shooting foul by D. Cousins (drawn by K. Lowry),,20-22,,
4:07.0,K. Lowry makes free throw 1 of 2,1,21-22,,
4:07.0,K. Lowry makes free throw 2 of 2,1,22-22,,
3:59.0,Personal foul by D. Carroll (drawn by R. Gay),,22-22,,
3:46.0,P. Patterson enters the game for P. Siakam,,22-22,,
3:42.0,,,22-25,3,D. Cousins makes 3-pt shot from 26 ft (assist by R. Gay)
3:26.0,J. Valanciunas makes 2-pt shot from 5 ft,2,24-25,,
3:04.0,,,24-25,,A. Afflalo misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by J. Valanciunas,,24-25,,
2:53.0,Turnover by K. Lowry (step out of bounds),,24-25,,
2:53.0,,,24-25,,Sacramento full timeout
2:53.0,C. Joseph enters the game for K. Lowry,,24-25,,
2:53.0,,,24-25,,A. Tolliver enters the game for D. Cousins
2:53.0,,,24-25,,T. Lawson enters the game for D. Collison
2:37.0,,,24-27,2,A. Afflalo makes 2-pt shot from 19 ft (assist by T. Lawson)
2:15.0,J. Valanciunas makes 2-pt shot from 6 ft,2,26-27,,
2:04.0,,,26-27,,Shooting foul by D. Carroll (drawn by R. Gay)
2:04.0,,,26-29,2,R. Gay makes 2-pt shot from 8 ft (assist by T. Lawson)
2:04.0,,,26-30,1,R. Gay makes free throw 1 of 1
2:04.0,L. Nogueira enters the game for J. Valanciunas,,26-29,,
2:04.0,T. Ross enters the game for D. Carroll,,26-29,,
1:53.0,,,26-30,,Personal foul by A. Tolliver (drawn by D. DeRozan)
1:39.0,C. Joseph misses 2-pt shot from 9 ft,,26-30,,
1:38.0,,,26-30,,Defensive rebound by R. Gay
1:33.0,,,26-30,,Shooting foul by T. Ross (drawn by R. Gay)
1:33.0,,,26-31,1,R. Gay makes free throw 1 of 2
1:33.0,,,26-32,1,R. Gay makes free throw 2 of 2
1:10.0,Turnover by C. Joseph (bad pass),,26-32,,
1:01.0,,,26-32,,T. Lawson misses 2-pt shot from 4 ft (block by L. Nogueira)
1:00.0,Defensive rebound by D. DeRozan,,26-32,,
0:52.0,L. Nogueira misses 2-pt shot at rim (block by R. Gay),,26-32,,
0:52.0,,,26-32,,Defensive rebound by A. Tolliver
0:45.0,,,26-34,2,K. Koufos makes 2-pt shot from 4 ft (assist by R. Gay)
0:45.0,,,26-34,,Shooting foul by C. Joseph (drawn by K. Koufos)
0:45.0,,,26-34,,K. Koufos misses free throw 1 of 1
0:43.0,Defensive rebound by T. Ross,,26-34,,
0:30.0,C. Joseph misses 2-pt shot from 4 ft,,26-34,,
0:28.0,,,26-34,,Defensive rebound by T. Lawson
0:24.0,,,26-34,,Shooting foul by T. Ross (drawn by A. Afflalo)
0:24.0,,,26-35,1,A. Afflalo makes free throw 1 of 2
0:24.0,,,26-36,1,A. Afflalo makes free throw 2 of 2
0:00.0,D. DeRozan makes 2-pt shot from 18 ft,2,28-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,P. Patterson misses 3-pt shot from 24 ft,,28-36,,
11:41.0,Offensive rebound by K. Lowry,,28-36,,
11:37.0,P. Patterson makes 3-pt shot from 22 ft (assist by K. Lowry),3,31-36,,
11:22.0,,,31-36,,A. Afflalo misses 2-pt shot from 15 ft
11:21.0,,,31-36,,Offensive rebound by A. Afflalo
11:18.0,,,31-38,2,A. Afflalo makes 2-pt shot from 17 ft
11:06.0,K. Lowry misses 2-pt shot from 15 ft,,31-38,,
11:04.0,,,31-38,,Defensive rebound by A. Afflalo
10:58.0,,,31-38,,B. McLemore misses 2-pt shot from 7 ft (block by L. Nogueira)
10:58.0,,,31-38,,Offensive rebound by Team
10:51.0,,,31-40,2,T. Lawson makes 2-pt shot from 15 ft
10:34.0,T. Ross makes 2-pt shot from 10 ft,2,33-40,,
10:22.0,,,33-40,,Offensive foul by T. Lawson
10:22.0,,,33-40,,Turnover by T. Lawson (offensive foul)
10:10.0,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph),3,36-40,,
9:59.0,,,36-40,,B. McLemore misses 2-pt shot from 19 ft
9:59.0,Defensive rebound by P. Patterson,,36-40,,
9:46.0,T. Ross misses 2-pt shot from 21 ft,,36-40,,
9:45.0,,,36-40,,Defensive rebound by K. Koufos
9:30.0,,,36-40,,Turnover by B. McLemore (bad pass)
9:30.0,,,36-40,,M. Barnes enters the game for T. Lawson
9:30.0,,,36-40,,D. Collison enters the game for A. Tolliver
9:12.0,T. Ross makes 2-pt shot from 19 ft,2,38-40,,
8:54.0,,,38-40,,Turnover by K. Koufos (offensive foul)
8:54.0,,,38-40,,Offensive foul by K. Koufos
8:54.0,Official timeout,,38-40,,
8:54.0,,,38-40,,G. Temple enters the game for K. Koufos
8:54.0,,,38-40,,D. Cousins enters the game for B. McLemore
8:34.0,K. Lowry makes 2-pt shot from 12 ft,2,40-40,,
8:34.0,Shooting foul by D. Cousins (drawn by K. Lowry),,40-40,,
8:34.0,K. Lowry makes free throw 1 of 1,1,41-40,,
8:34.0,J. Valanciunas enters the game for L. Nogueira,,40-40,,
8:34.0,,,40-40,,W. Cauley-Stein enters the game for D. Cousins
8:08.0,,,41-43,3,G. Temple makes 3-pt shot from 23 ft (assist by A. Afflalo)
7:45.0,K. Lowry makes 2-pt shot from 4 ft,2,43-43,,
7:28.0,,,43-45,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Collison)
7:17.0,,,43-45,,Personal block foul by W. Cauley-Stein (drawn by K. Lowry)
7:08.0,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph),2,45-45,,
6:47.0,,,45-45,,M. Barnes misses 2-pt shot from 5 ft
6:46.0,Defensive rebound by P. Patterson,,45-45,,
6:33.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,47-45,,
6:16.0,,,47-45,,Shooting foul by C. Joseph (drawn by D. Collison)
6:16.0,,,47-46,1,D. Collison makes free throw 1 of 2
6:16.0,,,47-47,1,D. Collison makes free throw 2 of 2
6:16.0,,,47-46,,R. Gay enters the game for A. Afflalo
6:16.0,D. Carroll enters the game for C. Joseph,,47-46,,
6:16.0,D. DeRozan enters the game for T. Ross,,47-46,,
6:05.0,Shooting foul by W. Cauley-Stein (drawn by J. Valanciunas),,47-47,,
6:05.0,J. Valanciunas makes free throw 1 of 2,1,48-47,,
6:05.0,J. Valanciunas makes free throw 2 of 2,1,49-47,,
5:57.0,,,49-47,,D. Collison misses 2-pt shot from 2 ft (block by J. Valanciunas)
5:55.0,Defensive rebound by D. DeRozan,,49-47,,
5:47.0,D. Carroll makes 3-pt shot from 24 ft (assist by P. Patterson),3,52-47,,
5:41.0,,,52-47,,Sacramento full timeout
5:37.0,,,52-47,,Turnover by R. Gay (bad pass; steal by D. Carroll)
5:33.0,Shooting foul by R. Gay (drawn by D. DeRozan),,52-47,,
5:33.0,D. DeRozan makes free throw 1 of 2,1,53-47,,
5:33.0,D. DeRozan makes free throw 2 of 2,1,54-47,,
5:17.0,,,54-47,,R. Gay misses 2-pt shot from 6 ft
5:16.0,Defensive rebound by J. Valanciunas,,54-47,,
5:09.0,D. Carroll makes 2-pt shot from 3 ft (assist by K. Lowry),2,56-47,,
4:56.0,,,56-47,,M. Barnes misses 3-pt shot from 25 ft
4:56.0,,,56-47,,Offensive rebound by W. Cauley-Stein
4:53.0,,,56-47,,W. Cauley-Stein misses 2-pt shot from 6 ft
4:51.0,Defensive rebound by D. DeRozan,,56-47,,
4:43.0,D. DeRozan misses 2-pt shot from 20 ft,,56-47,,
4:42.0,,,56-47,,Defensive rebound by G. Temple
4:35.0,,,56-47,,D. Collison misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by J. Valanciunas,,56-47,,
4:17.0,J. Valanciunas misses 2-pt shot from 2 ft (block by W. Cauley-Stein),,56-47,,
4:16.0,Offensive rebound by J. Valanciunas,,56-47,,
4:16.0,Shooting foul by W. Cauley-Stein (drawn by J. Valanciunas),,56-47,,
4:16.0,J. Valanciunas misses free throw 1 of 2,,56-47,,
4:16.0,Offensive rebound by Team,,56-47,,
4:16.0,J. Valanciunas makes free throw 2 of 2,1,57-47,,
4:16.0,,,56-47,,K. Koufos enters the game for W. Cauley-Stein
4:16.0,,,56-47,,T. Lawson enters the game for D. Collison
4:16.0,P. Siakam enters the game for P. Patterson,,56-47,,
4:02.0,,,57-49,2,R. Gay makes 2-pt shot from 4 ft
3:47.0,D. Carroll misses 3-pt shot from 24 ft,,57-49,,
3:46.0,,,57-49,,Defensive rebound by K. Koufos
3:32.0,,,57-51,2,K. Koufos makes 2-pt shot at rim (assist by G. Temple)
3:28.0,,,57-51,,Personal foul by T. Lawson (drawn by K. Lowry)
3:28.0,Toronto full timeout,,57-51,,
3:28.0,K. Lowry makes free throw 1 of 2,1,58-51,,
3:28.0,K. Lowry makes free throw 2 of 2,1,59-51,,
3:28.0,,,57-51,,A. Afflalo enters the game for G. Temple
3:10.0,,,59-51,,K. Koufos misses 2-pt shot from 11 ft
3:09.0,Defensive rebound by K. Lowry,,59-51,,
3:02.0,K. Lowry misses 3-pt shot from 25 ft,,59-51,,
3:01.0,,,59-51,,Defensive rebound by A. Afflalo
2:55.0,,,59-51,,Turnover by R. Gay (bad pass)
2:55.0,C. Joseph enters the game for K. Lowry,,59-51,,
2:38.0,D. DeRozan misses 2-pt shot from 4 ft (block by R. Gay),,59-51,,
2:36.0,Offensive rebound by D. DeRozan,,59-51,,
2:33.0,J. Valanciunas misses 2-pt shot from 17 ft,,59-51,,
2:31.0,Offensive rebound by P. Siakam,,59-51,,
2:29.0,Toronto full timeout,,59-51,,
2:10.0,D. DeRozan misses 2-pt shot from 16 ft,,59-51,,
2:10.0,Offensive rebound by J. Valanciunas,,59-51,,
2:08.0,J. Valanciunas makes 2-pt shot from 5 ft,2,61-51,,
1:54.0,,,61-53,2,R. Gay makes 2-pt shot from 9 ft (assist by M. Barnes)
1:40.0,Shooting foul by A. Afflalo (drawn by D. Carroll),,61-53,,
1:40.0,D. Carroll makes free throw 1 of 2,1,62-53,,
1:40.0,D. Carroll makes free throw 2 of 2,1,63-53,,
1:31.0,,,63-55,2,A. Afflalo makes 2-pt shot from 20 ft (assist by M. Barnes)
1:31.0,,,63-55,,Shooting foul by D. DeRozan (drawn by A. Afflalo)
1:31.0,,,63-56,1,A. Afflalo makes free throw 1 of 1
1:06.0,P. Siakam misses 2-pt shot from 14 ft,,63-56,,
1:06.0,,,63-56,,Defensive rebound by K. Koufos
1:00.0,,,63-58,2,A. Afflalo makes 2-pt shot from 12 ft
0:48.0,D. DeRozan misses 2-pt shot from 2 ft,,63-58,,
0:47.0,,,63-58,,Defensive rebound by M. Barnes
0:33.0,,,63-58,,T. Lawson misses 2-pt shot from 17 ft
0:33.0,Defensive rebound by J. Valanciunas,,63-58,,
0:18.0,J. Valanciunas misses 2-pt shot from 3 ft,,63-58,,
0:16.0,,,63-58,,Defensive rebound by A. Afflalo
0:00.0,,,63-58,,T. Lawson misses 3-pt shot from 25 ft
0:00.0,,,63-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Lowry misses 2-pt shot from 4 ft,,63-58,,
11:41.0,,,63-58,,Defensive rebound by D. Cousins
11:28.0,Personal foul by J. Valanciunas (drawn by D. Cousins),,63-58,,
11:13.0,,,63-61,3,D. Collison makes 3-pt shot from 24 ft (assist by T. Lawson)
10:45.0,D. Carroll misses 3-pt shot from 25 ft,,63-61,,
10:45.0,,,63-61,,Defensive rebound by D. Cousins
10:35.0,,,63-61,,D. Cousins misses 2-pt shot from 20 ft
10:34.0,Defensive rebound by P. Siakam,,63-61,,
10:21.0,P. Siakam misses 2-pt shot from 6 ft,,63-61,,
10:21.0,Offensive rebound by P. Siakam,,63-61,,
10:17.0,K. Lowry makes 3-pt shot from 23 ft (assist by P. Siakam),3,66-61,,
10:03.0,,,66-61,,Turnover by M. Barnes (3 sec)
9:47.0,D. DeRozan misses 2-pt shot from 7 ft,,66-61,,
9:45.0,Offensive rebound by J. Valanciunas,,66-61,,
9:45.0,J. Valanciunas misses 2-pt shot at rim,,66-61,,
9:44.0,Offensive rebound by J. Valanciunas,,66-61,,
9:44.0,J. Valanciunas misses 2-pt shot at rim,,66-61,,
9:43.0,Offensive rebound by J. Valanciunas,,66-61,,
9:43.0,J. Valanciunas makes 2-pt shot from 1 ft,2,68-61,,
9:26.0,,,68-61,,Turnover by M. Barnes (lost ball; steal by K. Lowry)
9:20.0,Turnover by K. Lowry (bad pass),,68-61,,
8:58.0,,,68-64,3,T. Lawson makes 3-pt shot from 25 ft (assist by D. Cousins)
8:37.0,D. Carroll makes 2-pt shot from 3 ft (assist by D. DeRozan),2,70-64,,
8:27.0,Personal foul by D. Carroll (drawn by D. Cousins),,70-64,,
8:17.0,,,70-64,,D. Cousins misses 2-pt shot from 17 ft
8:15.0,,,70-64,,Offensive rebound by Team
7:58.0,,,70-64,,Turnover by R. Gay (lost ball; steal by P. Siakam)
7:50.0,K. Lowry makes 2-pt shot from 3 ft (assist by D. DeRozan),2,72-64,,
7:35.0,,,72-67,3,D. Cousins makes 3-pt shot from 25 ft (assist by T. Lawson)
7:20.0,D. DeRozan misses 2-pt shot from 12 ft,,72-67,,
7:19.0,Offensive rebound by J. Valanciunas,,72-67,,
7:19.0,J. Valanciunas misses 2-pt shot from 1 ft,,72-67,,
7:17.0,Offensive rebound by Team,,72-67,,
7:17.0,,,72-67,,K. Koufos enters the game for T. Lawson
6:57.0,K. Lowry misses 2-pt shot from 14 ft (block by R. Gay),,72-67,,
6:54.0,,,72-67,,Defensive rebound by R. Gay
6:52.0,,,72-67,,Turnover by R. Gay (bad pass; steal by D. Carroll)
6:48.0,D. Carroll misses 2-pt shot from 2 ft,,72-67,,
6:46.0,,,72-67,,Defensive rebound by R. Gay
6:43.0,,,72-69,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Gay)
6:17.0,P. Siakam makes 2-pt shot from 9 ft,2,74-69,,
6:01.0,,,74-72,3,M. Barnes makes 3-pt shot from 24 ft (assist by D. Cousins)
5:51.0,P. Siakam misses 2-pt shot from 7 ft,,74-72,,
5:51.0,,,74-72,,Defensive rebound by K. Koufos
5:38.0,,,74-74,2,M. Barnes makes 2-pt shot from 5 ft (assist by D. Cousins)
5:35.0,Toronto full timeout,,74-74,,
5:14.0,D. Carroll misses 2-pt shot from 5 ft (block by K. Koufos),,74-74,,
5:12.0,,,74-74,,Defensive rebound by K. Koufos
5:04.0,,,74-74,,D. Cousins misses 2-pt shot from 4 ft
5:03.0,,,74-74,,Offensive rebound by D. Cousins
5:01.0,,,74-74,,D. Cousins misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by D. Carroll,,74-74,,
4:52.0,D. Carroll makes 3-pt shot from 25 ft,3,77-74,,
4:31.0,,,77-74,,M. Barnes misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by P. Siakam,,77-74,,
4:13.0,J. Valanciunas misses 2-pt shot from 11 ft,,77-74,,
4:13.0,Offensive rebound by J. Valanciunas,,77-74,,
4:07.0,Turnover by K. Lowry (bad pass; steal by M. Barnes),,77-74,,
4:04.0,,,77-76,2,R. Gay makes 2-pt shot from 2 ft (assist by D. Collison)
4:04.0,,,77-76,,Shooting foul by K. Lowry (drawn by R. Gay)
4:04.0,,,77-77,1,R. Gay makes free throw 1 of 1
3:48.0,Turnover by J. Valanciunas (bad pass; steal by D. Collison),,77-77,,
3:43.0,,,77-79,2,D. Collison makes 2-pt shot from 1 ft
3:26.0,Turnover by K. Lowry (lost ball; steal by K. Koufos),,77-79,,
3:16.0,,,77-79,,D. Collison misses 3-pt shot from 25 ft
3:14.0,,,77-79,,Offensive rebound by D. Cousins
3:10.0,,,77-79,,D. Cousins misses 2-pt shot from 3 ft (block by J. Valanciunas)
3:09.0,Defensive rebound by J. Valanciunas,,77-79,,
3:05.0,,,77-79,,Personal foul by M. Barnes (drawn by P. Siakam)
3:05.0,,,77-79,,Sacramento full timeout
3:05.0,C. Joseph enters the game for P. Siakam,,77-79,,
3:05.0,P. Patterson enters the game for K. Lowry,,77-79,,
3:05.0,,,77-79,,A. Afflalo enters the game for R. Gay
2:52.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,79-79,,
2:34.0,,,79-81,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison)
2:09.0,D. DeRozan misses 3-pt shot from 25 ft,,79-81,,
2:08.0,,,79-81,,Defensive rebound by A. Afflalo
2:01.0,,,79-81,,Shooting foul by D. DeRozan (drawn by K. Koufos)
2:01.0,,,79-81,,K. Koufos misses free throw 1 of 2
2:01.0,,,79-81,,Offensive rebound by Team
2:01.0,,,79-82,1,K. Koufos makes free throw 2 of 2
2:01.0,,,79-81,,G. Temple enters the game for M. Barnes
1:46.0,D. DeRozan misses 2-pt shot from 7 ft (block by G. Temple),,79-82,,
1:45.0,Offensive rebound by D. DeRozan,,79-82,,
1:44.0,D. DeRozan misses 2-pt shot from 7 ft (block by K. Koufos),,79-82,,
1:44.0,Offensive rebound by Team,,79-82,,
1:36.0,C. Joseph misses 3-pt shot from 27 ft,,79-82,,
1:36.0,,,79-82,,Defensive rebound by D. Cousins
1:23.0,,,79-82,,D. Cousins misses 2-pt shot from 5 ft
1:22.0,Defensive rebound by C. Joseph,,79-82,,
1:08.0,P. Patterson makes 2-pt shot from 3 ft,2,81-82,,
0:46.0,,,81-85,3,G. Temple makes 3-pt shot from 23 ft (assist by D. Cousins)
0:32.0,P. Patterson misses 3-pt shot from 25 ft,,81-85,,
0:32.0,,,81-85,,Defensive rebound by G. Temple
0:29.0,Personal foul by P. Patterson (drawn by D. Cousins),,81-85,,
0:29.0,,,81-85,,D. Cousins misses free throw 1 of 2
0:29.0,,,81-85,,Offensive rebound by Team
0:29.0,,,81-86,1,D. Cousins makes free throw 2 of 2
0:29.0,T. Ross enters the game for D. Carroll,,81-85,,
0:29.0,,,81-85,,T. Lawson enters the game for K. Koufos
0:10.0,C. Joseph misses 2-pt shot from 5 ft,,81-86,,
0:09.0,,,81-86,,Defensive rebound by G. Temple
0:00.0,,,81-86,,D. Cousins misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by Team,,81-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Personal foul by K. Lowry (drawn by A. Afflalo),,81-86,,
11:34.0,,,81-86,,Turnover by D. Cousins (lost ball; steal by L. Nogueira)
11:23.0,K. Lowry misses 3-pt shot from 24 ft,,81-86,,
11:21.0,,,81-86,,Defensive rebound by Team
11:08.0,,,81-88,2,D. Cousins makes 2-pt shot from 3 ft
11:08.0,,,81-88,,Shooting foul by L. Nogueira (drawn by D. Cousins)
11:08.0,,,81-89,1,D. Cousins makes free throw 1 of 1
10:51.0,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry),3,84-89,,
10:32.0,,,84-89,,D. Cousins misses 2-pt shot from 4 ft
10:31.0,Defensive rebound by K. Lowry,,84-89,,
10:24.0,K. Lowry makes 3-pt shot from 25 ft,3,87-89,,
9:54.0,,,87-89,,T. Lawson misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by K. Lowry,,87-89,,
9:45.0,Offensive foul by K. Lowry,,87-89,,
9:45.0,Turnover by K. Lowry (offensive foul),,87-89,,
9:45.0,,,87-89,,K. Koufos enters the game for D. Cousins
9:26.0,,,87-89,,G. Temple misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by K. Lowry,,87-89,,
9:09.0,C. Joseph makes 3-pt shot from 25 ft (assist by K. Lowry),3,90-89,,
9:09.0,,,90-89,,Sacramento full timeout
9:09.0,,,90-89,,R. Gay enters the game for A. Afflalo
8:57.0,,,90-89,,K. Koufos misses 2-pt shot from 10 ft
8:56.0,Defensive rebound by K. Lowry,,90-89,,
8:49.0,K. Lowry makes 2-pt shot from 4 ft,2,92-89,,
8:29.0,,,92-89,,Shooting foul by K. Lowry (drawn by G. Temple)
8:29.0,,,92-90,1,G. Temple makes free throw 1 of 2
8:29.0,,,92-91,1,G. Temple makes free throw 2 of 2
8:29.0,D. DeRozan enters the game for K. Lowry,,92-90,,
8:15.0,Turnover by C. Joseph (lost ball),,92-91,,
8:15.0,Loose ball foul by D. DeRozan (drawn by G. Temple),,92-91,,
7:59.0,,,92-91,,R. Gay misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by D. DeRozan,,92-91,,
7:41.0,Shooting foul by R. Gay (drawn by D. DeRozan),,92-91,,
7:41.0,D. DeRozan makes free throw 1 of 3,1,93-91,,
7:41.0,D. DeRozan makes free throw 2 of 3,1,94-91,,
7:41.0,D. DeRozan makes free throw 3 of 3,1,95-91,,
7:26.0,,,95-91,,M. Barnes misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by C. Joseph,,95-91,,
7:10.0,Turnover by D. DeRozan (lost ball; steal by G. Temple),,95-91,,
7:02.0,,,95-94,3,R. Gay makes 3-pt shot from 25 ft (assist by T. Lawson)
6:42.0,D. DeRozan misses 2-pt shot from 18 ft,,95-94,,
6:42.0,Offensive rebound by P. Patterson,,95-94,,
6:40.0,Turnover by P. Patterson (step out of bounds),,95-94,,
6:40.0,,,95-94,,D. Cousins enters the game for M. Barnes
6:40.0,J. Valanciunas enters the game for L. Nogueira,,95-94,,
6:21.0,,,95-94,,K. Koufos misses 2-pt shot from 5 ft
6:19.0,Defensive rebound by D. DeRozan,,95-94,,
6:09.0,T. Ross misses 3-pt shot from 26 ft,,95-94,,
6:08.0,,,95-94,,Defensive rebound by K. Koufos
5:57.0,,,95-94,,Sacramento full timeout
5:57.0,,,95-94,,D. Collison enters the game for T. Lawson
5:51.0,,,95-94,,D. Cousins misses 2-pt shot from 21 ft
5:50.0,Defensive rebound by P. Patterson,,95-94,,
5:36.0,T. Ross misses 3-pt shot from 26 ft,,95-94,,
5:35.0,,,95-94,,Defensive rebound by R. Gay
5:17.0,,,95-94,,D. Cousins misses 3-pt shot from 24 ft
5:17.0,,,95-94,,Offensive rebound by Team
5:17.0,Loose ball foul by P. Patterson (drawn by K. Koufos),,95-94,,
5:17.0,,,95-95,1,K. Koufos makes free throw 1 of 2
5:17.0,,,95-95,,K. Koufos misses free throw 2 of 2
5:17.0,D. Carroll enters the game for T. Ross,,95-95,,
5:17.0,K. Lowry enters the game for C. Joseph,,95-95,,
5:16.0,Defensive rebound by K. Lowry,,95-95,,
4:54.0,Turnover by D. DeRozan (lost ball; steal by R. Gay),,95-95,,
4:50.0,,,95-97,2,R. Gay makes 2-pt shot at rim
4:37.0,D. DeRozan misses 2-pt shot from 6 ft,,95-97,,
4:36.0,,,95-97,,Defensive rebound by R. Gay
4:20.0,,,95-97,,Turnover by D. Collison (bad pass; steal by P. Patterson)
4:17.0,Shooting foul by G. Temple (drawn by K. Lowry),,95-97,,
4:17.0,K. Lowry makes free throw 1 of 2,1,96-97,,
4:17.0,K. Lowry makes free throw 2 of 2,1,97-97,,
4:17.0,,,96-97,,M. Barnes enters the game for K. Koufos
3:55.0,,,97-97,,G. Temple misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by Team,,97-97,,
