time,Detroit,pts.away,score,pts.home,Boston
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,59-53,,A. Bradley misses 2-pt shot from 12 ft
11:46.0,Defensive rebound by K. Caldwell-Pope,,59-53,,
11:36.0,A. Drummond misses 2-pt shot from 5 ft,,59-53,,
11:35.0,Offensive rebound by A. Drummond,,59-53,,
11:30.0,A. Drummond misses 2-pt shot from 3 ft (block by A. Johnson),,59-53,,
11:29.0,,,59-53,,Defensive rebound by A. Bradley
11:16.0,,,59-53,,A. Johnson misses 2-pt shot from 3 ft
11:16.0,Defensive rebound by T. Harris,,59-53,,
11:07.0,T. Harris misses 3-pt shot from 25 ft,,59-53,,
11:06.0,,,59-53,,Defensive rebound by A. Johnson
10:52.0,,,59-56,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
10:30.0,A. Drummond makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope),2,61-56,,
10:19.0,,,61-58,2,J. Crowder makes 2-pt shot from 22 ft (assist by A. Johnson)
9:56.0,M. Morris makes 2-pt shot from 13 ft,2,63-58,,
9:39.0,,,63-58,,I. Thomas misses 2-pt shot from 2 ft (block by I. Smith)
9:38.0,Defensive rebound by A. Drummond,,63-58,,
9:33.0,T. Harris makes 2-pt shot at rim (assist by I. Smith),2,65-58,,
9:33.0,,,65-58,,Boston full timeout
9:22.0,,,65-61,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
9:00.0,,,65-61,,Personal foul by A. Johnson (drawn by A. Drummond)
8:51.0,Turnover by K. Caldwell-Pope (lost ball; steal by A. Johnson),,65-61,,
8:41.0,,,65-61,,Turnover by A. Bradley (bad pass; steal by A. Drummond)
8:35.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith),3,68-61,,
8:35.0,Violation by Team (jump ball),,68-61,,
8:19.0,,,68-63,2,A. Johnson makes 2-pt shot from 4 ft (assist by A. Horford)
7:55.0,T. Harris makes 2-pt shot from 3 ft,2,70-63,,
7:46.0,,,70-65,2,I. Thomas makes 2-pt shot from 2 ft
