time,Detroit,pts.away,score,pts.home,Charlotte
10:23.0,,,44-43,,Personal foul by N. Batum (drawn by M. Morris)
10:15.0,Turnover by T. Harris (lost ball; steal by M. Williams),,44-43,,
9:57.0,,,44-43,,C. Zeller misses 2-pt shot from 2 ft (block by A. Drummond)
9:56.0,Defensive rebound by M. Morris,,44-43,,
9:43.0,A. Drummond makes 2-pt shot from 10 ft,2,46-43,,
9:26.0,,,46-43,,K. Walker misses 2-pt shot from 15 ft
9:25.0,Defensive rebound by A. Drummond,,46-43,,
9:13.0,T. Harris misses 3-pt shot from 25 ft,,46-43,,
9:11.0,,,46-43,,Defensive rebound by K. Walker
9:03.0,,,46-43,,C. Zeller misses 2-pt shot from 1 ft (block by M. Morris)
9:00.0,Defensive rebound by M. Morris,,46-43,,
8:50.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,46-43,,
8:49.0,,,46-43,,Defensive rebound by C. Zeller
8:32.0,,,46-43,,Shooting foul by K. Caldwell-Pope (drawn by N. Batum)
8:32.0,,,46-44,1,N. Batum makes free throw 1 of 3
8:32.0,,,46-45,1,N. Batum makes free throw 2 of 3
8:32.0,,,46-45,,N. Batum misses free throw 3 of 3
8:30.0,Defensive rebound by A. Drummond,,46-45,,
8:16.0,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,48-45,,
8:08.0,,,48-45,,Shooting foul by R. Jackson (drawn by K. Walker)
8:08.0,,,48-46,1,K. Walker makes free throw 1 of 2
8:08.0,,,48-47,1,K. Walker makes free throw 2 of 2
7:57.0,Turnover by A. Drummond (lost ball),,48-47,,
7:34.0,,,48-49,2,M. Williams makes 2-pt shot from 11 ft
7:15.0,A. Drummond makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope),2,50-49,,
7:01.0,,,50-52,3,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker)
6:42.0,Shooting foul by C. Zeller (drawn by A. Drummond),,50-52,,
6:42.0,A. Drummond misses free throw 1 of 2,,50-52,,
6:42.0,Offensive rebound by Team,,50-52,,
6:42.0,A. Drummond misses free throw 2 of 2,,50-52,,
6:40.0,,,50-52,,Defensive rebound by N. Batum
6:29.0,,,50-52,,N. Batum misses 2-pt shot from 18 ft
6:27.0,Defensive rebound by R. Jackson,,50-52,,
6:06.0,R. Jackson misses 3-pt shot from 24 ft,,50-52,,
6:05.0,,,50-52,,Defensive rebound by N. Batum
5:57.0,,,50-52,,N. Batum misses 2-pt shot from 7 ft
5:56.0,Defensive rebound by A. Drummond,,50-52,,
5:42.0,M. Morris makes 2-pt shot from 17 ft,2,52-52,,
5:23.0,,,52-52,,K. Walker misses 2-pt shot from 2 ft
5:22.0,Defensive rebound by M. Morris,,52-52,,
5:00.0,R. Jackson misses 2-pt shot from 21 ft,,52-52,,
4:59.0,,,52-52,,Defensive rebound by M. Kidd-Gilchrist
4:51.0,,,52-52,,M. Kidd-Gilchrist misses 2-pt shot at rim
4:50.0,Defensive rebound by A. Drummond,,52-52,,
4:39.0,T. Harris misses 3-pt shot from 24 ft,,52-52,,
4:38.0,,,52-52,,Defensive rebound by C. Zeller
4:22.0,,,52-52,,M. Williams misses 3-pt shot from 26 ft
4:21.0,Defensive rebound by M. Morris,,52-52,,
4:16.0,Detroit full timeout,,52-52,,
4:16.0,J. Leuer enters the game for M. Morris,,52-52,,
4:16.0,I. Smith enters the game for R. Jackson,,52-52,,
4:16.0,,,52-52,,F. Kaminsky enters the game for M. Kidd-Gilchrist
4:16.0,,,52-52,,M. Belinelli enters the game for M. Williams
4:08.0,J. Leuer misses 2-pt shot from 16 ft,,52-52,,
4:07.0,Offensive rebound by K. Caldwell-Pope,,52-52,,
3:57.0,T. Harris misses 3-pt shot from 23 ft,,52-52,,
3:56.0,,,52-52,,Defensive rebound by M. Belinelli
3:46.0,,,52-52,,R. Hibbert enters the game for C. Zeller
3:46.0,A. Baynes enters the game for A. Drummond,,52-52,,
3:41.0,,,52-54,2,N. Batum makes 2-pt shot from 10 ft
3:41.0,,,52-54,,Shooting foul by T. Harris (drawn by N. Batum)
3:41.0,,,52-55,1,N. Batum makes free throw 1 of 1
3:41.0,,,52-54,,R. Sessions enters the game for K. Walker
3:27.0,T. Harris misses 2-pt shot from 9 ft,,52-55,,
3:26.0,,,52-55,,Defensive rebound by M. Belinelli
3:15.0,,,52-55,,R. Hibbert misses 2-pt shot from 18 ft
3:14.0,Defensive rebound by I. Smith,,52-55,,
3:09.0,,,52-55,,Personal foul by R. Sessions (drawn by A. Baynes)
2:54.0,T. Harris makes 2-pt shot from 17 ft (assist by I. Smith),2,54-55,,
2:38.0,,,54-57,2,R. Sessions makes 2-pt shot from 11 ft (assist by N. Batum)
2:24.0,I. Smith misses 2-pt shot from 1 ft,,54-57,,
2:23.0,,,54-57,,Defensive rebound by F. Kaminsky
2:11.0,,,54-57,,Shooting foul by K. Caldwell-Pope (drawn by F. Kaminsky)
2:11.0,,,54-57,,Charlotte full timeout
2:11.0,,,54-57,,F. Kaminsky misses free throw 1 of 2
2:11.0,,,54-57,,Offensive rebound by Team
2:11.0,,,54-57,,F. Kaminsky misses free throw 2 of 2
2:09.0,Defensive rebound by J. Leuer,,54-57,,
1:51.0,A. Baynes misses 2-pt shot from 1 ft,,54-57,,
1:49.0,,,54-57,,Defensive rebound by R. Hibbert
1:39.0,,,54-57,,R. Sessions misses 2-pt shot from 2 ft
1:38.0,Defensive rebound by A. Baynes,,54-57,,
1:34.0,I. Smith makes 2-pt shot from 8 ft,2,56-57,,
1:13.0,,,56-57,,F. Kaminsky misses 2-pt shot from 8 ft
1:12.0,Defensive rebound by J. Leuer,,56-57,,
1:05.0,J. Leuer misses 3-pt shot from 25 ft,,56-57,,
1:04.0,,,56-57,,Defensive rebound by N. Batum
0:55.0,,,56-59,2,F. Kaminsky makes 2-pt shot from 9 ft (assist by N. Batum)
0:38.0,Turnover by I. Smith (lost ball; steal by R. Sessions),,56-59,,
0:30.0,,,56-59,,M. Belinelli misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by K. Caldwell-Pope,,56-59,,
0:22.0,J. Leuer makes 2-pt shot from 17 ft (assist by K. Caldwell-Pope),2,58-59,,
0:02.0,,,58-59,,N. Batum misses 2-pt shot from 21 ft
0:01.0,,,58-59,,Offensive rebound by R. Hibbert
0:00.0,,,58-61,2,R. Hibbert makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Morris makes 2-pt shot from 16 ft (assist by J. Leuer),2,60-61,,
11:29.0,,,60-63,2,M. Belinelli makes 2-pt shot from 12 ft (assist by F. Kaminsky)
11:07.0,M. Morris misses 2-pt shot from 17 ft,,60-63,,
11:06.0,,,60-63,,Defensive rebound by F. Kaminsky
10:46.0,,,60-63,,Shooting foul by M. Morris (drawn by J. Lamb)
10:46.0,,,60-63,,J. Lamb misses free throw 1 of 2
10:46.0,,,60-63,,Offensive rebound by Team
10:46.0,,,60-64,1,J. Lamb makes free throw 2 of 2
10:28.0,Turnover by M. Morris (lost ball; steal by M. Belinelli),,60-64,,
10:28.0,Personal foul by A. Baynes (drawn by R. Hibbert),,60-64,,
10:17.0,,,60-66,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Sessions)
10:17.0,Detroit full timeout,,60-66,,
10:03.0,D. Hilliard misses 3-pt shot from 25 ft,,60-66,,
10:02.0,,,60-66,,Defensive rebound by Team
9:50.0,,,60-68,2,M. Belinelli makes 2-pt shot from 18 ft (assist by F. Kaminsky)
9:28.0,D. Hilliard misses 2-pt shot from 7 ft,,60-68,,
9:25.0,,,60-68,,Defensive rebound by Team
9:25.0,K. Caldwell-Pope enters the game for D. Hilliard,,60-68,,
9:12.0,,,60-68,,M. Belinelli misses 2-pt shot from 20 ft
9:12.0,Defensive rebound by Team,,60-68,,
8:54.0,M. Morris misses 2-pt shot from 19 ft,,60-68,,
8:52.0,,,60-68,,Defensive rebound by M. Belinelli
8:48.0,Personal foul by K. Caldwell-Pope (drawn by M. Belinelli),,60-68,,
8:48.0,A. Drummond enters the game for A. Baynes,,60-68,,
8:48.0,,,60-68,,K. Walker enters the game for R. Sessions
8:44.0,,,60-68,,Turnover by J. Lamb (step out of bounds)
8:32.0,J. Leuer misses 3-pt shot from 26 ft,,60-68,,
8:31.0,,,60-68,,Defensive rebound by R. Hibbert
8:22.0,,,60-70,2,K. Walker makes 2-pt shot from 1 ft
8:06.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,63-70,,
7:54.0,,,63-73,3,K. Walker makes 3-pt shot from 25 ft
7:29.0,A. Drummond makes 2-pt shot from 1 ft (assist by J. Leuer),2,65-73,,
7:18.0,,,65-75,2,K. Walker makes 2-pt shot from 1 ft
7:18.0,Detroit full timeout,,65-75,,
7:18.0,T. Harris enters the game for J. Leuer,,65-75,,
7:18.0,R. Jackson enters the game for I. Smith,,65-75,,
7:01.0,R. Jackson makes 2-pt shot from 7 ft,2,67-75,,
6:46.0,,,67-75,,Turnover by K. Walker (lost ball)
6:28.0,T. Harris misses 2-pt shot from 14 ft,,67-75,,
6:27.0,,,67-75,,Defensive rebound by M. Belinelli
6:10.0,,,67-75,,F. Kaminsky misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by M. Morris,,67-75,,
6:03.0,Shooting foul by R. Hibbert (drawn by A. Drummond),,67-75,,
6:03.0,A. Drummond makes free throw 1 of 2,1,68-75,,
6:03.0,A. Drummond makes free throw 2 of 2,1,69-75,,
6:03.0,,,68-75,,C. Zeller enters the game for F. Kaminsky
6:03.0,,,68-75,,M. Williams enters the game for R. Hibbert
6:03.0,,,68-75,,N. Batum enters the game for J. Lamb
5:52.0,,,69-75,,K. Walker misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by T. Harris,,69-75,,
5:41.0,T. Harris makes 2-pt shot from 9 ft (assist by R. Jackson),2,71-75,,
5:41.0,,,71-75,,Charlotte full timeout
5:31.0,,,71-75,,Shooting foul by A. Drummond (drawn by C. Zeller)
5:31.0,,,71-75,,C. Zeller misses free throw 1 of 2
5:31.0,,,71-75,,Offensive rebound by Team
5:31.0,,,71-75,,C. Zeller misses free throw 2 of 2
5:29.0,Defensive rebound by T. Harris,,71-75,,
5:08.0,R. Jackson misses 3-pt shot from 27 ft,,71-75,,
5:07.0,,,71-75,,Defensive rebound by N. Batum
4:58.0,,,71-75,,K. Walker misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by T. Harris,,71-75,,
4:47.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,73-75,,
4:26.0,,,73-78,3,M. Belinelli makes 3-pt shot from 26 ft
4:11.0,,,73-78,,Personal foul by C. Zeller (drawn by R. Jackson)
3:59.0,T. Harris misses 3-pt shot from 25 ft,,73-78,,
3:57.0,,,73-78,,Defensive rebound by K. Walker
3:49.0,,,73-80,2,K. Walker makes 2-pt shot from 1 ft
3:48.0,Detroit full timeout,,73-80,,
3:48.0,I. Smith enters the game for R. Jackson,,73-80,,
3:42.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,73-80,,
3:41.0,,,73-80,,Defensive rebound by N. Batum
3:35.0,,,73-80,,Shooting foul by A. Drummond (drawn by K. Walker)
3:35.0,,,73-80,,K. Walker misses free throw 1 of 2
3:35.0,,,73-80,,Offensive rebound by Team
3:35.0,,,73-81,1,K. Walker makes free throw 2 of 2
3:19.0,M. Morris misses 3-pt shot from 24 ft,,73-81,,
3:17.0,,,73-81,,Defensive rebound by M. Williams
3:02.0,,,73-83,2,K. Walker makes 2-pt shot from 14 ft
2:49.0,I. Smith misses 2-pt shot from 1 ft,,73-83,,
2:48.0,Offensive rebound by A. Drummond,,73-83,,
2:47.0,A. Drummond makes 2-pt shot from 2 ft,2,75-83,,
2:47.0,Shooting foul by M. Belinelli (drawn by A. Drummond),,75-83,,
2:47.0,A. Drummond misses free throw 1 of 1,,75-83,,
2:43.0,,,75-83,,Defensive rebound by N. Batum
