time,Washington,pts.away,score,pts.home,Detroit
8:21.0,Defensive rebound by J. Wall,,11-2,,
8:14.0,Turnover by J. Wall (bad pass; steal by A. Drummond),,11-2,,
8:09.0,,,11-4,2,R. Jackson makes 2-pt shot at rim
8:05.0,Shooting foul by R. Bullock (drawn by B. Beal),,11-4,,
8:05.0,B. Beal misses free throw 1 of 2,,11-4,,
8:05.0,Offensive rebound by Team,,11-4,,
8:05.0,B. Beal makes free throw 2 of 2,1,12-4,,
7:53.0,,,12-7,3,R. Jackson makes 3-pt shot from 25 ft (assist by A. Drummond)
7:38.0,B. Beal misses 2-pt shot from 5 ft,,12-7,,
7:38.0,,,12-7,,Defensive rebound by A. Drummond
7:26.0,,,12-10,3,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson)
7:12.0,J. Wall makes 2-pt shot from 14 ft,2,14-10,,
6:53.0,,,14-10,,Turnover by A. Drummond (lost ball; steal by J. Wall)
6:45.0,O. Porter misses 3-pt shot from 24 ft,,14-10,,
6:45.0,Offensive rebound by M. Morris,,14-10,,
6:41.0,M. Morris misses 2-pt shot from 7 ft,,14-10,,
6:40.0,,,14-10,,Defensive rebound by T. Harris
6:34.0,,,14-10,,Turnover by R. Bullock (bad pass; steal by B. Beal)
6:32.0,,,14-10,,Personal foul by A. Drummond (drawn by M. Gortat)
6:23.0,B. Beal misses 2-pt shot from 11 ft,,14-10,,
6:23.0,,,14-10,,Defensive rebound by T. Harris
6:13.0,,,14-10,,A. Drummond misses 2-pt shot from 9 ft
6:12.0,,,14-10,,Offensive rebound by M. Morris
6:06.0,,,14-10,,M. Morris misses 2-pt shot from 2 ft
6:06.0,Defensive rebound by O. Porter,,14-10,,
5:55.0,J. Wall makes 2-pt shot from 12 ft,2,16-10,,
5:41.0,,,16-10,,Turnover by R. Jackson (traveling)
5:41.0,,,16-10,,S. Johnson enters the game for R. Bullock
5:41.0,,,16-10,,J. Leuer enters the game for T. Harris
5:27.0,M. Morris misses 3-pt shot from 24 ft,,16-10,,
5:26.0,,,16-10,,Defensive rebound by A. Drummond
5:22.0,,,16-12,2,J. Leuer makes 2-pt shot at rim (assist by R. Jackson)
5:22.0,,,16-12,,Shooting foul by O. Porter (drawn by J. Leuer)
5:22.0,,,16-13,1,J. Leuer makes free throw 1 of 1
5:22.0,K. Oubre enters the game for M. Morris,,16-12,,
5:07.0,B. Beal misses 3-pt shot from 26 ft,,16-13,,
5:07.0,,,16-13,,Defensive rebound by A. Drummond
4:59.0,,,16-13,,M. Morris misses 3-pt shot from 26 ft
4:59.0,Defensive rebound by M. Gortat,,16-13,,
4:51.0,O. Porter makes 2-pt shot from 11 ft (assist by J. Wall),2,18-13,,
4:31.0,,,18-13,,R. Jackson misses 3-pt shot from 25 ft
4:31.0,,,18-13,,Offensive rebound by M. Morris
4:27.0,,,18-15,2,M. Morris makes 2-pt shot from 1 ft
4:08.0,M. Gortat misses 2-pt shot from 5 ft,,18-15,,
4:07.0,,,18-15,,Defensive rebound by A. Drummond
4:02.0,,,18-15,,R. Jackson misses 2-pt shot from 14 ft
4:01.0,Defensive rebound by K. Oubre,,18-15,,
3:51.0,,,18-15,,Personal foul by S. Johnson (drawn by B. Beal)
3:51.0,,,18-15,,Personal foul by S. Johnson (drawn by B. Beal)
3:51.0,B. Beal misses free throw 1 of 2,,18-15,,
3:51.0,Offensive rebound by Team,,18-15,,
3:51.0,B. Beal makes free throw 2 of 2,1,19-15,,
3:34.0,,,19-17,2,S. Johnson makes 2-pt shot from 14 ft
3:16.0,O. Porter misses 3-pt shot from 27 ft,,19-17,,
3:15.0,,,19-17,,Defensive rebound by A. Drummond
3:08.0,,,19-20,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
3:08.0,Washington full timeout,,19-20,,
3:08.0,,,19-20,,I. Smith enters the game for R. Jackson
3:08.0,J. Smith enters the game for O. Porter,,19-20,,
3:08.0,T. Satoransky enters the game for B. Beal,,19-20,,
2:44.0,Turnover by T. Satoransky (lost ball; steal by S. Johnson),,19-20,,
2:38.0,,,19-20,,Shooting foul by T. Satoransky (drawn by M. Morris)
2:38.0,,,19-21,1,M. Morris makes free throw 1 of 2
2:38.0,,,19-22,1,M. Morris makes free throw 2 of 2
2:38.0,,,19-21,,A. Baynes enters the game for A. Drummond
2:22.0,K. Oubre misses 2-pt shot at rim,,19-22,,
2:21.0,,,19-22,,Defensive rebound by A. Baynes
2:05.0,,,19-25,3,J. Leuer makes 3-pt shot from 26 ft (assist by S. Johnson)
1:52.0,Shooting foul by A. Baynes (drawn by J. Wall),,19-25,,
1:52.0,,,19-25,,Violation by Team (jump ball)
1:52.0,J. Wall makes free throw 1 of 2,1,20-25,,
1:52.0,J. Wall makes free throw 2 of 2,1,21-25,,
1:43.0,,,21-25,,Turnover by S. Johnson (bad pass; steal by M. Gortat)
1:29.0,M. Gortat misses 2-pt shot from 16 ft,,21-25,,
1:29.0,,,21-25,,Defensive rebound by Team
1:29.0,Personal foul by J. Smith (drawn by J. Leuer),,21-25,,
1:14.0,,,21-27,2,S. Johnson makes 2-pt shot from 16 ft
1:01.0,J. Wall misses 2-pt shot from 1 ft,,21-27,,
1:01.0,,,21-27,,Defensive rebound by J. Leuer
0:58.0,,,21-29,2,M. Morris makes 2-pt shot at rim (assist by I. Smith)
0:58.0,,,21-29,,Shooting foul by M. Gortat (drawn by M. Morris)
0:58.0,,,21-30,1,M. Morris makes free throw 1 of 1
0:45.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Wall),3,24-30,,
0:36.0,,,24-30,,Turnover by A. Baynes (bad pass; steal by K. Oubre)
0:34.0,K. Oubre makes 2-pt shot at rim,2,26-30,,
0:19.0,,,26-30,,M. Morris misses 2-pt shot from 16 ft
0:18.0,Defensive rebound by J. Smith,,26-30,,
0:01.0,J. Smith misses 3-pt shot from 23 ft,,26-30,,
0:00.0,Offensive rebound by Team,,26-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by T. Burke (bad pass; steal by J. Leuer),,26-30,,
11:36.0,Personal foul by T. Burke (drawn by T. Harris),,26-30,,
11:26.0,,,26-30,,Turnover by I. Smith (bad pass; steal by K. Oubre)
11:21.0,K. Oubre makes 2-pt shot at rim,2,28-30,,
11:05.0,,,28-32,2,A. Baynes makes 2-pt shot from 17 ft (assist by I. Smith)
10:41.0,M. Morris makes 2-pt shot at rim,2,30-32,,
10:32.0,,,30-32,,R. Bullock misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by K. Oubre,,30-32,,
10:21.0,J. Smith misses 2-pt shot from 20 ft,,30-32,,
10:20.0,,,30-32,,Defensive rebound by I. Smith
10:14.0,,,30-32,,T. Harris misses 3-pt shot from 23 ft
10:13.0,,,30-32,,Offensive rebound by A. Baynes
10:13.0,,,30-34,2,A. Baynes makes 2-pt shot at rim
10:13.0,,,30-34,,Shooting foul by M. Morris (drawn by A. Baynes)
10:13.0,,,30-35,1,A. Baynes makes free throw 1 of 1
10:01.0,Turnover by M. Morris (bad pass; steal by J. Leuer),,30-35,,
9:54.0,,,30-38,3,R. Bullock makes 3-pt shot from 26 ft (assist by I. Smith)
9:33.0,T. Burke misses 2-pt shot from 14 ft,,30-38,,
9:32.0,,,30-38,,Defensive rebound by T. Harris
9:28.0,Personal foul by T. Burke (drawn by I. Smith),,30-38,,
9:16.0,,,30-41,3,R. Bullock makes 3-pt shot from 27 ft (assist by T. Harris)
9:15.0,Washington full timeout,,30-41,,
9:15.0,B. Beal enters the game for T. Satoransky,,30-41,,
9:06.0,,,30-41,,Personal foul by J. Leuer (drawn by M. Morris)
9:06.0,M. Morris misses free throw 1 of 2,,30-41,,
9:06.0,Offensive rebound by Team,,30-41,,
9:06.0,M. Morris makes free throw 2 of 2,1,31-41,,
8:54.0,,,31-41,,Turnover by T. Harris (step out of bounds)
8:36.0,J. Smith makes 2-pt shot from 6 ft (assist by M. Morris),2,33-41,,
8:14.0,,,33-43,2,T. Harris makes 2-pt shot from 17 ft (assist by J. Leuer)
8:02.0,,,33-43,,Def 3 sec tech foul by J. Leuer
8:02.0,B. Beal makes technical free throw,1,34-43,,
7:54.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Burke),3,37-43,,
7:38.0,,,37-43,,R. Bullock misses 3-pt shot from 23 ft
7:38.0,Defensive rebound by M. Morris,,37-43,,
7:25.0,M. Morris misses 2-pt shot from 11 ft,,37-43,,
7:24.0,,,37-43,,Defensive rebound by T. Harris
7:14.0,,,37-43,,Shooting foul by T. Burke (drawn by A. Baynes)
7:14.0,,,37-44,1,A. Baynes makes free throw 1 of 2
7:14.0,,,37-45,1,A. Baynes makes free throw 2 of 2
7:14.0,M. Gortat enters the game for J. Smith,,37-44,,
7:14.0,J. Wall enters the game for T. Burke,,37-44,,
7:14.0,,,37-44,,R. Jackson enters the game for I. Smith
6:53.0,K. Oubre misses 3-pt shot from 24 ft,,37-45,,
6:52.0,,,37-45,,Defensive rebound by R. Jackson
6:46.0,,,37-45,,Turnover by R. Jackson (bad pass; steal by J. Wall)
6:44.0,J. Wall makes 2-pt shot from 1 ft,2,39-45,,
6:44.0,Shooting foul by J. Leuer (drawn by J. Wall),,39-45,,
6:44.0,J. Wall makes free throw 1 of 1,1,40-45,,
6:44.0,,,39-45,,A. Drummond enters the game for A. Baynes
6:44.0,,,39-45,,M. Morris enters the game for J. Leuer
6:32.0,Personal foul by K. Oubre (drawn by M. Morris),,40-45,,
6:32.0,,,40-46,1,M. Morris makes free throw 1 of 2
6:32.0,,,40-47,1,M. Morris makes free throw 2 of 2
6:32.0,O. Porter enters the game for K. Oubre,,40-46,,
6:25.0,Turnover by J. Wall (bad pass; steal by R. Jackson),,40-47,,
6:19.0,,,40-47,,Offensive foul by A. Drummond
6:19.0,,,40-47,,Turnover by A. Drummond (offensive foul)
6:12.0,,,40-47,,Personal foul by R. Jackson (drawn by B. Beal)
5:55.0,,,40-47,,Violation by A. Drummond (def goaltending)
5:55.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,42-47,,
5:44.0,,,42-47,,R. Bullock misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by O. Porter,,42-47,,
5:44.0,,,42-47,,Personal foul by A. Drummond (drawn by M. Gortat)
5:44.0,Official timeout,,42-47,,
5:44.0,Violation by Team (jump ball),,42-47,,
5:44.0,,,42-47,,A. Baynes enters the game for A. Drummond
5:28.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,44-47,,
5:07.0,,,44-49,2,T. Harris makes 2-pt shot from 8 ft
4:57.0,Shooting foul by A. Baynes (drawn by J. Wall),,44-49,,
4:57.0,J. Wall makes free throw 1 of 2,1,45-49,,
4:57.0,J. Wall misses free throw 2 of 2,,45-49,,
4:57.0,Offensive rebound by M. Morris,,45-49,,
4:57.0,,,45-49,,S. Johnson enters the game for R. Bullock
4:56.0,M. Morris misses 2-pt shot from 5 ft,,45-49,,
4:55.0,,,45-49,,Defensive rebound by T. Harris
4:37.0,,,45-51,2,S. Johnson makes 2-pt shot from 19 ft (assist by T. Harris)
4:28.0,Offensive foul by M. Morris,,45-51,,
4:28.0,Turnover by M. Morris (offensive foul),,45-51,,
4:10.0,,,45-51,,T. Harris misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by B. Beal,,45-51,,
4:01.0,Shooting foul by A. Baynes (drawn by M. Gortat),,45-51,,
4:01.0,M. Gortat makes free throw 1 of 2,1,46-51,,
4:01.0,M. Gortat misses free throw 2 of 2,,46-51,,
4:01.0,,,46-51,,B. Marjanovic enters the game for A. Baynes
4:00.0,,,46-51,,Defensive rebound by Team
3:49.0,,,46-53,2,R. Jackson makes 2-pt shot from 18 ft
3:39.0,Shooting foul by R. Jackson (drawn by M. Gortat),,46-53,,
3:39.0,M. Gortat makes free throw 1 of 2,1,47-53,,
3:39.0,M. Gortat makes free throw 2 of 2,1,48-53,,
3:39.0,,,48-53,,Detroit full timeout
3:28.0,,,48-53,,M. Morris misses 2-pt shot from 19 ft
3:27.0,Defensive rebound by M. Gortat,,48-53,,
3:12.0,J. Wall makes 2-pt shot from 1 ft,2,50-53,,
2:51.0,,,50-53,,R. Jackson misses 2-pt shot from 20 ft
2:50.0,Defensive rebound by B. Beal,,50-53,,
2:42.0,Offensive foul by M. Gortat,,50-53,,
2:42.0,Turnover by M. Gortat (offensive foul),,50-53,,
2:42.0,,,50-53,,R. Bullock enters the game for S. Johnson
2:31.0,,,50-53,,Turnover by B. Marjanovic (3 sec)
2:16.0,O. Porter misses 3-pt shot from 23 ft,,50-53,,
2:16.0,,,50-53,,Defensive rebound by R. Bullock
2:07.0,,,50-55,2,T. Harris makes 2-pt shot from 19 ft
1:54.0,M. Morris misses 2-pt shot from 7 ft,,50-55,,
1:52.0,,,50-55,,Defensive rebound by B. Marjanovic
1:44.0,,,50-57,2,R. Jackson makes 2-pt shot from 13 ft
1:40.0,Washington full timeout,,50-57,,
1:40.0,,,50-57,,I. Smith enters the game for R. Jackson
1:40.0,J. Smith enters the game for M. Gortat,,50-57,,
1:40.0,,,50-57,,J. Leuer enters the game for B. Marjanovic
1:35.0,,,50-57,,Personal foul by R. Bullock (drawn by B. Beal)
1:35.0,B. Beal makes free throw 1 of 2,1,51-57,,
1:35.0,B. Beal makes free throw 2 of 2,1,52-57,,
1:17.0,,,52-57,,Turnover by J. Leuer (bad pass; steal by O. Porter)
1:10.0,O. Porter misses 2-pt shot from 6 ft,,52-57,,
1:10.0,Offensive rebound by J. Wall,,52-57,,
1:10.0,,,52-57,,Personal foul by R. Bullock (drawn by J. Wall)
1:10.0,J. Wall misses free throw 1 of 2,,52-57,,
1:10.0,Offensive rebound by Team,,52-57,,
1:10.0,J. Wall makes free throw 2 of 2,1,53-57,,
1:10.0,,,52-57,,S. Johnson enters the game for R. Bullock
0:53.0,,,53-57,,T. Harris misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by J. Smith,,53-57,,
0:40.0,B. Beal misses 3-pt shot from 26 ft,,53-57,,
0:40.0,,,53-57,,Defensive rebound by I. Smith
0:35.0,,,53-57,,I. Smith misses 2-pt shot from 1 ft
0:35.0,,,53-57,,Offensive rebound by J. Leuer
0:35.0,,,53-59,2,J. Leuer makes 2-pt shot from 1 ft
0:21.0,J. Smith makes 2-pt shot from 17 ft (assist by J. Wall),2,55-59,,
0:02.0,,,55-61,2,I. Smith makes 2-pt shot from 1 ft
0:01.0,B. Beal misses 3-pt shot from 26 ft,,55-61,,
0:00.0,Offensive rebound by Team,,55-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,57-61,,
11:52.0,Shooting foul by M. Morris (drawn by M. Gortat),,57-61,,
11:52.0,M. Gortat makes free throw 1 of 1,1,58-61,,
11:41.0,Personal foul by M. Morris (drawn by R. Jackson),,58-61,,
11:34.0,,,58-61,,R. Jackson misses 2-pt shot from 7 ft
11:34.0,,,58-61,,Offensive rebound by A. Drummond
11:34.0,,,58-61,,Shooting foul by J. Wall (drawn by A. Drummond)
11:34.0,,,58-62,1,A. Drummond makes free throw 1 of 2
11:34.0,,,58-62,,A. Drummond misses free throw 2 of 2
11:34.0,,,58-62,,Offensive rebound by M. Morris
11:26.0,,,58-64,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
11:07.0,O. Porter misses 2-pt shot from 18 ft,,58-64,,
11:06.0,,,58-64,,Defensive rebound by A. Drummond
10:52.0,,,58-64,,Turnover by A. Drummond (bad pass; steal by M. Gortat)
10:47.0,Shooting foul by A. Drummond (drawn by O. Porter),,58-64,,
10:47.0,O. Porter misses free throw 1 of 2,,58-64,,
10:47.0,Offensive rebound by Team,,58-64,,
10:47.0,O. Porter makes free throw 2 of 2,1,59-64,,
10:47.0,,,58-64,,A. Baynes enters the game for A. Drummond
10:31.0,,,59-64,,M. Morris misses 2-pt shot from 17 ft
10:31.0,Defensive rebound by B. Beal,,59-64,,
10:21.0,O. Porter misses 2-pt shot from 2 ft,,59-64,,
10:21.0,Jump ball: A. Baynes vs. O. Porter (M. Morris gains possession),,,,Jump ball: A. Baynes vs. O. Porter (M. Morris gains possession)
10:21.0,,,59-64,,Offensive rebound by Team
10:03.0,,,59-66,2,T. Harris makes 2-pt shot at rim (assist by M. Morris)
9:44.0,M. Morris misses 3-pt shot from 24 ft,,59-66,,
9:44.0,Offensive rebound by B. Beal,,59-66,,
9:38.0,M. Gortat misses 2-pt shot from 19 ft,,59-66,,
9:37.0,,,59-66,,Defensive rebound by M. Morris
9:29.0,,,59-68,2,R. Jackson makes 2-pt shot from 19 ft
9:09.0,J. Wall misses 2-pt shot from 19 ft,,59-68,,
9:09.0,,,59-68,,Defensive rebound by R. Jackson
9:00.0,,,59-68,,R. Jackson misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by M. Morris,,59-68,,
8:50.0,J. Wall misses 2-pt shot at rim,,59-68,,
8:49.0,,,59-68,,Defensive rebound by A. Baynes
8:32.0,,,59-68,,T. Harris misses 3-pt shot from 27 ft
8:31.0,Defensive rebound by J. Wall,,59-68,,
8:26.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,61-68,,
8:04.0,,,61-71,3,R. Bullock makes 3-pt shot from 24 ft (assist by T. Harris)
7:51.0,B. Beal misses 3-pt shot from 26 ft,,61-71,,
7:51.0,,,61-71,,Defensive rebound by M. Morris
7:42.0,,,61-74,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
7:42.0,Washington full timeout,,61-74,,
7:31.0,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal),3,64-74,,
7:15.0,,,64-74,,A. Baynes misses 2-pt shot from 1 ft
7:13.0,Defensive rebound by O. Porter,,64-74,,
7:07.0,Turnover by O. Porter (lost ball; steal by M. Morris),,64-74,,
7:04.0,,,64-76,2,T. Harris makes 2-pt shot from 1 ft (assist by M. Morris)
7:04.0,,,64-76,,Shooting foul by B. Beal (drawn by T. Harris)
7:04.0,,,64-76,,T. Harris misses free throw 1 of 1
7:04.0,Defensive rebound by Team,,64-76,,
7:04.0,,,64-76,,Loose ball foul by A. Baynes (drawn by M. Gortat)
6:52.0,B. Beal misses 2-pt shot from 2 ft,,64-76,,
6:51.0,,,64-76,,Defensive rebound by M. Morris
6:45.0,,,64-76,,Shooting foul by M. Gortat (drawn by R. Jackson)
6:45.0,,,64-77,1,R. Jackson makes free throw 1 of 2
6:45.0,,,64-78,1,R. Jackson makes free throw 2 of 2
6:45.0,,,64-77,,B. Marjanovic enters the game for A. Baynes
6:38.0,J. Wall makes 2-pt shot at rim,2,66-78,,
6:15.0,,,66-78,,M. Morris misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by J. Wall,,66-78,,
6:06.0,,,66-78,,Personal foul by M. Morris (drawn by J. Wall)
5:59.0,M. Gortat makes 2-pt shot from 12 ft (assist by O. Porter),2,68-78,,
5:43.0,,,68-81,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson)
5:27.0,J. Wall misses 3-pt shot from 24 ft,,68-81,,
5:27.0,,,68-81,,Defensive rebound by R. Bullock
5:15.0,,,68-81,,R. Bullock misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by M. Gortat,,68-81,,
5:05.0,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall),3,71-81,,
4:35.0,,,71-83,2,B. Marjanovic makes 2-pt shot from 7 ft (assist by T. Harris)
4:19.0,O. Porter misses 2-pt shot from 17 ft,,71-83,,
4:18.0,,,71-83,,Defensive rebound by T. Harris
4:10.0,,,71-85,2,T. Harris makes 2-pt shot from 6 ft (assist by R. Jackson)
4:10.0,Washington full timeout,,71-85,,
4:10.0,K. Oubre enters the game for M. Morris,,71-85,,
4:10.0,J. Smith enters the game for M. Gortat,,71-85,,
4:10.0,,,71-85,,I. Smith enters the game for R. Bullock
4:10.0,,,71-85,,J. Leuer enters the game for R. Jackson
4:10.0,,,71-85,,S. Johnson enters the game for B. Marjanovic
4:00.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,73-85,,
3:33.0,,,73-88,3,S. Johnson makes 3-pt shot from 26 ft (assist by T. Harris)
3:16.0,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal),3,76-88,,
2:54.0,,,76-88,,M. Morris misses 2-pt shot from 19 ft
2:54.0,Defensive rebound by O. Porter,,76-88,,
2:41.0,,,76-88,,Personal foul by S. Johnson (drawn by B. Beal)
2:41.0,B. Beal makes free throw 1 of 2,1,77-88,,
2:41.0,B. Beal makes free throw 2 of 2,1,78-88,,
2:18.0,,,78-88,,I. Smith misses 2-pt shot from 5 ft
2:18.0,,,78-88,,Offensive rebound by M. Morris
2:18.0,,,78-88,,Shooting foul by J. Wall (drawn by M. Morris)
2:18.0,,,78-89,1,M. Morris makes free throw 1 of 2
2:18.0,,,78-90,1,M. Morris makes free throw 2 of 2
2:06.0,B. Beal makes 2-pt shot from 1 ft,2,80-90,,
1:40.0,,,80-92,2,I. Smith makes 2-pt shot from 21 ft (assist by M. Morris)
1:29.0,J. Smith makes 2-pt shot from 16 ft (assist by B. Beal),2,82-92,,
1:13.0,,,82-94,2,I. Smith makes 2-pt shot at rim (assist by J. Leuer)
1:01.0,O. Porter misses 3-pt shot from 23 ft,,82-94,,
1:01.0,Offensive rebound by J. Wall,,82-94,,
0:55.0,Turnover by J. Wall (bad pass; steal by I. Smith),,82-94,,
0:48.0,,,82-97,3,M. Morris makes 3-pt shot from 23 ft (assist by I. Smith)
0:34.0,B. Beal misses 3-pt shot from 27 ft,,82-97,,
0:33.0,,,82-97,,Defensive rebound by M. Morris
0:29.0,,,82-97,,Shooting foul by O. Porter (drawn by I. Smith)
0:29.0,,,82-98,1,I. Smith makes free throw 1 of 2
0:29.0,,,82-98,,I. Smith misses free throw 2 of 2
0:29.0,,,82-98,,R. Bullock enters the game for M. Morris
0:27.0,Defensive rebound by J. Smith,,82-98,,
0:17.0,J. Wall misses 2-pt shot from 6 ft,,82-98,,
0:14.0,,,82-98,,Defensive rebound by R. Bullock
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,82-98,,Turnover by I. Smith (bad pass; steal by M. Morris)
11:49.0,,,82-98,,Personal foul by R. Bullock (drawn by M. Morris)
11:38.0,J. Smith misses 2-pt shot from 19 ft,,82-98,,
11:37.0,Offensive rebound by M. Morris,,82-98,,
11:32.0,T. Burke makes 3-pt shot from 24 ft (assist by M. Morris),3,85-98,,
11:18.0,,,85-98,,Shooting foul by M. Morris (drawn by A. Drummond)
11:18.0,,,85-98,,A. Drummond misses free throw 1 of 2
11:18.0,,,85-98,,Offensive rebound by Team
11:18.0,,,85-98,,A. Drummond misses free throw 2 of 2
11:17.0,Defensive rebound by S. Mac,,85-98,,
10:54.0,K. Oubre makes 2-pt shot from 13 ft (assist by T. Burke),2,87-98,,
10:37.0,Personal foul by M. Morris (drawn by I. Smith),,87-98,,
10:24.0,,,87-98,,I. Smith misses 2-pt shot from 21 ft
10:24.0,Defensive rebound by M. Morris,,87-98,,
10:12.0,Shooting foul by A. Drummond (drawn by J. Smith),,87-98,,
10:12.0,J. Smith makes free throw 1 of 2,1,88-98,,
10:12.0,J. Smith makes free throw 2 of 2,1,89-98,,
10:12.0,,,88-98,,A. Baynes enters the game for A. Drummond
9:57.0,,,89-100,2,I. Smith makes 2-pt shot from 1 ft
9:48.0,,,89-100,,Violation by A. Baynes (def goaltending)
9:48.0,T. Burke makes 2-pt shot from 1 ft,2,91-100,,
9:35.0,,,91-100,,I. Smith misses 2-pt shot from 6 ft
9:35.0,Defensive rebound by M. Morris,,91-100,,
9:29.0,S. Mac misses 2-pt shot from 1 ft (block by S. Johnson),,91-100,,
9:28.0,Offensive rebound by J. Smith,,91-100,,
9:24.0,J. Smith makes 2-pt shot from 1 ft,2,93-100,,
9:24.0,,,93-100,,Detroit full timeout
9:24.0,,,93-100,,R. Jackson enters the game for S. Johnson
9:24.0,,,93-100,,T. Harris enters the game for I. Smith
9:05.0,,,93-102,2,A. Baynes makes 2-pt shot from 4 ft (assist by R. Jackson)
8:46.0,M. Morris misses 2-pt shot from 7 ft (block by J. Leuer),,93-102,,
8:46.0,Offensive rebound by T. Burke,,93-102,,
8:42.0,T. Burke makes 2-pt shot from 16 ft,2,95-102,,
8:27.0,,,95-102,,J. Leuer misses 2-pt shot from 8 ft
8:25.0,Defensive rebound by S. Mac,,95-102,,
8:19.0,T. Burke misses 2-pt shot from 19 ft,,95-102,,
8:19.0,,,95-102,,Defensive rebound by T. Harris
8:05.0,,,95-104,2,R. Jackson makes 2-pt shot from 11 ft
7:49.0,K. Oubre misses 2-pt shot from 6 ft,,95-104,,
7:49.0,Offensive rebound by K. Oubre,,95-104,,
7:46.0,K. Oubre makes 2-pt shot at rim,2,97-104,,
7:35.0,,,97-104,,J. Leuer misses 2-pt shot from 5 ft (block by J. Smith)
7:34.0,Defensive rebound by T. Burke,,97-104,,
7:25.0,,,97-104,,Personal foul by A. Baynes (drawn by M. Morris)
7:25.0,B. Beal enters the game for T. Burke,,97-104,,
7:25.0,J. Wall enters the game for S. Mac,,97-104,,
7:25.0,,,97-104,,M. Morris enters the game for A. Baynes
7:11.0,B. Beal misses 2-pt shot from 20 ft,,97-104,,
7:11.0,,,97-104,,Defensive rebound by J. Leuer
7:01.0,,,97-104,,R. Jackson misses 3-pt shot from 26 ft
7:01.0,Defensive rebound by M. Morris,,97-104,,
