time,LA Lakers,pts.away,score,pts.home,LA Clippers
10:37.0,T. Robinson misses free throw 1 of 2,,20-29,,
10:37.0,Offensive rebound by Team,,20-29,,
10:37.0,T. Robinson misses free throw 2 of 2,,20-29,,
10:35.0,,,20-29,,Defensive rebound by M. Speights
10:23.0,,,20-31,2,R. Felton makes 2-pt shot from 9 ft
10:04.0,J. Clarkson makes 2-pt shot from 20 ft,2,22-31,,
9:51.0,,,22-31,,J. Crawford misses 2-pt shot from 8 ft (block by T. Black)
9:51.0,Defensive rebound by Team,,22-31,,
9:31.0,Offensive charge foul by T. Black,,22-31,,
9:31.0,Turnover by T. Black (offensive foul),,22-31,,
9:12.0,,,22-34,3,M. Speights makes 3-pt shot from 25 ft (assist by R. Felton)
8:53.0,T. Robinson misses 2-pt shot from 2 ft,,22-34,,
8:52.0,,,22-34,,Defensive rebound by B. Bass
8:37.0,,,22-36,2,R. Felton makes 2-pt shot from 2 ft (assist by J. Crawford)
8:35.0,LA Lakers full timeout,,22-36,,
8:35.0,J. Randle enters the game for T. Robinson,,22-36,,
8:25.0,J. Clarkson misses 2-pt shot from 23 ft,,22-36,,
8:25.0,Offensive rebound by T. Black,,22-36,,
8:25.0,,,22-36,,Personal foul by B. Bass (drawn by T. Black)
8:19.0,Shooting foul by W. Johnson (drawn by J. Clarkson),,22-36,,
8:19.0,J. Clarkson makes free throw 1 of 2,1,23-36,,
8:19.0,J. Clarkson makes free throw 2 of 2,1,24-36,,
8:01.0,,,24-36,,J. Crawford misses 2-pt shot from 17 ft
8:00.0,Defensive rebound by J. Clarkson,,24-36,,
7:51.0,L. Williams misses 2-pt shot from 1 ft (block by M. Speights),,24-36,,
7:50.0,,,24-36,,Defensive rebound by R. Felton
7:46.0,,,24-38,2,B. Bass makes 2-pt shot from 1 ft (assist by R. Felton)
7:23.0,L. Williams misses 3-pt shot from 28 ft,,24-38,,
7:23.0,Offensive rebound by Team,,24-38,,
7:23.0,,,24-38,,Loose ball foul by M. Speights (drawn by T. Black)
7:23.0,,,24-38,,C. Paul enters the game for W. Johnson
7:04.0,J. Randle makes 2-pt shot from 20 ft (assist by L. Williams),2,26-38,,
6:51.0,,,26-38,,R. Felton misses 2-pt shot from 20 ft
6:49.0,Defensive rebound by J. Randle,,26-38,,
6:45.0,L. Williams misses 2-pt shot from 12 ft,,26-38,,
6:45.0,,,26-38,,Defensive rebound by Team
6:45.0,Loose ball foul by T. Black (drawn by B. Bass),,26-38,,
6:45.0,,,26-38,,D. Jordan enters the game for J. Crawford
6:45.0,,,26-38,,J. Redick enters the game for B. Bass
6:45.0,D. Russell enters the game for L. Williams,,26-38,,
6:20.0,,,26-40,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
6:04.0,B. Ingram misses 2-pt shot from 7 ft,,26-40,,
6:03.0,Offensive rebound by J. Randle,,26-40,,
6:02.0,Turnover by J. Randle (bad pass),,26-40,,
6:02.0,,,26-40,,A. Rivers enters the game for R. Felton
5:49.0,,,26-40,,M. Speights misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by B. Ingram,,26-40,,
5:37.0,J. Clarkson makes 2-pt shot from 18 ft,2,28-40,,
5:16.0,,,28-40,,C. Paul misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by T. Black,,28-40,,
5:05.0,T. Black makes 2-pt shot from 2 ft (assist by J. Clarkson),2,30-40,,
4:50.0,,,30-42,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:23.0,J. Randle misses 2-pt shot from 13 ft,,30-42,,
4:22.0,Offensive rebound by D. Russell,,30-42,,
4:11.0,B. Ingram misses 2-pt shot from 14 ft,,30-42,,
4:10.0,,,30-42,,Defensive rebound by D. Jordan
3:58.0,,,30-45,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
3:58.0,LA Lakers full timeout,,30-45,,
3:58.0,Technical foul by Team,,30-45,,
3:58.0,,,30-46,1,C. Paul makes technical free throw
3:58.0,,,30-45,,L. Mbah a Moute enters the game for M. Speights
3:58.0,J. Calderon enters the game for J. Clarkson,,30-45,,
3:58.0,T. Mozgov enters the game for T. Black,,30-45,,
3:58.0,N. Young enters the game for B. Ingram,,30-45,,
3:48.0,Turnover by T. Mozgov (bad pass; steal by J. Redick),,30-46,,
3:44.0,,,30-46,,J. Redick misses 2-pt shot from 2 ft
3:39.0,,,30-46,,Offensive rebound by D. Jordan
3:36.0,,,30-48,2,D. Jordan makes 2-pt shot at rim
3:27.0,Shooting foul by A. Rivers (drawn by D. Russell),,30-48,,
3:27.0,D. Russell makes free throw 1 of 2,1,31-48,,
3:27.0,D. Russell makes free throw 2 of 2,1,32-48,,
3:21.0,,,32-48,,Offensive foul by J. Redick
3:21.0,,,32-48,,Turnover by J. Redick (offensive foul)
2:57.0,J. Randle misses 2-pt shot from 18 ft,,32-48,,
2:55.0,,,32-48,,Defensive rebound by J. Redick
2:50.0,,,32-50,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
2:43.0,Turnover by D. Russell (lost ball; steal by C. Paul),,32-50,,
2:41.0,Personal foul by N. Young (drawn by L. Mbah a Moute),,32-50,,
2:41.0,Official timeout,,32-50,,
2:33.0,,,32-50,,J. Redick misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by J. Randle,,32-50,,
2:14.0,,,32-50,,Def 3 sec tech foul by D. Jordan
2:14.0,D. Russell misses technical free throw,,32-50,,
2:14.0,Offensive rebound by Team,,32-50,,
2:05.0,D. Russell makes 2-pt shot from 20 ft (assist by T. Mozgov),2,34-50,,
1:45.0,,,34-50,,Shooting foul by D. Russell (drawn by C. Paul)
1:45.0,,,34-51,1,C. Paul makes free throw 1 of 2
1:45.0,,,34-52,1,C. Paul makes free throw 2 of 2
1:29.0,J. Calderon misses 3-pt shot from 25 ft,,34-52,,
1:28.0,,,34-52,,Defensive rebound by C. Paul
1:19.0,,,34-52,,C. Paul misses 2-pt shot from 19 ft
1:19.0,,,34-52,,Offensive rebound by L. Mbah a Moute
1:19.0,,,34-52,,Shooting foul by J. Randle (drawn by L. Mbah a Moute)
1:19.0,,,34-53,1,L. Mbah a Moute makes free throw 1 of 2
1:19.0,,,34-54,1,L. Mbah a Moute makes free throw 2 of 2
1:05.0,Offensive foul by J. Randle,,34-54,,
1:05.0,Turnover by J. Randle (offensive foul),,34-54,,
0:59.0,,,34-54,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by T. Mozgov)
0:57.0,,,34-54,,Offensive rebound by L. Mbah a Moute
0:56.0,,,34-56,2,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute)
0:45.0,Turnover by J. Calderon (bad pass; steal by C. Paul),,34-56,,
0:39.0,,,34-56,,J. Redick misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by T. Mozgov,,34-56,,
0:31.0,J. Calderon makes 3-pt shot from 24 ft (assist by D. Russell),3,37-56,,
0:12.0,,,37-58,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:00.0,J. Randle makes 2-pt shot from 16 ft (assist by D. Russell),2,39-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,D. Russell misses 2-pt shot from 18 ft,,39-58,,
11:37.0,Offensive rebound by T. Mozgov,,39-58,,
11:37.0,T. Mozgov makes 2-pt shot at rim,2,41-58,,
11:37.0,Shooting foul by D. Jordan (drawn by T. Mozgov),,41-58,,
11:37.0,T. Mozgov misses free throw 1 of 1,,41-58,,
11:36.0,,,41-58,,Defensive rebound by D. Jordan
11:20.0,,,41-60,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
11:02.0,B. Ingram makes 3-pt shot from 24 ft (assist by D. Russell),3,44-60,,
10:47.0,,,44-60,,J. Redick misses 2-pt shot from 20 ft
10:45.0,Defensive rebound by J. Randle,,44-60,,
10:37.0,N. Young makes 3-pt shot from 24 ft (assist by D. Russell),3,47-60,,
10:17.0,,,47-60,,J. Redick misses 2-pt shot from 7 ft
10:15.0,Defensive rebound by J. Randle,,47-60,,
10:13.0,N. Young makes 2-pt shot at rim (assist by J. Randle),2,49-60,,
10:13.0,,,49-60,,LA Clippers full timeout
9:59.0,,,49-62,2,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by C. Paul)
9:46.0,Shooting foul by D. Jordan (drawn by D. Russell),,49-62,,
9:46.0,D. Russell makes free throw 1 of 2,1,50-62,,
9:46.0,D. Russell misses free throw 2 of 2,,50-62,,
9:45.0,,,50-62,,Defensive rebound by D. Jordan
9:22.0,,,50-62,,C. Paul misses 3-pt shot from 24 ft
9:22.0,,,50-62,,Offensive rebound by C. Paul
9:19.0,,,50-64,2,C. Paul makes 2-pt shot from 15 ft
8:53.0,J. Randle misses 2-pt shot from 6 ft,,50-64,,
8:51.0,,,50-64,,Defensive rebound by L. Mbah a Moute
8:36.0,Violation by T. Mozgov (def goaltending),,50-64,,
8:36.0,,,50-66,2,A. Rivers makes 2-pt shot from 2 ft
8:36.0,Technical foul by T. Mozgov,,50-66,,
8:36.0,,,50-67,1,C. Paul makes technical free throw
8:18.0,T. Mozgov makes 2-pt shot at rim (assist by B. Ingram),2,52-67,,
8:02.0,,,52-67,,C. Paul misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by B. Ingram,,52-67,,
7:51.0,B. Ingram misses 2-pt shot from 2 ft (block by A. Rivers),,52-67,,
7:51.0,Offensive rebound by Team,,52-67,,
7:49.0,Shooting foul by L. Mbah a Moute (drawn by B. Ingram),,52-67,,
7:49.0,B. Ingram misses free throw 1 of 2,,52-67,,
7:49.0,Offensive rebound by Team,,52-67,,
7:49.0,B. Ingram makes free throw 2 of 2,1,53-67,,
7:36.0,,,53-69,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
7:11.0,B. Ingram makes 3-pt shot from 25 ft (assist by T. Mozgov),3,56-69,,
6:54.0,,,56-69,,A. Rivers misses 3-pt shot from 27 ft
6:52.0,Defensive rebound by D. Russell,,56-69,,
6:46.0,N. Young makes 3-pt shot from 23 ft (assist by B. Ingram),3,59-69,,
6:16.0,,,59-72,3,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick)
6:05.0,,,59-72,,Personal foul by J. Redick (drawn by D. Russell)
5:56.0,D. Russell misses 3-pt shot from 26 ft,,59-72,,
5:56.0,,,59-72,,Defensive rebound by D. Jordan
5:43.0,Personal foul by J. Randle (drawn by D. Jordan),,59-72,,
5:43.0,J. Clarkson enters the game for J. Randle,,59-72,,
5:37.0,,,59-72,,A. Rivers misses 2-pt shot from 19 ft
5:34.0,Defensive rebound by T. Mozgov,,59-72,,
5:33.0,,,59-72,,Personal foul by L. Mbah a Moute (drawn by B. Ingram)
5:33.0,B. Ingram makes free throw 1 of 2,1,60-72,,
5:33.0,B. Ingram makes free throw 2 of 2,1,61-72,,
5:15.0,,,61-74,2,C. Paul makes 2-pt shot from 16 ft
4:55.0,,,61-74,,Personal foul by L. Mbah a Moute (drawn by N. Young)
4:55.0,N. Young misses free throw 1 of 2,,61-74,,
4:55.0,Offensive rebound by Team,,61-74,,
4:55.0,N. Young makes free throw 2 of 2,1,62-74,,
4:55.0,,,61-74,,J. Crawford enters the game for L. Mbah a Moute
4:43.0,,,62-76,2,A. Rivers makes 2-pt shot from 10 ft
4:21.0,J. Clarkson misses 2-pt shot from 16 ft,,62-76,,
4:20.0,,,62-76,,Defensive rebound by D. Jordan
4:16.0,Personal foul by J. Clarkson (drawn by C. Paul),,62-76,,
4:16.0,,,62-76,,R. Felton enters the game for J. Redick
4:16.0,T. Black enters the game for T. Mozgov,,62-76,,
4:04.0,,,62-76,,C. Paul misses 2-pt shot from 12 ft
4:02.0,,,62-76,,Offensive rebound by C. Paul
4:00.0,,,62-78,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:00.0,LA Lakers full timeout,,62-78,,
4:00.0,L. Williams enters the game for N. Young,,62-78,,
4:00.0,,,62-78,,W. Johnson enters the game for C. Paul
3:44.0,Turnover by J. Clarkson (bad pass; steal by A. Rivers),,62-78,,
3:29.0,,,62-80,2,A. Rivers makes 2-pt shot from 2 ft
3:08.0,Turnover by B. Ingram (bad pass; steal by A. Rivers),,62-80,,
2:54.0,,,62-80,,Turnover by A. Rivers (bad pass; steal by B. Ingram)
2:48.0,J. Clarkson makes 2-pt shot at rim (assist by B. Ingram),2,64-80,,
2:28.0,,,64-82,2,R. Felton makes 2-pt shot from 20 ft
2:09.0,T. Black makes 2-pt shot from 1 ft (assist by B. Ingram),2,66-82,,
1:42.0,,,66-82,,A. Rivers misses 3-pt shot from 27 ft
1:41.0,Defensive rebound by T. Black,,66-82,,
1:26.0,B. Ingram makes 2-pt shot from 9 ft (assist by J. Clarkson),2,68-82,,
1:06.0,,,68-82,,W. Johnson misses 2-pt shot from 21 ft
1:06.0,,,68-82,,Offensive rebound by D. Jordan
1:06.0,,,68-84,2,D. Jordan makes 2-pt shot at rim
1:06.0,,,68-84,,Shooting foul by T. Black (drawn by D. Jordan)
1:06.0,,,68-84,,D. Jordan misses free throw 1 of 1
1:06.0,,,68-84,,A. Anderson enters the game for A. Rivers
1:06.0,M. Huertas enters the game for D. Russell,,68-84,,
1:04.0,Defensive rebound by B. Ingram,,68-84,,
0:56.0,L. Williams misses 3-pt shot from 25 ft,,68-84,,
0:56.0,,,68-84,,Defensive rebound by W. Johnson
0:42.0,,,68-84,,Turnover by J. Crawford (bad pass)
0:42.0,,,68-84,,M. Speights enters the game for D. Jordan
0:32.0,J. Clarkson misses 3-pt shot from 23 ft,,68-84,,
0:29.0,,,68-84,,Defensive rebound by W. Johnson
0:07.0,,,68-84,,J. Crawford misses 2-pt shot from 22 ft
0:05.0,Defensive rebound by L. Williams,,68-84,,
0:01.0,L. Williams misses 3-pt shot from 25 ft (block by R. Felton),,68-84,,
0:00.0,Offensive rebound by Team,,68-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,68-84,,A. Anderson misses 3-pt shot from 24 ft
11:47.0,Defensive rebound by B. Ingram,,68-84,,
11:34.0,M. Huertas misses 2-pt shot from 15 ft,,68-84,,
11:32.0,,,68-84,,Defensive rebound by R. Felton
11:14.0,,,68-87,3,W. Johnson makes 3-pt shot from 25 ft (assist by R. Felton)
11:04.0,J. Clarkson makes 2-pt shot from 6 ft,2,70-87,,
10:54.0,,,70-89,2,R. Felton makes 2-pt shot from 1 ft
10:43.0,L. Williams makes 3-pt shot from 25 ft,3,73-89,,
10:23.0,,,73-91,2,J. Crawford makes 2-pt shot from 2 ft (assist by R. Felton)
10:16.0,L. Williams makes 2-pt shot from 10 ft,2,75-91,,
10:16.0,Shooting foul by M. Speights,,75-91,,
10:16.0,L. Williams misses free throw 1 of 1,,75-91,,
10:15.0,,,75-91,,Defensive rebound by W. Johnson
9:53.0,,,75-91,,R. Felton misses 2-pt shot from 20 ft
9:53.0,Defensive rebound by Team,,75-91,,
9:53.0,,,75-91,,Loose ball foul by M. Speights (drawn by J. Clarkson)
9:46.0,,,75-91,,Personal foul by A. Anderson (drawn by J. Clarkson)
9:31.0,Shooting foul by M. Speights (drawn by B. Ingram),,75-91,,
9:31.0,B. Ingram misses free throw 1 of 2,,75-91,,
9:31.0,Offensive rebound by Team,,75-91,,
9:31.0,B. Ingram makes free throw 2 of 2,1,76-91,,
9:31.0,,,75-91,,D. Jordan enters the game for M. Speights
9:07.0,,,76-91,,J. Crawford misses 2-pt shot from 6 ft
9:04.0,Defensive rebound by T. Black,,76-91,,
8:58.0,M. Huertas makes 2-pt shot from 8 ft,2,78-91,,
8:38.0,,,78-93,2,D. Jordan makes 2-pt shot at rim (assist by A. Anderson)
8:33.0,Shooting foul by A. Anderson,,78-93,,
8:33.0,Official timeout,,78-93,,
8:33.0,L. Williams makes free throw 1 of 3,1,79-93,,
8:33.0,L. Williams makes free throw 2 of 3,1,80-93,,
8:33.0,L. Williams makes free throw 3 of 3,1,81-93,,
8:33.0,,,78-93,,J. Redick enters the game for W. Johnson
8:33.0,,,78-93,,C. Paul enters the game for A. Anderson
8:16.0,,,81-95,2,C. Paul makes 2-pt shot from 17 ft
8:02.0,Offensive foul by T. Black,,81-95,,
8:02.0,Turnover by T. Black (offensive foul),,81-95,,
7:48.0,,,81-97,2,C. Paul makes 2-pt shot from 12 ft
7:32.0,Shooting foul by R. Felton (drawn by T. Black),,81-97,,
7:32.0,T. Black makes free throw 1 of 2,1,82-97,,
7:32.0,T. Black makes free throw 2 of 2,1,83-97,,
7:17.0,,,83-97,,J. Crawford misses 2-pt shot from 14 ft
7:14.0,Defensive rebound by T. Black,,83-97,,
7:10.0,Shooting foul by J. Redick (drawn by T. Black),,83-97,,
7:10.0,T. Black makes 2-pt shot from 3 ft (assist by M. Huertas),2,85-97,,
7:10.0,T. Black misses free throw 1 of 1,,85-97,,
7:10.0,N. Young enters the game for M. Huertas,,85-97,,
7:10.0,D. Russell enters the game for B. Ingram,,85-97,,
7:08.0,,,85-97,,Defensive rebound by D. Jordan
6:49.0,,,85-97,,Turnover by C. Paul (bad pass; steal by L. Williams)
6:40.0,L. Williams misses 2-pt shot from 8 ft,,85-97,,
6:36.0,,,85-97,,Defensive rebound by D. Jordan
6:24.0,,,85-99,2,R. Felton makes 2-pt shot from 5 ft
6:13.0,N. Young misses 2-pt shot from 1 ft,,85-99,,
6:12.0,Offensive rebound by D. Russell,,85-99,,
6:12.0,D. Russell misses 2-pt shot from 1 ft,,85-99,,
6:08.0,,,85-99,,Defensive rebound by D. Jordan
6:07.0,,,85-102,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
6:07.0,LA Lakers full timeout,,85-102,,
6:07.0,B. Ingram enters the game for L. Williams,,85-102,,
6:07.0,M. Huertas enters the game for D. Russell,,85-102,,
6:07.0,J. Randle enters the game for T. Black,,85-102,,
6:07.0,,,85-102,,A. Rivers enters the game for J. Crawford
5:46.0,N. Young misses 3-pt shot from 25 ft,,85-102,,
5:45.0,,,85-102,,Defensive rebound by C. Paul
5:38.0,Personal take foul by M. Huertas (drawn by D. Jordan),,85-102,,
5:33.0,Personal foul by M. Huertas (drawn by C. Paul),,85-102,,
5:25.0,,,85-104,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
5:08.0,M. Huertas misses 2-pt shot from 1 ft (block by D. Jordan),,85-104,,
5:08.0,Offensive rebound by Team,,85-104,,
4:58.0,J. Clarkson misses 2-pt shot from 17 ft,,85-104,,
4:56.0,,,85-104,,Defensive rebound by D. Jordan
4:45.0,,,85-104,,D. Jordan misses 2-pt shot from 2 ft
4:41.0,,,85-104,,Offensive rebound by D. Jordan
4:41.0,,,85-106,2,D. Jordan makes 2-pt shot from 2 ft
4:24.0,J. Clarkson makes 3-pt shot from 25 ft (assist by M. Huertas),3,88-106,,
3:59.0,,,88-108,2,R. Felton makes 2-pt shot from 23 ft
3:47.0,J. Clarkson misses 2-pt shot from 2 ft (block by D. Jordan),,88-108,,
3:46.0,Offensive rebound by J. Clarkson,,88-108,,
3:34.0,J. Clarkson makes 3-pt shot from 25 ft,3,91-108,,
3:14.0,,,91-108,,A. Rivers misses 2-pt shot from 7 ft
3:14.0,Defensive rebound by J. Randle,,91-108,,
3:14.0,,,91-108,,Personal foul by C. Paul (drawn by M. Huertas)
3:14.0,M. Huertas misses free throw 1 of 2,,91-108,,
3:14.0,Offensive rebound by Team,,91-108,,
3:14.0,M. Huertas misses free throw 2 of 2,,91-108,,
