time,Cleveland,pts.away,score,pts.home,New Orleans
1:07.0,,,24-33,,Defensive rebound by L. Galloway
0:57.0,,,24-33,,D. Motiejunas misses 2-pt shot from 6 ft
0:55.0,Defensive rebound by K. Love,,24-33,,
0:41.0,K. Love misses 2-pt shot from 12 ft,,24-33,,
0:39.0,,,24-33,,Defensive rebound by J. Holiday
0:23.0,,,24-35,2,J. Holiday makes 2-pt shot from 4 ft
0:03.0,K. Irving misses 3-pt shot from 24 ft,,24-35,,
0:02.0,Offensive rebound by K. Love,,24-35,,
0:01.0,Shooting foul by E. Moore (drawn by K. Love),,24-35,,
0:01.0,K. Love makes free throw 1 of 2,1,25-35,,
0:01.0,K. Love makes free throw 2 of 2,1,26-35,,
0:00.0,,,26-35,,J. Holiday misses 3-pt shot from 32 ft
0:00.0,,,26-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,C. Frye misses 3-pt shot from 24 ft,,26-35,,
11:46.0,,,26-35,,Defensive rebound by L. Galloway
11:27.0,,,26-35,,Turnover by D. Motiejunas (bad pass; steal by D. Liggins)
11:23.0,Turnover by L. James (bad pass; steal by E. Moore),,26-35,,
11:10.0,,,26-35,,D. Motiejunas misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by K. Korver,,26-35,,
10:50.0,C. Frye makes 3-pt shot from 27 ft (assist by L. James),3,29-35,,
10:35.0,,,29-37,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by S. Hill)
10:16.0,K. Korver misses 2-pt shot from 20 ft (block by S. Hill),,29-37,,
10:15.0,,,29-37,,Defensive rebound by E. Moore
10:08.0,,,29-40,3,D. Motiejunas makes 3-pt shot from 23 ft (assist by T. Evans)
9:41.0,D. Liggins misses 2-pt shot from 22 ft,,29-40,,
9:39.0,Offensive rebound by C. Frye,,29-40,,
9:38.0,C. Frye misses 2-pt shot from 1 ft,,29-40,,
9:37.0,,,29-40,,Defensive rebound by D. Motiejunas
9:30.0,,,29-40,,Shooting foul by R. Jefferson (drawn by T. Evans)
9:30.0,,,29-41,1,T. Evans makes free throw 1 of 2
9:30.0,,,29-42,1,T. Evans makes free throw 2 of 2
9:19.0,L. James misses 2-pt shot from 1 ft,,29-42,,
9:16.0,,,29-42,,Defensive rebound by Team
9:08.0,,,29-44,2,T. Evans makes 2-pt shot from 2 ft
8:55.0,,,29-44,,Personal block foul by D. Motiejunas (drawn by L. James)
8:55.0,Official timeout,,29-44,,
8:45.0,K. Korver makes 2-pt shot from 16 ft (assist by L. James),2,31-44,,
8:32.0,,,31-44,,T. Evans misses 3-pt shot from 26 ft
8:29.0,Defensive rebound by L. James,,31-44,,
8:23.0,L. James makes 2-pt shot from 2 ft,2,33-44,,
8:11.0,,,33-46,2,T. Evans makes 2-pt shot from 2 ft
7:54.0,L. James misses 2-pt shot from 4 ft,,33-46,,
7:51.0,,,33-46,,Defensive rebound by E. Moore
7:43.0,,,33-46,,Shooting foul by C. Frye (drawn by D. Motiejunas)
7:43.0,Technical foul by Team,,33-46,,
7:43.0,,,33-47,1,L. Galloway makes technical free throw
7:43.0,,,33-47,,D. Motiejunas misses free throw 1 of 2
7:43.0,,,33-47,,Offensive rebound by Team
7:43.0,,,33-47,,D. Motiejunas misses free throw 2 of 2
7:42.0,Defensive rebound by R. Jefferson,,33-47,,
7:30.0,Offensive foul by R. Jefferson,,33-47,,
7:30.0,Turnover by R. Jefferson (offensive foul),,33-47,,
7:30.0,K. Irving enters the game for R. Jefferson,,33-47,,
7:22.0,,,33-47,,Offensive charge foul by T. Evans
7:22.0,,,33-47,,Turnover by T. Evans (offensive foul)
7:06.0,C. Frye misses 3-pt shot from 25 ft,,33-47,,
7:06.0,,,33-47,,Defensive rebound by T. Evans
6:48.0,,,33-47,,E. Moore misses 2-pt shot from 8 ft (block by C. Frye)
6:47.0,,,33-47,,Offensive rebound by E. Moore
6:45.0,,,33-47,,Shooting foul by C. Frye (drawn by D. Motiejunas)
6:45.0,,,33-48,1,D. Motiejunas makes free throw 1 of 2
6:45.0,,,33-49,1,D. Motiejunas makes free throw 2 of 2
6:45.0,T. Thompson enters the game for C. Frye,,33-48,,
6:45.0,K. Love enters the game for D. Liggins,,33-48,,
6:37.0,,,33-49,,Personal foul by D. Motiejunas (drawn by L. James)
6:37.0,,,33-49,,T. Jones enters the game for S. Hill
6:37.0,,,33-49,,J. Holiday enters the game for E. Moore
6:25.0,K. Love misses 3-pt shot from 24 ft,,33-49,,
6:24.0,Offensive rebound by L. James,,33-49,,
6:22.0,L. James makes 2-pt shot at rim,2,35-49,,
5:57.0,,,35-49,,T. Evans misses 3-pt shot from 25 ft
5:56.0,,,35-49,,Offensive rebound by D. Motiejunas
5:43.0,,,35-49,,T. Evans misses 2-pt shot from 16 ft
5:42.0,,,35-49,,Offensive rebound by T. Jones
5:28.0,,,35-49,,T. Evans misses 2-pt shot from 4 ft
5:28.0,Defensive rebound by K. Love,,35-49,,
5:13.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,38-49,,
4:47.0,,,38-49,,D. Motiejunas misses 2-pt shot from 7 ft
4:45.0,Defensive rebound by Team,,38-49,,
4:45.0,,,38-49,,New Orleans full timeout
4:45.0,,,38-49,,S. Hill enters the game for T. Evans
4:40.0,L. James makes 2-pt shot from 2 ft,2,40-49,,
4:25.0,,,40-51,2,J. Holiday makes 2-pt shot from 18 ft
4:12.0,L. James makes 2-pt shot at rim (assist by K. Love),2,42-51,,
3:54.0,,,42-54,3,J. Holiday makes 3-pt shot from 25 ft
3:37.0,K. Korver misses 3-pt shot from 24 ft,,42-54,,
3:35.0,,,42-54,,Defensive rebound by L. Galloway
3:27.0,,,42-56,2,J. Holiday makes 2-pt shot at rim
3:26.0,Cleveland full timeout,,42-56,,
3:26.0,I. Shumpert enters the game for K. Korver,,42-56,,
3:26.0,,,42-56,,D. Cunningham enters the game for S. Hill
3:08.0,K. Irving misses 2-pt shot from 7 ft,,42-56,,
3:05.0,,,42-56,,Defensive rebound by D. Cunningham
2:50.0,,,42-59,3,T. Jones makes 3-pt shot from 26 ft (assist by J. Holiday)
2:25.0,I. Shumpert makes 2-pt shot from 21 ft (assist by L. James),2,44-59,,
2:10.0,,,44-61,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by L. Galloway)
1:51.0,Turnover by K. Love (lost ball; steal by D. Motiejunas),,44-61,,
1:45.0,,,44-64,3,J. Holiday makes 3-pt shot from 27 ft
1:23.0,K. Irving makes 2-pt shot from 2 ft,2,46-64,,
1:06.0,,,46-66,2,T. Jones makes 2-pt shot from 1 ft
0:51.0,L. James makes 2-pt shot at rim (assist by K. Love),2,48-66,,
0:46.0,,,48-66,,L. Galloway misses 3-pt shot from 24 ft
0:45.0,,,48-66,,Offensive rebound by D. Cunningham
0:44.0,,,48-68,2,D. Cunningham makes 2-pt shot from 1 ft
0:28.0,K. Love misses 3-pt shot from 22 ft,,48-68,,
0:27.0,,,48-68,,Defensive rebound by D. Cunningham
0:07.0,,,48-70,2,J. Holiday makes 2-pt shot from 23 ft
0:01.0,,,48-70,,T. Evans enters the game for J. Holiday
0:01.0,R. Jefferson enters the game for T. Thompson,,48-70,,
0:01.0,,,48-70,,C. Diallo enters the game for D. Motiejunas
0:01.0,,,48-70,,Personal foul by L. Galloway (drawn by L. James)
0:01.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,50-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,K. Irving makes 2-pt shot from 21 ft,2,52-70,,
11:18.0,,,52-70,,J. Holiday misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by T. Thompson,,52-70,,
10:58.0,Turnover by K. Love (lost ball; steal by J. Holiday),,52-70,,
10:52.0,,,52-70,,T. Jones misses 2-pt shot from 5 ft
10:51.0,,,52-70,,Offensive rebound by T. Jones
10:50.0,,,52-70,,T. Jones misses 2-pt shot from 2 ft
10:49.0,Defensive rebound by L. James,,52-70,,
10:42.0,L. James makes 2-pt shot from 2 ft,2,54-70,,
10:28.0,,,54-73,3,T. Jones makes 3-pt shot from 26 ft (assist by B. Hield)
10:14.0,K. Irving makes 3-pt shot from 24 ft,3,57-73,,
10:00.0,,,57-73,,Turnover by J. Holiday (lost ball; steal by I. Shumpert)
9:57.0,,,57-73,,Personal foul by J. Holiday (drawn by K. Irving)
9:49.0,K. Irving misses 3-pt shot from 27 ft,,57-73,,
9:49.0,,,57-73,,Defensive rebound by T. Jones
9:38.0,,,57-73,,T. Jones misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by K. Love,,57-73,,
9:26.0,I. Shumpert misses 3-pt shot from 23 ft,,57-73,,
9:25.0,,,57-73,,Defensive rebound by D. Cunningham
9:06.0,,,57-73,,S. Hill misses 3-pt shot from 27 ft
9:05.0,Defensive rebound by L. James,,57-73,,
8:59.0,,,57-73,,Personal foul by B. Hield (drawn by K. Love)
8:57.0,K. Love makes 2-pt shot from 7 ft (assist by L. James),2,59-73,,
8:46.0,,,59-75,2,T. Jones makes 2-pt shot from 3 ft (assist by J. Holiday)
8:35.0,K. Irving misses 3-pt shot from 25 ft,,59-75,,
8:33.0,,,59-75,,Defensive rebound by T. Jones
8:27.0,,,59-75,,B. Hield misses 2-pt shot from 3 ft (block by K. Irving)
8:26.0,Defensive rebound by I. Shumpert,,59-75,,
8:15.0,Shooting foul by D. Cunningham (drawn by K. Irving),,59-75,,
8:15.0,K. Irving makes free throw 1 of 2,1,60-75,,
8:15.0,K. Irving makes free throw 2 of 2,1,61-75,,
8:05.0,,,61-75,,T. Jones misses 2-pt shot from 6 ft
8:04.0,Defensive rebound by K. Love,,61-75,,
7:45.0,L. James misses 3-pt shot from 25 ft,,61-75,,
7:44.0,,,61-75,,Defensive rebound by B. Hield
7:27.0,,,61-75,,D. Cunningham misses 2-pt shot from 2 ft (block by T. Thompson)
7:25.0,Defensive rebound by Team,,61-75,,
7:09.0,I. Shumpert misses 2-pt shot from 1 ft (block by B. Hield),,61-75,,
7:04.0,,,61-75,,Defensive rebound by B. Hield
7:02.0,,,61-75,,B. Hield misses 3-pt shot from 25 ft
6:59.0,,,61-75,,Offensive rebound by Team
6:47.0,,,61-75,,Turnover by T. Jones (bad pass; steal by L. James)
6:36.0,T. Thompson misses 2-pt shot from 2 ft (block by J. Holiday),,61-75,,
6:36.0,Offensive rebound by Team,,61-75,,
6:32.0,K. Love misses 3-pt shot from 26 ft,,61-75,,
6:29.0,,,61-75,,Defensive rebound by T. Jones
6:24.0,,,61-78,3,B. Hield makes 3-pt shot from 26 ft (assist by D. Cunningham)
6:10.0,K. Irving misses 2-pt shot from 18 ft,,61-78,,
6:09.0,Offensive rebound by K. Love,,61-78,,
6:08.0,K. Love makes 2-pt shot from 2 ft,2,63-78,,
5:47.0,,,63-78,,D. Cunningham misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by K. Love,,63-78,,
5:41.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,65-78,,
5:32.0,,,65-78,,Shooting foul by T. Thompson (drawn by J. Holiday)
5:32.0,,,65-78,,New Orleans full timeout
5:32.0,,,65-79,1,J. Holiday makes free throw 1 of 2
5:32.0,,,65-80,1,J. Holiday makes free throw 2 of 2
5:23.0,Shooting foul by D. Cunningham (drawn by L. James),,65-80,,
5:23.0,L. James makes free throw 1 of 2,1,66-80,,
5:23.0,L. James makes free throw 2 of 2,1,67-80,,
5:05.0,,,67-83,3,J. Holiday makes 3-pt shot from 29 ft (assist by T. Jones)
4:37.0,I. Shumpert makes 2-pt shot from 22 ft,2,69-83,,
4:33.0,,,69-83,,B. Hield misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by T. Thompson,,69-83,,
4:27.0,,,69-83,,Personal foul by T. Jones (drawn by K. Irving)
4:27.0,K. Irving makes free throw 1 of 2,1,70-83,,
4:27.0,K. Irving makes free throw 2 of 2,1,71-83,,
4:27.0,,,70-83,,E. Moore enters the game for B. Hield
4:09.0,,,71-83,,Shooting foul by K. Love (drawn by T. Jones)
4:09.0,,,71-83,,T. Jones misses free throw 1 of 2
4:09.0,,,71-83,,Offensive rebound by Team
4:09.0,,,71-84,1,T. Jones makes free throw 2 of 2
3:56.0,L. James misses 3-pt shot from 24 ft,,71-84,,
3:56.0,,,71-84,,Defensive rebound by J. Holiday
3:50.0,,,71-84,,T. Jones misses 2-pt shot from 7 ft
3:49.0,Defensive rebound by L. James,,71-84,,
3:36.0,K. Irving makes 2-pt shot from 2 ft,2,73-84,,
3:36.0,Shooting foul by S. Hill (drawn by K. Irving),,73-84,,
3:36.0,K. Irving makes free throw 1 of 1,1,74-84,,
3:36.0,K. Korver enters the game for T. Thompson,,73-84,,
3:26.0,,,74-86,2,J. Holiday makes 2-pt shot from 2 ft
3:18.0,K. Irving makes 3-pt shot from 26 ft (assist by I. Shumpert),3,77-86,,
2:57.0,,,77-88,2,T. Jones makes 2-pt shot from 18 ft
2:35.0,K. Irving misses 2-pt shot from 2 ft (block by J. Holiday),,77-88,,
2:35.0,,,77-88,,Defensive rebound by Team
2:35.0,Cleveland full timeout,,77-88,,
2:35.0,,,77-88,,L. Galloway enters the game for S. Hill
2:26.0,,,77-90,2,D. Cunningham makes 2-pt shot from 2 ft (assist by E. Moore)
2:04.0,K. Love misses 3-pt shot from 24 ft,,77-90,,
2:03.0,,,77-90,,Defensive rebound by J. Holiday
1:51.0,,,77-90,,Shooting foul by K. Irving (drawn by E. Moore)
1:51.0,,,77-91,1,E. Moore makes free throw 1 of 2
1:51.0,,,77-91,,E. Moore misses free throw 2 of 2
1:51.0,,,77-91,,D. Motiejunas enters the game for T. Jones
1:51.0,R. Jefferson enters the game for L. James,,77-91,,
1:49.0,Defensive rebound by K. Korver,,77-91,,
1:39.0,,,77-91,,Violation by L. Galloway (kicked ball)
1:39.0,,,77-91,,T. Evans enters the game for D. Cunningham
1:27.0,R. Jefferson misses 2-pt shot from 2 ft,,77-91,,
1:25.0,Offensive rebound by K. Love,,77-91,,
1:24.0,Shooting foul by L. Galloway (drawn by K. Love),,77-91,,
1:24.0,K. Love makes free throw 1 of 2,1,78-91,,
1:24.0,K. Love makes free throw 2 of 2,1,79-91,,
1:08.0,,,79-91,,E. Moore misses 3-pt shot from 23 ft
1:07.0,,,79-91,,Offensive rebound by L. Galloway
1:02.0,,,79-94,3,L. Galloway makes 3-pt shot from 25 ft (assist by T. Evans)
0:45.0,I. Shumpert makes 3-pt shot from 27 ft (assist by K. Love),3,82-94,,
0:34.0,,,82-94,,E. Moore misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by K. Irving,,82-94,,
0:31.0,,,82-94,,Personal foul by T. Evans (drawn by K. Irving)
0:31.0,K. Irving makes free throw 1 of 2,1,83-94,,
0:31.0,K. Irving makes free throw 2 of 2,1,84-94,,
0:31.0,,,83-94,,B. Hield enters the game for J. Holiday
0:31.0,D. Liggins enters the game for K. Love,,83-94,,
0:09.0,,,84-94,,T. Evans misses 2-pt shot from 20 ft
0:09.0,Defensive rebound by D. Liggins,,84-94,,
0:01.0,K. Irving makes 2-pt shot from 2 ft,2,86-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,86-97,3,L. Galloway makes 3-pt shot from 26 ft (assist by T. Evans)
11:29.0,Turnover by D. Liggins (offensive foul),,86-97,,
11:29.0,Offensive foul by D. Liggins,,86-97,,
11:19.0,Personal foul by R. Jefferson (drawn by D. Motiejunas),,86-97,,
11:06.0,,,86-97,,L. Galloway misses 3-pt shot from 28 ft
11:05.0,Defensive rebound by L. James,,86-97,,
10:57.0,T. Thompson misses 2-pt shot from 1 ft,,86-97,,
10:56.0,,,86-97,,Defensive rebound by T. Evans
10:49.0,,,86-100,3,D. Motiejunas makes 3-pt shot from 26 ft (assist by T. Evans)
10:23.0,R. Jefferson misses 3-pt shot from 27 ft,,86-100,,
10:21.0,,,86-100,,Defensive rebound by E. Moore
10:09.0,,,86-103,3,T. Evans makes 3-pt shot from 25 ft (assist by L. Galloway)
10:08.0,Cleveland full timeout,,86-103,,
10:08.0,K. Irving enters the game for D. Liggins,,86-103,,
9:58.0,R. Jefferson makes 3-pt shot from 24 ft (assist by L. James),3,89-103,,
9:32.0,,,89-103,,E. Moore misses 2-pt shot from 11 ft
9:29.0,Defensive rebound by K. Korver,,89-103,,
9:25.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,91-103,,
9:24.0,,,91-103,,New Orleans full timeout
9:24.0,,,91-103,,D. Cunningham enters the game for B. Hield
9:20.0,,,91-103,,J. Holiday enters the game for T. Evans
9:10.0,,,91-103,,L. Galloway misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by T. Thompson,,91-103,,
8:44.0,L. James makes 3-pt shot from 27 ft,3,94-103,,
8:34.0,,,94-105,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Holiday)
8:13.0,Turnover by L. James (bad pass; steal by J. Holiday),,94-105,,
8:09.0,,,94-105,,Turnover by D. Motiejunas (bad pass; steal by K. Irving)
8:07.0,K. Irving makes 2-pt shot at rim,2,96-105,,
7:55.0,,,96-105,,J. Holiday misses 3-pt shot from 27 ft
7:51.0,Defensive rebound by L. James,,96-105,,
7:45.0,L. James misses 2-pt shot from 1 ft,,96-105,,
7:44.0,,,96-105,,Defensive rebound by D. Motiejunas
7:39.0,,,96-108,3,L. Galloway makes 3-pt shot from 26 ft (assist by D. Cunningham)
7:23.0,T. Thompson misses 2-pt shot from 1 ft,,96-108,,
7:22.0,Offensive rebound by T. Thompson,,96-108,,
7:20.0,T. Thompson misses 2-pt shot from 3 ft (block by D. Motiejunas),,96-108,,
7:19.0,,,96-108,,Defensive rebound by Team
7:19.0,K. Love enters the game for T. Thompson,,96-108,,
7:04.0,,,96-108,,D. Cunningham misses 3-pt shot from 23 ft
7:03.0,Defensive rebound by K. Korver,,96-108,,
6:59.0,Shooting foul by J. Holiday (drawn by L. James),,96-108,,
6:59.0,L. James misses free throw 1 of 2,,96-108,,
6:59.0,Offensive rebound by Team,,96-108,,
6:59.0,L. James makes free throw 2 of 2,1,97-108,,
6:59.0,,,96-108,,T. Jones enters the game for D. Motiejunas
6:43.0,,,97-108,,E. Moore misses 2-pt shot from 4 ft
6:41.0,Defensive rebound by L. James,,97-108,,
6:32.0,K. Korver makes 3-pt shot from 24 ft (assist by K. Love),3,100-108,,
6:18.0,,,100-111,3,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday)
5:53.0,K. Irving makes 2-pt shot from 14 ft (assist by L. James),2,102-111,,
5:39.0,,,102-113,2,J. Holiday makes 2-pt shot from 15 ft
5:23.0,Shooting foul by D. Cunningham (drawn by K. Love),,102-113,,
5:23.0,K. Love makes free throw 1 of 2,1,103-113,,
5:23.0,K. Love misses free throw 2 of 2,,103-113,,
5:21.0,,,103-113,,Defensive rebound by D. Cunningham
5:11.0,,,103-113,,L. Galloway misses 3-pt shot from 28 ft
5:07.0,Defensive rebound by K. Irving,,103-113,,
5:00.0,Cleveland full timeout,,103-113,,
5:00.0,,,103-113,,S. Hill enters the game for E. Moore
4:57.0,Turnover by K. Love (bad pass; steal by J. Holiday),,103-113,,
4:53.0,,,103-115,2,T. Jones makes 2-pt shot from 1 ft (assist by S. Hill)
4:42.0,K. Irving makes 3-pt shot from 27 ft,3,106-115,,
4:18.0,,,106-115,,D. Cunningham misses 3-pt shot from 23 ft
4:15.0,Defensive rebound by K. Love,,106-115,,
4:09.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,109-115,,
3:51.0,,,109-115,,Shooting foul by K. Irving (drawn by J. Holiday)
3:51.0,,,109-116,1,J. Holiday makes free throw 1 of 2
3:51.0,,,109-117,1,J. Holiday makes free throw 2 of 2
3:37.0,K. Irving misses 2-pt shot from 4 ft (block by T. Jones),,109-117,,
3:36.0,Offensive rebound by Team,,109-117,,
3:35.0,Shooting foul by J. Holiday (drawn by R. Jefferson),,109-117,,
3:35.0,R. Jefferson misses free throw 1 of 2,,109-117,,
3:35.0,Offensive rebound by Team,,109-117,,
3:35.0,R. Jefferson misses free throw 2 of 2,,109-117,,
3:33.0,,,109-117,,Defensive rebound by T. Jones
3:20.0,,,109-117,,D. Cunningham misses 3-pt shot from 23 ft
3:17.0,,,109-117,,Offensive rebound by L. Galloway
3:17.0,Loose ball foul by K. Irving (drawn by L. Galloway),,109-117,,
3:15.0,,,109-117,,J. Holiday misses 2-pt shot from 4 ft
3:14.0,Defensive rebound by K. Love,,109-117,,
3:01.0,L. James misses 2-pt shot from 4 ft (block by T. Jones),,109-117,,
3:00.0,,,109-117,,Defensive rebound by L. Galloway
2:45.0,,,109-117,,New Orleans full timeout
