time,Memphis,pts.away,score,pts.home,New York
2:13.0,Defensive rebound by Z. Randolph,,13-29,,
2:03.0,J. Martin makes 2-pt shot from 1 ft (assist by Z. Randolph),2,15-29,,
1:44.0,,,15-29,,L. Thomas misses 2-pt shot from 4 ft
1:42.0,Defensive rebound by Z. Randolph,,15-29,,
1:24.0,Z. Randolph misses 2-pt shot from 15 ft,,15-29,,
1:22.0,,,15-29,,Defensive rebound by C. Lee
1:16.0,,,15-29,,Offensive foul by B. Jennings
1:16.0,,,15-29,,Turnover by B. Jennings (offensive foul)
1:02.0,W. Baldwin makes 2-pt shot at rim (assist by Z. Randolph),2,17-29,,
0:46.0,,,17-32,3,B. Jennings makes 3-pt shot from 25 ft (assist by C. Lee)
0:27.0,Z. Randolph makes 2-pt shot from 1 ft,2,19-32,,
0:07.0,,,19-32,,B. Jennings misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by Team,,19-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Z. Randolph misses 2-pt shot from 5 ft,,19-32,,
11:43.0,Offensive rebound by J. Martin,,19-32,,
11:43.0,J. Martin misses 2-pt shot at rim,,19-32,,
11:42.0,Offensive rebound by Z. Randolph,,19-32,,
11:39.0,Z. Randolph misses 2-pt shot from 1 ft,,19-32,,
11:37.0,,,19-32,,Defensive rebound by B. Jennings
11:36.0,Personal foul by J. Martin (drawn by K. O'Quinn),,19-32,,
11:36.0,J. Ennis enters the game for V. Carter,,19-32,,
11:21.0,,,19-32,,Offensive foul by K. O'Quinn
11:21.0,,,19-32,,Turnover by K. O'Quinn (offensive foul)
11:09.0,T. Daniels misses 3-pt shot from 25 ft,,19-32,,
11:07.0,,,19-32,,Defensive rebound by K. O'Quinn
10:57.0,,,19-32,,K. Porzingis misses 2-pt shot from 15 ft
10:56.0,Defensive rebound by J. Martin,,19-32,,
10:43.0,Z. Randolph misses 2-pt shot from 5 ft,,19-32,,
10:42.0,Offensive rebound by J. Martin,,19-32,,
10:42.0,J. Martin misses 2-pt shot from 1 ft,,19-32,,
10:40.0,,,19-32,,Defensive rebound by B. Jennings
10:35.0,Personal foul by J. Martin (drawn by K. Porzingis),,19-32,,
10:35.0,,,19-32,,K. Porzingis misses free throw 1 of 3
10:35.0,,,19-32,,Offensive rebound by Team
10:35.0,,,19-33,1,K. Porzingis makes free throw 2 of 3
10:35.0,,,19-34,1,K. Porzingis makes free throw 3 of 3
10:21.0,Z. Randolph misses 2-pt shot from 3 ft,,19-34,,
10:21.0,,,19-34,,Defensive rebound by K. Porzingis
10:11.0,,,19-36,2,K. Porzingis makes 2-pt shot from 1 ft (assist by B. Jennings)
10:05.0,Memphis full timeout,,19-36,,
9:54.0,J. Martin makes 2-pt shot from 19 ft (assist by W. Baldwin),2,21-36,,
9:39.0,,,21-38,2,J. Holiday makes 2-pt shot at rim (assist by K. O'Quinn)
9:24.0,Shooting foul by J. Holiday (drawn by T. Daniels),,21-38,,
9:24.0,T. Daniels makes free throw 1 of 2,1,22-38,,
9:24.0,T. Daniels makes free throw 2 of 2,1,23-38,,
9:07.0,,,23-38,,J. Holiday misses 2-pt shot from 17 ft
9:05.0,Defensive rebound by W. Baldwin,,23-38,,
9:00.0,Turnover by W. Baldwin (lost ball; steal by B. Jennings),,23-38,,
8:55.0,,,23-40,2,K. Porzingis makes 2-pt shot from 8 ft
8:34.0,J. Martin makes 2-pt shot from 1 ft,2,25-40,,
8:12.0,,,25-43,3,B. Jennings makes 3-pt shot from 24 ft (assist by K. Porzingis)
7:53.0,Shooting foul by K. O'Quinn (drawn by Z. Randolph),,25-43,,
7:53.0,Z. Randolph makes free throw 1 of 2,1,26-43,,
7:53.0,Z. Randolph makes free throw 2 of 2,1,27-43,,
7:53.0,,,26-43,,J. Noah enters the game for K. O'Quinn
7:53.0,T. Williams enters the game for T. Daniels,,26-43,,
7:53.0,M. Gasol enters the game for J. Martin,,26-43,,
7:34.0,,,27-43,,Turnover by J. Noah (lost ball; steal by T. Williams)
7:26.0,W. Baldwin misses 2-pt shot from 2 ft,,27-43,,
7:24.0,,,27-43,,Defensive rebound by J. Noah
7:19.0,,,27-43,,L. Thomas misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by Z. Randolph,,27-43,,
7:17.0,,,27-43,,Personal foul by K. Porzingis (drawn by Z. Randolph)
7:17.0,,,27-43,,D. Rose enters the game for B. Jennings
7:17.0,A. Harrison enters the game for W. Baldwin,,27-43,,
6:55.0,A. Harrison misses 3-pt shot from 24 ft,,27-43,,
6:53.0,Offensive rebound by J. Ennis,,27-43,,
6:50.0,J. Ennis makes 2-pt shot from 1 ft,2,29-43,,
6:50.0,Shooting foul by J. Noah (drawn by J. Ennis),,29-43,,
6:50.0,J. Ennis makes free throw 1 of 1,1,30-43,,
6:50.0,,,29-43,,C. Anthony enters the game for L. Thomas
6:34.0,,,30-45,2,K. Porzingis makes 2-pt shot from 4 ft (assist by J. Noah)
6:07.0,Z. Randolph misses 2-pt shot from 13 ft,,30-45,,
6:06.0,,,30-45,,Defensive rebound by K. Porzingis
5:59.0,,,30-47,2,D. Rose makes 2-pt shot from 1 ft
5:38.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Gasol),3,33-47,,
5:34.0,,,33-47,,New York full timeout
5:34.0,,,33-47,,C. Lee enters the game for K. Porzingis
5:34.0,,,33-47,,W. Hernangomez enters the game for J. Holiday
5:34.0,J. Green enters the game for Z. Randolph,,33-47,,
5:17.0,,,33-47,,W. Hernangomez misses 2-pt shot from 1 ft (block by M. Gasol)
5:15.0,Defensive rebound by M. Gasol,,33-47,,
5:06.0,A. Harrison makes 2-pt shot from 7 ft,2,35-47,,
4:46.0,,,35-50,3,C. Lee makes 3-pt shot from 25 ft (assist by J. Noah)
4:30.0,M. Gasol misses 2-pt shot from 5 ft,,35-50,,
4:28.0,,,35-50,,Defensive rebound by J. Noah
4:18.0,,,35-52,2,W. Hernangomez makes 2-pt shot at rim (assist by J. Noah)
4:02.0,T. Williams makes 3-pt shot from 23 ft (assist by M. Gasol),3,38-52,,
3:52.0,,,38-54,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Anthony)
3:35.0,M. Gasol misses 2-pt shot from 2 ft,,38-54,,
3:34.0,,,38-54,,Defensive rebound by J. Noah
3:31.0,,,38-54,,Turnover by W. Hernangomez (traveling)
3:24.0,Offensive foul by M. Gasol,,38-54,,
3:24.0,Turnover by M. Gasol (offensive foul),,38-54,,
3:13.0,,,38-54,,C. Anthony misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by J. Green,,38-54,,
3:04.0,J. Ennis makes 2-pt shot from 2 ft (assist by A. Harrison),2,40-54,,
2:50.0,,,40-54,,Shooting foul by T. Williams (drawn by C. Anthony)
2:50.0,Official timeout,,40-54,,
2:50.0,,,40-54,,C. Anthony misses free throw 1 of 2
2:50.0,,,40-54,,Offensive rebound by Team
2:50.0,,,40-55,1,C. Anthony makes free throw 2 of 2
2:38.0,Shooting foul by J. Noah (drawn by J. Ennis),,40-55,,
2:38.0,J. Ennis makes free throw 1 of 2,1,41-55,,
2:38.0,J. Ennis makes free throw 2 of 2,1,42-55,,
2:38.0,,,41-55,,K. O'Quinn enters the game for J. Noah
2:25.0,,,42-55,,C. Anthony misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by M. Gasol,,42-55,,
2:19.0,T. Williams misses 3-pt shot from 24 ft,,42-55,,
2:17.0,,,42-55,,Defensive rebound by Team
2:06.0,Personal foul by A. Harrison (drawn by D. Rose),,42-55,,
1:58.0,,,42-55,,C. Anthony misses 2-pt shot from 2 ft (block by J. Green)
1:56.0,,,42-55,,Offensive rebound by Team
1:52.0,,,42-55,,C. Lee misses 3-pt shot from 24 ft
1:50.0,,,42-55,,Offensive rebound by W. Hernangomez
1:45.0,V. Carter enters the game for T. Williams,,42-55,,
1:42.0,,,42-55,,D. Rose misses 2-pt shot from 6 ft
1:40.0,,,42-55,,Offensive rebound by K. O'Quinn
1:38.0,,,42-55,,Shooting foul by J. Green (drawn by K. O'Quinn)
1:38.0,,,42-56,1,K. O'Quinn makes free throw 1 of 2
1:38.0,,,42-56,,K. O'Quinn misses free throw 2 of 2
1:37.0,Defensive rebound by J. Green,,42-56,,
1:30.0,,,42-56,,Personal foul by K. O'Quinn (drawn by M. Gasol)
1:30.0,M. Gasol makes free throw 1 of 2,1,43-56,,
1:30.0,M. Gasol makes free throw 2 of 2,1,44-56,,
1:30.0,,,43-56,,K. Porzingis enters the game for K. O'Quinn
1:13.0,,,44-56,,C. Anthony misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by M. Gasol,,44-56,,
0:58.0,M. Gasol misses 2-pt shot from 5 ft,,44-56,,
0:56.0,,,44-56,,Defensive rebound by D. Rose
0:49.0,,,44-56,,Shooting foul by V. Carter (drawn by W. Hernangomez)
0:49.0,,,44-56,,W. Hernangomez misses free throw 1 of 2
0:49.0,,,44-56,,Offensive rebound by Team
0:49.0,,,44-56,,W. Hernangomez misses free throw 2 of 2
0:48.0,Defensive rebound by J. Green,,44-56,,
0:38.0,M. Gasol makes 2-pt shot from 2 ft (assist by V. Carter),2,46-56,,
0:38.0,Shooting foul by C. Lee (drawn by M. Gasol),,46-56,,
0:38.0,M. Gasol makes free throw 1 of 1,1,47-56,,
0:27.0,Def 3 sec tech foul by M. Gasol,,47-56,,
0:27.0,,,47-57,1,C. Anthony makes technical free throw
0:27.0,,,47-57,,New York full timeout
0:27.0,W. Baldwin enters the game for J. Ennis,,47-57,,
0:27.0,,,47-57,,J. Holiday enters the game for W. Hernangomez
0:12.0,,,47-57,,Turnover by Team (shot clock)
0:12.0,,,47-57,,W. Hernangomez enters the game for J. Holiday
0:12.0,,,47-57,,L. Thomas enters the game for K. Porzingis
0:10.0,Memphis full timeout,,47-57,,
0:10.0,T. Daniels enters the game for J. Green,,47-57,,
0:10.0,J. Ennis enters the game for W. Baldwin,,47-57,,
0:02.0,,,47-57,,Personal foul by D. Rose (drawn by M. Gasol)
0:02.0,M. Gasol makes free throw 1 of 2,1,48-57,,
0:02.0,M. Gasol makes free throw 2 of 2,1,49-57,,
0:02.0,,,48-57,,K. Porzingis enters the game for W. Hernangomez
0:02.0,J. Green enters the game for J. Ennis,,48-57,,
0:02.0,W. Baldwin enters the game for T. Daniels,,48-57,,
0:01.0,,,49-57,,D. Rose misses 3-pt shot from 57 ft
0:00.0,,,49-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,M. Gasol makes 2-pt shot from 5 ft,2,51-57,,
11:32.0,,,51-59,2,D. Rose makes 2-pt shot from 1 ft
11:08.0,M. Gasol misses 3-pt shot from 25 ft,,51-59,,
11:07.0,,,51-59,,Defensive rebound by Team
10:47.0,,,51-59,,Turnover by J. Noah (traveling)
10:38.0,Turnover by M. Conley (bad pass; steal by D. Rose),,51-59,,
10:34.0,,,51-61,2,C. Lee makes 2-pt shot from 1 ft (assist by D. Rose)
10:09.0,J. Ennis misses 3-pt shot from 24 ft,,51-61,,
10:07.0,,,51-61,,Defensive rebound by J. Noah
10:01.0,,,51-61,,D. Rose misses 2-pt shot from 3 ft
9:59.0,,,51-61,,Offensive rebound by J. Noah
9:59.0,,,51-63,2,J. Noah makes 2-pt shot from 2 ft
9:46.0,Turnover by M. Conley (lost ball; steal by D. Rose),,51-63,,
9:34.0,,,51-63,,Offensive foul by J. Noah
9:34.0,,,51-63,,Turnover by J. Noah (offensive foul)
9:17.0,Jump ball: M. Gasol vs. J. Noah (A. Harrison gains possession),,,,Jump ball: M. Gasol vs. J. Noah (A. Harrison gains possession)
9:11.0,J. Ennis makes 2-pt shot from 2 ft,2,53-63,,
8:53.0,,,53-63,,C. Anthony misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by J. Green,,53-63,,
8:40.0,Turnover by A. Harrison (lost ball),,53-63,,
8:40.0,,,53-63,,K. O'Quinn enters the game for J. Noah
8:21.0,,,53-63,,K. O'Quinn misses 2-pt shot from 1 ft
8:20.0,,,53-63,,Offensive rebound by K. O'Quinn
8:19.0,,,53-65,2,K. O'Quinn makes 2-pt shot from 2 ft
8:19.0,,,53-65,,Shooting foul by M. Gasol (drawn by K. O'Quinn)
8:19.0,,,53-66,1,K. O'Quinn makes free throw 1 of 1
8:06.0,J. Green makes 2-pt shot from 2 ft,2,55-66,,
7:53.0,,,55-68,2,D. Rose makes 2-pt shot from 2 ft
7:35.0,A. Harrison makes 2-pt shot from 1 ft,2,57-68,,
7:24.0,,,57-70,2,C. Anthony makes 2-pt shot from 10 ft
7:10.0,M. Gasol misses 2-pt shot from 11 ft,,57-70,,
7:09.0,,,57-70,,Defensive rebound by K. O'Quinn
7:05.0,,,57-72,2,K. Porzingis makes 2-pt shot at rim (assist by K. O'Quinn)
7:05.0,,,57-72,,Shooting foul by A. Harrison (drawn by K. Porzingis)
7:05.0,,,57-73,1,K. Porzingis makes free throw 1 of 1
6:49.0,Shooting foul by K. O'Quinn (drawn by M. Gasol),,57-73,,
6:49.0,M. Gasol makes free throw 1 of 2,1,58-73,,
6:49.0,M. Gasol makes free throw 2 of 2,1,59-73,,
6:49.0,V. Carter enters the game for A. Harrison,,58-73,,
6:33.0,,,59-73,,Turnover by C. Anthony (traveling)
6:24.0,J. Green makes 2-pt shot from 2 ft (assist by M. Conley),2,61-73,,
6:07.0,,,61-73,,C. Lee misses 2-pt shot from 17 ft
6:05.0,Defensive rebound by Team,,61-73,,
5:59.0,J. Green misses 2-pt shot from 13 ft,,61-73,,
5:57.0,,,61-73,,Defensive rebound by C. Lee
5:49.0,,,61-75,2,D. Rose makes 2-pt shot from 2 ft
5:34.0,M. Conley makes 2-pt shot from 1 ft,2,63-75,,
5:18.0,,,63-75,,C. Anthony misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by J. Ennis,,63-75,,
5:12.0,V. Carter makes 2-pt shot from 1 ft (assist by J. Ennis),2,65-75,,
5:11.0,,,65-75,,New York full timeout
4:54.0,Personal foul by J. Green (drawn by C. Anthony),,65-75,,
4:49.0,Personal foul by J. Ennis (drawn by K. Porzingis),,65-75,,
4:39.0,,,65-75,,C. Anthony misses 3-pt shot from 23 ft
4:37.0,Defensive rebound by M. Conley,,65-75,,
4:16.0,J. Ennis misses 2-pt shot from 1 ft,,65-75,,
4:14.0,Offensive rebound by J. Green,,65-75,,
4:14.0,J. Green makes 2-pt shot from 1 ft,2,67-75,,
4:02.0,,,67-77,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by C. Anthony)
3:45.0,M. Conley makes 2-pt shot from 2 ft,2,69-77,,
3:32.0,Z. Randolph enters the game for M. Gasol,,69-77,,
3:32.0,,,69-77,,L. Thomas enters the game for K. Porzingis
3:20.0,,,69-77,,C. Lee misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by M. Conley,,69-77,,
3:18.0,,,69-77,,Personal foul by L. Thomas (drawn by M. Conley)
3:18.0,W. Baldwin enters the game for J. Ennis,,69-77,,
3:07.0,J. Green misses 2-pt shot from 4 ft,,69-77,,
3:06.0,,,69-77,,Defensive rebound by C. Anthony
2:58.0,,,69-79,2,L. Thomas makes 2-pt shot from 17 ft (assist by C. Anthony)
2:44.0,Turnover by M. Conley (bad pass; steal by C. Lee),,69-79,,
2:39.0,,,69-79,,C. Lee misses 2-pt shot from 3 ft
2:37.0,Defensive rebound by Z. Randolph,,69-79,,
2:26.0,J. Green makes 2-pt shot from 10 ft (assist by M. Conley),2,71-79,,
2:12.0,,,71-79,,Shooting foul by J. Green (drawn by C. Anthony)
2:12.0,Memphis full timeout,,71-79,,
2:12.0,,,71-80,1,C. Anthony makes free throw 1 of 2
2:12.0,,,71-80,,C. Anthony misses free throw 2 of 2
2:12.0,,,71-79,,B. Jennings enters the game for D. Rose
2:12.0,T. Williams enters the game for M. Conley,,71-79,,
2:12.0,A. Harrison enters the game for V. Carter,,71-79,,
2:10.0,Defensive rebound by J. Green,,71-80,,
1:48.0,Z. Randolph makes 3-pt shot from 25 ft (assist by T. Williams),3,74-80,,
1:29.0,,,74-80,,K. O'Quinn misses 2-pt shot from 12 ft
1:28.0,Defensive rebound by Z. Randolph,,74-80,,
1:28.0,,,74-80,,Loose ball foul by C. Anthony (drawn by Z. Randolph)
1:28.0,,,74-80,,J. Holiday enters the game for C. Anthony
1:28.0,J. Martin enters the game for J. Green,,74-80,,
1:11.0,J. Martin makes 3-pt shot from 25 ft (assist by W. Baldwin),3,77-80,,
0:51.0,,,77-82,2,J. Holiday makes 2-pt shot from 17 ft
0:41.0,Z. Randolph misses 2-pt shot from 2 ft,,77-82,,
0:39.0,Offensive rebound by Team,,77-82,,
0:37.0,W. Baldwin misses 2-pt shot from 15 ft,,77-82,,
0:35.0,,,77-82,,Defensive rebound by L. Thomas
0:21.0,,,77-82,,Turnover by B. Jennings (lost ball; steal by T. Williams)
0:18.0,,,77-82,,Personal foul by J. Holiday (drawn by T. Williams)
0:18.0,T. Williams misses free throw 1 of 2,,77-82,,
0:18.0,Offensive rebound by Team,,77-82,,
0:18.0,T. Williams misses free throw 2 of 2,,77-82,,
0:18.0,J. Ennis enters the game for Z. Randolph,,77-82,,
0:17.0,,,77-82,,Defensive rebound by K. O'Quinn
0:02.0,,,77-82,,J. Holiday misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by Team,,77-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,77-84,2,L. Thomas makes 2-pt shot at rim (assist by B. Jennings)
11:16.0,Z. Randolph makes 2-pt shot from 18 ft,2,79-84,,
11:09.0,,,79-84,,Shooting foul by J. Martin (drawn by K. Porzingis)
11:09.0,,,79-84,,K. Porzingis misses free throw 1 of 2
11:09.0,,,79-84,,Offensive rebound by Team
11:09.0,,,79-85,1,K. Porzingis makes free throw 2 of 2
11:09.0,,,79-84,,W. Hernangomez enters the game for C. Lee
10:55.0,Z. Randolph misses 2-pt shot from 5 ft,,79-85,,
10:53.0,Offensive rebound by V. Carter,,79-85,,
10:38.0,J. Martin makes 3-pt shot from 23 ft (assist by W. Baldwin),3,82-85,,
10:16.0,,,82-87,2,J. Holiday makes 2-pt shot from 2 ft
10:02.0,,,82-87,,Personal foul by J. Holiday (drawn by J. Martin)
9:52.0,J. Martin misses 2-pt shot from 2 ft (block by K. Porzingis),,82-87,,
9:50.0,Offensive rebound by Z. Randolph,,82-87,,
9:49.0,Z. Randolph makes 2-pt shot from 2 ft,2,84-87,,
9:31.0,,,84-87,,K. Porzingis misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by V. Carter,,84-87,,
9:14.0,Shooting foul by K. Porzingis (drawn by J. Martin),,84-87,,
9:14.0,J. Martin misses free throw 1 of 2,,84-87,,
9:14.0,Offensive rebound by Team,,84-87,,
9:14.0,J. Martin makes free throw 2 of 2,1,85-87,,
8:57.0,,,85-87,,Turnover by W. Hernangomez (lost ball; steal by J. Martin)
8:50.0,A. Harrison misses 2-pt shot from 3 ft (block by J. Holiday),,85-87,,
8:48.0,,,85-87,,Defensive rebound by W. Hernangomez
8:37.0,,,85-87,,B. Jennings misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by Team,,85-87,,
8:36.0,Official timeout,,85-87,,
8:36.0,,,85-87,,D. Rose enters the game for B. Jennings
8:36.0,,,85-87,,C. Anthony enters the game for L. Thomas
8:36.0,,,85-87,,J. Noah enters the game for W. Hernangomez
8:36.0,M. Conley enters the game for A. Harrison,,85-87,,
8:18.0,Turnover by Z. Randolph (traveling),,85-87,,
7:55.0,,,85-87,,D. Rose misses 2-pt shot from 14 ft
7:54.0,Defensive rebound by W. Baldwin,,85-87,,
7:48.0,J. Martin misses 2-pt shot from 3 ft,,85-87,,
7:46.0,,,85-87,,Defensive rebound by C. Anthony
7:34.0,,,85-89,2,C. Anthony makes 2-pt shot from 1 ft (assist by J. Noah)
7:34.0,,,85-89,,Shooting foul by J. Martin (drawn by C. Anthony)
7:34.0,,,85-90,1,C. Anthony makes free throw 1 of 1
7:22.0,Offensive foul by J. Martin,,85-90,,
7:22.0,Turnover by J. Martin (offensive foul),,85-90,,
7:22.0,M. Gasol enters the game for J. Martin,,85-90,,
7:22.0,J. Green enters the game for Z. Randolph,,85-90,,
7:03.0,,,85-92,2,D. Rose makes 2-pt shot from 5 ft
7:02.0,Memphis full timeout,,85-92,,
6:50.0,V. Carter misses 3-pt shot from 25 ft,,85-92,,
6:48.0,,,85-92,,Defensive rebound by J. Noah
6:35.0,,,85-95,3,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Holiday)
6:21.0,M. Conley misses 2-pt shot from 15 ft,,85-95,,
6:20.0,,,85-95,,Defensive rebound by J. Noah
6:02.0,,,85-97,2,J. Holiday makes 2-pt shot from 9 ft
5:39.0,J. Green misses 3-pt shot from 24 ft,,85-97,,
5:37.0,,,85-97,,Defensive rebound by J. Noah
5:26.0,,,85-99,2,D. Rose makes 2-pt shot from 5 ft
5:25.0,Memphis full timeout,,85-99,,
5:25.0,Z. Randolph enters the game for V. Carter,,85-99,,
5:25.0,J. Ennis enters the game for W. Baldwin,,85-99,,
5:14.0,Shooting foul by K. Porzingis (drawn by M. Conley),,85-99,,
