time,Phoenix,pts.away,score,pts.home,LA Lakers
3:31.0,,,14-17,,LA Lakers full timeout
3:31.0,,,14-17,,T. Black enters the game for J. Randle
3:31.0,,,14-17,,L. Nance enters the game for T. Mozgov
3:14.0,,,14-17,,Offensive foul by J. Clarkson
3:14.0,,,14-17,,Turnover by J. Clarkson (offensive foul)
3:14.0,,,14-17,,L. Williams enters the game for D. Russell
2:58.0,D. Booker misses 3-pt shot from 26 ft,,14-17,,
2:56.0,,,14-17,,Defensive rebound by L. Williams
2:49.0,,,14-17,,T. Black misses 2-pt shot from 3 ft
2:47.0,,,14-17,,Offensive rebound by L. Nance
2:43.0,,,14-17,,J. Clarkson misses 3-pt shot from 24 ft
2:42.0,,,14-17,,Offensive rebound by T. Black
2:41.0,Personal block foul by B. Knight (drawn by T. Black),,14-17,,
2:41.0,E. Bledsoe enters the game for D. Booker,,14-17,,
2:34.0,,,14-17,,L. Williams misses 2-pt shot from 1 ft
2:32.0,,,14-17,,Offensive rebound by Team
2:22.0,,,14-20,3,B. Ingram makes 3-pt shot from 24 ft (assist by L. Williams)
2:13.0,T. Warren misses 2-pt shot from 9 ft,,14-20,,
2:12.0,Offensive rebound by T. Warren,,14-20,,
2:07.0,T. Warren misses 2-pt shot from 11 ft,,14-20,,
2:06.0,Offensive rebound by A. Len,,14-20,,
2:04.0,Shooting foul by L. Williams (drawn by A. Len),,14-20,,
2:04.0,A. Len makes free throw 1 of 2,1,15-20,,
2:04.0,A. Len misses free throw 2 of 2,,15-20,,
2:02.0,,,15-20,,Defensive rebound by T. Black
1:53.0,Personal foul by B. Knight,,15-20,,
1:41.0,,,15-20,,B. Ingram misses 2-pt shot from 20 ft
1:40.0,Defensive rebound by P. Tucker,,15-20,,
1:24.0,Turnover by P. Tucker (3 sec),,15-20,,
1:11.0,,,15-20,,Turnover by T. Black (lost ball)
1:00.0,Turnover by B. Knight (bad pass; steal by L. Nance),,15-20,,
0:58.0,Personal foul by E. Bledsoe (drawn by B. Ingram),,15-20,,
0:58.0,,,15-21,1,B. Ingram makes free throw 1 of 2
0:58.0,,,15-21,,B. Ingram misses free throw 2 of 2
0:58.0,D. Booker enters the game for E. Bledsoe,,15-20,,
0:57.0,Defensive rebound by A. Len,,15-21,,
0:43.0,Turnover by A. Len (bad pass; steal by L. Williams),,15-21,,
0:43.0,Loose ball foul by P. Tucker (drawn by L. Nance),,15-21,,
0:43.0,,,15-21,,LA Lakers full timeout
0:43.0,,,15-22,1,L. Nance makes free throw 1 of 2
0:43.0,,,15-23,1,L. Nance makes free throw 2 of 2
0:31.0,,,15-23,,Personal foul by J. Clarkson
0:31.0,,,15-23,,L. Deng enters the game for L. Nance
0:26.0,D. Booker misses 2-pt shot from 11 ft,,15-23,,
0:24.0,,,15-23,,Defensive rebound by L. Williams
0:02.0,,,15-23,,L. Williams misses 2-pt shot from 18 ft
0:01.0,,,15-23,,Offensive rebound by L. Williams
0:01.0,,,15-23,,L. Williams misses 2-pt shot from 18 ft
0:00.0,,,15-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,15-23,,Turnover by T. Black (3 sec)
11:37.0,B. Knight misses 3-pt shot from 25 ft,,15-23,,
11:36.0,,,15-23,,Defensive rebound by Team
11:36.0,L. Barbosa enters the game for D. Booker,,15-23,,
11:17.0,,,15-25,2,J. Clarkson makes 2-pt shot from 4 ft
10:55.0,A. Len misses 2-pt shot from 10 ft,,15-25,,
10:54.0,,,15-25,,Defensive rebound by B. Ingram
10:38.0,,,15-27,2,T. Black makes 2-pt shot from 2 ft (assist by B. Ingram)
10:34.0,Phoenix full timeout,,15-27,,
10:34.0,J. Dudley enters the game for B. Knight,,15-27,,
10:34.0,E. Bledsoe enters the game for P. Tucker,,15-27,,
10:34.0,T. Warren enters the game for M. Chriss,,15-27,,
10:34.0,D. Booker enters the game for L. Barbosa,,15-27,,
10:34.0,T. Chandler enters the game for A. Len,,15-27,,
10:24.0,Shooting foul by L. Deng (drawn by E. Bledsoe),,15-27,,
10:24.0,E. Bledsoe makes free throw 1 of 2,1,16-27,,
10:24.0,E. Bledsoe misses free throw 2 of 2,,16-27,,
10:22.0,,,16-27,,Defensive rebound by T. Black
10:11.0,,,16-27,,Turnover by J. Clarkson (discontinued dribble)
9:59.0,E. Bledsoe misses 2-pt shot from 16 ft,,16-27,,
9:57.0,,,16-27,,Defensive rebound by L. Deng
9:48.0,,,16-27,,B. Ingram misses 2-pt shot from 14 ft
9:46.0,Defensive rebound by T. Chandler,,16-27,,
9:44.0,Turnover by T. Chandler (bad pass; steal by L. Williams),,16-27,,
9:39.0,,,16-27,,L. Deng misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by T. Warren,,16-27,,
9:34.0,Turnover by E. Bledsoe (bad pass; steal by B. Ingram),,16-27,,
9:27.0,,,16-27,,Turnover by J. Clarkson (bad pass; steal by T. Chandler)
9:24.0,,,16-27,,Personal foul by T. Black
9:09.0,J. Dudley misses 2-pt shot from 2 ft (block by T. Black),,16-27,,
9:07.0,,,16-27,,Defensive rebound by J. Clarkson
9:02.0,,,16-30,3,L. Williams makes 3-pt shot from 26 ft (assist by J. Clarkson)
8:52.0,D. Booker misses 2-pt shot from 2 ft,,16-30,,
8:51.0,Offensive rebound by T. Chandler,,16-30,,
8:49.0,T. Chandler makes 2-pt shot from 1 ft,2,18-30,,
8:39.0,,,18-30,,J. Clarkson misses 2-pt shot from 18 ft
8:37.0,Defensive rebound by T. Chandler,,18-30,,
8:27.0,Turnover by E. Bledsoe (bad pass; steal by T. Black),,18-30,,
8:25.0,,,18-30,,Turnover by T. Black (bad pass)
8:12.0,T. Warren makes 2-pt shot from 2 ft,2,20-30,,
8:12.0,Shooting foul by B. Ingram,,20-30,,
8:12.0,T. Warren misses free throw 1 of 1,,20-30,,
8:12.0,,,20-30,,N. Young enters the game for B. Ingram
8:11.0,,,20-30,,Defensive rebound by L. Deng
8:02.0,,,20-33,3,N. Young makes 3-pt shot from 23 ft (assist by L. Williams)
7:51.0,Turnover by D. Booker (offensive foul),,20-33,,
7:51.0,Offensive foul by D. Booker,,20-33,,
7:51.0,Violation by Team (jump ball),,20-33,,
7:40.0,,,20-35,2,L. Williams makes 2-pt shot from 13 ft
7:27.0,T. Warren makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,23-35,,
7:16.0,,,23-35,,Turnover by L. Williams (bad pass; steal by T. Chandler)
7:10.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by D. Booker),2,25-35,,
7:10.0,,,25-35,,LA Lakers full timeout
7:10.0,L. Barbosa enters the game for E. Bledsoe,,25-35,,
7:10.0,,,25-35,,D. Russell enters the game for L. Deng
7:10.0,,,25-35,,T. Mozgov enters the game for T. Black
6:56.0,,,25-37,2,J. Clarkson makes 2-pt shot from 1 ft
6:40.0,T. Warren misses 2-pt shot from 10 ft,,25-37,,
6:38.0,Offensive rebound by T. Warren,,25-37,,
6:36.0,T. Warren makes 2-pt shot at rim,2,27-37,,
6:26.0,Personal foul by L. Barbosa (drawn by T. Mozgov),,27-37,,
6:26.0,,,27-37,,J. Randle enters the game for L. Williams
6:12.0,,,27-37,,Turnover by D. Russell (step out of bounds)
6:02.0,D. Booker misses 3-pt shot from 25 ft,,27-37,,
6:01.0,,,27-37,,Defensive rebound by J. Randle
5:54.0,,,27-39,2,J. Randle makes 2-pt shot from 3 ft
5:40.0,Turnover by J. Dudley (bad pass),,27-39,,
5:27.0,,,27-41,2,J. Clarkson makes 2-pt shot from 5 ft (assist by T. Mozgov)
5:15.0,L. Barbosa misses 2-pt shot from 11 ft,,27-41,,
5:13.0,Offensive rebound by L. Barbosa,,27-41,,
5:07.0,Shooting foul by N. Young (drawn by J. Dudley),,27-41,,
5:07.0,J. Dudley makes free throw 1 of 2,1,28-41,,
5:07.0,J. Dudley makes free throw 2 of 2,1,29-41,,
4:59.0,,,29-41,,Offensive foul by N. Young
4:59.0,,,29-41,,Turnover by N. Young (offensive foul)
4:51.0,D. Booker makes 2-pt shot from 5 ft,2,31-41,,
4:51.0,Shooting foul by J. Clarkson (drawn by D. Booker),,31-41,,
4:51.0,D. Booker makes free throw 1 of 1,1,32-41,,
4:51.0,,,31-41,,L. Williams enters the game for J. Clarkson
4:36.0,,,32-43,2,T. Mozgov makes 2-pt shot from 2 ft (assist by L. Williams)
4:20.0,T. Warren makes 2-pt shot from 17 ft (assist by J. Dudley),2,34-43,,
4:02.0,,,34-45,2,L. Williams makes 2-pt shot from 13 ft
3:41.0,T. Warren misses 3-pt shot from 25 ft,,34-45,,
3:40.0,Offensive rebound by T. Chandler,,34-45,,
3:36.0,T. Warren makes 2-pt shot at rim (assist by L. Barbosa),2,36-45,,
3:29.0,,,36-45,,Offensive foul by T. Mozgov
3:29.0,,,36-45,,Turnover by T. Mozgov (offensive foul)
3:29.0,E. Bledsoe enters the game for L. Barbosa,,36-45,,
3:13.0,J. Dudley misses 3-pt shot from 25 ft,,36-45,,
3:12.0,,,36-45,,Defensive rebound by J. Randle
2:59.0,,,36-47,2,L. Williams makes 2-pt shot from 22 ft (assist by N. Young)
2:37.0,E. Bledsoe misses 2-pt shot from 9 ft,,36-47,,
2:36.0,,,36-47,,Defensive rebound by N. Young
2:29.0,,,36-49,2,J. Randle makes 2-pt shot at rim (assist by L. Williams)
2:29.0,Phoenix full timeout,,36-49,,
2:29.0,Official timeout,,36-49,,
2:29.0,P. Tucker enters the game for J. Dudley,,36-49,,
2:17.0,D. Booker misses 2-pt shot from 20 ft,,36-49,,
2:16.0,,,36-49,,Defensive rebound by T. Mozgov
2:04.0,,,36-49,,N. Young misses 3-pt shot from 23 ft
2:03.0,,,36-49,,Offensive rebound by D. Russell
1:58.0,,,36-52,3,D. Russell makes 3-pt shot from 25 ft
1:49.0,E. Bledsoe makes 2-pt shot at rim,2,38-52,,
1:42.0,Personal foul by E. Bledsoe,,38-52,,
1:42.0,L. Barbosa enters the game for E. Bledsoe,,38-52,,
1:30.0,,,38-52,,Turnover by L. Williams (bad pass)
1:15.0,L. Barbosa misses 3-pt shot from 23 ft,,38-52,,
1:13.0,,,38-52,,Defensive rebound by J. Randle
1:07.0,,,38-54,2,T. Mozgov makes 2-pt shot at rim (assist by J. Randle)
0:56.0,,,38-54,,Personal foul by D. Russell (drawn by D. Booker)
0:56.0,D. Booker makes free throw 1 of 2,1,39-54,,
0:56.0,D. Booker makes free throw 2 of 2,1,40-54,,
0:48.0,,,40-54,,D. Russell misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by T. Chandler,,40-54,,
0:34.0,T. Warren makes 2-pt shot from 9 ft,2,42-54,,
0:14.0,,,42-54,,Turnover by D. Russell (bad pass; steal by T. Chandler)
0:14.0,,,42-54,,Personal foul by J. Randle (drawn by T. Chandler)
0:14.0,T. Chandler makes free throw 1 of 2,1,43-54,,
0:14.0,T. Chandler misses free throw 2 of 2,,43-54,,
0:14.0,,,43-54,,L. Deng enters the game for J. Randle
0:13.0,,,43-54,,Defensive rebound by T. Mozgov
0:02.0,,,43-54,,D. Russell misses 3-pt shot from 26 ft
0:00.0,,,43-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,43-54,,Shooting foul by E. Bledsoe (drawn by T. Mozgov)
11:47.0,,,43-56,2,T. Mozgov makes 2-pt shot from 1 ft (assist by D. Russell)
11:47.0,,,43-57,1,T. Mozgov makes free throw 1 of 1
11:32.0,J. Dudley makes 3-pt shot from 24 ft (assist by D. Booker),3,46-57,,
11:12.0,,,46-57,,J. Randle misses 2-pt shot from 4 ft
11:11.0,,,46-57,,Offensive rebound by T. Mozgov
11:10.0,,,46-57,,Turnover by T. Mozgov (bad pass; steal by T. Warren)
11:07.0,Shooting foul by N. Young (drawn by D. Booker),,46-57,,
11:07.0,D. Booker makes free throw 1 of 2,1,47-57,,
11:07.0,D. Booker makes free throw 2 of 2,1,48-57,,
10:57.0,,,48-59,2,N. Young makes 2-pt shot from 17 ft
10:38.0,T. Warren misses 2-pt shot from 3 ft,,48-59,,
10:38.0,Offensive rebound by J. Dudley,,48-59,,
10:38.0,,,48-59,,Loose ball foul by D. Russell (drawn by J. Dudley)
10:27.0,D. Booker makes 2-pt shot from 19 ft,2,50-59,,
10:15.0,,,50-59,,Turnover by D. Russell (lost ball; steal by E. Bledsoe)
10:11.0,E. Bledsoe makes 2-pt shot from 1 ft,2,52-59,,
9:55.0,,,52-59,,L. Deng misses 2-pt shot from 1 ft
9:54.0,,,52-59,,Offensive rebound by T. Mozgov
9:52.0,,,52-61,2,T. Mozgov makes 2-pt shot at rim
9:43.0,Turnover by T. Chandler (bad pass),,52-61,,
9:27.0,,,52-61,,N. Young misses 2-pt shot from 19 ft
9:26.0,,,52-61,,Offensive rebound by T. Mozgov
9:22.0,,,52-61,,D. Russell misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by T. Warren,,52-61,,
9:12.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker),2,54-61,,
8:52.0,,,54-64,3,L. Deng makes 3-pt shot from 24 ft (assist by J. Randle)
8:33.0,T. Chandler makes 2-pt shot at rim (assist by J. Dudley),2,56-64,,
8:22.0,,,56-64,,Shooting foul by T. Warren (drawn by L. Deng)
8:22.0,,,56-64,,L. Deng misses free throw 1 of 2
8:22.0,,,56-64,,Offensive rebound by Team
8:22.0,,,56-65,1,L. Deng makes free throw 2 of 2
8:04.0,E. Bledsoe makes 2-pt shot from 6 ft (assist by D. Booker),2,58-65,,
7:37.0,,,58-65,,D. Russell misses 3-pt shot from 25 ft
7:37.0,,,58-65,,Offensive rebound by Team
7:37.0,,,58-65,,Shooting foul by J. Dudley (drawn by T. Mozgov)
7:37.0,,,58-65,,T. Mozgov misses free throw 1 of 2
7:37.0,,,58-65,,Offensive rebound by Team
7:37.0,,,58-66,1,T. Mozgov makes free throw 2 of 2
7:28.0,Turnover by E. Bledsoe (lost ball; steal by J. Randle),,58-66,,
7:25.0,,,58-66,,Turnover by J. Randle (lost ball; steal by E. Bledsoe)
7:19.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,60-66,,
7:12.0,Personal foul by J. Dudley (drawn by T. Mozgov),,60-66,,
7:04.0,,,60-68,2,T. Mozgov makes 2-pt shot from 14 ft (assist by D. Russell)
6:56.0,E. Bledsoe makes 2-pt shot from 4 ft,2,62-68,,
6:45.0,,,62-68,,D. Russell misses 2-pt shot from 13 ft
6:44.0,Defensive rebound by T. Chandler,,62-68,,
6:25.0,D. Booker misses 3-pt shot from 24 ft,,62-68,,
6:24.0,,,62-68,,Defensive rebound by D. Russell
6:16.0,,,62-70,2,N. Young makes 2-pt shot from 10 ft (assist by T. Mozgov)
6:03.0,T. Warren makes 3-pt shot from 24 ft,3,65-70,,
5:50.0,,,65-70,,Turnover by T. Mozgov (bad pass)
5:50.0,,,65-70,,LA Lakers full timeout
5:50.0,,,65-70,,T. Black enters the game for J. Randle
5:50.0,,,65-70,,B. Ingram enters the game for T. Mozgov
5:50.0,,,65-70,,L. Williams enters the game for N. Young
5:50.0,,,65-70,,J. Clarkson enters the game for D. Russell
5:50.0,A. Len enters the game for J. Dudley,,65-70,,
5:50.0,B. Knight enters the game for T. Chandler,,65-70,,
5:38.0,T. Warren misses 2-pt shot from 19 ft,,65-70,,
5:38.0,,,65-70,,Defensive rebound by J. Clarkson
5:22.0,,,65-70,,L. Williams misses 2-pt shot from 11 ft
5:21.0,,,65-70,,Offensive rebound by Team
5:15.0,Jump ball: T. Black vs. A. Len (B. Knight gains possession),,,,Jump ball: T. Black vs. A. Len (B. Knight gains possession)
5:15.0,,,65-70,,Turnover by L. Williams (lost ball; steal by A. Len)
5:02.0,D. Booker misses 2-pt shot from 2 ft,,65-70,,
5:01.0,,,65-70,,Defensive rebound by L. Deng
4:41.0,,,65-72,2,L. Williams makes 2-pt shot from 20 ft
4:28.0,B. Knight makes 2-pt shot from 6 ft,2,67-72,,
4:19.0,Personal foul by D. Booker (drawn by B. Ingram),,67-72,,
4:19.0,,,67-73,1,B. Ingram makes free throw 1 of 2
4:19.0,,,67-74,1,B. Ingram makes free throw 2 of 2
4:19.0,,,67-73,,N. Young enters the game for L. Deng
4:05.0,B. Knight misses 2-pt shot from 20 ft,,67-74,,
4:04.0,,,67-74,,Defensive rebound by N. Young
3:58.0,,,67-74,,L. Williams misses 2-pt shot from 10 ft
3:54.0,,,67-74,,Offensive rebound by T. Black
3:54.0,,,67-76,2,T. Black makes 2-pt shot at rim
3:47.0,D. Booker makes 3-pt shot from 25 ft (assist by B. Knight),3,70-76,,
3:27.0,,,70-78,2,N. Young makes 2-pt shot from 18 ft
3:02.0,D. Booker misses 2-pt shot from 4 ft (block by B. Ingram),,70-78,,
3:01.0,,,70-78,,Defensive rebound by L. Williams
3:00.0,,,70-80,2,B. Ingram makes 2-pt shot from 2 ft (assist by L. Williams)
3:00.0,Phoenix full timeout,,70-80,,
3:00.0,L. Barbosa enters the game for T. Warren,,70-80,,
3:00.0,P. Tucker enters the game for E. Bledsoe,,70-80,,
2:43.0,L. Barbosa misses 2-pt shot from 3 ft,,70-80,,
2:43.0,,,70-80,,Defensive rebound by Team
2:33.0,,,70-80,,B. Ingram misses 2-pt shot from 3 ft (block by P. Tucker)
2:33.0,,,70-80,,Offensive rebound by Team
2:20.0,,,70-80,,J. Clarkson misses 2-pt shot from 4 ft
2:19.0,,,70-80,,Offensive rebound by T. Black
2:14.0,,,70-83,3,N. Young makes 3-pt shot from 25 ft (assist by T. Black)
1:55.0,A. Len misses 2-pt shot from 1 ft,,70-83,,
1:54.0,,,70-83,,Defensive rebound by N. Young
1:42.0,,,70-83,,L. Williams misses 3-pt shot from 26 ft
1:41.0,Defensive rebound by A. Len,,70-83,,
1:31.0,D. Booker makes 2-pt shot from 19 ft,2,72-83,,
1:09.0,,,72-83,,B. Ingram misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by A. Len,,72-83,,
0:56.0,D. Booker makes 2-pt shot at rim,2,74-83,,
0:42.0,,,74-83,,J. Clarkson misses 2-pt shot from 4 ft
0:39.0,,,74-83,,Offensive rebound by B. Ingram
0:34.0,,,74-83,,T. Black misses 2-pt shot from 2 ft
0:33.0,,,74-83,,Offensive rebound by J. Clarkson
0:13.0,,,74-83,,J. Clarkson misses 2-pt shot from 2 ft
0:12.0,Defensive rebound by A. Len,,74-83,,
0:01.0,B. Knight misses 2-pt shot from 3 ft,,74-83,,
0:01.0,Offensive rebound by A. Len,,74-83,,
0:00.0,A. Len makes 2-pt shot at rim,2,76-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,B. Knight misses 3-pt shot from 26 ft,,76-83,,
11:46.0,Offensive rebound by Team,,76-83,,
11:46.0,,,76-83,,Loose ball foul by J. Clarkson (drawn by P. Tucker)
11:41.0,B. Knight misses 2-pt shot from 20 ft,,76-83,,
11:40.0,,,76-83,,Defensive rebound by T. Black
11:22.0,,,76-83,,B. Ingram misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by A. Len,,76-83,,
11:06.0,D. Booker makes 2-pt shot from 17 ft (assist by B. Knight),2,78-83,,
10:48.0,Personal foul by A. Len (drawn by T. Black),,78-83,,
10:42.0,,,78-83,,L. Williams misses 2-pt shot from 5 ft
10:41.0,Defensive rebound by A. Len,,78-83,,
10:32.0,L. Barbosa misses 2-pt shot from 3 ft (block by T. Robinson),,78-83,,
10:32.0,Offensive rebound by Team,,78-83,,
10:30.0,D. Booker makes 3-pt shot from 25 ft (assist by B. Knight),3,81-83,,
10:29.0,,,81-83,,LA Lakers full timeout
10:29.0,,,81-83,,N. Young enters the game for B. Ingram
10:08.0,,,81-83,,T. Black misses 2-pt shot from 2 ft
10:05.0,Defensive rebound by A. Len,,81-83,,
9:49.0,B. Knight misses 2-pt shot from 3 ft,,81-83,,
9:44.0,,,81-83,,Defensive rebound by J. Clarkson
9:38.0,,,81-83,,T. Black misses 2-pt shot from 4 ft (block by A. Len)
9:35.0,Defensive rebound by B. Knight,,81-83,,
9:32.0,B. Knight misses 2-pt shot from 2 ft,,81-83,,
9:31.0,,,81-83,,Defensive rebound by T. Black
9:23.0,,,81-83,,Shooting foul by L. Barbosa
9:23.0,,,81-84,1,L. Williams makes free throw 1 of 3
9:23.0,,,81-85,1,L. Williams makes free throw 2 of 3
9:23.0,,,81-86,1,L. Williams makes free throw 3 of 3
9:23.0,,,81-85,,B. Ingram enters the game for T. Black
9:11.0,Shooting foul by N. Young (drawn by D. Booker),,81-86,,
9:11.0,D. Booker makes free throw 1 of 2,1,82-86,,
9:11.0,D. Booker makes free throw 2 of 2,1,83-86,,
8:54.0,,,83-88,2,J. Clarkson makes 2-pt shot from 11 ft (assist by L. Williams)
8:40.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,85-88,,
8:26.0,,,85-88,,Shooting foul by B. Knight (drawn by J. Clarkson)
8:26.0,,,85-88,,J. Clarkson misses free throw 1 of 2
8:26.0,,,85-88,,Offensive rebound by Team
8:26.0,,,85-89,1,J. Clarkson makes free throw 2 of 2
8:14.0,D. Booker makes 2-pt shot from 2 ft,2,87-89,,
8:09.0,,,87-89,,Turnover by L. Williams (bad pass)
8:01.0,Offensive foul by A. Len,,87-89,,
8:01.0,Turnover by A. Len (offensive foul),,87-89,,
7:41.0,,,87-91,2,N. Young makes 2-pt shot from 18 ft
7:24.0,D. Booker misses 2-pt shot from 6 ft,,87-91,,
7:23.0,,,87-91,,Defensive rebound by N. Young
7:18.0,,,87-91,,J. Clarkson misses 2-pt shot from 2 ft
7:17.0,,,87-91,,Offensive rebound by T. Robinson
7:15.0,,,87-91,,T. Robinson misses 2-pt shot from 2 ft
7:14.0,Defensive rebound by D. Booker,,87-91,,
7:10.0,L. Barbosa makes 2-pt shot at rim (assist by D. Booker),2,89-91,,
