time,Denver,pts.away,score,pts.home,New York
3:07.0,Defensive rebound by N. Jokic,,53-57,,
2:55.0,N. Jokic makes 2-pt shot from 6 ft (assist by J. Nelson),2,55-57,,
2:55.0,Shooting foul by C. Lee (drawn by N. Jokic),,55-57,,
2:55.0,N. Jokic makes free throw 1 of 1,1,56-57,,
2:40.0,,,56-59,2,K. O'Quinn makes 2-pt shot from 15 ft (assist by D. Rose)
2:23.0,Turnover by W. Chandler (bad pass; steal by R. Baker),,56-59,,
2:18.0,,,56-61,2,D. Rose makes 2-pt shot from 6 ft (assist by R. Baker)
2:18.0,,,56-61,,Shooting foul by J. Nelson (drawn by D. Rose)
2:18.0,,,56-62,1,D. Rose makes free throw 1 of 1
2:04.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,58-62,,
1:52.0,,,58-64,2,C. Anthony makes 2-pt shot from 21 ft (assist by K. O'Quinn)
1:41.0,Turnover by G. Harris (bad pass),,58-64,,
1:29.0,,,58-64,,C. Lee misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by N. Jokic,,58-64,,
1:14.0,,,58-64,,Personal foul by R. Baker (drawn by J. Nelson)
1:11.0,N. Jokic misses 2-pt shot from 14 ft,,58-64,,
1:09.0,,,58-64,,Defensive rebound by C. Anthony
1:01.0,,,58-66,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by C. Anthony)
0:53.0,J. Nelson makes 3-pt shot from 25 ft,3,61-66,,
0:49.0,,,61-66,,Turnover by D. Rose (lost ball; steal by G. Harris)
0:41.0,Turnover by W. Barton (lost ball; steal by C. Lee),,61-66,,
0:29.0,,,61-66,,C. Anthony misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by J. Nelson,,61-66,,
0:07.0,G. Harris makes 3-pt shot from 23 ft (assist by J. Nelson),3,64-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,64-68,2,K. Porzingis makes 2-pt shot from 7 ft (assist by C. Lee)
11:22.0,N. Jokic makes 2-pt shot from 20 ft,2,66-68,,
11:06.0,,,66-68,,Offensive foul by C. Anthony
11:06.0,,,66-68,,Turnover by C. Anthony (offensive foul)
10:51.0,N. Jokic makes 2-pt shot from 3 ft,2,68-68,,
10:43.0,,,68-68,,Turnover by K. Porzingis (bad pass)
10:41.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,70-68,,
10:38.0,,,70-68,,New York full timeout
10:21.0,,,70-70,2,K. Porzingis makes 2-pt shot from 3 ft (assist by C. Anthony)
10:00.0,D. Arthur makes 3-pt shot from 24 ft (assist by W. Chandler),3,73-70,,
9:48.0,Personal foul by J. Nelson (drawn by C. Lee),,73-70,,
9:41.0,,,73-72,2,D. Rose makes 2-pt shot from 18 ft
9:24.0,N. Jokic makes 2-pt shot from 3 ft,2,75-72,,
9:04.0,,,75-72,,K. Porzingis misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by W. Chandler,,75-72,,
8:57.0,,,75-72,,Personal foul by K. Porzingis (drawn by W. Chandler)
8:57.0,,,75-72,,J. Holiday enters the game for C. Lee
8:50.0,G. Harris makes 2-pt shot at rim (assist by J. Nelson),2,77-72,,
8:27.0,,,77-72,,K. Porzingis misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by W. Chandler,,77-72,,
8:17.0,Shooting foul by K. Porzingis (drawn by N. Jokic),,77-72,,
8:17.0,N. Jokic makes free throw 1 of 2,1,78-72,,
8:17.0,N. Jokic makes free throw 2 of 2,1,79-72,,
8:17.0,,,78-72,,K. O'Quinn enters the game for K. Porzingis
8:17.0,,,78-72,,R. Baker enters the game for D. Rose
8:02.0,,,79-75,3,C. Anthony makes 3-pt shot from 25 ft (assist by B. Jennings)
7:40.0,Turnover by N. Jokic (offensive foul),,79-75,,
7:40.0,Offensive foul by N. Jokic,,79-75,,
7:35.0,,,79-75,,Turnover by J. Holiday (lost ball)
7:16.0,J. Nelson makes 2-pt shot from 2 ft,2,81-75,,
6:52.0,,,81-75,,C. Anthony misses 2-pt shot from 2 ft
6:51.0,Defensive rebound by D. Arthur,,81-75,,
6:47.0,Turnover by D. Arthur (bad pass; steal by J. Holiday),,81-75,,
6:35.0,,,81-75,,C. Anthony misses 2-pt shot from 21 ft
6:33.0,Defensive rebound by G. Harris,,81-75,,
6:23.0,,,81-75,,Personal foul by C. Anthony (drawn by N. Jokic)
6:17.0,N. Jokic makes 3-pt shot from 25 ft (assist by J. Nelson),3,84-75,,
5:55.0,,,84-78,3,J. Holiday makes 3-pt shot from 23 ft (assist by B. Jennings)
5:35.0,W. Chandler misses 2-pt shot from 5 ft,,84-78,,
5:33.0,,,84-78,,Defensive rebound by K. O'Quinn
5:22.0,,,84-78,,Turnover by K. O'Quinn (bad pass; steal by N. Jokic)
5:10.0,W. Chandler misses 2-pt shot from 2 ft,,84-78,,
5:09.0,Offensive rebound by W. Chandler,,84-78,,
5:08.0,W. Chandler makes 2-pt shot from 1 ft,2,86-78,,
4:58.0,,,86-78,,K. O'Quinn misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by G. Harris,,86-78,,
4:38.0,N. Jokic misses 2-pt shot from 2 ft,,86-78,,
4:36.0,,,86-78,,Defensive rebound by C. Anthony
4:32.0,Personal foul by W. Chandler (drawn by J. Holiday),,86-78,,
4:32.0,W. Barton enters the game for D. Arthur,,86-78,,
4:32.0,J. Murray enters the game for J. Nelson,,86-78,,
4:32.0,,,86-78,,K. Porzingis enters the game for C. Anthony
4:32.0,,,86-78,,W. Hernangomez enters the game for K. O'Quinn
4:26.0,,,86-80,2,W. Hernangomez makes 2-pt shot from 5 ft
4:10.0,W. Chandler makes 2-pt shot from 2 ft,2,88-80,,
3:53.0,,,88-82,2,K. Porzingis makes 2-pt shot from 5 ft
3:33.0,W. Chandler misses 3-pt shot from 25 ft,,88-82,,
3:31.0,,,88-82,,Defensive rebound by K. Porzingis
3:27.0,,,88-84,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by B. Jennings)
3:25.0,Denver full timeout,,88-84,,
3:25.0,J. Hernangomez enters the game for W. Chandler,,88-84,,
3:07.0,N. Jokic makes 2-pt shot at rim (assist by J. Hernangomez),2,90-84,,
2:39.0,,,90-84,,Turnover by W. Hernangomez (lost ball; steal by N. Jokic)
2:31.0,G. Harris misses 3-pt shot from 27 ft,,90-84,,
2:29.0,,,90-84,,Defensive rebound by R. Baker
2:23.0,,,90-84,,B. Jennings misses 2-pt shot from 2 ft
2:20.0,,,90-84,,Offensive rebound by W. Hernangomez
2:19.0,,,90-86,2,W. Hernangomez makes 2-pt shot from 2 ft
2:06.0,J. Hernangomez makes 3-pt shot from 23 ft (assist by J. Murray),3,93-86,,
1:41.0,,,93-86,,J. Holiday misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by J. Murray,,93-86,,
1:30.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Barton),3,96-86,,
1:11.0,,,96-86,,B. Jennings misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by N. Jokic,,96-86,,
1:02.0,W. Barton misses 2-pt shot from 1 ft,,96-86,,
1:01.0,Offensive rebound by N. Jokic,,96-86,,
1:01.0,N. Jokic misses 2-pt shot from 1 ft,,96-86,,
1:00.0,Offensive rebound by N. Jokic,,96-86,,
1:00.0,N. Jokic makes 2-pt shot from 1 ft,2,98-86,,
1:00.0,,,98-86,,New York full timeout
1:00.0,,,98-86,,M. Ndour enters the game for K. Porzingis
1:00.0,,,98-86,,K. O'Quinn enters the game for W. Hernangomez
1:00.0,J. Nurkic enters the game for N. Jokic,,98-86,,
0:48.0,,,98-86,,R. Baker misses 2-pt shot from 1 ft
0:46.0,,,98-86,,Offensive rebound by M. Ndour
0:45.0,,,98-86,,M. Ndour misses 2-pt shot from 1 ft (block by J. Hernangomez)
0:44.0,Defensive rebound by J. Murray,,98-86,,
0:29.0,J. Murray misses 2-pt shot from 10 ft,,98-86,,
0:27.0,Offensive rebound by J. Murray,,98-86,,
0:07.0,W. Barton makes 2-pt shot from 2 ft,2,100-86,,
0:07.0,Shooting foul by K. O'Quinn (drawn by W. Barton),,100-86,,
0:07.0,W. Barton misses free throw 1 of 1,,100-86,,
0:07.0,,,100-86,,Defensive rebound by J. Holiday
0:02.0,,,100-88,2,K. O'Quinn makes 2-pt shot at rim (assist by B. Jennings)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Nurkic misses 2-pt shot from 1 ft (block by K. O'Quinn),,100-88,,
11:38.0,Offensive rebound by Team,,100-88,,
11:34.0,W. Barton misses 3-pt shot from 25 ft,,100-88,,
11:33.0,,,100-88,,Defensive rebound by M. Ndour
11:19.0,,,100-88,,J. Holiday misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by W. Barton,,100-88,,
11:11.0,J. Nelson makes 3-pt shot from 24 ft (assist by W. Barton),3,103-88,,
10:54.0,,,103-88,,M. Ndour misses 2-pt shot from 1 ft (block by W. Barton)
10:52.0,Defensive rebound by J. Nelson,,103-88,,
10:39.0,J. Nelson misses 3-pt shot from 25 ft,,103-88,,
10:37.0,,,103-88,,Defensive rebound by K. O'Quinn
10:31.0,,,103-88,,R. Baker misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by Team,,103-88,,
10:29.0,,,103-88,,C. Lee enters the game for J. Holiday
10:29.0,,,103-88,,K. Porzingis enters the game for R. Baker
10:29.0,,,103-88,,C. Anthony enters the game for M. Ndour
10:13.0,J. Murray makes 2-pt shot from 5 ft,2,105-88,,
9:55.0,,,105-90,2,K. O'Quinn makes 2-pt shot from 7 ft (assist by B. Jennings)
9:47.0,Turnover by J. Murray (lost ball; steal by C. Anthony),,105-90,,
9:45.0,Personal foul by J. Hernangomez,,105-90,,
9:43.0,Personal foul by W. Barton (drawn by C. Anthony),,105-90,,
9:43.0,W. Chandler enters the game for J. Murray,,105-90,,
9:32.0,,,105-93,3,B. Jennings makes 3-pt shot from 24 ft (assist by K. Porzingis)
9:17.0,W. Chandler misses 2-pt shot from 4 ft,,105-93,,
9:16.0,,,105-93,,Defensive rebound by K. O'Quinn
9:10.0,Personal foul by W. Chandler (drawn by B. Jennings),,105-93,,
9:06.0,,,105-93,,Turnover by K. O'Quinn (bad pass; steal by J. Hernangomez)
9:03.0,J. Hernangomez makes 2-pt shot at rim,2,107-93,,
8:47.0,,,107-93,,B. Jennings misses 2-pt shot from 2 ft
8:45.0,,,107-93,,Offensive rebound by K. Porzingis
8:45.0,,,107-93,,K. Porzingis misses 2-pt shot from 2 ft
8:43.0,,,107-93,,Offensive rebound by K. Porzingis
8:41.0,,,107-93,,B. Jennings misses 3-pt shot from 24 ft
8:39.0,,,107-93,,Offensive rebound by K. O'Quinn
8:36.0,,,107-95,2,C. Anthony makes 2-pt shot from 12 ft (assist by K. O'Quinn)
8:19.0,,,107-95,,Personal foul by C. Lee (drawn by W. Barton)
8:19.0,Official timeout,,107-95,,
8:19.0,N. Jokic enters the game for J. Nurkic,,107-95,,
8:13.0,N. Jokic misses 2-pt shot from 10 ft (block by K. O'Quinn),,107-95,,
8:10.0,Offensive rebound by W. Barton,,107-95,,
8:07.0,W. Barton misses 2-pt shot from 2 ft,,107-95,,
8:06.0,Offensive rebound by N. Jokic,,107-95,,
8:06.0,N. Jokic misses 2-pt shot from 1 ft,,107-95,,
8:04.0,Offensive rebound by W. Barton,,107-95,,
8:03.0,W. Barton makes 2-pt shot from 1 ft,2,109-95,,
7:48.0,,,109-97,2,K. O'Quinn makes 2-pt shot from 5 ft (assist by C. Anthony)
7:25.0,J. Hernangomez misses 2-pt shot from 10 ft,,109-97,,
7:24.0,,,109-97,,Defensive rebound by C. Lee
7:02.0,,,109-97,,K. Porzingis misses 2-pt shot from 9 ft (block by W. Barton)
7:00.0,,,109-97,,Offensive rebound by Team
7:00.0,,,109-97,,Turnover by Team (shot clock)
7:00.0,D. Arthur enters the game for J. Hernangomez,,109-97,,
6:42.0,D. Arthur misses 3-pt shot from 23 ft,,109-97,,
6:41.0,Offensive rebound by Team,,109-97,,
6:41.0,,,109-97,,D. Rose enters the game for K. O'Quinn
6:33.0,N. Jokic makes 2-pt shot from 1 ft (assist by D. Arthur),2,111-97,,
6:14.0,,,111-100,3,C. Anthony makes 3-pt shot from 25 ft
6:01.0,W. Barton makes 2-pt shot from 1 ft,2,113-100,,
5:49.0,,,113-103,3,C. Anthony makes 3-pt shot from 25 ft (assist by B. Jennings)
5:46.0,Denver full timeout,,113-103,,
5:46.0,G. Harris enters the game for D. Arthur,,113-103,,
5:32.0,N. Jokic makes 2-pt shot from 19 ft (assist by J. Nelson),2,115-103,,
5:15.0,,,115-105,2,K. Porzingis makes 2-pt shot from 2 ft (assist by C. Lee)
5:01.0,W. Barton makes 2-pt shot from 17 ft,2,117-105,,
4:38.0,,,117-105,,Turnover by C. Anthony (bad pass; steal by W. Chandler)
4:17.0,J. Nelson misses 2-pt shot from 5 ft (block by K. Porzingis),,117-105,,
4:14.0,,,117-105,,Defensive rebound by C. Lee
4:10.0,,,117-107,2,D. Rose makes 2-pt shot from 1 ft (assist by B. Jennings)
3:55.0,G. Harris misses 2-pt shot from 2 ft,,117-107,,
3:53.0,,,117-107,,Defensive rebound by C. Anthony
3:45.0,,,117-110,3,C. Lee makes 3-pt shot from 23 ft (assist by B. Jennings)
3:24.0,W. Chandler makes 2-pt shot from 2 ft,2,119-110,,
3:14.0,,,119-113,3,C. Anthony makes 3-pt shot from 25 ft (assist by B. Jennings)
2:53.0,W. Chandler makes 2-pt shot from 2 ft (assist by J. Nelson),2,121-113,,
2:51.0,,,121-113,,New York full timeout
2:34.0,,,121-115,2,C. Anthony makes 2-pt shot from 8 ft
2:11.0,G. Harris makes 3-pt shot from 25 ft (assist by J. Nelson),3,124-115,,
2:11.0,Shooting foul by C. Lee (drawn by G. Harris),,124-115,,
2:11.0,G. Harris makes free throw 1 of 1,1,125-115,,
2:00.0,,,125-118,3,C. Anthony makes 3-pt shot from 24 ft (assist by B. Jennings)
1:42.0,W. Barton misses 3-pt shot from 24 ft,,125-118,,
1:40.0,Offensive rebound by G. Harris,,125-118,,
1:22.0,J. Nelson makes 3-pt shot from 24 ft (assist by N. Jokic),3,128-118,,
1:22.0,,,128-118,,New York full timeout
1:16.0,,,128-121,3,C. Anthony makes 3-pt shot from 24 ft (assist by C. Lee)
1:13.0,Turnover by J. Nelson (lost ball; steal by B. Jennings),,128-121,,
1:08.0,,,128-121,,C. Lee misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by W. Barton,,128-121,,
1:06.0,,,128-121,,Personal foul by C. Lee (drawn by W. Barton)
0:59.0,,,128-121,,Personal foul by B. Jennings (drawn by N. Jokic)
0:59.0,N. Jokic makes free throw 1 of 2,1,129-121,,
0:59.0,N. Jokic misses free throw 2 of 2,,129-121,,
0:59.0,,,129-121,,Defensive rebound by C. Anthony
0:50.0,,,129-121,,B. Jennings misses 2-pt shot from 3 ft
0:48.0,Defensive rebound by N. Jokic,,129-121,,
0:36.0,N. Jokic makes 2-pt shot from 5 ft (assist by G. Harris),2,131-121,,
0:21.0,,,131-123,2,C. Anthony makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
