time,Orlando,pts.away,score,pts.home,Indiana
4:23.0,Defensive rebound by S. Ibaka,,8-7,,
4:17.0,,,8-7,,Personal foul by J. Teague (drawn by E. Payton)
4:08.0,Shooting foul by A. Jefferson (drawn by E. Fournier),,8-7,,
4:08.0,E. Fournier makes free throw 1 of 2,1,9-7,,
4:08.0,E. Fournier makes free throw 2 of 2,1,10-7,,
3:46.0,,,10-9,2,M. Ellis makes 2-pt shot from 6 ft
3:20.0,Turnover by Team (shot clock),,10-9,,
3:20.0,,,10-9,,L. Allen enters the game for T. Young
3:11.0,,,10-11,2,M. Ellis makes 2-pt shot from 17 ft
2:51.0,B. Biyombo makes 2-pt shot from 5 ft (assist by S. Ibaka),2,12-11,,
2:22.0,,,12-11,,P. George misses 2-pt shot from 17 ft
2:21.0,Defensive rebound by S. Ibaka,,12-11,,
2:13.0,E. Payton makes 2-pt shot from 3 ft,2,14-11,,
2:08.0,,,14-11,,Indiana full timeout
2:08.0,,,14-11,,C. Miles enters the game for M. Ellis
1:56.0,,,14-13,2,P. George makes 2-pt shot from 1 ft (assist by J. Teague)
1:31.0,E. Fournier makes 3-pt shot from 28 ft (assist by S. Ibaka),3,17-13,,
1:23.0,Personal foul by E. Fournier (drawn by C. Miles),,17-13,,
1:23.0,D. Augustin enters the game for E. Payton,,17-13,,
1:23.0,D. Rudez enters the game for S. Ibaka,,17-13,,
1:23.0,,,17-13,,A. Brooks enters the game for J. Teague
1:17.0,,,17-13,,P. George misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by B. Biyombo,,17-13,,
1:07.0,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Fournier),2,19-13,,
0:48.0,,,19-13,,A. Brooks misses 3-pt shot from 27 ft
0:47.0,Defensive rebound by B. Biyombo,,19-13,,
0:35.0,A. Gordon misses 3-pt shot from 26 ft,,19-13,,
0:34.0,,,19-13,,Defensive rebound by C. Miles
0:27.0,,,19-16,3,C. Miles makes 3-pt shot from 26 ft (assist by P. George)
0:09.0,E. Fournier misses 2-pt shot from 5 ft,,19-16,,
0:07.0,Offensive rebound by B. Biyombo,,19-16,,
0:02.0,D. Augustin misses 3-pt shot from 26 ft,,19-16,,
0:02.0,,,19-16,,Defensive rebound by A. Jefferson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,19-16,,Shooting foul by A. Gordon (drawn by C. Miles)
11:44.0,,,19-17,1,C. Miles makes free throw 1 of 2
11:44.0,,,19-18,1,C. Miles makes free throw 2 of 2
11:32.0,Turnover by D. Rudez (bad pass; steal by C. Miles),,19-18,,
11:28.0,,,19-20,2,C. Miles makes 2-pt shot at rim
11:10.0,C. Watson misses 2-pt shot from 15 ft,,19-20,,
11:10.0,,,19-20,,Defensive rebound by L. Allen
11:00.0,,,19-22,2,L. Allen makes 2-pt shot from 20 ft (assist by M. Ellis)
10:44.0,Turnover by B. Biyombo (traveling),,19-22,,
10:30.0,,,19-24,2,A. Brooks makes 2-pt shot from 15 ft
10:28.0,Orlando full timeout,,19-24,,
10:17.0,A. Gordon makes 2-pt shot from 3 ft (assist by D. Rudez),2,21-24,,
9:57.0,,,21-24,,Shooting foul by C. Watson (drawn by A. Brooks)
9:57.0,,,21-25,1,A. Brooks makes free throw 1 of 2
9:57.0,,,21-26,1,A. Brooks makes free throw 2 of 2
9:40.0,A. Gordon makes 2-pt shot from 3 ft,2,23-26,,
9:15.0,,,23-26,,K. Seraphin misses 2-pt shot from 13 ft (block by B. Biyombo)
9:14.0,Defensive rebound by B. Biyombo,,23-26,,
9:01.0,B. Biyombo makes 2-pt shot from 11 ft,2,25-26,,
8:41.0,,,25-26,,A. Brooks misses 3-pt shot from 30 ft
8:40.0,Defensive rebound by A. Gordon,,25-26,,
8:32.0,D. Augustin makes 2-pt shot from 2 ft,2,27-26,,
8:12.0,,,27-26,,L. Allen misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by A. Gordon,,27-26,,
8:02.0,D. Rudez makes 3-pt shot from 26 ft (assist by D. Augustin),3,30-26,,
7:54.0,,,30-26,,Indiana full timeout
7:54.0,,,30-26,,M. Turner enters the game for L. Allen
7:54.0,,,30-26,,T. Young enters the game for K. Seraphin
7:43.0,,,30-26,,M. Turner misses 2-pt shot from 16 ft
7:42.0,,,30-26,,Offensive rebound by Team
7:42.0,Loose ball foul by D. Rudez (drawn by T. Young),,30-26,,
7:33.0,,,30-26,,C. Miles misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by D. Rudez,,30-26,,
7:08.0,A. Gordon misses 3-pt shot from 26 ft,,30-26,,
7:07.0,Offensive rebound by Team,,30-26,,
7:07.0,N. Vucevic enters the game for B. Biyombo,,30-26,,
6:53.0,A. Gordon misses 2-pt shot from 17 ft,,30-26,,
6:52.0,,,30-26,,Defensive rebound by M. Turner
6:43.0,,,30-28,2,M. Turner makes 2-pt shot at rim (assist by A. Brooks)
6:31.0,A. Gordon misses 2-pt shot from 18 ft (block by C. Miles),,30-28,,
6:29.0,,,30-28,,Defensive rebound by M. Turner
6:22.0,,,30-31,3,C. Miles makes 3-pt shot from 24 ft (assist by A. Brooks)
5:56.0,D. Augustin misses 2-pt shot from 16 ft (block by M. Ellis),,30-31,,
5:55.0,Offensive rebound by Team,,30-31,,
5:55.0,Turnover by Team (shot clock),,30-31,,
5:55.0,S. Ibaka enters the game for A. Gordon,,30-31,,
5:55.0,J. Green enters the game for D. Augustin,,30-31,,
5:55.0,E. Payton enters the game for D. Rudez,,30-31,,
5:55.0,,,30-31,,J. Teague enters the game for C. Miles
5:55.0,,,30-31,,P. George enters the game for A. Brooks
5:41.0,,,30-31,,Turnover by M. Ellis (discontinued dribble)
5:17.0,J. Green misses 3-pt shot from 25 ft,,30-31,,
5:15.0,Offensive rebound by Team,,30-31,,
5:15.0,E. Fournier enters the game for C. Watson,,30-31,,
5:09.0,S. Ibaka misses 3-pt shot from 23 ft,,30-31,,
5:09.0,,,30-31,,Defensive rebound by T. Young
4:58.0,,,30-33,2,P. George makes 2-pt shot from 19 ft
4:41.0,J. Green misses 3-pt shot from 25 ft,,30-33,,
4:40.0,,,30-33,,Defensive rebound by J. Teague
4:31.0,,,30-35,2,M. Turner makes 2-pt shot from 19 ft (assist by P. George)
4:14.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,32-35,,
3:58.0,,,32-38,3,J. Teague makes 3-pt shot from 26 ft (assist by P. George)
3:32.0,N. Vucevic misses 2-pt shot from 14 ft,,32-38,,
3:30.0,,,32-38,,Defensive rebound by P. George
3:20.0,,,32-38,,J. Teague misses 3-pt shot from 27 ft
3:20.0,Defensive rebound by N. Vucevic,,32-38,,
3:14.0,J. Green makes 2-pt shot from 2 ft (assist by E. Payton),2,34-38,,
2:59.0,,,34-38,,Turnover by P. George (bad pass; steal by E. Payton)
2:54.0,E. Payton misses 2-pt shot from 1 ft (block by T. Young),,34-38,,
2:53.0,,,34-38,,Defensive rebound by M. Turner
2:38.0,,,34-38,,M. Turner misses 2-pt shot from 1 ft
2:37.0,Defensive rebound by E. Payton,,34-38,,
2:32.0,E. Fournier misses 2-pt shot from 2 ft (block by J. Teague),,34-38,,
2:31.0,,,34-38,,Defensive rebound by T. Young
2:31.0,Loose ball foul by N. Vucevic (drawn by T. Young),,34-38,,
2:31.0,Official timeout,,34-38,,
2:31.0,,,34-38,,C. Miles enters the game for M. Ellis
2:14.0,Violation by N. Vucevic (kicked ball),,34-38,,
2:14.0,,,34-38,,K. Seraphin enters the game for M. Turner
2:06.0,,,34-38,,J. Teague misses 2-pt shot from 11 ft (block by N. Vucevic)
2:05.0,Defensive rebound by N. Vucevic,,34-38,,
1:59.0,S. Ibaka misses 3-pt shot from 26 ft,,34-38,,
1:59.0,,,34-38,,Defensive rebound by C. Miles
1:54.0,,,34-38,,P. George misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by E. Payton,,34-38,,
1:46.0,Shooting foul by K. Seraphin (drawn by J. Green),,34-38,,
1:46.0,J. Green misses free throw 1 of 2,,34-38,,
1:46.0,Offensive rebound by Team,,34-38,,
1:46.0,J. Green makes free throw 2 of 2,1,35-38,,
1:21.0,,,35-38,,Turnover by P. George (bad pass; steal by E. Fournier)
1:14.0,S. Ibaka makes 2-pt shot at rim (assist by N. Vucevic),2,37-38,,
1:06.0,,,37-38,,T. Young misses 2-pt shot from 2 ft
1:05.0,,,37-38,,Offensive rebound by P. George
1:00.0,,,37-41,3,T. Young makes 3-pt shot from 23 ft (assist by C. Miles)
0:38.0,E. Fournier misses 3-pt shot from 23 ft,,37-41,,
0:38.0,,,37-41,,Defensive rebound by J. Teague
0:32.0,,,37-41,,C. Miles misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by N. Vucevic,,37-41,,
0:26.0,Turnover by E. Fournier (bad pass),,37-41,,
0:26.0,,,37-41,,Indiana full timeout
0:26.0,B. Biyombo enters the game for N. Vucevic,,37-41,,
0:05.0,,,37-41,,J. Teague misses 2-pt shot at rim
0:04.0,,,37-41,,Offensive rebound by K. Seraphin
0:04.0,,,37-41,,K. Seraphin misses 2-pt shot at rim
0:02.0,Defensive rebound by S. Ibaka,,37-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,37-43,2,M. Turner makes 2-pt shot at rim
11:33.0,N. Vucevic misses 2-pt shot from 1 ft,,37-43,,
11:31.0,Offensive rebound by S. Ibaka,,37-43,,
11:31.0,S. Ibaka misses 2-pt shot from 2 ft (block by P. George),,37-43,,
11:30.0,Offensive rebound by J. Green,,37-43,,
11:24.0,Shooting foul by T. Young (drawn by E. Payton),,37-43,,
11:24.0,E. Payton makes free throw 1 of 2,1,38-43,,
11:24.0,E. Payton makes free throw 2 of 2,1,39-43,,
10:59.0,,,39-43,,M. Ellis misses 3-pt shot from 27 ft
10:59.0,Defensive rebound by S. Ibaka,,39-43,,
10:45.0,N. Vucevic misses 2-pt shot from 14 ft,,39-43,,
10:44.0,,,39-43,,Defensive rebound by J. Teague
10:33.0,,,39-45,2,M. Ellis makes 2-pt shot from 1 ft (assist by J. Teague)
10:13.0,E. Payton makes 2-pt shot from 6 ft,2,41-45,,
10:00.0,,,41-45,,M. Ellis misses 3-pt shot from 22 ft
9:59.0,Defensive rebound by N. Vucevic,,41-45,,
9:59.0,,,41-45,,Personal foul by J. Teague (drawn by N. Vucevic)
9:52.0,E. Fournier makes 2-pt shot from 2 ft,2,43-45,,
9:52.0,Shooting foul by M. Ellis (drawn by E. Fournier),,43-45,,
9:52.0,E. Fournier makes free throw 1 of 1,1,44-45,,
9:36.0,,,44-45,,M. Turner misses 2-pt shot from 20 ft
9:35.0,Defensive rebound by E. Payton,,44-45,,
9:22.0,Offensive foul by N. Vucevic,,44-45,,
9:22.0,Turnover by N. Vucevic (offensive foul),,44-45,,
9:10.0,,,44-48,3,P. George makes 3-pt shot from 24 ft (assist by M. Ellis)
8:50.0,E. Payton makes 2-pt shot from 8 ft,2,46-48,,
8:30.0,Personal block foul by J. Green (drawn by P. George),,46-48,,
8:16.0,,,46-48,,M. Turner misses 2-pt shot from 13 ft
8:16.0,Defensive rebound by S. Ibaka,,46-48,,
8:10.0,Turnover by E. Payton (bad pass; steal by P. George),,46-48,,
8:10.0,Personal take foul by E. Payton (drawn by P. George),,46-48,,
7:58.0,,,46-48,,P. George misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by N. Vucevic,,46-48,,
7:50.0,Turnover by N. Vucevic (bad pass; steal by T. Young),,46-48,,
7:39.0,,,46-48,,M. Ellis misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by E. Fournier,,46-48,,
7:26.0,E. Payton misses 3-pt shot from 26 ft,,46-48,,
7:26.0,,,46-48,,Defensive rebound by P. George
7:22.0,,,46-50,2,T. Young makes 2-pt shot from 1 ft (assist by P. George)
7:22.0,Orlando full timeout,,46-50,,
7:04.0,E. Fournier misses 3-pt shot from 30 ft,,46-50,,
7:04.0,,,46-50,,Defensive rebound by T. Young
6:57.0,,,46-50,,P. George misses 2-pt shot from 3 ft
6:56.0,Defensive rebound by N. Vucevic,,46-50,,
6:50.0,E. Fournier misses 2-pt shot from 1 ft,,46-50,,
6:49.0,Offensive rebound by S. Ibaka,,46-50,,
6:49.0,S. Ibaka makes 2-pt shot from 2 ft,2,48-50,,
6:36.0,,,48-52,2,J. Teague makes 2-pt shot from 1 ft
6:12.0,,,48-52,,Personal foul by M. Ellis (drawn by E. Fournier)
6:07.0,Turnover by E. Payton (bad pass; steal by J. Teague),,48-52,,
6:02.0,,,48-54,2,P. George makes 2-pt shot at rim (assist by J. Teague)
5:48.0,N. Vucevic misses 2-pt shot from 19 ft,,48-54,,
5:48.0,,,48-54,,Defensive rebound by T. Young
5:36.0,,,48-56,2,T. Young makes 2-pt shot from 8 ft (assist by J. Teague)
5:13.0,E. Fournier misses 2-pt shot from 15 ft,,48-56,,
5:13.0,,,48-56,,Defensive rebound by M. Turner
4:58.0,,,48-56,,Turnover by J. Teague (back court)
4:58.0,A. Gordon enters the game for J. Green,,48-56,,
4:58.0,B. Biyombo enters the game for N. Vucevic,,48-56,,
4:44.0,Shooting foul by J. Teague (drawn by E. Fournier),,48-56,,
4:44.0,E. Fournier makes free throw 1 of 2,1,49-56,,
4:44.0,E. Fournier makes free throw 2 of 2,1,50-56,,
4:44.0,,,49-56,,C. Miles enters the game for M. Ellis
4:31.0,Shooting block foul by B. Biyombo (drawn by J. Teague),,50-56,,
4:31.0,,,50-57,1,J. Teague makes free throw 1 of 2
4:31.0,,,50-58,1,J. Teague makes free throw 2 of 2
4:19.0,S. Ibaka misses 2-pt shot from 18 ft,,50-58,,
4:18.0,,,50-58,,Defensive rebound by M. Turner
4:13.0,,,50-60,2,J. Teague makes 2-pt shot at rim
4:00.0,S. Ibaka misses 2-pt shot from 7 ft,,50-60,,
3:59.0,,,50-60,,Defensive rebound by J. Teague
3:52.0,,,50-60,,C. Miles misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by Team,,50-60,,
3:51.0,,,50-60,,Loose ball foul by P. George (drawn by B. Biyombo)
3:51.0,B. Biyombo misses free throw 1 of 2,,50-60,,
3:51.0,Offensive rebound by Team,,50-60,,
3:51.0,B. Biyombo makes free throw 2 of 2,1,51-60,,
3:51.0,D. Augustin enters the game for S. Ibaka,,50-60,,
3:51.0,D. Rudez enters the game for E. Payton,,50-60,,
3:51.0,,,50-60,,A. Brooks enters the game for T. Young
3:51.0,,,50-60,,L. Allen enters the game for J. Teague
3:46.0,,,51-60,,Indiana full timeout
3:46.0,,,51-60,,K. Seraphin enters the game for M. Turner
3:36.0,,,51-60,,A. Brooks misses 2-pt shot from 19 ft
3:32.0,,,51-60,,Offensive rebound by K. Seraphin
3:29.0,,,51-60,,A. Brooks misses 2-pt shot from 3 ft (block by B. Biyombo)
3:27.0,,,51-60,,Offensive rebound by K. Seraphin
3:23.0,,,51-62,2,P. George makes 2-pt shot from 15 ft
3:01.0,A. Gordon makes 3-pt shot from 26 ft (assist by E. Fournier),3,54-62,,
2:43.0,,,54-64,2,K. Seraphin makes 2-pt shot from 9 ft (assist by A. Brooks)
2:24.0,A. Gordon makes 2-pt shot from 4 ft,2,56-64,,
2:10.0,Personal foul by D. Augustin (drawn by P. George),,56-64,,
1:59.0,,,56-64,,K. Seraphin misses 2-pt shot from 18 ft
1:58.0,,,56-64,,Offensive rebound by L. Allen
1:48.0,,,56-66,2,K. Seraphin makes 2-pt shot at rim (assist by P. George)
1:32.0,E. Fournier misses 2-pt shot from 4 ft (block by C. Miles),,56-66,,
1:31.0,Offensive rebound by Team,,56-66,,
1:31.0,N. Vucevic enters the game for D. Rudez,,56-66,,
1:25.0,E. Fournier misses 2-pt shot from 4 ft,,56-66,,
1:24.0,,,56-66,,Defensive rebound by K. Seraphin
1:19.0,,,56-66,,Shooting foul by N. Vucevic (drawn by P. George)
1:19.0,,,56-67,1,P. George makes free throw 1 of 2
1:19.0,,,56-68,1,P. George makes free throw 2 of 2
1:08.0,Shooting foul by A. Brooks (drawn by D. Augustin),,56-68,,
1:08.0,D. Augustin misses free throw 1 of 2,,56-68,,
1:08.0,Offensive rebound by Team,,56-68,,
1:08.0,D. Augustin makes free throw 2 of 2,1,57-68,,
0:56.0,,,57-71,3,A. Brooks makes 3-pt shot from 25 ft
0:40.0,N. Vucevic misses 2-pt shot from 10 ft,,57-71,,
0:39.0,,,57-71,,Defensive rebound by C. Miles
0:31.0,,,57-71,,P. George misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by A. Gordon,,57-71,,
0:09.0,E. Fournier misses 2-pt shot from 23 ft,,57-71,,
0:08.0,,,57-71,,Defensive rebound by K. Seraphin
0:00.0,,,57-71,,A. Brooks misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by B. Biyombo,,57-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Augustin makes 3-pt shot from 23 ft (assist by C. Watson),3,60-71,,
11:27.0,,,60-71,,C. Miles misses 2-pt shot from 17 ft
11:25.0,,,60-71,,Offensive rebound by Team
11:12.0,,,60-71,,M. Ellis misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by N. Vucevic,,60-71,,
11:01.0,N. Vucevic misses 2-pt shot from 14 ft,,60-71,,
11:01.0,,,60-71,,Defensive rebound by K. Seraphin
10:48.0,,,60-71,,A. Brooks misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by B. Biyombo,,60-71,,
10:38.0,Turnover by B. Biyombo (traveling),,60-71,,
10:24.0,,,60-71,,C. Miles misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by N. Vucevic,,60-71,,
10:12.0,D. Augustin misses 3-pt shot from 27 ft,,60-71,,
10:11.0,,,60-71,,Defensive rebound by L. Allen
9:52.0,,,60-73,2,K. Seraphin makes 2-pt shot from 20 ft (assist by A. Brooks)
9:29.0,A. Gordon makes 2-pt shot from 9 ft,2,62-73,,
9:17.0,,,62-73,,C. Miles misses 2-pt shot from 3 ft (block by B. Biyombo)
9:15.0,Defensive rebound by N. Vucevic,,62-73,,
9:05.0,Turnover by D. Augustin (lost ball; steal by C. Miles),,62-73,,
9:05.0,Jump ball: D. Augustin vs. C. Miles (M. Ellis gains possession),,,,Jump ball: D. Augustin vs. C. Miles (M. Ellis gains possession)
8:49.0,,,62-73,,K. Seraphin misses 2-pt shot from 3 ft
8:49.0,,,62-73,,Offensive rebound by K. Seraphin
8:45.0,,,62-76,3,C. Miles makes 3-pt shot from 24 ft (assist by K. Seraphin)
8:23.0,A. Gordon misses 3-pt shot from 25 ft,,62-76,,
8:23.0,,,62-76,,Defensive rebound by Team
8:23.0,Official timeout,,62-76,,
8:23.0,J. Green enters the game for N. Vucevic,,62-76,,
8:23.0,E. Payton enters the game for A. Gordon,,62-76,,
8:05.0,,,62-76,,C. Miles misses 2-pt shot from 5 ft
8:04.0,Defensive rebound by B. Biyombo,,62-76,,
7:45.0,Turnover by B. Biyombo (bad pass; steal by K. Seraphin),,62-76,,
7:37.0,,,62-78,2,M. Ellis makes 2-pt shot from 2 ft (assist by K. Seraphin)
7:37.0,,,62-78,,Shooting foul by C. Watson (drawn by M. Ellis)
7:37.0,,,62-79,1,M. Ellis makes free throw 1 of 1
7:37.0,,,62-78,,P. George enters the game for C. Miles
7:37.0,,,62-78,,T. Young enters the game for L. Allen
7:29.0,E. Payton misses 2-pt shot from 4 ft,,62-79,,
7:28.0,,,62-79,,Defensive rebound by K. Seraphin
7:26.0,,,62-79,,Turnover by K. Seraphin (lost ball; steal by E. Payton)
7:23.0,E. Payton misses 2-pt shot from 1 ft (block by K. Seraphin),,62-79,,
7:23.0,,,62-79,,Defensive rebound by Team
7:03.0,,,62-81,2,M. Ellis makes 2-pt shot from 10 ft
7:03.0,Orlando full timeout,,62-81,,
7:03.0,E. Fournier enters the game for B. Biyombo,,62-81,,
7:03.0,S. Ibaka enters the game for D. Augustin,,62-81,,
6:51.0,Turnover by S. Ibaka (lost ball; steal by A. Brooks),,62-81,,
6:45.0,,,62-81,,A. Brooks misses 2-pt shot from 3 ft
6:44.0,Defensive rebound by S. Ibaka,,62-81,,
6:40.0,C. Watson misses 3-pt shot from 25 ft,,62-81,,
6:40.0,,,62-81,,Defensive rebound by K. Seraphin
6:23.0,,,62-81,,K. Seraphin misses 2-pt shot from 16 ft
6:23.0,Defensive rebound by C. Watson,,62-81,,
6:12.0,Turnover by S. Ibaka (lost ball; steal by P. George),,62-81,,
6:10.0,Personal take foul by E. Fournier (drawn by P. George),,62-81,,
6:10.0,,,62-81,,J. Teague enters the game for A. Brooks
5:53.0,,,62-81,,P. George misses 2-pt shot from 18 ft
5:53.0,Defensive rebound by E. Payton,,62-81,,
5:35.0,J. Green misses 3-pt shot from 26 ft,,62-81,,
5:35.0,,,62-81,,Defensive rebound by M. Ellis
5:18.0,,,62-83,2,J. Teague makes 2-pt shot from 3 ft (assist by K. Seraphin)
5:15.0,Orlando full timeout,,62-83,,
5:15.0,,,62-83,,M. Turner enters the game for K. Seraphin
5:15.0,A. Gordon enters the game for J. Green,,62-83,,
5:15.0,M. Hezonja enters the game for C. Watson,,62-83,,
5:04.0,E. Fournier makes 2-pt shot from 20 ft (assist by A. Gordon),2,64-83,,
4:48.0,,,64-83,,T. Young misses 2-pt shot at rim
4:47.0,Defensive rebound by E. Fournier,,64-83,,
4:41.0,,,64-83,,Personal block foul by M. Turner (drawn by E. Fournier)
4:37.0,E. Fournier makes 2-pt shot from 5 ft,2,66-83,,
4:19.0,,,66-83,,J. Teague misses 2-pt shot from 9 ft
4:18.0,Defensive rebound by S. Ibaka,,66-83,,
4:05.0,E. Payton misses 2-pt shot from 1 ft (block by J. Teague),,66-83,,
4:04.0,,,66-83,,Defensive rebound by P. George
3:58.0,,,66-83,,P. George misses 2-pt shot from 3 ft
3:56.0,Defensive rebound by S. Ibaka,,66-83,,
3:41.0,,,66-83,,Personal block foul by M. Ellis (drawn by S. Ibaka)
3:41.0,D. Rudez enters the game for S. Ibaka,,66-83,,
3:41.0,C. Wilcox enters the game for E. Fournier,,66-83,,
3:41.0,A. Onuaku enters the game for E. Payton,,66-83,,
3:41.0,C. Watson enters the game for A. Gordon,,66-83,,
3:33.0,M. Hezonja misses 2-pt shot from 18 ft,,66-83,,
3:33.0,,,66-83,,Defensive rebound by J. Teague
3:22.0,,,66-83,,Turnover by M. Ellis (bad pass)
3:22.0,,,66-83,,C. Miles enters the game for P. George
3:01.0,C. Watson misses 2-pt shot from 19 ft,,66-83,,
3:00.0,,,66-83,,Defensive rebound by T. Young
2:45.0,,,66-85,2,T. Young makes 2-pt shot from 4 ft (assist by J. Teague)
2:21.0,M. Hezonja misses 2-pt shot from 3 ft,,66-85,,
2:20.0,Offensive rebound by M. Hezonja,,66-85,,
2:16.0,C. Watson makes 3-pt shot from 25 ft (assist by M. Hezonja),3,69-85,,
2:15.0,,,69-85,,Indiana full timeout
2:15.0,,,69-85,,G. Niang enters the game for T. Young
2:15.0,,,69-85,,G. Robinson enters the game for M. Turner
2:15.0,,,69-85,,J. Young enters the game for M. Ellis
2:15.0,,,69-85,,K. Seraphin enters the game for J. Teague
1:52.0,,,69-85,,J. Young misses 2-pt shot from 21 ft
1:52.0,Defensive rebound by C. Watson,,69-85,,
