time,Memphis,pts.away,score,pts.home,Oklahoma City
6:41.0,,,32-39,2,R. Westbrook makes 2-pt shot from 2 ft
6:07.0,M. Conley misses 2-pt shot from 2 ft,,32-39,,
6:06.0,,,32-39,,Defensive rebound by J. Grant
6:06.0,Personal foul by J. Ennis (drawn by J. Grant),,32-39,,
6:06.0,,,32-39,,J. Lauvergne enters the game for E. Kanter
6:06.0,T. Allen enters the game for J. Ennis,,32-39,,
5:49.0,,,32-39,,R. Westbrook misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by M. Conley,,32-39,,
5:44.0,J. Green misses 2-pt shot from 2 ft,,32-39,,
5:42.0,,,32-39,,Defensive rebound by J. Grant
5:37.0,,,32-39,,Shooting foul by T. Allen (drawn by R. Westbrook)
5:37.0,,,32-39,,Oklahoma City full timeout
5:37.0,,,32-40,1,R. Westbrook makes free throw 1 of 2
5:37.0,,,32-41,1,R. Westbrook makes free throw 2 of 2
5:37.0,C. Parsons enters the game for V. Carter,,32-39,,
5:22.0,M. Conley misses 2-pt shot from 20 ft,,32-41,,
5:22.0,,,32-41,,Defensive rebound by S. Adams
5:02.0,,,32-43,2,J. Lauvergne makes 2-pt shot from 11 ft (assist by V. Oladipo)
4:48.0,M. Conley makes 2-pt shot from 8 ft,2,34-43,,
4:33.0,Personal foul by T. Allen (drawn by S. Adams),,34-43,,
4:33.0,,,34-43,,A. Roberson enters the game for J. Grant
4:25.0,Personal foul by T. Allen (drawn by R. Westbrook),,34-43,,
4:25.0,V. Carter enters the game for T. Allen,,34-43,,
4:15.0,,,34-43,,V. Oladipo misses 2-pt shot at rim
4:14.0,Defensive rebound by J. Green,,34-43,,
4:00.0,Shooting foul by S. Adams (drawn by M. Gasol),,34-43,,
4:00.0,M. Gasol misses free throw 1 of 2,,34-43,,
4:00.0,Offensive rebound by Team,,34-43,,
4:00.0,M. Gasol misses free throw 2 of 2,,34-43,,
3:59.0,,,34-43,,Defensive rebound by R. Westbrook
3:37.0,,,34-43,,R. Westbrook misses 3-pt shot from 31 ft
3:36.0,Defensive rebound by Team,,34-43,,
3:25.0,M. Conley makes 2-pt shot from 1 ft,2,36-43,,
3:14.0,Personal foul by M. Conley (drawn by J. Lauvergne),,36-43,,
3:14.0,,,36-44,1,J. Lauvergne makes free throw 1 of 2
3:14.0,,,36-45,1,J. Lauvergne makes free throw 2 of 2
3:03.0,,,36-45,,E. Kanter enters the game for J. Lauvergne
2:54.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,38-45,,
2:42.0,,,38-45,,S. Adams misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by M. Gasol,,38-45,,
2:26.0,M. Gasol misses 2-pt shot from 12 ft,,38-45,,
2:26.0,,,38-45,,Defensive rebound by R. Westbrook
2:20.0,,,38-48,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
1:55.0,C. Parsons makes 2-pt shot from 12 ft,2,40-48,,
1:41.0,,,40-50,2,R. Westbrook makes 2-pt shot from 16 ft
1:19.0,J. Green misses 2-pt shot from 20 ft,,40-50,,
1:19.0,,,40-50,,Defensive rebound by R. Westbrook
1:06.0,,,40-50,,A. Roberson misses 3-pt shot from 23 ft
1:06.0,Defensive rebound by Team,,40-50,,
1:05.0,Memphis full timeout,,40-50,,
1:05.0,Z. Randolph enters the game for M. Gasol,,40-50,,
0:52.0,Z. Randolph misses 2-pt shot from 19 ft,,40-50,,
0:48.0,Offensive rebound by J. Green,,40-50,,
0:48.0,J. Green misses 2-pt shot from 2 ft,,40-50,,
0:46.0,Offensive rebound by J. Green,,40-50,,
0:46.0,J. Green makes 2-pt shot from 2 ft,2,42-50,,
0:35.0,,,42-50,,E. Kanter misses 3-pt shot from 25 ft
0:35.0,,,42-50,,Offensive rebound by Team
0:27.0,,,42-52,2,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook)
0:05.0,Z. Randolph makes 2-pt shot from 11 ft (assist by M. Conley),2,44-52,,
0:02.0,Shooting block foul by C. Parsons (drawn by R. Westbrook),,44-52,,
0:02.0,,,44-53,1,R. Westbrook makes free throw 1 of 3
0:02.0,,,44-54,1,R. Westbrook makes free throw 2 of 3
0:02.0,,,44-55,1,R. Westbrook makes free throw 3 of 3
0:02.0,T. Daniels enters the game for J. Green,,44-54,,
0:02.0,,,44-54,,J. Grant enters the game for E. Kanter
0:00.0,M. Conley misses 3-pt shot from 49 ft,,44-55,,
0:00.0,Offensive rebound by Team,,44-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,44-55,,Turnover by R. Westbrook (bad pass)
11:31.0,M. Gasol misses 2-pt shot from 18 ft,,44-55,,
11:31.0,,,44-55,,Defensive rebound by R. Westbrook
11:18.0,,,44-55,,D. Sabonis misses 2-pt shot from 8 ft
11:16.0,Defensive rebound by J. Green,,44-55,,
10:59.0,M. Conley makes 3-pt shot from 23 ft (assist by M. Gasol),3,47-55,,
10:41.0,Shooting block foul by C. Parsons (drawn by A. Roberson),,47-55,,
10:41.0,,,47-55,,A. Roberson misses free throw 1 of 2
10:41.0,,,47-55,,Offensive rebound by Team
10:41.0,,,47-56,1,A. Roberson makes free throw 2 of 2
10:28.0,C. Parsons makes 2-pt shot from 2 ft,2,49-56,,
10:19.0,,,49-58,2,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook)
10:19.0,,,49-58,,Shooting foul by C. Parsons (drawn by V. Oladipo)
10:19.0,,,49-59,1,V. Oladipo makes free throw 1 of 1
10:03.0,C. Parsons makes 2-pt shot from 2 ft,2,51-59,,
9:53.0,Personal foul by J. Green (drawn by R. Westbrook),,51-59,,
9:43.0,,,51-59,,R. Westbrook misses 2-pt shot from 16 ft
9:42.0,Defensive rebound by J. Green,,51-59,,
9:29.0,J. Green misses 2-pt shot from 4 ft,,51-59,,
9:28.0,Offensive rebound by T. Allen,,51-59,,
9:18.0,C. Parsons misses 3-pt shot from 25 ft,,51-59,,
9:18.0,,,51-59,,Defensive rebound by D. Sabonis
9:02.0,,,51-59,,S. Adams misses 2-pt shot from 9 ft
9:02.0,Defensive rebound by J. Green,,51-59,,
9:01.0,J. Ennis enters the game for C. Parsons,,51-59,,
8:43.0,M. Gasol makes 2-pt shot from 9 ft,2,53-59,,
8:15.0,,,53-59,,S. Adams misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by J. Ennis,,53-59,,
8:09.0,M. Conley misses 3-pt shot from 25 ft,,53-59,,
8:07.0,,,53-59,,Defensive rebound by V. Oladipo
8:07.0,,,53-59,,Oklahoma City full timeout
7:53.0,,,53-59,,R. Westbrook misses 2-pt shot from 17 ft
7:51.0,,,53-59,,Offensive rebound by A. Roberson
7:48.0,,,53-59,,R. Westbrook misses 3-pt shot from 25 ft
7:46.0,,,53-59,,Offensive rebound by S. Adams
7:42.0,Jump ball: J. Green vs. A. Roberson (M. Gasol gains possession),,,,Jump ball: J. Green vs. A. Roberson (M. Gasol gains possession)
7:42.0,,,53-59,,Turnover by A. Roberson (lost ball; steal by J. Green)
7:29.0,T. Allen misses 2-pt shot from 1 ft (block by S. Adams),,53-59,,
7:29.0,Offensive rebound by Team,,53-59,,
7:29.0,,,53-59,,E. Kanter enters the game for D. Sabonis
7:26.0,M. Conley makes 3-pt shot from 25 ft (assist by T. Allen),3,56-59,,
7:05.0,,,56-59,,Turnover by E. Kanter (bad pass; steal by M. Gasol)
7:00.0,,,56-59,,Personal foul by A. Roberson (drawn by T. Allen)
6:43.0,J. Ennis makes 2-pt shot from 6 ft,2,58-59,,
6:25.0,,,58-59,,V. Oladipo misses 3-pt shot from 25 ft
6:24.0,,,58-59,,Offensive rebound by E. Kanter
6:20.0,,,58-59,,Turnover by R. Westbrook (kicked ball)
6:02.0,J. Green misses 3-pt shot from 25 ft,,58-59,,
6:02.0,,,58-59,,Defensive rebound by A. Roberson
5:56.0,,,58-59,,V. Oladipo misses 2-pt shot from 15 ft
5:54.0,,,58-59,,Offensive rebound by S. Adams
5:53.0,,,58-59,,S. Adams misses 2-pt shot from 1 ft
5:53.0,,,58-59,,Offensive rebound by S. Adams
5:53.0,,,58-61,2,S. Adams makes 2-pt shot from 1 ft
5:53.0,,,58-61,,Shooting foul by M. Gasol (drawn by S. Adams)
5:53.0,,,58-61,,S. Adams misses free throw 1 of 1
5:53.0,Z. Randolph enters the game for J. Green,,58-61,,
5:52.0,Defensive rebound by M. Gasol,,58-61,,
5:39.0,M. Gasol misses 3-pt shot from 25 ft,,58-61,,
5:38.0,,,58-61,,Defensive rebound by A. Roberson
5:32.0,,,58-64,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
5:11.0,M. Gasol misses 2-pt shot from 3 ft,,58-64,,
5:11.0,Offensive rebound by Team,,58-64,,
5:11.0,,,58-64,,Loose ball foul by S. Adams (drawn by M. Gasol)
5:02.0,Z. Randolph misses 2-pt shot from 6 ft,,58-64,,
5:02.0,,,58-64,,Defensive rebound by R. Westbrook
4:57.0,,,58-64,,R. Westbrook misses 2-pt shot from 2 ft
4:55.0,Defensive rebound by M. Conley,,58-64,,
4:50.0,T. Allen misses 2-pt shot at rim,,58-64,,
4:49.0,Offensive rebound by J. Ennis,,58-64,,
4:49.0,J. Ennis makes 2-pt shot from 1 ft,2,60-64,,
4:41.0,,,60-64,,R. Westbrook misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by Z. Randolph,,60-64,,
4:18.0,Shooting foul by E. Kanter (drawn by Z. Randolph),,60-64,,
4:18.0,Z. Randolph makes free throw 1 of 2,1,61-64,,
4:18.0,Z. Randolph makes free throw 2 of 2,1,62-64,,
4:18.0,V. Carter enters the game for T. Allen,,61-64,,
4:05.0,,,62-64,,E. Kanter misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by Z. Randolph,,62-64,,
4:00.0,Turnover by Z. Randolph (bad pass),,62-64,,
4:00.0,,,62-64,,A. Abrines enters the game for V. Oladipo
3:43.0,,,62-66,2,E. Kanter makes 2-pt shot from 5 ft
3:13.0,M. Conley misses 2-pt shot from 5 ft,,62-66,,
3:12.0,,,62-66,,Defensive rebound by S. Adams
3:08.0,,,62-66,,Shooting foul by J. Ennis (drawn by R. Westbrook)
3:08.0,,,62-67,1,R. Westbrook makes free throw 1 of 2
3:08.0,,,62-68,1,R. Westbrook makes free throw 2 of 2
3:08.0,A. Harrison enters the game for M. Conley,,62-67,,
3:08.0,J. Green enters the game for M. Gasol,,62-67,,
2:52.0,J. Ennis misses 2-pt shot from 16 ft,,62-68,,
2:52.0,Offensive rebound by Z. Randolph,,62-68,,
2:43.0,Turnover by Z. Randolph (lost ball; steal by E. Kanter),,62-68,,
2:42.0,Personal take foul by Z. Randolph (drawn by E. Kanter),,62-68,,
2:42.0,Memphis full timeout,,62-68,,
2:42.0,,,62-69,1,E. Kanter makes free throw 1 of 2
2:42.0,,,62-70,1,E. Kanter makes free throw 2 of 2
2:42.0,,,62-68,,C. Payne enters the game for R. Westbrook
2:26.0,V. Carter misses 2-pt shot from 2 ft,,62-70,,
2:25.0,,,62-70,,Defensive rebound by E. Kanter
2:02.0,,,62-73,3,A. Abrines makes 3-pt shot from 25 ft (assist by E. Kanter)
1:37.0,Z. Randolph misses 2-pt shot from 6 ft,,62-73,,
1:36.0,,,62-73,,Defensive rebound by E. Kanter
1:15.0,,,62-73,,E. Kanter misses 2-pt shot from 13 ft
1:14.0,Defensive rebound by J. Ennis,,62-73,,
1:09.0,Shooting foul by A. Abrines (drawn by J. Ennis),,62-73,,
1:09.0,J. Ennis makes free throw 1 of 2,1,63-73,,
1:09.0,J. Ennis misses free throw 2 of 2,,63-73,,
1:09.0,,,63-73,,J. Grant enters the game for A. Roberson
1:09.0,,,63-73,,J. Lauvergne enters the game for S. Adams
1:08.0,,,63-73,,Defensive rebound by J. Grant
0:50.0,,,63-75,2,E. Kanter makes 2-pt shot from 6 ft
0:41.0,A. Harrison makes 2-pt shot from 2 ft,2,65-75,,
0:31.0,,,65-75,,C. Payne misses 2-pt shot from 19 ft
0:31.0,Defensive rebound by Z. Randolph,,65-75,,
0:10.0,Z. Randolph misses 2-pt shot from 4 ft,,65-75,,
0:09.0,Offensive rebound by J. Ennis,,65-75,,
0:09.0,J. Ennis makes 2-pt shot from 1 ft,2,67-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Conley),2,69-75,,
11:26.0,,,69-75,,Turnover by E. Kanter (bad pass; steal by M. Conley)
11:19.0,J. Green misses 2-pt shot from 1 ft,,69-75,,
11:18.0,Offensive rebound by M. Conley,,69-75,,
11:13.0,V. Carter misses 3-pt shot from 24 ft,,69-75,,
11:13.0,Offensive rebound by V. Carter,,69-75,,
11:05.0,T. Daniels misses 3-pt shot from 25 ft,,69-75,,
11:05.0,,,69-75,,Defensive rebound by J. Lauvergne
10:40.0,,,69-75,,E. Kanter misses 2-pt shot from 12 ft
10:40.0,Defensive rebound by V. Carter,,69-75,,
10:33.0,Shooting foul by C. Payne (drawn by M. Conley),,69-75,,
10:33.0,M. Conley makes free throw 1 of 2,1,70-75,,
10:33.0,M. Conley makes free throw 2 of 2,1,71-75,,
10:12.0,,,71-75,,J. Grant misses 2-pt shot from 2 ft (block by V. Carter)
10:11.0,Defensive rebound by Team,,71-75,,
9:55.0,Turnover by Z. Randolph (lost ball; steal by E. Kanter),,71-75,,
9:50.0,,,71-75,,C. Payne misses 3-pt shot from 25 ft
9:49.0,,,71-75,,Offensive rebound by E. Kanter
9:34.0,,,71-75,,E. Kanter misses 2-pt shot from 17 ft
