time,Sacramento,pts.away,score,pts.home,Detroit
0:08.0,T. Lawson makes 2-pt shot at rim,2,27-36,,
0:08.0,Shooting foul by R. Jackson (drawn by T. Lawson),,27-36,,
0:08.0,T. Lawson makes free throw 1 of 1,1,28-36,,
0:08.0,W. Cauley-Stein enters the game for D. Cousins,,27-36,,
0:02.0,,,28-36,,R. Jackson misses 2-pt shot at rim
0:01.0,,,28-36,,Offensive rebound by A. Drummond
0:00.0,,,28-38,2,A. Drummond makes 2-pt shot at rim
0:00.0,,,28-38,,Shooting foul by M. Barnes (drawn by A. Drummond)
0:00.0,,,28-38,,A. Drummond misses free throw 1 of 1
0:00.0,Defensive rebound by W. Cauley-Stein,,28-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,A. Tolliver misses 2-pt shot from 22 ft,,28-38,,
11:49.0,Offensive rebound by Team,,28-38,,
11:49.0,Sacramento full timeout,,28-38,,
11:32.0,M. Barnes makes 2-pt shot from 7 ft (assist by T. Lawson),2,30-38,,
11:32.0,Shooting foul by S. Johnson (drawn by M. Barnes),,30-38,,
11:32.0,M. Barnes makes free throw 1 of 1,1,31-38,,
11:15.0,,,31-40,2,S. Johnson makes 2-pt shot at rim (assist by R. Bullock)
11:05.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,31-40,,
11:04.0,Offensive rebound by T. Lawson,,31-40,,
11:01.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,33-40,,
10:36.0,,,33-42,2,A. Baynes makes 2-pt shot from 7 ft (assist by I. Smith)
10:22.0,M. Richardson makes 2-pt shot from 1 ft (assist by T. Lawson),2,35-42,,
10:07.0,,,35-44,2,R. Bullock makes 2-pt shot from 1 ft (assist by T. Harris)
10:01.0,T. Lawson makes 2-pt shot at rim,2,37-44,,
10:01.0,Shooting foul by I. Smith (drawn by T. Lawson),,37-44,,
10:01.0,T. Lawson makes free throw 1 of 1,1,38-44,,
9:50.0,,,38-44,,R. Bullock misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by T. Lawson,,38-44,,
9:41.0,T. Lawson makes 2-pt shot from 6 ft,2,40-44,,
9:26.0,,,40-44,,Turnover by A. Baynes (bad pass; steal by T. Lawson)
9:23.0,T. Lawson makes 2-pt shot from 1 ft,2,42-44,,
9:23.0,,,42-44,,Violation by A. Baynes (def goaltending)
9:07.0,,,42-44,,T. Harris misses 2-pt shot from 12 ft
9:06.0,Defensive rebound by A. Tolliver,,42-44,,
8:54.0,M. Barnes makes 2-pt shot from 1 ft (assist by T. Lawson),2,44-44,,
8:54.0,,,44-44,,Detroit full timeout
8:54.0,,,44-44,,M. Morris enters the game for S. Johnson
8:45.0,,,44-44,,Offensive foul by A. Baynes
8:45.0,,,44-44,,Turnover by A. Baynes (offensive foul)
8:27.0,M. Richardson misses 2-pt shot from 6 ft,,44-44,,
8:27.0,Offensive rebound by W. Cauley-Stein,,44-44,,
8:26.0,W. Cauley-Stein makes 2-pt shot at rim,2,46-44,,
8:06.0,,,46-46,2,T. Harris makes 2-pt shot at rim
7:41.0,M. Barnes misses 2-pt shot from 5 ft,,46-46,,
7:41.0,Offensive rebound by W. Cauley-Stein,,46-46,,
7:38.0,W. Cauley-Stein makes 2-pt shot at rim,2,48-46,,
7:27.0,,,48-49,3,R. Bullock makes 3-pt shot from 25 ft (assist by A. Baynes)
7:08.0,T. Lawson misses 3-pt shot from 25 ft,,48-49,,
7:07.0,,,48-49,,Defensive rebound by I. Smith
6:51.0,,,48-51,2,M. Morris makes 2-pt shot from 14 ft
6:36.0,M. Barnes misses 3-pt shot from 27 ft,,48-51,,
6:35.0,,,48-51,,Defensive rebound by R. Bullock
6:29.0,,,48-51,,T. Harris misses 3-pt shot from 27 ft
6:29.0,Defensive rebound by Team,,48-51,,
6:29.0,,,48-51,,Loose ball foul by A. Baynes (drawn by W. Cauley-Stein)
6:16.0,Turnover by M. Barnes (bad pass; steal by I. Smith),,48-51,,
6:12.0,,,48-53,2,R. Bullock makes 2-pt shot at rim (assist by I. Smith)
6:04.0,Sacramento full timeout,,48-53,,
6:04.0,,,48-53,,A. Drummond enters the game for T. Harris
6:04.0,,,48-53,,J. Leuer enters the game for A. Baynes
6:03.0,A. Afflalo enters the game for A. Tolliver,,48-53,,
5:44.0,T. Lawson misses 2-pt shot from 17 ft,,48-53,,
5:43.0,,,48-53,,Defensive rebound by J. Leuer
5:32.0,,,48-53,,Turnover by A. Drummond (lost ball; steal by M. Barnes)
5:26.0,M. Barnes misses 2-pt shot at rim,,48-53,,
5:25.0,,,48-53,,Defensive rebound by I. Smith
5:20.0,,,48-55,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Leuer)
5:09.0,Shooting foul by J. Leuer (drawn by T. Lawson),,48-55,,
5:09.0,,,48-55,,Violation by Team (jump ball)
5:09.0,T. Lawson makes free throw 1 of 2,1,49-55,,
5:09.0,T. Lawson makes free throw 2 of 2,1,50-55,,
5:09.0,D. Cousins enters the game for M. Richardson,,49-55,,
5:09.0,G. Temple enters the game for M. Barnes,,49-55,,
5:09.0,,,49-55,,K. Caldwell-Pope enters the game for R. Bullock
5:09.0,,,49-55,,R. Jackson enters the game for I. Smith
4:57.0,,,50-55,,A. Drummond misses 2-pt shot from 1 ft
4:56.0,Defensive rebound by D. Cousins,,50-55,,
4:44.0,D. Cousins makes 2-pt shot at rim (assist by G. Temple),2,52-55,,
4:24.0,,,52-55,,A. Drummond misses 2-pt shot from 9 ft
4:24.0,Defensive rebound by Team,,52-55,,
4:24.0,D. Collison enters the game for T. Lawson,,52-55,,
4:12.0,W. Cauley-Stein makes 2-pt shot at rim,2,54-55,,
4:12.0,,,54-55,,Detroit full timeout
4:12.0,,,54-55,,A. Baynes enters the game for A. Drummond
3:54.0,,,54-55,,J. Leuer misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by D. Collison,,54-55,,
3:44.0,D. Cousins misses 2-pt shot from 5 ft,,54-55,,
3:44.0,Offensive rebound by W. Cauley-Stein,,54-55,,
3:38.0,A. Afflalo misses 3-pt shot from 26 ft,,54-55,,
3:37.0,,,54-55,,Defensive rebound by J. Leuer
3:31.0,,,54-55,,Offensive charge foul by J. Leuer
3:31.0,,,54-55,,Turnover by J. Leuer (offensive foul)
3:31.0,,,54-55,,A. Drummond enters the game for J. Leuer
3:09.0,D. Cousins misses 2-pt shot from 14 ft,,54-55,,
3:09.0,,,54-55,,Defensive rebound by M. Morris
2:56.0,,,54-57,2,A. Drummond makes 2-pt shot from 7 ft
2:34.0,Shooting foul by A. Drummond (drawn by W. Cauley-Stein),,54-57,,
2:34.0,Official timeout,,54-57,,
2:34.0,W. Cauley-Stein makes free throw 1 of 2,1,55-57,,
2:34.0,W. Cauley-Stein makes free throw 2 of 2,1,56-57,,
2:14.0,,,56-57,,M. Morris misses 3-pt shot from 27 ft
2:12.0,,,56-57,,Offensive rebound by A. Baynes
2:01.0,,,56-57,,A. Baynes misses 2-pt shot from 19 ft
2:00.0,Defensive rebound by D. Cousins,,56-57,,
1:40.0,D. Cousins misses 2-pt shot from 1 ft,,56-57,,
1:39.0,Offensive rebound by D. Cousins,,56-57,,
1:38.0,Shooting foul by A. Baynes (drawn by D. Cousins),,56-57,,
1:38.0,D. Cousins makes free throw 1 of 2,1,57-57,,
1:38.0,D. Cousins makes free throw 2 of 2,1,58-57,,
1:38.0,,,57-57,,T. Harris enters the game for A. Baynes
1:38.0,A. Tolliver enters the game for W. Cauley-Stein,,57-57,,
1:13.0,,,58-57,,R. Jackson misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by D. Cousins,,58-57,,
1:02.0,D. Cousins makes 2-pt shot from 1 ft,2,60-57,,
0:56.0,,,60-57,,Turnover by R. Jackson (lost ball; steal by D. Cousins)
0:50.0,D. Cousins misses 2-pt shot at rim,,60-57,,
0:49.0,,,60-57,,Defensive rebound by A. Drummond
0:43.0,,,60-60,3,R. Jackson makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
0:32.0,D. Cousins makes 3-pt shot from 26 ft (assist by D. Collison),3,63-60,,
0:18.0,,,63-62,2,T. Harris makes 2-pt shot from 8 ft (assist by R. Jackson)
0:05.0,Shooting foul by R. Jackson (drawn by D. Collison),,63-62,,
0:05.0,D. Collison makes free throw 1 of 2,1,64-62,,
0:05.0,D. Collison makes free throw 2 of 2,1,65-62,,
0:05.0,T. Lawson enters the game for A. Tolliver,,64-62,,
0:05.0,W. Cauley-Stein enters the game for D. Cousins,,64-62,,
0:02.0,Personal take foul by T. Lawson (drawn by R. Jackson),,65-62,,
0:01.0,,,65-62,,A. Drummond misses 3-pt shot from 26 ft
0:00.0,,,65-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Afflalo misses 2-pt shot from 17 ft,,65-62,,
11:39.0,,,65-62,,Defensive rebound by A. Drummond
11:33.0,,,65-62,,J. Leuer misses 2-pt shot from 20 ft
11:29.0,,,65-62,,Offensive rebound by A. Drummond
11:13.0,,,65-62,,J. Leuer misses 2-pt shot from 1 ft (block by D. Cousins)
11:12.0,Defensive rebound by D. Cousins,,65-62,,
11:09.0,,,65-62,,Personal foul by R. Jackson (drawn by D. Collison)
10:58.0,Shooting foul by J. Leuer (drawn by D. Cousins),,65-62,,
10:58.0,D. Cousins misses free throw 1 of 2,,65-62,,
10:58.0,Offensive rebound by Team,,65-62,,
10:58.0,D. Cousins misses free throw 2 of 2,,65-62,,
10:58.0,,,65-62,,T. Harris enters the game for J. Leuer
10:54.0,,,65-62,,Defensive rebound by T. Harris
10:44.0,,,65-62,,Shooting foul by G. Temple (drawn by K. Caldwell-Pope)
10:44.0,,,65-62,,K. Caldwell-Pope misses free throw 1 of 3
10:44.0,,,65-62,,Offensive rebound by Team
10:44.0,,,65-63,1,K. Caldwell-Pope makes free throw 2 of 3
10:44.0,,,65-64,1,K. Caldwell-Pope makes free throw 3 of 3
10:36.0,Shooting foul by T. Harris (drawn by D. Cousins),,65-64,,
10:36.0,D. Cousins misses free throw 1 of 2,,65-64,,
10:36.0,Offensive rebound by Team,,65-64,,
10:36.0,D. Cousins makes free throw 2 of 2,1,66-64,,
10:20.0,,,66-64,,R. Jackson misses 2-pt shot from 18 ft
10:16.0,,,66-64,,Offensive rebound by R. Jackson
10:09.0,,,66-64,,K. Caldwell-Pope misses 2-pt shot from 19 ft
10:07.0,,,66-64,,Offensive rebound by Team
10:07.0,Loose ball foul by G. Temple (drawn by M. Morris),,66-64,,
10:06.0,,,66-64,,M. Morris misses 3-pt shot from 27 ft
10:04.0,Defensive rebound by D. Collison,,66-64,,
9:44.0,G. Temple makes 3-pt shot from 25 ft (assist by D. Collison),3,69-64,,
9:32.0,,,69-64,,T. Harris misses 2-pt shot from 5 ft
9:30.0,Defensive rebound by A. Afflalo,,69-64,,
9:16.0,Turnover by D. Collison (bad pass),,69-64,,
9:07.0,,,69-64,,Shooting foul by K. Koufos (drawn by R. Jackson)
9:07.0,,,69-65,1,R. Jackson makes free throw 1 of 2
9:07.0,,,69-66,1,R. Jackson makes free throw 2 of 2
8:49.0,D. Cousins makes 2-pt shot from 5 ft (assist by A. Afflalo),2,71-66,,
8:45.0,,,71-66,,Detroit full timeout
8:24.0,,,71-66,,M. Morris misses 2-pt shot from 19 ft
8:24.0,,,71-66,,Offensive rebound by Team
8:23.0,,,71-66,,Turnover by R. Jackson (lost ball)
7:59.0,D. Cousins makes 2-pt shot from 8 ft,2,73-66,,
7:45.0,,,73-66,,T. Harris misses 3-pt shot from 26 ft
7:45.0,Defensive rebound by D. Cousins,,73-66,,
7:27.0,A. Afflalo misses 3-pt shot from 26 ft,,73-66,,
7:26.0,,,73-66,,Defensive rebound by K. Caldwell-Pope
7:11.0,,,73-69,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
6:45.0,G. Temple makes 2-pt shot from 1 ft (assist by D. Cousins),2,75-69,,
6:32.0,,,75-71,2,M. Morris makes 2-pt shot from 15 ft (assist by R. Jackson)
6:13.0,D. Collison makes 3-pt shot from 24 ft (assist by D. Cousins),3,78-71,,
5:57.0,,,78-71,,Shooting foul by K. Koufos (drawn by A. Drummond)
5:57.0,,,78-72,1,A. Drummond makes free throw 1 of 2
5:57.0,,,78-73,1,A. Drummond makes free throw 2 of 2
5:45.0,K. Koufos misses 2-pt shot from 6 ft,,78-73,,
5:45.0,Offensive rebound by D. Cousins,,78-73,,
5:44.0,D. Cousins misses 2-pt shot from 1 ft,,78-73,,
5:43.0,,,78-73,,Defensive rebound by M. Morris
5:37.0,,,78-75,2,T. Harris makes 2-pt shot at rim (assist by M. Morris)
5:28.0,Sacramento full timeout,,78-75,,
5:28.0,A. Tolliver enters the game for K. Koufos,,78-75,,
5:14.0,D. Cousins misses 2-pt shot from 4 ft,,78-75,,
5:14.0,,,78-75,,Defensive rebound by A. Drummond
5:14.0,Loose ball foul by D. Cousins (drawn by A. Drummond),,78-75,,
5:14.0,,,78-75,,A. Drummond misses free throw 1 of 2
5:14.0,,,78-75,,Offensive rebound by Team
5:14.0,,,78-75,,A. Drummond misses free throw 2 of 2
5:13.0,Defensive rebound by D. Cousins,,78-75,,
4:56.0,A. Afflalo misses 3-pt shot from 27 ft,,78-75,,
4:55.0,,,78-75,,Defensive rebound by T. Harris
4:45.0,,,78-75,,Turnover by T. Harris (bad pass; steal by A. Tolliver)
4:34.0,A. Afflalo misses 2-pt shot from 5 ft,,78-75,,
4:33.0,,,78-75,,Defensive rebound by M. Morris
4:28.0,,,78-75,,K. Caldwell-Pope misses 2-pt shot from 16 ft
4:27.0,Defensive rebound by A. Afflalo,,78-75,,
4:15.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins),2,80-75,,
4:00.0,,,80-75,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:00.0,Defensive rebound by D. Cousins,,80-75,,
3:56.0,,,80-75,,Personal foul by R. Jackson (drawn by D. Cousins)
3:56.0,,,80-75,,I. Smith enters the game for R. Jackson
3:56.0,W. Cauley-Stein enters the game for D. Cousins,,80-75,,
3:46.0,D. Collison makes 2-pt shot from 16 ft (assist by A. Afflalo),2,82-75,,
3:26.0,,,82-75,,Turnover by I. Smith (bad pass; steal by W. Cauley-Stein)
3:18.0,Turnover by D. Collison (lost ball; steal by K. Caldwell-Pope),,82-75,,
3:13.0,,,82-77,2,T. Harris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
3:04.0,Shooting foul by A. Drummond (drawn by G. Temple),,82-77,,
3:04.0,G. Temple makes free throw 1 of 2,1,83-77,,
3:04.0,G. Temple makes free throw 2 of 2,1,84-77,,
3:04.0,,,83-77,,A. Baynes enters the game for A. Drummond
3:04.0,M. Barnes enters the game for A. Afflalo,,83-77,,
3:04.0,T. Lawson enters the game for D. Collison,,83-77,,
2:52.0,,,84-77,,M. Morris misses 2-pt shot from 19 ft
2:52.0,Defensive rebound by M. Barnes,,84-77,,
2:39.0,Turnover by G. Temple (bad pass; steal by A. Baynes),,84-77,,
2:32.0,,,84-79,2,I. Smith makes 2-pt shot from 1 ft
2:14.0,Offensive charge foul by M. Barnes,,84-79,,
2:14.0,Turnover by M. Barnes (offensive foul),,84-79,,
2:14.0,,,84-79,,R. Bullock enters the game for K. Caldwell-Pope
2:07.0,Personal foul by A. Tolliver (drawn by M. Morris),,84-79,,
2:07.0,,,84-80,1,M. Morris makes free throw 1 of 2
2:07.0,,,84-81,1,M. Morris makes free throw 2 of 2
1:41.0,W. Cauley-Stein misses 2-pt shot from 15 ft,,84-81,,
1:40.0,Offensive rebound by A. Tolliver,,84-81,,
1:37.0,A. Tolliver makes 2-pt shot at rim,2,86-81,,
1:16.0,,,86-81,,M. Morris misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
1:14.0,Defensive rebound by W. Cauley-Stein,,86-81,,
1:09.0,A. Tolliver misses 3-pt shot from 26 ft,,86-81,,
1:08.0,,,86-81,,Defensive rebound by R. Bullock
1:00.0,,,86-81,,I. Smith misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by G. Temple,,86-81,,
0:55.0,T. Lawson makes 2-pt shot from 14 ft,2,88-81,,
0:39.0,,,88-81,,R. Bullock misses 3-pt shot from 27 ft
0:39.0,Defensive rebound by M. Barnes,,88-81,,
0:26.0,T. Lawson misses 2-pt shot from 16 ft,,88-81,,
0:25.0,,,88-81,,Defensive rebound by R. Bullock
0:01.0,,,88-81,,Turnover by Team (shot clock)
0:00.0,M. Barnes misses 3-pt shot from 54 ft,,88-81,,
0:00.0,Offensive rebound by Team,,88-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,88-81,,R. Bullock misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by M. Barnes,,88-81,,
11:29.0,M. Richardson misses 2-pt shot from 10 ft,,88-81,,
11:26.0,Offensive rebound by T. Lawson,,88-81,,
11:23.0,T. Lawson makes 2-pt shot at rim,2,90-81,,
10:54.0,,,90-81,,J. Leuer misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by M. Barnes,,90-81,,
10:34.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by T. Lawson),2,92-81,,
10:18.0,,,92-83,2,A. Baynes makes 2-pt shot from 13 ft (assist by I. Smith)
9:59.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,92-83,,
9:59.0,,,92-83,,Defensive rebound by R. Bullock
9:53.0,,,92-83,,Turnover by I. Smith (lost ball; steal by M. Richardson)
9:44.0,Shooting foul by T. Harris (drawn by M. Richardson),,92-83,,
9:44.0,M. Richardson makes free throw 1 of 2,1,93-83,,
9:44.0,M. Richardson misses free throw 2 of 2,,93-83,,
9:44.0,,,93-83,,A. Drummond enters the game for A. Baynes
9:44.0,,,93-83,,K. Caldwell-Pope enters the game for I. Smith
9:44.0,,,93-83,,R. Jackson enters the game for R. Bullock
9:43.0,,,93-83,,Defensive rebound by A. Drummond
9:17.0,,,93-85,2,T. Harris makes 2-pt shot from 15 ft (assist by R. Jackson)
9:01.0,M. Barnes makes 3-pt shot from 26 ft (assist by T. Lawson),3,96-85,,
8:39.0,,,96-88,3,R. Jackson makes 3-pt shot from 26 ft
8:22.0,T. Lawson misses 2-pt shot from 18 ft,,96-88,,
8:22.0,,,96-88,,Defensive rebound by R. Jackson
8:18.0,Personal foul by T. Lawson (drawn by R. Jackson),,96-88,,
8:18.0,Official timeout,,96-88,,
8:18.0,,,96-88,,M. Morris enters the game for T. Harris
8:06.0,,,96-90,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
7:47.0,M. Richardson makes 2-pt shot at rim (assist by A. Tolliver),2,98-90,,
7:34.0,,,98-90,,R. Jackson misses 2-pt shot at rim
7:34.0,Defensive rebound by M. Barnes,,98-90,,
7:22.0,T. Lawson makes 3-pt shot from 27 ft (assist by M. Richardson),3,101-90,,
7:13.0,,,101-90,,Detroit full timeout
7:13.0,D. Cousins enters the game for A. Tolliver,,101-90,,
7:05.0,,,101-90,,K. Caldwell-Pope misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by M. Barnes,,101-90,,
6:45.0,Offensive foul by D. Cousins,,101-90,,
6:45.0,Turnover by D. Cousins (offensive foul),,101-90,,
6:35.0,,,101-92,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by J. Leuer)
6:18.0,D. Cousins misses 3-pt shot from 26 ft,,101-92,,
6:18.0,,,101-92,,Defensive rebound by J. Leuer
6:06.0,,,101-94,2,R. Jackson makes 2-pt shot from 6 ft
5:29.0,D. Cousins misses 2-pt shot from 1 ft,,101-94,,
5:27.0,,,101-94,,Defensive rebound by A. Drummond
5:23.0,,,101-96,2,M. Morris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
5:16.0,Sacramento full timeout,,101-96,,
5:16.0,G. Temple enters the game for W. Cauley-Stein,,101-96,,
5:16.0,A. Afflalo enters the game for M. Richardson,,101-96,,
4:59.0,A. Afflalo misses 3-pt shot from 26 ft,,101-96,,
4:58.0,,,101-96,,Defensive rebound by A. Drummond
4:46.0,,,101-96,,Turnover by R. Jackson (lost ball; steal by D. Cousins)
4:34.0,Turnover by D. Cousins (lost ball; steal by A. Drummond),,101-96,,
4:26.0,,,101-96,,R. Jackson misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by G. Temple,,101-96,,
4:13.0,D. Cousins makes 2-pt shot at rim (assist by M. Barnes),2,103-96,,
3:52.0,,,103-96,,Offensive foul by A. Drummond
3:52.0,,,103-96,,Turnover by A. Drummond (offensive foul)
3:52.0,D. Collison enters the game for T. Lawson,,103-96,,
3:39.0,Turnover by D. Cousins (bad pass),,103-96,,
3:25.0,,,103-96,,Turnover by A. Drummond (bad pass; steal by D. Collison)
3:09.0,Sacramento full timeout,,103-96,,
3:01.0,D. Cousins misses 2-pt shot from 9 ft,,103-96,,
2:59.0,,,103-96,,Defensive rebound by K. Caldwell-Pope
2:53.0,,,103-98,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
2:33.0,Shooting foul by A. Drummond (drawn by D. Cousins),,103-98,,
2:33.0,D. Cousins makes free throw 1 of 2,1,104-98,,
2:33.0,D. Cousins makes free throw 2 of 2,1,105-98,,
2:22.0,,,105-98,,Shooting foul by M. Barnes (drawn by R. Jackson)
2:22.0,,,105-99,1,R. Jackson makes free throw 1 of 2
2:22.0,,,105-99,,R. Jackson misses free throw 2 of 2
2:21.0,Defensive rebound by D. Cousins,,105-99,,
1:57.0,G. Temple misses 3-pt shot from 23 ft,,105-99,,
