time,Chicago,pts.away,score,pts.home,Indiana
0:00.0,D. Wade misses 2-pt shot from 20 ft,,15-31,,
0:00.0,,,15-31,,Defensive rebound by M. Ellis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,D. Wade misses 2-pt shot from 13 ft (block by A. Jefferson),,15-31,,
11:46.0,,,15-31,,Defensive rebound by A. Jefferson
11:27.0,,,15-33,2,C. Miles makes 2-pt shot from 6 ft (assist by M. Ellis)
11:19.0,Shooting foul by A. Jefferson (drawn by I. Canaan),,15-33,,
11:19.0,I. Canaan makes free throw 1 of 2,1,16-33,,
11:19.0,I. Canaan makes free throw 2 of 2,1,17-33,,
10:59.0,,,17-33,,C. Miles misses 2-pt shot from 18 ft
10:58.0,Defensive rebound by B. Portis,,17-33,,
10:45.0,D. McDermott makes 2-pt shot from 18 ft (assist by C. Felicio),2,19-33,,
10:25.0,,,19-35,2,A. Jefferson makes 2-pt shot from 4 ft
10:12.0,Turnover by I. Canaan (bad pass),,19-35,,
9:59.0,,,19-38,3,A. Brooks makes 3-pt shot from 25 ft (assist by A. Jefferson)
9:46.0,D. Wade misses 2-pt shot from 4 ft,,19-38,,
9:45.0,Offensive rebound by C. Felicio,,19-38,,
9:45.0,,,19-38,,Personal foul by C. Miles (drawn by C. Felicio)
9:39.0,I. Canaan misses 3-pt shot from 25 ft,,19-38,,
9:38.0,,,19-38,,Defensive rebound by A. Jefferson
9:30.0,,,19-40,2,L. Allen makes 2-pt shot from 5 ft (assist by M. Ellis)
9:30.0,Chicago full timeout,,19-40,,
9:30.0,R. Lopez enters the game for I. Canaan,,19-40,,
9:30.0,R. Rondo enters the game for C. Felicio,,19-40,,
9:30.0,J. Butler enters the game for D. McDermott,,19-40,,
9:13.0,Shooting foul by L. Allen (drawn by D. Wade),,19-40,,
9:13.0,D. Wade makes free throw 1 of 2,1,20-40,,
9:13.0,D. Wade makes free throw 2 of 2,1,21-40,,
9:13.0,,,20-40,,P. George enters the game for C. Miles
8:58.0,,,21-43,3,A. Brooks makes 3-pt shot from 24 ft (assist by M. Ellis)
8:32.0,D. Wade misses 3-pt shot from 25 ft,,21-43,,
8:31.0,,,21-43,,Defensive rebound by P. George
8:14.0,,,21-43,,A. Jefferson misses 2-pt shot from 17 ft
8:11.0,Defensive rebound by R. Lopez,,21-43,,
8:05.0,J. Butler makes 2-pt shot from 17 ft,2,23-43,,
8:05.0,Shooting foul by A. Brooks (drawn by J. Butler),,23-43,,
8:05.0,J. Butler makes free throw 1 of 1,1,24-43,,
8:05.0,,,23-43,,M. Turner enters the game for A. Jefferson
7:54.0,,,24-43,,Shooting foul by R. Lopez (drawn by M. Turner)
7:54.0,,,24-44,1,M. Turner makes free throw 1 of 2
7:54.0,,,24-45,1,M. Turner makes free throw 2 of 2
7:34.0,R. Lopez makes 2-pt shot from 3 ft,2,26-45,,
7:12.0,,,26-47,2,L. Allen makes 2-pt shot from 4 ft (assist by M. Ellis)
7:02.0,B. Portis misses 2-pt shot from 6 ft,,26-47,,
7:01.0,,,26-47,,Defensive rebound by M. Turner
6:56.0,,,26-47,,Turnover by P. George (lost ball; steal by D. Wade)
6:54.0,,,26-47,,Personal foul by M. Ellis (drawn by J. Butler)
6:54.0,J. Butler makes free throw 1 of 2,1,27-47,,
6:54.0,J. Butler makes free throw 2 of 2,1,28-47,,
6:54.0,D. McDermott enters the game for D. Wade,,27-47,,
6:54.0,,,27-47,,C. Miles enters the game for M. Ellis
6:38.0,,,28-47,,Shooting foul by B. Portis (drawn by M. Turner)
6:38.0,,,28-47,,M. Turner misses free throw 1 of 2
6:38.0,,,28-47,,Offensive rebound by Team
6:38.0,,,28-48,1,M. Turner makes free throw 2 of 2
6:38.0,T. Gibson enters the game for B. Portis,,28-47,,
6:26.0,T. Gibson makes 2-pt shot from 17 ft (assist by R. Rondo),2,30-48,,
6:03.0,,,30-48,,C. Miles misses 2-pt shot from 6 ft
6:02.0,Defensive rebound by T. Gibson,,30-48,,
5:56.0,Shooting foul by A. Brooks (drawn by D. McDermott),,30-48,,
5:56.0,Official timeout,,30-48,,
5:56.0,D. McDermott makes free throw 1 of 2,1,31-48,,
5:56.0,D. McDermott makes free throw 2 of 2,1,32-48,,
5:56.0,,,30-48,,T. Young enters the game for A. Brooks
5:56.0,,,30-48,,J. Teague enters the game for L. Allen
5:37.0,,,32-50,2,T. Young makes 2-pt shot from 21 ft (assist by C. Miles)
5:22.0,Turnover by R. Rondo (lost ball; steal by J. Teague),,32-50,,
5:14.0,,,32-52,2,C. Miles makes 2-pt shot from 5 ft (assist by J. Teague)
5:06.0,,,32-52,,Personal foul by C. Miles (drawn by D. McDermott)
5:06.0,D. McDermott makes free throw 1 of 2,1,33-52,,
5:06.0,D. McDermott makes free throw 2 of 2,1,34-52,,
4:57.0,,,34-55,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
4:38.0,R. Rondo makes 2-pt shot from 12 ft,2,36-55,,
4:25.0,,,36-57,2,J. Teague makes 2-pt shot from 15 ft
4:12.0,D. McDermott makes 3-pt shot from 25 ft (assist by R. Rondo),3,39-57,,
4:04.0,,,39-57,,Indiana full timeout
4:04.0,,,39-57,,M. Ellis enters the game for C. Miles
3:46.0,,,39-57,,P. George misses 2-pt shot from 18 ft
3:45.0,Defensive rebound by J. Butler,,39-57,,
3:20.0,Turnover by Team (shot clock),,39-57,,
3:07.0,,,39-59,2,M. Ellis makes 2-pt shot from 15 ft
2:52.0,D. McDermott makes 2-pt shot from 2 ft (assist by T. Gibson),2,41-59,,
2:30.0,,,41-59,,J. Teague misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by D. McDermott,,41-59,,
2:09.0,D. McDermott misses 3-pt shot from 24 ft,,41-59,,
2:09.0,,,41-59,,Defensive rebound by T. Young
1:54.0,,,41-59,,M. Turner misses 2-pt shot from 4 ft (block by R. Lopez)
1:53.0,Defensive rebound by D. McDermott,,41-59,,
1:46.0,D. McDermott misses 2-pt shot from 18 ft,,41-59,,
1:45.0,Offensive rebound by T. Gibson,,41-59,,
1:44.0,T. Gibson makes 2-pt shot from 1 ft,2,43-59,,
1:26.0,,,43-59,,Turnover by T. Young (bad pass)
1:26.0,N. Mirotic enters the game for R. Lopez,,43-59,,
1:26.0,D. Wade enters the game for D. McDermott,,43-59,,
1:07.0,N. Mirotic misses 3-pt shot from 24 ft,,43-59,,
1:07.0,,,43-59,,Defensive rebound by P. George
0:58.0,,,43-61,2,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague)
0:58.0,,,43-61,,Shooting foul by D. Wade (drawn by M. Turner)
0:58.0,,,43-62,1,M. Turner makes free throw 1 of 1
0:42.0,N. Mirotic misses 3-pt shot from 23 ft,,43-62,,
0:41.0,,,43-62,,Defensive rebound by M. Ellis
0:24.0,,,43-62,,Turnover by M. Ellis (bad pass; steal by R. Rondo)
0:05.0,Offensive charge foul by J. Butler,,43-62,,
0:05.0,Turnover by J. Butler (offensive foul),,43-62,,
0:05.0,,,43-62,,Indiana full timeout
0:05.0,I. Canaan enters the game for R. Rondo,,43-62,,
0:00.0,,,43-62,,P. George misses 3-pt shot from 24 ft
0:00.0,,,43-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by T. Young (drawn by J. Butler),,43-62,,
11:48.0,J. Butler makes free throw 1 of 2,1,44-62,,
11:48.0,J. Butler misses free throw 2 of 2,,44-62,,
11:48.0,,,44-62,,Defensive rebound by P. George
11:29.0,,,44-62,,M. Turner misses 2-pt shot from 8 ft
11:28.0,Defensive rebound by R. Lopez,,44-62,,
11:17.0,D. Wade misses 2-pt shot from 18 ft,,44-62,,
11:16.0,Offensive rebound by T. Gibson,,44-62,,
11:09.0,R. Rondo misses 2-pt shot from 4 ft,,44-62,,
11:08.0,Offensive rebound by R. Lopez,,44-62,,
11:08.0,R. Lopez makes 2-pt shot from 2 ft,2,46-62,,
10:51.0,Personal foul by D. Wade (drawn by T. Young),,46-62,,
10:37.0,,,46-62,,J. Teague misses 3-pt shot from 25 ft
10:36.0,,,46-62,,Offensive rebound by T. Young
10:29.0,,,46-62,,T. Young misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by R. Lopez,,46-62,,
10:11.0,Turnover by R. Lopez (bad pass; steal by M. Turner),,46-62,,
10:06.0,Violation by J. Butler (kicked ball),,46-62,,
10:05.0,,,46-62,,Turnover by M. Turner (bad pass)
9:40.0,R. Rondo misses 3-pt shot from 25 ft,,46-62,,
9:40.0,,,46-62,,Defensive rebound by T. Young
9:32.0,,,46-62,,M. Turner misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by T. Gibson,,46-62,,
9:26.0,R. Rondo misses 2-pt shot from 2 ft (block by M. Turner),,46-62,,
9:23.0,,,46-62,,Defensive rebound by P. George
9:20.0,,,46-62,,P. George misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by J. Butler,,46-62,,
9:06.0,D. Wade misses 3-pt shot from 26 ft,,46-62,,
9:05.0,Offensive rebound by T. Gibson,,46-62,,
9:05.0,,,46-62,,Personal foul by P. George (drawn by T. Gibson)
8:56.0,J. Butler makes 2-pt shot from 1 ft,2,48-62,,
8:42.0,,,48-62,,T. Young misses 2-pt shot from 4 ft
8:41.0,Defensive rebound by T. Gibson,,48-62,,
8:39.0,Turnover by T. Gibson (bad pass; steal by T. Young),,48-62,,
8:36.0,,,48-62,,Indiana full timeout
8:26.0,,,48-64,2,J. Teague makes 2-pt shot from 18 ft
8:03.0,J. Butler makes 2-pt shot from 8 ft,2,50-64,,
7:42.0,,,50-66,2,T. Young makes 2-pt shot from 5 ft (assist by J. Teague)
7:29.0,Turnover by T. Gibson (bad pass; steal by M. Ellis),,50-66,,
7:22.0,,,50-66,,Turnover by T. Young (bad pass)
7:03.0,D. Wade makes 2-pt shot from 18 ft,2,52-66,,
6:47.0,,,52-68,2,T. Young makes 2-pt shot from 3 ft (assist by P. George)
6:26.0,Chicago full timeout,,52-68,,
6:20.0,T. Gibson misses 2-pt shot from 18 ft,,52-68,,
6:20.0,Offensive rebound by Team,,52-68,,
6:20.0,Turnover by Team (shot clock),,52-68,,
6:05.0,,,52-68,,P. George misses 2-pt shot from 1 ft (block by T. Gibson)
6:05.0,Defensive rebound by Team,,52-68,,
5:43.0,Offensive foul by J. Butler,,52-68,,
5:43.0,Turnover by J. Butler (offensive foul),,52-68,,
5:43.0,D. McDermott enters the game for D. Wade,,52-68,,
5:29.0,,,52-70,2,M. Turner makes 2-pt shot from 20 ft (assist by P. George)
5:09.0,R. Rondo makes 2-pt shot from 2 ft,2,54-70,,
4:52.0,,,54-70,,P. George misses 2-pt shot from 2 ft
4:50.0,,,54-70,,Offensive rebound by P. George
4:43.0,,,54-72,2,J. Teague makes 2-pt shot from 3 ft
4:26.0,R. Rondo misses 2-pt shot from 2 ft (block by M. Turner),,54-72,,
4:26.0,Offensive rebound by Team,,54-72,,
4:26.0,,,54-72,,C. Miles enters the game for M. Ellis
4:20.0,R. Rondo misses 2-pt shot from 20 ft,,54-72,,
4:19.0,,,54-72,,Defensive rebound by M. Turner
4:05.0,,,54-75,3,J. Teague makes 3-pt shot from 25 ft (assist by T. Young)
3:46.0,R. Rondo makes 2-pt shot from 8 ft,2,56-75,,
3:27.0,,,56-75,,J. Teague misses 2-pt shot from 3 ft
3:26.0,Defensive rebound by R. Lopez,,56-75,,
3:24.0,Turnover by R. Rondo (bad pass; steal by P. George),,56-75,,
3:12.0,,,56-75,,Shooting foul by T. Gibson (drawn by M. Turner)
3:12.0,,,56-76,1,M. Turner makes free throw 1 of 2
3:12.0,,,56-77,1,M. Turner makes free throw 2 of 2
3:12.0,N. Mirotic enters the game for T. Gibson,,56-76,,
3:04.0,,,56-77,,Personal foul by P. George (drawn by J. Butler)
3:04.0,,,56-77,,A. Jefferson enters the game for M. Turner
2:56.0,R. Rondo makes 3-pt shot from 23 ft (assist by J. Butler),3,59-77,,
2:36.0,,,59-77,,A. Jefferson misses 2-pt shot from 13 ft
2:35.0,,,59-77,,Offensive rebound by T. Young
2:33.0,,,59-79,2,T. Young makes 2-pt shot from 4 ft
2:16.0,R. Lopez makes 2-pt shot from 9 ft (assist by R. Rondo),2,61-79,,
2:05.0,Personal foul by R. Rondo (drawn by P. George),,61-79,,
2:05.0,,,61-79,,L. Allen enters the game for T. Young
2:05.0,I. Canaan enters the game for R. Rondo,,61-79,,
1:55.0,,,61-81,2,J. Teague makes 2-pt shot from 4 ft
1:42.0,,,61-81,,Personal foul by P. George (drawn by J. Butler)
1:42.0,,,61-81,,Technical foul by P. George (drawn by J. Butler)
1:42.0,J. Butler makes technical free throw,1,62-81,,
1:42.0,,,61-81,,A. Brooks enters the game for P. George
1:42.0,,,62-81,,M. Ellis enters the game for J. Teague
1:34.0,D. McDermott misses 2-pt shot from 21 ft,,62-81,,
1:34.0,,,62-81,,Defensive rebound by M. Ellis
1:26.0,,,62-84,3,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis)
1:03.0,R. Lopez makes 2-pt shot from 19 ft (assist by I. Canaan),2,64-84,,
0:40.0,,,64-86,2,A. Brooks makes 2-pt shot from 20 ft
0:30.0,Turnover by J. Butler (bad pass; steal by M. Ellis),,64-86,,
0:12.0,,,64-88,2,A. Brooks makes 2-pt shot from 4 ft
0:03.0,N. Mirotic misses 3-pt shot from 26 ft,,64-88,,
0:02.0,,,64-88,,Defensive rebound by C. Miles
0:00.0,,,64-88,,C. Miles misses 3-pt shot from 40 ft
0:00.0,,,64-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,64-88,,A. Brooks misses 3-pt shot from 26 ft
11:37.0,Defensive rebound by D. McDermott,,64-88,,
11:17.0,N. Mirotic misses 3-pt shot from 26 ft,,64-88,,
11:16.0,,,64-88,,Defensive rebound by M. Ellis
11:07.0,,,64-91,3,C. Miles makes 3-pt shot from 25 ft (assist by L. Allen)
10:48.0,D. McDermott misses 2-pt shot from 13 ft,,64-91,,
10:48.0,,,64-91,,Defensive rebound by A. Jefferson
10:34.0,,,64-91,,A. Jefferson misses 2-pt shot from 11 ft
10:32.0,Defensive rebound by J. Grant,,64-91,,
10:26.0,J. Grant makes 2-pt shot from 4 ft,2,66-91,,
10:26.0,Shooting foul by C. Miles (drawn by J. Grant),,66-91,,
10:26.0,J. Grant makes free throw 1 of 1,1,67-91,,
10:26.0,,,66-91,,G. Robinson enters the game for M. Ellis
10:01.0,,,67-91,,C. Miles misses 2-pt shot from 21 ft
10:00.0,Defensive rebound by B. Portis,,67-91,,
9:52.0,,,67-91,,Personal block foul by L. Allen (drawn by I. Canaan)
9:40.0,N. Mirotic misses 2-pt shot from 2 ft (block by L. Allen),,67-91,,
9:39.0,,,67-91,,Defensive rebound by A. Jefferson
9:33.0,,,67-91,,Turnover by A. Brooks (lost ball; steal by I. Canaan)
9:27.0,B. Portis makes 2-pt shot from 1 ft (assist by N. Mirotic),2,69-91,,
9:09.0,,,69-91,,L. Allen misses 2-pt shot from 18 ft
9:07.0,,,69-91,,Offensive rebound by A. Jefferson
9:07.0,,,69-91,,A. Jefferson misses 2-pt shot from 1 ft
9:07.0,,,69-91,,Offensive rebound by Team
8:55.0,,,69-91,,Shooting foul by D. McDermott (drawn by G. Robinson)
8:55.0,Official timeout,,69-91,,
8:55.0,,,69-91,,G. Robinson misses free throw 1 of 2
8:55.0,,,69-91,,Offensive rebound by Team
8:55.0,,,69-91,,G. Robinson misses free throw 2 of 2
8:55.0,Defensive rebound by B. Portis,,69-91,,
8:42.0,J. Grant misses 2-pt shot from 2 ft (block by A. Jefferson),,69-91,,
8:42.0,Offensive rebound by Team,,69-91,,
8:36.0,B. Portis makes 2-pt shot from 5 ft,2,71-91,,
8:15.0,,,71-94,3,C. Miles makes 3-pt shot from 26 ft (assist by L. Allen)
8:00.0,J. Grant misses 3-pt shot from 25 ft,,71-94,,
7:59.0,,,71-94,,Defensive rebound by C. Miles
7:48.0,,,71-97,3,C. Miles makes 3-pt shot from 24 ft (assist by A. Jefferson)
7:48.0,Chicago full timeout,,71-97,,
7:48.0,P. Zipser enters the game for I. Canaan,,71-97,,
7:48.0,D. Valentine enters the game for N. Mirotic,,71-97,,
7:48.0,C. Felicio enters the game for D. McDermott,,71-97,,
7:36.0,,,71-97,,Personal foul by A. Brooks (drawn by J. Grant)
7:27.0,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant),3,74-97,,
7:13.0,,,74-97,,Turnover by L. Allen (lost ball; steal by J. Grant)
7:10.0,Shooting foul by L. Allen (drawn by B. Portis),,74-97,,
7:10.0,B. Portis misses free throw 1 of 2,,74-97,,
7:10.0,Offensive rebound by Team,,74-97,,
7:10.0,B. Portis makes free throw 2 of 2,1,75-97,,
6:50.0,,,75-97,,A. Jefferson misses 2-pt shot from 8 ft
6:48.0,,,75-97,,Offensive rebound by G. Robinson
6:32.0,,,75-97,,Turnover by A. Brooks (bad pass; steal by C. Felicio)
6:27.0,B. Portis makes 2-pt shot from 2 ft (assist by C. Felicio),2,77-97,,
6:00.0,,,77-97,,A. Brooks misses 3-pt shot from 27 ft
5:59.0,Defensive rebound by P. Zipser,,77-97,,
5:50.0,J. Grant misses 2-pt shot from 18 ft,,77-97,,
5:49.0,,,77-97,,Defensive rebound by A. Jefferson
5:26.0,,,77-97,,C. Miles misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by Team,,77-97,,
5:25.0,,,77-97,,Loose ball foul by L. Allen (drawn by D. Valentine)
5:25.0,D. Valentine misses free throw 1 of 2,,77-97,,
5:25.0,Offensive rebound by Team,,77-97,,
5:25.0,D. Valentine makes free throw 2 of 2,1,78-97,,
5:25.0,,,77-97,,M. Ellis enters the game for G. Robinson
5:25.0,,,77-97,,M. Turner enters the game for A. Jefferson
5:25.0,,,77-97,,J. Teague enters the game for A. Brooks
5:00.0,,,78-99,2,L. Allen makes 2-pt shot from 17 ft (assist by M. Turner)
4:51.0,D. Valentine misses 3-pt shot from 27 ft,,78-99,,
4:50.0,,,78-99,,Defensive rebound by C. Miles
4:35.0,,,78-101,2,J. Teague makes 2-pt shot from 2 ft
4:20.0,D. Valentine makes 3-pt shot from 25 ft (assist by P. Zipser),3,81-101,,
4:04.0,,,81-101,,M. Turner misses 2-pt shot from 19 ft
4:03.0,Defensive rebound by J. Grant,,81-101,,
3:56.0,B. Portis makes 2-pt shot from 4 ft (assist by J. Grant),2,83-101,,
3:56.0,Shooting foul by C. Miles (drawn by B. Portis),,83-101,,
3:56.0,B. Portis misses free throw 1 of 1,,83-101,,
3:56.0,,,83-101,,Defensive rebound by M. Turner
3:35.0,,,83-104,3,J. Teague makes 3-pt shot from 25 ft (assist by L. Allen)
3:13.0,B. Portis misses 2-pt shot from 18 ft,,83-104,,
3:12.0,,,83-104,,Defensive rebound by M. Ellis
3:11.0,,,83-104,,Indiana full timeout
3:11.0,,,83-104,,A. Brooks enters the game for M. Ellis
3:11.0,,,83-104,,G. Robinson enters the game for C. Miles
3:00.0,,,83-104,,Turnover by J. Teague (lost ball; steal by J. Grant)
2:58.0,Shooting foul by J. Teague (drawn by J. Grant),,83-104,,
2:58.0,J. Grant makes free throw 1 of 2,1,84-104,,
2:58.0,J. Grant makes free throw 2 of 2,1,85-104,,
2:40.0,,,85-104,,M. Turner misses 2-pt shot from 2 ft (block by J. Grant)
2:40.0,,,85-104,,Offensive rebound by Team
2:40.0,,,85-104,,J. Young enters the game for J. Teague
2:40.0,,,85-104,,K. Seraphin enters the game for M. Turner
2:40.0,,,85-104,,G. Niang enters the game for L. Allen
2:33.0,,,85-104,,G. Niang misses 3-pt shot from 28 ft
2:33.0,,,85-104,,Offensive rebound by Team
2:33.0,,,85-104,,Turnover by Team (shot clock)
2:13.0,J. Grant makes 3-pt shot from 27 ft (assist by D. Valentine),3,88-104,,
2:00.0,,,88-106,2,J. Young makes 2-pt shot from 3 ft
2:00.0,,,88-106,,Shooting foul by D. Valentine (drawn by J. Young)
2:00.0,,,88-106,,J. Young misses free throw 1 of 1
2:00.0,Defensive rebound by C. Felicio,,88-106,,
1:46.0,B. Portis makes 2-pt shot from 6 ft,2,90-106,,
1:28.0,,,90-108,2,J. Young makes 2-pt shot from 17 ft
1:28.0,,,90-108,,Shooting foul by D. Valentine (drawn by J. Young)
1:28.0,,,90-109,1,J. Young makes free throw 1 of 1
1:14.0,J. Grant misses 2-pt shot from 16 ft,,90-109,,
1:13.0,,,90-109,,Defensive rebound by G. Robinson
0:58.0,,,90-109,,K. Seraphin misses 2-pt shot from 18 ft
0:57.0,Defensive rebound by D. Valentine,,90-109,,
0:51.0,D. Valentine misses 2-pt shot from 10 ft,,90-109,,
0:49.0,Offensive rebound by D. Valentine,,90-109,,
