time,Charlotte,pts.away,score,pts.home,Chicago
9:33.0,,,31-27,2,M. Carter-Williams makes 2-pt shot from 18 ft (assist by D. Valentine)
9:14.0,N. Batum makes 2-pt shot from 12 ft (assist by S. Hawes),2,33-27,,
9:01.0,,,33-27,,M. Carter-Williams misses 2-pt shot from 13 ft
8:59.0,Defensive rebound by S. Hawes,,33-27,,
8:47.0,S. Hawes misses 2-pt shot from 3 ft,,33-27,,
8:46.0,Offensive rebound by S. Hawes,,33-27,,
8:41.0,Turnover by S. Hawes (bad pass),,33-27,,
8:22.0,,,33-30,3,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Grant)
8:13.0,,,33-30,,Personal foul by J. Grant (drawn by R. Sessions)
8:13.0,K. Walker enters the game for R. Sessions,,33-30,,
8:09.0,N. Batum makes 2-pt shot from 23 ft (assist by F. Kaminsky),2,35-30,,
8:09.0,Shooting foul by M. Carter-Williams (drawn by N. Batum),,35-30,,
8:09.0,N. Batum makes free throw 1 of 1,1,36-30,,
7:58.0,Violation by J. Lamb (kicked ball),,36-30,,
7:58.0,,,36-30,,J. Butler enters the game for M. Carter-Williams
7:51.0,,,36-32,2,J. Grant makes 2-pt shot from 2 ft (assist by D. Valentine)
7:36.0,Turnover by N. Batum (lost ball; steal by J. Butler),,36-32,,
7:27.0,,,36-32,,J. Butler misses 2-pt shot from 2 ft (block by S. Hawes)
7:25.0,Defensive rebound by J. Lamb,,36-32,,
7:25.0,,,36-32,,Technical foul by Team
7:25.0,N. Batum makes technical free throw,1,37-32,,
7:17.0,S. Hawes makes 2-pt shot from 2 ft (assist by K. Walker),2,39-32,,
6:58.0,,,39-32,,Shooting foul by N. Batum (drawn by J. Butler)
6:58.0,,,39-33,1,J. Butler makes free throw 1 of 2
6:58.0,,,39-34,1,J. Butler makes free throw 2 of 2
6:35.0,N. Batum misses 3-pt shot from 25 ft,,39-34,,
6:35.0,Offensive rebound by F. Kaminsky,,39-34,,
6:35.0,Shooting foul by N. Mirotic (drawn by F. Kaminsky),,39-34,,
6:35.0,F. Kaminsky makes free throw 1 of 2,1,40-34,,
6:35.0,F. Kaminsky makes free throw 2 of 2,1,41-34,,
6:35.0,,,40-34,,T. Gibson enters the game for N. Mirotic
6:19.0,,,41-34,,Shooting foul by F. Kaminsky (drawn by J. Butler)
6:19.0,,,41-35,1,J. Butler makes free throw 1 of 2
6:19.0,,,41-36,1,J. Butler makes free throw 2 of 2
6:19.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,41-35,,
6:19.0,M. Williams enters the game for J. Lamb,,41-35,,
6:07.0,N. Batum misses 2-pt shot from 20 ft,,41-36,,
6:06.0,,,41-36,,Defensive rebound by J. Grant
6:00.0,,,41-38,2,J. Grant makes 2-pt shot from 2 ft
5:53.0,Charlotte full timeout,,41-38,,
5:49.0,N. Batum makes 2-pt shot from 3 ft (assist by S. Hawes),2,43-38,,
5:35.0,,,43-40,2,J. Butler makes 2-pt shot from 17 ft
5:23.0,M. Williams misses 2-pt shot from 22 ft,,43-40,,
5:22.0,,,43-40,,Defensive rebound by J. Butler
5:09.0,,,43-43,3,D. Valentine makes 3-pt shot from 25 ft (assist by C. Felicio)
4:42.0,S. Hawes misses 3-pt shot from 25 ft,,43-43,,
4:41.0,,,43-43,,Defensive rebound by C. Felicio
4:31.0,,,43-46,3,D. Valentine makes 3-pt shot from 25 ft (assist by C. Felicio)
4:11.0,K. Walker misses 2-pt shot from 19 ft,,43-46,,
4:10.0,,,43-46,,Defensive rebound by T. Gibson
3:57.0,,,43-48,2,C. Felicio makes 2-pt shot from 2 ft (assist by J. Grant)
3:51.0,Charlotte full timeout,,43-48,,
3:51.0,R. Hibbert enters the game for S. Hawes,,43-48,,
3:51.0,,,43-48,,R. Lopez enters the game for C. Felicio
3:36.0,R. Hibbert makes 2-pt shot from 16 ft (assist by N. Batum),2,45-48,,
3:13.0,,,45-48,,Turnover by T. Gibson (bad pass; steal by M. Kidd-Gilchrist)
3:06.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by J. Grant),,45-48,,
3:01.0,,,45-48,,Turnover by J. Butler (bad pass; steal by N. Batum)
2:52.0,M. Williams makes 2-pt shot from 8 ft (assist by M. Kidd-Gilchrist),2,47-48,,
2:36.0,,,47-48,,J. Butler misses 2-pt shot from 11 ft
2:34.0,,,47-48,,Offensive rebound by J. Butler
2:34.0,,,47-50,2,J. Butler makes 2-pt shot from 2 ft
2:22.0,K. Walker makes 3-pt shot from 25 ft,3,50-50,,
2:00.0,,,50-50,,D. Valentine misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by K. Walker,,50-50,,
1:49.0,N. Batum misses 2-pt shot from 12 ft,,50-50,,
1:48.0,,,50-50,,Defensive rebound by J. Butler
1:39.0,,,50-53,3,J. Grant makes 3-pt shot from 25 ft (assist by J. Butler)
1:25.0,K. Walker makes 2-pt shot from 1 ft,2,52-53,,
1:12.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Butler),,52-53,,
1:12.0,,,52-53,,Chicago full timeout
1:12.0,J. Lamb enters the game for M. Kidd-Gilchrist,,52-53,,
0:58.0,,,52-53,,J. Grant misses 2-pt shot from 12 ft
0:58.0,,,52-53,,Offensive rebound by Team
0:58.0,,,52-53,,Turnover by Team (shot clock)
0:47.0,J. Lamb misses 3-pt shot from 24 ft,,52-53,,
0:45.0,,,52-53,,Defensive rebound by T. Gibson
0:36.0,,,52-53,,Shooting foul by N. Batum (drawn by J. Butler)
0:36.0,,,52-54,1,J. Butler makes free throw 1 of 3
0:36.0,,,52-55,1,J. Butler makes free throw 2 of 3
0:36.0,,,52-56,1,J. Butler makes free throw 3 of 3
0:36.0,R. Sessions enters the game for N. Batum,,52-55,,
0:30.0,K. Walker makes 3-pt shot from 25 ft,3,55-56,,
0:10.0,,,55-56,,J. Butler misses 3-pt shot from 25 ft
0:08.0,,,55-56,,Offensive rebound by J. Grant
