time,New York,pts.away,score,pts.home,Atlanta
8:12.0,,,9-11,,Defensive rebound by T. Hardaway
8:09.0,,,9-13,2,T. Hardaway makes 2-pt shot at rim
8:09.0,New York full timeout,,9-13,,
7:50.0,B. Jennings misses 2-pt shot from 16 ft,,9-13,,
7:49.0,,,9-13,,Defensive rebound by T. Hardaway
7:44.0,,,9-15,2,P. Millsap makes 2-pt shot at rim (assist by T. Hardaway)
7:27.0,C. Anthony misses 2-pt shot from 21 ft,,9-15,,
7:25.0,,,9-15,,Defensive rebound by P. Millsap
7:18.0,,,9-15,,Shooting foul by C. Lee (drawn by P. Millsap)
7:18.0,,,9-15,,P. Millsap misses free throw 1 of 2
7:18.0,,,9-15,,Offensive rebound by Team
7:18.0,,,9-16,1,P. Millsap makes free throw 2 of 2
7:18.0,M. Kuzminskas enters the game for K. Porzingis,,9-15,,
7:03.0,Shooting foul by P. Millsap (drawn by M. Kuzminskas),,9-16,,
7:03.0,M. Kuzminskas makes free throw 1 of 2,1,10-16,,
7:03.0,M. Kuzminskas makes free throw 2 of 2,1,11-16,,
6:56.0,,,11-16,,Offensive foul by D. Howard
6:56.0,,,11-16,,Turnover by D. Howard (offensive foul)
6:44.0,C. Lee makes 3-pt shot from 25 ft (assist by J. Noah),3,14-16,,
6:28.0,,,14-16,,Turnover by D. Schroder (bad pass; steal by J. Noah)
6:22.0,C. Lee misses 3-pt shot from 23 ft,,14-16,,
6:21.0,,,14-16,,Defensive rebound by K. Bazemore
6:17.0,,,14-16,,Turnover by K. Bazemore (bad pass; steal by M. Kuzminskas)
6:09.0,M. Kuzminskas misses 2-pt shot from 3 ft (block by P. Millsap),,14-16,,
6:09.0,,,14-16,,Defensive rebound by P. Millsap
6:09.0,Personal foul by M. Kuzminskas (drawn by P. Millsap),,14-16,,
5:53.0,,,14-16,,P. Millsap misses 2-pt shot from 7 ft (block by J. Noah)
5:51.0,Defensive rebound by J. Noah,,14-16,,
5:45.0,C. Lee makes 2-pt shot from 1 ft (assist by B. Jennings),2,16-16,,
5:45.0,,,16-16,,Atlanta full timeout
5:32.0,,,16-16,,Turnover by P. Millsap (bad pass; steal by C. Lee)
5:26.0,J. Noah makes 2-pt shot at rim (assist by B. Jennings),2,18-16,,
5:05.0,,,18-18,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
4:43.0,C. Anthony makes 2-pt shot from 17 ft (assist by J. Noah),2,20-18,,
4:31.0,,,20-20,2,D. Schroder makes 2-pt shot from 18 ft
4:23.0,Turnover by M. Kuzminskas (offensive goaltending),,20-20,,
4:04.0,,,20-20,,Shooting foul by J. Noah (drawn by K. Bazemore)
4:04.0,,,20-21,1,K. Bazemore makes free throw 1 of 2
4:04.0,,,20-22,1,K. Bazemore makes free throw 2 of 2
4:04.0,,,20-21,,M. Delaney enters the game for D. Schroder
4:04.0,,,20-21,,T. Waller-Prince enters the game for T. Hardaway
3:46.0,C. Anthony misses 2-pt shot from 15 ft,,20-22,,
3:44.0,Offensive rebound by J. Noah,,20-22,,
3:43.0,J. Noah misses 2-pt shot at rim,,20-22,,
3:42.0,Offensive rebound by Team,,20-22,,
3:42.0,,,20-22,,M. Muscala enters the game for P. Millsap
3:42.0,,,20-22,,T. Hardaway enters the game for K. Bazemore
3:30.0,C. Anthony makes 2-pt shot from 17 ft,2,22-22,,
3:15.0,,,22-24,2,D. Howard makes 2-pt shot from 3 ft (assist by T. Hardaway)
3:09.0,Shooting foul by M. Muscala (drawn by M. Kuzminskas),,22-24,,
3:09.0,M. Kuzminskas makes 2-pt shot from 4 ft (assist by B. Jennings),2,24-24,,
3:09.0,M. Kuzminskas misses free throw 1 of 1,,24-24,,
3:08.0,Offensive rebound by J. Noah,,24-24,,
2:58.0,C. Anthony makes 2-pt shot from 16 ft,2,26-24,,
2:58.0,Shooting foul by T. Hardaway (drawn by C. Anthony),,26-24,,
2:58.0,C. Anthony misses free throw 1 of 1,,26-24,,
2:57.0,,,26-24,,Defensive rebound by M. Muscala
2:42.0,,,26-26,2,T. Hardaway makes 2-pt shot from 2 ft (assist by M. Delaney)
2:33.0,Shooting foul by M. Delaney (drawn by B. Jennings),,26-26,,
2:33.0,B. Jennings misses free throw 1 of 2,,26-26,,
2:33.0,Offensive rebound by Team,,26-26,,
2:33.0,B. Jennings makes free throw 2 of 2,1,27-26,,
2:33.0,K. O'Quinn enters the game for J. Noah,,26-26,,
2:16.0,,,27-26,,T. Hardaway misses 2-pt shot from 18 ft (block by C. Anthony)
2:16.0,,,27-26,,Offensive rebound by Team
2:16.0,R. Baker enters the game for B. Jennings,,27-26,,
2:13.0,,,27-28,2,M. Muscala makes 2-pt shot from 18 ft (assist by T. Hardaway)
1:51.0,C. Anthony misses 2-pt shot from 16 ft,,27-28,,
1:50.0,,,27-28,,Defensive rebound by M. Muscala
1:41.0,,,27-28,,D. Howard misses 2-pt shot from 9 ft
1:40.0,Defensive rebound by C. Anthony,,27-28,,
1:33.0,M. Kuzminskas makes 3-pt shot from 26 ft (assist by R. Baker),3,30-28,,
1:21.0,,,30-28,,Offensive foul by M. Delaney
1:21.0,,,30-28,,Turnover by M. Delaney (offensive foul)
1:21.0,,,30-28,,P. Millsap enters the game for D. Howard
1:08.0,Shooting foul by T. Waller-Prince (drawn by C. Anthony),,30-28,,
1:08.0,C. Anthony makes free throw 1 of 2,1,31-28,,
1:08.0,C. Anthony makes free throw 2 of 2,1,32-28,,
0:58.0,,,32-28,,T. Waller-Prince misses 2-pt shot from 1 ft (block by M. Kuzminskas)
0:58.0,,,32-28,,Offensive rebound by Team
0:56.0,,,32-28,,M. Delaney misses 2-pt shot from 18 ft
0:55.0,Defensive rebound by M. Kuzminskas,,32-28,,
0:35.0,C. Anthony makes 3-pt shot from 25 ft,3,35-28,,
0:28.0,,,35-28,,T. Hardaway misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by C. Lee,,35-28,,
0:08.0,C. Anthony makes 2-pt shot from 21 ft,2,37-28,,
0:00.0,,,37-30,2,T. Waller-Prince makes 2-pt shot from 2 ft (assist by P. Millsap)
0:00.0,R. Baker misses 3-pt shot from 70 ft,,37-30,,
0:00.0,Offensive rebound by Team,,37-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,37-30,,M. Muscala misses 2-pt shot from 20 ft
11:37.0,Defensive rebound by J. Holiday,,37-30,,
11:16.0,M. Kuzminskas misses 3-pt shot from 24 ft,,37-30,,
11:14.0,,,37-30,,Defensive rebound by M. Muscala
10:58.0,,,37-32,2,P. Millsap makes 2-pt shot from 22 ft (assist by M. Muscala)
10:36.0,R. Baker makes 3-pt shot from 25 ft (assist by M. Kuzminskas),3,40-32,,
10:18.0,,,40-32,,T. Hardaway misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by K. O'Quinn,,40-32,,
10:05.0,K. O'Quinn misses 2-pt shot from 2 ft,,40-32,,
10:04.0,,,40-32,,Defensive rebound by P. Millsap
9:54.0,,,40-32,,M. Delaney misses 3-pt shot from 23 ft
9:52.0,Defensive rebound by K. Porzingis,,40-32,,
9:39.0,M. Kuzminskas misses 2-pt shot from 5 ft,,40-32,,
9:38.0,,,40-32,,Defensive rebound by M. Muscala
9:36.0,,,40-32,,Shooting foul by J. Holiday (drawn by T. Hardaway)
9:36.0,,,40-32,,T. Hardaway misses free throw 1 of 2
9:36.0,,,40-32,,Offensive rebound by Team
9:36.0,,,40-33,1,T. Hardaway makes free throw 2 of 2
9:36.0,,,40-32,,K. Humphries enters the game for M. Muscala
9:36.0,,,40-32,,D. Schroder enters the game for M. Delaney
9:24.0,J. Holiday misses 2-pt shot from 19 ft,,40-33,,
9:21.0,,,40-33,,Defensive rebound by M. Dunleavy
9:08.0,,,40-35,2,M. Dunleavy makes 2-pt shot from 16 ft (assist by D. Schroder)
8:52.0,,,40-35,,Personal block foul by K. Humphries (drawn by R. Baker)
8:52.0,Official timeout,,40-35,,
8:52.0,,,40-35,,M. Delaney enters the game for T. Hardaway
8:44.0,R. Baker makes 3-pt shot from 25 ft (assist by M. Kuzminskas),3,43-35,,
8:21.0,,,43-35,,M. Delaney misses 2-pt shot from 11 ft
8:20.0,Defensive rebound by K. O'Quinn,,43-35,,
8:09.0,K. Porzingis makes 2-pt shot from 13 ft,2,45-35,,
7:57.0,,,45-37,2,D. Schroder makes 2-pt shot from 14 ft
7:36.0,K. Porzingis misses 2-pt shot from 16 ft,,45-37,,
7:33.0,,,45-37,,Defensive rebound by D. Schroder
7:21.0,Personal foul by K. Porzingis (drawn by K. Humphries),,45-37,,
7:21.0,J. Noah enters the game for K. O'Quinn,,45-37,,
7:07.0,,,45-40,3,P. Millsap makes 3-pt shot from 25 ft
6:43.0,K. Porzingis makes 2-pt shot from 15 ft (assist by J. Holiday),2,47-40,,
6:23.0,,,47-40,,Turnover by D. Schroder (lost ball; steal by J. Noah)
6:19.0,Turnover by J. Holiday (bad pass; steal by M. Delaney),,47-40,,
6:14.0,,,47-40,,Turnover by D. Schroder (bad pass; steal by J. Holiday)
6:07.0,M. Kuzminskas misses 3-pt shot from 24 ft,,47-40,,
6:06.0,,,47-40,,Defensive rebound by M. Delaney
5:56.0,,,47-42,2,M. Dunleavy makes 2-pt shot at rim (assist by P. Millsap)
5:56.0,New York full timeout,,47-42,,
5:56.0,,,47-42,,K. Bazemore enters the game for M. Delaney
5:56.0,B. Jennings enters the game for M. Kuzminskas,,47-42,,
5:56.0,C. Anthony enters the game for J. Holiday,,47-42,,
5:32.0,B. Jennings misses 3-pt shot from 24 ft,,47-42,,
5:31.0,,,47-42,,Defensive rebound by K. Bazemore
5:22.0,,,47-45,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
5:09.0,K. Porzingis misses 3-pt shot from 25 ft,,47-45,,
5:07.0,Offensive rebound by J. Noah,,47-45,,
5:03.0,B. Jennings misses 2-pt shot from 4 ft,,47-45,,
5:02.0,Offensive rebound by J. Noah,,47-45,,
5:02.0,J. Noah makes 2-pt shot from 1 ft,2,49-45,,
4:46.0,,,49-45,,P. Millsap misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by J. Noah,,49-45,,
4:38.0,,,49-45,,Violation by K. Humphries (kicked ball)
4:38.0,C. Lee enters the game for R. Baker,,49-45,,
4:38.0,,,49-45,,D. Howard enters the game for K. Humphries
4:38.0,,,49-45,,T. Hardaway enters the game for M. Dunleavy
4:34.0,Shooting foul by K. Bazemore (drawn by C. Anthony),,49-45,,
4:34.0,C. Anthony makes free throw 1 of 3,1,50-45,,
4:34.0,C. Anthony makes free throw 2 of 3,1,51-45,,
4:34.0,C. Anthony makes free throw 3 of 3,1,52-45,,
4:22.0,,,52-45,,D. Schroder misses 2-pt shot from 19 ft
4:20.0,,,52-45,,Offensive rebound by D. Howard
4:17.0,,,52-45,,Shooting foul by J. Noah (drawn by T. Hardaway)
4:17.0,,,52-46,1,T. Hardaway makes free throw 1 of 2
4:17.0,,,52-47,1,T. Hardaway makes free throw 2 of 2
3:58.0,C. Anthony makes 3-pt shot from 27 ft (assist by C. Lee),3,55-47,,
3:39.0,,,55-47,,D. Schroder misses 2-pt shot from 1 ft
3:37.0,,,55-47,,Offensive rebound by D. Howard
3:37.0,,,55-47,,D. Howard misses 2-pt shot from 2 ft
3:36.0,Defensive rebound by K. Porzingis,,55-47,,
3:24.0,K. Porzingis makes 2-pt shot from 18 ft (assist by J. Noah),2,57-47,,
3:23.0,,,57-47,,Atlanta full timeout
3:23.0,,,57-47,,M. Dunleavy enters the game for P. Millsap
3:11.0,,,57-50,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Schroder)
2:50.0,C. Lee makes 2-pt shot from 16 ft (assist by C. Anthony),2,59-50,,
2:33.0,,,59-53,3,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Schroder)
2:16.0,C. Anthony misses 2-pt shot from 16 ft,,59-53,,
2:14.0,Offensive rebound by C. Lee,,59-53,,
2:09.0,C. Lee misses 3-pt shot from 23 ft,,59-53,,
2:08.0,Offensive rebound by K. Porzingis,,59-53,,
2:08.0,Shooting foul by T. Hardaway (drawn by K. Porzingis),,59-53,,
2:08.0,K. Porzingis makes free throw 1 of 2,1,60-53,,
2:08.0,K. Porzingis makes free throw 2 of 2,1,61-53,,
1:54.0,,,61-53,,D. Schroder misses 2-pt shot from 16 ft
1:53.0,,,61-53,,Offensive rebound by D. Schroder
1:46.0,,,61-55,2,D. Howard makes 2-pt shot from 8 ft (assist by M. Dunleavy)
1:33.0,K. Porzingis misses 2-pt shot from 9 ft,,61-55,,
1:31.0,,,61-55,,Defensive rebound by T. Hardaway
1:24.0,,,61-57,2,K. Bazemore makes 2-pt shot from 20 ft
1:08.0,C. Anthony misses 2-pt shot from 15 ft,,61-57,,
1:06.0,,,61-57,,Defensive rebound by M. Dunleavy
0:54.0,,,61-59,2,D. Schroder makes 2-pt shot from 3 ft
0:41.0,Shooting foul by D. Howard (drawn by B. Jennings),,61-59,,
0:41.0,B. Jennings misses free throw 1 of 2,,61-59,,
0:41.0,Offensive rebound by Team,,61-59,,
0:41.0,B. Jennings makes free throw 2 of 2,1,62-59,,
0:32.0,,,62-59,,D. Schroder misses 2-pt shot from 19 ft
0:29.0,Defensive rebound by C. Lee,,62-59,,
0:11.0,B. Jennings makes 3-pt shot from 25 ft,3,65-59,,
0:08.0,Personal take foul by B. Jennings (drawn by D. Schroder),,65-59,,
0:08.0,,,65-59,,Atlanta full timeout
0:08.0,J. Holiday enters the game for J. Noah,,65-59,,
0:08.0,,,65-59,,P. Millsap enters the game for D. Howard
0:02.0,,,65-59,,T. Hardaway misses 2-pt shot from 2 ft
0:01.0,,,65-59,,Offensive rebound by P. Millsap
0:01.0,,,65-61,2,P. Millsap makes 2-pt shot from 1 ft
0:00.0,J. Holiday misses 3-pt shot from 78 ft,,65-61,,
0:00.0,Offensive rebound by Team,,65-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,65-63,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
11:27.0,K. Porzingis makes 2-pt shot from 14 ft (assist by B. Jennings),2,67-63,,
11:00.0,,,67-63,,D. Schroder misses 2-pt shot from 20 ft
10:58.0,Defensive rebound by C. Anthony,,67-63,,
10:52.0,B. Jennings makes 2-pt shot from 1 ft (assist by C. Anthony),2,69-63,,
10:37.0,,,69-63,,Turnover by D. Howard (3 sec)
10:18.0,C. Anthony makes 2-pt shot from 10 ft,2,71-63,,
10:18.0,Shooting foul by K. Bazemore (drawn by C. Anthony),,71-63,,
10:18.0,C. Anthony makes free throw 1 of 1,1,72-63,,
10:06.0,,,72-63,,T. Hardaway misses 2-pt shot from 15 ft
10:04.0,Defensive rebound by C. Lee,,72-63,,
9:53.0,K. Porzingis misses 3-pt shot from 26 ft,,72-63,,
9:53.0,,,72-63,,Defensive rebound by Team
9:53.0,Loose ball foul by J. Noah (drawn by P. Millsap),,72-63,,
9:42.0,,,72-66,3,D. Schroder makes 3-pt shot from 25 ft (assist by T. Hardaway)
9:26.0,K. Porzingis makes 2-pt shot at rim (assist by B. Jennings),2,74-66,,
9:26.0,,,74-66,,Flagrant foul type 1 by D. Howard (drawn by K. Porzingis)
9:26.0,K. Porzingis makes flagrant free throw 1 of 1,1,75-66,,
9:10.0,K. Porzingis misses 2-pt shot from 9 ft,,75-66,,
9:09.0,Offensive rebound by Team,,75-66,,
8:44.0,K. Porzingis misses 2-pt shot from 12 ft,,75-66,,
8:43.0,Offensive rebound by K. Porzingis,,75-66,,
8:39.0,Turnover by K. Porzingis (lost ball; steal by P. Millsap),,75-66,,
8:33.0,,,75-68,2,K. Bazemore makes 2-pt shot from 23 ft (assist by T. Hardaway)
8:11.0,C. Anthony makes 2-pt shot from 19 ft,2,77-68,,
7:54.0,,,77-70,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
7:33.0,C. Anthony misses 3-pt shot from 25 ft,,77-70,,
7:32.0,,,77-70,,Defensive rebound by T. Hardaway
7:20.0,,,77-70,,D. Schroder misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by J. Noah,,77-70,,
7:12.0,B. Jennings misses 2-pt shot from 1 ft,,77-70,,
7:11.0,Offensive rebound by J. Noah,,77-70,,
7:11.0,J. Noah misses 2-pt shot from 1 ft,,77-70,,
7:08.0,,,77-70,,Defensive rebound by K. Bazemore
7:05.0,,,77-70,,D. Schroder misses 3-pt shot from 24 ft
7:03.0,,,77-70,,Offensive rebound by P. Millsap
7:02.0,,,77-70,,P. Millsap misses 2-pt shot from 1 ft
7:01.0,,,77-70,,Offensive rebound by P. Millsap
7:00.0,,,77-70,,P. Millsap misses 2-pt shot at rim
6:59.0,Defensive rebound by C. Anthony,,77-70,,
6:40.0,C. Lee misses 3-pt shot from 24 ft,,77-70,,
6:38.0,,,77-70,,Defensive rebound by D. Howard
6:27.0,,,77-70,,K. Bazemore misses 2-pt shot from 2 ft (block by J. Noah)
6:25.0,Defensive rebound by J. Noah,,77-70,,
6:11.0,Turnover by C. Anthony (bad pass; steal by T. Hardaway),,77-70,,
6:09.0,,,77-70,,Shooting foul by C. Anthony (drawn by T. Hardaway)
6:09.0,,,77-71,1,T. Hardaway makes free throw 1 of 2
6:09.0,,,77-72,1,T. Hardaway makes free throw 2 of 2
6:09.0,K. O'Quinn enters the game for J. Noah,,77-71,,
6:09.0,,,77-71,,M. Dunleavy enters the game for P. Millsap
5:52.0,K. O'Quinn misses 2-pt shot from 18 ft,,77-72,,
5:50.0,,,77-72,,Defensive rebound by D. Schroder
5:42.0,Personal block foul by B. Jennings (drawn by D. Schroder),,77-72,,
5:42.0,,,77-72,,Atlanta full timeout
5:33.0,,,77-74,2,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder)
5:10.0,B. Jennings misses 3-pt shot from 25 ft,,77-74,,
5:09.0,,,77-74,,Defensive rebound by Team
5:09.0,Loose ball foul by K. Porzingis (drawn by M. Dunleavy),,77-74,,
5:09.0,M. Kuzminskas enters the game for K. Porzingis,,77-74,,
4:59.0,,,77-74,,T. Hardaway misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by K. O'Quinn,,77-74,,
4:37.0,,,77-74,,Personal foul by D. Howard (drawn by M. Kuzminskas)
4:25.0,M. Kuzminskas misses 3-pt shot from 26 ft,,77-74,,
4:22.0,,,77-74,,Defensive rebound by D. Howard
4:12.0,,,77-76,2,D. Schroder makes 2-pt shot from 1 ft
3:59.0,C. Anthony misses 2-pt shot from 16 ft,,77-76,,
3:58.0,,,77-76,,Defensive rebound by D. Howard
3:52.0,,,77-76,,P. Millsap enters the game for K. Bazemore
3:52.0,J. Holiday enters the game for C. Lee,,77-76,,
3:46.0,,,77-78,2,M. Dunleavy makes 2-pt shot from 23 ft (assist by D. Schroder)
3:44.0,New York full timeout,,77-78,,
3:26.0,K. O'Quinn misses 2-pt shot from 9 ft,,77-78,,
3:23.0,,,77-78,,Defensive rebound by P. Millsap
3:14.0,,,77-78,,M. Dunleavy misses 3-pt shot from 23 ft
3:13.0,Defensive rebound by K. O'Quinn,,77-78,,
3:03.0,K. O'Quinn misses 2-pt shot from 20 ft,,77-78,,
3:02.0,,,77-78,,Defensive rebound by P. Millsap
2:58.0,Personal foul by K. O'Quinn (drawn by D. Howard),,77-78,,
2:58.0,,,77-79,1,D. Howard makes free throw 1 of 2
2:58.0,,,77-79,,D. Howard misses free throw 2 of 2
2:58.0,,,77-79,,M. Delaney enters the game for T. Hardaway
2:56.0,Defensive rebound by K. O'Quinn,,77-79,,
2:41.0,Turnover by B. Jennings (offensive foul),,77-79,,
2:41.0,Offensive foul by B. Jennings,,77-79,,
2:25.0,,,77-79,,P. Millsap misses 2-pt shot from 7 ft
2:22.0,Defensive rebound by J. Holiday,,77-79,,
2:10.0,J. Holiday misses 3-pt shot from 24 ft,,77-79,,
2:08.0,Offensive rebound by K. O'Quinn,,77-79,,
2:02.0,J. Holiday misses 2-pt shot from 2 ft (block by M. Dunleavy),,77-79,,
2:01.0,,,77-79,,Defensive rebound by M. Dunleavy
1:49.0,Personal foul by B. Jennings (drawn by D. Schroder),,77-79,,
1:49.0,,,77-80,1,D. Schroder makes free throw 1 of 2
1:49.0,,,77-80,,D. Schroder misses free throw 2 of 2
1:49.0,R. Baker enters the game for B. Jennings,,77-80,,
1:49.0,,,77-80,,K. Humphries enters the game for D. Howard
1:48.0,Defensive rebound by K. O'Quinn,,77-80,,
1:34.0,C. Anthony misses 3-pt shot from 25 ft,,77-80,,
1:33.0,,,77-80,,Defensive rebound by Team
1:21.0,,,77-83,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Schroder)
1:06.0,,,77-83,,Personal foul by K. Humphries (drawn by K. O'Quinn)
1:06.0,K. Porzingis enters the game for C. Anthony,,77-83,,
1:01.0,M. Kuzminskas makes 2-pt shot at rim (assist by K. O'Quinn),2,79-83,,
0:50.0,,,79-83,,D. Schroder misses 2-pt shot from 3 ft
0:48.0,Defensive rebound by K. O'Quinn,,79-83,,
0:44.0,J. Holiday misses 3-pt shot from 23 ft,,79-83,,
0:42.0,Offensive rebound by K. Porzingis,,79-83,,
0:36.0,J. Holiday misses 3-pt shot from 25 ft,,79-83,,
0:32.0,Offensive rebound by J. Holiday,,79-83,,
0:16.0,R. Baker makes 2-pt shot from 14 ft (assist by K. Porzingis),2,81-83,,
0:01.0,,,81-83,,P. Millsap misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Holiday,,81-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Offensive foul by K. O'Quinn,,81-83,,
11:43.0,Turnover by K. O'Quinn (offensive foul),,81-83,,
11:29.0,,,81-83,,K. Humphries misses 2-pt shot from 7 ft
11:26.0,Defensive rebound by R. Baker,,81-83,,
11:18.0,J. Holiday makes 3-pt shot from 23 ft (assist by R. Baker),3,84-83,,
11:03.0,,,84-83,,Turnover by P. Millsap (traveling)
10:43.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by J. Holiday),2,86-83,,
10:32.0,Personal foul by K. Porzingis (drawn by P. Millsap),,86-83,,
10:20.0,,,86-83,,Shooting foul by K. O'Quinn (drawn by P. Millsap)
10:20.0,,,86-84,1,P. Millsap makes free throw 1 of 2
10:20.0,,,86-85,1,P. Millsap makes free throw 2 of 2
10:11.0,Turnover by R. Baker (bad pass; steal by M. Delaney),,86-85,,
10:08.0,,,86-85,,Shooting foul by K. Porzingis (drawn by M. Delaney)
10:08.0,,,86-86,1,M. Delaney makes free throw 1 of 2
10:08.0,,,86-87,1,M. Delaney makes free throw 2 of 2
9:55.0,K. Porzingis makes 2-pt shot from 15 ft (assist by M. Kuzminskas),2,88-87,,
9:37.0,,,88-87,,P. Millsap misses 2-pt shot from 1 ft
9:36.0,,,88-87,,Offensive rebound by K. Humphries
9:36.0,,,88-87,,K. Humphries misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by K. O'Quinn,,88-87,,
9:29.0,Offensive charge foul by K. Porzingis,,88-87,,
9:29.0,Turnover by K. Porzingis (offensive foul),,88-87,,
9:29.0,W. Hernangomez enters the game for K. Porzingis,,88-87,,
9:19.0,,,88-87,,Turnover by T. Hardaway (traveling)
8:59.0,W. Hernangomez misses 2-pt shot from 2 ft,,88-87,,
8:59.0,Offensive rebound by K. O'Quinn,,88-87,,
8:59.0,K. O'Quinn misses 2-pt shot from 2 ft,,88-87,,
8:59.0,Official timeout,,88-87,,
8:59.0,,,88-87,,M. Muscala enters the game for K. Humphries
8:59.0,Jump ball: P. Millsap vs. K. O'Quinn (M. Muscala gains possession),,,,Jump ball: P. Millsap vs. K. O'Quinn (M. Muscala gains possession)
8:59.0,,,88-87,,Offensive rebound by Team
8:39.0,,,88-89,2,M. Delaney makes 2-pt shot from 20 ft
8:19.0,J. Holiday misses 3-pt shot from 24 ft,,88-89,,
8:17.0,,,88-89,,Defensive rebound by P. Millsap
8:05.0,,,88-89,,M. Delaney misses 2-pt shot from 21 ft
8:03.0,Defensive rebound by J. Holiday,,88-89,,
7:45.0,K. O'Quinn misses 2-pt shot from 19 ft,,88-89,,
7:43.0,,,88-89,,Defensive rebound by M. Delaney
7:31.0,,,88-91,2,T. Hardaway makes 2-pt shot from 1 ft (assist by P. Millsap)
7:31.0,,,88-91,,Shooting foul by W. Hernangomez (drawn by T. Hardaway)
7:31.0,,,88-92,1,T. Hardaway makes free throw 1 of 1
7:31.0,C. Anthony enters the game for K. O'Quinn,,88-91,,
7:31.0,J. Noah enters the game for R. Baker,,88-91,,
7:31.0,B. Jennings enters the game for J. Holiday,,88-91,,
7:31.0,C. Lee enters the game for W. Hernangomez,,88-91,,
7:31.0,,,88-91,,K. Bazemore enters the game for M. Delaney
7:31.0,,,88-91,,D. Schroder enters the game for M. Dunleavy
7:13.0,B. Jennings misses 2-pt shot from 1 ft,,88-92,,
7:11.0,,,88-92,,Defensive rebound by P. Millsap
7:09.0,,,88-94,2,T. Hardaway makes 2-pt shot from 3 ft (assist by D. Schroder)
7:09.0,,,88-94,,Shooting foul by C. Lee (drawn by T. Hardaway)
7:09.0,,,88-95,1,T. Hardaway makes free throw 1 of 1
6:55.0,,,88-95,,Shooting block foul by T. Hardaway (drawn by J. Noah)
6:55.0,J. Noah makes free throw 1 of 2,1,89-95,,
6:55.0,J. Noah makes free throw 2 of 2,1,90-95,,
6:40.0,,,90-95,,P. Millsap misses 2-pt shot from 17 ft
