time,Sacramento,pts.away,score,pts.home,Houston
6:18.0,Sacramento full timeout,,7-19,,
6:10.0,K. Koufos misses 2-pt shot from 4 ft,,7-19,,
6:09.0,Offensive rebound by K. Koufos,,7-19,,
6:07.0,K. Koufos misses 2-pt shot from 5 ft (block by C. Capela),,7-19,,
6:05.0,,,7-19,,Defensive rebound by T. Ariza
5:49.0,,,7-21,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:40.0,,,7-21,,E. Gordon enters the game for P. Beverley
5:31.0,K. Koufos makes 2-pt shot from 2 ft (assist by D. Collison),2,9-21,,
5:13.0,,,9-21,,T. Ariza misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by D. Collison,,9-21,,
5:07.0,O. Casspi makes 2-pt shot at rim (assist by D. Collison),2,11-21,,
4:53.0,,,11-23,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
4:34.0,G. Temple makes 3-pt shot from 24 ft (assist by D. Collison),3,14-23,,
4:18.0,,,14-25,2,R. Anderson makes 2-pt shot from 13 ft
3:54.0,D. Collison misses 2-pt shot from 16 ft,,14-25,,
3:52.0,,,14-25,,Defensive rebound by T. Ariza
3:37.0,,,14-25,,E. Gordon misses 3-pt shot from 29 ft
3:35.0,Defensive rebound by A. Tolliver,,14-25,,
3:26.0,O. Casspi makes 3-pt shot from 27 ft (assist by D. Collison),3,17-25,,
3:09.0,,,17-25,,Shooting foul by A. Tolliver (drawn by J. Harden)
3:09.0,,,17-26,1,J. Harden makes free throw 1 of 2
3:09.0,,,17-27,1,J. Harden makes free throw 2 of 2
3:09.0,M. Barnes enters the game for D. Collison,,17-26,,
3:09.0,T. Lawson enters the game for A. Tolliver,,17-26,,
3:09.0,,,17-26,,N. Hilario enters the game for C. Capela
2:48.0,M. Barnes makes 3-pt shot from 24 ft (assist by T. Lawson),3,20-27,,
2:42.0,,,20-30,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
2:24.0,O. Casspi misses 2-pt shot from 8 ft,,20-30,,
2:23.0,,,20-30,,Defensive rebound by R. Anderson
2:12.0,,,20-30,,Turnover by J. Harden (bad pass; steal by T. Lawson)
2:07.0,T. Lawson misses 2-pt shot from 17 ft,,20-30,,
2:06.0,,,20-30,,Defensive rebound by J. Harden
1:57.0,,,20-33,3,R. Anderson makes 3-pt shot from 23 ft (assist by E. Gordon)
1:49.0,Sacramento full timeout,,20-33,,
1:49.0,,,20-33,,Houston full timeout
1:49.0,,,20-33,,S. Dekker enters the game for T. Ariza
1:49.0,,,20-33,,C. Brewer enters the game for R. Anderson
1:49.0,,,20-33,,P. Beverley enters the game for J. Harden
1:49.0,W. Cauley-Stein enters the game for K. Koufos,,20-33,,
1:39.0,G. Temple makes 3-pt shot from 26 ft (assist by M. Barnes),3,23-33,,
1:20.0,,,23-33,,Turnover by N. Hilario (lost ball; steal by W. Cauley-Stein)
1:05.0,G. Temple misses 3-pt shot from 26 ft,,23-33,,
1:04.0,,,23-33,,Defensive rebound by Team
0:53.0,,,23-33,,Turnover by P. Beverley (bad pass; steal by M. Barnes)
0:49.0,A. Afflalo enters the game for G. Temple,,23-33,,
0:39.0,O. Casspi misses 2-pt shot from 7 ft,,23-33,,
0:37.0,,,23-33,,Defensive rebound by C. Brewer
0:34.0,,,23-36,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Brewer)
0:24.0,T. Lawson makes 2-pt shot from 12 ft,2,25-36,,
0:00.0,,,25-36,,E. Gordon misses 3-pt shot from 29 ft
0:00.0,,,25-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-39,3,S. Dekker makes 3-pt shot from 25 ft (assist by E. Gordon)
11:27.0,T. Lawson makes 2-pt shot from 2 ft,2,27-39,,
11:11.0,,,27-41,2,N. Hilario makes 2-pt shot from 3 ft (assist by P. Beverley)
11:11.0,,,27-41,,Shooting foul by M. Barnes (drawn by N. Hilario)
11:11.0,,,27-41,,N. Hilario misses free throw 1 of 1
11:11.0,Defensive rebound by A. Afflalo,,27-41,,
11:03.0,Turnover by T. Lawson (bad pass; steal by P. Beverley),,27-41,,
10:49.0,,,27-41,,S. Dekker misses 3-pt shot from 24 ft
10:48.0,,,27-41,,Offensive rebound by S. Dekker
10:46.0,,,27-43,2,S. Dekker makes 2-pt shot from 3 ft
10:30.0,D. Collison makes 2-pt shot from 2 ft (assist by T. Lawson),2,29-43,,
10:18.0,,,29-43,,E. Gordon misses 2-pt shot from 6 ft
10:17.0,Defensive rebound by D. Collison,,29-43,,
10:01.0,M. Barnes misses 3-pt shot from 27 ft,,29-43,,
9:59.0,,,29-43,,Defensive rebound by N. Hilario
9:50.0,,,29-43,,Turnover by P. Beverley (traveling)
9:28.0,A. Afflalo misses 3-pt shot from 27 ft,,29-43,,
9:27.0,,,29-43,,Defensive rebound by P. Beverley
9:13.0,Personal foul by W. Cauley-Stein (drawn by N. Hilario),,29-43,,
9:09.0,,,29-43,,Turnover by N. Hilario (bad pass)
8:53.0,T. Lawson misses 3-pt shot from 26 ft,,29-43,,
8:52.0,,,29-43,,Defensive rebound by S. Dekker
8:41.0,,,29-46,3,P. Beverley makes 3-pt shot from 26 ft (assist by E. Gordon)
8:29.0,D. Collison misses 2-pt shot from 17 ft,,29-46,,
8:28.0,,,29-46,,Defensive rebound by N. Hilario
8:22.0,,,29-46,,Turnover by C. Brewer (lost ball; steal by T. Lawson)
8:04.0,A. Afflalo misses 3-pt shot from 24 ft,,29-46,,
8:02.0,,,29-46,,Defensive rebound by E. Gordon
7:51.0,,,29-46,,N. Hilario misses 2-pt shot from 14 ft
7:50.0,,,29-46,,Offensive rebound by S. Dekker
7:47.0,,,29-48,2,S. Dekker makes 2-pt shot from 4 ft
7:41.0,Sacramento full timeout,,29-48,,
7:41.0,,,29-48,,C. Capela enters the game for P. Beverley
7:41.0,,,29-48,,J. Harden enters the game for N. Hilario
7:30.0,A. Afflalo misses 2-pt shot from 8 ft,,29-48,,
7:29.0,,,29-48,,Defensive rebound by J. Harden
7:13.0,,,29-51,3,S. Dekker makes 3-pt shot from 23 ft (assist by C. Capela)
7:02.0,Turnover by D. Collison (bad pass),,29-51,,
6:54.0,,,29-53,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:53.0,Sacramento full timeout,,29-53,,
6:53.0,,,29-53,,T. Ariza enters the game for C. Brewer
6:53.0,,,29-53,,R. Anderson enters the game for S. Dekker
6:35.0,Turnover by T. Lawson (bad pass),,29-53,,
6:22.0,,,29-53,,Turnover by J. Harden (bad pass)
6:22.0,G. Temple enters the game for T. Lawson,,29-53,,
6:22.0,K. Koufos enters the game for W. Cauley-Stein,,29-53,,
6:01.0,A. Afflalo makes 2-pt shot from 2 ft,2,31-53,,
5:42.0,,,31-55,2,R. Anderson makes 2-pt shot from 4 ft
5:19.0,Shooting foul by E. Gordon (drawn by D. Collison),,31-55,,
5:19.0,D. Collison makes free throw 1 of 2,1,32-55,,
5:19.0,D. Collison makes free throw 2 of 2,1,33-55,,
5:15.0,,,33-55,,Offensive charge foul by C. Capela
5:15.0,,,33-55,,Turnover by C. Capela (offensive foul)
5:15.0,A. Tolliver enters the game for M. Barnes,,33-55,,
5:15.0,O. Casspi enters the game for A. Afflalo,,33-55,,
5:03.0,G. Temple makes 2-pt shot from 2 ft,2,35-55,,
4:38.0,,,35-57,2,R. Anderson makes 2-pt shot from 12 ft (assist by E. Gordon)
4:27.0,Turnover by G. Temple (lost ball),,35-57,,
4:19.0,,,35-57,,R. Anderson misses 3-pt shot from 27 ft
4:17.0,Defensive rebound by D. Collison,,35-57,,
4:10.0,K. Koufos makes 2-pt shot from 9 ft (assist by D. Collison),2,37-57,,
3:57.0,,,37-57,,T. Ariza misses 2-pt shot from 7 ft (block by K. Koufos)
3:57.0,Defensive rebound by Team,,37-57,,
3:57.0,,,37-57,,M. Harrell enters the game for C. Capela
3:57.0,,,37-57,,P. Beverley enters the game for E. Gordon
3:40.0,K. Koufos makes 2-pt shot at rim (assist by G. Temple),2,39-57,,
3:21.0,,,39-57,,R. Anderson misses 3-pt shot from 28 ft
3:20.0,Defensive rebound by K. Koufos,,39-57,,
3:07.0,G. Temple misses 3-pt shot from 26 ft,,39-57,,
3:05.0,,,39-57,,Defensive rebound by M. Harrell
2:50.0,,,39-57,,Shooting foul by O. Casspi (drawn by M. Harrell)
2:50.0,Official timeout,,39-57,,
2:50.0,,,39-57,,M. Harrell misses free throw 1 of 2
2:50.0,,,39-57,,Offensive rebound by Team
2:50.0,,,39-58,1,M. Harrell makes free throw 2 of 2
2:38.0,Offensive charge foul by O. Casspi,,39-58,,
2:38.0,Turnover by O. Casspi (offensive foul),,39-58,,
2:38.0,M. Barnes enters the game for O. Casspi,,39-58,,
2:15.0,,,39-58,,P. Beverley misses 2-pt shot from 3 ft
2:14.0,Defensive rebound by A. Tolliver,,39-58,,
2:04.0,K. Koufos misses 2-pt shot from 5 ft,,39-58,,
2:03.0,Offensive rebound by K. Koufos,,39-58,,
2:02.0,K. Koufos misses 2-pt shot from 2 ft (block by M. Harrell),,39-58,,
2:01.0,Offensive rebound by A. Tolliver,,39-58,,
2:01.0,Shooting foul by P. Beverley (drawn by A. Tolliver),,39-58,,
2:01.0,A. Tolliver makes free throw 1 of 2,1,40-58,,
2:01.0,A. Tolliver misses free throw 2 of 2,,40-58,,
2:01.0,Offensive rebound by K. Koufos,,40-58,,
1:49.0,D. Collison misses 3-pt shot from 26 ft,,40-58,,
1:48.0,,,40-58,,Defensive rebound by J. Harden
1:34.0,,,40-58,,Turnover by J. Harden (bad pass)
1:24.0,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Collison),3,43-58,,
1:07.0,,,43-61,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
0:49.0,A. Tolliver misses 3-pt shot from 24 ft,,43-61,,
0:48.0,,,43-61,,Defensive rebound by J. Harden
0:38.0,,,43-64,3,T. Ariza makes 3-pt shot from 26 ft (assist by P. Beverley)
0:32.0,,,43-64,,Personal foul by P. Beverley (drawn by K. Koufos)
0:25.0,A. Tolliver misses 3-pt shot from 26 ft,,43-64,,
0:24.0,,,43-64,,Defensive rebound by J. Harden
0:20.0,,,43-64,,Turnover by J. Harden (bad pass; steal by A. Tolliver)
0:00.0,D. Collison misses 2-pt shot from 18 ft,,43-64,,
0:00.0,Offensive rebound by Team,,43-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,43-64,,Turnover by C. Capela (3 sec)
11:26.0,Offensive foul by K. Koufos,,43-64,,
11:26.0,Turnover by K. Koufos (offensive foul),,43-64,,
11:15.0,,,43-64,,P. Beverley misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by O. Casspi,,43-64,,
11:02.0,Turnover by D. Collison (bad pass; steal by J. Harden),,43-64,,
10:39.0,,,43-64,,C. Capela misses 2-pt shot from 7 ft (block by K. Koufos)
10:36.0,Defensive rebound by A. Tolliver,,43-64,,
10:30.0,G. Temple makes 3-pt shot from 26 ft (assist by D. Collison),3,46-64,,
10:17.0,,,46-64,,R. Anderson misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by O. Casspi,,46-64,,
10:13.0,D. Collison makes 2-pt shot from 7 ft,2,48-64,,
10:13.0,Shooting foul by P. Beverley (drawn by D. Collison),,48-64,,
10:13.0,D. Collison makes free throw 1 of 1,1,49-64,,
10:13.0,,,48-64,,M. Harrell enters the game for C. Capela
9:58.0,,,49-66,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
9:42.0,K. Koufos makes 2-pt shot from 2 ft (assist by G. Temple),2,51-66,,
9:17.0,,,51-69,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
9:06.0,A. Tolliver misses 3-pt shot from 25 ft,,51-69,,
9:04.0,Offensive rebound by K. Koufos,,51-69,,
8:55.0,A. Tolliver makes 2-pt shot from 2 ft,2,53-69,,
8:40.0,,,53-69,,J. Harden misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by O. Casspi,,53-69,,
8:37.0,Offensive charge foul by G. Temple,,53-69,,
8:37.0,Turnover by G. Temple (offensive foul),,53-69,,
8:25.0,,,53-72,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
8:15.0,Turnover by G. Temple (bad pass; steal by T. Ariza),,53-72,,
8:11.0,,,53-74,2,P. Beverley makes 2-pt shot from 2 ft (assist by T. Ariza)
7:43.0,O. Casspi misses 2-pt shot from 18 ft,,53-74,,
7:42.0,,,53-74,,Defensive rebound by J. Harden
7:41.0,Personal foul by D. Collison (drawn by J. Harden),,53-74,,
7:30.0,,,53-74,,M. Harrell misses 2-pt shot at rim (block by A. Tolliver)
7:27.0,Defensive rebound by K. Koufos,,53-74,,
7:22.0,Turnover by D. Collison (bad pass; steal by T. Ariza),,53-74,,
7:17.0,,,53-76,2,J. Harden makes 2-pt shot at rim
7:17.0,Sacramento full timeout,,53-76,,
7:03.0,,,53-76,,Personal foul by T. Ariza (drawn by O. Casspi)
6:52.0,G. Temple misses 2-pt shot from 20 ft,,53-76,,
6:51.0,,,53-76,,Defensive rebound by R. Anderson
6:43.0,,,53-79,3,T. Ariza makes 3-pt shot from 25 ft (assist by P. Beverley)
6:23.0,O. Casspi misses 3-pt shot from 26 ft,,53-79,,
6:22.0,Offensive rebound by G. Temple,,53-79,,
6:18.0,Turnover by G. Temple (bad pass; steal by M. Harrell),,53-79,,
6:14.0,,,53-81,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
6:03.0,A. Tolliver misses 3-pt shot from 25 ft,,53-81,,
6:02.0,,,53-81,,Defensive rebound by J. Harden
5:52.0,,,53-81,,M. Harrell misses 2-pt shot at rim (block by A. Tolliver)
5:52.0,,,53-81,,Offensive rebound by R. Anderson
5:52.0,,,53-83,2,R. Anderson makes 2-pt shot from 1 ft
5:52.0,,,53-83,,Shooting foul by K. Koufos (drawn by R. Anderson)
5:52.0,,,53-84,1,R. Anderson makes free throw 1 of 1
5:52.0,,,53-83,,E. Gordon enters the game for P. Beverley
5:28.0,K. Koufos makes 2-pt shot from 10 ft (assist by G. Temple),2,55-84,,
5:14.0,,,55-84,,Shooting foul by G. Temple (drawn by J. Harden)
5:14.0,,,55-85,1,J. Harden makes free throw 1 of 2
5:14.0,,,55-86,1,J. Harden makes free throw 2 of 2
4:59.0,G. Temple misses 3-pt shot from 24 ft,,55-86,,
4:58.0,Offensive rebound by K. Koufos,,55-86,,
4:55.0,K. Koufos misses 2-pt shot from 1 ft (block by M. Harrell),,55-86,,
4:54.0,Offensive rebound by O. Casspi,,55-86,,
4:52.0,O. Casspi misses 2-pt shot from 5 ft,,55-86,,
4:51.0,,,55-86,,Defensive rebound by M. Harrell
4:46.0,,,55-89,3,J. Harden makes 3-pt shot from 25 ft
4:28.0,G. Temple makes 3-pt shot from 26 ft (assist by K. Koufos),3,58-89,,
4:10.0,,,58-89,,J. Harden misses 3-pt shot from 27 ft
4:08.0,Defensive rebound by A. Tolliver,,58-89,,
3:59.0,A. Tolliver misses 3-pt shot from 25 ft,,58-89,,
3:58.0,,,58-89,,Defensive rebound by J. Harden
3:53.0,,,58-91,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
3:35.0,D. Collison misses 2-pt shot from 5 ft (block by E. Gordon),,58-91,,
3:33.0,,,58-91,,Defensive rebound by E. Gordon
3:24.0,,,58-94,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:23.0,Sacramento full timeout,,58-94,,
3:23.0,,,58-94,,S. Dekker enters the game for R. Anderson
3:23.0,,,58-94,,N. Hilario enters the game for M. Harrell
3:23.0,M. Barnes enters the game for A. Tolliver,,58-94,,
3:23.0,T. Lawson enters the game for K. Koufos,,58-94,,
3:23.0,W. Cauley-Stein enters the game for D. Collison,,58-94,,
3:10.0,Shooting foul by N. Hilario (drawn by O. Casspi),,58-94,,
3:10.0,O. Casspi makes free throw 1 of 2,1,59-94,,
3:10.0,O. Casspi misses free throw 2 of 2,,59-94,,
3:10.0,,,59-94,,Defensive rebound by J. Harden
2:59.0,,,59-97,3,E. Gordon makes 3-pt shot from 29 ft (assist by J. Harden)
2:40.0,O. Casspi makes 2-pt shot from 3 ft,2,61-97,,
2:25.0,,,61-97,,N. Hilario misses 2-pt shot from 3 ft
2:24.0,Defensive rebound by W. Cauley-Stein,,61-97,,
2:18.0,G. Temple makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,63-97,,
2:03.0,,,63-99,2,S. Dekker makes 2-pt shot at rim (assist by E. Gordon)
1:45.0,M. Barnes misses 2-pt shot from 21 ft,,63-99,,
1:43.0,,,63-99,,Defensive rebound by S. Dekker
1:38.0,,,63-99,,Shooting foul by W. Cauley-Stein (drawn by N. Hilario)
1:38.0,,,63-99,,N. Hilario misses free throw 1 of 2
1:38.0,,,63-99,,Offensive rebound by Team
1:38.0,,,63-100,1,N. Hilario makes free throw 2 of 2
1:23.0,,,63-100,,Def 3 sec tech foul by J. Harden
1:23.0,G. Temple makes technical free throw,1,64-100,,
1:13.0,M. Barnes makes 3-pt shot from 27 ft (assist by O. Casspi),3,67-100,,
0:59.0,,,67-100,,T. Ariza misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by Team,,67-100,,
0:50.0,O. Casspi misses 3-pt shot from 25 ft,,67-100,,
0:48.0,,,67-100,,Defensive rebound by J. Harden
0:47.0,,,67-102,2,S. Dekker makes 2-pt shot at rim (assist by J. Harden)
0:21.0,Turnover by Team (shot clock),,67-102,,
0:02.0,,,67-102,,J. Harden misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by W. Cauley-Stein,,67-102,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,69-102,,
11:31.0,,,69-104,2,N. Hilario makes 2-pt shot from 3 ft (assist by E. Gordon)
11:22.0,T. Lawson misses 2-pt shot from 19 ft,,69-104,,
11:20.0,,,69-104,,Defensive rebound by S. Dekker
11:16.0,,,69-104,,E. Gordon misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by M. Barnes,,69-104,,
11:01.0,A. Tolliver makes 2-pt shot from 4 ft,2,71-104,,
10:47.0,,,71-104,,E. Gordon misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by A. Tolliver,,71-104,,
10:32.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,71-104,,
10:31.0,,,71-104,,Defensive rebound by S. Dekker
10:21.0,,,71-104,,P. Beverley misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by M. Barnes,,71-104,,
10:09.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,71-104,,
10:08.0,,,71-104,,Defensive rebound by S. Dekker
9:57.0,,,71-107,3,C. Brewer makes 3-pt shot from 23 ft (assist by E. Gordon)
9:42.0,Turnover by T. Lawson (bad pass; steal by N. Hilario),,71-107,,
9:36.0,,,71-107,,E. Gordon misses 3-pt shot from 27 ft
9:34.0,Defensive rebound by M. Richardson,,71-107,,
9:20.0,,,71-107,,Personal foul by C. Brewer (drawn by T. Lawson)
9:20.0,,,71-107,,C. Capela enters the game for N. Hilario
9:06.0,T. Lawson misses 2-pt shot from 18 ft,,71-107,,
9:05.0,Offensive rebound by W. Cauley-Stein,,71-107,,
9:05.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by E. Gordon),,71-107,,
9:05.0,,,71-107,,Defensive rebound by Team
8:51.0,,,71-107,,E. Gordon misses 2-pt shot from 8 ft
8:49.0,Defensive rebound by W. Cauley-Stein,,71-107,,
8:36.0,M. Richardson misses 2-pt shot from 21 ft,,71-107,,
8:34.0,,,71-107,,Defensive rebound by P. Beverley
8:29.0,,,71-109,2,S. Dekker makes 2-pt shot from 3 ft (assist by E. Gordon)
8:29.0,,,71-109,,Shooting foul by W. Cauley-Stein (drawn by S. Dekker)
8:29.0,Official timeout,,71-109,,
8:29.0,,,71-110,1,S. Dekker makes free throw 1 of 1
8:06.0,T. Lawson makes 2-pt shot from 2 ft,2,73-110,,
7:51.0,,,73-112,2,C. Capela makes 2-pt shot from 4 ft (assist by P. Beverley)
7:51.0,,,73-112,,Shooting foul by M. Richardson (drawn by C. Capela)
7:51.0,,,73-112,,C. Capela misses free throw 1 of 1
7:51.0,Defensive rebound by W. Cauley-Stein,,73-112,,
7:43.0,Shooting foul by E. Gordon (drawn by M. Richardson),,73-112,,
7:43.0,M. Richardson makes free throw 1 of 2,1,74-112,,
7:43.0,M. Richardson makes free throw 2 of 2,1,75-112,,
7:32.0,,,75-112,,E. Gordon misses 3-pt shot from 27 ft
7:31.0,Defensive rebound by A. Tolliver,,75-112,,
7:31.0,,,75-112,,Loose ball foul by S. Dekker (drawn by A. Tolliver)
7:13.0,W. Cauley-Stein makes 2-pt shot from 7 ft,2,77-112,,
7:01.0,,,77-114,2,P. Beverley makes 2-pt shot from 9 ft
6:42.0,M. Barnes makes 3-pt shot from 24 ft (assist by T. Lawson),3,80-114,,
6:33.0,S. Labissiere enters the game for M. Barnes,,80-114,,
6:24.0,,,80-114,,P. Beverley misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by M. Richardson,,80-114,,
6:12.0,T. Lawson misses 2-pt shot from 19 ft,,80-114,,
6:10.0,,,80-114,,Defensive rebound by P. Beverley
5:55.0,,,80-114,,E. Gordon misses 2-pt shot from 5 ft (block by W. Cauley-Stein)
5:53.0,,,80-114,,Offensive rebound by C. Brewer
5:50.0,,,80-117,3,E. Gordon makes 3-pt shot from 23 ft (assist by C. Brewer)
5:36.0,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by M. Richardson),2,82-117,,
5:36.0,,,82-117,,Houston full timeout
5:36.0,,,82-117,,T. Ennis enters the game for C. Capela
5:36.0,,,82-117,,K. McDaniels enters the game for P. Beverley
5:36.0,,,82-117,,M. Harrell enters the game for E. Gordon
5:36.0,,,82-117,,K. Wiltjer enters the game for C. Brewer
5:11.0,,,82-117,,Turnover by K. McDaniels (lost ball; steal by M. Richardson)
4:55.0,A. Tolliver makes 2-pt shot from 21 ft,2,84-117,,
4:38.0,,,84-120,3,K. Wiltjer makes 3-pt shot from 28 ft (assist by T. Ennis)
4:22.0,M. Richardson misses 3-pt shot from 25 ft,,84-120,,
4:21.0,,,84-120,,Defensive rebound by K. McDaniels
4:11.0,,,84-120,,Turnover by K. McDaniels (bad pass; steal by T. Lawson)
4:06.0,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by T. Lawson),2,86-120,,
4:06.0,Shooting foul by K. McDaniels (drawn by W. Cauley-Stein),,86-120,,
4:06.0,W. Cauley-Stein makes free throw 1 of 1,1,87-120,,
3:55.0,,,87-123,3,K. Wiltjer makes 3-pt shot from 28 ft (assist by T. Ennis)
3:35.0,M. Richardson makes 2-pt shot from 19 ft (assist by W. Cauley-Stein),2,89-123,,
3:25.0,Violation by T. Lawson (kicked ball),,89-123,,
3:20.0,,,89-125,2,S. Dekker makes 2-pt shot from 2 ft (assist by M. Harrell)
3:00.0,A. Tolliver misses 3-pt shot from 26 ft,,89-125,,
2:58.0,Offensive rebound by S. Labissiere,,89-125,,
2:57.0,S. Labissiere makes 2-pt shot at rim,2,91-125,,
2:42.0,,,91-125,,S. Dekker misses 2-pt shot from 8 ft
2:41.0,,,91-125,,Offensive rebound by K. Wiltjer
2:37.0,,,91-125,,Turnover by T. Ennis (traveling)
2:37.0,Sacramento full timeout,,91-125,,
2:21.0,S. Labissiere misses 2-pt shot from 10 ft,,91-125,,
2:20.0,,,91-125,,Defensive rebound by T. Ennis
2:13.0,,,91-127,2,M. Harrell makes 2-pt shot from 18 ft (assist by T. Ennis)
2:02.0,M. Richardson makes 3-pt shot from 26 ft (assist by T. Lawson),3,94-127,,
1:45.0,,,94-127,,K. McDaniels misses 3-pt shot from 24 ft
1:44.0,,,94-127,,Offensive rebound by K. Wiltjer
1:43.0,,,94-127,,Shooting foul by T. Lawson (drawn by K. Wiltjer)
1:43.0,,,94-128,1,K. Wiltjer makes free throw 1 of 2
1:43.0,,,94-128,,K. Wiltjer misses free throw 2 of 2
1:41.0,Defensive rebound by A. Tolliver,,94-128,,
1:32.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,96-128,,
