time,Chicago,pts.away,score,pts.home,Atlanta
5:56.0,D. Valentine enters the game for D. Wade,,19-49,,
5:42.0,,,21-49,,Turnover by D. Schroder (lost ball)
5:27.0,J. Butler makes 2-pt shot from 18 ft,2,23-49,,
5:13.0,,,23-49,,Turnover by K. Bazemore (bad pass; steal by R. Lopez)
5:06.0,J. Butler makes 3-pt shot from 26 ft,3,26-49,,
5:05.0,,,26-49,,Atlanta full timeout
5:05.0,,,26-49,,P. Millsap enters the game for M. Dunleavy
5:05.0,,,26-49,,T. Sefolosha enters the game for M. Scott
4:51.0,,,26-51,2,P. Millsap makes 2-pt shot from 6 ft
4:40.0,,,26-51,,Personal foul by K. Bazemore (drawn by J. Butler)
4:31.0,P. Zipser makes 2-pt shot at rim (assist by J. Butler),2,28-51,,
4:08.0,,,28-54,3,P. Millsap makes 3-pt shot from 23 ft (assist by D. Schroder)
3:51.0,P. Zipser misses 3-pt shot from 23 ft,,28-54,,
3:49.0,,,28-54,,Defensive rebound by D. Howard
3:34.0,,,28-54,,Shooting foul by P. Zipser (drawn by D. Howard)
3:34.0,,,28-55,1,D. Howard makes free throw 1 of 2
3:34.0,,,28-55,,D. Howard misses free throw 2 of 2
3:32.0,Defensive rebound by D. Valentine,,28-55,,
3:09.0,Turnover by Team (shot clock),,28-55,,
2:59.0,,,28-58,3,D. Schroder makes 3-pt shot from 25 ft
2:44.0,,,28-58,,Personal foul by K. Bazemore (drawn by J. Butler)
2:44.0,R. Rondo enters the game for M. Carter-Williams,,28-58,,
2:37.0,J. Butler makes 3-pt shot from 25 ft,3,31-58,,
2:20.0,,,31-58,,D. Schroder misses 2-pt shot from 9 ft
2:19.0,,,31-58,,Offensive rebound by D. Howard
2:19.0,,,31-58,,Shooting foul by R. Rondo (drawn by D. Howard)
2:19.0,,,31-59,1,D. Howard makes free throw 1 of 2
2:19.0,,,31-60,1,D. Howard makes free throw 2 of 2
2:19.0,,,31-59,,T. Hardaway enters the game for K. Bazemore
2:04.0,D. Valentine misses 3-pt shot from 25 ft,,31-60,,
2:03.0,,,31-60,,Defensive rebound by T. Sefolosha
1:55.0,,,31-60,,D. Howard misses 2-pt shot from 4 ft
1:53.0,Defensive rebound by R. Lopez,,31-60,,
1:45.0,,,31-60,,K. Humphries enters the game for D. Howard
1:35.0,D. Valentine makes 3-pt shot from 23 ft (assist by R. Rondo),3,34-60,,
1:18.0,,,34-63,3,K. Humphries makes 3-pt shot from 23 ft (assist by D. Schroder)
1:00.0,J. Butler makes 2-pt shot from 1 ft (assist by R. Lopez),2,36-63,,
0:43.0,,,36-65,2,P. Millsap makes 2-pt shot from 9 ft (assist by D. Schroder)
0:32.0,P. Zipser misses 2-pt shot from 10 ft (block by P. Millsap),,36-65,,
0:30.0,,,36-65,,Defensive rebound by P. Millsap
0:27.0,,,36-65,,T. Hardaway misses 2-pt shot from 20 ft
0:25.0,,,36-65,,Offensive rebound by P. Millsap
0:07.0,,,36-65,,Turnover by D. Schroder (bad pass; steal by R. Rondo)
0:02.0,D. Valentine misses 3-pt shot from 25 ft,,36-65,,
0:01.0,Offensive rebound by R. Rondo,,36-65,,
0:01.0,R. Rondo misses 2-pt shot from 11 ft (block by K. Humphries),,36-65,,
0:00.0,Offensive rebound by Team,,36-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by T. Gibson (lost ball; steal by P. Millsap),,36-65,,
11:26.0,,,36-65,,D. Howard misses 2-pt shot from 4 ft (block by R. Lopez)
11:24.0,,,36-65,,Offensive rebound by D. Schroder
11:22.0,,,36-65,,Shooting foul by D. Wade (drawn by P. Millsap)
11:22.0,,,36-66,1,P. Millsap makes free throw 1 of 2
11:22.0,,,36-67,1,P. Millsap makes free throw 2 of 2
11:04.0,D. Wade misses 3-pt shot from 24 ft,,36-67,,
11:03.0,,,36-67,,Defensive rebound by P. Millsap
10:52.0,,,36-67,,Turnover by D. Schroder (bad pass)
10:35.0,M. Carter-Williams misses 2-pt shot from 6 ft,,36-67,,
10:31.0,Offensive rebound by M. Carter-Williams,,36-67,,
10:26.0,M. Carter-Williams misses 2-pt shot from 3 ft (block by P. Millsap),,36-67,,
10:22.0,Offensive rebound by T. Gibson,,36-67,,
10:16.0,R. Lopez makes 2-pt shot at rim,2,38-67,,
9:49.0,,,38-70,3,D. Schroder makes 3-pt shot from 24 ft (assist by P. Millsap)
9:38.0,R. Lopez makes 2-pt shot from 19 ft (assist by J. Butler),2,40-70,,
9:25.0,,,40-70,,D. Howard misses 2-pt shot from 1 ft (block by R. Lopez)
9:23.0,Defensive rebound by R. Lopez,,40-70,,
9:15.0,R. Lopez misses 2-pt shot from 19 ft,,40-70,,
9:14.0,,,40-70,,Defensive rebound by K. Bazemore
9:07.0,,,40-70,,Turnover by K. Bazemore (lost ball)
8:56.0,J. Butler makes 2-pt shot from 7 ft (assist by M. Carter-Williams),2,42-70,,
8:42.0,,,42-70,,Turnover by D. Schroder (bad pass; steal by M. Carter-Williams)
8:37.0,D. Wade makes 2-pt shot at rim (assist by J. Butler),2,44-70,,
8:22.0,,,44-72,2,D. Schroder makes 2-pt shot from 19 ft
8:13.0,Turnover by M. Carter-Williams (bad pass; steal by T. Sefolosha),,44-72,,
8:10.0,,,44-72,,Shooting foul by M. Carter-Williams (drawn by T. Sefolosha)
8:10.0,,,44-73,1,T. Sefolosha makes free throw 1 of 2
8:10.0,,,44-74,1,T. Sefolosha makes free throw 2 of 2
7:55.0,D. Wade misses 2-pt shot from 1 ft,,44-74,,
7:54.0,,,44-74,,Defensive rebound by P. Millsap
7:41.0,,,44-74,,Turnover by P. Millsap (lost ball; steal by M. Carter-Williams)
7:41.0,,,44-74,,Personal foul by P. Millsap (drawn by M. Carter-Williams)
7:32.0,D. Wade misses 2-pt shot from 10 ft,,44-74,,
7:31.0,Offensive rebound by R. Lopez,,44-74,,
7:30.0,R. Lopez misses 2-pt shot from 1 ft,,44-74,,
7:29.0,,,44-74,,Defensive rebound by D. Schroder
7:21.0,,,44-74,,D. Howard misses 2-pt shot from 1 ft
7:20.0,,,44-74,,Offensive rebound by T. Sefolosha
7:20.0,,,44-74,,T. Sefolosha misses 2-pt shot at rim
7:18.0,,,44-74,,Offensive rebound by P. Millsap
7:15.0,,,44-74,,K. Bazemore misses 3-pt shot from 26 ft
7:14.0,Defensive rebound by D. Wade,,44-74,,
7:08.0,M. Carter-Williams misses 2-pt shot from 3 ft,,44-74,,
7:06.0,Offensive rebound by T. Gibson,,44-74,,
7:06.0,T. Gibson makes 2-pt shot from 1 ft,2,46-74,,
6:50.0,,,46-76,2,T. Sefolosha makes 2-pt shot from 7 ft
6:50.0,,,46-76,,Personal foul by D. Howard (drawn by R. Lopez)
6:50.0,,,46-76,,Atlanta full timeout
6:50.0,,,46-76,,M. Scott enters the game for P. Millsap
6:38.0,,,46-76,,Personal foul by D. Howard (drawn by J. Butler)
6:31.0,M. Carter-Williams makes 3-pt shot from 24 ft (assist by D. Wade),3,49-76,,
6:12.0,,,49-76,,M. Scott misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by Team,,49-76,,
5:58.0,T. Gibson makes 2-pt shot at rim (assist by D. Wade),2,51-76,,
5:37.0,,,51-76,,Turnover by D. Schroder (bad pass; steal by J. Butler)
5:29.0,Turnover by J. Butler (bad pass; steal by T. Sefolosha),,51-76,,
5:23.0,,,51-78,2,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore)
5:05.0,D. Wade misses 2-pt shot from 4 ft,,51-78,,
5:04.0,Offensive rebound by D. Wade,,51-78,,
5:03.0,D. Wade misses 2-pt shot from 7 ft,,51-78,,
5:01.0,,,51-78,,Defensive rebound by D. Schroder
4:51.0,,,51-78,,D. Howard misses 2-pt shot from 2 ft
4:49.0,Defensive rebound by R. Lopez,,51-78,,
4:44.0,Turnover by J. Butler (lost ball; steal by T. Sefolosha),,51-78,,
4:40.0,,,51-80,2,T. Sefolosha makes 2-pt shot from 2 ft
4:37.0,Chicago full timeout,,51-80,,
4:37.0,,,51-80,,T. Hardaway enters the game for K. Bazemore
4:37.0,B. Portis enters the game for T. Gibson,,51-80,,
4:37.0,R. Rondo enters the game for D. Wade,,51-80,,
4:37.0,D. McDermott enters the game for M. Carter-Williams,,51-80,,
4:16.0,B. Portis misses 3-pt shot from 22 ft,,51-80,,
4:14.0,,,51-80,,Defensive rebound by D. Howard
3:58.0,,,51-80,,D. Howard misses 2-pt shot at rim
3:56.0,Defensive rebound by B. Portis,,51-80,,
3:48.0,,,51-80,,Personal foul by T. Sefolosha (drawn by J. Butler)
3:41.0,J. Butler misses 2-pt shot from 20 ft,,51-80,,
3:40.0,,,51-80,,Defensive rebound by T. Hardaway
3:23.0,,,51-80,,Shooting foul by R. Lopez (drawn by D. Howard)
3:23.0,,,51-80,,D. Howard misses free throw 1 of 2
3:23.0,,,51-80,,Offensive rebound by Team
3:23.0,,,51-80,,Technical foul by D. Howard
3:23.0,Technical foul by R. Lopez (drawn by D. Howard),,51-80,,
3:23.0,,,51-81,1,D. Howard makes free throw 2 of 2
3:23.0,C. Felicio enters the game for R. Lopez,,51-80,,
3:09.0,R. Rondo misses 2-pt shot from 17 ft,,51-81,,
3:08.0,,,51-81,,Defensive rebound by D. Howard
2:59.0,,,51-83,2,T. Hardaway makes 2-pt shot from 5 ft
2:51.0,R. Rondo makes 2-pt shot at rim,2,53-83,,
2:36.0,,,53-83,,Turnover by T. Hardaway (lost ball)
2:36.0,,,53-83,,M. Delaney enters the game for D. Schroder
2:36.0,,,53-83,,K. Humphries enters the game for D. Howard
2:36.0,D. Valentine enters the game for J. Butler,,53-83,,
2:28.0,Turnover by D. McDermott (lost ball; steal by T. Hardaway),,53-83,,
2:22.0,,,53-83,,T. Hardaway misses 2-pt shot from 9 ft
2:21.0,Defensive rebound by C. Felicio,,53-83,,
2:19.0,Turnover by C. Felicio (bad pass),,53-83,,
2:19.0,,,53-83,,M. Dunleavy enters the game for T. Sefolosha
2:11.0,,,53-85,2,M. Scott makes 2-pt shot from 16 ft (assist by M. Dunleavy)
1:51.0,B. Portis misses 2-pt shot from 19 ft,,53-85,,
1:49.0,,,53-85,,Defensive rebound by T. Hardaway
1:45.0,,,53-87,2,M. Scott makes 2-pt shot from 3 ft (assist by T. Hardaway)
1:32.0,B. Portis misses 2-pt shot from 6 ft,,53-87,,
1:30.0,Offensive rebound by Team,,53-87,,
1:27.0,D. Valentine misses 3-pt shot from 24 ft,,53-87,,
1:26.0,,,53-87,,Defensive rebound by K. Humphries
1:21.0,,,53-87,,Turnover by M. Delaney (bad pass; steal by D. Valentine)
1:11.0,D. McDermott misses 2-pt shot from 16 ft,,53-87,,
1:09.0,,,53-87,,Defensive rebound by K. Humphries
1:00.0,,,53-87,,T. Hardaway misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by B. Portis,,53-87,,
0:42.0,B. Portis makes 2-pt shot from 11 ft,2,55-87,,
0:32.0,,,55-87,,K. Humphries misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by D. McDermott,,55-87,,
0:14.0,Shooting foul by M. Delaney (drawn by C. Felicio),,55-87,,
0:14.0,C. Felicio makes free throw 1 of 2,1,56-87,,
0:14.0,C. Felicio makes free throw 2 of 2,1,57-87,,
0:05.0,Personal take foul by D. Valentine (drawn by T. Hardaway),,57-87,,
0:00.0,,,57-87,,M. Scott misses 3-pt shot from 25 ft
0:00.0,,,57-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,57-87,,G. Neal misses 2-pt shot from 20 ft
11:41.0,Defensive rebound by D. McDermott,,57-87,,
11:22.0,B. Portis makes 2-pt shot from 3 ft (assist by D. Valentine),2,59-87,,
11:07.0,,,59-87,,T. Waller-Prince misses 2-pt shot from 8 ft
11:06.0,,,59-87,,Offensive rebound by Team
11:01.0,Personal foul by N. Mirotic (drawn by K. Humphries),,59-87,,
10:53.0,,,59-87,,M. Delaney misses 2-pt shot from 18 ft
10:51.0,,,59-87,,Offensive rebound by K. Humphries
10:45.0,,,59-87,,Turnover by T. Waller-Prince (lost ball; steal by R. Rondo)
10:32.0,R. Rondo misses 2-pt shot at rim,,59-87,,
10:30.0,Offensive rebound by N. Mirotic,,59-87,,
10:30.0,Shooting foul by T. Waller-Prince (drawn by N. Mirotic),,59-87,,
10:30.0,N. Mirotic misses free throw 1 of 2,,59-87,,
10:30.0,Offensive rebound by Team,,59-87,,
10:30.0,N. Mirotic makes free throw 2 of 2,1,60-87,,
10:30.0,J. Grant enters the game for R. Rondo,,59-87,,
10:14.0,,,60-87,,G. Neal misses 2-pt shot from 14 ft
10:13.0,,,60-87,,Offensive rebound by K. Humphries
10:03.0,,,60-89,2,M. Delaney makes 2-pt shot from 2 ft
9:43.0,N. Mirotic makes 2-pt shot from 1 ft (assist by D. McDermott),2,62-89,,
9:21.0,,,62-89,,T. Waller-Prince misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by D. McDermott,,62-89,,
9:12.0,J. Grant misses 3-pt shot from 25 ft,,62-89,,
9:10.0,,,62-89,,Defensive rebound by M. Delaney
8:50.0,,,62-89,,M. Delaney misses 2-pt shot from 19 ft
8:49.0,Defensive rebound by B. Portis,,62-89,,
8:44.0,Shooting foul by K. Humphries (drawn by J. Grant),,62-89,,
8:44.0,Official timeout,,62-89,,
8:44.0,J. Grant makes free throw 1 of 2,1,63-89,,
8:44.0,J. Grant makes free throw 2 of 2,1,64-89,,
8:44.0,P. Zipser enters the game for D. McDermott,,62-89,,
8:44.0,,,62-89,,M. Scott enters the game for M. Delaney
8:44.0,,,62-89,,M. Dunleavy enters the game for K. Humphries
8:27.0,,,64-89,,M. Dunleavy misses 2-pt shot from 20 ft
8:26.0,Defensive rebound by D. Valentine,,64-89,,
8:10.0,D. Valentine makes 3-pt shot from 25 ft (assist by B. Portis),3,67-89,,
7:59.0,,,67-89,,G. Neal misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by B. Portis,,67-89,,
7:47.0,N. Mirotic misses 3-pt shot from 25 ft,,67-89,,
7:46.0,,,67-89,,Defensive rebound by M. Scott
7:38.0,,,67-91,2,D. Bembry makes 2-pt shot at rim (assist by M. Scott)
7:22.0,Turnover by J. Grant (bad pass; steal by M. Dunleavy),,67-91,,
7:22.0,Personal foul by B. Portis (drawn by M. Dunleavy),,67-91,,
7:08.0,,,67-91,,T. Waller-Prince misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by B. Portis,,67-91,,
6:59.0,,,67-91,,Personal foul by T. Waller-Prince (drawn by P. Zipser)
6:52.0,P. Zipser makes 3-pt shot from 25 ft (assist by N. Mirotic),3,70-91,,
6:35.0,,,70-91,,Turnover by M. Scott (bad pass; steal by D. Valentine)
6:24.0,Offensive foul by N. Mirotic,,70-91,,
6:24.0,Turnover by N. Mirotic (offensive foul),,70-91,,
6:24.0,,,70-91,,K. Humphries enters the game for G. Neal
6:10.0,,,70-91,,T. Waller-Prince misses 2-pt shot from 5 ft (block by D. Valentine)
6:10.0,Defensive rebound by Team,,70-91,,
6:00.0,,,70-91,,Personal foul by K. Humphries (drawn by D. Valentine)
5:54.0,Turnover by D. Valentine (bad pass; steal by M. Scott),,70-91,,
5:53.0,Personal foul by N. Mirotic (drawn by M. Scott),,70-91,,
5:53.0,,,70-91,,Atlanta full timeout
5:37.0,,,70-91,,D. Bembry misses 2-pt shot from 16 ft
5:36.0,Defensive rebound by N. Mirotic,,70-91,,
5:27.0,B. Portis makes 2-pt shot from 9 ft (assist by J. Grant),2,72-91,,
5:06.0,,,72-91,,D. Bembry misses 2-pt shot from 16 ft
5:04.0,,,72-91,,Offensive rebound by K. Humphries
5:04.0,,,72-91,,K. Humphries misses 2-pt shot at rim
5:03.0,Defensive rebound by D. Valentine,,72-91,,
4:58.0,J. Grant makes 2-pt shot from 18 ft,2,74-91,,
4:37.0,,,74-91,,T. Waller-Prince misses 2-pt shot from 21 ft
4:34.0,Defensive rebound by D. Valentine,,74-91,,
4:30.0,J. Grant makes 2-pt shot from 2 ft,2,76-91,,
4:30.0,Shooting foul by T. Waller-Prince (drawn by J. Grant),,76-91,,
4:30.0,J. Grant makes free throw 1 of 1,1,77-91,,
4:30.0,,,76-91,,M. Delaney enters the game for M. Dunleavy
4:30.0,,,76-91,,T. Hardaway enters the game for D. Bembry
4:15.0,,,77-93,2,T. Waller-Prince makes 2-pt shot from 3 ft (assist by K. Humphries)
4:03.0,Turnover by J. Grant (lost ball),,77-93,,
3:45.0,,,77-93,,K. Humphries misses 2-pt shot from 11 ft
3:41.0,,,77-93,,Offensive rebound by M. Delaney
3:27.0,,,77-93,,Turnover by T. Waller-Prince (lost ball; steal by J. Grant)
3:27.0,,,77-93,,Personal foul by T. Waller-Prince (drawn by J. Grant)
3:27.0,J. Grant makes free throw 1 of 2,1,78-93,,
3:27.0,J. Grant makes free throw 2 of 2,1,79-93,,
3:11.0,,,79-93,,T. Hardaway misses 2-pt shot from 9 ft
3:09.0,Defensive rebound by B. Portis,,79-93,,
2:57.0,J. Grant misses 2-pt shot from 19 ft,,79-93,,
2:57.0,Offensive rebound by Team,,79-93,,
2:57.0,,,79-93,,Loose ball foul by M. Scott (drawn by N. Mirotic)
2:57.0,Chicago full timeout,,79-93,,
2:57.0,N. Mirotic makes free throw 1 of 2,1,80-93,,
2:57.0,N. Mirotic makes free throw 2 of 2,1,81-93,,
2:57.0,,,79-93,,D. Bembry enters the game for T. Waller-Prince
