time,Philadelphia,pts.away,score,pts.home,Atlanta
11:11.0,,,27-25,,T. Sefolosha misses 2-pt shot from 1 ft
11:09.0,,,27-25,,Offensive rebound by M. Delaney
11:09.0,,,27-25,,M. Delaney misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by E. Ilyasova,,27-25,,
10:53.0,E. Ilyasova makes 2-pt shot at rim (assist by H. Thompson),2,29-25,,
10:30.0,,,29-27,2,K. Humphries makes 2-pt shot from 1 ft (assist by M. Delaney)
10:19.0,Offensive foul by E. Ilyasova,,29-27,,
10:19.0,Turnover by E. Ilyasova (offensive foul),,29-27,,
10:19.0,R. Covington enters the game for T. McConnell,,29-27,,
10:19.0,G. Henderson enters the game for N. Stauskas,,29-27,,
10:19.0,D. Saric enters the game for H. Thompson,,29-27,,
10:19.0,S. Rodriguez enters the game for E. Ilyasova,,29-27,,
10:03.0,,,29-29,2,K. Humphries makes 2-pt shot from 15 ft (assist by P. Millsap)
9:49.0,D. Saric misses 2-pt shot from 1 ft,,29-29,,
9:47.0,,,29-29,,Defensive rebound by K. Humphries
9:42.0,,,29-32,3,K. Korver makes 3-pt shot from 23 ft (assist by M. Delaney)
9:41.0,Philadelphia full timeout,,29-32,,
9:23.0,Turnover by D. Saric (bad pass; steal by T. Sefolosha),,29-32,,
9:23.0,Personal foul by R. Covington (drawn by T. Sefolosha),,29-32,,
9:07.0,,,29-34,2,P. Millsap makes 2-pt shot from 15 ft
8:47.0,G. Henderson misses 2-pt shot from 13 ft,,29-34,,
8:45.0,,,29-34,,Defensive rebound by T. Sefolosha
8:38.0,,,29-34,,M. Delaney misses 3-pt shot from 25 ft
8:36.0,,,29-34,,Offensive rebound by M. Delaney
8:26.0,,,29-36,2,M. Delaney makes 2-pt shot from 19 ft
8:26.0,,,29-36,,Shooting foul by R. Covington (drawn by M. Delaney)
8:26.0,,,29-37,1,M. Delaney makes free throw 1 of 1
8:16.0,R. Covington misses 3-pt shot from 25 ft,,29-37,,
8:14.0,,,29-37,,Defensive rebound by P. Millsap
8:11.0,,,29-37,,Turnover by P. Millsap (bad pass)
8:01.0,Shooting foul by T. Sefolosha (drawn by R. Holmes),,29-37,,
8:01.0,R. Holmes makes free throw 1 of 2,1,30-37,,
8:01.0,R. Holmes makes free throw 2 of 2,1,31-37,,
7:47.0,,,31-37,,P. Millsap misses 2-pt shot from 13 ft
7:44.0,Defensive rebound by D. Saric,,31-37,,
7:38.0,R. Covington misses 3-pt shot from 25 ft,,31-37,,
7:37.0,,,31-37,,Defensive rebound by K. Humphries
7:31.0,,,31-39,2,M. Delaney makes 2-pt shot from 19 ft
7:15.0,S. Rodriguez makes 2-pt shot from 6 ft,2,33-39,,
7:08.0,,,33-39,,M. Delaney misses 2-pt shot from 4 ft (block by R. Covington)
7:08.0,Defensive rebound by Team,,33-39,,
7:08.0,,,33-39,,K. Bazemore enters the game for P. Millsap
7:08.0,,,33-39,,M. Muscala enters the game for T. Sefolosha
7:08.0,J. Okafor enters the game for R. Holmes,,33-39,,
6:44.0,D. Saric makes 3-pt shot from 23 ft (assist by S. Rodriguez),3,36-39,,
6:20.0,,,36-39,,M. Muscala misses 2-pt shot from 6 ft
6:20.0,Defensive rebound by Team,,36-39,,
6:20.0,,,36-39,,Loose ball foul by M. Muscala (drawn by G. Henderson)
6:20.0,,,36-39,,D. Schroder enters the game for M. Delaney
6:20.0,,,36-39,,D. Howard enters the game for K. Humphries
6:00.0,J. Okafor misses 2-pt shot from 15 ft,,36-39,,
5:59.0,,,36-39,,Defensive rebound by M. Muscala
5:54.0,,,36-41,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Bazemore)
5:54.0,,,36-41,,Shooting foul by J. Okafor (drawn by D. Howard)
5:54.0,Official timeout,,36-41,,
5:54.0,,,36-41,,D. Howard misses free throw 1 of 1
5:54.0,E. Ilyasova enters the game for J. Okafor,,36-41,,
5:54.0,H. Thompson enters the game for G. Henderson,,36-41,,
5:52.0,Defensive rebound by S. Rodriguez,,36-41,,
5:40.0,S. Rodriguez makes 3-pt shot from 25 ft,3,39-41,,
5:25.0,,,39-43,2,M. Muscala makes 2-pt shot from 3 ft (assist by D. Schroder)
5:15.0,D. Saric misses 3-pt shot from 24 ft,,39-43,,
5:12.0,,,39-43,,Defensive rebound by K. Korver
5:06.0,,,39-43,,Turnover by D. Schroder (bad pass; steal by R. Covington)
4:57.0,Turnover by E. Ilyasova (lost ball; steal by K. Bazemore),,39-43,,
4:38.0,,,39-43,,K. Bazemore misses 2-pt shot from 1 ft
4:38.0,Defensive rebound by Team,,39-43,,
4:38.0,,,39-43,,Loose ball foul by D. Howard (drawn by E. Ilyasova)
4:38.0,N. Stauskas enters the game for R. Covington,,39-43,,
4:38.0,,,39-43,,T. Hardaway enters the game for K. Korver
4:24.0,Turnover by N. Stauskas (bad pass; steal by D. Howard),,39-43,,
4:20.0,,,39-45,2,K. Bazemore makes 2-pt shot at rim (assist by M. Muscala)
3:59.0,D. Saric misses 2-pt shot from 17 ft,,39-45,,
3:58.0,,,39-45,,Defensive rebound by T. Hardaway
3:53.0,,,39-45,,T. Hardaway misses 2-pt shot at rim
3:52.0,Defensive rebound by S. Rodriguez,,39-45,,
3:45.0,E. Ilyasova misses 2-pt shot from 3 ft (block by K. Bazemore),,39-45,,
3:43.0,,,39-45,,Defensive rebound by M. Muscala
3:40.0,,,39-47,2,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder)
3:16.0,S. Rodriguez makes 2-pt shot from 19 ft,2,41-47,,
3:08.0,,,41-49,2,K. Bazemore makes 2-pt shot at rim (assist by M. Muscala)
2:43.0,Turnover by D. Saric (3 sec),,41-49,,
2:43.0,,,41-49,,Atlanta full timeout
2:43.0,,,41-49,,P. Millsap enters the game for M. Muscala
2:43.0,R. Holmes enters the game for D. Saric,,41-49,,
2:33.0,,,41-51,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
2:20.0,N. Stauskas makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,44-51,,
2:11.0,Personal foul by S. Rodriguez (drawn by D. Schroder),,44-51,,
2:09.0,,,44-51,,D. Schroder misses 2-pt shot at rim (block by S. Rodriguez)
2:07.0,,,44-51,,Offensive rebound by D. Howard
1:59.0,,,44-51,,K. Bazemore misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by N. Stauskas,,44-51,,
1:49.0,R. Holmes makes 2-pt shot from 18 ft (assist by S. Rodriguez),2,46-51,,
1:33.0,,,46-54,3,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder)
1:17.0,E. Ilyasova misses 2-pt shot from 19 ft,,46-54,,
1:14.0,Offensive rebound by N. Stauskas,,46-54,,
1:00.0,N. Stauskas misses 3-pt shot from 23 ft,,46-54,,
0:59.0,,,46-54,,Defensive rebound by D. Schroder
0:53.0,,,46-54,,T. Hardaway misses 3-pt shot from 25 ft
0:51.0,,,46-54,,Offensive rebound by D. Howard
0:47.0,,,46-56,2,T. Hardaway makes 2-pt shot at rim (assist by D. Howard)
0:47.0,Philadelphia full timeout,,46-56,,
0:47.0,T. McConnell enters the game for S. Rodriguez,,46-56,,
0:31.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by R. Holmes),2,48-56,,
0:10.0,,,48-59,3,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap)
0:04.0,,,48-59,,Personal foul by D. Howard (drawn by H. Thompson)
0:04.0,,,48-59,,M. Muscala enters the game for D. Howard
0:02.0,R. Holmes misses 2-pt shot from 1 ft,,48-59,,
0:01.0,Offensive rebound by N. Stauskas,,48-59,,
0:01.0,N. Stauskas misses 3-pt shot from 23 ft,,48-59,,
0:00.0,Offensive rebound by Team,,48-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Okafor misses 2-pt shot from 1 ft (block by D. Schroder),,48-59,,
11:45.0,Offensive rebound by Team,,48-59,,
11:35.0,S. Rodriguez misses 2-pt shot from 13 ft,,48-59,,
11:35.0,Offensive rebound by G. Henderson,,48-59,,
11:35.0,,,48-59,,Personal foul by P. Millsap (drawn by G. Henderson)
11:35.0,G. Henderson misses free throw 1 of 2,,48-59,,
11:35.0,Offensive rebound by Team,,48-59,,
11:35.0,G. Henderson misses free throw 2 of 2,,48-59,,
11:34.0,Offensive rebound by Team,,48-59,,
11:12.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by G. Henderson),3,51-59,,
10:56.0,,,51-59,,D. Howard misses 2-pt shot at rim
10:54.0,,,51-59,,Offensive rebound by K. Bazemore
10:45.0,,,51-59,,P. Millsap misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by G. Henderson,,51-59,,
10:37.0,Turnover by D. Saric (bad pass; steal by K. Bazemore),,51-59,,
10:33.0,,,51-59,,Turnover by K. Bazemore (lost ball; steal by R. Covington)
10:33.0,Jump ball: K. Bazemore vs. R. Covington (S. Rodriguez gains possession),,,,Jump ball: K. Bazemore vs. R. Covington (S. Rodriguez gains possession)
10:24.0,D. Saric misses 2-pt shot from 1 ft,,51-59,,
10:22.0,,,51-59,,Defensive rebound by P. Millsap
10:14.0,,,51-59,,Turnover by D. Schroder (bad pass; steal by D. Saric)
10:07.0,G. Henderson misses 2-pt shot from 16 ft,,51-59,,
10:04.0,Offensive rebound by J. Okafor,,51-59,,
9:58.0,J. Okafor makes 2-pt shot from 1 ft,2,53-59,,
9:46.0,,,53-59,,K. Korver misses 2-pt shot from 18 ft
9:44.0,Defensive rebound by D. Saric,,53-59,,
9:35.0,,,53-59,,Shooting block foul by K. Korver (drawn by R. Covington)
9:35.0,R. Covington makes free throw 1 of 2,1,54-59,,
9:35.0,R. Covington makes free throw 2 of 2,1,55-59,,
9:23.0,,,55-61,2,D. Schroder makes 2-pt shot from 2 ft
9:05.0,Shooting foul by D. Howard (drawn by J. Okafor),,55-61,,
9:05.0,J. Okafor makes free throw 1 of 2,1,56-61,,
9:05.0,J. Okafor misses free throw 2 of 2,,56-61,,
9:04.0,,,56-61,,Defensive rebound by K. Bazemore
8:52.0,,,56-61,,P. Millsap misses 2-pt shot from 1 ft
8:50.0,Defensive rebound by G. Henderson,,56-61,,
8:45.0,R. Covington makes 3-pt shot from 24 ft (assist by G. Henderson),3,59-61,,
8:44.0,,,59-61,,Atlanta full timeout
8:33.0,,,59-63,2,K. Korver makes 2-pt shot from 20 ft (assist by D. Schroder)
8:16.0,D. Saric makes 2-pt shot from 22 ft,2,61-63,,
7:55.0,,,61-66,3,D. Schroder makes 3-pt shot from 25 ft
7:39.0,G. Henderson makes 2-pt shot from 1 ft (assist by D. Saric),2,63-66,,
7:31.0,,,63-68,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
7:02.0,J. Okafor misses 2-pt shot from 17 ft,,63-68,,
7:01.0,,,63-68,,Defensive rebound by D. Schroder
6:58.0,Personal foul by J. Okafor (drawn by D. Howard),,63-68,,
6:58.0,Technical foul by J. Okafor (drawn by D. Howard),,63-68,,
6:58.0,,,63-69,1,K. Korver makes technical free throw
6:58.0,R. Holmes enters the game for J. Okafor,,63-69,,
6:58.0,,,63-69,,M. Muscala enters the game for D. Howard
6:53.0,,,63-71,2,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder)
6:36.0,D. Saric misses 2-pt shot from 1 ft,,63-71,,
6:35.0,,,63-71,,Defensive rebound by P. Millsap
6:25.0,,,63-71,,K. Korver misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by D. Saric,,63-71,,
6:08.0,R. Holmes misses 2-pt shot from 17 ft,,63-71,,
6:06.0,,,63-71,,Defensive rebound by D. Schroder
5:59.0,,,63-71,,Turnover by P. Millsap (bad pass; steal by G. Henderson)
5:51.0,S. Rodriguez misses 2-pt shot from 9 ft,,63-71,,
5:49.0,Offensive rebound by R. Holmes,,63-71,,
5:49.0,R. Holmes makes 2-pt shot from 2 ft,2,65-71,,
5:39.0,,,65-71,,Shooting foul by R. Holmes (drawn by M. Muscala)
5:39.0,,,65-72,1,M. Muscala makes free throw 1 of 2
5:39.0,,,65-72,,M. Muscala misses free throw 2 of 2
5:39.0,T. McConnell enters the game for S. Rodriguez,,65-72,,
5:39.0,N. Stauskas enters the game for G. Henderson,,65-72,,
5:39.0,,,65-72,,D. Howard enters the game for P. Millsap
5:38.0,Defensive rebound by D. Saric,,65-72,,
5:24.0,R. Holmes misses 2-pt shot at rim (block by K. Bazemore),,65-72,,
5:24.0,Offensive rebound by Team,,65-72,,
5:24.0,E. Ilyasova enters the game for D. Saric,,65-72,,
5:17.0,R. Covington makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,68-72,,
5:02.0,,,68-74,2,K. Bazemore makes 2-pt shot at rim (assist by D. Howard)
4:51.0,,,68-74,,Violation by D. Schroder (kicked ball)
4:51.0,,,68-74,,T. Hardaway enters the game for K. Korver
4:37.0,Turnover by N. Stauskas (bad pass),,68-74,,
4:29.0,,,68-74,,Turnover by D. Schroder (bad pass; steal by R. Covington)
4:24.0,R. Covington makes 3-pt shot from 25 ft,3,71-74,,
4:04.0,,,71-76,2,D. Schroder makes 2-pt shot from 2 ft
4:04.0,,,71-76,,Shooting foul by E. Ilyasova (drawn by D. Schroder)
4:04.0,,,71-76,,D. Schroder misses free throw 1 of 1
4:04.0,,,71-76,,T. Sefolosha enters the game for T. Hardaway
4:01.0,Defensive rebound by R. Covington,,71-76,,
3:49.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Holmes),3,74-76,,
3:35.0,,,74-78,2,T. Sefolosha makes 2-pt shot from 15 ft
3:26.0,Turnover by R. Covington (traveling),,74-78,,
3:26.0,,,74-78,,M. Delaney enters the game for D. Schroder
3:10.0,,,74-78,,K. Bazemore misses 2-pt shot from 4 ft
3:09.0,Defensive rebound by R. Holmes,,74-78,,
3:06.0,,,74-78,,Personal foul by M. Muscala (drawn by E. Ilyasova)
2:49.0,E. Ilyasova misses 3-pt shot from 25 ft,,74-78,,
2:48.0,,,74-78,,Defensive rebound by M. Muscala
2:39.0,,,74-80,2,D. Howard makes 2-pt shot at rim (assist by M. Delaney)
2:38.0,Philadelphia full timeout,,74-80,,
2:38.0,,,74-80,,K. Korver enters the game for K. Bazemore
2:24.0,R. Covington misses 3-pt shot from 25 ft,,74-80,,
2:22.0,,,74-80,,Defensive rebound by M. Delaney
2:14.0,,,74-80,,M. Delaney misses 2-pt shot from 14 ft
2:13.0,Defensive rebound by R. Covington,,74-80,,
1:59.0,H. Thompson enters the game for R. Covington,,74-80,,
1:59.0,J. Okafor enters the game for R. Holmes,,74-80,,
1:55.0,Turnover by T. McConnell (traveling),,74-80,,
1:42.0,,,74-82,2,T. Sefolosha makes 2-pt shot at rim (assist by M. Delaney)
1:29.0,T. McConnell misses 2-pt shot from 3 ft,,74-82,,
1:27.0,,,74-82,,Defensive rebound by D. Howard
1:21.0,,,74-82,,K. Korver misses 3-pt shot from 26 ft
1:20.0,,,74-82,,Offensive rebound by Team
1:13.0,,,74-82,,T. Sefolosha misses 3-pt shot from 23 ft
1:10.0,,,74-82,,Offensive rebound by D. Howard
1:10.0,,,74-84,2,D. Howard makes 2-pt shot at rim
0:58.0,N. Stauskas makes 3-pt shot from 23 ft (assist by T. McConnell),3,77-84,,
0:52.0,,,77-84,,K. Korver misses 3-pt shot from 25 ft
0:51.0,,,77-84,,Offensive rebound by D. Howard
0:45.0,,,77-87,3,K. Korver makes 3-pt shot from 25 ft (assist by T. Sefolosha)
0:25.0,Shooting foul by D. Howard (drawn by J. Okafor),,77-87,,
0:25.0,J. Okafor makes free throw 1 of 2,1,78-87,,
0:25.0,J. Okafor misses free throw 2 of 2,,78-87,,
0:25.0,,,78-87,,K. Humphries enters the game for D. Howard
0:25.0,,,78-87,,P. Millsap enters the game for M. Muscala
0:24.0,,,78-87,,Defensive rebound by K. Humphries
0:02.0,,,78-87,,P. Millsap misses 2-pt shot from 13 ft
0:00.0,,,78-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,78-87,,Turnover by K. Korver (lost ball; steal by H. Thompson)
11:35.0,E. Ilyasova misses 2-pt shot from 3 ft (block by K. Humphries),,78-87,,
11:33.0,,,78-87,,Defensive rebound by K. Korver
11:14.0,,,78-87,,K. Humphries misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by H. Thompson,,78-87,,
10:51.0,Turnover by J. Okafor (lost ball; steal by K. Korver),,78-87,,
10:44.0,,,78-87,,K. Humphries misses 2-pt shot from 7 ft
10:44.0,,,78-87,,Offensive rebound by K. Humphries
10:44.0,Personal foul by N. Stauskas (drawn by K. Humphries),,78-87,,
10:34.0,,,78-89,2,M. Delaney makes 2-pt shot from 15 ft
10:17.0,Turnover by H. Thompson (offensive foul),,78-89,,
10:17.0,Offensive charge foul by H. Thompson,,78-89,,
10:17.0,D. Saric enters the game for E. Ilyasova,,78-89,,
10:08.0,Personal foul by T. McConnell (drawn by M. Delaney),,78-89,,
9:56.0,,,78-89,,T. Sefolosha misses 2-pt shot from 10 ft
9:53.0,Defensive rebound by J. Okafor,,78-89,,
9:47.0,Turnover by N. Stauskas (bad pass; steal by T. Sefolosha),,78-89,,
9:42.0,,,78-92,3,K. Korver makes 3-pt shot from 25 ft (assist by M. Delaney)
9:18.0,Shooting foul by K. Humphries (drawn by J. Okafor),,78-92,,
9:18.0,J. Okafor makes free throw 1 of 2,1,79-92,,
9:18.0,J. Okafor makes free throw 2 of 2,1,80-92,,
9:18.0,G. Henderson enters the game for H. Thompson,,79-92,,
9:07.0,,,80-92,,K. Korver misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by Team,,80-92,,
9:07.0,Philadelphia full timeout,,80-92,,
8:49.0,J. Okafor misses 2-pt shot from 5 ft,,80-92,,
8:47.0,Offensive rebound by J. Okafor,,80-92,,
8:46.0,J. Okafor makes 2-pt shot at rim,2,82-92,,
8:29.0,,,82-94,2,K. Korver makes 2-pt shot from 20 ft
8:15.0,J. Okafor makes 2-pt shot from 3 ft,2,84-94,,
8:06.0,,,84-94,,K. Korver misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by Team,,84-94,,
8:05.0,,,84-94,,D. Schroder enters the game for M. Delaney
8:05.0,,,84-94,,T. Hardaway enters the game for K. Korver
8:05.0,R. Covington enters the game for N. Stauskas,,84-94,,
7:40.0,R. Covington misses 3-pt shot from 25 ft,,84-94,,
7:38.0,,,84-94,,Defensive rebound by T. Sefolosha
7:33.0,,,84-94,,T. Hardaway misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by D. Saric,,84-94,,
7:16.0,D. Saric misses 3-pt shot from 24 ft,,84-94,,
7:14.0,,,84-94,,Defensive rebound by K. Humphries
7:05.0,,,84-97,3,T. Sefolosha makes 3-pt shot from 25 ft (assist by K. Humphries)
7:04.0,Philadelphia full timeout,,84-97,,
7:04.0,,,84-97,,K. Bazemore enters the game for P. Millsap
7:04.0,,,84-97,,M. Muscala enters the game for T. Sefolosha
7:04.0,S. Rodriguez enters the game for T. McConnell,,84-97,,
6:43.0,J. Okafor makes 2-pt shot from 6 ft,2,86-97,,
6:29.0,,,86-97,,M. Muscala misses 3-pt shot from 25 ft
6:27.0,,,86-97,,Offensive rebound by K. Humphries
6:23.0,,,86-100,3,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Muscala)
