time,New York,pts.away,score,pts.home,Detroit
7:41.0,,,8-14,2,I. Smith makes 2-pt shot from 18 ft
7:31.0,Shooting foul by T. Harris (drawn by K. Porzingis),,8-14,,
7:31.0,K. Porzingis makes free throw 1 of 2,1,9-14,,
7:31.0,K. Porzingis makes free throw 2 of 2,1,10-14,,
7:31.0,,,9-14,,J. Leuer enters the game for T. Harris
7:17.0,,,10-14,,K. Caldwell-Pope misses 2-pt shot from 18 ft
7:14.0,Defensive rebound by C. Anthony,,10-14,,
7:09.0,Shooting foul by M. Morris (drawn by C. Anthony),,10-14,,
7:09.0,C. Anthony misses free throw 1 of 2,,10-14,,
7:09.0,Offensive rebound by Team,,10-14,,
7:09.0,C. Anthony makes free throw 2 of 2,1,11-14,,
6:53.0,,,11-16,2,I. Smith makes 2-pt shot from 1 ft
6:40.0,C. Anthony misses 3-pt shot from 25 ft,,11-16,,
6:39.0,Offensive rebound by J. Noah,,11-16,,
6:23.0,C. Lee makes 3-pt shot from 25 ft (assist by K. Porzingis),3,14-16,,
6:01.0,,,14-18,2,M. Morris makes 2-pt shot from 14 ft
5:56.0,D. Rose makes 2-pt shot from 1 ft,2,16-18,,
5:56.0,Shooting foul by I. Smith (drawn by D. Rose),,16-18,,
5:56.0,,,16-18,,Detroit full timeout
5:56.0,D. Rose makes free throw 1 of 1,1,17-18,,
5:47.0,,,17-20,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by I. Smith)
5:26.0,C. Anthony makes 2-pt shot from 17 ft (assist by C. Lee),2,19-20,,
5:14.0,Personal foul by C. Anthony (drawn by M. Morris),,19-20,,
5:14.0,L. Thomas enters the game for K. Porzingis,,19-20,,
5:00.0,,,19-20,,I. Smith misses 2-pt shot at rim
5:00.0,,,19-20,,Offensive rebound by J. Leuer
4:57.0,,,19-22,2,J. Leuer makes 2-pt shot at rim
4:42.0,D. Rose makes 2-pt shot at rim,2,21-22,,
4:22.0,Personal foul by C. Lee (drawn by M. Morris),,21-22,,
4:22.0,K. O'Quinn enters the game for J. Noah,,21-22,,
4:22.0,J. Holiday enters the game for C. Lee,,21-22,,
4:07.0,,,21-22,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by D. Rose,,21-22,,
4:01.0,C. Anthony misses 2-pt shot from 20 ft,,21-22,,
4:00.0,,,21-22,,Defensive rebound by J. Leuer
3:55.0,,,21-25,3,M. Morris makes 3-pt shot from 26 ft (assist by I. Smith)
3:43.0,D. Rose makes 2-pt shot from 15 ft (assist by C. Anthony),2,23-25,,
3:26.0,,,23-28,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith)
3:09.0,D. Rose makes 2-pt shot from 18 ft,2,25-28,,
2:57.0,,,25-28,,I. Smith misses 2-pt shot from 6 ft (block by D. Rose)
2:57.0,,,25-28,,Offensive rebound by Team
2:57.0,New York full timeout,,25-28,,
2:57.0,,,25-28,,B. Udrih enters the game for A. Drummond
2:57.0,,,25-28,,A. Baynes enters the game for I. Smith
2:48.0,,,25-30,2,M. Morris makes 2-pt shot from 20 ft
2:25.0,Turnover by L. Thomas (bad pass),,25-30,,
2:25.0,,,25-30,,S. Johnson enters the game for K. Caldwell-Pope
2:09.0,,,25-30,,J. Leuer misses 2-pt shot from 19 ft
2:08.0,Defensive rebound by J. Holiday,,25-30,,
1:55.0,Shooting foul by A. Baynes (drawn by C. Anthony),,25-30,,
1:55.0,C. Anthony makes free throw 1 of 2,1,26-30,,
1:55.0,C. Anthony makes free throw 2 of 2,1,27-30,,
1:55.0,B. Jennings enters the game for D. Rose,,26-30,,
1:33.0,,,27-30,,M. Morris misses 2-pt shot from 6 ft
1:33.0,Defensive rebound by K. O'Quinn,,27-30,,
1:31.0,M. Ndour enters the game for C. Anthony,,27-30,,
1:20.0,M. Ndour makes 2-pt shot from 1 ft (assist by B. Jennings),2,29-30,,
1:08.0,,,29-30,,B. Udrih misses 2-pt shot from 14 ft
1:08.0,Defensive rebound by M. Ndour,,29-30,,
1:00.0,M. Ndour misses 2-pt shot from 3 ft (block by S. Johnson),,29-30,,
1:00.0,,,29-30,,Defensive rebound by M. Morris
0:50.0,,,29-30,,J. Leuer misses 2-pt shot from 5 ft (block by K. O'Quinn)
0:49.0,,,29-30,,Offensive rebound by Team
0:37.0,,,29-30,,S. Johnson misses 2-pt shot from 14 ft
0:37.0,Defensive rebound by L. Thomas,,29-30,,
0:30.0,J. Holiday misses 3-pt shot from 27 ft,,29-30,,
0:29.0,,,29-30,,Defensive rebound by B. Udrih
0:19.0,,,29-30,,M. Morris misses 2-pt shot from 15 ft
0:18.0,,,29-30,,Offensive rebound by J. Leuer
0:00.0,,,29-32,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,L. Thomas misses 2-pt shot from 8 ft,,29-32,,
11:44.0,,,29-32,,Defensive rebound by J. Leuer
11:37.0,,,29-32,,B. Udrih misses 2-pt shot from 9 ft
11:37.0,Defensive rebound by K. O'Quinn,,29-32,,
11:24.0,Turnover by K. O'Quinn (lost ball; steal by J. Leuer),,29-32,,
11:17.0,,,29-32,,B. Udrih misses 2-pt shot from 1 ft (block by J. Holiday)
11:16.0,Defensive rebound by J. Holiday,,29-32,,
11:10.0,B. Jennings makes 3-pt shot from 26 ft,3,32-32,,
11:00.0,Personal foul by M. Ndour (drawn by T. Harris),,32-32,,
10:47.0,,,32-32,,Shooting foul by K. O'Quinn (drawn by T. Harris)
10:47.0,,,32-33,1,T. Harris makes free throw 1 of 2
10:47.0,,,32-34,1,T. Harris makes free throw 2 of 2
10:33.0,K. O'Quinn misses 2-pt shot from 12 ft,,32-34,,
10:33.0,,,32-34,,Defensive rebound by T. Harris
10:26.0,,,32-34,,B. Udrih misses 2-pt shot from 2 ft (block by K. O'Quinn)
10:25.0,Defensive rebound by J. Holiday,,32-34,,
10:20.0,B. Jennings misses 3-pt shot from 27 ft,,32-34,,
10:17.0,,,32-34,,Defensive rebound by J. Leuer
10:13.0,Personal foul by J. Holiday (drawn by S. Johnson),,32-34,,
10:13.0,,,32-34,,A. Drummond enters the game for A. Baynes
10:04.0,,,32-36,2,B. Udrih makes 2-pt shot from 7 ft
9:58.0,B. Jennings misses 2-pt shot from 1 ft,,32-36,,
9:58.0,,,32-36,,Defensive rebound by A. Drummond
9:40.0,,,32-36,,S. Johnson misses 2-pt shot from 4 ft
9:40.0,Defensive rebound by Team,,32-36,,
9:40.0,S. Vujacic enters the game for J. Holiday,,32-36,,
9:40.0,Jump ball: S. Johnson vs. K. O'Quinn (S. Vujacic gains possession),,,,Jump ball: S. Johnson vs. K. O'Quinn (S. Vujacic gains possession)
9:18.0,L. Thomas misses 2-pt shot from 6 ft,,32-36,,
9:17.0,,,32-36,,Defensive rebound by Team
8:58.0,,,32-36,,T. Harris misses 2-pt shot from 12 ft
8:58.0,,,32-36,,Offensive rebound by A. Drummond
8:58.0,,,32-36,,Shooting foul by K. O'Quinn (drawn by A. Drummond)
8:58.0,Official timeout,,32-36,,
8:58.0,,,32-36,,A. Drummond misses free throw 1 of 2
8:58.0,,,32-36,,Offensive rebound by Team
8:58.0,,,32-36,,A. Drummond misses free throw 2 of 2
8:58.0,K. Porzingis enters the game for K. O'Quinn,,32-36,,
8:57.0,Defensive rebound by M. Ndour,,32-36,,
8:35.0,K. Porzingis misses 2-pt shot from 8 ft,,32-36,,
8:33.0,,,32-36,,Defensive rebound by S. Johnson
8:31.0,,,32-36,,Turnover by S. Johnson (lost ball; steal by M. Ndour)
8:31.0,Shooting foul by B. Udrih (drawn by M. Ndour),,32-36,,
8:31.0,M. Ndour makes free throw 1 of 2,1,33-36,,
8:31.0,M. Ndour misses free throw 2 of 2,,33-36,,
8:30.0,,,33-36,,Defensive rebound by T. Harris
8:05.0,,,33-38,2,A. Drummond makes 2-pt shot from 5 ft
7:53.0,K. Porzingis misses 3-pt shot from 27 ft,,33-38,,
7:52.0,,,33-38,,Defensive rebound by A. Drummond
7:46.0,,,33-40,2,J. Leuer makes 2-pt shot from 1 ft (assist by T. Harris)
7:35.0,Shooting foul by B. Udrih (drawn by B. Jennings),,33-40,,
7:35.0,B. Jennings makes 2-pt shot from 7 ft,2,35-40,,
7:35.0,B. Jennings misses free throw 1 of 1,,35-40,,
7:35.0,,,35-40,,I. Smith enters the game for B. Udrih
7:35.0,J. Noah enters the game for M. Ndour,,35-40,,
7:34.0,,,35-40,,Defensive rebound by A. Drummond
7:14.0,,,35-40,,I. Smith misses 2-pt shot from 19 ft
7:14.0,Defensive rebound by S. Vujacic,,35-40,,
7:04.0,S. Vujacic makes 2-pt shot from 19 ft (assist by J. Noah),2,37-40,,
6:50.0,,,37-42,2,I. Smith makes 2-pt shot from 6 ft
6:42.0,K. Porzingis makes 2-pt shot from 1 ft (assist by B. Jennings),2,39-42,,
6:37.0,,,39-42,,Detroit full timeout
6:37.0,,,39-42,,K. Caldwell-Pope enters the game for S. Johnson
6:25.0,,,39-44,2,T. Harris makes 2-pt shot from 6 ft
6:08.0,K. Porzingis misses 3-pt shot from 27 ft,,39-44,,
6:08.0,,,39-44,,Defensive rebound by A. Drummond
5:58.0,,,39-44,,T. Harris misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by S. Vujacic,,39-44,,
5:51.0,B. Jennings makes 2-pt shot from 1 ft (assist by S. Vujacic),2,41-44,,
5:35.0,,,41-46,2,J. Leuer makes 2-pt shot at rim (assist by T. Harris)
5:21.0,S. Vujacic misses 2-pt shot from 16 ft,,41-46,,
5:20.0,,,41-46,,Defensive rebound by A. Drummond
5:10.0,,,41-48,2,A. Drummond makes 2-pt shot from 7 ft (assist by I. Smith)
4:53.0,Turnover by L. Thomas (bad pass),,41-48,,
4:53.0,,,41-48,,M. Morris enters the game for J. Leuer
4:53.0,C. Anthony enters the game for L. Thomas,,41-48,,
4:53.0,D. Rose enters the game for S. Vujacic,,41-48,,
4:38.0,,,41-50,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
4:21.0,K. Porzingis makes 2-pt shot from 8 ft (assist by J. Noah),2,43-50,,
3:59.0,,,43-52,2,M. Morris makes 2-pt shot from 19 ft
3:46.0,B. Jennings makes 3-pt shot from 23 ft (assist by J. Noah),3,46-52,,
3:36.0,,,46-52,,Shooting foul by K. Porzingis (drawn by T. Harris)
3:36.0,,,46-52,,T. Harris misses free throw 1 of 2
3:36.0,,,46-52,,Offensive rebound by Team
3:36.0,,,46-53,1,T. Harris makes free throw 2 of 2
3:21.0,Shooting foul by M. Morris (drawn by C. Anthony),,46-53,,
3:21.0,C. Anthony makes free throw 1 of 2,1,47-53,,
3:21.0,C. Anthony makes free throw 2 of 2,1,48-53,,
3:05.0,,,48-55,2,K. Caldwell-Pope makes 2-pt shot from 5 ft (assist by T. Harris)
2:57.0,B. Jennings misses 3-pt shot from 26 ft,,48-55,,
2:56.0,Offensive rebound by J. Noah,,48-55,,
2:42.0,D. Rose makes 2-pt shot from 8 ft,2,50-55,,
2:25.0,,,50-57,2,M. Morris makes 2-pt shot from 1 ft
2:13.0,C. Anthony misses 3-pt shot from 24 ft,,50-57,,
2:12.0,,,50-57,,Defensive rebound by K. Caldwell-Pope
2:06.0,,,50-60,3,M. Morris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
2:06.0,New York full timeout,,50-60,,
2:06.0,,,50-60,,J. Leuer enters the game for T. Harris
2:06.0,,,50-60,,S. Johnson enters the game for M. Morris
2:06.0,C. Lee enters the game for B. Jennings,,50-60,,
1:50.0,K. Porzingis misses 2-pt shot from 14 ft,,50-60,,
1:50.0,,,50-60,,Defensive rebound by K. Caldwell-Pope
1:40.0,,,50-63,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith)
1:21.0,D. Rose misses 2-pt shot from 8 ft,,50-63,,
1:21.0,Offensive rebound by J. Noah,,50-63,,
1:19.0,,,50-63,,Personal foul by I. Smith (drawn by J. Noah)
1:19.0,L. Thomas enters the game for K. Porzingis,,50-63,,
1:19.0,,,50-63,,B. Udrih enters the game for I. Smith
1:09.0,C. Lee makes 2-pt shot from 17 ft (assist by J. Noah),2,52-63,,
0:48.0,,,52-63,,A. Drummond misses 2-pt shot from 7 ft
0:47.0,,,52-63,,Offensive rebound by S. Johnson
0:45.0,,,52-63,,S. Johnson misses 2-pt shot from 2 ft
0:43.0,,,52-63,,Offensive rebound by S. Johnson
0:42.0,,,52-63,,Shooting foul by C. Anthony (drawn by S. Johnson)
0:42.0,,,52-63,,S. Johnson misses free throw 1 of 2
0:42.0,,,52-63,,Offensive rebound by Team
0:42.0,,,52-64,1,S. Johnson makes free throw 2 of 2
0:25.0,C. Anthony makes 2-pt shot from 13 ft,2,54-64,,
0:25.0,Shooting foul by S. Johnson (drawn by C. Anthony),,54-64,,
0:25.0,C. Anthony makes free throw 1 of 1,1,55-64,,
0:02.0,,,55-64,,B. Udrih misses 2-pt shot from 13 ft
0:00.0,,,55-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by C. Anthony (bad pass; steal by A. Drummond),,55-64,,
11:30.0,,,55-67,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by A. Drummond)
11:06.0,Turnover by Team (shot clock),,55-67,,
10:44.0,,,55-67,,A. Drummond misses 2-pt shot from 6 ft
10:42.0,Defensive rebound by J. Noah,,55-67,,
10:36.0,K. Porzingis misses 3-pt shot from 26 ft,,55-67,,
10:35.0,,,55-67,,Defensive rebound by T. Harris
10:30.0,Personal foul by K. Porzingis (drawn by T. Harris),,55-67,,
10:18.0,,,55-67,,T. Harris misses 2-pt shot from 17 ft
10:17.0,Defensive rebound by J. Noah,,55-67,,
10:01.0,Turnover by J. Noah (bad pass; steal by A. Drummond),,55-67,,
9:53.0,,,55-67,,K. Caldwell-Pope misses 2-pt shot from 3 ft
9:53.0,Defensive rebound by K. Porzingis,,55-67,,
9:52.0,C. Lee misses 3-pt shot from 25 ft,,55-67,,
9:51.0,,,55-67,,Defensive rebound by T. Harris
9:45.0,,,55-67,,I. Smith misses 2-pt shot from 4 ft
9:44.0,Defensive rebound by J. Noah,,55-67,,
9:35.0,K. Porzingis makes 2-pt shot from 1 ft (assist by D. Rose),2,57-67,,
9:14.0,,,57-67,,M. Morris misses 2-pt shot from 19 ft
9:13.0,Defensive rebound by J. Noah,,57-67,,
9:04.0,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Lee),3,60-67,,
8:46.0,,,60-67,,Shooting foul by J. Noah (drawn by T. Harris)
8:46.0,,,60-68,1,T. Harris makes free throw 1 of 2
8:46.0,,,60-69,1,T. Harris makes free throw 2 of 2
8:31.0,D. Rose misses 3-pt shot from 27 ft,,60-69,,
8:30.0,,,60-69,,Defensive rebound by M. Morris
8:24.0,,,60-69,,Turnover by K. Caldwell-Pope (bad pass; steal by C. Anthony)
8:13.0,C. Anthony makes 3-pt shot from 26 ft (assist by D. Rose),3,63-69,,
7:54.0,,,63-69,,A. Drummond misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by C. Lee,,63-69,,
7:47.0,Turnover by D. Rose (bad pass; steal by I. Smith),,63-69,,
7:40.0,,,63-69,,M. Morris misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by D. Rose,,63-69,,
7:30.0,D. Rose misses 2-pt shot from 1 ft,,63-69,,
7:29.0,,,63-69,,Defensive rebound by I. Smith
7:26.0,,,63-71,2,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith)
7:26.0,,,63-71,,Shooting foul by J. Noah (drawn by T. Harris)
7:26.0,,,63-72,1,T. Harris makes free throw 1 of 1
7:05.0,J. Noah misses 2-pt shot from 1 ft,,63-72,,
7:04.0,Offensive rebound by K. Porzingis,,63-72,,
7:00.0,K. Porzingis misses 2-pt shot from 1 ft,,63-72,,
7:00.0,,,63-72,,Defensive rebound by K. Caldwell-Pope
6:46.0,,,63-72,,A. Drummond misses 2-pt shot from 5 ft (block by J. Noah)
6:45.0,,,63-72,,Offensive rebound by M. Morris
6:40.0,,,63-74,2,M. Morris makes 2-pt shot at rim
6:26.0,K. Porzingis makes 2-pt shot from 9 ft (assist by J. Noah),2,65-74,,
6:08.0,,,65-76,2,T. Harris makes 2-pt shot at rim
5:47.0,C. Anthony makes 3-pt shot from 26 ft,3,68-76,,
5:33.0,,,68-76,,I. Smith misses 2-pt shot from 6 ft
5:33.0,Defensive rebound by K. Porzingis,,68-76,,
5:24.0,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Noah),3,71-76,,
5:24.0,,,71-76,,Detroit full timeout
5:24.0,,,71-76,,J. Leuer enters the game for T. Harris
5:04.0,,,71-76,,Turnover by A. Drummond (lost ball; steal by C. Anthony)
4:43.0,Turnover by D. Rose (bad pass),,71-76,,
4:25.0,,,71-78,2,M. Morris makes 2-pt shot from 9 ft
4:09.0,Shooting foul by A. Drummond (drawn by D. Rose),,71-78,,
4:09.0,D. Rose makes free throw 1 of 2,1,72-78,,
4:09.0,D. Rose makes free throw 2 of 2,1,73-78,,
4:09.0,,,72-78,,A. Baynes enters the game for A. Drummond
4:09.0,W. Hernangomez enters the game for J. Noah,,72-78,,
4:09.0,L. Thomas enters the game for C. Anthony,,72-78,,
3:53.0,,,73-78,,Shooting foul by L. Thomas (drawn by M. Morris)
3:53.0,,,73-78,,M. Morris misses free throw 1 of 2
3:53.0,,,73-78,,Offensive rebound by Team
3:53.0,,,73-78,,M. Morris misses free throw 2 of 2
3:53.0,,,73-78,,Offensive rebound by A. Baynes
3:53.0,,,73-78,,A. Baynes misses 2-pt shot from 1 ft
3:52.0,Defensive rebound by K. Porzingis,,73-78,,
3:34.0,D. Rose misses 2-pt shot from 5 ft,,73-78,,
3:33.0,,,73-78,,Defensive rebound by A. Baynes
3:32.0,,,73-78,,Turnover by A. Baynes (bad pass; steal by W. Hernangomez)
3:28.0,D. Rose misses 2-pt shot from 1 ft,,73-78,,
3:27.0,Offensive rebound by D. Rose,,73-78,,
3:24.0,D. Rose makes 2-pt shot from 1 ft,2,75-78,,
3:10.0,,,75-80,2,I. Smith makes 2-pt shot from 7 ft
2:56.0,C. Lee misses 2-pt shot from 5 ft,,75-80,,
2:55.0,Offensive rebound by K. Porzingis,,75-80,,
2:52.0,K. Porzingis makes 2-pt shot from 1 ft,2,77-80,,
2:48.0,,,77-80,,Detroit full timeout
2:48.0,New York full timeout,,77-80,,
2:48.0,,,77-80,,T. Harris enters the game for M. Morris
2:48.0,,,77-80,,S. Johnson enters the game for K. Caldwell-Pope
2:48.0,,,77-80,,B. Udrih enters the game for I. Smith
2:35.0,,,77-82,2,T. Harris makes 2-pt shot from 1 ft
2:23.0,K. Porzingis misses 2-pt shot from 3 ft (block by A. Baynes),,77-82,,
2:23.0,Offensive rebound by Team,,77-82,,
2:23.0,B. Jennings enters the game for D. Rose,,77-82,,
2:23.0,Jump ball: A. Baynes vs. K. Porzingis (B. Jennings gains possession),,,,Jump ball: A. Baynes vs. K. Porzingis (B. Jennings gains possession)
2:16.0,B. Jennings misses 2-pt shot from 2 ft,,77-82,,
2:16.0,,,77-82,,Defensive rebound by A. Baynes
2:05.0,,,77-84,2,B. Udrih makes 2-pt shot from 9 ft
1:48.0,L. Thomas makes 2-pt shot from 20 ft (assist by B. Jennings),2,79-84,,
1:29.0,,,79-84,,J. Leuer misses 3-pt shot from 23 ft (block by K. Porzingis)
1:28.0,Defensive rebound by B. Jennings,,79-84,,
1:21.0,K. Porzingis misses 2-pt shot from 14 ft,,79-84,,
1:21.0,,,79-84,,Defensive rebound by S. Johnson
1:07.0,,,79-84,,S. Johnson misses 2-pt shot from 8 ft
1:06.0,,,79-84,,Offensive rebound by J. Leuer
1:03.0,,,79-86,2,J. Leuer makes 2-pt shot at rim
0:48.0,Turnover by C. Lee (lost ball; steal by S. Johnson),,79-86,,
0:22.0,,,79-86,,J. Leuer misses 2-pt shot from 9 ft
0:21.0,Defensive rebound by L. Thomas,,79-86,,
0:01.0,C. Lee misses 2-pt shot from 15 ft,,79-86,,
0:00.0,Offensive rebound by Team,,79-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,79-86,,B. Udrih misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by W. Hernangomez,,79-86,,
11:27.0,,,79-86,,Personal foul by J. Leuer (drawn by C. Anthony)
11:24.0,Offensive foul by W. Hernangomez,,79-86,,
11:24.0,Turnover by W. Hernangomez (offensive foul),,79-86,,
11:06.0,,,79-86,,Turnover by T. Harris (bad pass)
11:06.0,K. O'Quinn enters the game for W. Hernangomez,,79-86,,
10:56.0,C. Anthony misses 2-pt shot from 13 ft (block by J. Leuer),,79-86,,
10:52.0,,,79-86,,Defensive rebound by S. Johnson
10:42.0,,,79-88,2,B. Udrih makes 2-pt shot from 15 ft
10:30.0,C. Anthony makes 2-pt shot from 9 ft,2,81-88,,
10:13.0,,,81-88,,Turnover by B. Udrih (traveling)
9:50.0,B. Jennings makes 2-pt shot from 16 ft,2,83-88,,
9:39.0,Personal foul by K. O'Quinn (drawn by A. Baynes),,83-88,,
9:30.0,,,83-91,3,T. Harris makes 3-pt shot from 26 ft (assist by B. Udrih)
9:14.0,C. Anthony misses 2-pt shot from 15 ft,,83-91,,
9:13.0,,,83-91,,Defensive rebound by T. Harris
9:08.0,,,83-91,,Turnover by B. Udrih (bad pass; steal by C. Anthony)
8:57.0,L. Thomas misses 2-pt shot from 21 ft,,83-91,,
8:56.0,,,83-91,,Defensive rebound by T. Harris
8:47.0,,,83-91,,J. Leuer misses 2-pt shot from 19 ft (block by K. O'Quinn)
8:45.0,Defensive rebound by C. Anthony,,83-91,,
8:38.0,C. Anthony misses 2-pt shot at rim,,83-91,,
8:38.0,,,83-91,,Defensive rebound by A. Baynes
8:17.0,,,83-91,,A. Baynes misses 2-pt shot from 5 ft (block by K. O'Quinn)
8:16.0,Defensive rebound by B. Jennings,,83-91,,
8:11.0,C. Anthony misses 3-pt shot from 26 ft,,83-91,,
8:11.0,,,83-91,,Defensive rebound by Team
8:11.0,Official timeout,,83-91,,
8:11.0,,,83-91,,K. Caldwell-Pope enters the game for J. Leuer
8:11.0,,,83-91,,A. Drummond enters the game for A. Baynes
8:11.0,,,83-91,,M. Morris enters the game for S. Johnson
7:56.0,,,83-91,,K. Caldwell-Pope misses 3-pt shot from 27 ft
7:56.0,,,83-91,,Offensive rebound by Team
7:40.0,,,83-91,,T. Harris misses 2-pt shot from 17 ft
7:40.0,,,83-91,,Offensive rebound by Team
7:40.0,Loose ball foul by K. O'Quinn (drawn by A. Drummond),,83-91,,
7:40.0,J. Noah enters the game for K. O'Quinn,,83-91,,
7:24.0,,,83-93,2,T. Harris makes 2-pt shot from 10 ft
7:07.0,B. Jennings misses 2-pt shot from 2 ft,,83-93,,
7:06.0,Offensive rebound by J. Noah,,83-93,,
7:06.0,,,83-93,,Personal foul by B. Udrih
7:06.0,,,83-93,,I. Smith enters the game for B. Udrih
7:06.0,D. Rose enters the game for J. Holiday,,83-93,,
7:06.0,C. Lee enters the game for B. Jennings,,83-93,,
6:59.0,C. Anthony makes 2-pt shot from 2 ft (assist by J. Noah),2,85-93,,
6:36.0,,,85-93,,Shooting foul by J. Noah (drawn by A. Drummond)
6:36.0,,,85-93,,A. Drummond misses free throw 1 of 2
6:36.0,,,85-93,,Offensive rebound by Team
6:36.0,,,85-94,1,A. Drummond makes free throw 2 of 2
6:11.0,L. Thomas misses 2-pt shot from 23 ft,,85-94,,
6:10.0,Offensive rebound by J. Noah,,85-94,,
6:07.0,J. Noah makes 2-pt shot from 1 ft,2,87-94,,
5:48.0,,,87-94,,A. Drummond misses 2-pt shot from 7 ft
5:48.0,Defensive rebound by L. Thomas,,87-94,,
5:40.0,D. Rose makes 2-pt shot from 8 ft,2,89-94,,
5:30.0,,,89-94,,Offensive charge foul by I. Smith
5:30.0,,,89-94,,Turnover by I. Smith (offensive foul)
5:30.0,,,89-94,,Detroit full timeout
5:09.0,D. Rose misses 2-pt shot from 12 ft,,89-94,,
5:09.0,,,89-94,,Defensive rebound by Team
4:51.0,,,89-94,,I. Smith misses 2-pt shot from 19 ft
4:51.0,Defensive rebound by L. Thomas,,89-94,,
4:37.0,Turnover by C. Anthony (lost ball; steal by M. Morris),,89-94,,
4:14.0,,,89-94,,Turnover by T. Harris (lost ball; steal by C. Anthony)
4:14.0,,,89-94,,Loose ball foul by M. Morris
3:55.0,C. Anthony misses 2-pt shot from 10 ft,,89-94,,
3:54.0,,,89-94,,Defensive rebound by A. Drummond
3:42.0,,,89-94,,A. Drummond misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by D. Rose,,89-94,,
3:31.0,L. Thomas misses 2-pt shot from 19 ft,,89-94,,
3:31.0,,,89-94,,Defensive rebound by M. Morris
3:22.0,,,89-94,,Shooting foul by L. Thomas (drawn by M. Morris)
3:22.0,,,89-95,1,M. Morris makes free throw 1 of 2
3:22.0,,,89-96,1,M. Morris makes free throw 2 of 2
3:22.0,New York full timeout,,89-96,,
3:22.0,K. Porzingis enters the game for L. Thomas,,89-95,,
