time,Memphis,pts.away,score,pts.home,Milwaukee
5:06.0,Defensive rebound by J. Ennis,,11-15,,
4:44.0,M. Conley misses 2-pt shot from 9 ft,,11-15,,
4:43.0,,,11-15,,Defensive rebound by M. Beasley
4:32.0,,,11-15,,Turnover by G. Monroe (bad pass; steal by M. Conley)
4:31.0,Shooting foul by M. Beasley (drawn by J. Martin),,11-15,,
4:31.0,J. Martin makes free throw 1 of 2,1,12-15,,
4:31.0,J. Martin makes free throw 2 of 2,1,13-15,,
4:31.0,,,12-15,,M. Brogdon enters the game for M. Dellavedova
4:31.0,Z. Randolph enters the game for M. Gasol,,12-15,,
4:31.0,A. Harrison enters the game for M. Conley,,12-15,,
4:19.0,,,13-17,2,G. Monroe makes 2-pt shot from 2 ft
4:03.0,Turnover by J. Martin (lost ball; steal by M. Beasley),,13-17,,
3:56.0,,,13-20,3,T. Snell makes 3-pt shot from 25 ft (assist by M. Beasley)
3:40.0,Z. Randolph misses 2-pt shot from 2 ft,,13-20,,
3:38.0,,,13-20,,Defensive rebound by G. Monroe
3:24.0,,,13-20,,T. Snell misses 3-pt shot from 25 ft
3:23.0,,,13-20,,Offensive rebound by M. Beasley
3:23.0,,,13-20,,Shooting foul by J. Ennis (drawn by M. Beasley)
3:23.0,,,13-21,1,M. Beasley makes free throw 1 of 2
3:23.0,,,13-22,1,M. Beasley makes free throw 2 of 2
3:23.0,,,13-21,,G. Antetokounmpo enters the game for J. Parker
3:18.0,Memphis full timeout,,13-22,,
3:18.0,,,13-22,,J. Terry enters the game for T. Snell
3:18.0,W. Baldwin enters the game for J. Ennis,,13-22,,
3:01.0,A. Harrison misses 2-pt shot from 17 ft,,13-22,,
2:58.0,,,13-22,,Defensive rebound by M. Beasley
2:56.0,,,13-22,,Turnover by M. Beasley (bad pass; steal by Z. Randolph)
2:44.0,,,13-22,,Personal foul by G. Monroe (drawn by Z. Randolph)
2:28.0,J. Martin makes 2-pt shot from 1 ft (assist by Z. Randolph),2,15-22,,
2:00.0,,,15-22,,M. Brogdon misses 2-pt shot from 5 ft (block by A. Harrison)
2:00.0,,,15-22,,Offensive rebound by M. Brogdon
2:00.0,,,15-22,,Turnover by Team (shot clock)
1:44.0,A. Harrison misses 3-pt shot from 27 ft,,15-22,,
1:43.0,,,15-22,,Defensive rebound by G. Monroe
1:27.0,,,15-24,2,G. Antetokounmpo makes 2-pt shot from 1 ft
1:02.0,Z. Randolph makes 2-pt shot from 16 ft,2,17-24,,
0:43.0,,,17-24,,M. Beasley misses 2-pt shot from 15 ft
0:41.0,Defensive rebound by Z. Randolph,,17-24,,
0:31.0,W. Baldwin makes 2-pt shot at rim,2,19-24,,
0:15.0,,,19-24,,G. Antetokounmpo misses 3-pt shot from 28 ft
0:14.0,Defensive rebound by J. Martin,,19-24,,
0:00.0,Z. Randolph misses 3-pt shot from 25 ft,,19-24,,
0:00.0,Offensive rebound by Team,,19-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,V. Carter makes 2-pt shot from 1 ft (assist by W. Baldwin),2,21-24,,
11:19.0,,,21-24,,G. Monroe misses 2-pt shot from 2 ft (block by J. Martin)
11:17.0,,,21-24,,Offensive rebound by G. Monroe
11:13.0,,,21-24,,J. Terry misses 2-pt shot from 20 ft
11:12.0,Defensive rebound by J. Martin,,21-24,,
10:59.0,V. Carter makes 2-pt shot at rim,2,23-24,,
10:55.0,,,23-24,,Milwaukee full timeout
10:55.0,,,23-24,,M. Plumlee enters the game for G. Monroe
10:43.0,Jump ball: G. Antetokounmpo vs. A. Harrison (M. Plumlee gains possession),,,,Jump ball: G. Antetokounmpo vs. A. Harrison (M. Plumlee gains possession)
10:37.0,,,23-24,,M. Brogdon misses 3-pt shot from 28 ft
10:36.0,Defensive rebound by W. Baldwin,,23-24,,
10:23.0,V. Carter misses 3-pt shot from 24 ft,,23-24,,
10:23.0,,,23-24,,Defensive rebound by Team
10:13.0,,,23-24,,Turnover by G. Antetokounmpo (bad pass; steal by Z. Randolph)
10:10.0,Z. Randolph misses 2-pt shot at rim (block by G. Antetokounmpo),,23-24,,
10:10.0,Offensive rebound by Team,,23-24,,
10:04.0,Offensive foul by A. Harrison,,23-24,,
10:04.0,Turnover by A. Harrison (offensive foul),,23-24,,
10:04.0,C. Parsons enters the game for A. Harrison,,23-24,,
9:47.0,,,23-27,3,J. Terry makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
9:32.0,Z. Randolph makes 2-pt shot at rim,2,25-27,,
9:20.0,,,25-27,,M. Brogdon misses 2-pt shot from 12 ft
9:18.0,Defensive rebound by Z. Randolph,,25-27,,
9:07.0,Z. Randolph misses 2-pt shot from 3 ft,,25-27,,
9:07.0,Offensive rebound by Team,,25-27,,
8:58.0,C. Parsons misses 2-pt shot from 15 ft,,25-27,,
8:57.0,,,25-27,,Defensive rebound by M. Plumlee
8:41.0,,,25-27,,G. Antetokounmpo misses 2-pt shot from 6 ft
8:40.0,Defensive rebound by J. Martin,,25-27,,
8:29.0,Z. Randolph misses 2-pt shot from 1 ft,,25-27,,
8:28.0,Offensive rebound by Team,,25-27,,
8:08.0,W. Baldwin misses 3-pt shot from 26 ft,,25-27,,
8:07.0,,,25-27,,Defensive rebound by Team
7:50.0,,,25-29,2,M. Brogdon makes 2-pt shot at rim (assist by M. Plumlee)
7:32.0,V. Carter makes 2-pt shot from 1 ft,2,27-29,,
7:25.0,,,27-29,,M. Brogdon misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by Z. Randolph,,27-29,,
7:16.0,C. Parsons misses 3-pt shot from 26 ft,,27-29,,
7:14.0,,,27-29,,Defensive rebound by M. Teletovic
7:06.0,,,27-29,,G. Antetokounmpo misses 2-pt shot from 9 ft
7:06.0,Defensive rebound by Team,,27-29,,
7:06.0,,,27-29,,Loose ball foul by M. Plumlee (drawn by Z. Randolph)
7:06.0,M. Gasol enters the game for J. Martin,,27-29,,
7:06.0,,,27-29,,M. Dellavedova enters the game for M. Brogdon
7:06.0,,,27-29,,J. Parker enters the game for M. Teletovic
7:06.0,J. Green enters the game for Z. Randolph,,27-29,,
6:53.0,Turnover by C. Parsons (bad pass; steal by J. Terry),,27-29,,
6:47.0,,,27-29,,Shooting foul by M. Gasol (drawn by M. Plumlee)
6:47.0,,,27-29,,M. Plumlee misses free throw 1 of 2
6:47.0,,,27-29,,Offensive rebound by Team
6:47.0,,,27-30,1,M. Plumlee makes free throw 2 of 2
6:47.0,J. Ennis enters the game for V. Carter,,27-29,,
6:47.0,M. Conley enters the game for W. Baldwin,,27-29,,
6:35.0,Turnover by J. Green (bad pass; steal by M. Plumlee),,27-30,,
6:31.0,,,27-32,2,J. Parker makes 2-pt shot at rim (assist by J. Terry)
6:18.0,,,27-32,,Personal foul by M. Plumlee (drawn by M. Gasol)
6:05.0,M. Gasol misses 2-pt shot from 18 ft,,27-32,,
6:04.0,,,27-32,,Defensive rebound by G. Antetokounmpo
5:55.0,,,27-32,,J. Parker misses 2-pt shot from 21 ft
5:54.0,Defensive rebound by C. Parsons,,27-32,,
5:38.0,M. Gasol misses 2-pt shot from 14 ft,,27-32,,
5:37.0,,,27-32,,Defensive rebound by G. Antetokounmpo
5:34.0,,,27-34,2,G. Antetokounmpo makes 2-pt shot from 4 ft
5:34.0,,,27-34,,Shooting foul by J. Ennis (drawn by G. Antetokounmpo)
5:34.0,Official timeout,,27-34,,
5:34.0,,,27-35,1,G. Antetokounmpo makes free throw 1 of 1
5:34.0,,,27-34,,T. Snell enters the game for J. Terry
5:34.0,J. Martin enters the game for J. Ennis,,27-34,,
5:16.0,C. Parsons makes 2-pt shot from 18 ft (assist by M. Conley),2,29-35,,
4:55.0,Personal foul by M. Conley (drawn by M. Dellavedova),,29-35,,
4:55.0,V. Carter enters the game for C. Parsons,,29-35,,
4:48.0,,,29-35,,J. Parker misses 2-pt shot from 1 ft
4:46.0,Defensive rebound by J. Martin,,29-35,,
4:37.0,,,29-35,,Personal foul by G. Antetokounmpo (drawn by J. Green)
4:25.0,M. Gasol misses 2-pt shot from 2 ft,,29-35,,
4:23.0,,,29-35,,Defensive rebound by G. Antetokounmpo
4:18.0,,,29-37,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova)
4:00.0,M. Gasol makes 2-pt shot from 7 ft,2,31-37,,
3:44.0,,,31-39,2,M. Dellavedova makes 2-pt shot from 20 ft
3:34.0,,,31-39,,Personal foul by M. Dellavedova (drawn by V. Carter)
3:26.0,Turnover by M. Conley (lost ball),,31-39,,
3:12.0,,,31-42,3,T. Snell makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
3:05.0,Memphis full timeout,,31-42,,
2:48.0,V. Carter misses 3-pt shot from 28 ft,,31-42,,
2:46.0,,,31-42,,Defensive rebound by G. Antetokounmpo
2:36.0,,,31-42,,J. Parker misses 2-pt shot from 14 ft
2:35.0,,,31-42,,Offensive rebound by J. Parker
2:30.0,,,31-42,,M. Dellavedova misses 3-pt shot from 26 ft
2:29.0,,,31-42,,Offensive rebound by M. Dellavedova
2:25.0,,,31-42,,M. Dellavedova misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by M. Conley,,31-42,,
2:12.0,Turnover by J. Martin (bad pass; steal by G. Antetokounmpo),,31-42,,
2:08.0,,,31-44,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
1:50.0,Shooting foul by M. Dellavedova (drawn by M. Conley),,31-44,,
1:50.0,M. Conley makes free throw 1 of 2,1,32-44,,
1:50.0,M. Conley makes free throw 2 of 2,1,33-44,,
1:50.0,A. Harrison enters the game for J. Green,,32-44,,
1:50.0,,,32-44,,M. Brogdon enters the game for M. Plumlee
1:50.0,,,32-44,,J. Henson enters the game for M. Dellavedova
1:26.0,,,33-44,,Turnover by Team (shot clock)
1:17.0,M. Conley misses 2-pt shot from 10 ft,,33-44,,
1:15.0,,,33-44,,Defensive rebound by J. Henson
1:09.0,,,33-44,,T. Snell misses 3-pt shot from 28 ft
1:09.0,,,33-44,,Offensive rebound by Team
1:09.0,Loose ball foul by A. Harrison (drawn by J. Parker),,33-44,,
1:03.0,,,33-44,,J. Parker misses 2-pt shot from 3 ft
1:01.0,Defensive rebound by M. Gasol,,33-44,,
0:49.0,J. Martin misses 2-pt shot at rim (block by J. Henson),,33-44,,
0:46.0,,,33-44,,Defensive rebound by J. Henson
0:42.0,,,33-44,,Turnover by M. Brogdon (bad pass; steal by V. Carter)
0:41.0,,,33-44,,Personal foul by M. Brogdon (drawn by M. Conley)
0:41.0,M. Conley makes free throw 1 of 2,1,34-44,,
0:41.0,M. Conley makes free throw 2 of 2,1,35-44,,
0:28.0,,,35-44,,T. Snell misses 3-pt shot from 27 ft
0:26.0,Defensive rebound by M. Conley,,35-44,,
0:02.0,M. Gasol makes 2-pt shot from 14 ft (assist by V. Carter),2,37-44,,
0:02.0,,,37-44,,Turnover by G. Antetokounmpo (bad pass; steal by A. Harrison)
0:01.0,A. Harrison makes 2-pt shot from 1 ft,2,39-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Gasol makes 2-pt shot from 3 ft (assist by J. Green),2,41-44,,
11:23.0,,,41-46,2,J. Parker makes 2-pt shot from 3 ft
11:02.0,M. Gasol misses 3-pt shot from 26 ft,,41-46,,
11:00.0,,,41-46,,Defensive rebound by Team
10:41.0,,,41-46,,J. Parker misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by M. Conley,,41-46,,
10:35.0,Shooting foul by J. Parker (drawn by M. Conley),,41-46,,
10:35.0,M. Conley makes free throw 1 of 2,1,42-46,,
10:35.0,M. Conley makes free throw 2 of 2,1,43-46,,
10:18.0,,,43-46,,T. Snell misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by C. Parsons,,43-46,,
10:01.0,J. Ennis misses 3-pt shot from 27 ft,,43-46,,
10:00.0,,,43-46,,Defensive rebound by Team
9:45.0,,,43-46,,Shooting foul by M. Gasol (drawn by J. Henson)
9:45.0,,,43-47,1,J. Henson makes free throw 1 of 2
9:45.0,,,43-48,1,J. Henson makes free throw 2 of 2
9:24.0,C. Parsons misses 3-pt shot from 29 ft,,43-48,,
9:24.0,Offensive rebound by J. Green,,43-48,,
9:24.0,J. Green makes 2-pt shot at rim,2,45-48,,
9:24.0,Shooting foul by G. Antetokounmpo (drawn by J. Green),,45-48,,
9:24.0,J. Green makes free throw 1 of 1,1,46-48,,
9:16.0,,,46-48,,Shooting foul by J. Green (drawn by J. Parker)
9:16.0,,,46-49,1,J. Parker makes free throw 1 of 2
9:16.0,,,46-50,1,J. Parker makes free throw 2 of 2
9:02.0,M. Gasol makes 2-pt shot from 19 ft (assist by C. Parsons),2,48-50,,
8:42.0,,,48-50,,Turnover by G. Antetokounmpo (traveling)
8:23.0,M. Gasol misses 2-pt shot from 14 ft,,48-50,,
8:23.0,,,48-50,,Defensive rebound by Team
8:23.0,Loose ball foul by J. Green (drawn by T. Snell),,48-50,,
7:57.0,,,48-50,,J. Henson misses 2-pt shot from 15 ft
7:56.0,Defensive rebound by J. Ennis,,48-50,,
7:45.0,Shooting foul by J. Henson (drawn by M. Conley),,48-50,,
7:45.0,M. Conley makes free throw 1 of 2,1,49-50,,
7:45.0,M. Conley makes free throw 2 of 2,1,50-50,,
7:35.0,,,50-52,2,J. Henson makes 2-pt shot from 1 ft (assist by J. Parker)
7:22.0,M. Conley misses 3-pt shot from 25 ft,,50-52,,
7:20.0,,,50-52,,Defensive rebound by J. Henson
7:05.0,,,50-54,2,M. Dellavedova makes 2-pt shot from 11 ft
6:44.0,,,50-54,,Violation by J. Henson (def goaltending)
6:44.0,C. Parsons makes 2-pt shot from 1 ft,2,52-54,,
6:34.0,Personal foul by J. Green (drawn by J. Henson),,52-54,,
6:34.0,V. Carter enters the game for C. Parsons,,52-54,,
6:33.0,Personal foul by J. Ennis (drawn by G. Antetokounmpo),,52-54,,
6:33.0,,,52-55,1,G. Antetokounmpo makes free throw 1 of 2
6:33.0,,,52-55,,G. Antetokounmpo misses free throw 2 of 2
6:32.0,Defensive rebound by J. Green,,52-55,,
6:15.0,V. Carter makes 3-pt shot from 24 ft,3,55-55,,
5:56.0,,,55-57,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
5:43.0,,,55-57,,Personal foul by J. Henson (drawn by M. Gasol)
5:43.0,,,55-57,,Milwaukee full timeout
5:43.0,,,55-57,,M. Beasley enters the game for J. Parker
5:28.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley),3,58-57,,
5:14.0,,,58-59,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:53.0,V. Carter makes 2-pt shot from 1 ft (assist by M. Gasol),2,60-59,,
4:27.0,,,60-61,2,G. Antetokounmpo makes 2-pt shot from 20 ft
4:07.0,V. Carter misses 3-pt shot from 24 ft,,60-61,,
4:05.0,,,60-61,,Defensive rebound by J. Henson
3:52.0,,,60-61,,J. Henson misses 2-pt shot at rim
3:50.0,Defensive rebound by M. Gasol,,60-61,,
3:39.0,Shooting foul by G. Antetokounmpo (drawn by M. Gasol),,60-61,,
3:39.0,M. Gasol makes free throw 1 of 2,1,61-61,,
3:39.0,,,61-61,,Milwaukee full timeout
3:39.0,M. Gasol makes free throw 2 of 2,1,62-61,,
3:39.0,A. Harrison enters the game for M. Conley,,61-61,,
3:21.0,,,62-64,3,M. Beasley makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
3:01.0,M. Gasol makes 2-pt shot from 14 ft (assist by J. Ennis),2,64-64,,
2:50.0,,,64-64,,Turnover by G. Antetokounmpo (traveling)
2:50.0,Memphis full timeout,,64-64,,
2:50.0,,,64-64,,J. Terry enters the game for J. Henson
2:50.0,,,64-64,,M. Brogdon enters the game for T. Snell
2:50.0,,,64-64,,G. Monroe enters the game for M. Beasley
2:50.0,,,64-64,,M. Beasley enters the game for M. Dellavedova
2:50.0,Z. Randolph enters the game for M. Gasol,,64-64,,
2:33.0,A. Harrison misses 3-pt shot from 25 ft,,64-64,,
2:32.0,,,64-64,,Defensive rebound by G. Monroe
2:15.0,,,64-64,,Turnover by G. Monroe (lost ball; steal by A. Harrison)
2:11.0,J. Green misses 2-pt shot at rim (block by G. Antetokounmpo),,64-64,,
2:08.0,,,64-64,,Defensive rebound by M. Beasley
2:05.0,,,64-66,2,M. Beasley makes 2-pt shot from 1 ft
1:44.0,V. Carter makes 2-pt shot from 19 ft (assist by J. Green),2,66-66,,
1:35.0,,,66-66,,Shooting foul by A. Harrison (drawn by G. Antetokounmpo)
1:35.0,,,66-67,1,G. Antetokounmpo makes free throw 1 of 2
1:35.0,,,66-68,1,G. Antetokounmpo makes free throw 2 of 2
1:35.0,J. Martin enters the game for J. Green,,66-67,,
1:18.0,Shooting foul by M. Brogdon (drawn by V. Carter),,66-68,,
1:18.0,V. Carter makes free throw 1 of 2,1,67-68,,
1:18.0,V. Carter makes free throw 2 of 2,1,68-68,,
1:18.0,W. Baldwin enters the game for J. Ennis,,67-68,,
1:09.0,Personal foul by A. Harrison (drawn by G. Antetokounmpo),,68-68,,
1:09.0,,,68-69,1,G. Antetokounmpo makes free throw 1 of 2
1:09.0,,,68-70,1,G. Antetokounmpo makes free throw 2 of 2
0:58.0,Turnover by W. Baldwin (bad pass),,68-70,,
0:39.0,,,68-73,3,M. Brogdon makes 3-pt shot from 26 ft (assist by G. Monroe)
0:26.0,Z. Randolph makes 2-pt shot from 15 ft,2,70-73,,
0:05.0,,,70-73,,Shooting foul by J. Martin (drawn by M. Beasley)
0:05.0,,,70-74,1,M. Beasley makes free throw 1 of 2
0:05.0,,,70-75,1,M. Beasley makes free throw 2 of 2
0:05.0,,,70-74,,T. Snell enters the game for G. Antetokounmpo
0:05.0,M. Conley enters the game for W. Baldwin,,70-74,,
0:00.0,M. Conley misses 3-pt shot from 28 ft,,70-75,,
0:00.0,Offensive rebound by Team,,70-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,70-77,2,M. Beasley makes 2-pt shot from 3 ft (assist by M. Brogdon)
11:51.0,,,70-77,,Shooting foul by J. Martin (drawn by M. Beasley)
11:51.0,,,70-78,1,M. Beasley makes free throw 1 of 1
11:34.0,,,70-78,,Personal foul by G. Monroe (drawn by W. Baldwin)
11:21.0,V. Carter makes 2-pt shot from 20 ft (assist by A. Harrison),2,72-78,,
11:08.0,,,72-80,2,M. Brogdon makes 2-pt shot from 1 ft
10:52.0,J. Martin misses 3-pt shot from 26 ft,,72-80,,
10:51.0,,,72-80,,Defensive rebound by J. Terry
10:38.0,,,72-82,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
10:38.0,Memphis full timeout,,72-82,,
10:38.0,M. Gasol enters the game for J. Martin,,72-82,,
10:17.0,Z. Randolph misses 2-pt shot from 7 ft,,72-82,,
10:15.0,,,72-82,,Defensive rebound by G. Monroe
10:10.0,,,72-84,2,M. Beasley makes 2-pt shot at rim
10:01.0,Turnover by W. Baldwin (bad pass; steal by G. Monroe),,72-84,,
9:59.0,,,72-84,,Shooting foul by W. Baldwin (drawn by G. Monroe)
9:59.0,,,72-85,1,G. Monroe makes free throw 1 of 2
9:59.0,,,72-86,1,G. Monroe makes free throw 2 of 2
9:59.0,J. Ennis enters the game for W. Baldwin,,72-85,,
9:49.0,J. Ennis makes 2-pt shot at rim (assist by V. Carter),2,74-86,,
9:36.0,,,74-86,,Shooting foul by M. Gasol (drawn by J. Parker)
9:36.0,,,74-87,1,J. Parker makes free throw 1 of 2
9:36.0,,,74-88,1,J. Parker makes free throw 2 of 2
9:15.0,J. Ennis makes 3-pt shot from 27 ft (assist by A. Harrison),3,77-88,,
8:57.0,,,77-91,3,M. Brogdon makes 3-pt shot from 27 ft
8:37.0,Turnover by M. Gasol (bad pass),,77-91,,
8:26.0,,,77-91,,J. Parker misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by Z. Randolph,,77-91,,
8:09.0,J. Ennis misses 3-pt shot from 24 ft,,77-91,,
8:07.0,,,77-91,,Defensive rebound by J. Parker
8:02.0,,,77-91,,Turnover by J. Parker (bad pass; steal by Z. Randolph)
7:53.0,J. Ennis misses 3-pt shot from 24 ft,,77-91,,
7:51.0,Offensive rebound by Z. Randolph,,77-91,,
7:50.0,Z. Randolph makes 2-pt shot from 1 ft,2,79-91,,
7:24.0,,,79-91,,M. Beasley misses 2-pt shot from 7 ft
7:22.0,Defensive rebound by Team,,79-91,,
7:22.0,M. Conley enters the game for A. Harrison,,79-91,,
7:08.0,M. Gasol misses 3-pt shot from 26 ft,,79-91,,
7:08.0,,,79-91,,Defensive rebound by Team
7:08.0,Loose ball foul by Z. Randolph (drawn by M. Beasley),,79-91,,
6:52.0,,,79-93,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Monroe)
6:43.0,M. Conley makes 3-pt shot from 26 ft,3,82-93,,
6:26.0,,,82-93,,J. Parker misses 2-pt shot from 1 ft
6:23.0,Defensive rebound by Z. Randolph,,82-93,,
6:11.0,Shooting foul by G. Monroe (drawn by M. Gasol),,82-93,,
6:11.0,,,82-93,,Milwaukee full timeout
6:11.0,M. Gasol makes free throw 1 of 2,1,83-93,,
6:11.0,M. Gasol makes free throw 2 of 2,1,84-93,,
6:11.0,C. Parsons enters the game for J. Ennis,,82-93,,
6:01.0,,,84-93,,Turnover by M. Brogdon (bad pass; steal by C. Parsons)
5:51.0,M. Conley makes 2-pt shot from 22 ft,2,86-93,,
5:23.0,,,86-93,,J. Parker misses 2-pt shot from 4 ft (block by C. Parsons)
5:21.0,Defensive rebound by M. Conley,,86-93,,
5:13.0,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Gasol),2,88-93,,
5:12.0,,,88-95,2,M. Beasley makes 2-pt shot from 7 ft (assist by M. Brogdon)
4:41.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,90-95,,
4:19.0,,,90-97,2,M. Beasley makes 2-pt shot from 8 ft (assist by G. Monroe)
4:01.0,C. Parsons makes 2-pt shot from 14 ft (assist by M. Gasol),2,92-97,,
3:44.0,,,92-97,,Shooting foul by M. Gasol (drawn by J. Parker)
3:44.0,,,92-97,,J. Parker misses free throw 1 of 2
3:44.0,,,92-97,,Offensive rebound by Team
3:44.0,,,92-98,1,J. Parker makes free throw 2 of 2
3:44.0,,,92-97,,G. Antetokounmpo enters the game for M. Beasley
3:44.0,,,92-97,,M. Dellavedova enters the game for M. Brogdon
3:22.0,Shooting foul by G. Antetokounmpo (drawn by M. Gasol),,92-98,,
3:22.0,M. Gasol makes free throw 1 of 2,1,93-98,,
3:22.0,M. Gasol misses free throw 2 of 2,,93-98,,
3:22.0,J. Green enters the game for Z. Randolph,,93-98,,
3:21.0,,,93-98,,Defensive rebound by G. Antetokounmpo
3:11.0,,,93-98,,Shooting foul by J. Green (drawn by G. Monroe)
3:11.0,,,93-99,1,G. Monroe makes free throw 1 of 2
3:11.0,,,93-99,,G. Monroe misses free throw 2 of 2
3:11.0,Z. Randolph enters the game for J. Green,,93-99,,
3:08.0,Defensive rebound by Z. Randolph,,93-99,,
2:56.0,C. Parsons makes 3-pt shot from 24 ft (assist by M. Gasol),3,96-99,,
2:48.0,,,96-99,,Shooting foul by V. Carter (drawn by G. Antetokounmpo)
2:48.0,Official timeout,,96-99,,
2:48.0,,,96-99,,G. Antetokounmpo misses free throw 1 of 2
2:48.0,,,96-99,,Offensive rebound by Team
2:48.0,,,96-100,1,G. Antetokounmpo makes free throw 2 of 2
2:48.0,,,96-99,,T. Snell enters the game for J. Terry
