time,Golden State,pts.away,score,pts.home,San Antonio
7:06.0,,,3-15,,D. Dedmon misses 2-pt shot from 2 ft (block by J. McGee)
7:03.0,,,3-15,,Offensive rebound by D. Green
7:00.0,,,3-15,,D. Green misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by K. Thompson,,3-15,,
6:50.0,K. Thompson misses 3-pt shot from 25 ft,,3-15,,
6:49.0,Offensive rebound by Team,,3-15,,
6:46.0,J. McGee misses 2-pt shot from 3 ft (block by D. Dedmon),,3-15,,
6:46.0,Offensive rebound by Team,,3-15,,
6:40.0,J. McGee misses 2-pt shot at rim,,3-15,,
6:39.0,,,3-15,,Defensive rebound by D. Green
6:32.0,,,3-15,,Shooting foul by K. Thompson (drawn by K. Leonard)
6:32.0,,,3-16,1,K. Leonard makes free throw 1 of 2
6:32.0,,,3-17,1,K. Leonard makes free throw 2 of 2
6:32.0,A. Iguodala enters the game for M. Barnes,,3-16,,
6:17.0,S. Curry misses 2-pt shot from 12 ft,,3-17,,
6:17.0,,,3-17,,Defensive rebound by D. Dedmon
6:02.0,,,3-19,2,K. Leonard makes 2-pt shot from 20 ft
5:47.0,J. McGee misses 2-pt shot from 1 ft,,3-19,,
5:44.0,,,3-19,,Defensive rebound by D. Dedmon
5:39.0,,,3-19,,T. Parker misses 2-pt shot from 7 ft
5:36.0,,,3-19,,Offensive rebound by T. Parker
5:36.0,,,3-21,2,L. Aldridge makes 2-pt shot from 1 ft
5:24.0,A. Iguodala misses 2-pt shot from 1 ft,,3-21,,
5:23.0,,,3-21,,Defensive rebound by L. Aldridge
5:01.0,,,3-23,2,L. Aldridge makes 2-pt shot from 8 ft
5:01.0,Golden State full timeout,,3-23,,
5:01.0,,,3-23,,P. Mills enters the game for T. Parker
4:50.0,Shooting foul by D. Dedmon (drawn by S. Curry),,3-23,,
4:50.0,S. Curry makes free throw 1 of 2,1,4-23,,
4:50.0,S. Curry makes free throw 2 of 2,1,5-23,,
4:34.0,,,5-23,,K. Leonard misses 2-pt shot from 19 ft
4:33.0,Defensive rebound by D. Green,,5-23,,
4:27.0,Turnover by D. Green (bad pass; steal by K. Leonard),,5-23,,
4:22.0,,,5-26,3,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard)
3:54.0,J. McGee makes 2-pt shot from 2 ft (assist by S. Curry),2,7-26,,
3:53.0,,,7-26,,San Antonio full timeout
3:53.0,S. Livingston enters the game for K. Thompson,,7-26,,
3:53.0,,,7-26,,P. Gasol enters the game for D. Dedmon
3:53.0,,,7-26,,M. Ginobili enters the game for D. Green
3:29.0,,,7-29,3,L. Aldridge makes 3-pt shot from 24 ft (assist by K. Leonard)
3:05.0,Shooting foul by P. Mills (drawn by S. Curry),,7-29,,
3:05.0,S. Curry makes free throw 1 of 3,1,8-29,,
3:05.0,S. Curry makes free throw 2 of 3,1,9-29,,
3:05.0,S. Curry makes free throw 3 of 3,1,10-29,,
2:43.0,,,10-31,2,K. Leonard makes 2-pt shot from 2 ft (assist by M. Ginobili)
2:43.0,,,10-31,,Shooting foul by J. McGee (drawn by K. Leonard)
2:43.0,,,10-31,,K. Leonard misses free throw 1 of 1
2:43.0,Defensive rebound by A. Iguodala,,10-31,,
2:43.0,,,10-31,,D. Lee enters the game for L. Aldridge
2:43.0,D. West enters the game for D. Green,,10-31,,
2:31.0,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry),3,13-31,,
2:19.0,,,13-31,,P. Gasol misses 2-pt shot from 8 ft (block by J. McGee)
2:19.0,,,13-31,,Offensive rebound by Team
2:16.0,,,13-31,,P. Gasol misses 2-pt shot from 18 ft
2:14.0,,,13-31,,Offensive rebound by P. Mills
2:09.0,Personal foul by S. Livingston (drawn by M. Ginobili),,13-31,,
2:02.0,,,13-31,,P. Mills misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by J. McGee,,13-31,,
1:49.0,S. Curry misses 2-pt shot from 1 ft (block by P. Gasol),,13-31,,
1:47.0,,,13-31,,Defensive rebound by K. Leonard
1:38.0,,,13-31,,K. Leonard misses 2-pt shot from 1 ft
1:35.0,,,13-31,,Offensive rebound by P. Gasol
1:35.0,,,13-33,2,P. Gasol makes 2-pt shot from 1 ft
1:28.0,,,13-33,,Personal foul by D. Lee (drawn by A. Iguodala)
1:18.0,S. Livingston misses 2-pt shot from 2 ft (block by D. Lee),,13-33,,
1:17.0,,,13-33,,Defensive rebound by D. Lee
1:06.0,,,13-33,,P. Gasol misses 2-pt shot from 7 ft
1:05.0,Defensive rebound by J. McGee,,13-33,,
0:50.0,A. Iguodala makes 2-pt shot from 20 ft (assist by S. Livingston),2,15-33,,
0:42.0,,,15-33,,Turnover by P. Mills (bad pass)
0:42.0,,,15-33,,K. Anderson enters the game for M. Ginobili
0:33.0,D. West misses 2-pt shot from 21 ft,,15-33,,
0:31.0,,,15-33,,Defensive rebound by P. Mills
0:09.0,,,15-33,,K. Leonard misses 3-pt shot from 26 ft
0:08.0,Defensive rebound by J. McGee,,15-33,,
0:02.0,A. Iguodala makes 2-pt shot from 20 ft,2,17-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,D. West misses 2-pt shot from 2 ft,,17-33,,
11:38.0,Offensive rebound by D. West,,17-33,,
11:25.0,M. Barnes makes 3-pt shot from 25 ft (assist by I. Clark),3,20-33,,
10:58.0,,,20-33,,K. Anderson misses 2-pt shot at rim
10:57.0,,,20-33,,Offensive rebound by D. Lee
10:57.0,,,20-35,2,D. Lee makes 2-pt shot at rim
10:37.0,K. Thompson makes 2-pt shot from 20 ft (assist by M. Barnes),2,22-35,,
10:17.0,,,22-35,,P. Mills misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by Team,,22-35,,
10:03.0,A. Iguodala misses 3-pt shot from 24 ft,,22-35,,
10:02.0,,,22-35,,Defensive rebound by P. Gasol
9:52.0,,,22-35,,M. Ginobili misses 2-pt shot at rim
9:51.0,Defensive rebound by M. Barnes,,22-35,,
9:45.0,Turnover by I. Clark (bad pass; steal by M. Ginobili),,22-35,,
9:39.0,,,22-37,2,P. Gasol makes 2-pt shot at rim (assist by K. Anderson)
9:21.0,K. Thompson misses 2-pt shot from 13 ft,,22-37,,
9:21.0,Offensive rebound by Team,,22-37,,
9:21.0,,,22-37,,Loose ball foul by D. Lee (drawn by D. West)
9:21.0,,,22-37,,L. Aldridge enters the game for P. Gasol
9:21.0,,,22-37,,D. Green enters the game for M. Ginobili
9:21.0,,,22-37,,T. Parker enters the game for P. Mills
9:13.0,D. West makes 2-pt shot from 5 ft,2,24-37,,
8:57.0,,,24-37,,L. Aldridge misses 2-pt shot from 19 ft
8:56.0,Defensive rebound by A. Iguodala,,24-37,,
8:41.0,I. Clark makes 3-pt shot from 25 ft (assist by M. Barnes),3,27-37,,
8:40.0,,,27-37,,San Antonio full timeout
8:40.0,,,27-37,,D. Dedmon enters the game for D. Lee
8:23.0,,,27-37,,Turnover by K. Anderson (step out of bounds)
8:23.0,D. Green enters the game for A. Iguodala,,27-37,,
7:59.0,I. Clark misses 2-pt shot from 8 ft,,27-37,,
7:58.0,,,27-37,,Defensive rebound by K. Anderson
7:51.0,,,27-40,3,D. Green makes 3-pt shot from 26 ft (assist by T. Parker)
7:37.0,D. Green makes 2-pt shot from 5 ft (assist by D. West),2,29-40,,
7:25.0,Def 3 sec tech foul by D. West,,29-40,,
7:25.0,,,29-41,1,L. Aldridge makes technical free throw
7:25.0,Z. Pachulia enters the game for D. West,,29-41,,
7:25.0,,,29-41,,K. Leonard enters the game for K. Anderson
7:11.0,,,29-41,,K. Leonard misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by Team,,29-41,,
6:58.0,I. Clark misses 2-pt shot from 15 ft,,29-41,,
6:57.0,,,29-41,,Defensive rebound by D. Dedmon
6:46.0,,,29-43,2,K. Leonard makes 2-pt shot from 17 ft
6:39.0,Golden State full timeout,,29-43,,
6:39.0,S. Livingston enters the game for M. Barnes,,29-43,,
6:32.0,,,29-43,,Def 3 sec tech foul by D. Dedmon
6:32.0,K. Thompson makes technical free throw,1,30-43,,
6:20.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston),3,33-43,,
6:06.0,,,33-43,,Offensive charge foul by L. Aldridge
6:06.0,,,33-43,,Turnover by L. Aldridge (offensive foul)
6:06.0,S. Curry enters the game for I. Clark,,33-43,,
5:51.0,S. Livingston makes 2-pt shot from 14 ft,2,35-43,,
5:51.0,Shooting foul by T. Parker (drawn by S. Livingston),,35-43,,
5:51.0,S. Livingston makes free throw 1 of 1,1,36-43,,
5:32.0,,,36-43,,L. Aldridge misses 2-pt shot from 14 ft
5:30.0,,,36-43,,Offensive rebound by D. Green
5:30.0,,,36-45,2,D. Green makes 2-pt shot from 1 ft
5:19.0,S. Curry misses 2-pt shot from 2 ft (block by D. Dedmon),,36-45,,
5:17.0,Offensive rebound by Z. Pachulia,,36-45,,
5:17.0,Z. Pachulia misses 2-pt shot from 10 ft,,36-45,,
5:17.0,Offensive rebound by Team,,36-45,,
5:17.0,,,36-45,,Loose ball foul by T. Parker (drawn by D. Green)
5:13.0,K. Thompson makes 2-pt shot from 18 ft,2,38-45,,
5:00.0,,,38-45,,Turnover by K. Leonard (traveling)
5:00.0,A. Iguodala enters the game for K. Thompson,,38-45,,
4:39.0,A. Iguodala makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,41-45,,
4:24.0,,,41-45,,T. Parker misses 2-pt shot from 18 ft (block by S. Livingston)
4:23.0,Defensive rebound by S. Curry,,41-45,,
4:17.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,43-45,,
3:58.0,,,43-45,,D. Green misses 2-pt shot from 9 ft
3:56.0,,,43-45,,Offensive rebound by K. Leonard
3:52.0,,,43-45,,Turnover by Team (shot clock)
3:52.0,,,43-45,,P. Mills enters the game for T. Parker
3:37.0,,,43-45,,Personal foul by D. Green (drawn by Z. Pachulia)
3:37.0,,,43-45,,P. Gasol enters the game for D. Dedmon
3:29.0,S. Livingston makes 2-pt shot from 14 ft (assist by S. Curry),2,45-45,,
3:12.0,,,45-48,3,P. Gasol makes 3-pt shot from 23 ft (assist by D. Green)
3:00.0,S. Curry misses 3-pt shot from 29 ft,,45-48,,
2:58.0,,,45-48,,Defensive rebound by L. Aldridge
2:39.0,,,45-48,,Shooting foul by S. Livingston (drawn by P. Gasol)
2:39.0,Official timeout,,45-48,,
2:39.0,,,45-49,1,P. Gasol makes free throw 1 of 2
2:39.0,,,45-50,1,P. Gasol makes free throw 2 of 2
2:39.0,,,45-48,,M. Ginobili enters the game for D. Green
2:31.0,Turnover by S. Livingston (bad pass),,45-50,,
2:10.0,,,45-52,2,L. Aldridge makes 2-pt shot from 16 ft (assist by K. Leonard)
2:02.0,S. Curry misses 2-pt shot from 1 ft (block by L. Aldridge),,45-52,,
2:01.0,,,45-52,,Defensive rebound by M. Ginobili
1:54.0,,,45-52,,L. Aldridge misses 2-pt shot from 21 ft
1:52.0,Defensive rebound by A. Iguodala,,45-52,,
1:40.0,S. Curry makes 2-pt shot from 3 ft (assist by Z. Pachulia),2,47-52,,
1:28.0,,,47-52,,K. Leonard misses 2-pt shot from 8 ft
1:27.0,,,47-52,,Offensive rebound by P. Gasol
1:27.0,Personal foul by S. Curry (drawn by P. Gasol),,47-52,,
1:27.0,K. Thompson enters the game for S. Livingston,,47-52,,
1:17.0,,,47-55,3,M. Ginobili makes 3-pt shot from 26 ft
1:10.0,K. Thompson makes 3-pt shot from 29 ft (assist by S. Curry),3,50-55,,
0:57.0,,,50-55,,Turnover by M. Ginobili (lost ball)
0:50.0,S. Curry makes 2-pt shot from 2 ft,2,52-55,,
0:40.0,Personal foul by S. Curry,,52-55,,
0:40.0,,,52-56,1,P. Mills makes free throw 1 of 2
0:40.0,,,52-57,1,P. Mills makes free throw 2 of 2
0:40.0,,,52-56,,D. Green enters the game for P. Gasol
0:40.0,M. Barnes enters the game for Z. Pachulia,,52-56,,
0:31.0,Shooting foul by M. Ginobili (drawn by S. Curry),,52-57,,
0:31.0,S. Curry makes free throw 1 of 2,1,53-57,,
0:31.0,S. Curry makes free throw 2 of 2,1,54-57,,
0:10.0,,,54-57,,Turnover by K. Leonard (lost ball; steal by A. Iguodala)
0:04.0,K. Thompson misses 3-pt shot from 24 ft,,54-57,,
0:02.0,,,54-57,,Defensive rebound by K. Leonard
0:00.0,,,54-57,,M. Ginobili misses 3-pt shot from 26 ft
0:00.0,,,54-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Z. Pachulia misses 2-pt shot from 1 ft (block by L. Aldridge),,54-57,,
11:39.0,Offensive rebound by Z. Pachulia,,54-57,,
11:37.0,Z. Pachulia misses 2-pt shot from 4 ft (block by L. Aldridge),,54-57,,
11:35.0,Offensive rebound by Z. Pachulia,,54-57,,
11:32.0,Z. Pachulia misses 2-pt shot from 11 ft,,54-57,,
11:32.0,,,54-57,,Defensive rebound by L. Aldridge
11:24.0,,,54-57,,Turnover by K. Leonard (bad pass; steal by D. Green)
11:07.0,Z. Pachulia makes 2-pt shot from 3 ft,2,56-57,,
10:47.0,,,56-57,,Turnover by T. Parker (bad pass; steal by Z. Pachulia)
10:40.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,59-57,,
10:21.0,Personal foul by Z. Pachulia (drawn by K. Leonard),,59-57,,
10:12.0,,,59-57,,K. Leonard misses 3-pt shot from 26 ft
10:11.0,Defensive rebound by K. Thompson,,59-57,,
10:00.0,Turnover by D. Green (bad pass; steal by T. Parker),,59-57,,
9:37.0,,,59-57,,K. Leonard misses 3-pt shot from 25 ft
9:36.0,,,59-57,,Offensive rebound by Team
9:36.0,,,59-57,,Turnover by Team (shot clock)
9:25.0,K. Thompson misses 3-pt shot from 24 ft,,59-57,,
9:24.0,Offensive rebound by M. Barnes,,59-57,,
9:21.0,S. Curry makes 3-pt shot from 27 ft (assist by M. Barnes),3,62-57,,
9:21.0,,,62-57,,San Antonio full timeout
8:56.0,,,62-57,,K. Leonard misses 2-pt shot from 5 ft
8:55.0,Defensive rebound by D. Green,,62-57,,
8:48.0,Turnover by M. Barnes (bad pass; steal by D. Dedmon),,62-57,,
8:44.0,Personal foul by D. Green (drawn by T. Parker),,62-57,,
8:33.0,,,62-57,,L. Aldridge misses 2-pt shot from 8 ft
8:32.0,,,62-57,,Offensive rebound by L. Aldridge
8:29.0,,,62-59,2,L. Aldridge makes 2-pt shot from 3 ft
8:20.0,,,62-59,,Violation by D. Dedmon (kicked ball)
8:05.0,Z. Pachulia misses 2-pt shot from 1 ft,,62-59,,
8:05.0,Offensive rebound by Z. Pachulia,,62-59,,
8:05.0,Shooting foul by D. Green (drawn by Z. Pachulia),,62-59,,
8:05.0,Z. Pachulia makes free throw 1 of 2,1,63-59,,
8:05.0,Z. Pachulia makes free throw 2 of 2,1,64-59,,
8:05.0,,,63-59,,P. Gasol enters the game for D. Dedmon
7:45.0,,,64-59,,D. Green misses 2-pt shot from 19 ft
7:44.0,Defensive rebound by D. Green,,64-59,,
7:34.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,67-59,,
7:19.0,,,67-59,,P. Gasol misses 2-pt shot from 18 ft
7:19.0,,,67-59,,Offensive rebound by Team
7:19.0,Personal foul by K. Thompson (drawn by L. Aldridge),,67-59,,
7:14.0,Personal foul by M. Barnes (drawn by K. Leonard),,67-59,,
7:00.0,,,67-59,,T. Parker misses 2-pt shot from 2 ft
6:59.0,Defensive rebound by M. Barnes,,67-59,,
6:54.0,S. Curry misses 3-pt shot from 28 ft,,67-59,,
6:53.0,,,67-59,,Defensive rebound by P. Gasol
6:35.0,,,67-59,,P. Mills enters the game for T. Parker
6:34.0,,,67-59,,Shooting foul by S. Curry (drawn by D. Green)
6:34.0,,,67-60,1,D. Green makes free throw 1 of 2
6:34.0,,,67-61,1,D. Green makes free throw 2 of 2
6:26.0,M. Barnes misses 3-pt shot from 25 ft,,67-61,,
6:25.0,,,67-61,,Defensive rebound by P. Gasol
6:09.0,,,67-61,,Shooting foul by M. Barnes (drawn by K. Leonard)
6:09.0,,,67-62,1,K. Leonard makes free throw 1 of 2
6:09.0,Golden State full timeout,,67-62,,
6:09.0,,,67-63,1,K. Leonard makes free throw 2 of 2
6:09.0,A. Iguodala enters the game for M. Barnes,,67-62,,
5:52.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,70-63,,
5:38.0,Shooting block foul by Z. Pachulia (drawn by P. Gasol),,70-63,,
5:38.0,,,70-64,1,P. Gasol makes free throw 1 of 2
5:38.0,,,70-65,1,P. Gasol makes free throw 2 of 2
5:38.0,J. McGee enters the game for Z. Pachulia,,70-64,,
5:22.0,S. Curry makes 2-pt shot from 1 ft,2,72-65,,
4:54.0,,,72-65,,L. Aldridge misses 2-pt shot from 15 ft
4:53.0,,,72-65,,Offensive rebound by K. Leonard
4:51.0,,,72-67,2,K. Leonard makes 2-pt shot from 6 ft
4:38.0,,,72-67,,Personal foul by P. Mills
4:30.0,J. McGee misses 2-pt shot at rim (block by L. Aldridge),,72-67,,
4:30.0,,,72-67,,Defensive rebound by P. Gasol
4:20.0,,,72-69,2,K. Leonard makes 2-pt shot from 21 ft
4:03.0,Turnover by D. Green (bad pass),,72-69,,
3:47.0,,,72-69,,Turnover by K. Leonard (bad pass; steal by A. Iguodala)
3:40.0,K. Thompson misses 2-pt shot from 2 ft,,72-69,,
3:39.0,,,72-69,,Defensive rebound by L. Aldridge
3:28.0,,,72-69,,P. Gasol misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by A. Iguodala,,72-69,,
3:16.0,S. Curry misses 3-pt shot from 28 ft,,72-69,,
3:15.0,,,72-69,,Defensive rebound by D. Green
3:10.0,,,72-69,,Shooting foul by J. McGee (drawn by L. Aldridge)
3:10.0,,,72-71,2,L. Aldridge makes 2-pt shot at rim (assist by D. Green)
3:10.0,Golden State full timeout,,72-71,,
3:10.0,,,72-72,1,L. Aldridge makes free throw 1 of 1
3:10.0,,,72-71,,M. Ginobili enters the game for D. Green
3:10.0,D. West enters the game for K. Thompson,,72-71,,
3:10.0,S. Livingston enters the game for D. Green,,72-71,,
2:55.0,D. West makes 2-pt shot from 16 ft (assist by S. Curry),2,74-72,,
2:39.0,,,74-72,,Turnover by P. Mills (bad pass; steal by J. McGee)
2:35.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,76-72,,
2:27.0,Personal foul by J. McGee (drawn by P. Gasol),,76-72,,
2:27.0,,,76-72,,P. Gasol misses free throw 1 of 2
2:27.0,,,76-72,,Offensive rebound by Team
2:27.0,,,76-73,1,P. Gasol makes free throw 2 of 2
2:13.0,S. Curry misses 2-pt shot from 3 ft,,76-73,,
2:13.0,Offensive rebound by J. McGee,,76-73,,
2:13.0,,,76-73,,Personal foul by M. Ginobili (drawn by J. McGee)
2:01.0,A. Iguodala makes 2-pt shot from 20 ft (assist by D. West),2,78-73,,
1:39.0,Shooting block foul by J. McGee (drawn by P. Gasol),,78-73,,
1:39.0,,,78-74,1,P. Gasol makes free throw 1 of 2
1:39.0,,,78-75,1,P. Gasol makes free throw 2 of 2
1:39.0,,,78-74,,D. Lee enters the game for L. Aldridge
1:39.0,,,78-74,,K. Anderson enters the game for K. Leonard
1:39.0,D. Green enters the game for J. McGee,,78-74,,
1:19.0,A. Iguodala makes 2-pt shot from 16 ft (assist by D. Green),2,80-75,,
0:54.0,,,80-77,2,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili)
0:41.0,D. Green makes 2-pt shot from 5 ft (assist by S. Curry),2,82-77,,
0:31.0,,,82-77,,M. Ginobili misses 3-pt shot from 24 ft
0:30.0,,,82-77,,Offensive rebound by P. Gasol
0:12.0,,,82-77,,D. Lee misses 2-pt shot from 1 ft (block by D. West)
0:10.0,Defensive rebound by A. Iguodala,,82-77,,
0:09.0,S. Curry makes 2-pt shot at rim (assist by S. Livingston),2,84-77,,
0:04.0,,,84-77,,Turnover by D. Lee (offensive goaltending)
0:04.0,K. Thompson enters the game for S. Livingston,,84-77,,
0:04.0,I. Clark enters the game for D. West,,84-77,,
0:04.0,,,84-77,,D. Green enters the game for P. Gasol
0:01.0,S. Curry misses 3-pt shot from 39 ft,,84-77,,
0:00.0,Offensive rebound by Team,,84-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,84-77,,M. Ginobili misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by M. Barnes,,84-77,,
11:28.0,Turnover by M. Barnes (bad pass; steal by M. Ginobili),,84-77,,
11:21.0,,,84-79,2,P. Gasol makes 2-pt shot from 1 ft (assist by M. Ginobili)
10:51.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. West),2,86-79,,
10:34.0,,,86-79,,T. Parker enters the game for P. Mills
10:31.0,,,86-79,,M. Ginobili misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by D. West,,86-79,,
10:20.0,I. Clark makes 2-pt shot from 2 ft,2,88-79,,
9:57.0,,,88-81,2,K. Anderson makes 2-pt shot from 1 ft
9:40.0,I. Clark makes 2-pt shot from 1 ft (assist by D. West),2,90-81,,
9:19.0,,,90-83,2,D. Lee makes 2-pt shot from 2 ft (assist by P. Gasol)
9:17.0,Golden State full timeout,,90-83,,
9:04.0,Turnover by D. West (bad pass; steal by P. Gasol),,90-83,,
8:55.0,,,90-85,2,K. Anderson makes 2-pt shot from 19 ft (assist by P. Gasol)
8:37.0,K. Thompson makes 2-pt shot from 16 ft,2,92-85,,
8:17.0,,,92-88,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Gasol)
7:53.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. West),3,95-88,,
7:32.0,,,95-90,2,D. Lee makes 2-pt shot from 2 ft (assist by P. Gasol)
7:17.0,D. West makes 2-pt shot from 19 ft (assist by M. Barnes),2,97-90,,
6:51.0,,,97-90,,D. Lee misses 2-pt shot from 7 ft
6:50.0,Defensive rebound by A. Iguodala,,97-90,,
6:42.0,K. Thompson makes 2-pt shot from 14 ft,2,99-90,,
6:42.0,,,99-90,,San Antonio full timeout
6:42.0,D. Green enters the game for A. Iguodala,,99-90,,
6:42.0,,,99-90,,L. Aldridge enters the game for P. Gasol
6:42.0,,,99-90,,K. Leonard enters the game for K. Anderson
6:42.0,,,99-90,,D. Green enters the game for M. Ginobili
6:26.0,,,99-90,,K. Leonard misses 2-pt shot from 8 ft
6:25.0,Defensive rebound by D. West,,99-90,,
6:12.0,Turnover by D. Green (lost ball; steal by D. Green),,99-90,,
5:54.0,Personal foul by M. Barnes (drawn by L. Aldridge),,99-90,,
5:54.0,S. Curry enters the game for K. Thompson,,99-90,,
5:52.0,,,99-90,,Shooting foul by M. Barnes (drawn by K. Leonard)
5:52.0,,,99-90,,K. Leonard misses free throw 1 of 2
5:52.0,,,99-90,,Offensive rebound by Team
5:52.0,,,99-91,1,K. Leonard makes free throw 2 of 2
5:39.0,D. West misses 2-pt shot from 4 ft,,99-91,,
5:37.0,Offensive rebound by D. West,,99-91,,
5:35.0,D. West makes 2-pt shot from 5 ft,2,101-91,,
5:21.0,,,101-93,2,D. Lee makes 2-pt shot from 3 ft (assist by K. Leonard)
5:07.0,D. West makes 2-pt shot from 18 ft (assist by S. Curry),2,103-93,,
4:52.0,,,103-93,,D. Lee misses 2-pt shot from 2 ft (block by D. West)
4:51.0,Defensive rebound by M. Barnes,,103-93,,
4:43.0,S. Curry misses 2-pt shot from 10 ft,,103-93,,
4:42.0,,,103-93,,Defensive rebound by D. Lee
4:28.0,,,103-93,,K. Leonard misses 2-pt shot from 9 ft
4:27.0,,,103-93,,Offensive rebound by D. Lee
4:27.0,Personal foul by S. Curry (drawn by D. Lee),,103-93,,
4:27.0,,,103-93,,P. Mills enters the game for T. Parker
4:27.0,A. Iguodala enters the game for M. Barnes,,103-93,,
4:27.0,K. Thompson enters the game for I. Clark,,103-93,,
4:09.0,,,103-93,,L. Aldridge misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by S. Curry,,103-93,,
3:59.0,Turnover by S. Curry (bad pass),,103-93,,
3:47.0,,,103-93,,Shooting foul by S. Curry
3:47.0,,,103-93,,P. Mills misses free throw 1 of 3
3:47.0,,,103-93,,Offensive rebound by Team
3:47.0,,,103-94,1,P. Mills makes free throw 2 of 3
3:47.0,,,103-94,,P. Mills misses free throw 3 of 3
3:47.0,,,103-94,,P. Gasol enters the game for D. Lee
3:46.0,Defensive rebound by D. Green,,103-94,,
3:22.0,D. West misses 3-pt shot from 25 ft,,103-94,,
3:21.0,,,103-94,,Defensive rebound by Team
3:05.0,,,103-94,,P. Mills misses 2-pt shot from 2 ft (block by K. Thompson)
3:05.0,,,103-94,,Offensive rebound by Team
