time,Washington,pts.away,score,pts.home,LA Lakers
3:31.0,M. Gortat misses 2-pt shot from 4 ft (block by I. Zubac),,26-17,,
3:30.0,,,26-17,,Defensive rebound by D. Russell
3:26.0,,,26-17,,J. Randle misses 2-pt shot from 2 ft (block by B. Beal)
3:26.0,,,26-17,,Offensive rebound by Team
3:26.0,,,26-17,,L. Nance enters the game for J. Randle
3:26.0,I. Mahinmi enters the game for M. Gortat,,26-17,,
3:26.0,K. Oubre enters the game for O. Porter,,26-17,,
3:14.0,,,26-17,,I. Zubac misses 2-pt shot from 2 ft
3:10.0,,,26-17,,Offensive rebound by D. Nwaba
2:56.0,,,26-17,,L. Nance misses 2-pt shot from 3 ft
2:54.0,,,26-17,,Offensive rebound by L. Nance
2:54.0,,,26-17,,L. Nance misses 2-pt shot from 2 ft
2:54.0,,,26-17,,Offensive rebound by J. Clarkson
2:54.0,,,26-17,,J. Clarkson misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by J. Smith,,26-17,,
2:54.0,Washington full timeout,,26-17,,
2:54.0,B. Jennings enters the game for B. Beal,,26-17,,
2:34.0,J. Wall misses 2-pt shot from 15 ft,,26-17,,
2:31.0,,,26-17,,Defensive rebound by D. Nwaba
2:27.0,,,26-17,,I. Zubac misses 2-pt shot at rim (block by J. Smith)
2:23.0,Defensive rebound by I. Mahinmi,,26-17,,
2:09.0,Shooting foul by I. Zubac (drawn by I. Mahinmi),,26-17,,
2:09.0,I. Mahinmi misses free throw 1 of 2,,26-17,,
2:09.0,Offensive rebound by Team,,26-17,,
2:09.0,I. Mahinmi misses free throw 2 of 2,,26-17,,
2:09.0,B. Bogdanovic enters the game for J. Wall,,26-17,,
2:09.0,,,26-17,,T. Black enters the game for I. Zubac
2:06.0,,,26-17,,Defensive rebound by L. Nance
1:53.0,,,26-19,2,D. Russell makes 2-pt shot from 21 ft
1:44.0,K. Oubre misses 2-pt shot from 3 ft,,26-19,,
1:43.0,Offensive rebound by K. Oubre,,26-19,,
1:41.0,K. Oubre misses 2-pt shot from 2 ft (block by L. Nance),,26-19,,
1:39.0,Offensive rebound by K. Oubre,,26-19,,
1:36.0,K. Oubre misses 2-pt shot from 1 ft (block by D. Nwaba),,26-19,,
1:36.0,Offensive rebound by Team,,26-19,,
1:36.0,Shooting foul by L. Nance (drawn by I. Mahinmi),,26-19,,
1:36.0,I. Mahinmi misses free throw 1 of 2,,26-19,,
1:36.0,Offensive rebound by Team,,26-19,,
1:36.0,I. Mahinmi makes free throw 2 of 2,1,27-19,,
1:22.0,,,27-19,,J. Clarkson misses 2-pt shot from 20 ft
1:21.0,,,27-19,,Offensive rebound by L. Nance
1:15.0,,,27-22,3,D. Russell makes 3-pt shot from 27 ft (assist by L. Nance)
1:03.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by T. Black),,27-22,,
1:00.0,Offensive rebound by I. Mahinmi,,27-22,,
1:00.0,I. Mahinmi misses 2-pt shot from 2 ft,,27-22,,
0:59.0,,,27-22,,Defensive rebound by L. Nance
0:52.0,,,27-22,,Turnover by D. Russell (bad pass)
0:29.0,B. Bogdanovic misses 2-pt shot from 12 ft,,27-22,,
0:29.0,,,27-22,,Defensive rebound by Team
0:29.0,Loose ball foul by J. Smith (drawn by L. Nance),,27-22,,
0:12.0,,,27-25,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson)
0:03.0,J. Smith misses 3-pt shot from 26 ft (block by L. Nance),,27-25,,
0:02.0,,,27-25,,Defensive rebound by D. Russell
0:00.0,,,27-27,2,D. Nwaba makes 2-pt shot from 1 ft (assist by D. Russell)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-29,2,D. Russell makes 2-pt shot from 2 ft
11:20.0,I. Mahinmi makes 2-pt shot from 3 ft,2,29-29,,
11:20.0,Shooting foul by L. Nance (drawn by I. Mahinmi),,29-29,,
11:20.0,I. Mahinmi misses free throw 1 of 1,,29-29,,
11:18.0,,,29-29,,Defensive rebound by D. Nwaba
11:08.0,Personal foul by K. Oubre (drawn by D. Russell),,29-29,,
11:02.0,,,29-29,,Turnover by D. Russell (bad pass; steal by B. Jennings)
10:57.0,B. Jennings misses 2-pt shot from 1 ft,,29-29,,
10:56.0,Offensive rebound by K. Oubre,,29-29,,
10:56.0,K. Oubre misses 2-pt shot from 1 ft,,29-29,,
10:51.0,,,29-29,,Defensive rebound by L. Nance
10:44.0,,,29-29,,Turnover by D. Russell (lost ball; steal by B. Jennings)
10:38.0,Turnover by J. Smith (bad pass; steal by D. Nwaba),,29-29,,
10:33.0,,,29-29,,Turnover by T. Ennis (traveling)
10:15.0,B. Bogdanovic misses 3-pt shot from 25 ft,,29-29,,
10:14.0,,,29-29,,Defensive rebound by L. Nance
9:53.0,,,29-29,,Turnover by T. Ennis (bad pass; steal by B. Bogdanovic)
9:48.0,B. Bogdanovic makes 2-pt shot at rim (assist by B. Jennings),2,31-29,,
9:30.0,,,31-31,2,D. Russell makes 2-pt shot from 8 ft
9:21.0,Turnover by B. Jennings (bad pass; steal by D. Nwaba),,31-31,,
9:15.0,,,31-31,,D. Russell misses 3-pt shot from 27 ft
9:14.0,Defensive rebound by Team,,31-31,,
9:14.0,,,31-31,,LA Lakers full timeout
9:14.0,,,31-31,,J. Clarkson enters the game for D. Russell
9:14.0,M. Morris enters the game for J. Smith,,31-31,,
9:00.0,M. Morris misses 3-pt shot from 25 ft,,31-31,,
8:59.0,,,31-31,,Defensive rebound by T. Black
8:46.0,,,31-31,,Turnover by T. Ennis (lost ball)
8:28.0,Offensive charge foul by B. Bogdanovic,,31-31,,
8:28.0,Turnover by B. Bogdanovic (offensive foul),,31-31,,
8:19.0,,,31-33,2,T. Ennis makes 2-pt shot from 1 ft
8:02.0,M. Morris makes 2-pt shot from 19 ft (assist by K. Oubre),2,33-33,,
7:49.0,J. Wall enters the game for B. Jennings,,33-33,,
7:49.0,O. Porter enters the game for K. Oubre,,33-33,,
7:49.0,B. Beal enters the game for B. Bogdanovic,,33-33,,
7:43.0,,,33-35,2,T. Black makes 2-pt shot at rim (assist by T. Ennis)
7:27.0,B. Beal makes 2-pt shot from 22 ft (assist by J. Wall),2,35-35,,
7:10.0,,,35-37,2,D. Nwaba makes 2-pt shot from 3 ft
6:59.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by J. Wall),2,37-37,,
6:59.0,Shooting foul by T. Black (drawn by I. Mahinmi),,37-37,,
6:59.0,I. Mahinmi makes free throw 1 of 1,1,38-37,,
6:48.0,,,38-37,,T. Ennis misses 2-pt shot from 15 ft
6:47.0,Defensive rebound by O. Porter,,38-37,,
6:42.0,J. Wall makes 2-pt shot from 2 ft,2,40-37,,
6:30.0,,,40-37,,Turnover by J. Clarkson (lost ball; steal by I. Mahinmi)
6:26.0,Turnover by I. Mahinmi (bad pass; steal by T. Ennis),,40-37,,
6:06.0,,,40-40,3,T. Ennis makes 3-pt shot from 26 ft (assist by D. Nwaba)
5:46.0,O. Porter makes 2-pt shot from 6 ft (assist by J. Wall),2,42-40,,
5:46.0,Shooting foul by T. Black (drawn by O. Porter),,42-40,,
5:46.0,Official timeout,,42-40,,
5:46.0,O. Porter makes free throw 1 of 1,1,43-40,,
5:46.0,M. Gortat enters the game for I. Mahinmi,,42-40,,
5:46.0,,,42-40,,J. Randle enters the game for T. Black
5:28.0,,,43-40,,J. Randle misses 2-pt shot from 3 ft
5:26.0,Defensive rebound by M. Morris,,43-40,,
5:14.0,O. Porter makes 2-pt shot from 18 ft (assist by B. Beal),2,45-40,,
4:58.0,,,45-40,,J. Clarkson misses 2-pt shot from 4 ft
4:55.0,Defensive rebound by M. Gortat,,45-40,,
4:50.0,B. Beal misses 3-pt shot from 27 ft,,45-40,,
4:49.0,,,45-40,,Defensive rebound by J. Clarkson
4:44.0,,,45-42,2,J. Clarkson makes 2-pt shot from 1 ft
4:27.0,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall),2,47-42,,
4:13.0,,,47-45,3,T. Ennis makes 3-pt shot from 26 ft
3:53.0,J. Wall misses 2-pt shot from 20 ft,,47-45,,
3:52.0,Offensive rebound by M. Morris,,47-45,,
3:44.0,B. Beal misses 2-pt shot from 2 ft,,47-45,,
3:44.0,Offensive rebound by Team,,47-45,,
3:44.0,,,47-45,,Loose ball foul by J. Clarkson (drawn by M. Gortat)
3:44.0,,,47-45,,D. Russell enters the game for D. Nwaba
3:44.0,,,47-45,,I. Zubac enters the game for L. Nance
3:40.0,Turnover by B. Beal (bad pass),,47-45,,
3:31.0,,,47-47,2,J. Clarkson makes 2-pt shot from 1 ft (assist by D. Russell)
3:26.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall),2,49-47,,
3:03.0,,,49-50,3,D. Russell makes 3-pt shot from 26 ft
2:49.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,51-50,,
2:38.0,Personal foul by M. Morris (drawn by I. Zubac),,51-50,,
2:38.0,Washington full timeout,,51-50,,
2:27.0,,,51-52,2,D. Russell makes 2-pt shot from 6 ft (assist by I. Zubac)
2:16.0,Turnover by J. Wall (bad pass),,51-52,,
2:06.0,,,51-52,,D. Russell misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by M. Gortat,,51-52,,
1:52.0,J. Wall makes 2-pt shot from 13 ft,2,53-52,,
1:37.0,,,53-52,,J. Clarkson misses 2-pt shot from 2 ft (block by M. Gortat)
1:35.0,,,53-52,,Offensive rebound by I. Zubac
1:34.0,,,53-52,,I. Zubac misses 2-pt shot from 2 ft
1:31.0,,,53-52,,Offensive rebound by D. Russell
1:26.0,Personal foul by M. Morris (drawn by I. Zubac),,53-52,,
1:26.0,K. Oubre enters the game for M. Morris,,53-52,,
1:12.0,,,53-52,,Shooting foul by O. Porter (drawn by I. Zubac)
1:12.0,,,53-53,1,I. Zubac makes free throw 1 of 2
1:12.0,,,53-54,1,I. Zubac makes free throw 2 of 2
0:59.0,B. Beal misses 3-pt shot from 27 ft,,53-54,,
0:58.0,,,53-54,,Defensive rebound by J. Randle
0:50.0,,,53-54,,I. Zubac misses 2-pt shot from 2 ft
0:50.0,,,53-54,,Offensive rebound by J. Clarkson
0:50.0,,,53-56,2,J. Clarkson makes 2-pt shot from 1 ft
0:46.0,Turnover by B. Beal (bad pass; steal by I. Zubac),,53-56,,
0:40.0,Shooting block foul by B. Beal (drawn by I. Zubac),,53-56,,
0:40.0,,,53-57,1,I. Zubac makes free throw 1 of 2
0:40.0,,,53-58,1,I. Zubac makes free throw 2 of 2
0:36.0,J. Wall makes 2-pt shot from 11 ft,2,55-58,,
0:30.0,,,55-58,,D. Russell misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by M. Gortat,,55-58,,
0:04.0,J. Wall misses 2-pt shot from 2 ft,,55-58,,
0:02.0,,,55-58,,Defensive rebound by J. Randle
0:01.0,,,55-58,,J. Clarkson misses 3-pt shot from 27 ft
0:00.0,,,55-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Personal foul by J. Wall (drawn by D. Russell),,55-58,,
11:34.0,,,55-58,,I. Zubac misses 2-pt shot from 6 ft
11:32.0,Defensive rebound by M. Morris,,55-58,,
11:17.0,B. Beal misses 3-pt shot from 26 ft,,55-58,,
11:16.0,,,55-58,,Defensive rebound by I. Zubac
11:07.0,,,55-58,,Turnover by J. Randle (lost ball)
10:55.0,M. Morris misses 3-pt shot from 24 ft,,55-58,,
10:54.0,Offensive rebound by M. Gortat,,55-58,,
10:48.0,J. Wall makes 2-pt shot from 21 ft (assist by B. Beal),2,57-58,,
10:35.0,Personal foul by B. Beal (drawn by J. Clarkson),,57-58,,
10:23.0,,,57-60,2,C. Brewer makes 2-pt shot from 3 ft
10:12.0,O. Porter makes 2-pt shot from 21 ft (assist by J. Wall),2,59-60,,
10:06.0,,,59-60,,Shooting foul by O. Porter (drawn by C. Brewer)
10:06.0,,,59-61,1,C. Brewer makes free throw 1 of 2
10:06.0,,,59-62,1,C. Brewer makes free throw 2 of 2
9:44.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),3,62-62,,
9:23.0,,,62-65,3,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Randle)
9:11.0,B. Beal misses 3-pt shot from 27 ft,,62-65,,
9:09.0,,,62-65,,Defensive rebound by C. Brewer
9:03.0,,,62-67,2,C. Brewer makes 2-pt shot from 1 ft (assist by J. Randle)
8:46.0,J. Wall misses 3-pt shot from 26 ft,,62-67,,
8:45.0,,,62-67,,Defensive rebound by D. Russell
8:42.0,,,62-67,,Shooting foul by J. Wall (drawn by C. Brewer)
8:42.0,,,62-67,,C. Brewer misses free throw 1 of 2
8:42.0,,,62-67,,Offensive rebound by Team
8:42.0,,,62-68,1,C. Brewer makes free throw 2 of 2
8:23.0,Shooting foul by I. Zubac (drawn by M. Gortat),,62-68,,
8:23.0,M. Gortat makes free throw 1 of 2,1,63-68,,
8:23.0,M. Gortat misses free throw 2 of 2,,63-68,,
8:22.0,,,63-68,,Defensive rebound by J. Clarkson
8:05.0,,,63-70,2,J. Clarkson makes 2-pt shot from 18 ft
7:53.0,Shooting foul by I. Zubac (drawn by M. Gortat),,63-70,,
7:53.0,M. Gortat misses free throw 1 of 2,,63-70,,
7:53.0,Offensive rebound by Team,,63-70,,
7:53.0,M. Gortat misses free throw 2 of 2,,63-70,,
7:53.0,,,63-70,,Defensive rebound by J. Randle
7:53.0,,,63-70,,T. Black enters the game for I. Zubac
7:39.0,,,63-72,2,D. Russell makes 2-pt shot from 10 ft
7:14.0,O. Porter misses 3-pt shot from 24 ft,,63-72,,
7:12.0,Offensive rebound by M. Gortat,,63-72,,
7:12.0,M. Gortat makes 2-pt shot from 1 ft,2,65-72,,
6:58.0,,,65-74,2,J. Clarkson makes 2-pt shot from 15 ft (assist by D. Russell)
6:56.0,Washington full timeout,,65-74,,
6:41.0,J. Wall misses 3-pt shot from 26 ft,,65-74,,
6:40.0,Offensive rebound by M. Gortat,,65-74,,
6:37.0,O. Porter misses 3-pt shot from 24 ft,,65-74,,
6:35.0,,,65-74,,Defensive rebound by J. Randle
6:26.0,Personal foul by J. Wall (drawn by D. Russell),,65-74,,
6:26.0,,,65-75,1,D. Russell makes free throw 1 of 2
6:26.0,,,65-76,1,D. Russell makes free throw 2 of 2
6:11.0,B. Beal misses 2-pt shot from 15 ft,,65-76,,
6:08.0,,,65-76,,Defensive rebound by J. Randle
5:58.0,,,65-76,,Turnover by T. Black (3 sec)
5:50.0,J. Wall makes 2-pt shot from 2 ft,2,67-76,,
5:50.0,Shooting foul by T. Black (drawn by J. Wall),,67-76,,
5:50.0,J. Wall makes free throw 1 of 1,1,68-76,,
5:28.0,,,68-78,2,J. Clarkson makes 2-pt shot from 9 ft (assist by J. Randle)
5:19.0,Turnover by J. Wall (lost ball),,68-78,,
5:04.0,,,68-80,2,J. Randle makes 2-pt shot from 3 ft
4:34.0,J. Wall misses 3-pt shot from 28 ft,,68-80,,
4:34.0,Offensive rebound by Team,,68-80,,
4:34.0,Turnover by Team (shot clock),,68-80,,
4:34.0,K. Oubre enters the game for O. Porter,,68-80,,
4:34.0,J. Smith enters the game for M. Morris,,68-80,,
4:16.0,,,68-82,2,J. Randle makes 2-pt shot from 7 ft (assist by D. Russell)
4:11.0,J. Wall misses 2-pt shot from 1 ft,,68-82,,
4:09.0,,,68-82,,Defensive rebound by C. Brewer
4:08.0,,,68-82,,Turnover by J. Clarkson (bad pass)
4:08.0,,,68-82,,D. Nwaba enters the game for C. Brewer
4:08.0,B. Bogdanovic enters the game for M. Gortat,,68-82,,
3:44.0,B. Beal makes 2-pt shot from 20 ft,2,70-82,,
3:29.0,,,70-84,2,T. Black makes 2-pt shot from 2 ft (assist by D. Russell)
3:15.0,B. Beal misses 2-pt shot from 2 ft,,70-84,,
3:12.0,Offensive rebound by J. Smith,,70-84,,
3:11.0,J. Smith misses 2-pt shot from 1 ft (block by D. Russell),,70-84,,
3:08.0,,,70-84,,Defensive rebound by D. Nwaba
2:53.0,,,70-86,2,T. Black makes 2-pt shot from 4 ft (assist by J. Randle)
2:53.0,Washington full timeout,,70-86,,
2:53.0,,,70-86,,T. Ennis enters the game for D. Russell
2:37.0,J. Smith misses 2-pt shot from 21 ft,,70-86,,
2:35.0,,,70-86,,Defensive rebound by D. Nwaba
2:28.0,,,70-86,,Turnover by D. Nwaba (bad pass; steal by K. Oubre)
2:24.0,K. Oubre makes 2-pt shot at rim,2,72-86,,
2:04.0,,,72-88,2,T. Ennis makes 2-pt shot from 6 ft
1:38.0,J. Smith makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,75-88,,
1:16.0,,,75-90,2,J. Clarkson makes 2-pt shot from 16 ft
1:10.0,K. Oubre makes 3-pt shot from 27 ft (assist by J. Wall),3,78-90,,
0:46.0,,,78-92,2,T. Black makes 2-pt shot from 1 ft (assist by J. Clarkson)
0:44.0,I. Mahinmi enters the game for B. Beal,,78-92,,
0:35.0,J. Wall makes 2-pt shot from 2 ft,2,80-92,,
0:18.0,,,80-95,3,J. Clarkson makes 3-pt shot from 25 ft
0:01.0,J. Wall makes 2-pt shot from 5 ft,2,82-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Smith makes 2-pt shot from 2 ft,2,84-95,,
11:48.0,Shooting foul by T. Black (drawn by J. Smith),,84-95,,
11:48.0,J. Smith makes free throw 1 of 1,1,85-95,,
11:28.0,,,85-95,,D. Russell misses 2-pt shot from 12 ft
11:26.0,Defensive rebound by J. Smith,,85-95,,
11:19.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Jennings),2,87-95,,
11:05.0,,,87-95,,D. Nwaba misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by B. Jennings,,87-95,,
10:59.0,B. Bogdanovic misses 3-pt shot from 25 ft,,87-95,,
10:57.0,,,87-95,,Defensive rebound by D. Nwaba
10:45.0,Personal foul by B. Jennings (drawn by T. Black),,87-95,,
10:40.0,,,87-95,,Turnover by T. Ennis (bad pass; steal by I. Mahinmi)
10:35.0,B. Bogdanovic misses 2-pt shot from 3 ft,,87-95,,
10:34.0,Offensive rebound by K. Oubre,,87-95,,
10:34.0,K. Oubre makes 2-pt shot at rim,2,89-95,,
10:33.0,,,89-95,,LA Lakers full timeout
10:20.0,,,89-95,,T. Ennis misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by J. Smith,,89-95,,
10:15.0,Shooting foul by T. Ennis (drawn by B. Jennings),,89-95,,
10:15.0,B. Jennings makes free throw 1 of 2,1,90-95,,
10:15.0,B. Jennings makes free throw 2 of 2,1,91-95,,
9:55.0,,,91-97,2,L. Nance makes 2-pt shot from 15 ft (assist by D. Russell)
9:35.0,B. Jennings misses 3-pt shot from 26 ft,,91-97,,
9:34.0,,,91-97,,Defensive rebound by D. Russell
9:27.0,,,91-97,,T. Black misses 2-pt shot from 1 ft
9:26.0,,,91-97,,Offensive rebound by D. Nwaba
9:26.0,,,91-99,2,D. Nwaba makes 2-pt shot from 2 ft
9:21.0,,,91-99,,Violation by T. Black (def goaltending)
9:21.0,B. Bogdanovic makes 2-pt shot from 9 ft,2,93-99,,
9:21.0,Shooting foul by L. Nance (drawn by B. Bogdanovic),,93-99,,
9:21.0,B. Bogdanovic misses free throw 1 of 1,,93-99,,
9:19.0,,,93-99,,Defensive rebound by D. Nwaba
9:07.0,,,93-101,2,T. Black makes 2-pt shot at rim (assist by D. Russell)
8:46.0,,,93-101,,Personal foul by D. Russell (drawn by B. Jennings)
8:38.0,Offensive foul by B. Bogdanovic,,93-101,,
8:38.0,Turnover by B. Bogdanovic (offensive foul),,93-101,,
8:30.0,Personal foul by K. Oubre (drawn by L. Nance),,93-101,,
8:23.0,,,93-101,,D. Russell misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by B. Bogdanovic,,93-101,,
8:04.0,I. Mahinmi makes 2-pt shot from 8 ft (assist by B. Jennings),2,95-101,,
7:51.0,,,95-101,,T. Ennis misses 2-pt shot from 8 ft
7:51.0,Defensive rebound by Team,,95-101,,
7:51.0,,,95-101,,Loose ball foul by T. Black (drawn by I. Mahinmi)
7:51.0,I. Mahinmi makes free throw 1 of 2,1,96-101,,
7:51.0,I. Mahinmi makes free throw 2 of 2,1,97-101,,
7:31.0,,,97-101,,D. Russell misses 2-pt shot from 18 ft
7:27.0,Defensive rebound by I. Mahinmi,,97-101,,
7:21.0,J. Smith misses 3-pt shot from 25 ft,,97-101,,
7:21.0,,,97-101,,Defensive rebound by L. Nance
7:02.0,,,97-101,,T. Ennis misses 2-pt shot from 1 ft
7:02.0,Defensive rebound by I. Mahinmi,,97-101,,
7:02.0,Washington full timeout,,97-101,,
7:02.0,J. Wall enters the game for J. Smith,,97-101,,
7:02.0,B. Beal enters the game for B. Jennings,,97-101,,
6:50.0,J. Wall makes 2-pt shot from 2 ft,2,99-101,,
6:39.0,,,99-101,,Turnover by D. Nwaba (lost ball; steal by J. Wall)
6:34.0,K. Oubre misses 2-pt shot from 3 ft (block by T. Black),,99-101,,
6:33.0,Offensive rebound by Team,,99-101,,
6:20.0,B. Beal misses 2-pt shot from 18 ft,,99-101,,
6:17.0,,,99-101,,Defensive rebound by T. Black
6:09.0,Personal foul by I. Mahinmi (drawn by D. Russell),,99-101,,
6:09.0,O. Porter enters the game for B. Bogdanovic,,99-101,,
6:09.0,,,99-101,,J. Clarkson enters the game for D. Nwaba
6:00.0,,,99-101,,Turnover by D. Russell (lost ball; steal by J. Wall)
5:56.0,J. Wall makes 2-pt shot at rim,2,101-101,,
5:41.0,,,101-101,,J. Randle enters the game for T. Black
5:40.0,Jump ball: I. Mahinmi vs. L. Nance,,,,Jump ball: I. Mahinmi vs. L. Nance
5:40.0,Loose ball foul by I. Mahinmi (drawn by L. Nance),,101-101,,
5:20.0,,,101-101,,D. Russell misses 3-pt shot from 25 ft
5:18.0,,,101-101,,Offensive rebound by L. Nance
5:18.0,,,101-103,2,L. Nance makes 2-pt shot from 2 ft
4:57.0,Turnover by B. Beal (bad pass),,101-103,,
4:43.0,,,101-103,,D. Russell misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by I. Mahinmi,,101-103,,
4:32.0,M. Morris enters the game for I. Mahinmi,,101-103,,
4:24.0,B. Beal makes 2-pt shot from 1 ft,2,103-103,,
4:06.0,,,103-103,,Turnover by J. Randle (lost ball; steal by J. Wall)
4:00.0,J. Wall misses 2-pt shot from 2 ft,,103-103,,
3:57.0,,,103-103,,Defensive rebound by L. Nance
3:50.0,Personal foul by K. Oubre (drawn by T. Ennis),,103-103,,
3:50.0,,,103-104,1,T. Ennis makes free throw 1 of 2
3:50.0,,,103-104,,T. Ennis misses free throw 2 of 2
3:50.0,Defensive rebound by O. Porter,,103-104,,
3:26.0,K. Oubre misses 2-pt shot from 12 ft,,103-104,,
3:25.0,Offensive rebound by M. Morris,,103-104,,
3:22.0,Shooting foul by T. Ennis (drawn by J. Wall),,103-104,,
3:22.0,J. Wall makes free throw 1 of 2,1,104-104,,
