time,Milwaukee,pts.away,score,pts.home,Sacramento
11:47.0,J. Terry misses 3-pt shot from 22 ft,,25-24,,
11:46.0,,,25-24,,Defensive rebound by G. Papagiannis
11:32.0,,,25-24,,B. McLemore misses 2-pt shot from 18 ft
11:31.0,Defensive rebound by M. Teletovic,,25-24,,
11:21.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,27-24,,
11:00.0,,,27-24,,A. Tolliver misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by G. Antetokounmpo,,27-24,,
10:43.0,M. Teletovic misses 3-pt shot from 24 ft,,27-24,,
10:43.0,,,27-24,,Defensive rebound by G. Temple
10:34.0,,,27-26,2,G. Temple makes 2-pt shot from 17 ft
10:19.0,Shooting foul by G. Papagiannis (drawn by G. Monroe),,27-26,,
10:19.0,G. Monroe makes free throw 1 of 2,1,28-26,,
10:19.0,G. Monroe makes free throw 2 of 2,1,29-26,,
10:05.0,,,29-28,2,G. Papagiannis makes 2-pt shot at rim (assist by T. Evans)
9:51.0,M. Dellavedova misses 2-pt shot from 10 ft,,29-28,,
9:50.0,,,29-28,,Defensive rebound by B. McLemore
9:41.0,,,29-28,,T. Evans misses 2-pt shot from 22 ft
9:41.0,Defensive rebound by J. Terry,,29-28,,
9:32.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,31-28,,
9:10.0,,,31-28,,G. Papagiannis misses 2-pt shot from 8 ft
9:10.0,Defensive rebound by Team,,31-28,,
9:10.0,,,31-28,,Loose ball foul by A. Tolliver (drawn by M. Teletovic)
9:10.0,S. Hawes enters the game for G. Monroe,,31-28,,
9:10.0,M. Brogdon enters the game for M. Dellavedova,,31-28,,
8:48.0,M. Teletovic misses 3-pt shot from 26 ft,,31-28,,
8:47.0,,,31-28,,Defensive rebound by T. Evans
8:41.0,,,31-30,2,T. Evans makes 2-pt shot from 3 ft
8:22.0,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Brogdon),3,34-30,,
7:58.0,,,34-32,2,G. Temple makes 2-pt shot from 21 ft
7:40.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,36-32,,
7:29.0,,,36-32,,A. Tolliver misses 3-pt shot from 25 ft
7:25.0,,,36-32,,Offensive rebound by T. Evans
7:23.0,,,36-32,,Turnover by T. Evans (bad pass; steal by J. Terry)
7:15.0,S. Hawes makes 3-pt shot from 23 ft (assist by M. Brogdon),3,39-32,,
7:02.0,,,39-32,,G. Papagiannis misses 2-pt shot at rim (block by S. Hawes)
7:01.0,,,39-32,,Offensive rebound by Team
7:01.0,Official timeout,,39-32,,
7:01.0,,,39-32,,W. Cauley-Stein enters the game for G. Papagiannis
6:54.0,,,39-32,,G. Temple misses 3-pt shot from 23 ft
6:54.0,Defensive rebound by G. Antetokounmpo,,39-32,,
6:38.0,J. Terry makes 3-pt shot from 25 ft (assist by M. Teletovic),3,42-32,,
6:20.0,,,42-32,,W. Cauley-Stein misses 2-pt shot from 3 ft
6:20.0,Defensive rebound by G. Antetokounmpo,,42-32,,
6:09.0,J. Terry makes 3-pt shot from 24 ft (assist by S. Hawes),3,45-32,,
5:49.0,,,45-34,2,T. Evans makes 2-pt shot from 3 ft
5:43.0,,,45-34,,Personal foul by G. Temple (drawn by M. Brogdon)
5:43.0,,,45-34,,Sacramento full timeout
5:43.0,,,45-34,,S. Labissiere enters the game for A. Tolliver
5:43.0,,,45-34,,B. Hield enters the game for B. McLemore
5:37.0,Turnover by M. Brogdon (lost ball; steal by G. Temple),,45-34,,
5:34.0,,,45-34,,Shooting foul by M. Teletovic (drawn by B. Hield)
5:34.0,,,45-34,,B. Hield misses free throw 1 of 2
5:34.0,,,45-34,,Offensive rebound by Team
5:34.0,,,45-34,,B. Hield misses free throw 2 of 2
5:32.0,Defensive rebound by M. Teletovic,,45-34,,
5:08.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,45-34,,
5:07.0,,,45-34,,Defensive rebound by W. Cauley-Stein
4:52.0,,,45-36,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Evans)
4:27.0,M. Teletovic misses 3-pt shot from 25 ft,,45-36,,
4:27.0,Offensive rebound by Team,,45-36,,
4:27.0,,,45-36,,Loose ball foul by G. Temple (drawn by S. Hawes)
4:27.0,,,45-36,,A. Afflalo enters the game for G. Temple
4:27.0,,,45-36,,D. Collison enters the game for T. Evans
4:27.0,K. Middleton enters the game for M. Teletovic,,45-36,,
4:15.0,G. Antetokounmpo misses 2-pt shot from 5 ft (block by W. Cauley-Stein),,45-36,,
4:14.0,Offensive rebound by S. Hawes,,45-36,,
4:13.0,S. Hawes makes 2-pt shot from 4 ft,2,47-36,,
4:13.0,Shooting foul by A. Afflalo (drawn by S. Hawes),,47-36,,
4:13.0,S. Hawes misses free throw 1 of 1,,47-36,,
4:10.0,,,47-36,,Defensive rebound by W. Cauley-Stein
4:00.0,,,47-39,3,A. Afflalo makes 3-pt shot from 25 ft (assist by D. Collison)
3:38.0,S. Hawes makes 3-pt shot from 24 ft (assist by J. Terry),3,50-39,,
3:20.0,,,50-41,2,B. Hield makes 2-pt shot from 4 ft
3:08.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,50-41,,
3:06.0,Offensive rebound by G. Antetokounmpo,,50-41,,
3:06.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,52-41,,
2:41.0,,,52-43,2,B. Hield makes 2-pt shot from 15 ft
2:22.0,M. Brogdon makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,55-43,,
2:13.0,,,55-43,,Turnover by A. Afflalo (bad pass; steal by G. Antetokounmpo)
2:11.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,57-43,,
2:11.0,Shooting foul by A. Afflalo (drawn by G. Antetokounmpo),,57-43,,
2:11.0,Milwaukee full timeout,,57-43,,
2:11.0,G. Antetokounmpo makes free throw 1 of 1,1,58-43,,
2:11.0,T. Snell enters the game for J. Terry,,57-43,,
2:00.0,Def 3 sec tech foul by S. Hawes,,58-43,,
2:00.0,,,58-44,1,B. Hield makes technical free throw
1:52.0,,,58-44,,W. Cauley-Stein misses 2-pt shot from 4 ft (block by S. Hawes)
1:52.0,Defensive rebound by Team,,58-44,,
1:45.0,Turnover by T. Snell (lost ball),,58-44,,
1:34.0,,,58-46,2,S. Labissiere makes 2-pt shot from 5 ft (assist by W. Cauley-Stein)
1:16.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,61-46,,
0:57.0,,,61-48,2,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by B. Hield)
0:49.0,Shooting foul by A. Afflalo (drawn by G. Antetokounmpo),,61-48,,
0:49.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,63-48,,
0:49.0,G. Antetokounmpo makes free throw 1 of 1,1,64-48,,
0:42.0,,,64-50,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
0:32.0,M. Brogdon makes 3-pt shot from 26 ft (assist by K. Middleton),3,67-50,,
0:24.0,,,67-50,,Turnover by B. Hield (lost ball; steal by K. Middleton)
0:03.0,K. Middleton makes 2-pt shot from 15 ft,2,69-50,,
0:00.0,,,69-50,,A. Afflalo misses 3-pt shot from 29 ft
0:00.0,,,69-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,69-50,,
11:33.0,,,69-50,,Defensive rebound by D. Collison
11:23.0,,,69-52,2,S. Labissiere makes 2-pt shot at rim (assist by D. Collison)
11:00.0,T. Maker misses 3-pt shot from 24 ft,,69-52,,
11:00.0,,,69-52,,Defensive rebound by B. Hield
10:34.0,,,69-52,,A. Afflalo misses 3-pt shot from 25 ft
10:33.0,,,69-52,,Offensive rebound by S. Labissiere
10:31.0,,,69-52,,S. Labissiere misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by T. Maker,,69-52,,
10:11.0,K. Middleton misses 3-pt shot from 25 ft,,69-52,,
10:10.0,,,69-52,,Defensive rebound by S. Labissiere
9:59.0,,,69-52,,W. Cauley-Stein misses 2-pt shot from 10 ft
9:57.0,,,69-52,,Offensive rebound by B. Hield
9:49.0,,,69-52,,Shooting foul by M. Brogdon (drawn by D. Collison)
9:49.0,,,69-53,1,D. Collison makes free throw 1 of 2
9:49.0,,,69-54,1,D. Collison makes free throw 2 of 2
9:24.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by T. Snell),3,72-54,,
9:00.0,,,72-54,,W. Cauley-Stein misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by T. Maker,,72-54,,
8:47.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,72-54,,
8:45.0,,,72-54,,Defensive rebound by B. Hield
8:29.0,,,72-56,2,S. Labissiere makes 2-pt shot from 12 ft
8:08.0,M. Brogdon misses 3-pt shot from 24 ft,,72-56,,
8:08.0,,,72-56,,Defensive rebound by S. Labissiere
7:57.0,,,72-56,,S. Labissiere misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by T. Maker,,72-56,,
7:43.0,K. Middleton misses 2-pt shot from 3 ft,,72-56,,
7:43.0,,,72-56,,Defensive rebound by W. Cauley-Stein
7:35.0,,,72-58,2,A. Afflalo makes 2-pt shot from 9 ft
7:35.0,Milwaukee full timeout,,72-58,,
7:35.0,G. Monroe enters the game for T. Maker,,72-58,,
7:25.0,Offensive foul by G. Monroe,,72-58,,
7:25.0,Turnover by G. Monroe (offensive foul),,72-58,,
7:06.0,,,72-60,2,A. Afflalo makes 2-pt shot from 13 ft
6:46.0,T. Snell makes 3-pt shot from 22 ft (assist by M. Brogdon),3,75-60,,
6:27.0,,,75-60,,D. Collison misses 3-pt shot from 23 ft
6:26.0,,,75-60,,Offensive rebound by S. Labissiere
6:25.0,Jump ball: M. Brogdon vs. S. Labissiere (W. Cauley-Stein gains possession),,,,Jump ball: M. Brogdon vs. S. Labissiere (W. Cauley-Stein gains possession)
6:12.0,,,75-60,,Turnover by W. Cauley-Stein (lost ball)
5:58.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,75-60,,
5:55.0,Offensive rebound by G. Antetokounmpo,,75-60,,
5:55.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,77-60,,
5:42.0,Shooting block foul by M. Brogdon (drawn by B. Hield),,77-60,,
5:42.0,,,77-61,1,B. Hield makes free throw 1 of 2
5:42.0,,,77-62,1,B. Hield makes free throw 2 of 2
5:22.0,Turnover by G. Monroe (lost ball; steal by D. Collison),,77-62,,
5:15.0,,,77-62,,B. Hield misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by K. Middleton,,77-62,,
5:01.0,G. Antetokounmpo misses 2-pt shot at rim (block by W. Cauley-Stein),,77-62,,
4:59.0,Offensive rebound by G. Monroe,,77-62,,
4:57.0,Turnover by G. Monroe (lost ball; steal by B. Hield),,77-62,,
4:51.0,,,77-62,,Turnover by A. Afflalo (bad pass; steal by M. Brogdon)
4:41.0,Shooting foul by S. Labissiere (drawn by G. Monroe),,77-62,,
4:41.0,G. Monroe makes free throw 1 of 2,1,78-62,,
4:41.0,G. Monroe misses free throw 2 of 2,,78-62,,
4:41.0,,,78-62,,Defensive rebound by W. Cauley-Stein
4:41.0,M. Dellavedova enters the game for M. Brogdon,,78-62,,
4:41.0,,,78-62,,G. Papagiannis enters the game for S. Labissiere
4:19.0,,,78-64,2,A. Afflalo makes 2-pt shot from 18 ft
4:01.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by T. Snell),3,81-64,,
3:37.0,,,81-67,3,D. Collison makes 3-pt shot from 24 ft (assist by B. Hield)
3:21.0,T. Snell misses 3-pt shot from 25 ft,,81-67,,
3:21.0,,,81-67,,Defensive rebound by W. Cauley-Stein
3:13.0,,,81-67,,B. Hield misses 2-pt shot from 2 ft
3:13.0,Defensive rebound by G. Monroe,,81-67,,
3:02.0,M. Dellavedova misses 3-pt shot from 25 ft,,81-67,,
3:02.0,,,81-67,,Defensive rebound by Team
3:02.0,,,81-67,,G. Temple enters the game for A. Afflalo
2:52.0,,,81-67,,G. Papagiannis misses 2-pt shot from 8 ft
2:51.0,Defensive rebound by M. Dellavedova,,81-67,,
2:44.0,K. Middleton misses 2-pt shot from 9 ft,,81-67,,
2:43.0,Offensive rebound by G. Antetokounmpo,,81-67,,
2:35.0,T. Snell misses 3-pt shot from 25 ft,,81-67,,
2:35.0,,,81-67,,Defensive rebound by W. Cauley-Stein
2:24.0,Personal foul by G. Monroe (drawn by W. Cauley-Stein),,81-67,,
2:24.0,,,81-67,,Sacramento full timeout
2:24.0,M. Teletovic enters the game for G. Antetokounmpo,,81-67,,
2:24.0,J. Terry enters the game for T. Snell,,81-67,,
2:24.0,,,81-67,,A. Tolliver enters the game for W. Cauley-Stein
2:19.0,,,81-69,2,G. Temple makes 2-pt shot from 3 ft (assist by A. Tolliver)
1:59.0,Shooting foul by G. Papagiannis (drawn by G. Monroe),,81-69,,
1:59.0,G. Monroe makes free throw 1 of 2,1,82-69,,
1:59.0,G. Monroe makes free throw 2 of 2,1,83-69,,
1:49.0,,,83-69,,Turnover by A. Tolliver (bad pass)
1:33.0,J. Terry makes 3-pt shot from 25 ft (assist by M. Teletovic),3,86-69,,
1:13.0,,,86-72,3,B. Hield makes 3-pt shot from 24 ft
1:00.0,G. Monroe misses 2-pt shot from 4 ft (block by G. Papagiannis),,86-72,,
1:00.0,Offensive rebound by Team,,86-72,,
1:00.0,,,86-72,,T. Evans enters the game for D. Collison
0:49.0,K. Middleton misses 3-pt shot from 26 ft,,86-72,,
0:48.0,Offensive rebound by J. Terry,,86-72,,
0:45.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,88-72,,
0:27.0,,,88-75,3,B. Hield makes 3-pt shot from 23 ft
0:06.0,J. Terry misses 3-pt shot from 27 ft,,88-75,,
0:05.0,Offensive rebound by G. Monroe,,88-75,,
0:03.0,G. Monroe makes 2-pt shot from 3 ft,2,90-75,,
0:00.0,,,90-75,,G. Temple misses 3-pt shot from 26 ft
0:00.0,,,90-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,90-75,,T. Evans misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by J. Terry,,90-75,,
11:19.0,M. Dellavedova misses 2-pt shot from 1 ft,,90-75,,
11:19.0,,,90-75,,Defensive rebound by G. Papagiannis
11:08.0,,,90-75,,G. Papagiannis misses 2-pt shot from 5 ft
11:07.0,,,90-75,,Offensive rebound by G. Papagiannis
11:01.0,,,90-75,,T. Evans misses 2-pt shot from 6 ft
11:00.0,Defensive rebound by J. Terry,,90-75,,
10:54.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by J. Terry),2,92-75,,
10:54.0,,,92-75,,Sacramento full timeout
10:35.0,,,92-75,,Turnover by B. McLemore (bad pass; steal by M. Dellavedova)
10:31.0,Turnover by J. Terry (bad pass; steal by A. Tolliver),,92-75,,
10:25.0,,,92-77,2,T. Evans makes 2-pt shot from 6 ft
10:25.0,,,92-77,,Shooting foul by M. Teletovic (drawn by T. Evans)
10:25.0,,,92-77,,T. Evans misses free throw 1 of 1
10:24.0,Defensive rebound by M. Teletovic,,92-77,,
10:00.0,M. Teletovic makes 2-pt shot from 7 ft (assist by M. Dellavedova),2,94-77,,
9:43.0,,,94-77,,B. McLemore misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by G. Antetokounmpo,,94-77,,
9:28.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Terry),3,97-77,,
9:15.0,Personal foul by G. Monroe (drawn by B. McLemore),,97-77,,
9:15.0,,,97-77,,S. Labissiere enters the game for B. McLemore
9:15.0,,,97-77,,B. Hield enters the game for A. Tolliver
9:15.0,S. Hawes enters the game for G. Monroe,,97-77,,
9:06.0,,,97-80,3,G. Temple makes 3-pt shot from 25 ft
8:44.0,Turnover by M. Teletovic (bad pass; steal by S. Labissiere),,97-80,,
8:34.0,,,97-82,2,B. Hield makes 2-pt shot from 18 ft
8:10.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,97-82,,
8:10.0,,,97-82,,Defensive rebound by G. Papagiannis
7:58.0,,,97-82,,T. Evans misses 2-pt shot from 2 ft
7:57.0,Defensive rebound by M. Teletovic,,97-82,,
7:41.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Terry),3,100-82,,
7:19.0,,,100-82,,B. Hield misses 2-pt shot from 11 ft
7:18.0,Defensive rebound by M. Dellavedova,,100-82,,
7:13.0,,,100-82,,Personal foul by T. Evans (drawn by G. Antetokounmpo)
7:13.0,G. Antetokounmpo misses free throw 1 of 2,,100-82,,
7:13.0,Offensive rebound by Team,,100-82,,
7:13.0,G. Antetokounmpo makes free throw 2 of 2,1,101-82,,
7:13.0,M. Brogdon enters the game for M. Dellavedova,,100-82,,
6:48.0,,,101-84,2,T. Evans makes 2-pt shot from 11 ft (assist by S. Labissiere)
6:26.0,M. Brogdon makes 2-pt shot from 2 ft,2,103-84,,
6:15.0,,,103-86,2,T. Evans makes 2-pt shot from 3 ft
5:50.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,103-86,,
5:50.0,,,103-86,,Defensive rebound by G. Papagiannis
5:43.0,,,103-86,,T. Evans misses 2-pt shot from 3 ft
5:41.0,,,103-86,,Offensive rebound by S. Labissiere
5:41.0,,,103-88,2,S. Labissiere makes 2-pt shot from 2 ft
5:14.0,S. Hawes misses 3-pt shot from 26 ft,,103-88,,
5:12.0,,,103-88,,Defensive rebound by G. Temple
5:02.0,,,103-91,3,T. Evans makes 3-pt shot from 26 ft (assist by G. Temple)
5:02.0,Milwaukee full timeout,,103-91,,
5:02.0,K. Middleton enters the game for J. Terry,,103-91,,
5:02.0,T. Snell enters the game for M. Teletovic,,103-91,,
5:02.0,,,103-91,,W. Cauley-Stein enters the game for G. Papagiannis
4:45.0,Shooting foul by T. Evans (drawn by G. Antetokounmpo),,103-91,,
4:45.0,G. Antetokounmpo makes free throw 1 of 2,1,104-91,,
4:45.0,G. Antetokounmpo makes free throw 2 of 2,1,105-91,,
4:37.0,Personal foul by G. Antetokounmpo (drawn by S. Labissiere),,105-91,,
4:26.0,,,105-91,,B. Hield misses 3-pt shot from 23 ft
4:25.0,Defensive rebound by G. Antetokounmpo,,105-91,,
4:09.0,Turnover by K. Middleton (traveling),,105-91,,
3:50.0,,,105-91,,T. Evans misses 2-pt shot from 1 ft
3:49.0,Defensive rebound by S. Hawes,,105-91,,
3:32.0,M. Brogdon makes 2-pt shot from 3 ft,2,107-91,,
3:18.0,Personal foul by G. Antetokounmpo (drawn by S. Labissiere),,107-91,,
3:08.0,,,107-93,2,T. Evans makes 2-pt shot from 2 ft (assist by G. Temple)
2:50.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,110-93,,
2:36.0,,,110-93,,B. Hield misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by S. Hawes,,110-93,,
2:18.0,Shooting foul by S. Labissiere (drawn by S. Hawes),,110-93,,
2:18.0,Official timeout,,110-93,,
2:18.0,S. Hawes makes free throw 1 of 2,1,111-93,,
2:18.0,S. Hawes makes free throw 2 of 2,1,112-93,,
2:18.0,T. Jones enters the game for K. Middleton,,110-93,,
2:18.0,R. Vaughn enters the game for G. Antetokounmpo,,110-93,,
2:18.0,T. Maker enters the game for T. Snell,,110-93,,
2:04.0,,,112-95,2,B. Hield makes 2-pt shot from 12 ft (assist by G. Temple)
1:42.0,M. Brogdon makes 2-pt shot from 3 ft (assist by R. Vaughn),2,114-95,,
1:30.0,,,114-95,,Turnover by W. Cauley-Stein (lost ball)
1:30.0,,,114-95,,B. McLemore enters the game for G. Temple
1:15.0,R. Vaughn makes 2-pt shot from 17 ft (assist by S. Hawes),2,116-95,,
1:02.0,,,116-95,,B. Hield misses 2-pt shot from 14 ft
0:59.0,Defensive rebound by M. Brogdon,,116-95,,
0:49.0,R. Vaughn misses 3-pt shot from 27 ft,,116-95,,
0:48.0,,,116-95,,Defensive rebound by S. Labissiere
0:40.0,,,116-95,,Turnover by T. Evans (bad pass; steal by T. Jones)
0:34.0,T. Jones misses 2-pt shot from 3 ft,,116-95,,
0:33.0,,,116-95,,Defensive rebound by T. Evans
0:25.0,,,116-98,3,T. Evans makes 3-pt shot from 27 ft
0:01.0,Turnover by Team (shot clock),,116-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
