time,Chicago,pts.away,score,pts.home,Denver
0:15.0,,,58-60,,J. Hernangomez enters the game for W. Barton
0:01.0,D. Wade makes 2-pt shot from 1 ft (assist by R. Rondo),2,60-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,60-60,,K. Faried misses 2-pt shot from 10 ft
11:42.0,,,60-60,,Offensive rebound by J. Nurkic
11:39.0,,,60-60,,J. Nurkic misses 2-pt shot from 1 ft (block by J. Butler)
11:38.0,Defensive rebound by J. Butler,,60-60,,
11:19.0,T. Gibson misses 2-pt shot from 16 ft,,60-60,,
11:16.0,Offensive rebound by R. Lopez,,60-60,,
11:16.0,R. Lopez makes 2-pt shot from 3 ft,2,62-60,,
11:05.0,,,62-62,2,J. Nurkic makes 2-pt shot from 3 ft
10:48.0,R. Lopez makes 2-pt shot from 16 ft (assist by R. Rondo),2,64-62,,
10:31.0,,,64-62,,J. Nurkic misses 2-pt shot from 2 ft (block by R. Lopez)
10:29.0,Defensive rebound by R. Rondo,,64-62,,
10:24.0,Turnover by R. Rondo (lost ball; steal by K. Faried),,64-62,,
10:18.0,,,64-64,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
10:02.0,D. Wade makes 2-pt shot from 1 ft (assist by T. Gibson),2,66-64,,
9:49.0,,,66-64,,E. Mudiay misses 2-pt shot from 18 ft
9:47.0,,,66-64,,Offensive rebound by J. Nurkic
9:47.0,,,66-64,,J. Nurkic misses 2-pt shot from 1 ft
9:46.0,,,66-64,,Offensive rebound by J. Nurkic
9:46.0,,,66-64,,J. Nurkic misses 2-pt shot from 3 ft
9:45.0,Defensive rebound by J. Butler,,66-64,,
9:38.0,R. Lopez misses 2-pt shot from 16 ft,,66-64,,
9:37.0,Offensive rebound by T. Gibson,,66-64,,
9:33.0,Shooting foul by K. Faried (drawn by J. Butler),,66-64,,
9:33.0,,,66-64,,Denver full timeout
9:33.0,J. Butler makes free throw 1 of 2,1,67-64,,
9:33.0,J. Butler makes free throw 2 of 2,1,68-64,,
9:13.0,,,68-66,2,J. Nurkic makes 2-pt shot from 3 ft
8:54.0,T. Gibson misses 2-pt shot from 12 ft,,68-66,,
8:52.0,Offensive rebound by R. Lopez,,68-66,,
8:52.0,R. Lopez misses 2-pt shot from 4 ft,,68-66,,
8:51.0,Offensive rebound by R. Lopez,,68-66,,
8:51.0,R. Lopez makes 2-pt shot from 2 ft,2,70-66,,
8:37.0,,,70-66,,Turnover by W. Barton (lost ball; steal by R. Rondo)
8:35.0,Loose ball foul by J. Butler (drawn by E. Mudiay),,70-66,,
8:35.0,Turnover by J. Butler (offensive foul),,70-66,,
8:18.0,,,70-66,,W. Barton misses 2-pt shot from 14 ft
8:17.0,,,70-66,,Offensive rebound by J. Nurkic
8:13.0,,,70-68,2,J. Nurkic makes 2-pt shot from 3 ft
8:00.0,D. Wade misses 2-pt shot from 16 ft,,70-68,,
7:59.0,,,70-68,,Defensive rebound by J. Nurkic
7:51.0,,,70-70,2,W. Barton makes 2-pt shot from 3 ft
7:34.0,J. Butler misses 2-pt shot from 2 ft,,70-70,,
7:34.0,,,70-70,,Defensive rebound by D. Gallinari
7:32.0,Personal foul by R. Rondo (drawn by D. Gallinari),,70-70,,
7:21.0,,,70-72,2,D. Gallinari makes 2-pt shot from 3 ft (assist by J. Nurkic)
7:02.0,R. Lopez makes 2-pt shot from 20 ft (assist by R. Rondo),2,72-72,,
6:43.0,,,72-74,2,J. Nurkic makes 2-pt shot from 4 ft
6:22.0,T. Gibson makes 2-pt shot from 18 ft (assist by J. Butler),2,74-74,,
6:05.0,,,74-76,2,J. Nurkic makes 2-pt shot from 20 ft (assist by W. Barton)
5:51.0,R. Rondo makes 2-pt shot from 17 ft,2,76-76,,
5:38.0,,,76-79,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Nurkic)
5:23.0,,,76-79,,Personal foul by K. Faried (drawn by D. Wade)
5:23.0,N. Mirotic enters the game for T. Gibson,,76-79,,
5:23.0,,,76-79,,N. Jokic enters the game for J. Nurkic
5:17.0,R. Lopez misses 2-pt shot from 20 ft,,76-79,,
5:16.0,,,76-79,,Defensive rebound by D. Gallinari
5:10.0,,,76-79,,E. Mudiay misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by J. Butler,,76-79,,
5:02.0,Shooting foul by K. Faried (drawn by J. Butler),,76-79,,
5:02.0,J. Butler makes free throw 1 of 2,1,77-79,,
5:02.0,J. Butler makes free throw 2 of 2,1,78-79,,
5:02.0,,,77-79,,W. Chandler enters the game for K. Faried
5:02.0,I. Canaan enters the game for D. Wade,,77-79,,
4:51.0,,,78-79,,E. Mudiay misses 2-pt shot from 2 ft
4:49.0,,,78-79,,Offensive rebound by N. Jokic
4:49.0,,,78-79,,N. Jokic misses 2-pt shot from 3 ft
4:48.0,,,78-79,,Offensive rebound by N. Jokic
4:35.0,,,78-79,,W. Barton misses 2-pt shot from 14 ft
4:35.0,Defensive rebound by R. Rondo,,78-79,,
4:29.0,R. Rondo misses 2-pt shot from 1 ft,,78-79,,
4:27.0,,,78-79,,Defensive rebound by W. Chandler
4:21.0,,,78-79,,W. Chandler misses 2-pt shot from 6 ft
4:20.0,,,78-79,,Offensive rebound by W. Chandler
4:20.0,,,78-79,,W. Chandler misses 2-pt shot from 2 ft
4:19.0,Defensive rebound by R. Rondo,,78-79,,
4:13.0,N. Mirotic misses 2-pt shot from 19 ft,,78-79,,
4:11.0,,,78-79,,Defensive rebound by N. Jokic
3:55.0,,,78-79,,E. Mudiay misses 2-pt shot from 2 ft (block by R. Lopez)
3:54.0,,,78-79,,Offensive rebound by N. Jokic
3:49.0,,,78-82,3,W. Barton makes 3-pt shot from 26 ft (assist by W. Chandler)
3:49.0,Chicago full timeout,,78-82,,
3:49.0,D. Valentine enters the game for R. Rondo,,78-82,,
3:49.0,,,78-82,,J. Nelson enters the game for W. Barton
3:49.0,,,78-82,,J. Murray enters the game for E. Mudiay
3:37.0,J. Butler misses 2-pt shot from 17 ft,,78-82,,
3:36.0,,,78-82,,Defensive rebound by D. Gallinari
3:22.0,,,78-84,2,W. Chandler makes 2-pt shot from 6 ft
3:04.0,J. Butler makes 2-pt shot from 2 ft,2,80-84,,
2:43.0,,,80-84,,N. Jokic misses 2-pt shot from 21 ft
2:43.0,Defensive rebound by N. Mirotic,,80-84,,
2:33.0,J. Butler makes 2-pt shot from 10 ft,2,82-84,,
2:18.0,Violation by D. Valentine (kicked ball),,82-84,,
2:07.0,,,82-87,3,J. Murray makes 3-pt shot from 24 ft (assist by J. Nelson)
1:50.0,J. Butler misses 2-pt shot from 2 ft (block by N. Jokic),,82-87,,
1:49.0,,,82-87,,Defensive rebound by J. Murray
1:46.0,,,82-87,,Shooting foul by D. Valentine (drawn by J. Murray)
1:46.0,,,82-88,1,J. Murray makes free throw 1 of 2
1:46.0,,,82-89,1,J. Murray makes free throw 2 of 2
1:46.0,B. Portis enters the game for R. Lopez,,82-88,,
1:46.0,,,82-88,,J. Hernangomez enters the game for D. Gallinari
1:30.0,I. Canaan makes 2-pt shot from 10 ft,2,84-89,,
1:20.0,,,84-89,,Turnover by J. Nelson (traveling)
1:01.0,N. Mirotic misses 2-pt shot from 2 ft,,84-89,,
1:00.0,,,84-89,,Defensive rebound by J. Nelson
0:57.0,,,84-91,2,J. Murray makes 2-pt shot at rim (assist by J. Nelson)
0:45.0,J. Butler makes 2-pt shot from 8 ft,2,86-91,,
0:35.0,,,86-91,,J. Nelson misses 3-pt shot from 26 ft
0:33.0,,,86-91,,Offensive rebound by Team
0:22.0,,,86-91,,Turnover by W. Chandler (bad pass; steal by I. Canaan)
0:18.0,Shooting foul by J. Nelson (drawn by J. Butler),,86-91,,
0:18.0,J. Butler makes free throw 1 of 2,1,87-91,,
0:18.0,J. Butler makes free throw 2 of 2,1,88-91,,
0:02.0,,,88-91,,J. Hernangomez misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by N. Mirotic,,88-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Portis misses 3-pt shot from 23 ft,,88-91,,
11:44.0,,,88-91,,Defensive rebound by J. Hernangomez
11:31.0,,,88-91,,J. Murray misses 2-pt shot from 10 ft
11:30.0,Defensive rebound by D. Wade,,88-91,,
11:22.0,D. Wade makes 2-pt shot from 17 ft,2,90-91,,
11:06.0,,,90-91,,J. Nelson misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by B. Portis,,90-91,,
10:56.0,Shooting foul by J. Hernangomez (drawn by N. Mirotic),,90-91,,
10:56.0,N. Mirotic misses free throw 1 of 3,,90-91,,
10:56.0,Offensive rebound by Team,,90-91,,
10:56.0,N. Mirotic makes free throw 2 of 3,1,91-91,,
10:56.0,N. Mirotic misses free throw 3 of 3,,91-91,,
10:54.0,,,91-91,,Defensive rebound by W. Chandler
10:41.0,,,91-93,2,N. Jokic makes 2-pt shot from 4 ft (assist by J. Nelson)
10:22.0,N. Mirotic misses 2-pt shot from 17 ft,,91-93,,
10:21.0,Offensive rebound by T. Gibson,,91-93,,
10:16.0,Turnover by N. Mirotic (bad pass; steal by N. Jokic),,91-93,,
9:59.0,,,91-93,,Turnover by J. Nelson (bad pass; steal by I. Canaan)
9:50.0,I. Canaan misses 2-pt shot from 13 ft,,91-93,,
9:50.0,,,91-93,,Defensive rebound by N. Jokic
9:33.0,,,91-93,,J. Hernangomez misses 2-pt shot from 8 ft
9:32.0,Defensive rebound by T. Gibson,,91-93,,
9:25.0,D. Wade misses 2-pt shot from 3 ft (block by W. Chandler),,91-93,,
9:24.0,Offensive rebound by Team,,91-93,,
9:24.0,,,91-93,,J. Nurkic enters the game for N. Jokic
9:12.0,D. Wade makes 2-pt shot from 20 ft,2,93-93,,
9:02.0,Personal foul by T. Gibson (drawn by W. Chandler),,93-93,,
9:02.0,R. Lopez enters the game for B. Portis,,93-93,,
8:54.0,,,93-93,,J. Hernangomez misses 2-pt shot at rim (block by R. Lopez)
8:53.0,Defensive rebound by Team,,93-93,,
8:53.0,Official timeout,,93-93,,
8:53.0,,,93-93,,D. Gallinari enters the game for J. Hernangomez
8:41.0,N. Mirotic misses 3-pt shot from 25 ft,,93-93,,
8:40.0,,,93-93,,Defensive rebound by D. Gallinari
8:19.0,,,93-95,2,W. Chandler makes 2-pt shot from 6 ft
8:00.0,D. Wade misses 2-pt shot from 19 ft,,93-95,,
8:00.0,,,93-95,,Defensive rebound by J. Nurkic
7:51.0,,,93-95,,W. Chandler misses 2-pt shot from 20 ft
7:49.0,Defensive rebound by I. Canaan,,93-95,,
7:38.0,I. Canaan misses 3-pt shot from 23 ft,,93-95,,
7:37.0,,,93-95,,Defensive rebound by W. Chandler
7:33.0,Violation by I. Canaan (kicked ball),,93-95,,
7:33.0,J. Butler enters the game for N. Mirotic,,93-95,,
7:33.0,R. Rondo enters the game for I. Canaan,,93-95,,
7:25.0,,,93-97,2,J. Nelson makes 2-pt shot from 2 ft
7:07.0,J. Butler misses 2-pt shot from 17 ft,,93-97,,
7:06.0,,,93-97,,Defensive rebound by J. Murray
6:55.0,,,93-97,,J. Murray misses 2-pt shot from 4 ft
6:54.0,Defensive rebound by R. Rondo,,93-97,,
6:45.0,D. Wade misses 3-pt shot from 25 ft,,93-97,,
6:44.0,,,93-97,,Defensive rebound by D. Gallinari
6:42.0,,,93-99,2,J. Nurkic makes 2-pt shot at rim (assist by J. Nelson)
6:42.0,Chicago full timeout,,93-99,,
6:24.0,D. Wade misses 2-pt shot from 5 ft,,93-99,,
6:23.0,Offensive rebound by T. Gibson,,93-99,,
6:23.0,T. Gibson makes 2-pt shot at rim,2,95-99,,
6:11.0,,,95-99,,W. Chandler misses 2-pt shot from 7 ft
6:09.0,Defensive rebound by T. Gibson,,95-99,,
6:00.0,Shooting foul by J. Murray (drawn by D. Wade),,95-99,,
6:00.0,D. Wade makes free throw 1 of 2,1,96-99,,
6:00.0,D. Wade makes free throw 2 of 2,1,97-99,,
5:39.0,,,97-99,,D. Gallinari misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by R. Rondo,,97-99,,
5:27.0,T. Gibson misses 2-pt shot from 9 ft,,97-99,,
5:25.0,,,97-99,,Defensive rebound by J. Murray
5:24.0,Personal foul by R. Rondo (drawn by J. Nurkic),,97-99,,
5:18.0,,,97-99,,J. Nelson misses 2-pt shot from 22 ft
5:16.0,,,97-99,,Offensive rebound by J. Murray
5:03.0,,,97-99,,J. Nelson misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by R. Rondo,,97-99,,
4:58.0,D. Wade makes 2-pt shot from 1 ft (assist by J. Butler),2,99-99,,
4:58.0,,,99-99,,Denver full timeout
4:58.0,,,99-99,,E. Mudiay enters the game for J. Nelson
4:58.0,,,99-99,,W. Barton enters the game for J. Murray
4:46.0,,,99-99,,W. Chandler misses 3-pt shot from 25 ft
4:45.0,,,99-99,,Offensive rebound by J. Nurkic
4:42.0,,,99-99,,J. Nurkic misses 2-pt shot from 2 ft (block by D. Wade)
4:40.0,Defensive rebound by D. Wade,,99-99,,
4:32.0,D. Wade misses 2-pt shot from 20 ft,,99-99,,
4:31.0,,,99-99,,Defensive rebound by E. Mudiay
4:19.0,,,99-99,,Shooting foul by J. Butler (drawn by D. Gallinari)
