time,Charlotte,pts.away,score,pts.home,Miami
8:39.0,,,2-10,,Defensive rebound by H. Whiteside
8:23.0,,,2-10,,J. Winslow misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by M. Williams,,2-10,,
8:11.0,N. Batum misses 3-pt shot from 26 ft,,2-10,,
8:10.0,,,2-10,,Defensive rebound by H. Whiteside
7:56.0,,,2-10,,D. Waiters misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by N. Batum,,2-10,,
7:49.0,M. Williams makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,5-10,,
7:33.0,,,5-10,,Turnover by J. Winslow (lost ball; steal by N. Batum)
7:31.0,Shooting foul by J. Winslow (drawn by N. Batum),,5-10,,
7:31.0,N. Batum makes free throw 1 of 2,1,6-10,,
7:31.0,N. Batum makes free throw 2 of 2,1,7-10,,
7:31.0,C. Zeller enters the game for R. Hibbert,,6-10,,
7:14.0,,,7-12,2,H. Whiteside makes 2-pt shot from 8 ft
6:53.0,Turnover by N. Batum (lost ball; steal by D. Waiters),,7-12,,
6:48.0,,,7-14,2,D. Waiters makes 2-pt shot from 2 ft
6:39.0,Charlotte full timeout,,7-14,,
6:39.0,,,7-14,,T. Johnson enters the game for J. Winslow
6:31.0,M. Kidd-Gilchrist misses 2-pt shot from 10 ft,,7-14,,
6:30.0,,,7-14,,Defensive rebound by G. Dragic
6:16.0,,,7-14,,L. Babbitt misses 2-pt shot from 2 ft
6:15.0,Defensive rebound by M. Williams,,7-14,,
6:10.0,Shooting foul by D. Waiters (drawn by K. Walker),,7-14,,
6:10.0,K. Walker makes free throw 1 of 2,1,8-14,,
6:10.0,K. Walker makes free throw 2 of 2,1,9-14,,
5:52.0,,,9-14,,Turnover by H. Whiteside (lost ball; steal by C. Zeller)
5:46.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,11-14,,
5:27.0,Shooting block foul by C. Zeller (drawn by T. Johnson),,11-14,,
5:27.0,,,11-15,1,T. Johnson makes free throw 1 of 2
5:27.0,,,11-16,1,T. Johnson makes free throw 2 of 2
5:17.0,C. Zeller misses 2-pt shot from 5 ft,,11-16,,
5:16.0,,,11-16,,Defensive rebound by Team
5:16.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,11-16,,
5:00.0,,,11-16,,T. Johnson misses 2-pt shot from 10 ft (block by C. Zeller)
4:59.0,,,11-16,,Offensive rebound by Team
4:56.0,,,11-16,,Turnover by G. Dragic (bad pass; steal by M. Williams)
4:49.0,M. Belinelli makes 3-pt shot from 24 ft (assist by K. Walker),3,14-16,,
4:47.0,,,14-16,,Miami full timeout
4:24.0,,,14-16,,Turnover by Team (shot clock)
4:06.0,N. Batum misses 2-pt shot from 14 ft,,14-16,,
4:05.0,,,14-16,,Defensive rebound by H. Whiteside
3:49.0,,,14-18,2,H. Whiteside makes 2-pt shot from 9 ft
3:29.0,N. Batum misses 2-pt shot from 16 ft,,14-18,,
3:28.0,,,14-18,,Defensive rebound by T. Johnson
3:17.0,,,14-21,3,D. Waiters makes 3-pt shot from 24 ft (assist by G. Dragic)
2:54.0,K. Walker misses 2-pt shot from 11 ft,,14-21,,
2:53.0,Offensive rebound by C. Zeller,,14-21,,
2:48.0,N. Batum misses 3-pt shot from 23 ft,,14-21,,
2:47.0,,,14-21,,Defensive rebound by T. Johnson
2:42.0,,,14-21,,J. Johnson enters the game for L. Babbitt
2:42.0,Jump ball: K. Walker vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: K. Walker vs. H. Whiteside (G. Dragic gains possession)
2:26.0,,,14-21,,T. Johnson misses 2-pt shot from 3 ft
2:25.0,,,14-21,,Offensive rebound by H. Whiteside
2:24.0,,,14-23,2,H. Whiteside makes 2-pt shot from 2 ft
2:08.0,N. Batum makes 3-pt shot from 25 ft (assist by C. Zeller),3,17-23,,
1:57.0,,,17-23,,Turnover by T. Johnson (bad pass)
1:57.0,R. Sessions enters the game for K. Walker,,17-23,,
1:57.0,,,17-23,,J. Winslow enters the game for G. Dragic
1:46.0,M. Belinelli makes 2-pt shot from 16 ft (assist by R. Sessions),2,19-23,,
1:36.0,,,19-23,,Offensive foul by H. Whiteside
1:36.0,,,19-23,,Turnover by H. Whiteside (offensive foul)
1:36.0,,,19-23,,W. Reed enters the game for H. Whiteside
1:36.0,M. Kidd-Gilchrist enters the game for M. Williams,,19-23,,
1:36.0,J. Lamb enters the game for N. Batum,,19-23,,
1:23.0,M. Belinelli misses 2-pt shot from 16 ft,,19-23,,
1:22.0,,,19-23,,Defensive rebound by D. Waiters
1:19.0,,,19-23,,Offensive charge foul by D. Waiters
1:19.0,,,19-23,,Turnover by D. Waiters (offensive foul)
1:19.0,,,19-23,,R. McGruder enters the game for D. Waiters
0:58.0,C. Zeller makes 2-pt shot from 3 ft,2,21-23,,
0:32.0,,,21-23,,R. McGruder misses 2-pt shot from 22 ft
0:31.0,Defensive rebound by R. Sessions,,21-23,,
0:23.0,R. Sessions misses 2-pt shot from 10 ft,,21-23,,
0:22.0,,,21-23,,Defensive rebound by J. Johnson
0:06.0,Personal foul by R. Sessions (drawn by J. Winslow),,21-23,,
0:01.0,,,21-23,,J. Johnson misses 3-pt shot from 25 ft
0:00.0,,,21-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,21-23,,J. Winslow misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by J. Lamb,,21-23,,
11:19.0,Shooting foul by T. Johnson (drawn by J. Lamb),,21-23,,
11:19.0,J. Lamb makes free throw 1 of 2,1,22-23,,
11:19.0,J. Lamb makes free throw 2 of 2,1,23-23,,
11:04.0,,,23-26,3,R. McGruder makes 3-pt shot from 26 ft (assist by J. Winslow)
10:43.0,M. Belinelli misses 2-pt shot from 18 ft,,23-26,,
10:42.0,,,23-26,,Defensive rebound by J. Johnson
10:33.0,,,23-26,,J. Winslow misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by M. Kidd-Gilchrist,,23-26,,
10:28.0,,,23-26,,Personal foul by T. Johnson (drawn by M. Belinelli)
10:22.0,,,23-26,,Violation by J. Winslow (def goaltending)
10:22.0,J. Lamb makes 2-pt shot from 3 ft,2,25-26,,
10:14.0,,,25-26,,Offensive foul by J. Johnson
10:14.0,,,25-26,,Turnover by J. Johnson (offensive foul)
10:01.0,M. Belinelli misses 2-pt shot from 9 ft,,25-26,,
10:00.0,,,25-26,,Defensive rebound by J. Winslow
9:58.0,,,25-26,,Shooting foul by J. Lamb (drawn by J. Winslow)
9:58.0,,,25-26,,J. Winslow misses free throw 1 of 2
9:58.0,,,25-26,,Offensive rebound by Team
9:58.0,,,25-27,1,J. Winslow makes free throw 2 of 2
9:42.0,Shooting foul by R. McGruder (drawn by R. Sessions),,25-27,,
9:42.0,R. Sessions misses free throw 1 of 2,,25-27,,
9:42.0,Offensive rebound by Team,,25-27,,
9:42.0,R. Sessions makes free throw 2 of 2,1,26-27,,
9:25.0,,,26-27,,J. Winslow misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
9:24.0,Defensive rebound by S. Hawes,,26-27,,
9:18.0,R. Sessions misses 2-pt shot from 9 ft,,26-27,,
9:17.0,,,26-27,,Defensive rebound by J. Winslow
9:12.0,,,26-29,2,T. Johnson makes 2-pt shot at rim (assist by J. Winslow)
8:47.0,S. Hawes makes 2-pt shot from 8 ft,2,28-29,,
8:32.0,,,28-31,2,J. Winslow makes 2-pt shot from 19 ft
8:20.0,R. Sessions misses 2-pt shot from 1 ft (block by J. Johnson),,28-31,,
8:19.0,,,28-31,,Defensive rebound by J. Winslow
8:18.0,Personal foul by J. Lamb (drawn by J. Winslow),,28-31,,
8:18.0,Official timeout,,28-31,,
8:06.0,,,28-33,2,J. Winslow makes 2-pt shot from 2 ft
7:50.0,J. Lamb makes 2-pt shot from 17 ft (assist by S. Hawes),2,30-33,,
7:37.0,,,30-33,,J. Johnson misses 2-pt shot from 3 ft (block by S. Hawes)
7:36.0,,,30-33,,Offensive rebound by Team
7:24.0,,,30-33,,J. Johnson misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
7:23.0,,,30-33,,Offensive rebound by T. Johnson
7:18.0,,,30-33,,T. Johnson misses 2-pt shot from 2 ft
7:17.0,,,30-33,,Offensive rebound by W. Reed
7:16.0,,,30-35,2,W. Reed makes 2-pt shot from 2 ft
6:56.0,J. Lamb misses 3-pt shot from 25 ft,,30-35,,
6:55.0,Offensive rebound by M. Kidd-Gilchrist,,30-35,,
6:54.0,M. Belinelli misses 3-pt shot from 24 ft,,30-35,,
6:53.0,Offensive rebound by S. Hawes,,30-35,,
6:52.0,S. Hawes misses 2-pt shot from 1 ft,,30-35,,
6:51.0,Offensive rebound by J. Lamb,,30-35,,
6:49.0,J. Lamb misses 2-pt shot from 4 ft,,30-35,,
6:48.0,Offensive rebound by S. Hawes,,30-35,,
6:47.0,Shooting foul by J. Johnson (drawn by S. Hawes),,30-35,,
6:47.0,S. Hawes makes free throw 1 of 2,1,31-35,,
6:47.0,S. Hawes makes free throw 2 of 2,1,32-35,,
6:47.0,,,30-35,,G. Dragic enters the game for T. Johnson
6:47.0,,,30-35,,D. Waiters enters the game for J. Winslow
6:35.0,,,32-37,2,W. Reed makes 2-pt shot from 8 ft (assist by G. Dragic)
6:24.0,Offensive charge foul by M. Kidd-Gilchrist,,32-37,,
6:24.0,Turnover by M. Kidd-Gilchrist (offensive foul),,32-37,,
6:10.0,,,32-40,3,R. McGruder makes 3-pt shot from 24 ft (assist by G. Dragic)
6:03.0,Charlotte full timeout,,32-40,,
6:03.0,N. Batum enters the game for M. Kidd-Gilchrist,,32-40,,
6:03.0,M. Williams enters the game for M. Belinelli,,32-40,,
6:03.0,K. Walker enters the game for R. Sessions,,32-40,,
5:50.0,S. Hawes misses 2-pt shot from 13 ft,,32-40,,
5:49.0,,,32-40,,Defensive rebound by D. Waiters
5:39.0,,,32-40,,J. Johnson misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by M. Williams,,32-40,,
5:27.0,K. Walker misses 2-pt shot from 2 ft,,32-40,,
5:26.0,,,32-40,,Defensive rebound by G. Dragic
5:19.0,,,32-40,,Shooting foul by J. Lamb (drawn by D. Waiters)
5:19.0,,,32-40,,D. Waiters misses free throw 1 of 2
5:19.0,,,32-40,,Offensive rebound by Team
5:19.0,,,32-40,,D. Waiters misses free throw 2 of 2
5:19.0,M. Belinelli enters the game for J. Lamb,,32-40,,
5:19.0,,,32-40,,H. Whiteside enters the game for W. Reed
5:18.0,,,32-40,,Offensive rebound by D. Waiters
5:08.0,,,32-43,3,D. Waiters makes 3-pt shot from 26 ft (assist by G. Dragic)
4:54.0,M. Belinelli makes 2-pt shot from 3 ft (assist by S. Hawes),2,34-43,,
4:36.0,,,34-43,,D. Waiters misses 2-pt shot from 2 ft
4:34.0,,,34-43,,Offensive rebound by H. Whiteside
4:33.0,,,34-43,,Shooting foul by S. Hawes (drawn by H. Whiteside)
4:33.0,,,34-43,,H. Whiteside misses free throw 1 of 2
4:33.0,,,34-43,,Offensive rebound by Team
4:33.0,,,34-44,1,H. Whiteside makes free throw 2 of 2
4:20.0,M. Williams misses 2-pt shot from 3 ft,,34-44,,
4:19.0,Offensive rebound by S. Hawes,,34-44,,
4:11.0,S. Hawes misses 2-pt shot from 8 ft,,34-44,,
4:10.0,,,34-44,,Defensive rebound by D. Waiters
4:00.0,,,34-44,,Turnover by H. Whiteside (traveling)
3:48.0,K. Walker misses 2-pt shot from 3 ft,,34-44,,
3:47.0,,,34-44,,Defensive rebound by H. Whiteside
3:40.0,,,34-44,,Turnover by G. Dragic (bad pass; steal by K. Walker)
3:26.0,,,34-44,,Shooting block foul by D. Waiters (drawn by K. Walker)
3:26.0,K. Walker makes free throw 1 of 2,1,35-44,,
3:26.0,K. Walker makes free throw 2 of 2,1,36-44,,
3:26.0,,,35-44,,L. Babbitt enters the game for J. Johnson
3:26.0,,,35-44,,J. Winslow enters the game for D. Waiters
3:26.0,C. Zeller enters the game for S. Hawes,,35-44,,
3:13.0,,,36-44,,Turnover by G. Dragic (lost ball; steal by N. Batum)
3:06.0,N. Batum misses 2-pt shot from 3 ft,,36-44,,
3:05.0,,,36-44,,Defensive rebound by J. Winslow
2:54.0,,,36-46,2,H. Whiteside makes 2-pt shot from 7 ft (assist by R. McGruder)
2:42.0,Shooting foul by R. McGruder (drawn by K. Walker),,36-46,,
2:42.0,,,36-46,,Miami full timeout
2:42.0,K. Walker makes free throw 1 of 3,1,37-46,,
2:42.0,K. Walker makes free throw 2 of 3,1,38-46,,
2:42.0,K. Walker makes free throw 3 of 3,1,39-46,,
2:24.0,,,39-46,,Shooting foul by K. Walker (drawn by G. Dragic)
2:24.0,,,39-48,2,G. Dragic makes 2-pt shot from 9 ft
2:24.0,,,39-49,1,G. Dragic makes free throw 1 of 1
2:11.0,N. Batum makes 2-pt shot from 8 ft (assist by M. Belinelli),2,41-49,,
2:00.0,,,41-49,,L. Babbitt misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by M. Belinelli,,41-49,,
1:59.0,,,41-49,,Personal foul by H. Whiteside (drawn by C. Zeller)
1:59.0,C. Zeller misses free throw 1 of 2,,41-49,,
1:59.0,Offensive rebound by Team,,41-49,,
1:59.0,C. Zeller makes free throw 2 of 2,1,42-49,,
1:59.0,,,41-49,,W. Reed enters the game for H. Whiteside
1:41.0,,,42-49,,G. Dragic misses 3-pt shot from 23 ft
1:40.0,Defensive rebound by N. Batum,,42-49,,
1:33.0,N. Batum misses 3-pt shot from 25 ft,,42-49,,
1:32.0,,,42-49,,Defensive rebound by W. Reed
1:22.0,,,42-52,3,L. Babbitt makes 3-pt shot from 24 ft (assist by G. Dragic)
1:01.0,N. Batum makes 2-pt shot from 10 ft,2,44-52,,
0:46.0,,,44-55,3,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic)
0:30.0,K. Walker makes 2-pt shot from 2 ft,2,46-55,,
0:11.0,,,46-55,,G. Dragic misses 2-pt shot from 9 ft
0:10.0,,,46-55,,Offensive rebound by Team
0:10.0,Loose ball foul by M. Belinelli (drawn by W. Reed),,46-55,,
0:10.0,,,46-56,1,W. Reed makes free throw 1 of 2
0:10.0,,,46-57,1,W. Reed makes free throw 2 of 2
0:10.0,,,46-56,,J. Johnson enters the game for R. McGruder
0:01.0,K. Walker misses 2-pt shot from 2 ft,,46-57,,
0:00.0,Offensive rebound by Team,,46-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-60,3,D. Waiters makes 3-pt shot from 24 ft (assist by G. Dragic)
11:31.0,Turnover by M. Williams (offensive foul),,46-60,,
11:31.0,Offensive foul by M. Williams,,46-60,,
11:20.0,,,46-60,,Turnover by D. Waiters (lost ball; steal by K. Walker)
11:03.0,M. Williams misses 3-pt shot from 24 ft,,46-60,,
11:02.0,,,46-60,,Defensive rebound by G. Dragic
10:51.0,,,46-62,2,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow)
10:37.0,N. Batum misses 3-pt shot from 25 ft,,46-62,,
10:36.0,,,46-62,,Defensive rebound by D. Waiters
10:19.0,Def 3 sec tech foul by N. Batum,,46-62,,
10:19.0,,,46-63,1,G. Dragic makes technical free throw
10:11.0,,,46-63,,H. Whiteside misses 2-pt shot at rim
10:10.0,,,46-63,,Offensive rebound by G. Dragic
10:09.0,,,46-63,,L. Babbitt misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by Team,,46-63,,
10:07.0,,,46-63,,Loose ball foul by H. Whiteside (drawn by M. Kidd-Gilchrist)
9:56.0,Turnover by C. Zeller (3 sec),,46-63,,
9:50.0,Personal foul by M. Kidd-Gilchrist (drawn by D. Waiters),,46-63,,
9:40.0,,,46-65,2,H. Whiteside makes 2-pt shot from 8 ft (assist by D. Waiters)
9:27.0,K. Walker misses 2-pt shot from 2 ft (block by H. Whiteside),,46-65,,
9:26.0,,,46-65,,Defensive rebound by L. Babbitt
9:01.0,,,46-65,,J. Winslow misses 2-pt shot from 8 ft
9:00.0,,,46-65,,Offensive rebound by Team
8:57.0,,,46-65,,Turnover by J. Winslow (bad pass; steal by C. Zeller)
8:48.0,,,46-65,,Personal foul by L. Babbitt (drawn by M. Kidd-Gilchrist)
8:41.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Williams),3,49-65,,
8:23.0,,,49-65,,H. Whiteside misses 2-pt shot from 16 ft
8:22.0,Defensive rebound by C. Zeller,,49-65,,
8:11.0,M. Williams misses 2-pt shot from 12 ft,,49-65,,
8:10.0,Offensive rebound by C. Zeller,,49-65,,
8:05.0,C. Zeller makes 2-pt shot from 7 ft,2,51-65,,
7:53.0,,,51-65,,Shooting foul by M. Kidd-Gilchrist (drawn by H. Whiteside)
7:53.0,,,51-65,,H. Whiteside misses free throw 1 of 2
7:53.0,,,51-65,,Offensive rebound by Team
7:53.0,,,51-65,,H. Whiteside misses free throw 2 of 2
7:52.0,Defensive rebound by M. Williams,,51-65,,
7:40.0,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum),2,53-65,,
7:40.0,Shooting foul by H. Whiteside (drawn by C. Zeller),,53-65,,
7:40.0,C. Zeller makes free throw 1 of 1,1,54-65,,
7:40.0,,,53-65,,W. Reed enters the game for H. Whiteside
7:35.0,,,54-65,,Miami full timeout
7:23.0,,,54-65,,Turnover by W. Reed (3 sec)
7:09.0,Shooting foul by W. Reed (drawn by M. Kidd-Gilchrist),,54-65,,
7:09.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,55-65,,
7:09.0,M. Kidd-Gilchrist misses free throw 2 of 2,,55-65,,
7:08.0,,,55-65,,Defensive rebound by L. Babbitt
6:52.0,,,55-65,,D. Waiters misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by N. Batum,,55-65,,
6:45.0,K. Walker misses 3-pt shot from 24 ft,,55-65,,
6:44.0,,,55-65,,Defensive rebound by L. Babbitt
6:28.0,,,55-65,,G. Dragic misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by M. Williams,,55-65,,
6:13.0,N. Batum misses 2-pt shot from 12 ft,,55-65,,
6:12.0,,,55-65,,Defensive rebound by J. Winslow
6:05.0,,,55-65,,J. Winslow misses 2-pt shot from 9 ft
6:04.0,Defensive rebound by M. Kidd-Gilchrist,,55-65,,
5:47.0,C. Zeller misses 2-pt shot from 20 ft,,55-65,,
5:46.0,Offensive rebound by N. Batum,,55-65,,
5:42.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,58-65,,
5:27.0,,,58-68,3,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic)
5:07.0,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum),2,60-68,,
4:56.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,60-68,,
4:56.0,,,60-68,,J. Johnson enters the game for J. Winslow
4:56.0,,,60-68,,T. Johnson enters the game for L. Babbitt
4:51.0,,,60-68,,D. Waiters misses 2-pt shot from 2 ft (block by M. Williams)
4:50.0,Defensive rebound by M. Williams,,60-68,,
4:43.0,,,60-68,,Personal foul by G. Dragic (drawn by M. Belinelli)
4:43.0,M. Belinelli makes free throw 1 of 2,1,61-68,,
4:43.0,M. Belinelli makes free throw 2 of 2,1,62-68,,
4:43.0,S. Hawes enters the game for C. Zeller,,61-68,,
4:37.0,Personal foul by M. Belinelli (drawn by T. Johnson),,62-68,,
4:24.0,,,62-71,3,T. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters)
4:09.0,K. Walker makes 2-pt shot from 17 ft,2,64-71,,
3:51.0,,,64-71,,Offensive foul by G. Dragic
3:51.0,,,64-71,,Turnover by G. Dragic (offensive foul)
3:51.0,,,64-71,,R. McGruder enters the game for G. Dragic
3:36.0,N. Batum misses 2-pt shot from 12 ft,,64-71,,
3:35.0,,,64-71,,Defensive rebound by J. Johnson
3:26.0,,,64-71,,Turnover by D. Waiters (bad pass)
3:14.0,K. Walker misses 3-pt shot from 24 ft,,64-71,,
3:13.0,,,64-71,,Defensive rebound by J. Johnson
3:04.0,,,64-73,2,T. Johnson makes 2-pt shot from 15 ft
2:50.0,S. Hawes makes 2-pt shot from 2 ft (assist by N. Batum),2,66-73,,
2:26.0,,,66-73,,T. Johnson misses 2-pt shot from 1 ft
2:25.0,Defensive rebound by M. Williams,,66-73,,
2:18.0,S. Hawes misses 3-pt shot from 25 ft,,66-73,,
2:17.0,,,66-73,,Defensive rebound by J. Johnson
2:09.0,,,66-73,,R. McGruder misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by S. Hawes,,66-73,,
2:05.0,Charlotte full timeout,,66-73,,
2:05.0,R. Sessions enters the game for N. Batum,,66-73,,
2:05.0,J. Lamb enters the game for K. Walker,,66-73,,
2:01.0,M. Belinelli makes 3-pt shot from 25 ft (assist by J. Lamb),3,69-73,,
1:35.0,,,69-73,,J. Johnson misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by R. Sessions,,69-73,,
1:13.0,R. Sessions misses 2-pt shot from 7 ft (block by R. McGruder),,69-73,,
1:12.0,Offensive rebound by R. Sessions,,69-73,,
1:11.0,R. Sessions misses 2-pt shot from 15 ft,,69-73,,
1:06.0,,,69-73,,Defensive rebound by R. McGruder
1:06.0,,,69-73,,Shooting foul by M. Belinelli (drawn by W. Reed)
1:06.0,,,69-74,1,W. Reed makes free throw 1 of 2
1:06.0,,,69-74,,W. Reed misses free throw 2 of 2
1:06.0,,,69-74,,J. Winslow enters the game for D. Waiters
1:05.0,Defensive rebound by J. Lamb,,69-74,,
0:53.0,M. Williams makes 2-pt shot at rim (assist by R. Sessions),2,71-74,,
0:38.0,,,71-74,,T. Johnson misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by J. Lamb,,71-74,,
0:27.0,J. Lamb makes 2-pt shot from 12 ft,2,73-74,,
0:05.0,,,73-77,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow)
0:01.0,J. Lamb misses 2-pt shot from 9 ft,,73-77,,
0:00.0,Offensive rebound by Team,,73-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Belinelli misses 2-pt shot from 17 ft,,73-77,,
11:45.0,Offensive rebound by M. Kidd-Gilchrist,,73-77,,
11:44.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,73-77,,
11:43.0,,,73-77,,Defensive rebound by T. Johnson
11:30.0,,,73-79,2,J. Winslow makes 2-pt shot from 16 ft (assist by J. Johnson)
11:12.0,S. Hawes makes 2-pt shot from 5 ft (assist by R. Sessions),2,75-79,,
10:57.0,,,75-79,,R. McGruder misses 2-pt shot from 7 ft
10:56.0,,,75-79,,Offensive rebound by R. McGruder
10:47.0,,,75-79,,J. Winslow misses 2-pt shot from 15 ft
10:46.0,Defensive rebound by J. Lamb,,75-79,,
10:43.0,R. Sessions misses 2-pt shot from 2 ft,,75-79,,
10:42.0,Offensive rebound by S. Hawes,,75-79,,
10:40.0,Turnover by S. Hawes (lost ball),,75-79,,
10:33.0,,,75-79,,J. Winslow misses 2-pt shot from 1 ft
10:32.0,Defensive rebound by M. Kidd-Gilchrist,,75-79,,
10:27.0,,,75-79,,Personal foul by W. Reed (drawn by S. Hawes)
10:27.0,Offensive foul by S. Hawes,,75-79,,
10:27.0,Turnover by S. Hawes (offensive foul),,75-79,,
10:18.0,,,75-79,,Offensive foul by J. Winslow
10:18.0,,,75-79,,Turnover by J. Winslow (offensive foul)
10:08.0,S. Hawes makes 2-pt shot from 6 ft (assist by R. Sessions),2,77-79,,
9:43.0,,,77-79,,R. McGruder misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by J. Lamb,,77-79,,
9:33.0,J. Lamb makes 2-pt shot from 2 ft,2,79-79,,
9:13.0,,,79-79,,R. McGruder misses 2-pt shot from 6 ft
9:12.0,,,79-79,,Offensive rebound by W. Reed
9:11.0,,,79-79,,W. Reed misses 2-pt shot from 1 ft
9:10.0,,,79-79,,Offensive rebound by Team
9:10.0,,,79-79,,D. Waiters enters the game for J. Winslow
9:01.0,,,79-79,,R. McGruder misses 2-pt shot from 2 ft (block by J. Lamb)
9:00.0,Defensive rebound by R. Sessions,,79-79,,
8:51.0,R. Sessions makes 2-pt shot from 8 ft (assist by M. Belinelli),2,81-79,,
8:51.0,,,81-79,,Miami full timeout
8:51.0,,,81-79,,H. Whiteside enters the game for W. Reed
8:51.0,,,81-79,,G. Dragic enters the game for R. McGruder
8:31.0,,,81-79,,H. Whiteside misses 2-pt shot from 7 ft
8:30.0,Defensive rebound by S. Hawes,,81-79,,
8:16.0,S. Hawes misses 2-pt shot from 17 ft,,81-79,,
8:15.0,,,81-79,,Defensive rebound by D. Waiters
8:03.0,,,81-81,2,D. Waiters makes 2-pt shot from 2 ft
7:50.0,R. Sessions misses 3-pt shot from 25 ft,,81-81,,
7:49.0,,,81-81,,Defensive rebound by H. Whiteside
7:29.0,,,81-81,,T. Johnson misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by Team,,81-81,,
7:14.0,,,81-81,,Personal foul by D. Waiters (drawn by J. Lamb)
7:07.0,J. Lamb misses 2-pt shot from 20 ft,,81-81,,
7:06.0,,,81-81,,Defensive rebound by H. Whiteside
6:53.0,,,81-81,,D. Waiters misses 2-pt shot from 2 ft (block by S. Hawes)
6:52.0,Defensive rebound by S. Hawes,,81-81,,
