time,Milwaukee,pts.away,score,pts.home,Charlotte
9:09.0,,,45-28,2,J. Lamb makes 2-pt shot from 6 ft
8:53.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon),2,47-28,,
8:39.0,,,47-28,,J. Lamb misses 3-pt shot from 28 ft
8:38.0,,,47-28,,Offensive rebound by M. Williams
8:32.0,,,47-28,,M. Williams misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by G. Monroe,,47-28,,
8:20.0,M. Teletovic makes 3-pt shot from 26 ft (assist by K. Middleton),3,50-28,,
8:06.0,,,50-28,,K. Walker misses 2-pt shot from 1 ft
8:06.0,,,50-28,,Offensive rebound by K. Walker
8:06.0,Personal foul by K. Middleton (drawn by K. Walker),,50-28,,
8:06.0,G. Antetokounmpo enters the game for K. Middleton,,50-28,,
8:06.0,S. Hawes enters the game for G. Monroe,,50-28,,
8:06.0,,,50-28,,C. Zeller enters the game for F. Kaminsky
7:57.0,,,50-31,3,K. Walker makes 3-pt shot from 25 ft
7:46.0,M. Teletovic misses 3-pt shot from 25 ft,,50-31,,
7:45.0,,,50-31,,Defensive rebound by M. Belinelli
7:36.0,,,50-33,2,M. Williams makes 2-pt shot from 1 ft (assist by J. Lamb)
7:36.0,Milwaukee full timeout,,50-33,,
7:36.0,,,50-33,,N. Batum enters the game for M. Belinelli
7:16.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,52-33,,
7:03.0,,,52-33,,K. Walker misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by M. Teletovic,,52-33,,
6:42.0,J. Terry misses 2-pt shot from 9 ft,,52-33,,
6:41.0,,,52-33,,Defensive rebound by J. Lamb
6:35.0,Personal foul by S. Hawes (drawn by J. Lamb),,52-33,,
6:21.0,,,52-33,,Shooting foul by M. Teletovic (drawn by J. Lamb)
6:21.0,,,52-34,1,J. Lamb makes free throw 1 of 2
6:21.0,,,52-35,1,J. Lamb makes free throw 2 of 2
6:03.0,Turnover by M. Teletovic (step out of bounds),,52-35,,
5:51.0,Personal foul by J. Terry (drawn by J. Lamb),,52-35,,
5:51.0,Technical foul by M. Teletovic,,52-35,,
5:51.0,,,52-36,1,N. Batum makes technical free throw
5:51.0,T. Snell enters the game for J. Terry,,52-36,,
5:43.0,,,52-36,,J. Lamb misses 2-pt shot from 4 ft
5:42.0,Defensive rebound by G. Antetokounmpo,,52-36,,
5:27.0,M. Teletovic misses 3-pt shot from 23 ft,,52-36,,
5:25.0,,,52-36,,Defensive rebound by C. Zeller
5:21.0,Personal foul by M. Teletovic (drawn by M. Williams),,52-36,,
5:21.0,,,52-37,1,M. Williams makes free throw 1 of 2
5:21.0,,,52-38,1,M. Williams makes free throw 2 of 2
5:21.0,K. Middleton enters the game for M. Teletovic,,52-37,,
4:57.0,Shooting foul by J. Lamb (drawn by K. Middleton),,52-38,,
4:57.0,K. Middleton makes free throw 1 of 2,1,53-38,,
4:57.0,K. Middleton makes free throw 2 of 2,1,54-38,,
4:34.0,,,54-38,,N. Batum misses 3-pt shot from 27 ft
4:33.0,Defensive rebound by T. Snell,,54-38,,
4:24.0,M. Brogdon makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,57-38,,
4:04.0,Personal foul by K. Middleton (drawn by M. Williams),,57-38,,
4:04.0,,,57-39,1,M. Williams makes free throw 1 of 2
4:04.0,,,57-40,1,M. Williams makes free throw 2 of 2
3:54.0,M. Brogdon makes 2-pt shot from 1 ft,2,59-40,,
3:40.0,Violation by S. Hawes (kicked ball),,59-40,,
3:31.0,,,59-40,,N. Batum misses 2-pt shot from 5 ft
3:29.0,Defensive rebound by K. Middleton,,59-40,,
3:13.0,S. Hawes makes 3-pt shot from 26 ft (assist by M. Brogdon),3,62-40,,
3:04.0,,,62-40,,Charlotte full timeout
2:59.0,,,62-42,2,K. Walker makes 2-pt shot from 1 ft
2:59.0,Violation by S. Hawes (def goaltending),,62-42,,
2:49.0,S. Hawes makes 2-pt shot from 1 ft (assist by M. Brogdon),2,64-42,,
2:49.0,Shooting foul by N. Batum (drawn by S. Hawes),,64-42,,
2:49.0,S. Hawes misses free throw 1 of 1,,64-42,,
2:45.0,,,64-42,,Defensive rebound by M. Williams
2:42.0,,,64-44,2,J. Lamb makes 2-pt shot from 14 ft
2:42.0,,,64-44,,Shooting foul by S. Hawes (drawn by J. Lamb)
2:42.0,,,64-45,1,J. Lamb makes free throw 1 of 1
2:22.0,M. Brogdon makes 2-pt shot from 16 ft (assist by S. Hawes),2,66-45,,
2:04.0,,,66-48,3,K. Walker makes 3-pt shot from 27 ft
1:44.0,K. Middleton makes 2-pt shot from 15 ft (assist by M. Brogdon),2,68-48,,
1:25.0,,,68-48,,J. Lamb misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by S. Hawes,,68-48,,
1:06.0,T. Snell makes 2-pt shot at rim (assist by S. Hawes),2,70-48,,
0:54.0,,,70-50,2,K. Walker makes 2-pt shot from 1 ft
0:42.0,S. Hawes misses 3-pt shot from 26 ft,,70-50,,
0:40.0,,,70-50,,Defensive rebound by M. Williams
0:32.0,,,70-50,,K. Walker misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by G. Antetokounmpo,,70-50,,
0:06.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,70-50,,
0:04.0,Offensive rebound by S. Hawes,,70-50,,
0:04.0,S. Hawes makes 2-pt shot from 1 ft,2,72-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,Shooting foul by M. Williams (drawn by G. Antetokounmpo),,72-50,,
11:37.0,G. Antetokounmpo makes free throw 1 of 2,1,73-50,,
11:37.0,G. Antetokounmpo makes free throw 2 of 2,1,74-50,,
11:23.0,,,74-52,2,N. Batum makes 2-pt shot from 16 ft (assist by K. Walker)
11:06.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Brogdon),3,77-52,,
10:50.0,,,77-54,2,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by N. Batum)
10:27.0,T. Maker makes 2-pt shot from 18 ft (assist by M. Brogdon),2,79-54,,
10:06.0,,,79-54,,Shooting foul by T. Maker (drawn by C. Zeller)
10:06.0,,,79-55,1,C. Zeller makes free throw 1 of 2
10:06.0,,,79-56,1,C. Zeller makes free throw 2 of 2
9:53.0,T. Snell makes 2-pt shot from 1 ft (assist by T. Maker),2,81-56,,
9:53.0,,,81-56,,Charlotte full timeout
9:43.0,,,81-56,,Shooting foul by T. Maker (drawn by K. Walker)
9:43.0,,,81-56,,K. Walker misses free throw 1 of 2
9:43.0,,,81-56,,Offensive rebound by Team
9:43.0,,,81-57,1,K. Walker makes free throw 2 of 2
9:25.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,81-57,,
9:23.0,,,81-57,,Defensive rebound by M. Kidd-Gilchrist
9:15.0,,,81-57,,K. Walker misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by G. Antetokounmpo,,81-57,,
9:07.0,K. Middleton misses 3-pt shot from 25 ft,,81-57,,
9:05.0,,,81-57,,Defensive rebound by M. Williams
8:58.0,,,81-57,,M. Williams misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by T. Snell,,81-57,,
8:45.0,K. Middleton misses 3-pt shot from 24 ft,,81-57,,
8:43.0,,,81-57,,Defensive rebound by N. Batum
8:22.0,,,81-57,,K. Walker misses 3-pt shot from 30 ft
8:22.0,,,81-57,,Offensive rebound by Team
8:22.0,,,81-57,,Turnover by Team (shot clock)
8:10.0,T. Snell misses 3-pt shot from 22 ft,,81-57,,
8:05.0,,,81-57,,Defensive rebound by M. Williams
8:04.0,Personal block foul by G. Antetokounmpo (drawn by C. Zeller),,81-57,,
7:55.0,,,81-57,,N. Batum misses 2-pt shot from 15 ft
7:54.0,Defensive rebound by K. Middleton,,81-57,,
7:41.0,K. Middleton makes 2-pt shot from 8 ft (assist by M. Brogdon),2,83-57,,
7:14.0,,,83-57,,Turnover by Team (shot clock)
7:06.0,Turnover by M. Brogdon (bad pass; steal by M. Kidd-Gilchrist),,83-57,,
7:01.0,,,83-59,2,M. Kidd-Gilchrist makes 2-pt shot at rim
6:43.0,G. Antetokounmpo makes 2-pt shot at rim,2,85-59,,
6:28.0,,,85-62,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
6:05.0,K. Middleton misses 2-pt shot from 22 ft,,85-62,,
6:04.0,,,85-62,,Defensive rebound by N. Batum
5:56.0,,,85-62,,N. Batum misses 2-pt shot from 2 ft
5:55.0,Defensive rebound by M. Brogdon,,85-62,,
5:48.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,85-62,,
5:47.0,Offensive rebound by T. Maker,,85-62,,
5:43.0,T. Snell makes 3-pt shot from 23 ft (assist by T. Maker),3,88-62,,
5:43.0,,,88-62,,Charlotte full timeout
5:43.0,G. Monroe enters the game for T. Maker,,88-62,,
5:43.0,M. Dellavedova enters the game for M. Brogdon,,88-62,,
5:43.0,,,88-62,,F. Kaminsky enters the game for M. Williams
5:33.0,Personal foul by T. Snell (drawn by N. Batum),,88-62,,
5:22.0,,,88-65,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by N. Batum)
5:07.0,,,88-65,,Personal foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo)
5:07.0,,,88-65,,M. Belinelli enters the game for N. Batum
5:02.0,J. Terry enters the game for K. Middleton,,88-65,,
4:56.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,90-65,,
4:39.0,,,90-67,2,M. Belinelli makes 2-pt shot from 2 ft (assist by F. Kaminsky)
4:25.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,90-67,,
4:23.0,,,90-67,,Defensive rebound by M. Kidd-Gilchrist
4:13.0,,,90-67,,M. Belinelli misses 2-pt shot from 20 ft
4:11.0,Defensive rebound by J. Terry,,90-67,,
3:55.0,G. Monroe makes 2-pt shot from 5 ft (assist by T. Snell),2,92-67,,
3:41.0,,,92-69,2,M. Kidd-Gilchrist makes 2-pt shot from 8 ft (assist by F. Kaminsky)
3:16.0,Turnover by G. Monroe (bad pass; steal by C. Zeller),,92-69,,
2:55.0,,,92-69,,K. Walker misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by G. Antetokounmpo,,92-69,,
2:46.0,M. Dellavedova misses 3-pt shot from 24 ft,,92-69,,
2:45.0,,,92-69,,Defensive rebound by M. Belinelli
2:26.0,,,92-71,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
2:08.0,T. Snell misses 3-pt shot from 25 ft,,92-71,,
2:07.0,,,92-71,,Defensive rebound by K. Walker
1:59.0,,,92-73,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
1:59.0,Milwaukee full timeout,,92-73,,
1:59.0,K. Middleton enters the game for T. Snell,,92-73,,
1:59.0,,,92-73,,B. Weber enters the game for C. Zeller
1:59.0,,,92-73,,M. Williams enters the game for K. Walker
1:45.0,M. Dellavedova makes 2-pt shot from 3 ft,2,94-73,,
1:25.0,,,94-73,,Shooting foul by K. Middleton (drawn by B. Weber)
1:25.0,,,94-74,1,B. Weber makes free throw 1 of 2
1:25.0,,,94-74,,B. Weber misses free throw 2 of 2
1:24.0,Defensive rebound by G. Antetokounmpo,,94-74,,
1:10.0,Offensive foul by G. Monroe,,94-74,,
1:10.0,Turnover by G. Monroe (offensive foul),,94-74,,
1:10.0,,,94-74,,B. Roberts enters the game for B. Weber
1:00.0,,,94-76,2,M. Belinelli makes 2-pt shot from 11 ft (assist by B. Roberts)
0:48.0,Turnover by M. Dellavedova (bad pass),,94-76,,
0:27.0,,,94-76,,F. Kaminsky misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by M. Dellavedova,,94-76,,
0:06.0,M. Dellavedova misses 3-pt shot from 24 ft,,94-76,,
0:02.0,Offensive rebound by Team,,94-76,,
0:00.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,94-76,,
0:00.0,Offensive rebound by Team,,94-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,94-78,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by B. Roberts)
11:23.0,K. Middleton misses 2-pt shot from 9 ft,,94-78,,
11:22.0,,,94-78,,Defensive rebound by M. Williams
11:11.0,,,94-78,,M. Williams misses 2-pt shot from 3 ft (block by M. Teletovic)
11:09.0,Defensive rebound by M. Teletovic,,94-78,,
11:02.0,,,94-78,,Def 3 sec tech foul by M. Belinelli
11:02.0,K. Middleton makes technical free throw,1,95-78,,
10:53.0,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,98-78,,
10:34.0,,,98-78,,B. Roberts misses 2-pt shot from 15 ft
10:33.0,Defensive rebound by M. Teletovic,,98-78,,
10:22.0,J. Terry misses 3-pt shot from 24 ft,,98-78,,
10:20.0,,,98-78,,Defensive rebound by M. Belinelli
10:13.0,,,98-81,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by M. Belinelli)
9:46.0,K. Middleton misses 3-pt shot from 24 ft,,98-81,,
9:45.0,,,98-81,,Defensive rebound by M. Belinelli
9:31.0,,,98-81,,J. Lamb misses 2-pt shot from 4 ft
9:28.0,Defensive rebound by G. Monroe,,98-81,,
9:13.0,M. Teletovic misses 3-pt shot from 27 ft,,98-81,,
9:12.0,,,98-81,,Defensive rebound by F. Kaminsky
9:05.0,Personal foul by K. Middleton (drawn by J. Lamb),,98-81,,
9:05.0,,,98-81,,C. Zeller enters the game for M. Williams
9:05.0,G. Antetokounmpo enters the game for K. Middleton,,98-81,,
8:50.0,,,98-81,,M. Belinelli misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by G. Antetokounmpo,,98-81,,
8:42.0,G. Antetokounmpo makes 2-pt shot at rim,2,100-81,,
8:28.0,Personal foul by J. Terry (drawn by M. Belinelli),,100-81,,
8:28.0,Official timeout,,100-81,,
8:15.0,,,100-83,2,J. Lamb makes 2-pt shot from 22 ft
7:54.0,Turnover by M. Dellavedova (lost ball; steal by C. Zeller),,100-83,,
7:54.0,Jump ball: M. Dellavedova vs. C. Zeller (M. Belinelli gains possession),,,,Jump ball: M. Dellavedova vs. C. Zeller (M. Belinelli gains possession)
7:38.0,,,100-83,,J. Lamb misses 2-pt shot from 17 ft
7:38.0,Defensive rebound by Team,,100-83,,
7:38.0,,,100-83,,Loose ball foul by B. Roberts (drawn by M. Dellavedova)
7:25.0,Turnover by G. Monroe (bad pass),,100-83,,
7:15.0,Personal foul by G. Monroe (drawn by J. Lamb),,100-83,,
7:15.0,S. Hawes enters the game for G. Monroe,,100-83,,
7:08.0,,,100-83,,F. Kaminsky misses 3-pt shot from 28 ft
7:07.0,Defensive rebound by M. Dellavedova,,100-83,,
6:57.0,J. Terry makes 3-pt shot from 25 ft (assist by M. Teletovic),3,103-83,,
6:43.0,,,103-83,,B. Roberts misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by S. Hawes,,103-83,,
6:35.0,Turnover by M. Dellavedova (bad pass; steal by B. Roberts),,103-83,,
6:33.0,,,103-83,,Shooting foul by M. Dellavedova (drawn by B. Roberts)
6:33.0,,,103-84,1,B. Roberts makes free throw 1 of 2
6:33.0,,,103-85,1,B. Roberts makes free throw 2 of 2
6:33.0,,,103-84,,N. Batum enters the game for C. Zeller
6:12.0,S. Hawes misses 2-pt shot from 2 ft,,103-85,,
6:10.0,,,103-85,,Defensive rebound by J. Lamb
6:07.0,,,103-87,2,B. Roberts makes 2-pt shot from 1 ft (assist by J. Lamb)
6:07.0,,,103-87,,Shooting foul by M. Dellavedova (drawn by B. Roberts)
6:07.0,,,103-87,,B. Roberts misses free throw 1 of 1
6:07.0,M. Brogdon enters the game for M. Dellavedova,,103-87,,
6:06.0,Defensive rebound by G. Antetokounmpo,,103-87,,
5:50.0,M. Brogdon misses 2-pt shot from 19 ft,,103-87,,
5:49.0,,,103-87,,Defensive rebound by F. Kaminsky
5:25.0,,,103-89,2,F. Kaminsky makes 2-pt shot from 17 ft (assist by B. Roberts)
5:09.0,M. Brogdon makes 2-pt shot from 1 ft,2,105-89,,
4:54.0,,,105-91,2,F. Kaminsky makes 2-pt shot at rim (assist by B. Roberts)
4:39.0,Turnover by S. Hawes (bad pass; steal by J. Lamb),,105-91,,
4:32.0,,,105-94,3,J. Lamb makes 3-pt shot from 26 ft (assist by N. Batum)
4:32.0,Milwaukee full timeout,,105-94,,
4:32.0,,,105-94,,K. Walker enters the game for B. Roberts
4:32.0,T. Snell enters the game for J. Terry,,105-94,,
4:32.0,G. Monroe enters the game for M. Teletovic,,105-94,,
4:32.0,K. Middleton enters the game for S. Hawes,,105-94,,
4:12.0,T. Snell makes 2-pt shot from 2 ft (assist by M. Brogdon),2,107-94,,
3:58.0,,,107-94,,F. Kaminsky misses 2-pt shot from 19 ft
3:57.0,Defensive rebound by K. Middleton,,107-94,,
3:46.0,Shooting foul by F. Kaminsky (drawn by G. Antetokounmpo),,107-94,,
3:46.0,G. Antetokounmpo makes free throw 1 of 2,1,108-94,,
3:46.0,G. Antetokounmpo misses free throw 2 of 2,,108-94,,
3:45.0,,,108-94,,Defensive rebound by J. Lamb
3:34.0,,,108-97,3,K. Walker makes 3-pt shot from 26 ft (assist by M. Belinelli)
3:11.0,T. Snell makes 3-pt shot from 23 ft (assist by M. Brogdon),3,111-97,,
2:45.0,,,111-99,2,K. Walker makes 2-pt shot from 1 ft
2:27.0,G. Monroe makes 2-pt shot from 1 ft,2,113-99,,
2:10.0,,,113-99,,Charlotte full timeout
2:03.0,,,113-99,,K. Walker misses 2-pt shot from 2 ft
2:02.0,,,113-99,,Offensive rebound by F. Kaminsky
2:02.0,,,113-101,2,F. Kaminsky makes 2-pt shot from 1 ft
1:40.0,K. Middleton makes 2-pt shot from 18 ft,2,115-101,,
1:26.0,,,115-103,2,K. Walker makes 2-pt shot from 1 ft
1:26.0,,,115-103,,Shooting foul by M. Brogdon (drawn by K. Walker)
1:26.0,,,115-104,1,K. Walker makes free throw 1 of 1
1:06.0,Turnover by G. Monroe (bad pass),,115-104,,
0:54.0,,,115-106,2,F. Kaminsky makes 2-pt shot from 7 ft
0:54.0,,,115-106,,Personal foul by M. Belinelli (drawn by K. Middleton)
0:54.0,,,115-106,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:42.0,,,115-106,,Personal take foul by J. Lamb (drawn by K. Middleton)
0:42.0,K. Middleton misses free throw 1 of 2,,115-106,,
0:42.0,Offensive rebound by Team,,115-106,,
0:42.0,K. Middleton makes free throw 2 of 2,1,116-106,,
