time,Golden State,pts.away,score,pts.home,Boston
7:38.0,Defensive rebound by D. West,,38-32,,
7:24.0,D. West makes 2-pt shot at rim (assist by S. Livingston),2,40-32,,
7:07.0,,,40-34,2,J. Jerebko makes 2-pt shot from 6 ft
6:49.0,K. Thompson makes 2-pt shot from 10 ft (assist by K. Durant),2,42-34,,
6:34.0,,,42-34,,G. Green misses 2-pt shot from 3 ft
6:33.0,,,42-34,,Offensive rebound by K. Olynyk
6:32.0,,,42-34,,K. Olynyk misses 2-pt shot from 2 ft (block by S. Livingston)
6:30.0,Defensive rebound by K. Durant,,42-34,,
6:25.0,Turnover by S. Livingston (bad pass; steal by J. Jerebko),,42-34,,
6:24.0,Personal foul by S. Livingston (drawn by J. Jerebko),,42-34,,
6:24.0,,,42-34,,M. Smart enters the game for T. Rozier
6:24.0,S. Curry enters the game for K. Durant,,42-34,,
6:24.0,D. Green enters the game for K. Thompson,,42-34,,
6:24.0,J. McAdoo enters the game for D. West,,42-34,,
6:11.0,,,42-36,2,A. Bradley makes 2-pt shot from 17 ft (assist by K. Olynyk)
5:54.0,D. Green misses 3-pt shot from 26 ft,,42-36,,
5:53.0,,,42-36,,Defensive rebound by A. Bradley
5:44.0,,,42-36,,A. Bradley misses 2-pt shot from 12 ft
5:43.0,Defensive rebound by S. Livingston,,42-36,,
5:26.0,P. McCaw misses 3-pt shot from 26 ft,,42-36,,
5:25.0,,,42-36,,Defensive rebound by G. Green
5:14.0,,,42-36,,G. Green misses 2-pt shot from 2 ft
5:13.0,Defensive rebound by D. Green,,42-36,,
5:11.0,,,42-36,,Personal foul by J. Jerebko (drawn by S. Livingston)
5:11.0,Official timeout,,42-36,,
5:11.0,,,42-36,,I. Thomas enters the game for K. Olynyk
5:11.0,,,42-36,,A. Johnson enters the game for A. Bradley
4:53.0,S. Curry makes 2-pt shot from 23 ft,2,44-36,,
4:31.0,,,44-36,,G. Green misses 2-pt shot from 11 ft (block by S. Livingston)
4:30.0,Defensive rebound by S. Livingston,,44-36,,
4:22.0,S. Curry misses 3-pt shot from 26 ft,,44-36,,
4:21.0,,,44-36,,Defensive rebound by Team
4:21.0,Loose ball foul by D. Green (drawn by M. Smart),,44-36,,
4:02.0,,,44-39,3,G. Green makes 3-pt shot from 26 ft (assist by I. Thomas)
3:41.0,S. Livingston misses 2-pt shot from 13 ft,,44-39,,
3:40.0,,,44-39,,Defensive rebound by J. Jerebko
3:29.0,,,44-41,2,I. Thomas makes 2-pt shot from 1 ft
3:29.0,Golden State full timeout,,44-41,,
3:29.0,A. Iguodala enters the game for J. McAdoo,,44-41,,
3:29.0,K. Durant enters the game for P. McCaw,,44-41,,
3:29.0,K. Thompson enters the game for S. Livingston,,44-41,,
3:04.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,46-41,,
2:51.0,,,46-44,3,G. Green makes 3-pt shot from 25 ft (assist by I. Thomas)
2:40.0,Shooting foul by G. Green (drawn by D. Green),,46-44,,
2:40.0,D. Green makes free throw 1 of 2,1,47-44,,
2:40.0,D. Green misses free throw 2 of 2,,47-44,,
2:40.0,,,47-44,,Defensive rebound by G. Green
2:40.0,,,47-44,,A. Bradley enters the game for J. Jerebko
2:27.0,,,47-44,,I. Thomas misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by K. Durant,,47-44,,
2:12.0,K. Thompson makes 2-pt shot from 17 ft,2,49-44,,
2:06.0,Shooting block foul by K. Thompson (drawn by I. Thomas),,49-44,,
2:06.0,,,49-45,1,I. Thomas makes free throw 1 of 2
2:06.0,,,49-46,1,I. Thomas makes free throw 2 of 2
1:52.0,S. Curry makes 2-pt shot from 3 ft (assist by D. Green),2,51-46,,
1:33.0,,,51-46,,G. Green misses 2-pt shot from 11 ft
1:32.0,Defensive rebound by A. Iguodala,,51-46,,
1:25.0,K. Durant misses 3-pt shot from 25 ft,,51-46,,
1:24.0,,,51-46,,Defensive rebound by A. Bradley
1:18.0,,,51-46,,I. Thomas misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by D. Green,,51-46,,
1:06.0,K. Durant makes 2-pt shot from 10 ft (assist by D. Green),2,53-46,,
0:57.0,Personal block foul by S. Curry (drawn by I. Thomas),,53-46,,
0:57.0,,,53-47,1,I. Thomas makes free throw 1 of 2
0:57.0,,,53-48,1,I. Thomas makes free throw 2 of 2
0:57.0,,,53-47,,K. Olynyk enters the game for A. Johnson
0:46.0,K. Thompson misses 3-pt shot from 29 ft,,53-48,,
0:45.0,,,53-48,,Defensive rebound by K. Olynyk
0:32.0,,,53-48,,I. Thomas misses 2-pt shot from 1 ft
0:32.0,Defensive rebound by D. Green,,53-48,,
0:14.0,K. Thompson makes 2-pt shot from 2 ft (assist by A. Iguodala),2,55-48,,
0:04.0,,,55-48,,M. Smart misses 3-pt shot from 27 ft
0:03.0,Defensive rebound by D. Green,,55-48,,
0:00.0,S. Curry misses 3-pt shot from 43 ft,,55-48,,
0:00.0,Offensive rebound by Team,,55-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,K. Durant misses 2-pt shot from 13 ft,,55-48,,
11:49.0,,,55-48,,Defensive rebound by A. Johnson
11:33.0,,,55-48,,I. Thomas misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by K. Durant,,55-48,,
11:25.0,S. Curry misses 3-pt shot from 26 ft,,55-48,,
11:24.0,Offensive rebound by Z. Pachulia,,55-48,,
11:21.0,K. Thompson misses 3-pt shot from 26 ft,,55-48,,
11:20.0,Offensive rebound by K. Durant,,55-48,,
11:14.0,,,55-48,,Personal foul by I. Thomas (drawn by Z. Pachulia)
11:11.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,58-48,,
10:56.0,,,58-48,,K. Olynyk misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by K. Durant,,58-48,,
10:46.0,D. Green makes 3-pt shot from 25 ft (assist by K. Durant),3,61-48,,
10:21.0,,,61-51,3,I. Thomas makes 3-pt shot from 26 ft (assist by M. Smart)
10:00.0,K. Thompson makes 2-pt shot from 8 ft (assist by D. Green),2,63-51,,
9:42.0,,,63-51,,Turnover by A. Johnson (bad pass; steal by K. Durant)
9:30.0,Turnover by D. Green (bad pass),,63-51,,
9:17.0,,,63-51,,K. Olynyk misses 2-pt shot from 10 ft (block by S. Curry)
9:16.0,Defensive rebound by Team,,63-51,,
9:16.0,,,63-51,,J. Jerebko enters the game for A. Johnson
9:01.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,66-51,,
8:35.0,,,66-51,,M. Smart misses 2-pt shot from 23 ft
8:34.0,Defensive rebound by Z. Pachulia,,66-51,,
8:25.0,K. Thompson makes 2-pt shot from 14 ft,2,68-51,,
8:25.0,,,68-51,,Boston full timeout
8:25.0,,,68-51,,J. Mickey enters the game for K. Olynyk
8:07.0,,,68-51,,Turnover by A. Bradley (bad pass; steal by K. Durant)
8:03.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,70-51,,
7:54.0,,,70-51,,Turnover by M. Smart (bad pass; steal by S. Curry)
7:48.0,S. Curry makes 3-pt shot from 26 ft,3,73-51,,
7:47.0,,,73-51,,Boston full timeout
7:24.0,,,73-51,,J. Mickey misses 2-pt shot from 3 ft
7:23.0,Defensive rebound by Z. Pachulia,,73-51,,
7:18.0,S. Curry makes 2-pt shot from 1 ft (assist by K. Durant),2,75-51,,
6:55.0,,,75-51,,Turnover by J. Jerebko (bad pass; steal by Z. Pachulia)
6:44.0,Turnover by K. Thompson (lost ball),,75-51,,
6:44.0,,,75-51,,T. Rozier enters the game for J. Jerebko
6:44.0,,,75-51,,G. Green enters the game for A. Bradley
6:31.0,,,75-51,,G. Green misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by K. Thompson,,75-51,,
6:16.0,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green),2,77-51,,
5:52.0,,,77-51,,G. Green misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by K. Durant,,77-51,,
5:39.0,Z. Pachulia makes 2-pt shot from 17 ft (assist by K. Thompson),2,79-51,,
5:21.0,,,79-51,,M. Smart misses 3-pt shot from 23 ft
5:20.0,,,79-51,,Offensive rebound by Team
5:20.0,A. Iguodala enters the game for K. Durant,,79-51,,
5:20.0,,,79-51,,T. Zeller enters the game for J. Mickey
5:16.0,,,79-51,,I. Thomas misses 3-pt shot from 23 ft
5:15.0,Defensive rebound by A. Iguodala,,79-51,,
5:02.0,K. Thompson misses 3-pt shot from 26 ft,,79-51,,
5:01.0,,,79-51,,Defensive rebound by G. Green
4:52.0,Personal foul by S. Curry (drawn by I. Thomas),,79-51,,
4:52.0,Technical foul by S. Curry (drawn by I. Thomas),,79-51,,
4:52.0,,,79-52,1,I. Thomas makes technical free throw
4:52.0,,,79-52,,J. Brown enters the game for I. Thomas
4:41.0,,,79-52,,M. Smart misses 2-pt shot from 1 ft
4:41.0,,,79-52,,Offensive rebound by T. Zeller
4:41.0,Personal foul by S. Curry (drawn by T. Zeller),,79-52,,
4:41.0,I. Clark enters the game for K. Thompson,,79-52,,
4:31.0,,,79-54,2,M. Smart makes 2-pt shot from 6 ft (assist by T. Zeller)
4:18.0,D. Green misses 2-pt shot from 12 ft,,79-54,,
4:17.0,,,79-54,,Defensive rebound by T. Rozier
4:06.0,,,79-54,,G. Green misses 2-pt shot from 6 ft
4:05.0,Defensive rebound by Z. Pachulia,,79-54,,
3:45.0,Z. Pachulia misses 2-pt shot from 18 ft,,79-54,,
3:44.0,,,79-54,,Defensive rebound by G. Green
3:34.0,,,79-54,,Shooting foul by A. Iguodala (drawn by J. Brown)
3:34.0,,,79-55,1,J. Brown makes free throw 1 of 2
3:34.0,Golden State full timeout,,79-55,,
3:34.0,,,79-55,,J. Brown misses free throw 2 of 2
3:34.0,Defensive rebound by K. Durant,,79-55,,
3:34.0,K. Durant enters the game for Z. Pachulia,,79-55,,
3:14.0,K. Durant makes 2-pt shot from 20 ft (assist by S. Curry),2,81-55,,
2:57.0,,,81-55,,Turnover by T. Zeller (lost ball; steal by K. Durant)
2:52.0,I. Clark misses 2-pt shot from 1 ft (block by J. Brown),,81-55,,
2:51.0,,,81-55,,Defensive rebound by G. Green
2:35.0,,,81-55,,Shooting foul by D. Green (drawn by T. Rozier)
2:35.0,,,81-56,1,T. Rozier makes free throw 1 of 2
2:35.0,,,81-57,1,T. Rozier makes free throw 2 of 2
2:35.0,,,81-56,,A. Bradley enters the game for M. Smart
2:19.0,A. Iguodala misses 3-pt shot from 25 ft,,81-57,,
2:18.0,,,81-57,,Defensive rebound by T. Zeller
1:54.0,,,81-57,,T. Zeller misses 2-pt shot from 8 ft
1:53.0,Defensive rebound by A. Iguodala,,81-57,,
1:46.0,S. Curry misses 3-pt shot from 28 ft,,81-57,,
1:45.0,Offensive rebound by I. Clark,,81-57,,
1:38.0,D. Green misses 3-pt shot from 27 ft,,81-57,,
1:37.0,,,81-57,,Defensive rebound by A. Bradley
1:20.0,,,81-57,,T. Rozier misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by K. Durant,,81-57,,
1:09.0,,,81-57,,Personal foul by J. Brown (drawn by K. Durant)
1:09.0,D. West enters the game for D. Green,,81-57,,
0:59.0,I. Clark makes 3-pt shot from 25 ft (assist by S. Curry),3,84-57,,
0:42.0,,,84-57,,A. Bradley misses 3-pt shot from 24 ft
0:41.0,,,84-57,,Offensive rebound by T. Zeller
0:29.0,,,84-57,,G. Green misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by A. Iguodala,,84-57,,
0:00.0,D. West makes 2-pt shot from 16 ft (assist by S. Curry),2,86-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,86-57,,T. Zeller misses 2-pt shot from 3 ft (block by K. Durant)
11:48.0,,,86-57,,Offensive rebound by Team
11:47.0,,,86-57,,Shooting foul by D. West (drawn by A. Bradley)
11:47.0,,,86-57,,A. Bradley misses free throw 1 of 2
11:47.0,,,86-57,,Offensive rebound by Team
11:47.0,,,86-58,1,A. Bradley makes free throw 2 of 2
11:33.0,D. West misses 2-pt shot from 14 ft,,86-58,,
11:33.0,,,86-58,,Defensive rebound by J. Young
11:17.0,,,86-58,,J. Brown misses 2-pt shot from 13 ft
11:16.0,Defensive rebound by D. West,,86-58,,
11:10.0,K. Durant makes 2-pt shot from 2 ft (assist by K. Thompson),2,88-58,,
10:52.0,,,88-60,2,J. Young makes 2-pt shot from 3 ft (assist by T. Rozier)
10:38.0,K. Thompson misses 2-pt shot from 19 ft,,88-60,,
10:37.0,,,88-60,,Defensive rebound by T. Rozier
10:29.0,,,88-63,3,J. Brown makes 3-pt shot from 23 ft (assist by J. Young)
10:09.0,K. Thompson makes 2-pt shot from 17 ft (assist by K. Durant),2,90-63,,
9:57.0,,,90-63,,J. Young misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by K. Thompson,,90-63,,
9:46.0,Shooting foul by T. Rozier (drawn by S. Livingston),,90-63,,
9:46.0,S. Livingston misses free throw 1 of 2,,90-63,,
9:46.0,Offensive rebound by Team,,90-63,,
9:46.0,S. Livingston makes free throw 2 of 2,1,91-63,,
9:36.0,,,91-66,3,A. Bradley makes 3-pt shot from 26 ft (assist by T. Zeller)
9:24.0,K. Thompson misses 2-pt shot from 20 ft,,91-66,,
9:22.0,,,91-66,,Defensive rebound by A. Bradley
9:14.0,,,91-69,3,A. Bradley makes 3-pt shot from 25 ft
8:55.0,K. Durant makes 2-pt shot from 16 ft (assist by S. Livingston),2,93-69,,
8:38.0,,,93-71,2,A. Bradley makes 2-pt shot from 9 ft
8:27.0,A. Iguodala misses 2-pt shot from 2 ft,,93-71,,
8:26.0,Offensive rebound by A. Iguodala,,93-71,,
8:25.0,A. Iguodala makes 2-pt shot from 2 ft,2,95-71,,
8:25.0,Shooting foul by T. Zeller (drawn by A. Iguodala),,95-71,,
8:25.0,Official timeout,,95-71,,
8:25.0,A. Iguodala misses free throw 1 of 1,,95-71,,
8:25.0,,,95-71,,Defensive rebound by J. Brown
8:10.0,,,95-73,2,J. Brown makes 2-pt shot from 13 ft (assist by T. Rozier)
7:57.0,K. Thompson misses 2-pt shot from 15 ft,,95-73,,
7:56.0,,,95-73,,Defensive rebound by T. Rozier
7:36.0,,,95-75,2,A. Bradley makes 2-pt shot from 7 ft
7:20.0,K. Thompson misses 2-pt shot from 10 ft (block by A. Bradley),,95-75,,
7:18.0,,,95-75,,Defensive rebound by T. Rozier
7:14.0,,,95-75,,A. Bradley misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by K. Thompson,,95-75,,
7:09.0,Golden State full timeout,,95-75,,
7:09.0,P. McCaw enters the game for K. Durant,,95-75,,
7:09.0,D. Green enters the game for K. Thompson,,95-75,,
7:09.0,S. Curry enters the game for A. Iguodala,,95-75,,
6:55.0,S. Curry misses 2-pt shot from 20 ft,,95-75,,
6:54.0,,,95-75,,Defensive rebound by J. Young
6:30.0,,,95-75,,T. Zeller misses 2-pt shot from 18 ft
6:29.0,Defensive rebound by D. Green,,95-75,,
6:18.0,S. Curry misses 3-pt shot from 24 ft,,95-75,,
6:17.0,,,95-75,,Defensive rebound by T. Zeller
5:57.0,,,95-78,3,T. Rozier makes 3-pt shot from 25 ft
5:34.0,D. West misses 2-pt shot from 21 ft,,95-78,,
5:33.0,,,95-78,,Defensive rebound by A. Bradley
5:23.0,,,95-78,,A. Bradley misses 2-pt shot from 1 ft
5:23.0,Defensive rebound by S. Curry,,95-78,,
5:19.0,P. McCaw makes 2-pt shot at rim (assist by S. Curry),2,97-78,,
5:16.0,,,97-78,,Boston full timeout
5:16.0,,,97-78,,I. Thomas enters the game for T. Rozier
5:16.0,Z. Pachulia enters the game for D. West,,97-78,,
5:05.0,,,97-81,3,J. Brown makes 3-pt shot from 23 ft (assist by I. Thomas)
4:43.0,D. Green misses 3-pt shot from 26 ft,,97-81,,
4:42.0,,,97-81,,Defensive rebound by A. Bradley
4:34.0,,,97-81,,I. Thomas misses 2-pt shot from 1 ft (block by D. Green)
4:33.0,Defensive rebound by P. McCaw,,97-81,,
4:30.0,S. Curry misses 2-pt shot from 1 ft,,97-81,,
4:29.0,,,97-81,,Defensive rebound by A. Bradley
4:22.0,,,97-81,,J. Brown misses 3-pt shot from 26 ft
4:22.0,,,97-81,,Offensive rebound by T. Zeller
4:22.0,Personal foul by S. Curry (drawn by T. Zeller),,97-81,,
4:12.0,Personal foul by S. Livingston (drawn by T. Zeller),,97-81,,
4:00.0,,,97-81,,Turnover by T. Zeller (bad pass; steal by D. Green)
3:59.0,,,97-81,,Personal foul by J. Brown (drawn by D. Green)
3:44.0,P. McCaw misses 3-pt shot from 25 ft,,97-81,,
3:42.0,,,97-81,,Defensive rebound by T. Zeller
3:34.0,Personal foul by S. Livingston (drawn by I. Thomas),,97-81,,
3:34.0,,,97-81,,T. Rozier enters the game for A. Bradley
3:27.0,,,97-81,,T. Zeller misses 2-pt shot from 8 ft
3:26.0,Defensive rebound by D. Green,,97-81,,
3:11.0,Offensive foul by Z. Pachulia,,97-81,,
3:11.0,Turnover by Z. Pachulia (offensive foul),,97-81,,
2:57.0,,,97-81,,J. Young misses 3-pt shot from 25 ft
2:56.0,,,97-81,,Offensive rebound by T. Rozier
2:54.0,,,97-83,2,T. Rozier makes 2-pt shot from 2 ft
2:39.0,Shooting foul by J. Brown (drawn by D. Green),,97-83,,
2:39.0,D. Green makes free throw 1 of 2,1,98-83,,
2:39.0,D. Green makes free throw 2 of 2,1,99-83,,
2:39.0,I. Clark enters the game for S. Livingston,,98-83,,
2:22.0,,,99-83,,Shooting foul by I. Clark (drawn by I. Thomas)
2:22.0,,,99-84,1,I. Thomas makes free throw 1 of 2
2:22.0,,,99-85,1,I. Thomas makes free throw 2 of 2
2:09.0,Turnover by S. Curry (bad pass),,99-85,,
