time,Brooklyn,pts.away,score,pts.home,Minnesota
7:00.0,,,5-15,,Defensive rebound by Z. LaVine
6:55.0,,,5-15,,Shooting foul by S. Dinwiddie (drawn by K. Towns)
6:55.0,,,5-15,,K. Towns misses free throw 1 of 2
6:55.0,,,5-15,,Offensive rebound by Team
6:55.0,,,5-16,1,K. Towns makes free throw 2 of 2
6:55.0,S. Kilpatrick enters the game for S. Dinwiddie,,5-15,,
6:55.0,I. Whitehead enters the game for R. Foye,,5-15,,
6:55.0,C. LeVert enters the game for B. Bogdanovic,,5-15,,
6:36.0,B. Lopez misses 3-pt shot from 25 ft,,5-16,,
6:35.0,,,5-16,,Defensive rebound by R. Rubio
6:21.0,,,5-19,3,Z. LaVine makes 3-pt shot from 25 ft
6:14.0,B. Lopez makes 2-pt shot from 1 ft (assist by I. Whitehead),2,7-19,,
5:57.0,,,7-19,,Z. LaVine misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by T. Booker,,7-19,,
5:34.0,S. Kilpatrick misses 2-pt shot from 19 ft,,7-19,,
5:33.0,,,7-19,,Defensive rebound by K. Towns
5:27.0,Violation by C. LeVert (kicked ball),,7-19,,
5:27.0,R. Hollis-Jefferson enters the game for T. Booker,,7-19,,
5:23.0,,,7-19,,Turnover by K. Towns (bad pass; steal by B. Lopez)
5:17.0,B. Lopez makes 3-pt shot from 25 ft (assist by I. Whitehead),3,10-19,,
5:00.0,,,10-19,,Turnover by A. Wiggins (lost ball; steal by C. LeVert)
4:57.0,Shooting foul by R. Rubio (drawn by I. Whitehead),,10-19,,
4:57.0,I. Whitehead makes free throw 1 of 2,1,11-19,,
4:57.0,I. Whitehead makes free throw 2 of 2,1,12-19,,
4:57.0,,,11-19,,K. Dunn enters the game for R. Rubio
4:57.0,,,11-19,,S. Muhammad enters the game for Z. LaVine
4:45.0,,,12-19,,K. Towns misses 2-pt shot from 11 ft
4:44.0,Defensive rebound by C. LeVert,,12-19,,
4:40.0,C. LeVert makes 2-pt shot from 16 ft,2,14-19,,
4:20.0,,,14-19,,A. Wiggins misses 2-pt shot from 11 ft
4:18.0,Defensive rebound by B. Lopez,,14-19,,
4:12.0,S. Kilpatrick makes 2-pt shot from 4 ft,2,16-19,,
3:58.0,,,16-21,2,K. Dunn makes 2-pt shot from 21 ft
3:45.0,C. LeVert misses 2-pt shot from 12 ft,,16-21,,
3:44.0,,,16-21,,Defensive rebound by G. Dieng
3:41.0,,,16-21,,Turnover by G. Dieng (back court)
3:41.0,J. Hamilton enters the game for B. Lopez,,16-21,,
3:32.0,J. Hamilton makes 2-pt shot from 13 ft (assist by I. Whitehead),2,18-21,,
3:16.0,,,18-24,3,S. Muhammad makes 3-pt shot from 25 ft (assist by K. Dunn)
2:56.0,J. Hamilton misses 2-pt shot from 13 ft (block by K. Towns),,18-24,,
2:55.0,,,18-24,,Defensive rebound by G. Dieng
2:43.0,,,18-26,2,A. Wiggins makes 2-pt shot from 5 ft (assist by K. Dunn)
2:22.0,I. Whitehead makes 2-pt shot from 15 ft,2,20-26,,
2:09.0,,,20-26,,K. Towns misses 2-pt shot from 13 ft
2:07.0,Defensive rebound by C. LeVert,,20-26,,
2:03.0,S. Kilpatrick misses 2-pt shot from 1 ft (block by A. Wiggins),,20-26,,
2:02.0,Offensive rebound by J. Hamilton,,20-26,,
2:02.0,J. Hamilton makes 2-pt shot from 1 ft,2,22-26,,
1:37.0,,,22-29,3,S. Muhammad makes 3-pt shot from 25 ft (assist by A. Wiggins)
1:27.0,Turnover by I. Whitehead (bad pass; steal by K. Towns),,22-29,,
1:22.0,,,22-29,,Shooting foul by C. LeVert (drawn by S. Muhammad)
1:22.0,,,22-29,,Minnesota full timeout
1:22.0,,,22-30,1,S. Muhammad makes free throw 1 of 2
1:22.0,,,22-31,1,S. Muhammad makes free throw 2 of 2
1:22.0,,,22-29,,N. Bjelica enters the game for G. Dieng
1:11.0,J. Hamilton makes 2-pt shot from 2 ft (assist by C. LeVert),2,24-31,,
0:55.0,,,24-31,,A. Wiggins misses 2-pt shot from 16 ft
0:54.0,Defensive rebound by R. Hollis-Jefferson,,24-31,,
0:49.0,C. LeVert misses 2-pt shot from 24 ft,,24-31,,
0:47.0,,,24-31,,Defensive rebound by K. Towns
0:38.0,,,24-33,2,K. Towns makes 2-pt shot from 1 ft (assist by N. Bjelica)
0:29.0,I. Whitehead misses 2-pt shot from 16 ft,,24-33,,
0:27.0,,,24-33,,Defensive rebound by K. Dunn
0:07.0,,,24-33,,Turnover by A. Wiggins (bad pass; steal by I. Whitehead)
0:03.0,S. Kilpatrick makes 2-pt shot at rim (assist by I. Whitehead),2,26-33,,
0:01.0,,,26-33,,S. Muhammad misses 3-pt shot from 25 ft
0:00.0,,,26-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,I. Whitehead misses 3-pt shot from 24 ft,,26-33,,
11:40.0,,,26-33,,Defensive rebound by Z. LaVine
11:26.0,,,26-33,,Z. LaVine misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by I. Whitehead,,26-33,,
11:19.0,S. Kilpatrick misses 2-pt shot from 17 ft,,26-33,,
11:18.0,,,26-33,,Defensive rebound by Z. LaVine
11:12.0,,,26-33,,Turnover by K. Dunn (bad pass; steal by I. Whitehead)
11:05.0,J. Hamilton makes 3-pt shot from 24 ft (assist by I. Whitehead),3,29-33,,
10:46.0,,,29-33,,S. Muhammad misses 2-pt shot from 12 ft
10:44.0,,,29-33,,Offensive rebound by S. Muhammad
10:42.0,,,29-33,,Turnover by C. Aldrich (traveling)
10:42.0,R. Foye enters the game for S. Kilpatrick,,29-33,,
10:42.0,B. Bogdanovic enters the game for C. LeVert,,29-33,,
10:21.0,R. Foye misses 2-pt shot from 21 ft,,29-33,,
10:20.0,,,29-33,,Defensive rebound by K. Dunn
10:07.0,,,29-33,,C. Aldrich misses 2-pt shot from 9 ft
10:06.0,Defensive rebound by R. Hollis-Jefferson,,29-33,,
10:01.0,Shooting foul by C. Aldrich (drawn by I. Whitehead),,29-33,,
10:01.0,I. Whitehead makes free throw 1 of 2,1,30-33,,
10:01.0,I. Whitehead makes free throw 2 of 2,1,31-33,,
10:01.0,B. Lopez enters the game for J. Hamilton,,30-33,,
10:01.0,,,30-33,,G. Dieng enters the game for C. Aldrich
9:52.0,,,31-33,,Shooting foul by B. Lopez (drawn by Z. LaVine)
9:52.0,,,31-34,1,Z. LaVine makes free throw 1 of 2
9:52.0,,,31-34,,Z. LaVine misses free throw 2 of 2
9:52.0,Defensive rebound by R. Hollis-Jefferson,,31-34,,
9:41.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,31-34,,
9:40.0,,,31-34,,Defensive rebound by Z. LaVine
9:36.0,,,31-34,,Offensive charge foul by Z. LaVine
9:36.0,,,31-34,,Turnover by Z. LaVine (offensive foul)
9:25.0,Turnover by R. Foye (lost ball; steal by G. Dieng),,31-34,,
9:20.0,,,31-34,,S. Muhammad misses 2-pt shot from 2 ft (block by I. Whitehead)
9:19.0,,,31-34,,Offensive rebound by Team
9:19.0,T. Booker enters the game for R. Hollis-Jefferson,,31-34,,
9:08.0,,,31-34,,Shooting foul by T. Booker (drawn by S. Muhammad)
9:08.0,,,31-35,1,S. Muhammad makes free throw 1 of 2
9:08.0,,,31-36,1,S. Muhammad makes free throw 2 of 2
9:08.0,Q. Acy enters the game for T. Booker,,31-35,,
8:54.0,Turnover by B. Bogdanovic (traveling),,31-36,,
8:54.0,,,31-36,,Minnesota full timeout
8:42.0,,,31-36,,Z. LaVine misses 2-pt shot from 18 ft
8:40.0,Defensive rebound by B. Bogdanovic,,31-36,,
8:35.0,R. Foye makes 2-pt shot at rim,2,33-36,,
8:21.0,Def 3 sec tech foul by B. Lopez,,33-36,,
8:21.0,,,33-37,1,Z. LaVine makes technical free throw
8:07.0,,,33-39,2,Z. LaVine makes 2-pt shot from 16 ft
7:48.0,I. Whitehead makes 2-pt shot from 4 ft,2,35-39,,
7:36.0,,,35-39,,N. Bjelica misses 3-pt shot from 24 ft
7:33.0,,,35-39,,Offensive rebound by S. Muhammad
7:32.0,,,35-41,2,S. Muhammad makes 2-pt shot from 2 ft
7:15.0,R. Foye makes 3-pt shot from 25 ft,3,38-41,,
7:03.0,,,38-43,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
6:42.0,B. Bogdanovic misses 2-pt shot from 22 ft,,38-43,,
6:39.0,,,38-43,,Defensive rebound by K. Dunn
6:28.0,Personal foul by Q. Acy (drawn by K. Dunn),,38-43,,
6:28.0,C. LeVert enters the game for B. Bogdanovic,,38-43,,
6:28.0,S. Kilpatrick enters the game for R. Foye,,38-43,,
6:21.0,,,38-43,,S. Muhammad misses 2-pt shot from 6 ft (block by B. Lopez)
6:19.0,,,38-43,,Offensive rebound by S. Muhammad
6:15.0,,,38-46,3,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Dunn)
5:57.0,I. Whitehead misses 2-pt shot from 19 ft,,38-46,,
5:56.0,,,38-46,,Defensive rebound by Z. LaVine
5:50.0,,,38-46,,N. Bjelica misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by B. Lopez,,38-46,,
5:31.0,,,38-46,,Personal foul by G. Dieng (drawn by B. Lopez)
5:31.0,,,38-46,,Minnesota full timeout
5:31.0,,,38-46,,R. Rubio enters the game for K. Dunn
5:31.0,,,38-46,,A. Wiggins enters the game for S. Muhammad
5:31.0,,,38-46,,K. Towns enters the game for N. Bjelica
5:31.0,S. Dinwiddie enters the game for I. Whitehead,,38-46,,
5:23.0,Shooting foul by R. Rubio (drawn by S. Dinwiddie),,38-46,,
5:23.0,S. Dinwiddie misses free throw 1 of 2,,38-46,,
5:23.0,Offensive rebound by Team,,38-46,,
5:23.0,S. Dinwiddie makes free throw 2 of 2,1,39-46,,
5:23.0,,,38-46,,K. Dunn enters the game for R. Rubio
5:14.0,,,39-49,3,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng)
4:55.0,,,39-49,,Shooting block foul by G. Dieng (drawn by S. Kilpatrick)
4:55.0,S. Kilpatrick makes free throw 1 of 2,1,40-49,,
4:55.0,S. Kilpatrick makes free throw 2 of 2,1,41-49,,
4:47.0,,,41-49,,G. Dieng misses 2-pt shot from 19 ft
4:45.0,Defensive rebound by S. Dinwiddie,,41-49,,
4:37.0,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,44-49,,
4:18.0,,,44-49,,A. Wiggins misses 2-pt shot from 10 ft
4:17.0,,,44-49,,Offensive rebound by G. Dieng
4:17.0,,,44-49,,G. Dieng misses 2-pt shot from 2 ft
4:16.0,,,44-49,,Offensive rebound by K. Towns
4:15.0,,,44-51,2,K. Towns makes 2-pt shot from 1 ft
4:00.0,B. Lopez misses 3-pt shot from 25 ft,,44-51,,
3:59.0,,,44-51,,Defensive rebound by Team
3:46.0,,,44-53,2,K. Towns makes 2-pt shot from 5 ft (assist by K. Dunn)
3:28.0,Q. Acy makes 2-pt shot at rim (assist by S. Dinwiddie),2,46-53,,
3:11.0,,,46-53,,Turnover by K. Towns (lost ball; steal by C. LeVert)
2:55.0,Q. Acy misses 3-pt shot from 24 ft,,46-53,,
2:54.0,,,46-53,,Defensive rebound by K. Dunn
2:50.0,,,46-55,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
2:47.0,Brooklyn full timeout,,46-55,,
2:47.0,J. Hamilton enters the game for B. Lopez,,46-55,,
2:36.0,C. LeVert makes 2-pt shot from 1 ft,2,48-55,,
2:16.0,,,48-57,2,K. Towns makes 2-pt shot from 6 ft
2:02.0,J. Hamilton misses 2-pt shot from 10 ft,,48-57,,
1:59.0,,,48-57,,Defensive rebound by G. Dieng
1:50.0,,,48-59,2,A. Wiggins makes 2-pt shot from 13 ft (assist by K. Dunn)
1:35.0,C. LeVert makes 3-pt shot from 25 ft,3,51-59,,
1:17.0,,,51-59,,K. Towns misses 2-pt shot from 5 ft
1:16.0,Defensive rebound by J. Hamilton,,51-59,,
1:01.0,J. Hamilton misses 3-pt shot from 23 ft,,51-59,,
1:00.0,,,51-59,,Defensive rebound by K. Dunn
0:43.0,,,51-61,2,A. Wiggins makes 2-pt shot from 17 ft (assist by K. Dunn)
0:34.0,S. Dinwiddie makes 2-pt shot from 14 ft,2,53-61,,
0:13.0,,,53-61,,K. Dunn misses 3-pt shot from 24 ft
0:11.0,Defensive rebound by S. Dinwiddie,,53-61,,
0:05.0,,,53-61,,Personal foul by A. Wiggins (drawn by S. Dinwiddie)
0:05.0,S. Dinwiddie makes free throw 1 of 2,1,54-61,,
0:05.0,S. Dinwiddie makes free throw 2 of 2,1,55-61,,
0:05.0,R. Foye enters the game for S. Kilpatrick,,54-61,,
0:00.0,,,55-63,2,Z. LaVine makes 2-pt shot from 19 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,B. Lopez makes 2-pt shot from 1 ft,2,57-63,,
11:44.0,Shooting foul by G. Dieng (drawn by B. Lopez),,57-63,,
11:44.0,B. Lopez makes free throw 1 of 1,1,58-63,,
11:28.0,,,58-65,2,K. Towns makes 2-pt shot from 8 ft (assist by G. Dieng)
11:28.0,,,58-65,,Shooting foul by B. Lopez (drawn by K. Towns)
11:28.0,,,58-66,1,K. Towns makes free throw 1 of 1
11:10.0,B. Lopez makes 2-pt shot from 7 ft,2,60-66,,
10:48.0,,,60-66,,A. Wiggins misses 2-pt shot from 20 ft
10:47.0,Defensive rebound by T. Booker,,60-66,,
10:38.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Foye),2,62-66,,
10:29.0,,,62-68,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
10:09.0,B. Lopez makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,65-68,,
9:51.0,,,65-68,,A. Wiggins misses 2-pt shot from 21 ft
9:50.0,Defensive rebound by S. Dinwiddie,,65-68,,
9:42.0,S. Dinwiddie misses 2-pt shot from 1 ft,,65-68,,
9:40.0,,,65-68,,Defensive rebound by K. Towns
9:25.0,,,65-70,2,G. Dieng makes 2-pt shot from 5 ft (assist by R. Rubio)
8:58.0,R. Foye misses 2-pt shot from 19 ft,,65-70,,
8:57.0,,,65-70,,Defensive rebound by G. Dieng
8:53.0,,,65-72,2,Z. LaVine makes 2-pt shot at rim (assist by G. Dieng)
8:36.0,B. Bogdanovic misses 3-pt shot from 25 ft,,65-72,,
8:34.0,Offensive rebound by T. Booker,,65-72,,
8:33.0,T. Booker makes 2-pt shot from 3 ft,2,67-72,,
8:17.0,,,67-72,,Turnover by R. Rubio (bad pass; steal by S. Dinwiddie)
8:13.0,T. Booker makes 2-pt shot at rim (assist by S. Dinwiddie),2,69-72,,
7:57.0,,,69-74,2,R. Rubio makes 2-pt shot from 2 ft
7:30.0,B. Lopez misses 3-pt shot from 25 ft,,69-74,,
7:29.0,,,69-74,,Defensive rebound by G. Dieng
7:15.0,,,69-74,,K. Towns misses 2-pt shot from 7 ft
7:14.0,Defensive rebound by R. Foye,,69-74,,
7:06.0,B. Bogdanovic misses 2-pt shot from 12 ft,,69-74,,
7:05.0,Offensive rebound by B. Lopez,,69-74,,
7:04.0,B. Lopez makes 2-pt shot from 2 ft,2,71-74,,
6:46.0,,,71-76,2,G. Dieng makes 2-pt shot from 9 ft (assist by R. Rubio)
6:26.0,Turnover by B. Lopez (bad pass; steal by Z. LaVine),,71-76,,
6:23.0,,,71-76,,Shooting foul by B. Bogdanovic (drawn by Z. LaVine)
6:23.0,,,71-77,1,Z. LaVine makes free throw 1 of 2
6:23.0,,,71-77,,Z. LaVine misses free throw 2 of 2
6:23.0,Defensive rebound by R. Foye,,71-77,,
6:23.0,C. LeVert enters the game for B. Bogdanovic,,71-77,,
6:14.0,R. Foye misses 3-pt shot from 25 ft,,71-77,,
6:13.0,,,71-77,,Defensive rebound by R. Rubio
6:06.0,,,71-77,,R. Rubio misses 2-pt shot from 18 ft
6:04.0,Defensive rebound by C. LeVert,,71-77,,
5:48.0,T. Booker misses 2-pt shot from 6 ft,,71-77,,
5:47.0,,,71-77,,Defensive rebound by G. Dieng
5:36.0,,,71-77,,Z. LaVine misses 2-pt shot from 14 ft
5:35.0,Defensive rebound by S. Dinwiddie,,71-77,,
5:16.0,S. Dinwiddie misses 3-pt shot from 25 ft,,71-77,,
5:15.0,,,71-77,,Defensive rebound by R. Rubio
5:04.0,,,71-77,,A. Wiggins misses 2-pt shot from 21 ft
5:02.0,Defensive rebound by B. Lopez,,71-77,,
4:50.0,,,71-77,,Shooting block foul by R. Rubio (drawn by B. Lopez)
4:50.0,,,71-77,,Minnesota full timeout
4:50.0,B. Lopez misses free throw 1 of 2,,71-77,,
4:50.0,Offensive rebound by Team,,71-77,,
4:50.0,B. Lopez makes free throw 2 of 2,1,72-77,,
4:50.0,,,71-77,,K. Dunn enters the game for R. Rubio
4:50.0,Q. Acy enters the game for T. Booker,,71-77,,
4:50.0,I. Whitehead enters the game for R. Foye,,71-77,,
4:50.0,S. Kilpatrick enters the game for S. Dinwiddie,,71-77,,
4:50.0,,,71-77,,S. Muhammad enters the game for Z. LaVine
4:40.0,,,72-79,2,A. Wiggins makes 2-pt shot from 21 ft
4:31.0,I. Whitehead makes 2-pt shot from 2 ft,2,74-79,,
4:13.0,,,74-82,3,K. Towns makes 3-pt shot from 24 ft (assist by A. Wiggins)
4:06.0,Turnover by I. Whitehead (bad pass),,74-82,,
4:06.0,J. Hamilton enters the game for B. Lopez,,74-82,,
3:49.0,,,74-82,,Shooting foul by J. Hamilton (drawn by K. Towns)
3:49.0,,,74-82,,K. Towns misses free throw 1 of 2
3:49.0,,,74-82,,Offensive rebound by Team
3:49.0,,,74-83,1,K. Towns makes free throw 2 of 2
3:41.0,,,74-83,,Personal block foul by A. Wiggins (drawn by C. LeVert)
3:30.0,C. LeVert misses 2-pt shot from 1 ft,,74-83,,
3:30.0,,,74-83,,Defensive rebound by Team
3:14.0,,,74-85,2,K. Towns makes 2-pt shot from 6 ft (assist by K. Dunn)
2:56.0,Q. Acy misses 2-pt shot from 1 ft (block by K. Dunn),,74-85,,
2:54.0,Offensive rebound by Q. Acy,,74-85,,
2:53.0,Q. Acy misses 2-pt shot from 2 ft,,74-85,,
2:52.0,Offensive rebound by Q. Acy,,74-85,,
2:51.0,Q. Acy misses 2-pt shot from 1 ft,,74-85,,
2:50.0,,,74-85,,Defensive rebound by G. Dieng
2:38.0,,,74-87,2,S. Muhammad makes 2-pt shot from 8 ft (assist by G. Dieng)
2:37.0,Brooklyn full timeout,,74-87,,
2:37.0,,,74-87,,N. Bjelica enters the game for K. Towns
2:28.0,Turnover by I. Whitehead (bad pass; steal by K. Dunn),,74-87,,
2:22.0,,,74-87,,A. Wiggins misses 2-pt shot from 3 ft (block by C. LeVert)
2:20.0,,,74-87,,Offensive rebound by A. Wiggins
2:05.0,,,74-87,,G. Dieng misses 2-pt shot from 19 ft
2:03.0,,,74-87,,Offensive rebound by A. Wiggins
2:02.0,,,74-89,2,A. Wiggins makes 2-pt shot at rim
1:45.0,S. Kilpatrick makes 2-pt shot from 5 ft (assist by I. Whitehead),2,76-89,,
1:26.0,,,76-89,,Shooting foul by C. LeVert (drawn by A. Wiggins)
1:26.0,,,76-90,1,A. Wiggins makes free throw 1 of 2
1:26.0,,,76-90,,A. Wiggins misses free throw 2 of 2
1:26.0,Defensive rebound by J. Hamilton,,76-90,,
1:11.0,C. LeVert misses 3-pt shot from 24 ft,,76-90,,
1:10.0,,,76-90,,Defensive rebound by G. Dieng
1:10.0,Personal foul by C. LeVert (drawn by G. Dieng),,76-90,,
1:10.0,,,76-91,1,G. Dieng makes free throw 1 of 2
1:10.0,,,76-92,1,G. Dieng makes free throw 2 of 2
1:00.0,,,76-92,,Personal foul by S. Muhammad (drawn by I. Whitehead)
0:48.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,78-92,,
0:30.0,,,78-92,,A. Wiggins misses 2-pt shot from 14 ft
0:28.0,Defensive rebound by J. Hamilton,,78-92,,
0:06.0,I. Whitehead misses 3-pt shot from 24 ft,,78-92,,
0:05.0,,,78-92,,Defensive rebound by A. Wiggins
0:01.0,,,78-92,,A. Wiggins misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by J. Hamilton,,78-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,78-92,,S. Muhammad misses 2-pt shot from 8 ft
11:42.0,Defensive rebound by B. Lopez,,78-92,,
11:29.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by S. Muhammad),,78-92,,
11:28.0,Offensive rebound by Team,,78-92,,
11:28.0,Turnover by Team (5 sec inbounds),,78-92,,
11:09.0,,,78-92,,G. Dieng misses 2-pt shot from 1 ft (block by Q. Acy)
11:08.0,Defensive rebound by I. Whitehead,,78-92,,
11:04.0,S. Kilpatrick makes 2-pt shot at rim (assist by I. Whitehead),2,80-92,,
10:49.0,,,80-92,,N. Bjelica misses 3-pt shot from 25 ft
10:47.0,,,80-92,,Offensive rebound by S. Muhammad
10:46.0,,,80-92,,Minnesota full timeout
10:46.0,,,80-92,,K. Towns enters the game for G. Dieng
10:41.0,,,80-92,,Shooting foul by B. Lopez (drawn by Z. LaVine)
10:41.0,,,80-93,1,Z. LaVine makes free throw 1 of 2
10:41.0,,,80-94,1,Z. LaVine makes free throw 2 of 2
10:35.0,,,80-94,,Violation by K. Dunn (kicked ball)
10:25.0,S. Kilpatrick misses 3-pt shot from 24 ft,,80-94,,
10:25.0,Offensive rebound by Team,,80-94,,
10:25.0,,,80-94,,Loose ball foul by N. Bjelica (drawn by Q. Acy)
10:15.0,B. Lopez makes 2-pt shot from 5 ft (assist by I. Whitehead),2,82-94,,
9:57.0,,,82-94,,K. Towns misses 2-pt shot from 19 ft
9:56.0,Defensive rebound by S. Kilpatrick,,82-94,,
9:49.0,S. Kilpatrick makes 2-pt shot from 18 ft,2,84-94,,
9:24.0,,,84-94,,Shooting foul by B. Lopez (drawn by K. Towns)
9:24.0,,,84-95,1,K. Towns makes free throw 1 of 2
9:24.0,,,84-96,1,K. Towns makes free throw 2 of 2
9:24.0,,,84-95,,R. Rubio enters the game for K. Dunn
9:24.0,,,84-95,,A. Wiggins enters the game for N. Bjelica
9:24.0,T. Booker enters the game for Q. Acy,,84-95,,
9:14.0,B. Bogdanovic makes 2-pt shot at rim,2,86-96,,
8:54.0,,,86-98,2,S. Muhammad makes 2-pt shot at rim
8:37.0,I. Whitehead misses 2-pt shot from 5 ft,,86-98,,
8:36.0,,,86-98,,Defensive rebound by K. Towns
8:31.0,,,86-100,2,R. Rubio makes 2-pt shot from 18 ft
8:18.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,88-100,,
7:59.0,,,88-100,,K. Towns misses 2-pt shot from 3 ft (block by B. Lopez)
7:57.0,,,88-100,,Offensive rebound by K. Towns
7:56.0,,,88-102,2,K. Towns makes 2-pt shot from 2 ft
7:36.0,B. Bogdanovic misses 2-pt shot from 14 ft,,88-102,,
7:35.0,,,88-102,,Defensive rebound by S. Muhammad
7:24.0,,,88-102,,Shooting foul by I. Whitehead (drawn by R. Rubio)
7:24.0,,,88-102,,Minnesota full timeout
7:24.0,,,88-103,1,R. Rubio makes free throw 1 of 2
7:24.0,,,88-104,1,R. Rubio makes free throw 2 of 2
7:24.0,J. Hamilton enters the game for T. Booker,,88-102,,
7:08.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,90-104,,
7:08.0,Shooting foul by K. Towns (drawn by B. Bogdanovic),,90-104,,
7:08.0,B. Bogdanovic misses free throw 1 of 1,,90-104,,
7:08.0,S. Dinwiddie enters the game for I. Whitehead,,90-104,,
7:07.0,,,90-104,,Defensive rebound by K. Towns
7:00.0,,,90-106,2,R. Rubio makes 2-pt shot from 1 ft
6:46.0,B. Lopez makes 2-pt shot from 10 ft (assist by B. Bogdanovic),2,92-106,,
6:31.0,,,92-106,,Shooting foul by S. Dinwiddie (drawn by R. Rubio)
6:31.0,,,92-107,1,R. Rubio makes free throw 1 of 2
6:31.0,,,92-108,1,R. Rubio makes free throw 2 of 2
6:21.0,Shooting foul by R. Rubio (drawn by B. Bogdanovic),,92-108,,
6:21.0,B. Bogdanovic makes free throw 1 of 2,1,93-108,,
6:21.0,B. Bogdanovic makes free throw 2 of 2,1,94-108,,
6:21.0,C. LeVert enters the game for S. Kilpatrick,,93-108,,
