time,Philadelphia,pts.away,score,pts.home,Detroit
0:37.0,,,25-22,1,T. Harris makes free throw 2 of 2
0:37.0,T. Luwawu-Cabarrot enters the game for R. Covington,,25-21,,
0:32.0,N. Noel makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot),2,27-22,,
0:21.0,,,27-24,2,I. Smith makes 2-pt shot at rim
0:02.0,D. Saric misses 3-pt shot from 26 ft,,27-24,,
0:00.0,,,27-24,,Defensive rebound by M. Morris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,G. Henderson makes 2-pt shot from 12 ft,2,29-24,,
11:28.0,Personal foul by E. Ilyasova (drawn by A. Baynes),,29-24,,
11:22.0,Personal foul by E. Ilyasova (drawn by I. Smith),,29-24,,
11:22.0,D. Saric enters the game for E. Ilyasova,,29-24,,
11:13.0,,,29-26,2,A. Baynes makes 2-pt shot at rim (assist by I. Smith)
10:50.0,N. Noel makes 2-pt shot from 13 ft (assist by D. Saric),2,31-26,,
10:44.0,Personal foul by S. Rodriguez (drawn by I. Smith),,31-26,,
10:24.0,,,31-26,,Turnover by Team (shot clock)
10:13.0,D. Saric misses 3-pt shot from 26 ft,,31-26,,
10:13.0,,,31-26,,Defensive rebound by S. Johnson
10:06.0,,,31-26,,S. Johnson misses 2-pt shot from 16 ft
10:04.0,Defensive rebound by D. Saric,,31-26,,
9:45.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft,,31-26,,
9:45.0,,,31-26,,Defensive rebound by A. Baynes
9:36.0,,,31-26,,I. Smith misses 2-pt shot from 7 ft
9:36.0,,,31-26,,Offensive rebound by Team
9:36.0,N. Stauskas enters the game for G. Henderson,,31-26,,
9:26.0,,,31-28,2,M. Morris makes 2-pt shot from 9 ft
9:14.0,S. Rodriguez misses 2-pt shot from 6 ft,,31-28,,
9:12.0,,,31-28,,Defensive rebound by T. Harris
9:07.0,,,31-30,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
9:02.0,Philadelphia full timeout,,31-30,,
9:02.0,J. Okafor enters the game for N. Noel,,31-30,,
8:49.0,N. Stauskas misses 3-pt shot from 23 ft,,31-30,,
8:48.0,,,31-30,,Defensive rebound by T. Harris
8:36.0,,,31-30,,Turnover by S. Johnson (bad pass; steal by S. Rodriguez)
8:26.0,D. Saric makes 2-pt shot from 5 ft (assist by S. Rodriguez),2,33-30,,
8:11.0,,,33-32,2,M. Morris makes 2-pt shot from 1 ft (assist by T. Harris)
7:52.0,Shooting foul by T. Harris (drawn by T. Luwawu-Cabarrot),,33-32,,
7:52.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,34-32,,
7:52.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,35-32,,
7:52.0,,,34-32,,A. Drummond enters the game for A. Baynes
7:52.0,,,34-32,,J. Leuer enters the game for T. Harris
7:35.0,,,35-32,,S. Johnson misses 3-pt shot from 26 ft
7:34.0,,,35-32,,Offensive rebound by A. Drummond
7:34.0,Personal foul by T. Luwawu-Cabarrot (drawn by A. Drummond),,35-32,,
7:34.0,T. McConnell enters the game for S. Rodriguez,,35-32,,
7:34.0,R. Covington enters the game for T. Luwawu-Cabarrot,,35-32,,
7:34.0,,,35-32,,R. Jackson enters the game for I. Smith
7:34.0,,,35-32,,K. Caldwell-Pope enters the game for S. Johnson
7:26.0,,,35-32,,Turnover by R. Jackson (bad pass; steal by R. Covington)
7:12.0,J. Okafor makes 2-pt shot from 4 ft,2,37-32,,
7:07.0,,,37-32,,Detroit full timeout
6:54.0,,,37-34,2,M. Morris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
6:41.0,J. Okafor misses 2-pt shot from 12 ft,,37-34,,
6:41.0,,,37-34,,Defensive rebound by A. Drummond
6:29.0,,,37-34,,R. Jackson misses 2-pt shot from 5 ft
6:29.0,Defensive rebound by N. Stauskas,,37-34,,
6:16.0,Turnover by N. Stauskas (lost ball),,37-34,,
6:16.0,Technical foul by N. Stauskas,,37-34,,
6:16.0,,,37-35,1,J. Leuer makes technical free throw
5:56.0,,,37-35,,M. Morris misses 3-pt shot from 26 ft
5:55.0,,,37-35,,Offensive rebound by K. Caldwell-Pope
5:52.0,,,37-37,2,K. Caldwell-Pope makes 2-pt shot at rim
5:41.0,D. Saric misses 2-pt shot from 1 ft,,37-37,,
5:38.0,Offensive rebound by R. Covington,,37-37,,
5:37.0,R. Covington misses 2-pt shot from 5 ft,,37-37,,
5:36.0,,,37-37,,Defensive rebound by A. Drummond
5:29.0,,,37-37,,Shooting foul by N. Stauskas (drawn by K. Caldwell-Pope)
5:29.0,,,37-38,1,K. Caldwell-Pope makes free throw 1 of 2
5:29.0,,,37-39,1,K. Caldwell-Pope makes free throw 2 of 2
5:21.0,D. Saric misses 2-pt shot from 1 ft (block by A. Drummond),,37-39,,
5:21.0,Offensive rebound by Team,,37-39,,
5:21.0,E. Ilyasova enters the game for D. Saric,,37-39,,
5:10.0,T. McConnell makes 2-pt shot from 8 ft,2,39-39,,
4:57.0,,,39-41,2,R. Jackson makes 2-pt shot from 11 ft
4:45.0,R. Covington misses 2-pt shot from 1 ft,,39-41,,
4:45.0,,,39-41,,Defensive rebound by A. Drummond
4:39.0,,,39-41,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by T. McConnell,,39-41,,
4:30.0,T. McConnell makes 2-pt shot from 1 ft,2,41-41,,
4:16.0,,,41-41,,Shooting foul by J. Okafor (drawn by R. Jackson)
4:16.0,,,41-42,1,R. Jackson makes free throw 1 of 2
4:16.0,,,41-43,1,R. Jackson makes free throw 2 of 2
4:00.0,N. Stauskas misses 3-pt shot from 26 ft,,41-43,,
4:00.0,,,41-43,,Defensive rebound by A. Drummond
3:47.0,,,41-43,,J. Leuer misses 2-pt shot from 12 ft
3:45.0,Defensive rebound by E. Ilyasova,,41-43,,
3:39.0,Shooting foul by R. Jackson (drawn by R. Covington),,41-43,,
3:39.0,R. Covington makes free throw 1 of 2,1,42-43,,
3:39.0,R. Covington misses free throw 2 of 2,,42-43,,
3:38.0,Offensive rebound by J. Okafor,,42-43,,
3:31.0,R. Covington misses 3-pt shot from 26 ft,,42-43,,
3:31.0,,,42-43,,Defensive rebound by J. Leuer
3:08.0,,,42-43,,A. Drummond misses 3-pt shot from 27 ft
3:07.0,,,42-43,,Offensive rebound by J. Leuer
3:03.0,,,42-43,,J. Leuer misses 2-pt shot from 5 ft
3:02.0,,,42-43,,Offensive rebound by M. Morris
3:00.0,,,42-45,2,M. Morris makes 2-pt shot from 1 ft
2:51.0,E. Ilyasova misses 3-pt shot from 26 ft,,42-45,,
2:50.0,,,42-45,,Defensive rebound by M. Morris
2:39.0,,,42-45,,R. Jackson misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by T. McConnell,,42-45,,
2:32.0,Turnover by N. Stauskas (bad pass; steal by R. Jackson),,42-45,,
2:32.0,Clear path foul by E. Ilyasova,,42-45,,
2:32.0,Official timeout,,42-45,,
2:32.0,,,42-46,1,R. Jackson makes clear path free throw 1 of 2
2:32.0,,,42-47,1,R. Jackson makes clear path free throw 2 of 2
2:32.0,,,42-45,,A. Baynes enters the game for A. Drummond
2:32.0,G. Henderson enters the game for N. Stauskas,,42-45,,
2:32.0,D. Saric enters the game for E. Ilyasova,,42-45,,
2:15.0,,,42-47,,K. Caldwell-Pope misses 2-pt shot from 13 ft
2:14.0,,,42-47,,Offensive rebound by A. Baynes
2:05.0,,,42-49,2,A. Baynes makes 2-pt shot from 2 ft
1:59.0,,,42-49,,Personal foul by R. Jackson (drawn by G. Henderson)
1:59.0,,,42-49,,I. Smith enters the game for R. Jackson
1:49.0,Shooting foul by J. Leuer (drawn by J. Okafor),,42-49,,
1:49.0,J. Okafor misses free throw 1 of 2,,42-49,,
1:49.0,Offensive rebound by Team,,42-49,,
1:49.0,J. Okafor misses free throw 2 of 2,,42-49,,
1:49.0,T. Luwawu-Cabarrot enters the game for R. Covington,,42-49,,
1:49.0,,,42-49,,S. Johnson enters the game for J. Leuer
1:48.0,,,42-49,,Defensive rebound by S. Johnson
1:29.0,,,42-51,2,A. Baynes makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
1:15.0,,,42-51,,Personal foul by S. Johnson (drawn by G. Henderson)
1:15.0,G. Henderson makes free throw 1 of 2,1,43-51,,
1:15.0,G. Henderson makes free throw 2 of 2,1,44-51,,
1:00.0,,,44-53,2,A. Baynes makes 2-pt shot from 6 ft (assist by I. Smith)
0:46.0,J. Okafor makes 2-pt shot from 6 ft,2,46-53,,
0:29.0,,,46-53,,M. Morris misses 2-pt shot from 13 ft
0:29.0,,,46-53,,Offensive rebound by S. Johnson
0:28.0,,,46-55,2,S. Johnson makes 2-pt shot at rim
0:04.0,T. McConnell misses 3-pt shot from 27 ft,,46-55,,
0:03.0,,,46-55,,Defensive rebound by S. Johnson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by E. Ilyasova (lost ball; steal by A. Drummond),,46-55,,
11:44.0,,,46-57,2,A. Drummond makes 2-pt shot at rim (assist by J. Leuer)
11:26.0,J. Okafor makes 2-pt shot from 5 ft (assist by N. Stauskas),2,48-57,,
11:11.0,,,48-59,2,M. Morris makes 2-pt shot from 18 ft (assist by R. Jackson)
10:57.0,Turnover by N. Stauskas (lost ball; steal by K. Caldwell-Pope),,48-59,,
10:38.0,,,48-61,2,A. Drummond makes 2-pt shot from 6 ft
10:28.0,J. Okafor makes 2-pt shot from 5 ft (assist by E. Ilyasova),2,50-61,,
10:00.0,,,50-64,3,K. Caldwell-Pope makes 3-pt shot from 27 ft
9:44.0,T. McConnell makes 2-pt shot from 7 ft,2,52-64,,
9:30.0,,,52-67,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
9:30.0,Philadelphia full timeout,,52-67,,
9:30.0,G. Henderson enters the game for N. Stauskas,,52-67,,
9:21.0,Shooting foul by J. Leuer (drawn by E. Ilyasova),,52-67,,
9:21.0,E. Ilyasova makes free throw 1 of 2,1,53-67,,
9:21.0,E. Ilyasova misses free throw 2 of 2,,53-67,,
9:20.0,,,53-67,,Defensive rebound by J. Leuer
9:05.0,,,53-69,2,M. Morris makes 2-pt shot at rim
9:05.0,,,53-69,,Shooting foul by J. Okafor (drawn by M. Morris)
9:05.0,,,53-70,1,M. Morris makes free throw 1 of 1
8:49.0,J. Okafor misses 2-pt shot from 15 ft,,53-70,,
8:49.0,,,53-70,,Defensive rebound by K. Caldwell-Pope
8:41.0,,,53-70,,M. Morris misses 3-pt shot from 26 ft
8:41.0,,,53-70,,Offensive rebound by J. Leuer
8:38.0,,,53-72,2,J. Leuer makes 2-pt shot at rim
8:16.0,T. McConnell makes 2-pt shot from 12 ft,2,55-72,,
7:56.0,,,55-72,,K. Caldwell-Pope misses 2-pt shot from 17 ft
7:56.0,Defensive rebound by T. McConnell,,55-72,,
7:46.0,R. Covington misses 3-pt shot from 27 ft,,55-72,,
7:46.0,Offensive rebound by Team,,55-72,,
7:46.0,N. Noel enters the game for J. Okafor,,55-72,,
7:36.0,G. Henderson misses 3-pt shot from 27 ft,,55-72,,
7:36.0,,,55-72,,Defensive rebound by M. Morris
7:14.0,,,55-75,3,R. Jackson makes 3-pt shot from 26 ft
7:00.0,E. Ilyasova misses 3-pt shot from 27 ft,,55-75,,
7:00.0,,,55-75,,Defensive rebound by M. Morris
6:48.0,,,55-75,,A. Drummond misses 2-pt shot from 7 ft
6:47.0,Defensive rebound by T. McConnell,,55-75,,
6:32.0,R. Covington misses 2-pt shot from 6 ft,,55-75,,
6:31.0,,,55-75,,Defensive rebound by A. Drummond
6:14.0,,,55-77,2,J. Leuer makes 2-pt shot from 1 ft (assist by R. Jackson)
6:14.0,Philadelphia full timeout,,55-77,,
6:04.0,R. Covington misses 2-pt shot from 1 ft,,55-77,,
6:04.0,Offensive rebound by N. Noel,,55-77,,
6:03.0,Shooting foul by J. Leuer (drawn by N. Noel),,55-77,,
6:03.0,N. Noel makes free throw 1 of 2,1,56-77,,
6:03.0,N. Noel misses free throw 2 of 2,,56-77,,
6:03.0,,,56-77,,Defensive rebound by T. Harris
6:03.0,,,56-77,,T. Harris enters the game for J. Leuer
5:46.0,,,56-79,2,A. Drummond makes 2-pt shot from 6 ft
5:36.0,,,56-79,,Personal foul by K. Caldwell-Pope (drawn by N. Noel)
5:36.0,D. Saric enters the game for E. Ilyasova,,56-79,,
5:22.0,G. Henderson misses 3-pt shot from 24 ft,,56-79,,
5:21.0,,,56-79,,Defensive rebound by A. Drummond
5:03.0,,,56-79,,A. Drummond misses 2-pt shot from 6 ft
5:03.0,Defensive rebound by G. Henderson,,56-79,,
5:00.0,Offensive charge foul by G. Henderson,,56-79,,
5:00.0,Turnover by G. Henderson (offensive foul),,56-79,,
4:49.0,,,56-82,3,R. Jackson makes 3-pt shot from 27 ft
4:29.0,R. Covington makes 3-pt shot from 27 ft (assist by D. Saric),3,59-82,,
4:13.0,,,59-84,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
3:56.0,T. McConnell misses 2-pt shot from 12 ft,,59-84,,
3:55.0,Offensive rebound by N. Noel,,59-84,,
3:49.0,N. Noel misses 2-pt shot from 5 ft,,59-84,,
3:49.0,,,59-84,,Defensive rebound by A. Drummond
3:43.0,,,59-84,,R. Jackson misses 3-pt shot from 27 ft
3:42.0,Defensive rebound by T. McConnell,,59-84,,
3:33.0,N. Noel misses 2-pt shot from 17 ft,,59-84,,
3:33.0,,,59-84,,Defensive rebound by K. Caldwell-Pope
3:27.0,,,59-84,,Turnover by K. Caldwell-Pope (lost ball; steal by T. McConnell)
3:19.0,G. Henderson misses 2-pt shot from 1 ft,,59-84,,
3:18.0,Offensive rebound by T. McConnell,,59-84,,
3:15.0,Turnover by T. McConnell (bad pass; steal by M. Morris),,59-84,,
3:06.0,,,59-84,,T. Harris misses 3-pt shot from 23 ft
3:06.0,Defensive rebound by N. Noel,,59-84,,
2:51.0,G. Henderson misses 2-pt shot at rim,,59-84,,
2:50.0,,,59-84,,Defensive rebound by T. Harris
2:47.0,,,59-84,,Turnover by T. Harris (lost ball; steal by R. Covington)
2:44.0,,,59-84,,Detroit full timeout
2:44.0,Technical foul by G. Henderson,,59-84,,
2:44.0,,,59-85,1,T. Harris makes technical free throw
2:44.0,,,59-84,,A. Baynes enters the game for M. Morris
2:44.0,,,59-84,,S. Johnson enters the game for A. Drummond
2:44.0,,,59-84,,I. Smith enters the game for R. Jackson
2:44.0,J. Okafor enters the game for T. McConnell,,59-84,,
2:44.0,S. Rodriguez enters the game for N. Noel,,59-84,,
2:25.0,D. Saric misses 3-pt shot from 26 ft,,59-85,,
2:25.0,,,59-85,,Defensive rebound by K. Caldwell-Pope
2:12.0,T. Luwawu-Cabarrot enters the game for G. Henderson,,59-85,,
2:03.0,,,59-85,,K. Caldwell-Pope misses 2-pt shot from 19 ft
2:03.0,Defensive rebound by J. Okafor,,59-85,,
1:47.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by D. Saric),2,61-85,,
1:31.0,,,61-85,,S. Johnson misses 2-pt shot from 14 ft
1:31.0,Defensive rebound by T. Luwawu-Cabarrot,,61-85,,
1:13.0,D. Saric makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot),2,63-85,,
0:54.0,,,63-87,2,I. Smith makes 2-pt shot from 15 ft
0:38.0,R. Covington misses 2-pt shot from 3 ft,,63-87,,
0:37.0,Offensive rebound by J. Okafor,,63-87,,
0:33.0,Shooting foul by A. Baynes (drawn by J. Okafor),,63-87,,
0:33.0,J. Okafor makes free throw 1 of 2,1,64-87,,
0:33.0,J. Okafor makes free throw 2 of 2,1,65-87,,
0:24.0,,,65-89,2,I. Smith makes 2-pt shot from 1 ft
0:03.0,,,65-89,,Personal foul by S. Johnson (drawn by T. Luwawu-Cabarrot)
0:03.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,66-89,,
0:03.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,67-89,,
0:01.0,,,67-89,,K. Caldwell-Pope misses 3-pt shot from 48 ft
0:00.0,,,67-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,67-91,2,M. Morris makes 2-pt shot from 17 ft
11:15.0,S. Rodriguez makes 3-pt shot from 26 ft,3,70-91,,
10:54.0,,,70-93,2,A. Baynes makes 2-pt shot from 4 ft (assist by M. Morris)
10:42.0,D. Saric makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,73-93,,
10:25.0,,,73-93,,T. Harris misses 2-pt shot from 17 ft
10:25.0,,,73-93,,Offensive rebound by Team
10:25.0,Loose ball foul by D. Saric (drawn by A. Baynes),,73-93,,
10:20.0,Personal foul by T. Luwawu-Cabarrot (drawn by M. Morris),,73-93,,
10:14.0,,,73-93,,I. Smith misses 2-pt shot from 6 ft
10:13.0,,,73-93,,Offensive rebound by A. Baynes
10:12.0,,,73-93,,A. Baynes misses 2-pt shot from 1 ft
10:11.0,,,73-93,,Offensive rebound by A. Baynes
10:11.0,,,73-93,,A. Baynes misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by T. Luwawu-Cabarrot,,73-93,,
9:45.0,J. Okafor misses 2-pt shot from 8 ft,,73-93,,
9:45.0,,,73-93,,Defensive rebound by T. Harris
9:42.0,,,73-95,2,S. Johnson makes 2-pt shot from 1 ft (assist by I. Smith)
9:42.0,,,73-95,,Shooting foul by N. Stauskas (drawn by S. Johnson)
9:42.0,,,73-95,,S. Johnson misses free throw 1 of 1
9:42.0,Defensive rebound by Team,,73-95,,
9:42.0,,,73-95,,Loose ball foul by A. Baynes (drawn by D. Saric)
9:30.0,J. Okafor misses 2-pt shot from 6 ft (block by A. Baynes),,73-95,,
9:29.0,,,73-95,,Defensive rebound by S. Johnson
9:25.0,,,73-95,,Turnover by S. Johnson (lost ball; steal by N. Stauskas)
9:18.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,73-95,,
9:17.0,,,73-95,,Defensive rebound by T. Harris
9:11.0,Personal foul by S. Rodriguez (drawn by I. Smith),,73-95,,
9:11.0,N. Noel enters the game for J. Okafor,,73-95,,
9:11.0,E. Ilyasova enters the game for D. Saric,,73-95,,
9:03.0,,,73-95,,I. Smith misses 2-pt shot from 14 ft
9:02.0,,,73-95,,Offensive rebound by A. Baynes
8:54.0,,,73-95,,A. Baynes misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by T. Luwawu-Cabarrot,,73-95,,
8:33.0,E. Ilyasova misses 3-pt shot from 28 ft,,73-95,,
8:33.0,,,73-95,,Defensive rebound by I. Smith
8:23.0,,,73-95,,T. Harris misses 2-pt shot from 3 ft
8:23.0,,,73-95,,Offensive rebound by T. Harris
8:20.0,,,73-95,,T. Harris misses 2-pt shot from 6 ft
8:19.0,,,73-95,,Offensive rebound by T. Harris
8:14.0,,,73-95,,S. Johnson misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by S. Rodriguez,,73-95,,
8:08.0,S. Rodriguez makes 2-pt shot from 1 ft,2,75-95,,
7:40.0,,,75-97,2,T. Harris makes 2-pt shot from 15 ft (assist by A. Baynes)
7:40.0,Philadelphia full timeout,,75-97,,
7:40.0,,,75-97,,A. Drummond enters the game for M. Morris
7:40.0,,,75-97,,R. Jackson enters the game for A. Baynes
7:40.0,,,75-97,,J. Leuer enters the game for I. Smith
7:25.0,S. Rodriguez makes 2-pt shot from 6 ft,2,77-97,,
7:08.0,,,77-97,,Turnover by T. Harris (bad pass)
6:52.0,Turnover by S. Rodriguez (bad pass; steal by A. Drummond),,77-97,,
6:43.0,,,77-99,2,J. Leuer makes 2-pt shot at rim (assist by A. Drummond)
6:33.0,S. Rodriguez makes 3-pt shot from 27 ft,3,80-99,,
6:17.0,,,80-99,,Turnover by A. Drummond (bad pass; steal by N. Stauskas)
6:13.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by N. Stauskas),2,82-99,,
6:13.0,Shooting foul by J. Leuer (drawn by T. Luwawu-Cabarrot),,82-99,,
6:13.0,T. Luwawu-Cabarrot makes free throw 1 of 1,1,83-99,,
6:13.0,,,82-99,,M. Morris enters the game for J. Leuer
