time,Miami,pts.away,score,pts.home,Portland
2:55.0,,,39-45,,Defensive rebound by E. Turner
2:47.0,,,39-47,2,M. Harkless makes 2-pt shot from 18 ft
2:41.0,Miami full timeout,,39-47,,
2:41.0,,,39-47,,Portland full timeout
2:41.0,,,39-47,,C. McCollum enters the game for E. Turner
2:41.0,J. McRoberts enters the game for J. Johnson,,39-47,,
2:26.0,,,39-47,,Personal foul by C. McCollum (drawn by T. Johnson)
2:14.0,H. Whiteside makes 2-pt shot from 5 ft (assist by W. Ellington),2,41-47,,
1:54.0,,,41-47,,D. Lillard misses 2-pt shot from 2 ft
1:53.0,Defensive rebound by W. Ellington,,41-47,,
1:44.0,Shooting foul by M. Plumlee (drawn by J. McRoberts),,41-47,,
1:44.0,J. McRoberts makes 2-pt shot from 3 ft (assist by G. Dragic),2,43-47,,
1:44.0,,,43-47,,Violation by M. Plumlee (lane)
1:44.0,J. McRoberts makes free throw 1 of 1,1,44-47,,
1:26.0,,,44-49,2,E. Davis makes 2-pt shot from 2 ft (assist by C. McCollum)
1:13.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. McRoberts),3,47-49,,
1:04.0,,,47-51,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
0:50.0,Turnover by Team (shot clock),,47-51,,
0:50.0,R. McGruder enters the game for G. Dragic,,47-51,,
0:50.0,,,47-51,,A. Crabbe enters the game for E. Davis
0:35.0,,,47-53,2,D. Lillard makes 2-pt shot from 1 ft
0:12.0,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder),2,49-53,,
0:01.0,,,49-55,2,M. Plumlee makes 2-pt shot from 9 ft (assist by D. Lillard)
0:00.0,T. Johnson misses 3-pt shot from 45 ft,,49-55,,
0:00.0,Offensive rebound by Team,,49-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,49-55,,Personal foul by M. Plumlee (drawn by H. Whiteside)
11:37.0,R. McGruder misses 2-pt shot from 21 ft,,49-55,,
11:37.0,,,49-55,,Defensive rebound by C. McCollum
11:26.0,,,49-57,2,C. McCollum makes 2-pt shot from 20 ft
11:12.0,G. Dragic makes 2-pt shot from 16 ft,2,51-57,,
10:52.0,,,51-57,,M. Harkless misses 2-pt shot from 5 ft
10:51.0,,,51-57,,Offensive rebound by M. Harkless
10:51.0,,,51-57,,M. Harkless misses 2-pt shot at rim
10:50.0,Defensive rebound by H. Whiteside,,51-57,,
10:29.0,R. McGruder makes 2-pt shot from 2 ft (assist by H. Whiteside),2,53-57,,
10:08.0,,,53-57,,M. Harkless misses 2-pt shot from 8 ft
10:07.0,Defensive rebound by H. Whiteside,,53-57,,
9:56.0,G. Dragic misses 2-pt shot from 18 ft,,53-57,,
9:56.0,Offensive rebound by Team,,53-57,,
9:56.0,,,53-57,,Loose ball foul by E. Davis (drawn by H. Whiteside)
9:43.0,H. Whiteside misses 2-pt shot from 9 ft,,53-57,,
9:41.0,,,53-57,,Defensive rebound by M. Harkless
9:22.0,,,53-57,,C. McCollum misses 2-pt shot from 5 ft
9:22.0,Defensive rebound by H. Whiteside,,53-57,,
9:15.0,R. McGruder misses 2-pt shot from 1 ft (block by M. Harkless),,53-57,,
9:14.0,,,53-57,,Defensive rebound by C. McCollum
9:04.0,,,53-57,,D. Lillard misses 3-pt shot from 28 ft
9:03.0,Defensive rebound by H. Whiteside,,53-57,,
8:49.0,G. Dragic makes 2-pt shot from 8 ft (assist by J. McRoberts),2,55-57,,
8:33.0,,,55-57,,Turnover by M. Plumlee (bad pass; steal by G. Dragic)
8:21.0,J. McRoberts makes 3-pt shot from 26 ft (assist by W. Ellington),3,58-57,,
8:20.0,,,58-57,,Portland full timeout
8:07.0,,,58-57,,C. McCollum misses 2-pt shot from 2 ft (block by H. Whiteside)
8:06.0,Defensive rebound by W. Ellington,,58-57,,
8:03.0,Shooting foul by M. Harkless (drawn by G. Dragic),,58-57,,
8:03.0,G. Dragic makes free throw 1 of 2,1,59-57,,
8:03.0,G. Dragic makes free throw 2 of 2,1,60-57,,
7:47.0,,,60-57,,M. Harkless misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by H. Whiteside,,60-57,,
7:32.0,W. Ellington misses 3-pt shot from 28 ft,,60-57,,
7:31.0,,,60-57,,Defensive rebound by Team
7:12.0,,,60-57,,C. McCollum misses 3-pt shot from 23 ft
7:12.0,Defensive rebound by H. Whiteside,,60-57,,
7:01.0,J. McRoberts misses 2-pt shot from 2 ft,,60-57,,
7:00.0,,,60-57,,Defensive rebound by M. Plumlee
6:50.0,T. Johnson enters the game for W. Ellington,,60-57,,
6:44.0,,,60-60,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
6:29.0,,,60-60,,Personal foul by C. McCollum (drawn by T. Johnson)
6:21.0,Turnover by G. Dragic (lost ball; steal by M. Harkless),,60-60,,
6:16.0,,,60-62,2,M. Harkless makes 2-pt shot at rim
5:52.0,Turnover by J. McRoberts (bad pass; steal by M. Plumlee),,60-62,,
5:44.0,,,60-62,,D. Lillard misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by Team,,60-62,,
5:26.0,G. Dragic makes 2-pt shot from 22 ft,2,62-62,,
5:09.0,,,62-64,2,M. Plumlee makes 2-pt shot at rim
4:56.0,,,62-64,,Personal foul by M. Plumlee (drawn by H. Whiteside)
4:56.0,H. Whiteside misses free throw 1 of 2,,62-64,,
4:56.0,Offensive rebound by Team,,62-64,,
4:56.0,H. Whiteside makes free throw 2 of 2,1,63-64,,
4:56.0,J. Johnson enters the game for R. McGruder,,62-64,,
4:56.0,,,62-64,,A. Crabbe enters the game for C. McCollum
4:56.0,,,62-64,,E. Turner enters the game for M. Harkless
4:56.0,,,62-64,,M. Leonard enters the game for M. Plumlee
4:35.0,,,63-64,,D. Lillard misses 2-pt shot from 22 ft
4:34.0,Defensive rebound by G. Dragic,,63-64,,
4:23.0,H. Whiteside makes 2-pt shot from 4 ft (assist by J. McRoberts),2,65-64,,
4:11.0,,,65-64,,Turnover by E. Davis (offensive foul)
4:11.0,,,65-64,,Offensive foul by E. Davis
4:02.0,Turnover by G. Dragic (lost ball; steal by D. Lillard),,65-64,,
3:56.0,,,65-64,,D. Lillard misses 2-pt shot from 3 ft (block by T. Johnson)
3:56.0,Defensive rebound by G. Dragic,,65-64,,
3:48.0,Turnover by J. McRoberts (bad pass),,65-64,,
3:34.0,,,65-66,2,A. Crabbe makes 2-pt shot from 8 ft (assist by E. Turner)
3:34.0,Miami full timeout,,65-66,,
3:26.0,Turnover by J. Johnson (traveling),,65-66,,
3:12.0,,,65-66,,D. Lillard misses 3-pt shot from 26 ft
3:11.0,Defensive rebound by J. Johnson,,65-66,,
2:58.0,H. Whiteside misses 2-pt shot from 4 ft,,65-66,,
2:57.0,,,65-66,,Defensive rebound by M. Leonard
2:38.0,,,65-69,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Leonard)
2:13.0,H. Whiteside makes 2-pt shot from 4 ft (assist by T. Johnson),2,67-69,,
1:56.0,,,67-71,2,E. Turner makes 2-pt shot from 10 ft
1:39.0,Turnover by T. Johnson (lost ball),,67-71,,
1:39.0,W. Ellington enters the game for G. Dragic,,67-71,,
1:39.0,R. McGruder enters the game for J. McRoberts,,67-71,,
1:39.0,,,67-71,,C. McCollum enters the game for D. Lillard
1:19.0,,,67-71,,C. McCollum misses 2-pt shot from 19 ft
1:17.0,,,67-71,,Offensive rebound by C. McCollum
1:10.0,,,67-71,,C. McCollum misses 3-pt shot from 23 ft
1:09.0,,,67-71,,Offensive rebound by E. Davis
0:53.0,,,67-73,2,M. Leonard makes 2-pt shot at rim (assist by E. Turner)
0:31.0,J. Johnson misses 2-pt shot from 2 ft (block by E. Davis),,67-73,,
0:29.0,Offensive rebound by J. Johnson,,67-73,,
0:28.0,R. McGruder makes 3-pt shot from 24 ft (assist by J. Johnson),3,70-73,,
0:21.0,Technical foul by J. Johnson,,70-73,,
0:21.0,,,70-73,,C. McCollum misses technical free throw
0:21.0,,,70-73,,Offensive rebound by Team
0:21.0,J. McRoberts enters the game for J. Johnson,,70-73,,
0:21.0,,,70-73,,D. Lillard enters the game for E. Davis
0:02.0,,,70-73,,D. Lillard misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by T. Johnson,,70-73,,
0:01.0,Shooting foul by D. Lillard (drawn by T. Johnson),,70-73,,
0:01.0,T. Johnson makes free throw 1 of 2,1,71-73,,
0:01.0,T. Johnson misses free throw 2 of 2,,71-73,,
0:01.0,,,71-73,,E. Davis enters the game for D. Lillard
0:00.0,Offensive rebound by T. Johnson,,71-73,,
0:00.0,T. Johnson misses 2-pt shot from 20 ft,,71-73,,
0:00.0,Offensive rebound by Team,,71-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,71-73,,M. Leonard misses 2-pt shot at rim (block by H. Whiteside)
11:48.0,Defensive rebound by J. McRoberts,,71-73,,
11:24.0,J. McRoberts makes 2-pt shot from 20 ft,2,73-73,,
11:07.0,,,73-73,,C. McCollum misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by T. Johnson,,73-73,,
10:44.0,W. Ellington misses 3-pt shot from 25 ft,,73-73,,
10:43.0,,,73-73,,Defensive rebound by A. Crabbe
10:36.0,,,73-73,,A. Crabbe misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by H. Whiteside,,73-73,,
10:17.0,T. Johnson misses 2-pt shot from 10 ft,,73-73,,
10:16.0,,,73-73,,Defensive rebound by M. Harkless
10:13.0,,,73-73,,Turnover by M. Harkless (lost ball; steal by T. Johnson)
10:09.0,H. Whiteside makes 2-pt shot at rim (assist by J. McRoberts),2,75-73,,
9:49.0,,,75-73,,Turnover by M. Leonard (bad pass; steal by J. McRoberts)
9:25.0,H. Whiteside makes 2-pt shot from 4 ft,2,77-73,,
9:24.0,,,77-73,,Portland full timeout
9:24.0,,,77-73,,M. Plumlee enters the game for M. Leonard
9:12.0,,,77-75,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
8:55.0,W. Ellington makes 2-pt shot from 2 ft (assist by T. Johnson),2,79-75,,
8:35.0,,,79-75,,E. Turner misses 2-pt shot from 3 ft
8:34.0,Defensive rebound by H. Whiteside,,79-75,,
8:12.0,T. Johnson makes 3-pt shot from 24 ft (assist by R. McGruder),3,82-75,,
7:56.0,,,82-78,3,A. Crabbe makes 3-pt shot from 25 ft (assist by E. Turner)
7:36.0,W. Ellington misses 3-pt shot from 24 ft (block by A. Crabbe),,82-78,,
7:35.0,Offensive rebound by Team,,82-78,,
7:35.0,,,82-78,,D. Lillard enters the game for C. McCollum
7:35.0,G. Dragic enters the game for W. Ellington,,82-78,,
7:23.0,R. McGruder misses 3-pt shot from 25 ft,,82-78,,
7:22.0,,,82-78,,Defensive rebound by M. Plumlee
7:08.0,,,82-78,,D. Lillard misses 3-pt shot from 29 ft
7:08.0,Defensive rebound by H. Whiteside,,82-78,,
6:52.0,R. McGruder misses 2-pt shot from 3 ft (block by M. Plumlee),,82-78,,
6:51.0,Offensive rebound by G. Dragic,,82-78,,
6:47.0,J. McRoberts misses 2-pt shot from 2 ft,,82-78,,
6:46.0,,,82-78,,Defensive rebound by M. Plumlee
6:34.0,,,82-80,2,E. Turner makes 2-pt shot from 14 ft
6:10.0,G. Dragic misses 2-pt shot from 1 ft,,82-80,,
6:10.0,,,82-80,,Defensive rebound by M. Harkless
6:07.0,,,82-82,2,D. Lillard makes 2-pt shot from 2 ft
6:07.0,,,82-82,,Shooting foul by G. Dragic (drawn by D. Lillard)
6:07.0,,,82-82,,D. Lillard misses free throw 1 of 1
6:05.0,Defensive rebound by H. Whiteside,,82-82,,
6:04.0,Miami full timeout,,82-82,,
5:51.0,Shooting foul by D. Lillard (drawn by H. Whiteside),,82-82,,
5:51.0,H. Whiteside makes free throw 1 of 2,1,83-82,,
5:51.0,H. Whiteside makes free throw 2 of 2,1,84-82,,
5:51.0,W. Ellington enters the game for J. McRoberts,,83-82,,
5:35.0,,,84-82,,A. Crabbe misses 2-pt shot from 6 ft
5:35.0,Defensive rebound by R. McGruder,,84-82,,
5:30.0,Turnover by W. Ellington (step out of bounds),,84-82,,
5:15.0,,,84-82,,Turnover by D. Lillard (bad pass; steal by G. Dragic)
5:05.0,Turnover by H. Whiteside (lost ball),,84-82,,
4:41.0,,,84-82,,E. Turner misses 2-pt shot from 8 ft
4:41.0,Defensive rebound by T. Johnson,,84-82,,
4:19.0,G. Dragic makes 2-pt shot from 16 ft,2,86-82,,
4:05.0,,,86-85,3,D. Lillard makes 3-pt shot from 27 ft
3:39.0,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,89-85,,
3:20.0,,,89-85,,D. Lillard misses 2-pt shot from 23 ft
3:20.0,Defensive rebound by G. Dragic,,89-85,,
3:03.0,G. Dragic misses 2-pt shot from 16 ft,,89-85,,
3:03.0,Offensive rebound by H. Whiteside,,89-85,,
3:03.0,H. Whiteside makes 2-pt shot from 1 ft,2,91-85,,
3:03.0,,,91-85,,Portland full timeout
3:03.0,,,91-85,,C. McCollum enters the game for E. Turner
2:57.0,,,91-88,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
2:29.0,G. Dragic misses 2-pt shot from 2 ft,,91-88,,
2:28.0,,,91-88,,Defensive rebound by M. Plumlee
2:26.0,Shooting block foul by T. Johnson (drawn by M. Harkless),,91-88,,
2:26.0,,,91-89,1,M. Harkless makes free throw 1 of 2
2:26.0,,,91-90,1,M. Harkless makes free throw 2 of 2
2:08.0,T. Johnson misses 3-pt shot from 25 ft,,91-90,,
2:07.0,Offensive rebound by R. McGruder,,91-90,,
2:03.0,Shooting foul by M. Plumlee (drawn by W. Ellington),,91-90,,
2:03.0,W. Ellington makes free throw 1 of 2,1,92-90,,
2:03.0,W. Ellington misses free throw 2 of 2,,92-90,,
